id	ini	fn	pt	middeng	middiao	midini	midkaihe	midyun	单字	ipa调值	ipa调号	注释
27	h	ɔ	213	一	平	匣	開	歌	荷	hɔ213	hɔ2	～花；薄～
28	h	ɔ	213	一	平	匣	開	歌	荷	hɔ213	hɔ2	挑，～担，～东西[白]
29	h	ɔ	213	一	平	匣	開	歌	河	hɔ213	hɔ2	黄～
30	h	ɔ	213	一	平	匣	開	歌	何	hɔ213	hɔ2	姓；如～
31	h	ɔ	21	一	去	匣	開	歌	賀	hɔ21	hɔ3	祝～，～礼
33	ʔ	a	33	一	平	影	開	歌	阿	ʔa33	ʔa1a	～爸
34	kʰ	ɛ	213	三	平	群	開	戈	茄	kʰɛ213	kʰɛ2	茄子；番～
35	k	a	33	三	平	群	開	戈	茄	ka33	ka1a	雪～
36	p	ɔ	33	一	平	幫	合	戈	波	pɔ33	pɔ1a	风～，～浪
37	p	ɔ	45	一	平	幫	合	戈	菠	pɔ45	pɔ1b	～菜
38	p	ɛ	33	一	上	幫	合	戈	跛	pɛ33	pɛ1a	～脚（跛足）[训]
39	p	ɔi	451	一	去	幫	合	戈	簸	pɔi451	pɔi5	～箕甲（蛇），～谷
40	pʰ	ɔ	33	一	去	幫	合	戈	簸	pʰɔ33	pʰɔ1a	颠～
42	pʰ	ɔ	33	一	平	滂	合	戈	坡	pʰɔ33	pʰɔ1a	山～，～度
43	p	ɔ	33	一	平	滂	合	戈	玻	pɔ33	pɔ1a	～璃
44	pʰ	ɔ	451	一	去	滂	合	戈	破	pʰɔ451	pʰɔ5	～坏
45	pʰ	ɔ	213	一	平	並	合	戈	婆	pʰɔ213	pʰɔ2	老～
46	pʰ	ɔk	021	一	入	並	開	鐸	薄	pʰɔk21	pʰɔk8a	～荷
47	m	ɔ	45	一	平	明	合	戈	魔	mɔ45	mɔ1b	～术，～鬼
48	m	ɔ	213	一	平	明	合	戈	磨	mɔ213	mɔ2	～刀，水～[动]
49	m	ɔ	213	一	平	明	合	戈	磨	mɔ213	mɔ2	～豆浆[动]
50	m	ɔ	45	一	平	明	合	戈	摩	mɔ45	mɔ1b	～擦，按～
51	m	ɔ	213	一	平	明	合	戈	磨	mɔ213	mɔ2	石～[名]
52	t	ɔ	21	一	上	端	合	歌	朶	tɔ21	tɔ3	一～花，花～
53	t	ɔ	21						躱	tɔ21	tɔ3	～避，～开
54	t	iɔk	045						刴	tiɔk45	tiɔk7	～猪肉，～肉丸[训]
55	tʰ	ɔ	451	一	上	透	合	戈	妥	tʰɔ451	tʰɔ5	～当
56	tʰ	ɔ	21						椭	tʰɔ21	tʰɔ3	～圆
57	s	ui	213	一	去	透	合	戈	唾	sui213	sui2	～弃，～液
58	ʦʰ	ui	213	一	上	定	合	戈	惰	ʦʰui213	ʦʰui2	～性
59	n	ɔ	21	一	去	泥	合	戈	糯	nɔ21	nɔ3	～米
60	l	ɔ	213	一	平	來	合	戈	騾	lɔ213	lɔ2	骡
61	l	ɔ	213	一	平	來	合	戈	螺	lɔ213	lɔ2	田～
62	l	ɔ	213	一	平	來	合	戈	腡	lɔ213	lɔ2	手指纹
63	l	ɔ	33	一	平	來	合	戈	囉	lɔ33	lɔ1a	喽～，～嗦
64	l	ɔ	21	一	上	來	合	戈	裸	lɔ21	lɔ3	～体
65	ʦʰ	ɔ	451	一	去	清	合	戈	銼	ʦʰɔ451	ʦʰɔ5	～刀
66	ʦʰ	ɔ	33	一	上	從	合	戈	坐	ʦʰɔ33	ʦʰɔ1a	～车，～稳
67	ʦʰ	ɔ	21	一	去	從	合	戈	座	ʦʰɔ21	ʦʰɔ3	～位，上～
69	ɬ	ɔ	33	一	平	心	合	戈	梭	ɬɔ33	ɬɔ1a	穿～，～子蟹
70	s	ɔ	33	一	平	心	合	戈	唆	sɔ33	sɔ1a	～使
71	ɬ	ɔ	21	一	上	心	合	戈	鎖	ɬɔ21	ɬɔ3	～匙
72	ɬ	ɔ	21	一	上	心	合	戈	瑣	ɬɔ21	ɬɔ3	～碎，烦～
73	kʰ	ɔ	33	一	平	見	合	戈	戈	kʰɔ33	kʰɔ1a	干～，～壁
74	k	ɔ	21	一	上	見	合	戈	果	kɔ21	kɔ3	水～
75	k	ɔ	21	一	上	見	合	戈	裹	kɔ21	kɔ3	包～
76	k	ɔ	451	一	平	見	合	戈	過	kɔ451	kɔ5	～去，～头
77	f	ɔ	33	一	平	溪	合	戈	科	fɔ33	fɔ1a	～学，文～
78	h	ɔ	45	一	平	溪	合	戈	棵	hɔ45	hɔ1b	一～树
79	f	ɔ	21	一	上	溪	合	戈	顆	fɔ21	fɔ3	一～珍珠，～粒
80	f	ɔ	451	一	去	溪	合	戈	課	fɔ451	fɔ5	上～
82	ŋ	ɔ	21	一	去	疑	合	歌	臥	ŋɔ21	ŋɔ3	～室，～铺
83	f	ɔ	21	一	上	曉	合	戈	火	fɔ21	fɔ3	着～，～车
84	f	ɔ	21	一	上	曉	合	戈	夥	fɔ21	fɔ3	合～，～计
85	f	ɔ	451	一	去	曉	合	戈	貨	fɔ451	fɔ5	～车，百～
86	f	ɔ	213	一	平	匣	合	戈	和	fɔ213	fɔ2	～平[文]
87	v	ɔ	213	一	平	匣	合	戈	和	vɔ213	vɔ2	～尚[白]
88	v	ɔ	213	一	平	匣	合	戈	禾	vɔ213	vɔ2	割～，～苗
89	v	ɔ	21	一	上	匣	合	戈	禍	vɔ21	vɔ3	大～临头，～害
90	f	ɔ	213	一	平	匣	合	戈	和	fɔ213	fɔ2	唱～，～诗
91	v	ɔ	33	一	平	影	合	戈	倭	vɔ33	vɔ1a	～寇
92	v	ɔ	33	一	平	影	合	戈	窩	vɔ33	vɔ1a	～囊废，～藏
94	h	ɛ	45	三	平	曉	合	戈	靴	hɛ45	hɛ1b	皮～
95	p	a	33	二	平	幫	開	麻	巴	pa33	pa1a	～掌，～结，～黎
96	p	a	33	二	平	幫	開	麻	芭	pa33	pa1a	～蕉，～蕾
97	p	a	33	二	平	幫	開	麻	疤	pa33	pa1a	伤～
98	p	a	21	二	上	幫	開	麻	把	pa21	pa3	～握，～脉
100	p	a	451	二	去	幫	開	麻	壩	pa451	pa5	堤，溪～
101	p	a	45	二	平	幫	開	麻	吧	pa45	pa1b	酒～
102	p	a	451	二	去	幫	開	麻	垻	pa451	pa5	平地，湖洋～
103	p	a	33	二	去	幫	開	麻	爸	pa33	pa1a	爸爸
104	pʰ	a	451	二	去	滂	開	麻	怕	pʰa451	pʰa5	害怕，惊～
105	pʰ	ɐk	021	二	去	滂	開	麻	帕	pʰɐk21	pʰɐk8a	手～
106	pʰ	a	213	二	平	並	開	麻	爬	pʰa213	pʰa2	～树
107	pʰ	a	213	二	平	並	開	麻	琶	pʰa213	pʰa2	琵～
108	pʰ	a	213	二	平	並	開	麻	杷	pʰa213	pʰa2	枇～
109	pʰ	a	213	二	去	並	開	麻	耙	pʰa213	pʰa2	犁耙
110	m	a	213	二	平	明	開	麻	麻	ma213	ma2	天～，～烦
111	m	a	213	二	平	明	開	麻	痲	ma213	ma2	出～（得痳疹），～风
112	m	ɔ	45	二	平	明	開	麻	蟆	mɔ45	mɔ1b	蛤～（蟾蜍）
113	m	a	45	一	上	明	合	模	媽	ma45	ma1b	妈妈
114	m	a	45	一	上	明	合	模	媽	ma45	ma1b	～祖
115	m	a	33	二	上	明	開	麻	馬	ma33	ma1a	骑～，～虎
116	m	a	33	二	上	明	開	麻	碼	ma33	ma1a	～头，大～
117	m	a	451	二	上	明	開	麻	罵	ma451	ma5	～人
119	ʦʰ	a	213	二	平	澄	開	麻	茶	ʦʰa213	ʦʰa2	～叶
120	ʦ	a	33	二	平	莊	開	麻	楂	ʦa33	ʦa1a	山～
121	ʦ	a	33	二	平	莊	開	麻	渣	ʦa33	ʦa1a	药～
122	ʦ	a	451	二	去	莊	開	麻	詐	ʦa451	ʦa5	～骗
123	ʦ	a	451	二	去	莊	開	麻	榨	ʦa451	ʦa5	～菜，～油
124	ʦ	a	451	二	去	莊	開	麻	炸	ʦa451	ʦa5	～药
125	ʦʰ	a	45	二	平	初	開	麻	叉	ʦʰa45	ʦʰa1b	刀～，～腰
126	ʦʰ	a	45	二	平	初	開	麻	杈	ʦʰa45	ʦʰa1b	桠～，树～
127	ʦʰ	a	33	二	平	初	開	麻	差	ʦʰa33	ʦʰa1a	～别
128	ʦʰ	a	451	二	去	初	開	麻	岔	ʦʰa451	ʦʰa5	～路
129	ʦʰ	a	213	二	平	崇	開	麻	查	ʦʰa213	ʦʰa2	调～
130	ɬ	a	33	二	平	生	開	麻	沙	ɬa33	ɬa1a	泥～，～漠
131	ɬ	a	33	二	平	生	開	麻	紗	ɬa33	ɬa1a	～布
132	ɬ	ɐm	213	二	上	生	開	佳	灑	ɬɐm213	ɬɐm2	～水
133	h	a	21						廈	ha21	ha3	偏廈（厢房）
134	ɬ	a	33	二	平	生	開	麻	痧	ɬa33	ɬa1a	发～，刮～
135	k	a	33	二	平	見	開	麻	家	ka33	ka1a	老～，～庭
136	ɬ	a	33	二	平	生	開	麻	砂	ɬa33	ɬa1a	朱～，～纸
137	k	a	33	二	平	見	開	麻	加	ka33	ka1a	～工
138	p	a	33	二	平	見	開	麻	痂	pa33	pa1a	结～
139	k	a	33	二	平	見	開	麻	嘉	ka33	ka1a	～宾
140	k	a	21	二	上	見	開	麻	假	ka21	ka3	真～，～设
141	k	a	21	二	上	見	開	麻	賈	ka21	ka3	姓，～宝玉
142	k	a	21	二	上	見	開	麻	假	ka21	ka3	放～，～期
143	k	a	451	二	去	見	開	麻	架	ka451	ka5	书～
144	k	a	451	二	去	見	開	麻	駕	ka451	ka5	～驶证
145	k	a	451	二	去	見	開	麻	嫁	ka451	ka5	～人
146	k	a	451	二	去	見	開	麻	稼	ka451	ka5	庄～，邓～先
148	n	ian	21	二	去	溪	開	麻	揢	nian21	nian3	用虎口掐
149	ŋ	a	213	二	平	疑	開	麻	牙	ŋa213	ŋa2	～齿，刷～
150	ŋ	a	213	二	平	疑	開	麻	芽	ŋa213	ŋa2	豆～
151	ŋ	a	213	二	平	疑	開	麻	衙	ŋa213	ŋa2	～门
152	ŋ	a	21	二	上	疑	開	麻	雅	ŋa21	ŋa3	文～；～典（国名）
153	ŋ	ian	213	二	去	疑	開	麻	砑	ŋian213	ŋian2	碾，～平，～碎
154	h	a	45	二	平	曉	開	麻	蝦	ha45	ha1b	鱼～，～公
155	h	æk	021	二	入	曉	開	陌	嚇	hæk21	hæk8a	～人
156	h	a	21	二	平	匣	開	麻	霞	ha21	ha3	晚～
157	pʰ	a	21	二	平	匣	開	麻	瑕	pʰa21	pʰa3	～疵
158	h	a	45	二	平	曉	開	麻	蝦	ha45	ha1b	～蟆（蟾蜍）
159	h	a	21	二	上	匣	開	麻	下	ha21	ha3	～背，底～
160	h	a	33	二	上	匣	開	麻	下	ha33	ha1a	取下，～下来
161	h	a	21	二	去	匣	開	麻	夏	ha21	ha3	姓
162	h	a	21						廈	ha21	ha3	～门，大～
163	h	a	21	二	上	匣	開	麻	下	ha21	ha3	～降，～流
164	h	a	21	二	去	匣	開	麻	夏	ha21	ha3	春～秋冬
166	ʔ	a	33	二	平	影	開	麻	鴉	ʔa33	ʔa1a	老～，乌～，～片
167	ʔ	a	45	二	平	影	開	麻	丫	ʔa45	ʔa1b	～鬟，～头
168	ʔ	a	33	二	平	影	開	麻	椏	ʔa33	ʔa1a	～杈
169	ʔ	a	21	二	上	影	開	麻	啞	ʔa21	ʔa3	哑巴，～佬
170	ʔ	a	33	二	去	影	開	麻	亞	ʔa33	ʔa1a	～洲，～军
171	ʦ	ia	21	三	上	精	開	麻	姐	ʦia21	ʦia3	小～[文]
172	ʦ	ia	21	三	上	精	開	麻	姐	ʦia21	ʦia3	姐姐[白]
173	ʦ	ia	451	三	去	精	開	麻	借	ʦia451	ʦia5	～钱
174	ʦʰ	ia	21	三	上	清	開	麻	且	ʦʰia21	ʦʰia3	而～，况～
175	ʦʰ	ia	451	三	去	清	開	麻	笡	ʦʰia451	ʦʰia5	斜，～～（歪斜的样子）
176	ʦ	ia	451	三	入	從	開	昔	藉	ʦia451	ʦia5	～故，～口
177	t	iɐt	045	一	平	心	開	麻	些	tiɐt45	tiɐt7	一～
178	ɬ	ia	21	三	上	心	開	麻	寫	ɬia21	ɬia3	～字
179	ɬ	ɛ	451	三	去	心	開	麻	瀉	ɬɛ451	ɬɛ5	腹～，一～千里
180	ɬ	ɛ	451	三	去	心	開	麻	卸	ɬɛ451	ɬɛ5	～货，推～
181	ʦʰ	ia	33	三	平	邪	開	麻	邪	ʦʰia33	ʦʰia1a	～气，～门歪道
182	ʦʰ	ia	33	三	平	邪	開	麻	斜	ʦʰia33	ʦʰia1a	倾～[文]
183	ʦʰ	ia	45	三	平	邪	開	麻	斜	ʦʰia45	ʦʰia1b	不正[白]
184	ʦʰ	ia	21	三	去	邪	開	麻	謝	ʦʰia21	ʦʰia3	多～；姓
185	t	ɛ	33	三	平	知	開	麻	爹	tɛ33	tɛ1a	～娘
186	ʦ	a	33	三	平	章	開	麻	遮	ʦa33	ʦa1a	遮挡[动]；伞[名]
187	ʦ	ia	21	三	上	章	開	麻	者	ʦia21	ʦia3	记～，作～
188	ʦ	a	451	三	去	章	開	麻	蔗	ʦa451	ʦa5	甘蔗
189	ʦʰ	a	33	三	平	昌	開	麻	車	ʦʰa33	ʦʰa1a	火～
190	ʦʰ	a	21	三	上	昌	開	麻	扯	ʦʰa21	ʦʰa3	～开，～烂
191	s	a	213	三	平	船	開	麻	蛇	sa213	sa2	毒～
192	s	a	21	三	去	船	開	麻	射	sa21	sa3	发～，～箭
193	s	a	21	三	去	船	開	麻	麝	sa21	sa3	～香
195	s	a	33	三	平	書	開	麻	賒	sa33	sa1a	～帐
196	s	a	21	三	上	書	開	麻	捨	sa21	sa3	～唔得（舍不得）
197	s	a	451	三	去	書	開	麻	赦	sa451	sa5	～免
198	s	a	451	三	去	書	開	麻	舍	sa451	sa5	宿～
199	s	a	33	三	上	禪	開	麻	社	sa33	sa1a	～会，公～
200	j	a	33	三	上	日	開	麻	惹	ja33	ja1a	～事
201	j	ai	213	三	平	以	開	麻	耶	jai213	jai2	～稣
202	j	a	213	三	平	以	開	麻	爺	ja213	ja2	父亲；爷爷[文]
203	j	a	451	三	上	以	開	麻	也	ja451	ja5	～知
204	j	a	33	三	上	禪	開	麻	野	ja33	ja1a	～人
205	j	a	21	三	去	以	開	麻	夜	ja21	ja3	日～，～班
206	s	ɔ	213	二	上	生	合	麻	傻	sɔ213	sɔ2	～瓜，～子
207	k	a	33	二	平	見	合	麻	瓜	ka33	ka1a	西～，～分
208	v	ɔ	33	二	平	見	合	麻	蝸	vɔ33	vɔ1a	～牛
209	k	a	21	二	上	見	合	麻	寡	ka21	ka3	～妇，守～
210	k	ɔk	021	二	上	見	合	麻	剮	kɔk21	kɔk8a	千刀万～
211	kʰ	a	33	二	平	溪	合	麻	誇	kʰa33	kʰa1a	～大，～张
212	kʰ	a	33	二	上	溪	合	麻	垮	kʰa33	kʰa1a	～台
213	kʰ	a	33	二	去	溪	合	麻	跨	kʰa33	kʰa1a	～栏，～度
214	v	a	33	二	平	影	合	佳	娃	va33	va1a	洋～～
215	ŋ	a	21	二	上	疑	合	麻	瓦	ŋa21	ŋa3	～片
216	f	a	33	二	平	曉	合	麻	花	fa33	fa1a	开～
217	f	a	451	二	去	曉	合	麻	化	fa451	fa5	变～
218	f	a	213	二	平	匣	合	麻	華	fa213	fa2	中～
219	v	ɐt	021	二	入	匣	合	麥	劃	vɐt21	vɐt8a	～船
220	f	a	213	二	平	匣	合	麻	華	fa213	fa2	～山；姓
221	v	a	33	二	平	影	合	麻	蛙	va33	va1a	青～，～泳
222	p	u	21	一	上	幫	合	模	補	pu21	pu3	～鞋，～充
223	pʰ	u	21	一	上	幫	合	模	譜	pʰu21	pʰu3	族～，歌～
224	p	u	451	一	去	幫	合	模	布	pu451	pu5	红～，～料
225	p	u	451	一	去	幫	合	模	佈	pu451	pu5	公～，～置
226	pʰ	u	33	一	平	滂	合	虞	鋪	pʰu33	pʰu1a	～路，床～
227	pʰ	u	21	一	上	滂	合	模	普	pʰu21	pʰu3	～通，～遍
228	pʰ	u	21	一	上	滂	合	模	浦	pʰu21	pʰu3	黄～江
229	pʰ	u	451	一	平	滂	合	虞	鋪	pʰu451	pʰu5	店～，当～
230	p	u	451	一	去	滂	合	模	怖	pu451	pu5	恐～
231	f	ok	021	一	平	並	合	模	蒲	fok21	fok8a	（石）菖～
232	pʰ	ɔ	213	一	平	並	合	模	菩	pʰɔ213	pʰɔ2	～萨
234	pʰ	u	21	一	上	並	合	模	部	pʰu21	pʰu3	～队，干～
235	pʰ	u	21	一	上	並	合	模	簿	pʰu21	pʰu3	练习～，帐～
236	pʰ	u	21	一	去	並	合	模	步	pʰu21	pʰu3	跑～
237	pʰ	u	21	一	去	並	合	模	捕	pʰu21	pʰu3	逮～，～快
238	f	ɐi	21	一	去	並	合	模	埠	fɐi21	fɐi3	开～
239	f	ɐi	21	一	去	並	合	模	埠	fɐi21	fɐi3	庵～，蚌～（地名）
240	m	ɔ	213	一	平	明	合	模	模	mɔ213	mɔ2	～型，～范
241	m	ɔ	213	一	平	明	合	模	摹	mɔ213	mɔ2	～仿，描～
242	m	u	451	一	去	明	合	模	暮	mu451	mu5	日暮
243	m	u	451	一	去	明	合	模	慕	mu451	mu5	羡～，～名而来
244	m	u	451	一	去	明	合	模	墓	mu451	mu5	坟～，～地
245	m	u	451	一	去	明	合	模	募	mu451	mu5	～捐
246	t	u	33	一	平	端	合	模	都	tu33	tu1a	首～，～市
247	t	u	33	一	平	端	合	模	都	tu33	tu1a	都是
248	ɬ	ɐt	045	一	上	端	合	模	堵	ɬɐt45	ɬɐt7	～车，～塞
249	t	u	21	一	上	端	合	模	賭	tu21	tu3	～博
250	t	u	21	一	上	定	合	模	肚	tu21	tu3	猪～，鱼～
251	k	i	451	一	去	端	合	模	妬	ki451	ki5	～忌
252	tʰ	u	21	一	上	透	合	模	土	tʰu21	tʰu3	～地
253	tʰ	ɔ	451	一	上	透	合	模	吐	tʰɔ451	tʰɔ5	～痰；呕～
254	tʰ	u	451	一	去	透	合	模	兔	tʰu451	tʰu5	野～
255	tʰ	u	213	一	平	定	合	模	徒	tʰu213	tʰu2	～弟
256	tʰ	ɔ	213	一	平	定	合	魚	屠	tʰɔ213	tʰɔ2	～杀
257	tʰ	u	213	一	平	定	合	模	途	tʰu213	tʰu2	前～
258	tʰ	u	213	一	平	定	合	麻	塗	tʰu213	tʰu2	糊～，～改
259	tʰ	u	213	一	平	定	合	模	圖	tʰu213	tʰu2	画～，地～
260	tʰ	u	21	一	上	定	合	模	杜	tʰu21	tʰu3	姓；杜仲（中药）
261	tʰ	u	21	一	上	定	合	模	肚	tʰu21	tʰu3	肚子
262	tʰ	u	21	一	去	定	合	模	度	tʰu21	tʰu3	～数，长～
263	tʰ	u	21	一	去	定	合	模	渡	tʰu21	tʰu3	偷～，摆～
264	tʰ	u	21	一	去	定	合	模	鍍	tʰu21	tʰu3	电～
265	n	u	213	一	平	泥	合	模	奴	nu213	nu2	～隶
266	n	u	21	一	上	泥	合	模	努	nu21	nu3	～力
267	n	u	451	一	去	泥	合	模	怒	nu451	nu5	愤～，～气
268	l	u	213	一	平	來	合	模	盧	lu213	lu2	姓
269	l	u	213	一	平	來	合	模	爐	lu213	lu2	火～
270	l	u	213	一	平	來	合	模	蘆	lu213	lu2	～苇
271	l	u	213	一	平	來	合	模	鸕	lu213	lu2	～鹚（扁嘴善捕鱼的水鸟）
272	l	ɔ	21	一	上	來	合	模	魯	lɔ21	lɔ3	～国，～迅
273	l	ɔ	21	一	上	來	合	模	虜	lɔ21	lɔ3	俘～
274	l	ɔ	21	一	上	來	合	模	滷	lɔ21	lɔ3	盐～，～水
275	l	u	21	一	去	來	合	模	路	lu21	lu3	大～
276	l	u	21	一	去	來	合	模	賂	lu21	lu3	贿～
277	l	u	451	一	去	來	合	模	露	lu451	lu5	～水，白～，打～
278	l	u	451	一	去	來	合	模	鷺	lu451	lu5	白～
279	ʦ	u	33	一	平	精	合	模	租	ʦu33	ʦu1a	～金，出～
280	ʦ	u	21	一	上	精	合	模	祖	ʦu21	ʦu3	～宗，～国
281	ʦ	u	21	一	上	精	合	模	組	ʦu21	ʦu3	～织，小～
282	ʦ	ɔ	451	一	去	精	合	模	做	ʦɔ451	ʦɔ5	～好事
283	ʦʰ	u	33	一	平	清	合	模	粗	ʦʰu33	ʦʰu1a	～心
284	ʦʰ	u	451	一	去	清	合	模	醋	ʦʰu451	ʦʰu5	陈～
285	ʦʰ	u	451	一	去	清	合	模	措	ʦʰu451	ʦʰu5	～施
286	ʦʰ	ɔ	451	一	去	清	開	模	錯	ʦʰɔ451	ʦʰɔ5	～误
287	ɬ	u	33	一	平	心	合	模	蘇	ɬu33	ɬu1a	～州；姓
288	ɬ	u	45	一	平	心	合	模	酥	ɬu45	ɬu1b	脆，杏仁～
289	ɬ	u	451	一	去	心	合	模	素	ɬu451	ɬu5	～菜，朴～
290	ɬ	u	451	一	去	心	合	模	訴	ɬu451	ɬu5	上～，倾～
291	ɬ	ɔk	021	一	去	心	合	模	塑	ɬɔk21	ɬɔk8a	雕～，～料
292	k	u	33	一	平	見	合	模	姑	ku33	ku1a	大～
293	k	u	33	一	平	見	合	模	孤	ku33	ku1a	～儿，～单
294	kʰ	u	33	一	平	見	合	模	箍	kʰu33	kʰu1a	紧～咒[文]
295	f	ɔk	021	一	平	見	合	模	箍	fɔk21	fɔk8a	围束，～桶[白]
296	k	u	21	一	上	見	合	模	古	ku21	ku3	～代
297	kʰ	u	33	一	上	見	合	模	估	kʰu33	kʰu1a	～计
298	k	u	21	一	上	見	合	模	牯	ku21	ku3	牛～
299	k	u	21	一	上	見	合	模	股	ku21	ku3	～票
300	k	u	21	一	上	見	合	模	鼓	ku21	ku3	锣～，～励
301	k	u	451	一	去	見	合	模	故	ku451	ku5	～事，～乡
302	k	u	21	一	上	見	合	模	蛊	ku21	ku3	养～，～惑
303	k	u	451	一	去	見	合	模	固	ku451	ku5	～定
304	k	u	451	一	去	見	合	模	錮	ku451	ku5	禁～
305	k	u	451	一	去	見	合	模	雇	ku451	ku5	～人，～主
306	k	u	451	一	去	見	合	模	顧	ku451	ku5	照～
307	kʰ	u	33	一	平	溪	合	模	枯	kʰu33	kʰu1a	干～，～水
308	f	u	21	一	上	溪	合	模	苦	fu21	fu3	辛～，食～（吃苦）
309	f	u	21	一	上	溪	合	模	苦	fu21	fu3	～味
310	f	u	451	一	去	溪	合	模	庫	fu451	fu5	水～，仓～
311	f	u	451	一	去	溪	合	模	褲	fu451	fu5	裤子
312	ʔ	ŋ̍	213						吳	ʔŋ̍213	ʔŋ̍2	姓
313	ʔ	ŋ̍	213	一	平	疑	合	模	蜈	ʔŋ̍213	ʔŋ̍2	～蚣
314	ʔ	ŋ̍	213	一	平	疑	合	模	梧	ʔŋ̍213	ʔŋ̍2	～桐
315	ʔ	ŋ̍	21	一	上	疑	合	模	五	ʔŋ̍21	ʔŋ̍3	数字
316	ʔ	ŋ̍	21	一	上	疑	合	模	伍	ʔŋ̍21	ʔŋ̍3	姓；队～
317	ʔ	ŋ̍	21	一	上	疑	合	模	午	ʔŋ̍21	ʔŋ̍3	中～，端～
318	ʔ	ŋ̍	21	一	去	疑	合	模	誤	ʔŋ̍21	ʔŋ̍3	～会，错～
319	ʔ	ŋ̍	21	一	去	疑	合	模	悟	ʔŋ̍21	ʔŋ̍3	觉～；孙～空
320	f	u	33	一	平	曉	合	模	呼	fu33	fu1a	称～，～吸，招～
321	f	u	21	一	上	曉	合	模	虎	fu21	fu3	老～
322	f	u	33	一	上	曉	合	模	虎	fu33	fu1a	马～
323	f	u	21	一	上	曉	合	模	滸	fu21	fu3	水～
324	f	u	451	一	去	曉	合	模	戽	fu451	fu5	～水（泼水），～斗
325	f	u	213	一	平	匣	合	模	胡	fu213	fu2	二～ ；姓
326	f	u	213	一	平	匣	合	模	湖	fu213	fu2	西～
327	f	u	213	一	平	匣	合	模	狐	fu213	fu2	～狸
328	f	u	213	一	平	匣	合	模	壺	fu213	fu2	水～
329	f	u	213	一	平	匣	合	模	乎	fu213	fu2	在～
330	pʰ	u	213	一	平	匣	合	模	瓠	pʰu213	pʰu2	瓠卢，同葫芦
331	f	u	213	一	平	匣	合	模	鬍	fu213	fu2	～须
332	f	u	213	一	平	匣	合	模	蝴	fu213	fu2	～蝶
333	f	u	213	一	平	匣	合	模	糊	fu213	fu2	浆～，～涂
334	f	u	21						戶	fu21	fu3	～口
335	l	u	213	一	上	匣	合	模	滬	lu213	lu2	上海简称
336	f	u	451	一	去	匣	合	模	互	fu451	fu5	～相
337	f	u	451	一	去	匣	合	模	護	fu451	fu5	保～，～士
338	f	u	213	一	平	匣	合	模	瓠	fu213	fu2	瓠瓜（味似葫芦而长）
339	v	u	33	一	平	影	合	模	烏	vu33	vu1a	黑
340	v	u	33						汚	vu33	vu1a	～染
341	v	u	33	一	上	影	合	模	塢	vu33	vu1a	船～
342	v	u	451	一	入	影	開	鐸	惡	vu451	vu5	可～
343	ȵ	y	21	三	上	娘	開	魚	女	ȵy21	ȵy3	女人
344	l	u	213	三	平	來	開	魚	廬	lu213	lu2	～山
345	l	u	213	三	平	來	開	魚	驢	lu213	lu2	毛驴
346	l	y	33						呂	ly33	ly1a	姓
347	l	y	33	三	上	來	開	魚	旅	ly33	ly1a	～游
