#漢字	常家河	榜羅	第三舖	李家店	碧玉	雞川	馬營	寺子川
茶	tsʰa¹³	tʂʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³	tsʰa¹³
榨	tsa⁴⁴	tʂa⁴⁴	tsa⁴⁴	tsa⁴⁴	tsa⁴⁴	tsa⁴⁴	tsa⁴⁴	tsa⁴⁴
沙	sa³¹²	ʂa⁴¹²	sa³¹²	sa³¹²	sa¹³	sa¹³	sa¹³	sa¹³
家	tɕia³¹²	tɕia⁴¹²	tɕia³¹²	tɕia³¹²	tɕia¹³	tɕia¹³	tɕia¹³	tɕia¹³
牙	tɕia¹³	tɕia¹³	tɕia¹³	ȵia¹³	ia¹³	ȵia¹³	ȵia¹³	ia¹³
芽	tɕia¹³	tɕia¹³	tɕia¹³	ȵia¹³	ia¹³	ȵia¹³	ȵia¹³	ia¹³
下(底~)	xa⁴⁴	xa⁴⁴	xa⁴⁴	xa⁴⁴	xa⁴⁴	xa⁴⁴	xa⁴⁴	xa⁴⁴
哑	tɕia⁵³	tɕia⁵³	tɕia¹³	ȵia⁵³	ia⁵³	ȵia⁵³	ȵia⁵³	ia⁵³
姐	tsiə⁵³	tsiə⁵³	tsiə⁵³	tsiə⁵³	tsiə⁵³	tsiə⁵³	tsiə⁵³	tsiə⁵³
借	tsiə⁴⁴	tsiə⁴⁴	tsiə⁴⁴	tsiə⁴⁴	tsiə⁴⁴	tsiə⁴⁴	tsiə⁴⁴	tsiə⁴⁴
写	siə⁵³	siə⁵³	siə⁵³	siə⁵³	siə⁵³	siə⁵³	siə⁵³	siə⁵³
遮	tʂə³¹²	tʂə⁴¹²	tʂə³¹²	tʂə³¹²	tʂə¹³	tʂə¹³	tʂə¹³	tʂə¹³
车	tʂʰə³¹²	tʂʰə⁴¹²	tʂʰə³¹²	tʂʰə³¹²	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³	tʂʰə¹³
社	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴	ʂə⁴⁴
惹	ʐə⁵³	ʐə⁵³	ʐə⁵³	ʐə⁵³	ʐə⁵³	ʐə⁵³	ʐə⁵³	ʐə⁵³
也(也是)	iaŋ⁵³	iaŋ⁵³	iə⁵³	iə⁵³	iə⁵³	iə⁵³	iə⁵³	iə⁵³
瓜	kua³¹²	kua⁴¹²	kua³¹²	kua³¹²	kua¹³	kua¹³	kua¹³	kua¹³
瓦	ua⁵³	ua⁵³	ua⁵³	va⁵³	ua⁵³	ua⁵³	ua⁵³	va⁵³
花	xua³¹²	xua⁴¹²	xua³¹²	xua³¹²	xua¹³	xua¹³	xua¹³	xua¹³
蛙	ua³¹²	ua⁴¹²	ua³¹²	va³¹²	ua¹³	ua¹³	ua¹³	va¹³
布	pu⁴⁴	pu⁴⁴	pu⁴⁴	pu⁴⁴	pu⁴⁴	pu⁴⁴	pu⁴⁴	pu⁴⁴
部	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴
步	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴	pʰu⁴⁴
都(都是)	təu³¹²	tou⁴¹²	təu³¹²	təu³¹²	təu¹³	təu¹³	təu¹³	təu¹³
土	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³	tʰu⁵³
肚	tʰu⁴⁴	tʰu⁴⁴	tʰu⁴⁴	tʰu⁴⁴	tʰu⁴⁴	tʰu⁴⁴	tʰu⁴⁴	tʰu⁴⁴
奴	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³
路	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴	lu⁴⁴
组	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³
做	tsu⁴⁴	tsu⁴⁴	tsu⁴⁴	tsu⁴⁴	tsu⁴⁴	tsu⁴⁴	tsu⁴⁴	tsu⁴⁴
错	tsʰə⁴⁴	tsʰə⁴⁴	tsʰuə⁴⁴	tsʰə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴	tsʰuə⁴⁴
塑	su⁴⁴	su⁴⁴	su⁴⁴	su⁴⁴	su⁴⁴	su⁴⁴	su⁴⁴	su⁴⁴
古	ku⁵³	ku⁵³	ku⁵³	ku⁵³	ku⁵³	ku⁵³	ku⁵³	ku⁵³
裤	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴	kʰu⁴⁴
五	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³
虎	xu⁵³	xu⁵³	xu⁵³	xu⁵³	xu⁵³	xu⁵³	xu⁵³	xu⁵³
污	vu³¹²	vu⁴¹²	vu³¹²	vu³¹²	vu¹³	vu¹³	vu¹³	vu¹³
女	tɕy⁵³	tɕy⁵³	ȵy⁵³	ȵy⁵³	ȵy⁵³	ȵy⁵³	ȵy⁵³	ȵy⁵³
庐	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³	lu¹³
驴	tɕy¹³	tɕy¹³	ly¹³	ly¹³	ly¹³	ly¹³	ly¹³	ly¹³
吕	tɕy⁵³	tɕy⁵³	ly⁵³	ly⁵³	ly⁵³	ly⁵³	ly⁵³	ly⁵³
虑	tɕy⁴⁴	tɕy⁴⁴	ly⁴⁴	ly⁴⁴	ly⁴⁴	ly⁴⁴	ly⁴⁴	ly⁴⁴
絮	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴	ɕy⁴⁴
猪	tʃʯ³¹²	tʃʯ⁴¹²	tʃʯ³¹²	tʃʯ³¹²	tʃʯ¹³	tʃʯ¹³	tʃʯ¹³	tʃʯ¹³
除	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³	tʃʰʯ¹³
阻	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³	tsu⁵³
助	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴
梳	ʃʯ³¹²	ʃʯ⁴¹²	ʃʯ³¹²	ʃʯ³¹²	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³	ʃʯ¹³
所	ʃʯə⁵³	ʃʯə⁵³	ʃʯə⁵³	ʃʯə⁵³	sʯə⁵³	sʯə⁵³	ʃʯə⁵³	sʯə⁵³
煮	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³
鼠	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³	tʃʰʯ⁵³
如	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³
锯	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴
去	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴
距	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴
语	ʑy⁵³	ʑy⁵³	ʑy⁵³	ʑy⁵³	ʑy⁵³	ʑy⁵³	ʑy⁵³	ʑy⁵³
虚	ɕy³¹²	ɕy⁴¹²	ɕy³¹²	ɕy³¹²	ɕy¹³	ɕy¹³	ɕy¹³	ɕy¹³
脯	pʰu¹³	pʰu¹³	pʰu¹³	pʰu¹³	pʰu¹³	pʰu¹³	pʰu¹³	pʰu¹³
斧	fu⁵³	fu⁵³	fu⁵³	fu⁵³	fu⁵³	fu⁵³	fu⁵³	fu⁵³
武	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³
舞	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³	vu⁵³
取	tɕʰy⁵³	tɕʰy⁵³	tɕʰy⁵³	tɕʰy⁵³	tɕʰy⁵³	tɕʰy⁵³	tɕʰy⁵³	tɕʰy⁵³
聚	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴
拄	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³	tʃʯ⁵³
柱	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴	tʃʰʯ⁴⁴
数(动词)	ʃʯ⁵³	ʃʯ⁵³	ʃʯ⁵³	ʃʯ⁵³	ʃʯ⁵³	ʃʯ⁵³	ʃʯ⁵³	ʃʯ⁵³
朱	tʃʯ³¹²	tʃʯ⁴¹²	tʃʯ³¹²	tʃʯ³¹²	tʃʯ¹³	tʃʯ¹³	tʃʯ¹³	tʃʯ¹³
竖	ʃʯ⁴⁴	ʃʯ⁴⁴	ʃʯ⁴⁴	ʃʯ⁴⁴	ʃʯ⁴⁴	ʃʯ⁴⁴	ʃʯ⁴⁴	ʃʯ⁴⁴
矩	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴	tɕy⁴⁴
遇	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴	ʑy⁴⁴
榆	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³	ʒʯ¹³
戴	tei⁴⁴	tei⁴⁴	tei⁴⁴	te⁴⁴	tɛ⁴⁴	tɛ⁴⁴	tɛ⁴⁴	tɛ⁴⁴
袋	tei⁴⁴	tei⁴⁴	tei⁴⁴	te⁴⁴	tɛ⁴⁴	tʰɛ⁴⁴	tɛ⁴⁴	tɛ⁴⁴
乃	lei⁵³	lei⁵³	lei⁵³	le⁵³	lɛ⁵³	lɛ⁵³	lɛ⁵³	lɛ⁵³
来	lei¹³	lei¹³	lei¹³	le¹³	lɛ¹³	lɛ¹³	lɛ¹³	lɛ¹³
栽	tsei³¹²	tsei⁴¹²	tsei³¹²	tse³¹²	tsɛ¹³	tsɛ¹³	tsɛ¹³	tsɛ¹³
彩	tsʰei⁵³	tsʰei⁵³	tsʰei⁵³	tsʰe⁵³	tsʰɛ⁵³	tsʰɛ⁵³	tsʰɛ⁵³	tsʰɛ⁵³
在	tsʰei⁴⁴	tsʰei⁴⁴	tsʰei⁴⁴	tsʰe⁴⁴	tsʰɛ⁴⁴	tsʰɛ⁴⁴	tsʰɛ⁴⁴	tsʰɛ⁴⁴
赛	sei⁴⁴	sei⁴⁴	sei⁴⁴	se⁴⁴	sɛ⁴⁴	sɛ⁴⁴	sɛ⁴⁴	sɛ⁴⁴
改	kei⁵³	kei⁵³	kei⁵³	ke⁵³	kɛ⁵³	kɛ⁵³	kɛ⁵³	kɛ⁵³
开	kʰei³¹²	kʰei⁴¹²	kʰei³¹²	kʰe³¹²	kʰɛ¹³	kʰɛ¹³	kʰɛ¹³	kʰɛ¹³
艾	kei⁴⁴	kei⁴⁴	kei⁴⁴	ke⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴
海	xei⁵³	xei⁵³	xei⁵³	xe⁵³	xɛ⁵³	xɛ⁵³	xɛ⁵³	xɛ⁵³
爱	kei⁴⁴	kei⁴⁴	kei⁴⁴	ke⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴
蔼	kei⁵³	kei⁵³	kei⁵³	ke⁵³	kɛ⁵³	kɛ⁵³	kɛ⁵³	kɛ⁵³
埋	mei¹³	mei¹³	mei¹³	me¹³	mɛ¹³	mɛ¹³	mɛ¹³	mɛ¹³
界(世~)	kei⁴⁴	kei⁴⁴	kei⁴⁴	ke⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴
戒(~指)	kei⁴⁴	kei⁴⁴	kei⁴⁴	ke⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴	kɛ⁴⁴
挨	kei³¹²	kei⁴¹²	kei³¹²	ke³¹²	kɛ¹³	kɛ¹³	kɛ¹³	kɛ¹³
派	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰe⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴
败	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰe⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴
买	mei⁴⁴	mei⁴⁴	mei⁴⁴	me⁴⁴	mɛ⁴⁴	mɛ⁴⁴	mɛ⁴⁴	mɛ⁴⁴
卖	mei⁴⁴	mei⁴⁴	mei⁴⁴	me⁴⁴	mɛ⁴⁴	mɛ⁴⁴	mɛ⁴⁴	mɛ⁴⁴
奶	lei⁵³	lei⁵³	lei⁵³	le⁵³	lɛ⁵³	lɛ⁵³	lɛ⁵³	lɛ⁵³
柴	tsʰei¹³	tʂʰei¹³	tsʰei¹³	tsʰe¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³	tsʰɛ¹³
晒	sei⁴⁴	ʂei⁴⁴	sei⁴⁴	se⁴⁴	sɛ⁴⁴	sɛ⁴⁴	sɛ⁴⁴	sɛ⁴⁴
街	kei³¹²	kei⁴¹²	kei³¹²	ke³¹²	kɛ¹³	kɛ¹³	kɛ¹³	kɛ¹³
解	kei⁵³	kei⁵³	kei⁵³	ke⁵³	kɛ⁵³	kɛ⁵³	kɛ⁵³	kɛ⁵³
崖	kei¹³	kei¹³	kei¹³	ke¹³	kɛ¹³	kɛ¹³	kɛ¹³	kɛ¹³
鞋	xei¹³	xei¹³	xei¹³	xe¹³	xɛ¹³	xɛ¹³	xɛ¹³	xɛ¹³
闭	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴
米	mi⁵³	mi⁵³	mi⁵³	mi⁵³	mi⁵³	mi⁵³	mi⁵³	mi⁵³
低	ti³¹²	ti⁴¹²	ti³¹²	ti³¹²	ti¹³	tɕi¹³	ti¹³	ti¹³
底	ti⁵³	ti⁵³	ti⁵³	ti⁵³	ti⁵³	tɕi⁵³	ti⁵³	ti⁵³
帝	ti⁴⁴	ti⁴⁴	ti⁴⁴	ti⁴⁴	ti⁴⁴	tɕi⁴⁴	ti⁴⁴	ti⁴⁴
梯	tɕʰi³¹²	tɕʰi⁴¹²	tɕʰi³¹²	tɕʰi³¹²	tʰi¹³	tɕʰi¹³	tʰi¹³	tʰi¹³
体	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tɕʰi⁵³	tʰi⁵³	tɕʰi⁵³	tʰi⁵³	tʰi⁵³
提	tɕʰi¹³	tɕʰi¹³	tɕʰi¹³	tɕʰi¹³	tʰi¹³	tɕʰi¹³	tʰi¹³	tʰi¹³
蹄	tɕʰi¹³	tɕʰi¹³	tɕʰi¹³	tɕʰi¹³	tʰi¹³	tɕʰi¹³	tʰi¹³	tʰi¹³
弟	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tʰi⁴⁴	tɕʰi⁴⁴	tʰi⁴⁴	tʰi⁴⁴
第	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tʰi⁴⁴	tɕʰi⁴⁴	tʰi⁴⁴	tʰi⁴⁴
泥	tɕi¹³	tɕi¹³	tɕi¹³	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³	ȵi¹³
礼	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³	ȵi⁵³
挤	tsi⁵³	tsi⁵³	tsi⁵³	tɕi⁵³	tɕi⁵³	tsi⁵³	tɕi⁵³	tɕi⁵³
妻	tsʰi³¹²	tsʰi⁴¹²	tsʰi³¹²	tɕʰi³¹²	tɕʰi¹³	tsʰi¹³	tɕʰi¹³	tɕʰi¹³
西	si³¹²	si⁴¹²	si³¹²	ɕi³¹²	ɕi¹³	si¹³	ɕi¹³	ɕi¹³
洗	si⁵³	si⁵³	si⁵³	ɕi⁵³	ɕi⁵³	si⁵³	ɕi⁵³	ɕi⁵³
婿	si⁴⁴	si⁴⁴	si⁴⁴	ɕi⁴⁴	ɕi⁴⁴	si⁴⁴	ɕi⁴⁴	ɕi⁴⁴
制	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴	tʂʅ⁴⁴
世	ʂʅ⁴⁴	ʂʅ⁴⁴	ʂʅ⁴⁴	ʂʅ⁴⁴	ʂʅ⁴⁴	ʂʅ⁴⁴	ʂʅ⁴⁴	ʂʅ⁴⁴
鸡	tɕi³¹²	tɕi⁴¹²	tɕi³¹²	tɕi³¹²	tɕi¹³	tɕi¹³	tɕi¹³	tɕi¹³
系(动词)	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴
杯	pʰei³¹²	pʰei⁴¹²	pʰei³¹²	pʰe³¹²	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³
配	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰe⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴
培	pʰei¹³	pʰei¹³	pʰei¹³	pʰe¹³	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³
背(~诵)	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰe⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴	pʰɛ⁴⁴
妹	mei⁴⁴	mei⁴⁴	mei⁴⁴	me⁴⁴	mɛ⁴⁴	mɛ⁴⁴	mɛ⁴⁴	mɛ⁴⁴
对	tuei⁴⁴	tuei⁴⁴	tuei⁴⁴	tue⁴⁴	tuɛ⁴⁴	tuɛ⁴⁴	tuɛ⁴⁴	tuɛ⁴⁴
内	luei⁴⁴	luei⁴⁴	luei⁴⁴	lue⁴⁴	lɛ⁴⁴	luɛ⁴⁴	luɛ⁴⁴	lɛ⁴⁴
雷	luei¹³	luei¹³	luei¹³	lue¹³	lɛ¹³	luɛ¹³	luɛ¹³	lɛ¹³
最	tsuei⁴⁴	tsuei⁴⁴	tsuei⁴⁴	tsue⁴⁴	tsuɛ⁴⁴	tsuɛ⁴⁴	tsuɛ⁴⁴	tsuɛ⁴⁴
催	tsʰuei³¹²	tsʰuei⁴¹²	tsʰuei³¹²	tsʰue³¹²	tsʰuɛ¹³	tsʰuɛ¹³	tsʰuɛ¹³	tsʰuɛ¹³
罪	tsʰuei⁴⁴	tsʰuei⁴⁴	tsʰuei⁴⁴	tsʰue⁴⁴	tsʰuɛ⁴	tsʰuɛ⁴	tsʰuɛ⁴	tsʰuɛ⁴
碎	suei⁴⁴	suei⁴⁴	suei⁴⁴	sue⁴⁴	suɛ⁴⁴	suɛ⁴⁴	suɛ⁴⁴	suɛ⁴⁴
盔	kʰuei³¹²	kʰuei⁴¹²	kʰuei³¹²	kʰue³¹²	kʰuɛ¹³	kʰuɛ¹³	kʰuɛ¹³	kʰuɛ¹³
外	uei⁴⁴	uei⁴⁴	uei⁴⁴	ve⁴⁴	uɛ⁴⁴	uɛ⁴⁴	uɛ⁴⁴	vɛ⁴⁴
乖	kuei³¹²	kuei⁴¹²	kuei³¹²	kue³¹²	kuɛ¹³	kuɛ¹³	kuɛ¹³	kuɛ¹³
筷	kʰuei⁴⁴	kʰuei⁴⁴	kʰuei⁴⁴	kʰue⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴	kʰuɛ⁴⁴
坏	xuei⁴⁴	xuei⁴⁴	xuei⁴⁴	xue⁴⁴	xuɛ⁴⁴	xuɛ⁴⁴	xuɛ⁴⁴	xuɛ⁴⁴
歪	uei³¹²	uei⁴¹²	uei³¹²	ve³¹²	uɛ¹³	uɛ¹³	uɛ¹³	vɛ¹³
话	xua⁴⁴	xua⁴⁴	xua⁴⁴	xua⁴⁴	xua⁴⁴	xua⁴⁴	xua⁴⁴	xua⁴⁴
蛙	ua¹³	ua¹³	ua¹³	va¹³	ua¹³	ua¹³	ua¹³	va¹³
肺	fei⁴⁴	fei⁴⁴	fei⁴⁴	fe⁴⁴	fɛ⁴⁴	fɛ⁴⁴	fɛ⁴⁴	fɛ⁴⁴
脆	tsʰuei⁴⁴	tsʰuei⁴⁴	tsʰuei⁴⁴	tsʰue⁴⁴	tsʰuɛ⁴⁴	tsʰuɛ⁴⁴	tsʰuɛ⁴⁴	tsʰuɛ⁴⁴
岁	tsuei⁴⁴	tsuei⁴⁴	suei⁴⁴	tsue⁴⁴	suɛ⁴	tsuɛ⁴	tsuɛ⁴	tsuɛ⁴
缀	tʃʯei⁴⁴	tʃʯei⁴⁴	tʃʯei⁴⁴	tʃʯe⁴⁴	tʃʯɛ⁴⁴	tʃʯɛ⁴⁴	tʃʯɛ⁴⁴	tʃʯɛ⁴⁴
赘	tʃʯei⁴⁴	tʃʯei⁴⁴	tʃʯei⁴⁴	tʃʯe⁴⁴	tʃʯɛ⁴⁴	tʃʯɛ⁴⁴	tʃʯɛ⁴⁴	tʃʯɛ⁴⁴
税	ʃʯei⁴⁴	ʃʯei⁴⁴	ʃʯei⁴⁴	ʃʯe⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴	ʃʯɛ⁴⁴
桂	kuei⁴⁴	kuei⁴⁴	kuei⁴⁴	kue⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴	kuɛ⁴⁴
惠	xuei⁴⁴	xuei⁴⁴	xuei⁴⁴	xue⁴⁴	xuɛ⁴⁴	xuɛ⁴⁴	xuɛ⁴⁴	xuɛ⁴⁴
碑	pi³¹²	pi⁴¹²	pei³¹²	pi³¹²	pɛ¹³	pɛ¹³	pɛ¹³	pi¹³
披	pʰei³¹²	pʰei⁴¹²	pʰei³¹²	pʰei³¹²	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³	pʰɛ¹³
被	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴	pi⁴⁴
糜	mi¹³	mi¹³	mi¹³	mi¹³	mi¹³	mi¹³	mi¹³	mi¹³
离	li¹³	li¹³	li¹³	li¹³	li¹³	li¹³	li¹³	li¹³
刺	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴	tsʰɿ⁴⁴
