汉字	注释	罗坝
諸		tsu11
書		su11
舒		su11
如		lu42
居		tsɿ11
車	~馬炮	tsɿ11
渠		tsʰɿ11
魚		m42
虛		sɿ11
於		ɿ11
余		ɿ42
餘		ɿ42
女		m31
呂		li11
旅		li31
序		sɿ44
緒		sɿ44
褚	姓	/
苧	~麻	tsʰu11
阻		tsu31
楚		tsʰu31
所		so31
煮		tsu31
處	相~	tsʰu31
暑		su31
鼠		su31
舉		tsɿ31
巨		tsʰɿ11
拒		tsʰɿ11
距		tsʰɿ11
語		ɲi31
許		sɿ31
與		ɿ31
慮		li44
濾		li44
絮		su44
著	顯~	tsu44
助		tsʰu44
處	~所	tsʰu44
恕		su44
署		su31
薯		su42
據		tsɿ44
鋸		tsɿ44
去		sɿ44
禦		/
譽		ji31
預		ɿ44
夫		fu11
膚		fu11
敷		fu11
孵		pu11
符		fu42
扶		fu42
芙		fu42
無		vu42
無	~客气：口语读音	mau11
無	~客气：偶见口语读音	mo11
巫		vu11
趨		tsʰɿ11
鬚		sɿ11
需		sɿ11
蛛		tsu11
株		tsu11
廚		tsʰu42
雛		/
朱		tsu11
珠		tsu11
樞		su11
輸		su11
殊		su42
儒		ɿ42
儒		lu42
拘		tsɿ11
俱		tsʰɿ44
區	~域	tsʰɿ11
愚		ɲi42
娛		vu44
于		ɿ11
愉		ɿ44
府		fu31
甫		pʰu31
斧		fu31
撫		vu31
父		fu44
腐		fu31
腐		fu44
輔		pʰu31
武		vu31
舞		vu31
縷		leu42
取		tsʰɿ31
娶		tsʰɿ31
聚		tsʰɿ44
拄	~拐杖	tsu44
柱		tsʰu11
數	動詞	su31
主		tsu31
豎		su44
乳		iue31
乳		nen44
矩		tsɿ31
雨		ɿ31
宇		ɿ11
羽		ɿ31
愈		ji31
付		fu44
傅		fu44
赴		fu44
訃		/
附		fu44
務		vu44
霧		vu44
屢		li31
趣		tsʰɿ44
續		ɕiuk2
駐		tsu44
註		tsu44
住		tsʰu44
數	名詞	su44
注		tsu44
蛀		tsu44
樹		su44
句		tsɿ44
具		tsʰɿ44
懼		tsʰɿ44
遇		ɿ44
寓		ji31
芋		ɿ44
喻		ɿ44
裕		ɿ44
胎		tʰoi11
台	天~	tʰoi42
臺		tʰoi42
抬		tʰoi42
來		loi42
災		tsoi11
栽		tsai11
猜		tsʰai11
才		tsʰoi42
材		tsʰoi42
財		tsʰoi42
裁		tsʰoi42
該		koi11
開		hoi11
呆		tai11
呆		ŋoi42
孩		hai42
哀		ai11
待		tʰoi44
怠		tʰoi44
乃		nai31
載	年~	tsai31
採		tsʰoi31
在		tsʰoi44
在		tsʰoi11
改		koi31
海		hoi31
亥		/
戴		tai44
態		tʰai44
貸		tʰoi44
代		tʰoi44
袋		tʰoi44
耐		nai44
再		tsai44
載	~重	tsai11
菜		tsʰoi44
賽		sai44
概		kʰai31
溉		kʰai31
礙		ŋoi44
愛		oi44
貝		pe44
沛		pʰe44
帶		tai44
太		tʰai44
泰		tʰai44
大	~夫	tʰai44
奈		nai44
賴		lai44
蔡		tsʰai44
蓋		koi44
艾		ai44
害		hoi44
排		pʰai42
埋		mai42
齋		tsai11
豺		tsʰai42
皆		/
階		kai11
諧		/
挨		ai11
楷		kʰai31
駭		/
拜		pai44
介		kai44
界		kai44
尬		kai44
戒		kai44
械		hai44
牌		pʰai42
釵		tsʰa11
差	出~	tsʰai11
柴		tsʰai42
佳		ka11
街		kai11
涯		ŋa42
崖		ŋai42
鞋		hai42
擺		pai31
罷		pa44
買		mai11
奶		/
灑		sa31
解	~開	kai31
蟹		kʰai31
矮		e31
派		pʰai31
稗		pʰa44
賣		mai44
債		tsai44
曬		sai44
懈		/
隘		ai44
敗		pʰai44
邁		mai44
寨		tsʰai44
蔽		pi44
弊		pi44
幣		pʰi44
例		le44
厲		li44
勵		li44
祭		tsɿ44
際		tsɿ44
滯		tsɿ44
制		tsɿ44
製		tsɿ44
世		sɿ44
勢		sɿ44
誓		sɿ44
逝		sɿ44
藝		ɲi44
批		pʰe11
迷		mi42
低		te11
堤		tʰi42
梯		tʰoi11
題		tʰi42
提		tʰi42
蹄		tʰe42
啼		tʰi42
泥		ne42
犂		le42
黎		le42
妻		tsʰɿ11
齊		tsʰe42
臍		tsʰɿ42
西		sɿ11
棲		/
雞		ke11
稽		/
溪		kʰe11
陛		pi44
米		mi31
底		te31
抵		te31
體		tʰi31
弟		tʰi44
弟		tʰe11
禮		li31
擠		tsɿ31
洗		se31
啟		tsʰɿ31
閉		pi44
謎		mi42
帝		ti44
替		tʰe44
剃		tʰe44
屜		tʰi44
第		tʰi44
遞		tʰi44
麗		li44
隸		tʰit2
濟		tsɿ44
砌		tɕʰiet3
劑		tsɿ44
細		se44
壻	女~	se44
計		tsɿ44
繼		tsɿ44
契		/
系		sɿ11
繫	連~	sɿ44
係		sɿ44
係		he44
杯		pe11
胚		pʰi11
陪		pʰoi42
賠		pʰoi42
梅		me42
媒		me42
煤		me42
堆		ti11
推		tʰi11
雷		le42
催		tɕʰi11
崔	姓	tɕʰi11
魁		kʰi31
恢		foi11
桅		ŋoi42
灰		foi11
回		fe42
煨		/
倍		pʰe44
每		me31
腿		tʰi31
儡		lui42
罪		tsʰui44
罪		tɕʰi44
傀		ki31
賄		fe31
悔		fe31
匯		fe44
輩		pe44
背		pi44
背		poi44
配		pʰe44
背	~誦	pʰoi44
焙	~乾	/
妹		moi44
對		ti11
碓		ti11
退		tʰi44
隊		ti44
內		nai44
累	疲~	li44
碎		ɕi44
塊		kʰai44
晦		fe31
潰		kʰi44
兌		tʰi44
最		tɕi44
會	~計	kʰai44
檜		fe44
外		vai44
外		ŋoi44
會	開~	fe44
會	~不會	fe44
乖		kai11
懷		fai42
怪		kai44
壞		fai44
歪		vai11
蛙		va11
枴		kai31
掛		ka44
卦		ka44
畫		fa44
畫		vak2
快		kʰai44
筷		kʰai44
話		va44
脆		tsʰoi44
歲		soi44
贅		tsoi44
稅		soi44
衛		ve44
銳		iue44
廢		fe44
肺		fe44
吠		pʰoi44
穢		fe44
閨		ki11
奎		kʰe42
桂		ki44
惠		fe44
慧		fe44
碑		pe11
卑		pe11
披		pʰi11
皮		pʰi42
疲		pʰi42
脾		pʰi42
糜		mi42
離		li42
籬		le42
璃		li42
雌		tsʰɿ11
斯		sɿ11
知		tsɿ44
蜘		tsɿ11
池		tsʰɿ42
馳		tsʰɿ42
差	參~	tsʰa11
篩		soi11
支		tsɿ11
枝		tsɿ11
梔		/
施		sɿ11
匙		tsʰɿ42
兒		ɿ42
奇		tsʰɿ42
騎		tsʰɿ42
宜		ɲi42
儀		ɲi44
犧		sɿ11
移		ɿ42
彼		pʰi31
被	~子	pʰi11
紫		tsɿ31
此		tsʰɿ31
璽		sɿ31
徙		/
紙		tsɿ31
只	~有	tsɿ31
舐		se11
氏		sɿ44
企		tsʰɿ11
徛	立	tsʰɿ11
技		tsɿ11
蟻		ɲie44
椅		ɿ31
臂		pi31
譬		pi31
被	~打	pʰi44
避		pʰit2
荔		li44
刺		tsʰɿ44
賜		tsʰɿ44
智		tsɿ44
翅		tsʰɿ44
豉		sɿ44
寄		tsɿ44
義		ɲi44
議		ɲi44
戲		tsʰɿ44
易	難~	ɿ44
易	姓	ji31
悲		pe11
琵		pʰi42
枇		pʰi42
眉		me42
黴		me42
尼		ne42
梨		li42
資		tsɿ11
姿		tsɿ11
瓷		tsʰɿ42
餈		tsʰɿ42
私		sɿ11
遲		tsʰɿ42
師		sɿ11
脂		tsɿ11
屍		sɿ11
飢		tsɿ11
肌		tsɿ11
鰭		tsʰɿ44
伊		ɿ11
姨		ɿ42
姨		ji42
比	~較	pi31
美		mi31
履		li31
姊		tsɿ31
死		sɿ31
指		tsɿ31
屎		sɿ31
几		tsɿ31
祕		pi44
泌		pi44
痹		pi44
屁		pʰi44
備		pʰi44
鼻		pʰi44
媚		me42
地		tʰi44
膩		ne44
利		li44
次		tsʰɿ44
自		tsʰɿ44
四		sɿ44
肆		sɿ44
致		tsɿ44
稚		tsɿ44
至		tsɿ44
示		sɿ44
視		sɿ44
二		ɲi44
貳		ɲi44
器		tsʰɿ44
棄		tsʰɿ44
肄		sɿ44
釐		li42
慈		tsʰɿ42
司		sɿ11
絲		sɿ11
思		sɿ11
詞		tsʰɿ42
祠		tsʰɿ42
癡		tsʰɿ11
持		tsʰɿ42
之		tsɿ11
詩		sɿ11
時		sɿ42
而		/
基		tsɿ11
欺		tsʰɿ11
其		tsʰɿ42
棋		tsʰɿ42
期	時~	tsʰɿ42
疑		ɲi42
熙		sɿ11
醫		ɿ11
飴		/
你		ŋ11
李		li31
里		li31
裡		li31
裡		ti44
理		li31
鯉		li11
子		tsɿ31
祀		sɿ44
巳		/
恥		tsʰɿ31
痔		tsɿ44
士		sɿ44
柿		sɿ44
史		sɿ31
駛		sɿ31
止		tsɿ31
趾		tsɿ31
址		tsɿ31
齒		tsɿ31
始		sɿ31
市		sɿ44
恃		sɿ44
耳		ɲi31
己		tsɿ31
紀		tsɿ44
起		tsʰɿ31
擬		ni42
喜		sɿ31
以		ɿ31
吏		li44
字		sɿ44
伺		tsʰɿ44
寺		sɿ44
飼		sɿ44
置		tsɿ44
治		tsʰɿ44
治		tsʰɿ42
廁		tsʰɿ44
事		sɿ44
志		tsɿ44
誌		tsɿ44
痣		tsɿ44
試		sɿ44
侍		tsʰɿ44
餌		ɿ31
記		tsɿ44
忌		tsɿ44
意		ɿ44
異		ɿ31
幾	~乎	tsɿ31
機		tsɿ11
饑		tsɿ11
祈		tsʰɿ42
希		sɿ11
稀		sɿ11
衣		ɿ11
依		ɿ11
幾	~個	tsɿ31
豈		tsʰɿ31
既		/
氣		tsʰɿ44
汽		tsʰɿ44
毅		ɲi44
隨		sui42
吹		tɕʰi11
炊		tɕʰi11
垂		sui42
規		ki11
虧		kʰi11
危		ŋe42
為	作~	ve42
累	~積	lui44
嘴		tɕi31
髓		sui42
詭		ki31
跪		kʰi31
毀		fe31
委		ve31
累	連~	li44
睡		soi44
瑞		sui44
瑞		iue44
偽		ŋe44
為	~什麼	ve42
雖		sui11
追		tɕi11
槌		tɕʰi42
錘		tɕʰi42
衰		sui11
衰		ɕi11
錐		tsui11
誰		sui42
龜		ki11
葵		kʰe42
維		ve42
遺		ɲi42
壘		/
水		ɕi31
軌		ki31
癸		/
唯		ve42
類		lui44
淚		lui44
醉		tɕi44
翠		tsʰui44
粹		tsʰui44
隧		sui44
穗		sui44
墜		tsui44
帥		sai44
愧		kʰi44
季		tsɿ44
櫃		kʰi44
位		ve44
非		fe11
飛		fe11
肥		fe42
微		ve11
歸		ki11
揮		fe11
輝		fe11
徽		fe11
威		ve11
違		ve42
圍		ve42
匪		fe31
尾		me11
鬼		ki31
偉		ve31
疿		fe11
疿		me11
費	~用	fe44
未		ve44
味		me44
貴		ki44
魏		ve44
諱		fe44
畏		ve44
慰		ve31
緯		ve31
胃		ve44
彙		fe44
褒		pau11
袍		pʰau42
毛		mau11
刀		tau11
掏	~出來	tʰau42
桃		tʰau42
逃		tʰau42
萄		tʰau42
勞		lau42
撈		lau42
糟		tsau11
操	~作	tsʰau11
曹		tsʰau42
臊		tsau44
高		kau11
膏		kau11
篙		kau11
糕		kau11
熬		ŋau42
蒿		hau44
豪		hau42
毫		hau42
號	呼~	hau44
保		pau31
寶		pau31
抱		pau44
島		tau31
倒	打~	tau31
討		tʰau31
道		tʰau44
稻		tʰau44
腦		nau31
惱		nau31
老		lau31
早		tsau31
棗		tsau31
蚤		tsau31
草		tsʰau31
造		tsʰau44
掃	~地	sau44
嫂		sau31
稿		kau31
考		kʰau31
烤		kʰau31
好	~壞	hau31
浩		hau44
襖		au31
懊	~惱	au44
報		pau44
暴		pʰau44
冒		mau44
帽		mau44
到		tau44
倒	~水	tau31
套		tʰau44
盜		tʰau44
導		tʰau44
躁		tsau44
竈		tsau44
糙		tsʰau44
掃	~帚	sau44
告		kau44
靠		kʰau44
犒		hau44
傲		ŋau44
好	喜~	hau44
耗		hau44
號	~數	hau44
奧		au44
懊	~悔	au44
包		pau11
胞		pau11
拋		pʰau11
跑		pʰau42
茅		mau42
錨		mau42
鐃		ɲiau42
抓		tsa11
抄		tsʰau11
鈔		tsʰau11
巢		tsʰau42
梢		sau11
梢		ɕiau11
捎		sau11
交		kau11
膠		kau11
教	~書	kau11
敲		kʰau44
淆		ŋau42
飽		pau31
鮑		pau44
卯		mau42
爪		tsau31
找		tsau31
炒		tsʰau31
吵		tsʰau42
狡		kau31
攪		kau31
巧		tɕʰiau31
咬		ŋau11
爆		pʰau44
炮		pʰau44
泡	~水裡	pʰau11
貌		mau44
鬧		nau44
稍		sau11
教	~育	kau44
校	~對	tɕiau31
較		kau44
酵		hau44
覺	睡~	kau44
孝		hau44
效		hau44
校	學~	hau44
標		piau11
飄		pʰiau11
瓢		pʰiau42
苗		miau42
貓		miau44
燎		liau42
蕉		tɕiau11
椒		tɕiau11
鍬		tɕʰiu11
樵		tɕiau11
消		ɕiau11
宵		ɕiau11
銷		ɕiau11
朝	今~	tsau11
超		tsʰau11
朝	~代	tsʰau42
潮		tsʰau42
招		tsau11
燒		sau11
韶		sau42
饒		ɲiau42
驕		tɕiau11
嬌		tɕiau11
僑		tɕʰiau42
橋		tɕʰiau42
囂		ɕiau11
邀		iau11
腰		iau11
要	~求	iau11
搖		iau42
謠		iau42
表		piau11
漂		pʰiau44
藐		miau31
秒		miau31
剿		tɕiau31
悄		tɕʰiau11
小		ɕiau31
趙		tsʰau44
兆		tsau44
沼		tsau11
少	多~	sau31
紹		sau44
擾		kau31
擾		tɕiau31
繞	圍~	ɲiau31
矯		tɕiau11
舀		iau31
票		pʰiau44
漂	~亮	pʰiau44
廟		miau44
妙		miau44
療		liau42
醮		/
俏		tɕʰiau44
笑		ɕiau44
召		tsau11
照		tsau44
少	~年	sau44
轎		tɕʰiau44
要	重~	iau44
耀		iau44
鷂	~鷹	/
刁		tiau11
雕		tiau11
挑		tʰiau11
條		tʰiau42
調	~和	tʰiau42
聊		liau42
撩		liau42
蕭		ɕiau11
澆		tɕiau11
堯		ɲiau42
么	~二三	iau11
鳥		ɲiau31
鳥		tiau11
了	~結	liau31
瞭		liau44
繳		tɕiau31
曉		ɕiau31
杳		/
釣		tiau44
跳		tʰiau44
糶		tʰiau44
掉		tʰiau44
調	音~	tʰiau44
調	~動	tiau44
尿		ɲiau44
料		liau44
叫		tɕiau44
竅		tɕʰiau44
兜		teu11
偷		tʰeu11
頭		tʰeu42
投		tʰeu42
樓		leu42
摟	~取	leu42
勾		kieu11
鉤		kieu11
溝		kieu11
摳		kʰieu11
喉		heu42
猴		heu42
歐		eu11
剖		pʰo44
某		meu31
畝		meu31
母		mu31
斗		teu31
抖		teu31
陡		teu31
敨	~氣	tʰeu31
簍		leu42
走		tseu31
狗		kieu31
口		kʰieu31
口		heu31
叩		kʰieu44
藕		ŋeu31
藕		neu31
偶	配~	ŋeu31
後		heu44
厚		heu11
嘔		eu31
戊		vu44
茂		meu44
貿		mau44
鬥		teu44
透		tʰeu44
豆		tʰeu44
漏		leu44
陋		leu44
奏		tseu44
湊		tsʰeu44
嗽		seu44
夠		kieu44
構		kieu44
購		kieu44
扣	~住	kʰieu44
候		heu44
漚	久浸水中	/
浮		feu42
謀		meu42
矛		mau42
流		liu42
劉		liu42
留		liu42
揫	~住	tɕiu11
秋	~天	tɕʰiu11
修		ɕiu11
羞		tɕʰiu31
囚		tɕʰiu42
泅		tɕʰiu42
抽		tɕʰiu11
綢		tsʰeu42
綢		tɕʰiu42
籌		tsʰeu42
鄒		tseu11
愁		tɕʰiu42
搜		seu11
周		tɕiu11
州		tɕiu11
收		ɕiu11
仇		ɕiu42
酬		tɕʰiu42
柔		iu42
揉		iu42
糾	~纏	tɕiu11
丘		tɕʰiu11
求		tɕʰiu42
球		tɕʰiu42
仇	姓	tɕʰiu42
牛		ɲiu42
休		ɕiu11
憂		iu11
優		iu11
尤		iu11
郵		iu42
由		iu42
油		iu42
游		iu42
悠		iu11
否		feu31
婦		fu44
負		fu44
紐		ɲiu31
扭		ɲiu31
柳		liu31
酒		tɕiu31
丑		tɕʰiu31
帚		tɕiu31
醜		tɕʰiu31
手		ɕiu31
首		ɕiu31
守		ɕiu31
受		ɕiu44
九		tɕiu31
久		tɕiu31
韭		tɕiu31
灸		tɕiu44
臼		tseu44
舅		tɕʰiu11
朽		ɕiu31
有		iu11
友		iu31
酉		/
誘		iu44
富		fu44
副		fu44
復	~興	fuk2
餾		liu31
廖		liau44
就		tɕʰiu44
秀		ɕiu44
繡		ɕiu44
宿	星~	ɕiuk3
銹		ɕiu44
袖		tɕʰiu44
袖		ɕiu44
晝		tɕiu44
晝		tseu44
宙		tɕʰiu44
縐		tseu44
驟		tseu44
瘦		seu44
漱	~口	su11
咒		tseu44
臭	香~	tɕʰiu44
獸		tsʰiu44
壽		ɕiu44
售		ɕiu44
救		tɕiu44
究		tɕiu44
舊		tɕʰiu44
嗅		ɕiu44
又		iu44
右		iu44
柚		iu44
彪		piau11
丟		tiu11
幽		iu11
謬		miau44
幼		iu44
耽		tan11
貪		tʰan11
潭		tʰan42
譚		tʰan42
南		nan42
男		nan42
簪		tsan11
參		tsʰan11
蠶		tsʰan42
堪		kʰan11
龕		/
含		han42
函		han42
庵		an11
慘		tsʰan31
感		kan31
坎		kʰan44
撼		han44
揞	手覆	en11
探		tʰan44
勘		kʰan44
憾		han44
暗		an44
答		tat3
搭		tat3
踏		tʰat3
納		nat2
拉		la11
雜		tsʰat3
合	十合一升	/
鴿		kat3
喝	~酒	hot3
合		hot2
盒		hat2
擔	~任	tan11
談		tʰan42
痰		tʰan42
藍		lan42
籃		lan42
慚		tsʰan42
三		san11
甘		kan11
柑		kan11
憨	癡	han11
膽		tan31
毯		tʰan31
淡		tʰan31
覽		lan31
攬		lan31
敢		kan31
橄		kan31
喊		han44
擔	挑~：阴平读音	tan11
擔	挑~：阴去读音；~竿：扁担，读阴去	tan44
濫		lan44
纜		lan31
暫		tsʰan44
塔		tʰat3
塌		tʰat3
臘		lat2
蠟		lat2
饞		tsʰan42
杉		sa11
尷		kan11
咸		han42
鹹		han42
斬		tsan31
減		kan31
站	~立	tsan44
賺		tsʰon44
站	車~	tsʰan44
陷		han44
插		tsʰat3
閘		tsat2
炸		tsa44
夾		kat3
恰		kʰat3
掐		kʰat3
狹		hat2
峽		hat2
洽		kʰat3
攙		tsʰan11
衫		san11
監	~牢	kan44
嵌		/
巖		ŋan42
銜		ɕien42
艦		kan44
鑑		kan44
甲		kat3
胛	肩~	kat3
匣		hat3
鴨		at3
押		at3
壓		at3
黏		ɲien11
廉		lien42
鐮		lien42
簾		lien42
尖		tɕien11
籤		tɕʰien11
簽		tɕʰien11
潛		tɕʰien42
沾		tsan11
瞻		tsan11
占	~卜	tsen11
鉗		tɕʰien42
淹		ien31
閹		ien11
炎		ien42
鹽		ien42
簷		ŋan42
斂		lien31
漸		tɕʰien44
陜		sen31
閃		sen31
染		ɲien31
檢		tɕien31
臉		lien31
儉		tɕʰien31
險		ɕien31
掩		ien31
斂		lien31
殮		lien44
佔		tsen11
驗		ɲien44
厭		ien44
豔		ien44
焰		ien44
鑷		niet3
躡		niet3
獵		liak2
接		tɕiet3
妾		tɕʰiet3
捷		tɕiet2
摺		tset3
攝		set3
涉		set2
葉		iet2
頁		iet2
嚴		ɲien42
醃		ien11
劍		tɕien44
欠		tɕʰien44
釅		/
劫		tɕiet3
劫		tɕʰiet3
怯		ɕiet3
業		ɲiet2
脅		ɕiet2
添		tʰien11
甜		tʰien42
拈	~起來	nien11
兼		tɕien11
謙		tɕʰien11
嫌		ɕien42
點		tien31
店		tien44
念		nien44
歉		tɕʰien44
跌		tiet3
帖		tʰiet3
貼		tiet3
疊		tʰiet2
碟		tʰiet2
牒		tʰiet2
蝶		tʰiet2
挾	~菜	tɕiet3
協		ɕiet2
凡		fan42
帆		fan42
范		fan44
範		fan44
犯		fan44
泛		fan44
法		fat3
乏		fat2
林		lin42
淋		lin42
臨		lin42
侵		tɕʰin11
心		ɕin11
尋		tɕʰin42
沉		tɕʰin42
森		sen42
參	人~	sen11
針		tɕin11
斟		tsen11
深		tɕʰin11
壬		ɲin42
今		tɕin11
金		tɕin11
欽		tɕʰin11
琴		tɕʰin42
禽		tɕʰin42
吟		in42
音		in11
陰		in11
淫		in42
稟		pin31
品		pʰin31
寢		tɕʰin31
枕		tɕin31
沈		ɕin31
審		ɕin31
嬸		ɕin31
甚		ɕin44
錦		tɕin31
飲	~酒	ɲin31
浸		tɕin44
滲	~透	sen44
任	責~	ɲin44
紝	縫~	/
禁	~止	tɕin44
撳	按	tɕʰin44
立		lit2
笠		lit2
粒		lit3
緝		tɕʰit2
集		tɕʰit2
輯		tɕʰit2
習		ɕit3
襲		/
蟄		tɕʰit2
澀		set3
執		tɕit3
汁		tɕit3
濕		ɕit3
十		ɕit2
入		ɲit2
急		tɕit3
級		tɕit3
給	供~	tɕit3
及		tɕʰit2
吸		tɕʰit2
單	~獨	tan11
灘		tʰan11
攤		tʰan11
壇		tʰan42
彈	~琴	tʰan42
難	~易	nan42
蘭		lan42
欄		lan42
餐		tsʰan11
殘		tsʰan42
珊		san11
肝		kon11
竿		kon11
乾	~濕	kon11
刊		kʰan11
寒		hon42
韓		hon42
安		on11
坦		tʰan31
誕		tan44
懶		lan11
傘		san31
桿		kon11
稈		kon31
趕		kon31
罕		han31
旱		hon11
旦		tan44
炭		tʰan44
歎		tʰan44
但		tʰan44
彈	子~	tʰan44
蛋		tʰan44
難	患~	nan44
爛		lan44
贊		tsan44
燦		tsʰan44
散	分~	san44
幹		kon44
看	~見	kʰon44
岸		ŋan44
漢		hon44
汗		hon44
按		on44
案		on44
獺	水~	/
達		tʰat2
捺	撇~	nat2
辣		lat2
瘌		la11
擦		tsʰat3
割		kot3
葛		kot3
渴		hot3
山		san11
艱		kan11
間	空~	kan11
閑		han42
盞		tsan31
鏟		tsʰan31
產		tsʰan31
簡		kan31
柬		tɕien31
眼		ŋan31
限		han44
扮		pʰan44
盼		pʰan44
瓣		pʰan44
辦		pʰan44
綻	破~	tsan44
綻		tsʰan44
間	~斷	kan11
莧	~菜	ɕien44
八		pat3
拔		pʰat2
紮		tsat3
察		tsʰat3
殺		sat3
軋	~棉花	at3
班		pan11
扳		pan11
攀		pʰan11
蠻		man42
刪		san11
奸		kan11
顏		ŋan42
板		pan31
版		pan31
慢		man44
棧		tsʰan44
疝	~氣	/
諫		/
澗		/
雁		ŋan44
晏	晚也	ien44
鍘		tsʰet2
瞎		hat3
轄		hat2
編		pʰien11
篇		pʰien11
偏		pʰien11
便	~宜	pʰien42
棉		mien42
連		lien42
聯		lien42
煎		tɕien11
遷		tɕʰien11
錢		tɕʰien42
仙		ɕien11
鮮	新~	ɕien11
涎		ien42
纏		tsʰan42
搧		sen44
蟬		sen42
然		ien42
燃		ien42
乾	~坤	tɕʰien42
虔		tɕʰien42
焉		ien11
延		ien42
筵		ien44
辨		pʰien44
辯		pʰien44
免		mien31
勉		mien31
緬		mien31
碾		tsen31
剪		tɕien31
淺		tɕʰien31
踐		tɕʰien44
鮮	~少	ɕien11
癬		ɕien31
展		tsen31
善		sen44
遣		tɕʰien31
件		tɕʰien44
演		ien31
變		pien44
騙		pʰien44
便	方~	pʰien44
恩		mien44
箭		tɕien44
賤		tɕʰien44
線		ɕien44
羨		ɕien44
戰		tsen44
顫		tsʰan44
扇		sen44
諺		ŋan42
別		pʰiet2
滅		met2
列		liet2
烈		liet2
裂		liet2
薛		ɕiot3
泄		/
哲		tset3
徹		tsʰet3
撤		tsʰet3
折		tset3
浙		tset3
舌		set2
設		set3
熱		ɲiet2
傑		tɕʰiet2
孽		/
言		ɲien42
