pa[1]巴疤芭[2]把爸[5]坝霸[6]罢={~了}
tsat[7]札扎铡=
sat[7]杀铡-撒
ŋat[8]雁
hat[7]瞎獭-[8]达辖
pɔn[1]般搬[5]半
pʰɔn[1]潘蟠[2]盘磐[3]伴[5]判泛-{豁出去}[6]叛拌
mɔn[2]瞒鳗[3]满
fɔn[5]焕唤[6]缓换
tɔn[1]端[3]短[5]断{~定}
tʰɔn[3]闯[5]篡[6]赚
nɔn[3]暖
lɔn[1]□{用手指转动铜钱}[6]乱卵
tsɔn[1]钻[3]□{湿布擦}[5]钻{名词}
sɔn[1]酸闩栓[5]算蒜
kɔn[1]干肝竿乾杆[3]秆{稻草}[5]干{~部}
kʰɔn[1]刊镌[5]看
ŋɔn[6]岸
hɔn[2]团糰寒韩[3]旱罕断{~了}[5]汉[6]汗翰段缎煅
ɔn[1]安鞍[5]案按
pɔt[7]钵拨{~款}[8]拨-{~火}
pʰɔt[7]泼[8]钹
mɔt[7]抹沫[8]末
fɔt[8]活
tɔt[8]戳{粗话骂人}
tʰɔt[7]撮
lɔt[8]捋
tsɔt[8]□{吸气}
kɔt[7]葛割
kʰɔt[7]渴
hɔt[7]喝脱[8]夺
ɔt[7]遏
pən[1]奔
mən[2]门[6]问-闷焖
tʰən[5]衬
tsən[1]榛臻
kən[1]根跟巾斤筋
kʰən[3]垦恳近-
ŋən[2]银
hən[1]吞[2]痕[3]狠很[6]恨
ən[1]恩
mət[7]蠓{小黑蚊}[8]没
hət[8]核
pin[1]宾滨鬓槟彬斌[3]禀[5]殡
pʰin[1]乒[3]贫频苹[3]品
min[1]抿[2]民闽[3]闵悯敏[5]泯{埋地瓜育苗}
fin[1]薰=勋[2]唇-[5]训衅
vin[1]晕=[2]云雲匀[7]闰润运韵
nin[6]佞
lin[2]邻嶙磷鳞[6]吝
tsin[1]津珍真稹贞侦祯[3]诊疹[5]进晋镇振震圳俊
tsʰin[1]亲[2]陈尘秦[5]趁[6]尽烬阵
sin[1]新辛薪娠身伸呻砷[2]辰晨神臣巡纯醇唇=[3]笋损[5]信迅讯囱[6]肾慎顺-
kin[3]紧仅谨
kʰin[2]芹勤[3]近=
ŋin[2]人仁[3]忍[6]认
hin[1]欣馨
in[1]殷[2]寅[3]引隐瘾[5]印[6]孕
pit[7]必笔毕
pʰit[7]匹
mit[8]密蜜
vit[7]熨鬱
lit[8]栗律粒
tsʰit[7]七漆[8]疾侄戚
sit[7]失膝戍[8]实术{白~}述
kit[7]吉
kʰit[7]乞
ŋit[7]□{扭伤}[8]日
it[7]一乙
pun[3]本[5]笨
pʰun[1]喷{~出来}[2]盆[5]喷{~香}
fun[1]分芬纷氛昏婚荤[2]魂焚浑=坟[3]粉愤[5]奋粪[6]混
tun[1]敦墩[3]盾[5]顿钝
tʰun[1]村春蛏椿[2]存[3]蠢□{推}[5]寸
nun[6]嫩
lun[2]仑伦抡侖轮沦[6]论蜦
tsun[1]尊遵[3]准
sun[1]孙荪[3]损[5]逊[6]顺=
kun[3]滚[5]棍
kʰun[1]昆崑锟坤[3]捆[5]困
hun[2]遁{躲避}屯豚[6]钝
un[1]温瘟[3]浑-文纹[3]稳吻刎[5]提蕴[6]问={学~}
put[7]不
pʰut[8]勃渤
fut[7]忽[8]佛
tʰut[7]出
lut[7]□{滑落}[8]寽{五指捋}𢯰{去滓汁}
tsut[7]卒
sut[7]戍[8]术
kut[7]骨
kʰut[7]窟[8]□{kʰi~：好动}
hut[8]秃凸
ut[8]物𫧃兀
pien[1]边鞭编[3]扁匾贬[5]变
pʰien[1]篇偏翩[2]便{~宜}[3]□{古怪}[5]骗遍片[6]辨辩便{方~}汴
mien[2]眠棉绵[3]免娩勉缅[7]面
fien[2]玄弦舷悬[3]掀-
vien[1]冤渊[2]丸员圆沿缘园袁辕猿[3]远[5]怨[6]县院
tien[1]颠巅癫[3]典=碘
nien[2]年[3]燃撵
lien[2]连莲怜[3]脸典-{~屋}[6]练炼鍊楝恋
tsien[1]煎笺专砖[3]剪翦晋戬展转辗[5]箭饯-溅战
tsʰien[1]千迁韆川钏穿[2]前钱铅缠全泉痊传[3]浅癣-喘[5]倩串[6]贱践饯传{~记}
sien[1]仙先鲜宣萱喧[2]禅蝉旋船[3]选癣[5]线扇[6]善膳鳝
kien[1]肩坚□{去皮}[3]茧枧{~头：地名}拣[5]见建键
kʰien[1]牵[2]乾{~坤}虔[3]遣谴[5]件健
ŋien[2]言[3]碾研[6]谚砚
hien[1]掀=天佃[2]田慎滇贤[3]显[5]宪献[6]现电殿奠
ien[1]烟姻{~亲}焉[2]然燃延筵[3]演衍[5]宴燕蔫堰
piet[7]鳖憋屄撇[8]拔-
pʰiet[8]别
miet[7]□{片撕}[8]灭篾
fiet[7]血[8]穴
viet[7]阅悦越[8]曰
liet[8]列烈裂例
tsiet[7]折浙哲节栉疖拙
tsʰiet[7]切砌彻彻[8]绝截
siet[7]薛雪说屑说{游~}[8]舌
kiet[7]结
kʰiet[8]杰揭竭蝎
ŋiet[7]孽蘖[8]热
hiet[7]歇铁
iet[8]□{用力拉}
kuan[1]关鳏[5]惯
kʰuan[2]环-
uan[1]弯湾挽[2]顽[3]晚[6]万
kuat[7]括刮[8]□{鸡抓土}
uat[7]挖-[8]滑猾
kuɔn[1]官棺冠观[3]管馆[5]贯灌罐
kʰuɔn[1]宽[3]款
uɔn[2]完[3]碗腕豌宛婉[6]换
suɔt[7]刷
kʰuɔt[7]阔
kuən[1]捐娟鹃绢[3]捲[5]卷券眷
kʰuən[1]圈[2]权拳[3]犬楦[5]劝[6]倦
uən[2]元原源[3]软阮[6]愿願
kuət[7]决
kʰuət[7]缺[8]□{各~：古怪}
uət[8]月
kuin[1]军君均钧[3]菌
kʰuin[1]薰-[2]裙群
kuit[7]桔
kʰuit[7]屈掘
paŋ[1]绷[6]蹦
pʰaŋ[1]乒□{吹气}□{劈}[2]彭澎膨棚[3]甏{瓮}[5]泛{虚假}
maŋ[1]朦[2]㬟□{菜白炒}[3]蜢[5]□{衣裂缝}
faŋ[3]□{脆}
taŋ[1]争-{差}[3]整
tʰaŋ[1]撑睁[2]程-{姓}埕{斗~：地名}[5]清{冷}[6]郑
naŋ[3]□{~子：小个子}
tsaŋ[1]争-[5]□{勾引}
saŋ[1]生-声-甥[2]成-城-[3]省-
kaŋ[1]更-{五~}羹[3]埂[5]□{捞鱼}[6]□{争吵}
kʰaŋ[1]坑[5]□{水沟}
ŋaŋ[6]硬
haŋ[1]夯[2]行-{~走}桁[3]哽-
aŋ[1]瓮[5]□{迫使}
pak[7]百-伯-
pʰak[7]拍-[8]白-
mak[7]□{攀}[8]默麦{~冬}
fak[7]□{~禾：谷桶中脱粒}[8]划
tak[7]隻-
tʰak[7]拆册尺赤
nak[8]搦{捕捉}
tsak[7]摘隻=硩{压}
sak[7]栅[8]石
kak[7]格-隔-□{禾~：打谷桶}
kʰak[7]客-[8]喀
hak[7]吓赫-
ak[7]□{编竹器}[8]轭
pɔŋ[1]邦帮[3]榜绑[5]棒[6]谤
pʰɔŋ[2]旁庞[3]塝{田~}[5]胖蚌[6]碰
mɔŋ[1]蒙{~住}[2]芒忙茫盲[3]莽网[6]望
fɔŋ[1]方坊芳肪荒慌[2]黄磺簧皇蝗防房[3]纺仿访幌[5]放
tɔŋ[1]当噹[3]党挡[5]当{典~}
tʰɔŋ[1]仓苍疮沧昌菖猖鲳娼窗[2]长{~短}肠场藏[3]厂[5]畅唱倡[6]丈杖藏{西~}脏撞
nɔŋ[1]□{催眠}[2]瓤囊
lɔŋ[1]□{贯穿}[2]郎狼廊[3]朗[6]浪
tsɔŋ[1]赃妆庄装张章樟獐彰璋[3]长{队~}涨掌[5]葬胀帐账壮障瘴
sɔŋ[1]桑商熵伤双霜[2]裳常床尝[3]赏偿爽磢{柱石}[5]丧[6]上尚
kɔŋ[1]缸豇肛扛江刚纲[3]讲港[5]钢降{下~}
kʰɔŋ[1]康糠[3]慷[5]抗囥[6]□{拟声词}
ŋɔŋ[2]昂
hɔŋ[1]汤[2]堂棠螳膛瞠唐塘糖杭航行{银~}降{投~}[3]倘躺[6]项巷笐{~篙}盪{重洗}
ɔŋ[1]肮
pɔk[7]剥驳
pɔk[7]朴扑[8]薄雹
mɔk[7]膜幕莫寞[8]□{端起}
fɔk[8]缚
tɔk[7]剁{买肉}[8]啄
tʰɔk[7]戳{骂人语}绰[8]着-{睡~}浊镯
lɔk[7]络-[8]络=落洛烙骆酪乐
tsɔk[7]作着={~衣}卓桌酌琢
sɔk[7]索缩[8]勺芍杓赎
kɔk[7]各阁搁觉[8]铎□{用手指背扣头}
kʰɔk[7]确壳[8]□{敲木鱼}
ŋɔk[8]岳乐
hɔk[7]托託[8]学鹤
ɔk[7]恶沃={肥~}
pəŋ[1]冰崩
pʰŋ[1]烹[2]朋硼瓶[3]碰
məŋ[2]萌[3]猛[6]孟
təŋ[1]登灯叮疗勒钉{~子}[3]等顶-戥[5]凳钉{~住}订
tʰəŋ[2]曾{~经}层[5]憎[6]赠
nəŋ[2]能宁
ləŋ[2]零-[3]冷
tsəŋ[1]曾{姓}增争=筝[5]甑
səŋ[1]僧生=甥[3]省=醒[5]腥
kəŋ[1]更={~改}庚耕[3]耿[5]更{~加}
kʰəŋ[2]□{留下}[3]肯
həŋ[1]汀厅-亨[2]行{行为}恒衡[3]幸悻[5]□{~毒：无名肿毒}[6]邓定-{~钱}
əŋ[1]鹰莺
pək[7]北百=伯=柏泊{水~}
pʰək[7]迫魄[8]白=帛
mək[8]墨陌脉默
fək[8]或获
tək[7]得德
tʰək[7]策测[8]宅贼
nək[7]□{扭、拧}
lək[8]劣勒□{刺}
tsək[7]则侧仄责鲫
sək[7]塞色
kək[7]格=革隔=
kʰək[7]刻客-
ŋək[7]扼[8]额={名~}
hək[7]黑赫=踢-[8]笛-特
piŋ[1]兵[2]屏[5]柄=饼
pʰiŋ[1]拼乒[2]平=评凭瓶=[5]聘[6]病=
miŋ[2]明=萌盟鸣名=铭幂瞑仍{~田：地名}[3]皿[6]命=
fiŋ[1]兄=
viŋ[2]荣莹萤=茔[3]永允颖[5]詠[6]泳
tiŋ[1]丁仃叮[3]顶-鼎[5]钉-{~住}
liŋ[2]凌陵灵铃羚伶菱[3]领岭=[6]另
tsiŋ[1]征徵蒸精=晶睛[3]整[5]正证症政
tsʰiŋ[1]称{~呼}清青=[2]情晴程={~度}逞[3]请[5]秤称{对~}[6]静净郑={~重}靖
siŋ[1]升声=星[2]承乘丞塍成=诚城=[5]胜性姓=圣舜瞬[6]剩=盛
kiŋ[1]经惊=[3]景境警[5]敬竟镜=劲茎径颈=
kʰiŋ[1]卿轻=[5]庆
hiŋ[1]兴{~旺}听厅=[2]亭停婷延庭刑形型[3]挺艇[5]兴{高~}听{~任}[6]定=
iŋ[1]应{~该}婴缨樱英[2]蝇赢=盈[3]影=[5]应{答~}[6]剩-
pik[7]逼毕哗璧壁=碧□{焖}[8]弼
pʰik[7]辟癖劈=
mik[8]觅
vik[7]熨[8]域疫役
tik[7]的滴
nik[7]逆溺
lik[7]力历歷
tsik[7]积迹织=职脊=[8]绩
tsʰik[7]灸斥[8]直值植殖籍蛰秩泽
sik[7]息媳熄式拭饰昔惜释适识锡=析渐悉室[8]食夕席蚀蓆
kik[7]击激戟
kʰik[8]极剧
ŋik[8]逆
hik[7]踢=[8]笛=敌
ik[7]益逸亦奕[8]翼
puŋ[3]捧
pʰuŋ[2]蓬篷
muŋ[2]蒙濛[3]懵[6]梦
fuŋ[1]风枫疯讽蜂锋峰封丰轰=烘[2]逢缝冯红洪虹=宏鸿[3]哄[5]俸[6]凤奉缝{~隙}
tuŋ[1]东冬[3]董懂塚[5]冻栋崠{~上：地名}
tʰuŋ[1]葱忽聪囱充冲衝[2]虫重{~复}[3]宠[5]铳[6]仲重{轻~}
nuŋ[2]农浓=脓[6]弄
luŋ[2]砻聋笼[3]拢陇[5]垅弄{~堂}
tsuŋ[1]宗鬃综棕踪中忠衷盅钟锺[3]种{~子}肿总[5]中{~意}
