#m̩	
kwʰ	[55]昆崑坤[35]綑菌[33]困窘[21]群裙
w	[55]溫瘟[35]穩[33]熨[21]魂餛勻云{子云}雲暈[13]允尹[22]渾混運
h	[35]懇墾齦很[21]痕銀艮齦[22]恨
#ɐŋ	
p	[55]奔崩
pʰ	[21]頻朋憑
m	[21]萌盟
t	[55]登燈瞪[35]等[33]凳[22]鄧澄{澄粉、澄麵}
tʰ	[21]騰謄藤疼
l	[21]能
tʃ	[55]曾增憎僧爭箏睜
tʃʰ	[21]曾{曾經}
ʃ	[55]生{出生}
k	[55]更{更換}庚粳羹耕[35]哽埂梗耿[33]更{更加}
kw	[55]轟揈
h	[55]亨[21]恆行{行為}衡[22]行{品行}幸
#ɐp	
l	[2]立
ʃ	[2]十什拾
j	[2]入
k	[3]合{十合一升}蛤鴿
kʰ	[2]及
h	[2]合{合作}盒磕洽
#ɐt	
p	[2]拔鈸弼
m	[2]襪密蜜物勿
f	[2]乏伐筏罰佛
tʃ	[2]疾姪
j	[2]日逸
kw	[2]掘倔
w	[2]核{核桃}
h	[2]瞎轄核{審核}
ø	[2]訖
#ɐk	
p	[2]拔鈸弼
m	[2]襪密蜜物勿
t	[2]特
l	[2]肋勒
#ɛ	
t	[55]爹
tʃ	[55]遮[35]姐者[33]借
tʃʰ	[55]車奢[35]且扯[21]邪斜
ʃ	[55]些賒[35]寫捨[33]瀉卸赦舍[21]蛇佘[13]社[22]射麝
j	[21]耶爺[13]惹野[22]夜
kʰ	[21]茄瘸
#ɛŋ	
p	[35]餅[33]柄[22]病
t	[55]釘[35]頂-[33]掟[22]訂
tʰ	[55]聽-廳[13]艇
l	[33]靚[21]靈-鯪[13]領-嶺-
tʃ	[55]精-[35]井-阱-[33]正-[22]淨-鄭阱-
tʃʰ	[55]青-[35]請-
ʃ	[55]聲-星-腥-[35]醒[21]成-城-
k	[55]驚-[35]頸-[33]鏡
h	[55]輕-
#ɛk	
p	[3]壁-
pʰ	[3]劈-
t	[2]笛-糴(糴米}
tʰ	[3]踢
tʃ	[3]隻炙脊
tʃʰ	[3]赤-尺呎
ʃ	[3]鍚-[2]石
kʰ	[2]劇屐
h	[3]吃喫
#ei	
p	[55]篦碑卑悲[35]彼俾比秕[33]臂祕泌轡庇痺[22]被避備鼻
pʰ	[55]披丕[35]鄙[33]譬屁[21]皮疲脾琶枇[13]被婢
m	[21]糜眉楣微[13]靡美尾[22]媚寐未味
f	[55]非飛妃[35]匪榧翡[21]肥
t	[22]地
l	[55]璃[21]驢雷彌離梨釐狸[13]履你李里裡理鯉累[22]膩利吏餌
k	[55]飢几{茶几}基幾{幾乎}機饑[35]己紀杞幾{幾個}[33]寄記既[22]技妓忌
kʰ	[33]冀[21]奇{奇怪}騎{輕騎}祁鰭其棋期旗祈[13]企徛{站立}
h	[55]犧欺嬉熙希稀[35]起喜蟢[33]戲器棄氣汽
#eŋ	
p	[55]冰兵[35]丙秉[33]迸柄併[22]並
pʰ	[55]姘拼[33]聘[21]平坪評瓶屏萍
m	[21]鳴明名銘[13]皿[22]命
t	[55]丁=釘=靪疔[35]頂=鼎[33]釘=[22]訂=錠定
tʰ	[55]聽=廳=汀{水泥}[33]聽{聽其自然}[21]亭停廷蜓[13]艇挺
l	[55]拎[21]楞陵凌菱寧靈=零=鈴伶翎[13]領=嶺=[22]令侫另
tʃ	[55]徵蒸精晶睛貞偵正{正月}征[35]拯井=整[33]證症正{正常}政[22]靜靖淨
tʃʰ	[55]稱{稱呼}清蟶青=蜻[35]請逞[33]稱{相稱}秤[21]澄懲澄{水清}晴呈程
ʃ	[55]升勝聲=星{星空}腥=[35]省醒={醒目}[33]勝性姓聖[21]乘繩塍承丞成={成事}城={城市}誠[22]剩盛
