140	锄		ʦʰu212	
1359	畜	～牧	ʦʰuk31	
940	穿		ʦʰɔn45	
938	传	～达	ʦʰɔn212	
941	船		sɔn212	
1124	疮		ʦʰɔŋ45	
1173	窗		ʦʰɔŋ45	
1125	床		ʦʰɔŋ212	
426	吹		ʦʰui45	
436	锤		ʦʰui212	
1042	春		ʦʰun45	
1378	春		ʦʰun45	
1045	纯		sun212	
1171	戳		ʦʰɔk31	
373	祠	新派	ʦʰi212	
380	祠	老派	ʦu45	
342	瓷	新派	ʦʰi212	
346	瓷	老派	ʦʰi212/ʦʰy̜212	
369	慈	老派	ʦʰi212/ʦʰy̜212	
370	慈	新派	ʦʰi212	
310	此	新派	ʦʰi31	
316	此	老派	ʦʰi31/ʦʰy̜31	
1319	葱		ʦʰuŋ45	
1369	从	～来	ʦʰuŋ212	
111	粗		ʦʰu45	
112	醋		ʦʰu52	
273	催		ʦʰui45	
1026	村		ʦʰun45	
1027	寸		ʦʰun52	
24	锉		ʦʰɔ52	
113	错		ʦʰɔ52	
644	搭		tap31	
763	达		tʰat5	
643	答		tap31	
4	大		tʰai31	
191	代		tʰɔi31	
205	带		tai52	
190	待		tʰɔi31	
192	袋		tʰɔi31	
188	戴		tai52	
660	担	~担	tam45	
662	担	挑～	tam52	
758	单		tan45	
661	胆		tam31	
666	淡		tʰam31	
761	弹	～琴	tʰan212	
762	蛋		tʰan31	
1075	党		tɔŋ31	
1080	荡		tʰɔŋ31	
465	刀		tɔ45	
466	到		tɔ52	
470	道		tʰɔ31	
471	稻		tʰɔ31	
1185	得		tət31	
338	地		tʰi31	
1183	灯		tən45	
1184	等		tən31	
239	低		təi45	
240	堤		tʰəi212	
1276	滴		tit31	
1282	敌		tʰit5	
1281	笛		tʰit5	
246	弟		tʰəi?31	
247	第		tʰi31	
866	颠		tien45	
711	点		tiem31	
871	电		tʰien31	
712	店		tiem52	
872	垫		tien52	
547	钓		tieu52	
551	调	音~	tʰieu212	
717	叠		tʰiep5	
1275	钉	铁～	tən45	
1280	定		tʰin31	
1304	东		tuŋ45	
1329	冬		tuŋ45	
1305	懂		tuŋ31	
1311	动		tʰuŋ31	
1306	冻		tuŋ52	
1312	洞		tʰuŋ31	
94	都		tu45/təu45	
561	兜		təu45	
562	斗	一～	təu52	
563	斗	～争	təu52	
567	豆		tʰəu31	
1330	毒		tʰuk5	
1313	独		tʰuk5	
1314	读		tʰuk5	
95	赌		tu31	
101	杜		tʰu31	
96	肚	猪～	tu31	
102	肚	腹～	tu31	
103	度		tʰu31	
899	端		tɔn45	
900	短		tɔn31	
903	断	折～	tʰɔn45	
904	缎		tʰɔn31	
266	堆		tui45	
271	队		tʰui31	
267	对		tui52	
1019	墩		tun45	
1020	顿		tʰun31	
1	多		tɔ45	
905	夺		tʰɔt5	
21	朵		tɔ31	
10	鹅		ŋɔ212	
1229	额		ŋɐk5	
1096	恶	善～	ɔk31	
11	饿		ŋɔ31	
973	恩		jən45	
322	儿		ȵi212	
409	而		ȵi212	
410	耳		ȵi31	
362	二		ȵi31	
951	发		fat31	
726	乏		fat5	
955	罚		fat5	
727	法		fat31	
952	翻		fan45	
724	凡		fan212	
953	烦		fan212	
950	反		fan31	
725	犯		fan31	
954	饭		fan31	
728	泛		fan52	
1159	方		fɔŋ45	
1162	房		fɔŋ212	
1161	纺		fɔŋ31	
1160	放		fɔŋ52	
444	飞		fui45	
447	肥		fui212	
445	匪		fui31	
302	肺		fui52	
446	费		fui52	
1051	分		fun45	
1053	坟		fun212	
1052	粪		fun52	
1335	风		fuŋ45	
1361	封		fuŋ45	
1362	蜂		fuŋ45	
1337	冯		fuŋ212	
1338	凤		fuŋ31	
1363	缝	裁～	fuŋ212	
160	夫		fu45	
163	扶		fu212	
1054	佛		fut5	
1339	服		fuk5	
586	浮		fəu212	
162	符		fu212	
1336	福		fuk31	
161	斧		fu31	
164	辅		fu31	
587	妇		fu31	
585	富		fu52	
197	该		kɔi45	
198	改		kɔi31	
208	盖		kɔi52	
670	甘		kəm45	
776	杆		kɔn31	
775	肝		kɔn45	
671	柑		kəm45	
672	敢		kəm31	
655	感		kam31	
777	干	～活	kɔn52	
1090	钢		kɔŋ52	
1176	港		kɔŋ31	
487	高		kɔ45	
510	搞		kau31	
488	稿		kɔ31	
489	告		kɔ52	
7	哥		kɔ45	
656	鸽		kap31	
778	割		kɔt31	
8	歌		kɔ45	
1225	格		kɐk31	
1238	隔		kɐk31	
1091	各		kɔk31	
970	根		kən45	
1322	工		kuŋ45	
1355	弓		kuŋ45	
1321	公		kuŋ45	
1380	供	～应	kuŋ52	
1356	宫		kuŋ45	
1381	拱		kuŋ31	
1384	共		kʰuŋ31	
572	沟		kʰəu45	
574	狗		kəu31	
575	够		kəu52	
115	姑		ku45	
116	箍		kʰu45	
1323	谷		kuk31	
1030	骨		kut31	
117	鼓		ku31	
82	瓜		ka45	
931	刮		kat31	
293	挂		kʰa52	
287	乖		kai45	
292	拐		kai31	
288	怪		kai52	
929	关		kan45	
911	官	新派	kun45	
912	官	老派	kɔn45	
913	管		kɔn31	
930	惯		kan52	
914	灌		kɔn52	
1154	光		kɔŋ45	
450	归		kui45	
439	龟		kui45	
427	规		kʰui45	
451	鬼		kui31	
442	柜		kʰui31	
452	贵		kui52	
303	桂		kui52	
429	跪		kʰui31	
1029	滚		kun31	
1155	郭		kʰɔk31	
1214	国		kɔk31	
29	果		kɔ31	
30	过		kɔ52	
932	还	归～	wan212	
201	海		hɔi31	
209	害		hɔi31	
657	含		həm212	
782	寒		hɔn212	
673	喊		ham52	
781	汉		hɔn52	
784	汗		hɔn31	
783	旱		hɔn45	
1095	航		hɔŋ212	
494	好	~坏	hɔ31	
495	号	～数	hɔ31	
34	禾		wɔ212	
658	合		həp5	
12	河		hɔ212	
13	贺		hɔ31	
1193	黑		wu45	
971	痕		hən212	
972	恨		hən31	
1291	横	～直	wɐŋ212	
1292	轰			
1325	红		huŋ212	
579	喉		həu212	
580	猴		həu212	
581	后	前～	həu31	
582	厚		həu45	
1034	忽		fut31	
124	胡	新派	wu212	
126	胡	老派	fu212	
125	湖	新派	wu212	
127	湖	老派	fu212	
123	虎		fu31	
128	户	新派	wu31	
129	户	老派	fu31	
85	花		fa45	
925	猾		wat5	
86	化		fa52	
295	画		wa31	
297	话		wa31	
289	怀		wai212	
290	坏	新派	wai31	
291	坏	老派	fai31	
918	欢		fɔn45	
921	换		wɔn31	
1156	荒		fɔŋ45	
1158	黄		wɔŋ212	
1157	谎		fɔŋ45	
277	灰		fɔi45	
279	回	新派	wui212	
280	回	老派	fui212	
278	悔		fui52	
430	毁		fui31	
281	汇		wui31	
284	会	开~	wui52	
285	会	老派	fui31	
286	会	～不～	wɔi52	
1033	昏		wun45	
1035	混		kʰun31	
922	活		wut5	
32	火		fɔ31	
33	货		fɔ52	
35	祸		wɔ31	
421	机		ki45	
257	鸡		kəi45	
411	基		ki45	
755	及		kʰiep5	
753	级		kʰip31	
1208	极		kʰit5	
752	急		kip31	
734	集		ʦʰip5	
422	几	～个	ki31	
1255	脊		ʦit31	
415	记		ki52	
440	季		kui52	
234	祭		ʦəi52	
323	寄		ki52	
53	加		ka45	
52	家		ka45	
683	甲		kap31	
54	假	真～	ka31	
55	嫁		ka52	
692	尖		ʦiem45	
808	奸		kan45	
798	间	中~	kan52	
882	肩		kien45	
720	兼		kiem45	
824	煎		ʦien45	
799	拣		kan31	
699	检		kiem31	
679	减		kam31	
825	剪		ʦien31	
883	见		kien52	
846	件		kʰien31	
851	建		kien52	
830	贱		ʦʰien31	
707	剑		kiem52	
852	健		kʰien31	
685	舰		lam31	
826	箭		ʦien52	
1175	江		kɔŋ45	
1141	姜	生～	kieŋ45	
1102	浆		ʦieŋ45	
1103	蒋		ʦieŋ31	
1104	酱		ʦieŋ52	
508	交		kau45	
537	骄		kieu45	
523	椒		ʦieu45	
1177	角		kɔk31	
1142	脚		kiek31	
509	搅		kau31	
556	缴		kieu31	
557	叫		kieu52	
539	轿		kʰieu31	
511	教	～育	kau52	
213	阶		kai45	
693	接		ʦiep31	
227	街		kai45	
877	节		ʦat31	
847	杰		kʰiet5	
884	结		kiet31	
62	姐		ʦɛ31	
214	界		kai52	
63	借		ʦɛ52	
1003	巾		kən45	
1010	斤		kin45	
749	金		kim45	
1011	筋		kən45	
987	尽		ʦʰin31	
1004	紧		kin31	
750	锦		kiem31	
984	进		ʦin52	
1013	近		kʰən45	
733	浸		ʦim52	
751	禁	～止	kim52	
1288	经		kin45	
1253	精		ʦin45	
1254	井		ʦieŋ31	
1270	颈		kieŋ31	
1260	静		ʦʰieŋ31	
1245	镜		kieŋ52	
641	纠		təu31	
573	阄			
627	九		kiu31	
628	久		kiu31	
595	酒		ʦiu31	
633	旧		kʰiu31	
629	救		kiu52	
597	就		ʦʰiu31	
632	舅		kʰiu45	
1385	局		kʰuk5	
1357	菊		kuk31	
1047	橘		kit31	
183	句		ki52	
185	具		kʰi31	
152	锯		ki52	
944	卷	～起	kien31	
964	决		kʰiet31	
935	绝		ʦʰiet5	
1058	军		kun45	
1048	菌		kʰun31	
199	开		hɔi45	
779	看	～见	hɔn52	
1092	糠		hɔŋ45	
1093	抗		kʰɔŋ52	
490	考		hau31	
491	靠		kʰəu52	
1178	壳		hɔk31	
9	可		hɔ31	
1192	刻		kʰɐk31	
1227	客		hɐk31	
31	课		kʰɔ52	
1191	肯		hən31	
1226	坑		hɐŋ45	
1324	空	～虚	huŋ45	
1382	恐		huŋ31	
576	口		həu31	
577	扣		kʰəu52	
118	枯		ku45	
119	苦		kʰu31	
120	裤		fu52	
83	垮		kʰa45	
276	块		kʰai52	
296	快		fai52	
916	宽		fɔn45	
1165	筐		kʰɔŋ45	
1166	狂		kʰɔŋ212	
1290	矿		kʰɔŋ52	
428	亏		kʰui45	
441	葵		kʰui212	
1031	捆		kʰun31	
1032	困		kʰun52	
915	括		kʰɔt31	
917	阔		kʰat31	
668	腊		lap5	
669	蜡		lap5	
768	辣		lat5	
193	来		lɔi212	
765	兰		lan212	
667	篮		lam212	
766	懒		lan45	
767	烂		lan31	
1081	郎		lɔŋ212	
1082	狼		lɔŋ212	
1083	浪		lɔŋ31	
474	捞		lau45	
473	牢		lɔ212	
475	老		lɔ31	
553	了		lieu31	
272	雷		lui212	
936	雷		lui212	
433	泪		lui31	
432	类		lui31	
339	梨		li212	
249	犁		ləi212	
250	礼		li31	
365	李		li31	
366	里	～面	li45	
1196	力		lit5	
340	利		li31	
233	例		ləi31	
983	栗		lɐt5	
731	笠		lɐp5	
732	粒		nəp31	
822	连		lien212	
875	莲		lien212	
690	镰		liem212	
876	炼		lien31	
1098	凉		lieŋ212	
1099	粮		lieŋ212	
1100	两	～个	nieŋ31	
1101	两	几～	lieŋ45	
554	料		lieu31	
691	猎		liep5	
823	裂		liet31	
730	林		lim212	
982	麟		lun212	
1283	灵		lin212	
1252	岭		lieŋ45	
1251	领		lieŋ45	
592	刘		liu212	
593	留		liu212	
591	流		liu212	
594	柳		ləu31	
1343	六		luk31	
1366	龙		luŋ212	
1315	笼		luŋ212	
568	楼		ləu212	
569	篓		ləu212	
570	漏		ləu31	
104	炉		lu212	
105	卤		lu212	
106	路		lu31	
1316	麓		luk5	
107	露		lu52	
907	乱		lɔn31	
1023	论		lun31	
5	锣		lɔ212	
23	螺		lɔ212	
1084	落		lɔk5	
132	吕		lui31	
908	捋		lɔt31	
1037	律		lut5	
1367	绿		luk5	
43	麻		ma212	
44	马		ma45	
45	骂		ma31	
212	埋		mai212	
221	买		mai45	
1233	麦		mɐk5	
222	卖		mai31	
1234	脉	新派	mɐk5	
1235	脉	老派	mɐk31	
806	蛮	野~	man212	
897	满		man45	
807	慢		man31	
1071	忙		mɔŋ212	
502	猫		mieu45	
463	毛		mɔ212	
589	矛		mau212	
464	帽		mɔ31	
335	眉		mi212	
264	梅		mɔi212	
336	霉		mɔi212	
337	美		mui45	
265	妹		mɔi52	
1018	门		mun212	
1302	蒙		muŋ212	
1219	猛		mɐŋ31	
1220	孟		mɐŋ31	
1340	梦		muŋ31	
238	米		mi31	
980	密		mət5	
981	蜜		mət5	
818	棉		mien212	
819	免		mien45	
820	面	上~	mien52	
864	面	~条	mien52	
519	苗		mieu212	
520	秒		mieu31	
522	妙		mieu31	
521	庙		mieu31	
821	灭		miet5	
865	篾		miet5	
978	民		min212	
979	敏		min31	
1250	名		mieŋ212	
1243	明		min212	
1244	命		mieŋ31	
1074	摸		mɔ45	
1073	膜		mɔk31	
19	磨	～刀	mɔ212	
20	磨	石～	mɔ31	
791	抹		mat31	
898	末		mut5	
1072	莫		mɔk5	
1182	墨		mɐk5	
588	谋		məu212	
560	母		mu31	
559	亩		məu45	
1303	木		muk31	
1341	目	新派	muk5	
1342	目	老派	muk31	
93	墓		mu52	
46	拿		na212	
651	纳		nap5	
223	奶		nai31	
650	男		nam212	
649	南		nam212	
764	难	～易	nan212	
472	脑		nɔ31	
503	闹		nau31	
1022	嫩		nun31	
1188	能		nɐŋ212	
248	泥		nəi212	
1247	逆		nət5	
718	拈		niem45	
873	年		nien212	
719	念		niem31	
1097	娘		nieŋ212	
546	鸟		nieu31	
552	尿		nieu31	
874	捏		niep31	
848	孽		nət31	
634	牛		ŋəu212	
590	纽		niu31	
1331	农		nuŋ212	
1364	浓	新派	nuŋ212	
1365	浓	老派	ȵuŋ212	
1332	脓		nuŋ212	
906	暖		nɔn45	
22	糯		nɔ31	
131	女		ni31	
584	沤		əu31	
583	呕		əu31	
578	藕		ŋəu31	
41	爬		pʰa212	
40	怕		pʰa52	
211	排		pʰai212	
219	牌		pʰai212	
218	派		pʰai52	
891	潘		pʰan45	
894	盘		pʰan212	
892	判		pʰan52	
896	叛		pʰan31	
460	袍		pʰɔ212	
501	跑		pʰau31	
500	炮		pʰau52	
262	赔		pʰui212	
261	配		pʰui52	
1016	盆		pʰun212	
1217	彭		pʰɐŋ212	
1232	棚		pʰɐŋ212	
1301	篷		pʰuŋ212	
237	批		pʰəi45	
305	披		pʰi45	
306	皮		pʰi212	
976	匹		pʰit31	
814	偏		pʰien45	
861	片		pʰien52	
815	骗		pʰien52	
517	飘		pʰieu45	
518	瓢		pʰieu45	
862	撇		pʰiet31	
977	贫		pʰin212	
729	品		pin31	
1241	平		pʰieŋ212	
1274	瓶		pʰin212	
16	坡		pʰɔ45	
893	泼		pʰat31	
18	婆		pʰɔ212	
17	破		pʰɔ52	
89	铺	～设	pʰu45	
986	七		ʦʰit31	
251	妻		ʦʰəi45	
412	欺		hi45	
252	齐		ʦʰəi212	
324	骑		kʰi212	
414	旗		kʰi212	
258	启		kʰai31	
413	起		hi31	
423	气		hi52	
363	器		hi52	
878	千		ʦʰien45	
827	迁		ʦʰien45	
885	牵		hien45	
721	谦	车～	hiem45	
694	签		ʦʰiem45	
880	前		ʦʰien212	
829	钱		ʦʰien212	
700	钳		kʰiem212	
828	浅		ʦʰien31	
708	欠		hiem52	
1106	枪		ʦʰieŋ45	
1143	强	～大	kʰieŋ212	
1108	墙		ʦʰieŋ212	
1107	抢		ʦʰieŋ31	
538	桥		kʰieu212	
14	茄		kʰɛ212	
879	切		ʦʰiet31	
985	亲		ʦʰin45	
754	琴		kʰiem212	
1012	勤		kʰin212	
1284	青		ʦʰieŋ45	
1271	轻		hieŋ45	
1297	倾		kʰin45	
1256	清		ʦʰin45	
1258	情		ʦʰin212	
1259	晴		ʦʰin212	
1257	请		ʦʰieŋ31	
1358	穷		kʰuŋ212	
1298	琼		kʰin212	
630	丘			
596	秋		ʦʰiu45	
631	球		kʰiu212	
184	区		kʰi45	
1383	曲		kʰuk31	
1059	屈		kʰut31	
167	娶	新派	ʦʰi31	
168	娶	老派	ʦʰ31/ʦʰy̜31	
153	去		hi52	
945	圈	圆～	hien45	
947	权		kʰien212	
934	全		ʦʰɔn212	
946	拳		kʰien212	
958	劝		hien52	
965	缺		kʰiet31	
1105	雀		ʦʰiek31	
1060	裙		kʰun212	
844	然		ȵan212	
698	染		ȵam31	
1133	瓤		nɔŋ212	
1134	让		ȵɔŋ31	
536	饶		jau212	
78	惹		ja31	
845	热		ȵat5	
999	人		ȵin212	
1000	忍		ȵin31	
1001	认		ȵin31	
747	任	责～	ȵim31	
1002	日		ȵit31	
1294	荣	新派	win31	
1295	荣	老派	juŋ212	
1353	绒		juŋ212	
1389	容		juŋ212	
1354	肉		ȵuk31	
1379	辱		juk5	
748	入		jip5	
943	软		ȵɔn45	
1046	闰		ȵun31	
1135	弱		ȵɔk5	
773	伞		sɐŋ?52	
774	散	分～	san52	
1089	桑		sɔŋ45	
483	臊			
484	扫	～地	sɔ52	
486	扫	～帚	sɔ52	
485	嫂		sɔ31	
1199	色		sət31	
740	森		sɐm45	
797	杀		sat31	
51	沙		sa45	
225	筛		səi45	
226	晒		sai52	
795	山		san45	
678	杉		sam?45	
682	衫		sam45	
697	闪		sam31	
840	扇	～子	san52	
842	善		san31	
1136	伤		sieŋ45	
1139	上	～山	sɔŋ45	
1140	上	～面	sɔŋ31	
533	烧		sau45	
534	少	多～	sau31	
535	绍		sau31	
75	赊		sa45	
839	舌		sat5	
73	蛇		sa212	
76	舍	~得	sa31	
841	设		ʦʰiet31	
77	社		sa45	
74	射		sa31	
996	身		sin45	
743	深		sim45	
994	神		sin212	
744	沈		səm31	
998	肾		sən212	
1206	升		sin45	
1223	生		sɐŋ45	
1267	声		sɐŋ45	
1204	绳		sɐŋ212	
1224	省		sɐŋ31	
353	尸	老派	si45/sy̜45	
360	尸	新派	si45	
997	失		sət31	
350	师	老派	si45/su45	
357	师	新派	si45	
394	诗		si45	
404	诗		si45/sy̜45	
745	湿		sip31	
746	十		sip5	
1269	石		sɐk5	
397	时		si212	
407	时		si212/sy̜212	
1207	识		sit31	
995	实		sit5	
1205	食		sit5	
387	使	新派	si31	
388	使	老派	su31	
395	始		ʦʰi31	
405	始		ʦʰi31/ʦʰy̜31	
361	屎		si31	
377	士	新派	si31	
384	士	老派	si31/sy̜31	
352	示	老派	si31/sy̜31	
359	示	新派	si31	
235	世		səi52/θəi52	
398	市		si52	
408	市		si52/sy̜52	
386	事		su31	
396	试		si52	
406	试		si52/sy̜52	
378	柿	新派	si52	
385	柿	老派	si52/sy̜52	
321	是	训读	həi52	
617	收		siu45	
618	手		siu31	
619	守		siu31	
622	寿	老派	siu31	
626	寿	新派	səu31	
625	受		siu31	
611	瘦		səu52	
144	书	新派	si45	
148	书	老派	su45	
1351	叔		suk31	
142	梳		sɔ45	
180	输		su45	
1352	熟		suk5	
145	鼠	新派	si31	
149	鼠	老派	su31	
146	薯	新派	si212	
150	薯	老派	su212	
182	树		su31	
181	竖		su31	
175	数		su52	
928	刷		ʦʰat31	
437	帅		sɔi52	
927	闩			
1174	双		sɔŋ45	
1126	霜		sɔŋ45	
1127	爽		sɔŋ31	
438	水		sui31	
299	税	新派	sui52	
300	税	老派	sɔi52	
1044	顺		sun31	
942	说	小～	siet31	
372	丝	新派	si45	
379	丝	老派	si45/sy̜45	
344	私	新派	si45	
348	私	老派	si45/sy̜45	
354	死		si31	
355	四		si52	
374	饲	新派	ʦʰi31	
381	饲	老派	si45/sy̜45	
1334	松	～紧	suŋ45	
1370	松	～树	ʦʰuŋ212	
1320	送		suŋ52	
610	搜		səu31	
114	苏		su45	
1371	俗		ʦʰuk5	
1344	肃		suk31	
909	酸		sɔn45	
910	算		sɔn52	
425	随		ʦʰui212	
298	岁		sui52	
275	碎		sui52	
1028	孙		sun45	
1039	笋		sun31	
1040	榫		sun31	
27	唆		sɔ45	
28	锁		sɔ31	
663	塌		tʰap31	
664	塔		tʰap31	
647	踏		tʰap5	
189	台		tʰɔi212	
206	太		tʰai52	
645	贪		tʰam45	
759	摊		tʰan45	
665	痰		tʰam212	
648	潭		tʰam212	
760	炭		tʰan52	
646	探		tʰam52	
1076	汤		tʰɔŋ45	
1078	堂		tʰɔŋ212	
1079	糖		tʰɔŋ212	
469	桃		tʰɔ212	
467	讨		tʰɔ31	
468	套		tʰɔ52	
1187	特		tʰət5	
1186	藤		tʰɐŋ212	
241	梯		tʰəi45	
1278	踢		tʰiek31	
245	提		tʰəi212	
244	题		tʰəi212	
242	体		tʰəi31	
243	替		tʰəi52	
867	天		tʰien45	
713	添		tʰiem45	
869	田		tʰien212	
716	甜		tʰiem212	
870	填		tʰien212	
548	挑		tʰieu45	
550	条		tʰieu212	
549	跳		tʰieu52	
715	帖		tʰiep31	
714	贴		tʰiep31	
868	铁		tʰiet31	
1277	听	～见	tʰən45	
1279	停		tʰin212	
1307	通		tʰuŋ45	
1310	铜		tʰuŋ212	
1308	桶		tʰuŋ31	
1309	痛		tʰuŋ52	
564	偷		tʰəu45	
566	头		tʰəu212	
565	透		tʰəu52	
1021	突		tʰut5	
100	图		tʰu212	
99	涂		tʰu212	
97	土		tʰu31	
98	兔		tʰu52	
902	团		tʰɔn212	
268	推		tʰui45	
269	腿		tʰui31	
270	退		tʰui52	
969	吞		tʰun45	
1077	托		tʰɔk31	
2	拖		tʰɔ45	
901	脱		tʰɔt31	
3	驼		tʰɔ212	
926	挖		wat31	
84	瓦		ŋa31	
957	袜		mat5	
294	歪		wai45	
283	外		ŋɔi31	
933	弯		wan45	
920	丸		jan212	
919	完		jan212	
924	顽		ŋan212	
923	碗		wɔn31	
956	万		man31	
1167	王		wɔŋ212	
1163	网		mɔŋ31	
1164	望		mɔŋ31	
454	威		wui45	
455	围		wui212	
456	伟		wui31	
448	尾		mui45	
431	委		wui31	
301	卫		wui31	
443	位		wui31	
449	味		mui31	
457	胃		wui31	
453	魏		ŋəi31	
1036	温		wun45	
1055	蚊		mun45	
1056	问		mun52	
1326	翁		juŋ45	
1327	蕹		juŋ45	
130	乌		wu45	
1328	屋		uk31	
121	吴		m31	
122	五		m31	
165	舞		mu31	
1057	物		mət5	
166	雾		mu52	
253	西	新派	səi45	
254	西	老派	si45	
756	吸		kʰip31	
1262	惜		sit31	
1287	锡		sit31	
1197	熄		sət31	
737	习		ʦʰip5	
255	洗		səi31	
417	喜		hi31	
327	戏		hi52	
256	细		səi52/θəi52	
58	虾		ha45	
810	瞎			
681	狭		kʰiep5	
59	下	方位	ha31	
60	下	动词	ha45	
1230	吓		hɐk31	
831	仙		sien45	
881	先		sien45	
854	掀			
801	闲		han212	
680	咸		ham212	
684	衔		həm212	
722	嫌		ham212	
702	险		hiem31	
803	苋		hien31	
967	县		jan31	
886	现		jan31	
802	限		han31	
833	线		sien52	
855	献	新派	hien52	
856	献	老派	san52	
1145	乡		hieŋ45	
1144	香		hieŋ45	
1109	箱		sieŋ45	
1146	响		hieŋ31	
1110	想		sieŋ31	
1147	向		hieŋ52	
1179	巷		hɔŋ31	
1112	象		ʦʰɔŋ31	
1113	像	～不～	ʦʰɔŋ31	
524	消		sieu45	
555	萧		sieu45	
525	小		sieu31	
558	晓		hieu31	
513	孝		hau31	
526	笑		sieu52	
514	效		hau31	
857	歇	训读	tʰəu31	
723	协		hiep45	
66	邪		ʦʰɛ212	
67	斜		ʦʰɛ212	
228	鞋		hai212	
64	写		sɛ31	
65	泻		sɛ52	
215	械		hai31	
68	谢		ʦʰɛ31	
229	蟹		hai31	
735	心		sim45	
988	新		sin45	
989	信		sin52	
1285	星		sən45	
1094	行	银～	hɔŋ212	
1231	行	～走	hɐŋ212	
1289	形		jɐŋ212	
1286	醒		sieŋ31	
