#参考资料	《安徽庐江方言音系》 周元琳
#调值	①陰平55 ②陽平31 ③上聲213 ⑤去聲35 ⑦陰入5 ⑧陽入3 ⓪輕聲
#ɹ̩	
f	①夫{老~子}膚敷麩 ②俘符扶浮 ③府腑頫甫斧腐輔阜{~陽} ⑤付傅{姓}赴{~宴}父附富{~有；~態}副{正~；一~手套}婦負 ⓪夫{丈~}袱{包~}傅{師~}侮{欺~}
v	①梧烏污巫誣{~枉}嗚□{紙叠的玩具：打~子} ②吳蜈無 ③五伍午武侮{~辱捂 ⑤誤悟務霧{起~；吵~得之；吵成~團}焐{水~子；~手}
tʂ	①豬諸居車{~馬炮}蛛株朱珠拘 ③煮擧主矩 ⑤著拒距據劇鋸{~木頭}聚柱駐住注蛀鑄俱句具
tʂʰ	①蛆區□{往盆裏一~}□{木~~：啄木的感覺}②茄{~子}瘸除{~得：除去；除非}渠廚殊櫥{碗~}瞿{姓} ③褚{姓}處{~得來}杵{~送：諷刺挖苦}暑{大~}鼠取娶拄 ⑤處{住~}去{文|~皮}趣
ʂ	①靴{~子}書舒虛{心~}噓{別~}須{必~}鬚{~子}需輸 ②徐{姓} ③署{專~}許 ⑤序叙絮{棉~}恕{饒~}續{連喊~喊}竪樹
ʐ	①迂{~得很}淤{~血} ②廬{~江}驢{狗頭~子}如魚于{姓}余與愚盂榆 ③女呂旅語擩{一根根~}雨禹羽 ⑤慮濾御譽預娛遇愉芋玉 ⓪裕{富~}
k	①姑孤咕{~~叫；一口~}軲{~轆轆直滾}菇蛄{蝲蝲~}辜{~負}□{塞水裏~死得} ③古估牯{~牛}股{五~辮子}鼓 ⑤故{非親非~}固雇顧{~家}庫痼{~之膿} ⓪顧{照~}
kʰ	①箍{打個~；~個桶}枯骷{~髏頭} ③苦 ⑤褲
x	①乎呼烀{放少量的水燒煮：~山芋} ②胡鬍湖煳{飯燒~得之}糊{打~；~窗子}狐壺葫{~蘆}弧{鬼畫~}和{半天沒~牌} ③虎滸戽{~水} ⑤戶互護{~他媽媽}瓠{~子}糊{模糊不清}
#ʊ	
p	①波菠坡玻播{廣~}簸{□（tʂʰəʔ）~子：畚箕} ③跛{~子；一~一~的}簸{~麥}□{~鬼：挑撥，進讒言} ⑤簸{~箕：大於篩子的竹製圓形器具}
pʰ	②婆 ⑤破剖
m	①摸{輕輕~~} ②魔磨{~刀；跟他~；~人}饝模{~子}膜蘑謀 ③抹{~之一一臉的}某{王~}畝母 ⑤磨{石~；~面}抹{七屁八~的}幕
t	①多 ③躲 ⑤舵剁{~碎}跺{~腳}□{~~實實：身體厚實}垛{竪放：~到桌子高頭}
tʰ	①拖{~拉；~子} ②駝馱{~子；~之}砣{秤~} ③妥 ⑤拖{囉~：麻煩，纍贅}
l	①羅{~嗦}擄{一把~：無對手} ②羅{姓}鑼籮{稻~}蘿{~蔔}螺{~螄}腡{圓形指紋}奴{~才}廬{文|~山}□{遺忘，丟失：~得之} ③虜{俘~}擄{~走}努捋 ⑤糯怒□{馬虎，隨便：大~不~的}
ts	③左 ⑤坐座做
tsʰ	①搓 ②矬{矮~~的} ③□{打：~你} ⑤銼{搞~刀~}措錯挫□{節：一~~的}
s	①蓑{~衣}梭唆{~狗齩人} ③鎖所數{動詞}
tʂ	⑤□{喚雞聲}
k	①歌哥過{超過一定界限：餓~得之}鍋幹{能~：老成，能幹貌} ③果裹{~腳；沒牙子，慢慢~}□{~豆：黃豆} ⑤個{~人；~子}過{~來；滅：燈吹~得之；喫~之}□{~小豬}課{算命打~} ⓪過{來~的}
kʰ	①科窠{太陽~裏}棵苛{~求}柯{姓} ③可□{隨他~去：隨他去} ⑤課{上~}
x	①呵{討好，獻媚} ②河何{姓~；如~}荷{~包}和{~氣；~得之} ③火夥{一~；~家}□{盛器的重量} ⑤賀貨禍和{搞筷子~~} ⓪火{柴~}和{□（ʐã˧˩）~：柔軟}夥{家~}活{生~重得很}
ŋ	③我
Ø	①屙{~屎}臥{~倒}萵{~筍}窩渦{淚~；酒~}蝸 ②蛾鵝阿{~彌陀佛}譌{相差：~不少；怪罪：~鍬~版的} ⑤餓齷{~齪}
#ə	
p	⓪不{買~起；琴~子（人名）}
m	⓪麽{什麽：幹~事}們{他~}沫{唾~星子}
f	⓪□{小~：男孩}
n	②喏{嘆詞|引起聽話人注意所指十五：~給你}
t	⓪得{不~起來；撂~}瘩{疙~}
k	⓪個{一~；摸~子：摸一下}家{人~}
tʂ	⓪朝{後~}
#iə	
t	⓪的{目~}
l	⓪了{語氣詞|到家~}
#ɛ	
p	③擺{~尾巴；~架子} ⑤拜稗{~子}敗別{~搞} ⓪唄{語氣詞}
pʰ	①呸{嘆詞|表示厭惡、鄙視等} ②排牌 ③擺{擺放} ⑤派{兩~；~我去；原以爲：我~他來呢}
m	②埋{~深深的}明{~個，明天}□{“媽、哎”的合音字：媽~，我餓之了} ③買 ⑤賣邁{大門不出，二門不~}
v	①歪餵{嘆詞|表呼喚} ②□{豬~在泥巴裏不起來} ③□{賴，糾纏：~住人家}□{扭傷：~之腳} ⑤外{~頭；不~}
t	①呆{發~} ③逮{~住他}歹 ⑤待怠{~慢}戴代袋帶大{~夫}汰{白|~衣裳} ⓪怠{懈~}
tʰ	①胎苔{舌~}擡{襯托：~人得很}□{~氣：大方} ②臺{戲~子}苔{青~}擡{~頭；~水} ③呔{~子；撇~} ⑤太{~大之；老~~}態{表~}汰{文|淘~}泰{有眼不識~山} ⓪態{富~}
n	①奶{祖母：~奶} ③奶{妻子；婦女：他家~奶；~奶們}
l	②來{~人} ③乃{中指代詞|~個}攋{~草}奶{乳房：~汁；摸~；喫~；~伢子（嬰兒） ⑤耐奈賴癩 ⓪來{小~：小時候；過~}□{語氣詞|“了、哎”的合音}
tsʰ	①猜 ②才纔材財裁 ③彩踩 ⑤菜蔡{姓}
s	①腮鰓塞 ⑤賽{比~；越講越~}
tʂ	①齋{吃~飯} ⑤債寨側{歪斜：斜之~之}⓪□{語氣詞|“之、哎”的合音：家婆來~}
tʂʰ	①釵差{~事} ②豺柴㾹{~骨人：一貫很瘦的人} ③跐
ʂ	①篩{~子；~糠} ⑤曬
Ø	①哎{嘆詞|表示呼喚、應答、同意、醒悟、反對、懷疑等} ②唉{嘆詞|表示嘆息{ ⓪哎{語氣詞|他有（也）來~！}
#iɛ	
tɕ	①皆嗟{嘆詞|~，好疼！} ③解{文|不~；~放} ⑤戒{~煙}届{往~}械界 ⓪□{“計、哎”的合音，男子閒的昵稱：夥~}
ɕ	⑤解{想：~不開}
k	①該{應~}稭{麥~子}街{上~}今{~個：今天}□{連~：打麥子、油菜等之竹製農具} ③改解{白|~鞋帶子} ⑤概{大~~的：不拘小節}溉{灌~}蓋芥{~菜}鋸{白|搞鋸子~}
kʰ	①開揩 ③楷{小~}
x	①海{大：好~；地方：在哪~}□{打：~你} ②孩鞋還{~要} ③海{大~}蟹{~子} ⑤亥{~時}害{~人：~病}懈{~怠得很}
ŋ	①哀{節~}挨{一個~一個}娭{祖母：搞你~子}唉{~聲嘆氣} ②呆{死板，不靈活} ③矮 ⑤礙{~事}艾{~蒿}愛捱{拖延：洗吧，別慢慢~了}
#uɛ	
tʂ	③□{漂亮、氣派：穿之~得很}□{擺架子：~什麽老？} ⑤拽
tʂʰ	①揣{~起來}搋{用力揉、壓：~面} ②膗{蠢、笨} ⑤踹{蹬：~他一腳}
ʂ	①衰{沒精神：燒之兩天燒~得之}摔 ③甩{扔：不要亂~得；打：~他} ⑤帥{老~}率{直~}
k	①乖{好~；嘆詞|~~，好險！} ③拐{~彎；~棍；老~子；走路一~一~的} ⑤怪{~他；~得很} ⓪怪{古~：小氣}
kʰ	⑤會{~計}塊{一~肉；兩~錢}快{~活；刀~}筷 ⓪快{涼~}
x	②淮懷{~裏}槐□{~□（xuən꜊）：事已開始，沒有退路} ③□{搖搖晃晃地走：慢慢~} ⑤壞
#ɔ	
p	①褒{~貶}包胞苞{花~子} ③保堡寳飽 ⑤抱報暴{~雨}菢{~小鷄}鮑豹爆鑤{~子} ⓪啵{語氣詞|歇個~}
pʰ	①泡{魚~；鬆：飯~得很；一~尿}脬{尿~} ②袍跑 ⑤炮泡{~澡}雹{雪~~子}
m	①貓 ②毛矛茅{~草}錨 ③卯{點個~}□{少：寧少一村，不~一店} ⑤冒{~失}帽貌茂{~林：地名}貿
t	①刀叨㧅{~菜} ③禱島倒{打~}擣{~蛋} ⑤道稻到倒{~水} ⓪盜{強~}□{堆~：體積}
tʰ	①掏 ②桃逃淘陶萄 ③討 ⑤套
l	①撈嘮孬 ②勞癆{~病鬼}牢□{飲食差；苦：~死之} ③腦惱{~火}瑙{珍珠瑪~}老{~人；~是；~後朝：大後天} ⑤澇閙{吵~；玩：來~~}⓪老{孤~}囉{語氣詞|買糖喫~！}
ts	①遭{~罪}糟{~踏} ③早棗澡 ⑤躁譟燥竈皂造{~船；~反}
tsʰ	①操{出~；打~：幹粗活} ②曹槽嘈{聲音大之：~死人}𤵥{山芋喫多之~人} ③草騲{~狗} ⑤造{~事：故意找麻煩}糙
s	①騷臊{~氣} ③掃{~地}嫂 ⑤掃{~天星}潲{~雨}趮{快：跑好~}⓪索{白|利~}
tʂ	①朝{~三暮四}召招詔 ③爪{手~子；鷄腳~子}找 ⑤罩趙兆照{~亮}著{行：不~}
tʂʰ	①抄鈔{~票}超 ②巢{~湖}朝{~代}潮{受~}嘲{~笑}晁{姓} ③炒吵 ⑤鈔{小~}耖{一種農具}□{把鍋裏菜~個子}
ʂ	①稍{~微}燒{~火；講話~人} ③少{~之兩個} ⑤紹少{~年}邵{姓}哨{吹~子}
ʐ	②饒 ③擾{打~} ⑤繞{~缐；草~子}
k	①高{~矮}膏篙糕{方片~}跤{跌之一~} ③稿搞{~好；打~：（孩子）打架} ⑤告{~狀}窖{山芋~子}覺{白|睡~}叫{~化子：乞丐}較{白|~秤}茭{~瓜}⓪高{方位詞|桌子~}
kʰ	①敲{白|把頭~碎得}□{紅燒（魚）：~魚；挖苦：別~人} ③攷烤拷{~打}⑤靠犒銬
x	①蒿薅嚆{嘆詞|表示驚奇：~~，好大！}□{豬油鹹肉等變質變味} ②豪壕嚎{鬼哭狼~}毫號{乾~} ③好{~壞} ⑤好{~喫佬}耗{消~}號{~碼：名字：你~什□（mia˥)；把位子~（占）之}
ŋ	①懊{~躁} ②熬 ③襖齩{蚊子~人} ⑤傲奧懊{~悔}
Ø	①哦{嘆詞|表示醒悟、應答、驚奇等：~，是的；~嚆！} ②兒而哦{嘆詞|表示醒悟、應答、驚奇等：~，是的} ③惹耳餌{魚~子} ⑤二{一~；~個：以後}貳⓪噢{語氣詞|走~！}
#iɔ	
p	①膘標彪熛{火直~}𨄏{快跑：跑就麽直~}鏢瀌{水直~} ③表婊裱□{“不、曉”的合音：~好多} ⑤摽{在旁邊~之他}嫑{~講}
pʰ	①飄漂{~走之}瓢嫖□{小孩欲哭貌：嘴巴~啊~的} ③漂{~白}瞟 ⑤票漂{~亮}
m	①喵{喚貓聲} ②苗描瞄棉{白|~花} ③秒□{略微表示：~~心意}□{嫩梢：把~子掐得} ⑤廟妙
t	①刁{~壞；~嘴：挑食}叼貂雕碉{~堡} ③鳥{男性生殖器：~東西} ⑤釣弔掉{~下來；~得之：遺失了}調{~子；~動}銚{~罐}□{灰~~子：積久而成串的灰塵}⓪□{語氣詞|“的、噢”的合音：是~}
tʰ	①挑{~擔子；~子：勺子} ②條調{~和：舒服}迢笤{~帚} ③挑{~撥}調{換：~個場子} ⑤跳{~起來；顯眼：色氣~得很}調{~皮}
l	①䩍{白~~的}□{女子輕浮好動{~~子} ②燎{火燒火~}療聊撩僚潦鐐 ③鳥{九頭~}了{不得~；喫之~了}瞭{~解} ⑤料撂{~得得；扔掉}⓪□{“了、噢”的合音：天黑之□}
tɕ	①交郊膠鉸教{~書}焦蕉椒澆礁 ③絞狡攪勦餃□{不乖、不老實：小伢子~得很} ⑤教{~育}校{白|學~}較{文|~勁}轎叫{雞~}嚼□{“只、要”的合音}
tɕʰ	①敲{文|~鑼打鼓}鍬繰{~邊}巧{小~~的}蹺{腿~之}□{生氣不理人：動不動就~之} ②瞧{~病}喬橋蕎翹{竹木等因乾而不平：扁擔~得之} ③巧{來得~；便宜：肉賣~得很} ⑤俏竅撬翹{頭~起來}
ɕ	①消宵硝銷囂逍枵澆{薄：板好~}□{喫刁~}□{騙：~豬匠} ③小曉{~得} ⑤孝效{~勞}校{文|上~}笑
Ø	①妖邀腰要{~求}喲{嘆詞|表驚奇、遺憾等} ②搖謠窯姚堯遙夭{無果而終：搞半天還搞~得之} ③舀{~水}杳 ⑤要{~東西}躍{大~進}
#a	
p	①巴{嘴~；粘貼：~在一塊}芭疤粑{糯米~~}杷琶扒{~家：顧家}趴笆}搞~斗~}叭{喇~} ③把{~持；~人家；~屎；一~刀；兜~子}靶㞎{屙~~}巴{鍋~} ⑤霸把{刀~子}壩{大~}爸耙罷⓪吧{語氣詞}
pʰ	②爬扒{~手}筢{~子} ⑤怕
m	①蟆{蛤~}媽{摸{~貓：捉迷藏}馬{~虎} ②麻{~子；發~} ③馬{騎~}碼{~子：~起來}螞{~蜂；~蟥；蠅子：螞蟻}瑪{~瑙} ⑤駡{~~咧咧的}
v	①哇{老~：烏鴉}挖{~個洞} ②娃 ③瓦{~屋}搲{~米} ⑤瓦{~匠}窪{山~}搲{夠取：太高之，~不到}⓪哇{語氣詞|好苦~}
t	①大{~~：父親} ③打{~人；一~火柴} ⑤大{~小}
tʰ	①他她它
l	①拉 ②拏{~走} ③哪{~個}喇{~叭} ⑤那⓪啦{語氣詞“了、啊”的合音：你走~？}
s	③灑撒{~化肥}
tʂ	①查{姓~；山~}喳{~哇子：有口無心之人張開嘴：嘴巴~之}砟{土不~子；煤~子}渣揸{手~之老大的}拃{搞手~；一~長} ③奓{吹牛：~不流星的}鮓{~~黃；~肉：粉蒸肉} ⑤詐榨灹{~彈}乍柵{~欄；搞東西~之}□{濺：水~之一身的}⓪喳{語氣詞|“之、啊”的合音：病瞧好~}
tʂʰ	①叉{打~；~得}汊杈{搞~揚~}差{~勁；~他兩塊錢}碴{鬍子拉~的}□{胡亂走動} ②茶搽{~粉}茬查{~賬} ③蹅{踩：鞋~怕死之} ⑤衩{開~}岔杈{樹~}□{~夥：合夥}
ʂ	①沙紗砂{~紙}杉{~木}痧{起~子}廈{白|披~} ②□{斜：眼睛~之} ③傻{~不隆咚的} 灑落{飯~得之}
k	①家{白|到~了}□{戴：~圍領子} ③噶{吹牛：箇人~得很；漂亮：衣裳好~}□{~肉，兒語：吃~} ⑤架{~起來}□{現在：~就走}
kʰ	①揢{拿在手上：~之}喀{~嚓一聲}掐{用一隻或兩隻手掐：~死你} ②跨{~過去} ③卡{魚刺：老是~我}咯{~血}咔{~嘰佈} ⑤胯{襠：胯下}
x	①哈{~欠；~癢；~~大笑；點頭~腰} ③□{差，弱；箇布~得很；身体好~} ⑤下{~昼；~來；一~子}
ŋ	①丫{~頭}□{擠進：往裏頭~} ②伢{小~們} ③啞{喉嚨~之：~巴子} ⑤軋{給汽車~死之；~棉花}□{量詞|切之一~~的}
Ø	①啊{~爺：爸爸}啊{嘆詞|表示感嘆：~，一句話！}⓪啊{語氣詞|找他~？}
#ia	
p	①啪
pʰ	①啪 ③□{瘸：~子}
m	①□{“什麽家夥”的合音：那~呢？}喵{~嗚：貓叫聲}
t	③嗲⓪□{語氣詞|“的、啊”的合音：真~？}
tɕ	①家{文|沒~教；~俱}加佳 ③假{真~；放~}賈{姓} ⑤架{打~；~子}⓪家{親母；“計、啊”的合音字，男子閒昵稱：夥~}稼{莊~}
tɕʰ	③□{銅鈸：打~~子}
ɕ	①蝦𨉣{彎：腰~之} ②霞{常用於任命：~不子} ⑤下{~人；卸：把車子高頭東西~下來}夏{姓~；春~}廈{高樓大~}
Ø	①鵶呀{嘆詞|表示驚奇醒悟遺憾等}丫{腳~不子：腳丫}挜{强迫別人或自己喫：喫不下去，別~了} ②牙{~子}芽衙{~門}蚜{~蟲} ③雅{文~} ⑤亞{~軍}⓪呀{語氣詞|是你~？}
#ua	
tʂ	①抓 ③爪{鷄~子} ⑤□{（眉頭）皺：眉頭~之}
ʂ	③耍{~猴子；~花招}
k	①瓜{西~}呱{~~叫} ③寡{~婦；~飯；~~手}呱{拉~} ⑤挂卦褂{小~子}⓪瓜{拉~：穿著等不整潔}
kʰ	①夸 ③侉{老~子；講話~得很]剮{搞刀~}垮{~臺}胯{大~子} ⑤挎{~包}
x	①花劃{鷄~命} ②華{中~}鏵譁划{~船}劃{~拳} ⑤化{~凍}畫話劃{計~}⓪化{叫~子}
#eɪ	
p	①杯碑卑背{~起來}悲 ⑤輩背{~後；~書}被{絮~}臂避備焙蓖{搞~子~}幣{人民~}
pʰ	②培{栽~}陪賠裴{姓~} ⑤配佩
m	①沒{副詞|~喫} ②梅媒煤眉霉{倒~；批評：給老師~之一頓} ③每沒{動詞|飯~之}美 ⑤妹昧{冒~；~之良心}
f	①非{除~；~要來}飛妃{~子}肥{合~} ②肥{~豬；手~} ③匪{土~}翡{珍珠~翠} ⑤廢{作~}肺痱費⓪廢{殘~人}
v	①煨威萎{精神萎靡：~得之}蝟{刺~}□{一種水草，可作豬食} ②危桅微違圍爲{都~你}圩維 ③尾偉緯委{~屈；~托；~員} ⑤衛{~從：維護}爲{特~}位未{~必}味魏{姓}慰{安~}胃{~口}謂{無所~}餵{~飯}⓪爲{難~}
t	①堆 ③□{抵消} ⑤對{~子；頭~頭；~牌}碓{~窩}兌隊
tʰ	①推梯{~子} ③腿 ⑤退{~婚；~還}褪{~色}
l	①□{催促：~他}□{鑽：一頭~到水裏去之} ②雷擂{~頭：抵頭游戲} ③纍{長年~月}壘 ⑤利{~索}内累{~得很}類淚
ts	②賊 ③嘴咀{地名用字：張家~；毛家~} ⑤罪最醉
tsʰ	①催崔{姓}摧{移動：往那邊~點個子}炊{水壺：~子；用水壺燒：~壺水} ②隨{白|聽任：~便} ⑤脆翠淬{~火}
s	①雖尿{撒~；小氣：~得很} ②隨{文|~從}髓{骨~}遂{半身不~} ⑤碎歲隧穗{抽~}
tʂ	①蜘{~蛛}遮□{~囉：知了}
tʂʰ	①車{騎~；用水車抽：~水} ③扯{~筋；~布}逞{白|~能}
ʂ	①賒{~賬} ②蛇佘{姓} ③捨{文|四~五入} ⑤社舍{宿~}
#ueɪ	
tʂ	①追{~查}錐{~子}蜇{蜂子~人}椎{腰~} ⑤贅{纍~}墜{往下~}縋
tʂʰ	①吹炊{~事員} ②垂槌錘{搞~子~}捶{~□ləʏ꜊拳頭；把你~死得} ③水 ⑤稅睡瑞
ʐ	
k	①閨{~房}規龜歸{縂~} ③詭{~計}軌{~道}癸{~丑年}鬼{見~；箇小伢~得很} ⑤桂跪櫃{櫥~}貴鱖{~魚}
kʰ	①盔虧{~本；~心}魁{~膀：魁梧} ②逵{李~}葵 ③□{用膝蓋抵壓以便綳緊物體} ⑤愧
x	①恢灰{~袋子}揮輝徽 ②回{~門；~嘴；一~}茴{~香}蛔 ③悔毀 ⑤賄{主動送：~之他}匯會{開~；~喫}燴惠{賢~}諱{直言不~}⓪諱{忌~}
#əʏ	
t	①都{首~；~走}兜{~把子：小孩用的肚兜兒} ③堵賭肚{~子疼}斗{搞~量：一~米}抖陡 ⑤杜{姓}度渡{輪~}鍍{~金}鬥{好~得很}肚{桌~的}豆逗□{遞：把茶壺~把我}
tʰ	①偷 ②徒{~弟}途涂圖頭{~腦}投{~票} ③土吐{~面痰}𢻕{使繩子等散開：把繩子~開得} ⑤吐{他暈車，上車就~}唾{~沫星子}兔透 ⓪頭{木~}
l	①溜{光~~} ②盧爐蘆{~粟子：高粱}樓流劉留瘤硫牛 ③魯艪滷摟簍扭柳 ⑤路露漏陋溜{從大人懷抱中快速滑下：直~下去之}⓪榴{石~}
ts	①租鄒{姓}謅{瞎~} ③祖組走{~走；從：~大路走}阻 ⑤助奏揍皺縐{文~~的}
tsʰ	①粗初 ②愁 ③楚瞅 ⑤凑醋
s	①蘇酥疏搜餿颼 ⑤素嗉{~袋子}數{名詞}瘦
tʂ	①周舟州洲 ③扭{擰：~斷得}□{調皮倔强} ⑤晝{日~夜}咒⓪晝{上~}
tʂʰ	①抽 ②籌仇{~人}醻{報~} ③丑醜 ⑤臭
ʂ	①收 ③捨{白|~不得}手首守□{好~：節儉} ⑤獸受壽{陽~}售{~票員}
ʐ	①□{理會：不~他} ②柔揉 ⑤肉{文|~頭：不精明}
#iʏ	
tɕ	①揪{~住；緊縮：心就麽直~}糾{~纏；~正}灸{鍼~} ③酒九久韭 ⑤就救究臼舅舊
tɕʰ	①秋{立~}鬮{抓~子}丘鰍𨟽{~黑之}□{~子：女陰}□{斜眼輕蔑地看} ②囚求球仇{姓}裘□{折磨：小伢子好~人} ③□{使勁揪住對方不放} ⓪秋{悠~}
ɕ	①修休羞 ③朽 ⑤秀繡鏽袖嗅⓪削{剝~}
k	①勾鉤溝 ③狗苟垢{~夾：身上搓出的污垢} ⑤夠構購
kʰ	①摳瞘{~鼻子凹眼睛} ②佝{腰~之} ③口 ⑤扣
x	①齁{~癆病；鹹之~人} ②侯喉猴瘊□{翻眼不滿地看：~人} ③候{等候：我~你} ⑤後{~頭}后{皇~}厚{~書；~粥}
ŋ	①漚 ③藕偶{~爾} ⑤慪
Ø	①憂優悠{慢~~的} ②尤郵由油游䢟 ③有{~人；也：他~來}友酉{申~戌亥} ⑤又右祐{保~}釉黝{臉高長之~了}幼
#eɪ̃	
tʂ	①氊{羊毛~子}霑{~光}粘{粘貼：~在一塊} ③展□{指桑駡槐：~之訣（罵）人} ⑤顫{凍之直~}
tʂʰ	①纏{~人}
ʂ	①膻{~人}扇{~風}煽{~風點火} ②□{竹子等編制的存糧農具：搞~子把~起來} ③閃{打~；~之腰；流產：~之一胎} ⑤善扇{~子}鱔{黃~}
#ĩ	
p	①鞭編煸邊鯿{~魚} ③貶{~低}扁匾 ⑤辨別辯辮便{順~}變遍{講幾~了}⓪貶{褒~}便{方~}
pʰ	①篇{老三~}偏{~心} ②便{~宜} ⑤騙遍{~場：到處}片{尿~；丫頭片子：對女孩的貶稱}
m	②緜{海~；因受潮而變軟：山芋糖~得之}棉{文|~產區} ③免{~費}勉{~強} ⑤面{~子；在表面撒：~一層土}麵{米~；食物澱粉含量高：山芋好~}
t	①掂{~量}踮癲顛 ③點{~個子：一點兒；~燈}典{~當} ⑤簟{~子}店電殿奠佃墊{~錢}□{~~：輕手輕腳}
tʰ	①添{加：~點個子；生（孩子）：~之一個姑娘}天 ②甜{糖~；嘴巴~}田填 ③舔掭 ③□{向石磨裏添加要磨的東西：~磨}
n	①拈{撿、拾}□{什~之：怎麽了} ②鐮簾連{~在一塊；縫：搞鍼~個子}聯年憐蓮 ③斂臉鮎攆{趕走：~出去；追趕：~不上他}捻 ⑤殮{入~}念練戀楝{~樹}
tɕ	①尖{刀~子；愛占小便宜：那個人好~}兼搛{~菜}煎肩{~膀}堅{~決} ③檢儉剪趼{老~}繭{蠶~}撿{~糞} ⑤漸劒箭踐賤{下~}餞{蜜~}犍{~豬}件建鍵健{~康}腱薦見{~面}
tɕʰ	①簽{竹~子；~名}謙遷千先{白|~來的}牽釺{鋼~}扦 ②鉗錢乾{~坤}前{~頭}嫌{~怕}潛{~山} ③淺遣潛{~水} ⑤歉⓪前{鍋~：廚房}欠{哈~}
ɕ	①杴{木製農具，用來撮稻穀等}先{文|教書~生} ②嫌{~貧愛富}賢{~良} ③險顯 ⑤憲獻現{~世；~飯：剩飯}縣缐
k	①乾{水~之}疳{~積}肝{豬~} ③趕{~鴨}埂{田~；塘~}梗{菜~子}擀{~麵湯}
kʰ	①看{~瓜} ③坎檻𠖫{倒扣：把碗~之} ⑤看{好~得很}
x	⑤漢{~狀：個子}汗 ②涵{白|淌~子：埋於隄下的水道}⓪寒{脾~：瘧疾}
ŋ	①安{~一盞燈}□{~豆：豌豆}
Ø	①醃{菜}烟{冒~；喫~}咽{~喉}胭{~脂}閹 ②嚴炎{~涼}鹽閻{~王}簷延筵言閆{姓}沿{牀~} ③掩{把門~之}演研 ⑤驗厭豔焰硯燕{~子}嚥{下~}
#yĩ	
tɕ	①絹{~絲}捐 ③捲{~起來} ⑤卷{五~}毽{踢~子}
tɕʰ	①圈{畫個~子把~起來} ②全泉拳{劃~；打~}権顴□{拔去動物的毛：~鷄毛} ③犬{屬~} ⑤勸拳{牛鼻~子}
ɕ	①仙鮮{魚好~}宣{~□fɛ̃꜊：吹噓自己} ②絃玄{越講越~}懸{挂：~在高頭怕人} ③癬選 ⑤羡旋{到外頭~一圈；挖；搞刀把它~得}楦{鞋~子}眩{暈~；喝點個酒頭就直~} ⓪鮮{新~}
