IPA	調值	調類	漢字
tsa	112	2	財柴
sa	45	5	曬
tsʰa	45	5	菜
ka	334	1	該街
kʰa	334	1	開
xa	112	2	鞋還
ma	112	2	埋
ŋa	112	2	岩
la	112	2	來
pa	22	6	敗
fa	22	6	壞
ta	22	6	大
ka	443	3	改解
xa	22	6	害
ma	443	3	買賣
ŋa	443	3	矮
pa	443	3	擺
ta	45	5	袋帶
ka	45	5	蓋戒
xa	443	3	海蟹
ma	45	5	賣
ŋa	45	5	愛
pa	45	5	拜敗
pɑ	112	2	浮
pʰɑ	45	5	炮
tɑ	112	2	桃
tʰɑ	443	3	討
tsɑ	443	3	早找
sɑ	443	3	嫂
tsʰɑ	334	1	抄
tʂɑ	112	2	朝
ʂɑ	334	1	燒
kɑ	334	1	高
kʰɑ	334	1	敲
xɑ	22	6	號
mɑ	112	2	毛
ŋɑ	112	2	熬
lɑ	22	6	鬧
pɑ	22	6	抱
tɑ	22	6	道
tsɑ	45	5	灶罩
tsʰɑ	443	3	草
tʂɑ	45	5	照
kʰɑ	45	5	靠
xɑ	443	3	好
mɑ	22	6	帽
lɑ	443	3	腦老
pɑ	334	1	包
tɑ	334	1	刀
tsʰɑ	45	5	糙造
mɑ	334	1	貓
pɑ	443	3	寶飽
tɑ	45	5	道
pɑ	45	5	抱
pɜ	112	2	賠
pʰɜ	45	5	配
fɜ	112	2	回肥
tɜ	22	6	袋
tsɜ	22	6	罪
sɜ	112	2	隨
mɜ	112	2	煤眉
lɜ	112	2	雷
pɜ	22	6	背被
fɜ	22	6	會
tɜ	45	5	對
tsɜ	24	7	賊
sɜ	45	5	碎歲
mɜ	22	6	妹
lɜ	443	3	呂
pɜ	334	1	杯碑
fɜ	334	1	灰飛
tsɜ	443	3	嘴
mɜ	45	5	妹
lɜ	45	5	類
pɜ	45	5	貝幣
fɜ	45	5	肺費
tsɜ	45	5	醉
pa	24	7	北百白
pʰa	24	7	拍
ta	24	7	得
tʰa	24	7	特
tsa	24	7	賊側窄摘
sa	24	7	虱塞色
tsʰa	24	7	測拆策
tʂa	24	7	折
ʂa	24	7	設失
tʂʰa	24	7	撤
ka	24	7	格隔
kʰa	24	7	刻客
xa	24	7	黑
ma	24	7	墨麥
ŋa	24	7	額
pɔ	112	2	爬
fɔ	112	2	華
tɔ	24	7	搭達
tʰɔ	24	7	踏塔
tsɔ	112	2	茶
sɔ	24	7	殺刷
tsʰɔ	24	7	擦
ʂɔ	112	2	蛇
tʂʰɔ	24	7	尺
kɔ	24	7	甲
xɔ	22	6	下
mɔ	22	6	罵
ŋɔ	112	2	牙
lɔ	24	7	蠟辣
pɔ	24	7	八
fɔ	22	6	畫話劃
tɔ	443	3	打
tʰɔ	45	5	踏
tsɔ	24	7	雜閘紮
sɔ	334	1	沙杉
tsʰɔ	334	1	插
ʂɔ	45	5	射石
kɔ	334	1	夾
xɔ	24	7	瞎
mɔ	443	3	馬
ŋɔ	24	7	鴨
lɔ	334	1	拉
pɔ	443	3	把
fɔ	24	7	法發
tsʰɔ	45	5	擇
kɔ	45	5	嫁
xɔ	334	1	蝦
ŋɔ	443	3	啞
fɔ	334	1	花
fɔ	45	5	化罰
fɘ	112	2	浮
tɘ	112	2	圖頭
tʰɘ	334	1	偷
tsɘ	112	2	鋤愁
sɘ	24	7	宿縮
tsʰɘ	24	7	族
tʂɘ	112	2	綢
ʂɘ	22	6	壽
tʂʰɘ	24	7	畜
kɘ	334	1	鉤
kʰɘ	443	3	口
xɘ	22	6	後厚
ŋɘ	443	3	藕
lɘ	112	2	奴樓
tɘ	22	6	豆
tʰɘ	443	3	土
tsɘ	24	7	足
sɘ	443	3	數
tsʰɘ	334	1	初
tʂɘ	24	7	竹粥燭
ʂɘ	24	7	叔熟贖屬
tʂʰɘ	334	1	抽
kɘ	443	3	狗
xɘ	45	5	厚
lɘ	22	6	路
tɘ	24	7	讀毒
tsɘ	334	1	租
sɘ	45	5	數瘦
tsʰɘ	45	5	湊
tʂɘ	334	1	州
ʂɘ	443	3	手
tʂʰɘ	45	5	臭
kɘ	45	5	夠
lɘ	24	7	鹿六綠
tɘ	443	3	賭抖
tsɘ	443	3	走
ʂɘ	45	5	壽熟
tɘ	45	5	杜
tsɘ	45	5	做
tsɿ	112	2	祠
sɿ	22	6	寺事
tsʰɿ	45	5	刺
tsɿ	22	6	子字
sɿ	334	1	師絲
tsɿ	334	1	資
sɿ	443	3	死
tsɿ	443	3	紫
sɿ	45	5	四
tʂʅ	112	2	池遲
ʂʅ	112	2	時
ʐʅ	24	7	日
tʂʰʅ	24	7	直尺
tʂʅ	24	7	汁侄織
ʂʅ	22	6	柿市
tʂʰʅ	45	5	直
tʂʅ	334	1	知
ʂʅ	24	7	實食石
tʂʅ	443	3	紙指
ʂʅ	443	3	使
tʂʅ	45	5	制治
ʂʅ	45	5	世試十式
pie	24	7	別
tie	24	7	跌碟
tʰie	24	7	貼鐵
tɕie	24	7	接節結絕
ɕie	24	7	協歇雪
tɕʰie	24	7	傑切截
mie	24	7	滅篾
ȵie	24	7	孽
lie	24	7	列
Ǿie	24	7	葉
pie	334	1	憋
tɕie	443	3	姐
ɕie	443	3	寫
tɕʰie	45	5	去
tɕie	45	5	借
ɕie	45	5	謝
tɕio	24	7	腳角
ɕio	24	7	削學
tɕʰio	24	7	雀
ȵio	24	7	弱
Ǿio	24	7	約藥
ɕio	45	5	勺
piɑ	443	3	表
pʰiɑ	45	5	票
tiɑ	112	2	條
tɕiɑ	112	2	橋
ɕiɑ	334	1	簫
tɕʰiɑ	334	1	敲
miɑ	22	6	廟
ȵiɑ	443	3	鳥
liɑ	22	6	料
Ǿiɑ	112	2	搖
tiɑ	443	3	鳥
tɕiɑ	22	6	轎
ɕiɑ	443	3	小
Ǿiɑ	334	1	腰
tiɑ	45	5	釣
tɕiɑ	334	1	交焦
ɕiɑ	45	5	孝校笑
Ǿiɑ	443	3	繞
tɕiɑ	45	5	叫
Ǿiɑ	45	5	要
piɔ	24	7	壁
pʰiɔ	24	7	劈
tɕiɔ	112	2	斜
ɕiɔ	22	6	下
tɕʰiɔ	24	7	吃
Ǿiɔ	112	2	牙爺
tɕiɔ	24	7	甲
ɕiɔ	334	1	蝦
Ǿiɔ	22	6	夜
tɕiɔ	443	3	假
ɕiɔ	45	5	夏
Ǿiɔ	24	7	鴨
tɕiɔ	45	5	嫁
Ǿiɔ	443	3	野
tiɘ	334	1	丟
tɕiɘ	112	2	球
ɕiɘ	334	1	修休
tɕʰiɘ	24	7	曲
ȵiɘ	112	2	牛
liɘ	112	2	流
Ǿiɘ	112	2	油
tɕiɘ	22	6	舅舊
ɕiɘ	45	5	袖
Ǿiɘ	22	6	右
tɕiɘ	443	3	酒九
Ǿiɘ	24	7	肉育褥浴
Ǿiɘ	334	1	優
Ǿiɘ	443	3	有
Ǿiɘ	45	5	幼
kua	443	3	拐
kʰua	443	3	塊
Ǿua	22	6	外
kua	45	5	怪
kʰua	45	5	快
Ǿua	334	1	歪
kuɜ	22	6	櫃
kʰuɜ	334	1	虧
Ǿuɜ	112	2	危圍
kuɜ	334	1	規龜
kʰuɜ	443	3	跪
Ǿuɜ	22	6	位味
kuɜ	443	3	鬼
Ǿuɜ	443	3	尾
kuɜ	45	5	桂貴
Ǿuɜ	45	5	衛胃
kua	24	7	骨國
kuɔ	24	7	刮
Ǿuɔ	24	7	滑襪
kuɔ	334	1	瓜
Ǿuɔ	334	1	挖
kuɔ	45	5	掛
Ǿuɔ	443	3	瓦
tɕye	24	7	決
ɕye	24	7	血
tɕʰye	24	7	缺
Ǿye	24	7	月越
tɕyɜ	112	2	垂錘
ɕyɜ	443	3	水
tɕʰyɜ	334	1	吹
tɕyɜ	334	1	追
ɕya	24	7	血
Ǿya	24	7	月
tɕyɔ	112	2	茄
ɕyɔ	334	1	靴
tɕyɔ	334	1	抓
pən	112	2	盆朋棚蓬
fən	112	2	魂墳橫
tən	112	2	藤銅
tʰən	334	1	吞通
tsən	112	2	層松
sən	334	1	孫生松
tsʰən	334	1	村蔥
tʂən	112	2	沉陳程城蟲
ʂən	112	2	神辰唇繩
tʂʰən	334	1	充沖
kən	22	6	共
kʰən	334	1	坑
xən	112	2	紅
mən	112	2	門
ŋən	22	6	硬
lən	112	2	輪能膿濃龍
pən	443	3	本
fən	22	6	縫
tən	22	6	動洞
tʰən	443	3	桶統
tsən	334	1	僧爭貞
sən	443	3	筍省
tsʰən	45	5	寸
tʂən	22	6	重
ʂən	22	6	剩
tʂʰən	45	5	秤
kən	334	1	根更耕公宮恭
kʰən	443	3	肯孔
xən	334	1	烘
mən	22	6	夢
ŋən	334	1	恩
lən	22	6	嫩
fən	334	1	婚分風豐封蜂
tən	334	1	墩蹲燈東冬
tʰən	45	5	痛
tsən	45	5	俊粽
sən	45	5	送宋
tʂən	334	1	針中終
ʂən	334	1	深身升聲
kən	443	3	梗
xən	45	5	恨
mən	334	1	蚊
lən	334	1	聾
fən	443	3	粉
tən	443	3	等懂
tʂən	443	3	整腫種
kən	45	5	共
mən	443	3	猛
lən	443	3	冷
fən	45	5	糞鳳
tən	45	5	凳凍動洞
tʂən	45	5	鎮震證正
mən	45	5	夢
lən	45	5	弄
pin	112	2	貧平瓶
pʰin	443	3	品
tin	112	2	停
tʰin	334	1	廳
tɕin	112	2	尋琴勤窮
ɕin	112	2	行形熊雄
tɕʰin	334	1	親清輕青
min	112	2	民明名
ȵin	112	2	迎
lin	112	2	林鄰零
Ǿin	112	2	人銀蠅贏容
pin	22	6	病
tin	22	6	定
tʰin	443	3	挺
tɕin	22	6	近
ɕin	334	1	心參新星兄兇
tɕʰin	45	5	慶
min	22	6	命
lin	443	3	領
Ǿin	22	6	認用
pin	334	1	冰兵
tin	334	1	釘
tʰin	45	5	聽
tɕin	334	1	金筋經
ɕin	45	5	興姓
Ǿin	334	1	音
pin	443	3	柄餅
tin	443	3	頂
tɕin	443	3	緊井
Ǿin	443	3	引隱影擁
tin	45	5	定
tɕin	45	5	浸進勁鏡靜
Ǿin	45	5	任印
tɕyn	112	2	裙
ɕyn	112	2	純
tɕʰyn	334	1	春
Ǿyn	112	2	勻雲榮營
tɕyn	334	1	均軍
ɕyn	22	6	順
Ǿyn	22	6	閏
tɕyn	443	3	准
ɕyn	334	1	熏
Ǿyn	443	3	永
ɕyn	45	5	順
Ǿyn	45	5	運
kuən	443	3	滾
kʰuən	45	5	困
Ǿuən	112	2	蚊
Ǿuən	22	6	問
Ǿuən	334	1	溫翁
pã	22	6	辦
fã	112	2	還
tã	112	2	潭彈
tʰã	334	1	貪
tsã	112	2	蠶
sã	334	1	三衫山
tsʰã	443	3	鏟產
kã	334	1	甘肝間奸
kʰã	45	5	看
xã	112	2	含鹹
mã	22	6	慢
ŋã	112	2	顏
lã	112	2	南藍難蘭
pã	334	1	班
fã	22	6	犯飯
tã	22	6	淡
tʰã	443	3	毯
tsã	22	6	賺
sã	443	3	傘
kã	443	3	感敢減
xã	22	6	汗限
mã	443	3	晚
ŋã	22	6	岸
lã	22	6	爛
pã	443	3	板
fã	334	1	翻
tã	334	1	單
tʰã	45	5	炭
kã	45	5	監
xã	443	3	喊
ŋã	334	1	安
lã	443	3	懶
pã	45	5	扮
fã	443	3	反
tã	443	3	膽
xã	45	5	漢限
ŋã	443	3	眼
fã	45	5	犯
ŋã	45	5	暗
pɔ̃	334	1	搬幫
pʰɔ̃	45	5	判胖
fɔ̃	112	2	黃
tɔ̃	112	2	糖
tʰɔ̃	334	1	湯
tsɔ̃	112	2	床
sɔ̃	334	1	霜雙
tsʰɔ̃	334	1	倉瘡窗
tʂɔ̃	112	2	長
ʂɔ̃	112	2	嘗
tʂʰɔ̃	443	3	廠
kɔ̃	334	1	鋼光
kʰɔ̃	334	1	糠坑
xɔ̃	112	2	房防
mɔ̃	112	2	忙
lɔ̃	22	6	浪
Ǿɔ̃	112	2	黃
pɔ̃	443	3	綁
fɔ̃	22	6	換
tɔ̃	443	3	黨
tsɔ̃	334	1	裝樁
tsʰɔ̃	443	3	撞
tʂɔ̃	334	1	張章
ʂɔ̃	22	6	上
tʂʰɔ̃	45	5	唱
kɔ̃	443	3	講
xɔ̃	334	1	慌方
mɔ̃	22	6	滿
Ǿɔ̃	443	3	網
pɔ̃	45	5	棒
fɔ̃	334	1	歡
tsɔ̃	45	5	壯
ʂɔ̃	334	1	傷聲
xɔ̃	443	3	紡
xɔ̃	45	5	放項
pĩ	22	6	便
pʰĩ	45	5	騙片
tĩ	112	2	甜田
tʰĩ	334	1	添天
tɕĩ	112	2	鉗錢前全
ɕĩ	112	2	嫌
tɕʰĩ	334	1	簽牽
mĩ	112	2	棉
ȵĩ	112	2	言年
lĩ	112	2	連蓮
Ǿĩ	112	2	炎鹽嚴延
pĩ	443	3	扁
tĩ	22	6	墊
tɕĩ	22	6	件
ɕĩ	22	6	現縣
tɕʰĩ	443	3	淺
mĩ	22	6	面面
ȵĩ	22	6	黏念
Ǿĩ	334	1	煙
pĩ	45	5	變
tĩ	443	3	點典
tɕĩ	334	1	尖肩
ɕĩ	334	1	鮮先
tɕʰĩ	45	5	欠
mĩ	45	5	面
ȵĩ	24	7	業
Ǿĩ	45	5	厭
tĩ	45	5	店
tɕĩ	443	3	剪
ɕĩ	443	3	險顯選
ȵĩ	443	3	染捏
tɕĩ	45	5	劍建健見
ɕĩ	45	5	線現
ȵĩ	45	5	驗念
pɵ̃	112	2	盤
tɵ̃	22	6	斷
sɵ̃	334	1	酸閂
kɵ̃	334	1	官
kʰɵ̃	334	1	寬
lɵ̃	22	6	亂
Ǿɵ̃	443	3	碗
pɵ̃	45	5	半
tɵ̃	334	1	端
sɵ̃	45	5	算
lɵ̃	443	3	暖
tɵ̃	443	3	短
tɵ̃	45	5	斷
tʂɛ̃	112	2	纏
ʂɛ̃	22	6	善
ʂɛ̃	45	5	善
piã	112	2	平瓶
tiã	334	1	釘
tʰiã	443	3	挺
tɕiã	22	6	匠像
ɕiã	112	2	降
tɕʰiã	334	1	清輕青
miã	112	2	明名
ȵiã	112	2	娘
liã	112	2	零
Ǿiã	112	2	贏
piã	22	6	病
tʰiã	45	5	聽
tɕiã	334	1	漿薑江
ɕiã	334	1	星
tɕʰiã	443	3	搶
miã	22	6	命
liã	22	6	亮
Ǿiã	22	6	讓樣
piã	443	3	柄餅
tɕiã	443	3	講井
ɕiã	443	3	想響
liã	443	3	兩領
Ǿiã	334	1	秧
ɕiã	45	5	像向項
Ǿiã	443	3	癢影
kuã	334	1	關
Ǿuã	112	2	頑
Ǿuã	22	6	萬
Ǿuã	334	1	彎
Ǿuã	443	3	晚
kuɔ̃	112	2	狂
kʰuɔ̃	334	1	筐
Ǿuɔ̃	112	2	完王
kuɔ̃	45	5	慣
Ǿuɔ̃	45	5	旺
tɕyɛ̃	112	2	傳船權
ɕyɛ̃	45	5	扇
tɕʰyɛ̃	334	1	圈
Ǿyɛ̃	112	2	圓鉛原園
tɕyɛ̃	22	6	傳
tɕʰyɛ̃	45	5	勸
Ǿyɛ̃	334	1	冤
tɕyɛ̃	334	1	磚
Ǿyɛ̃	443	3	軟遠
tɕyɛ̃	443	3	轉卷
Ǿyɛ̃	45	5	院
tɕyɛ̃	45	5	占戰
