num	字	泗纶
2375	濟	ʦi⁵²
2379	災	ʦɔi⁵⁵
2389	租	ʦu⁵⁵
2392	作	ʦɔk²¹
2393	遵	ʦun⁵⁵
2396	卒	ʦut²¹
2398	津	ʦin⁵⁵
2406	資	ʦi⁵⁵
2409	姊	ʦi³¹
2419	子	ʦu³¹
2423	槍	ꭧiɔŋ⁵⁵
2440	秋	ʦʰiu⁵⁵
2457	遷	ꭧen⁵⁵
2458	竄	ꭧɔn³¹
2461	燦	ꭧan⁵²
2462	浸	ʦim⁵²
2463	侵	ꭧim⁵⁵
2476	籤	ꭧiam⁵⁵
2479	妾	ꭧiap²¹
2480	參	ꭧam⁵⁵
2482	鍬	ꭧiau⁵⁵
2505	猜	ꭧai⁵⁵
2510	菜	ꭧɔi⁵²
2513	蛆	ʦy⁵⁵
2523	親	ꭧin⁵⁵
2525	七	ꭧit²¹
2528	村	ꭧun⁵⁵
2534	次	ꭧi⁵²
2545	夕	sip⁴
2549	謝	ꭧie³¹
2551	泅	ꭧeu³⁵
2567	徐	ʦʰy³⁵
2573	巡	ꭧun³⁵
2577	殉	sun⁵⁵
2603	相	siɔŋ⁵⁵
2608	削	siɔk²¹
2610	桑	sɔŋ⁵⁵
2612	索	sɔk²¹
2614	姓	siaŋ⁵²
2630	鎖	sɔ³¹
2632	獻	hen⁵²
2635	寫	sie³¹
2637	修	siu⁵⁵
2641	宿	suk²¹
2646	嗽	seu⁵²
2647	先	sien⁵⁵
2655	仙	sen⁵⁵
2662	薛	set²¹
2665	算	sɔn⁵²
2671	散	san⁵²
2674	心	sim⁵⁵
2678	粟	suk²¹
2680	速	ꭧuk⁴
2686	宋	suŋ⁵²
2689	三	sam⁵⁵
2698	消	siau⁵⁵
2705	小	siau³¹
2719	西	si⁵⁵
2722	細	sai⁵²/sei⁵²
2726	碎	sui⁵²
2735	絮	sy³¹
2738	蘇	su⁵⁵
2750	恤	sut²¹
2752	新	sin⁵⁵
2774	死	si³¹
2775	四	si⁵²
2809	腳	kiɔk²¹
2810	卻	kʰiɔk²¹
2813	光	kɔŋ⁵⁵
2827	各	kɔk²¹
2846	庚	kaŋ⁵⁵
2863	過	kɔ⁵²
2866	戈	kʰɔ⁵⁵
2871	哥	kɔ⁵⁵
2876	瓜	kua⁵⁵
2879	茄	kʰie³⁵
2880	家	ka⁵⁵
2906	鳩	keu⁵⁵
2908	九	kɐu³¹
2910	韭	kiu³¹
2913	救	kiu⁵²
2935	建	ken⁵²
2942	堅	kien⁵⁵
2943	繭	kian³¹
2975	貫	kuan⁵²
2978	官	kuan⁵⁵
2984	館	kuan³¹
2987	活	vɔt²¹
2988	括	kat²¹
2992	乾	kʰen³⁵
3000	金	kim⁵⁵
3002	今	kim⁵⁵
3007	急	kep²¹
3009	級	kʰap²¹
3011	恭	kuŋ⁵⁵
3021	公	kuŋ⁵⁵
3027	穀	kuk²¹
3037	劫	kiap²¹
3063	蛤	kap²¹
3065	合	hap⁴
3066	交	kau⁵⁵
3067	咬	ŋau⁵⁵
3091	驕	kiau⁵⁵
3092	喬	kʰiau³⁵
3099	高	kɔ⁵⁵
3100	告	ket²¹
3109	圭	kui⁵⁵
3114	雞	kai⁵⁵
3118	繫	hai³¹
3121	乖	kuai⁵⁵
3123	怪	kuai⁵²
3140	掛	kua⁵²
3143	街	kai⁵⁵
3150	該	kɔi⁵⁵
3174	姑	ku⁵⁵
3190	巾	kin⁵⁵
3192	均	kun⁵⁵
3194	緊	kin³¹
3210	骨	kut²¹
3212	根	ken⁵⁵
3214	龜	kui⁵⁵
3232	居	ky⁵⁵
3243	饑	ki⁵⁵
3248	溉	kʰɔi⁵²
3252	強	kʰiɔŋ³⁵
3256	頸	kiaŋ³¹
3261	劇	kʰak⁴
3266	仇	ꭧʰiu³⁵
3271	舅	kʰeu⁵⁵
3273	舊	kʰiu³¹
3292	件	kʰen³¹
3294	杰	kʰet⁴
3297	擒	kʰim³¹
3304	局	kʰiuk⁴
3305	窮	kʰuŋ³⁵
3306	鉗	kiam³⁵
3309	儉	kʰiam³¹
3311	橋	kʰiau³⁵
3318	句	ky⁵²
3323	渠	ky³⁵
3328	拒	kʰy³¹
3332	窘	kʰun³¹
3352	葵	kʰui³⁵
3357	奇	kʰi³⁵
3384	匡	hɔŋ⁵⁵
3385	羌	kiɔŋ⁵⁵
3386	曠	kɔŋ⁵²
3394	輕	hiaŋ⁵⁵
3399	坑	haŋ⁵⁵
3400	客	hak²¹
3403	慶	hin⁵²
3415	夸	kʰua⁵⁵
3434	牽	hien⁵⁵
3441	寬	kʰuan⁵⁵
3443	闊	kʰat²¹
3450	泣	ip²¹
3452	曲	kʰuk²¹
3453	空	huŋ⁵⁵
3455	哭	huk²¹
3460	怯	hiap²¹
3470	坎	ham⁵²
3479	考	hau³¹
3481	靠	kau⁵²
3482	磕	ŋap²¹
3485	奎	kʰui³⁵
3486	溪	kʰai⁵⁵
3503	塊	fai⁵²
3517	枯	ku⁵⁵
3526	窟	vut²¹
3530	器	hi⁵²
3539	欺	hi⁵⁵
3549	昂	ŋɔŋ⁵⁵
3553	鄂	ŋɔk⁴
3556	硬	ŋaŋ³¹
3557	額	ŋak²¹
3561	臥	ŋɔ³¹
3568	我	ŋɔ⁵⁵
3570	瓦	ŋa³¹
3571	牙	ŋa³⁵
3575	雅	ŋa³¹
3581	牛	ŋau³¹
3590	月	ȵat⁴
3591	言	ȵien³⁵
3593	研	ȵan⁵⁵
3594	硯	ian³¹
3600	頑	van³⁵
3601	顏	ŋan³¹
3603	眼	ŋan³¹
3604	玩	uan³¹
3605	岸	ŋɔn³¹
3612	嚴	ȵiam³⁵
3615	業	ȵiap⁴
3616	巖	ŋam³⁵
3618	樂	ŋɔk⁴
3627	外	ŋɔi³¹
3628	艾	ŋai³¹
3633	藝	ŋai³⁵
3639	礙	ŋɔi⁵²
3648	魚	ȵy³¹
3652	禦	ȵy⁵²
3664	五	ŋ³¹
3692	騰	tʰaŋ³⁵
3704	堂	tʰɔŋ³⁵
3707	踱	tɔk²¹
3717	艇	tʰiaŋ³¹
3724	糴	tʰak⁴
3739	頭	tʰau³⁵
3743	豆	tʰau³¹
3744	田	tʰien³⁵
3756	緞	tʰɔn³¹
3760	奪	tʰɔt⁴
3761	脫	tʰɔt²¹
3780	洞	tʰuŋ³¹
3781	動	tʰuŋ³¹
3786	讀	tʰuk⁴
3793	甜	tʰiam³⁵
3804	淡	tʰam⁵⁵
3805	淡	tʰam⁵⁵
3813	調	tʰiau³⁵
3835	蹄	tʰai³⁵
3836	啼	tʰai³⁵
3849	臺	tʰɔi³⁵
3866	圖	tʰu³⁵
3880	地	tʰi³¹
3885	德	tet²¹
3887	當	tɔŋ⁵⁵
3896	頂	tiaŋ³¹
3901	朵	tɔ³¹
3902	剁	tɔk²¹
3903	多	tɔ⁵⁵
3904	丟	tiu⁵⁵
3905	兜	tau⁵⁵
3906	斗	tau³¹
3910	鬥	tau³¹
3911	顛	tien⁵⁵
3920	鍛	tɔn³¹
3927	旦	tan⁵²
3930	東	tuŋ⁵⁵
3939	佔	ꭧiam⁵²
3942	店	tiam⁵²
3945	擔	tam⁵⁵
3950	耽	tam⁵⁵
3951	答	tap²¹
3952	刁	tiau⁵⁵
3958	鳥	tiau⁵⁵
3969	帶	tai⁵²
3974	底	tai³¹
3977	帝	ti⁵²
3981	堆	tui⁵⁵
3983	對	tui⁵²
3984	碓	tɔi⁵²
3987	都	tu⁵⁵
3993	墩	tun⁵⁵
3997	囊	nɔŋ³⁵
3999	諾	nɔk²¹
4010	年	ȵian³⁵
4012	捏	net²¹
4015	暖	nɔn⁵⁵
4016	難	nan³⁵
4021	農	nuŋ³⁵
4030	南	nam³⁵
4032	納	nap⁴
4033	尿	ȵiau³¹
4035	腦	nɔ³¹
4040	內	nɔi³¹
4041	能	naŋ³⁵
4043	乃	nai⁵⁵
4044	耐	nɔi³¹
4045	奴	nu³⁵
4047	怒	nu³¹
4049	嫩	nun³¹
4053	託	tʰɔk²¹
4064	踢	tʰak²¹
4068	他	tʰa⁵⁵
4070	拖	tʰɔ⁵⁵
4073	天	tʰien⁵⁵
4085	炭	tʰan⁵²
4087	達	tat²¹
4098	帖	tʰiap²¹
4099	貼	tʰiap²¹
4109	貪	tʰam⁵⁵
4110	踏	tʰap⁴
4111	挑	tʰiau⁵⁵
4118	挑	tʰiau⁵⁵
4122	太	tʰai⁵²
4127	體	tʰi³¹
4131	退	tʰui⁵²
4136	吐	tʰu⁵²
4140	突	tut²¹
4144	崩	paŋ⁵⁵
4145	北	pet²¹
4152	博	pɔk²¹
4160	壁	piak²¹/pak²¹
4161	拼	pʰin⁵²
4167	伯	pak²¹
4175	柄	piaŋ⁵²
4176	波	pɔ⁵⁵
4180	巴	pa⁵⁵
4188	邦	pɔŋ⁵⁵
4189	剝	mɔk²¹
4190	駁	pɔl²¹
4191	不	put²¹
4197	返	fan⁵⁵
4201	髮	fat²¹
4202	邊	pien⁵⁵
4208	變	pien⁵⁵
4212	班	pan⁵⁵
4218	八	pat²¹
4224	撥	pʰak⁴
4226	稟	pin³¹
4228	風	fuɔŋ⁵⁵
4231	福	fuk²¹
4237	卜	pʰuk⁴
4240	包	pau⁵⁵
4241	胞	pau⁵⁵
4251	標	pʰiau⁵⁵
4262	貝	pui⁵²
4263	沛	pʰui⁵²
4266	蓖	pei⁵⁵
4270	拜	pai⁵²
4271	擺	pai³¹
4276	輩	pui⁵²
4278	廢	fui⁵²
4298	補	pɔ³¹
4300	布	pu⁵²
4310	殯	pin⁵²
4316	糞	fun⁵²
4323	本	pun³¹
4339	碑	pi⁵⁵
4348	飛	fi⁵⁵
4361	朋	pʰaŋ³⁵
4364	方	fɔŋ⁵⁵
4380	薄	pʰɔk⁴
4397	病	piaŋ³¹
4398	婆	pʰɔ³⁵
4401	爬	pʰa³⁵
4406	蚌	pɔŋ³¹
4408	浮	fau³⁵
4420	番	fan⁵⁵
4423	飯	fan³¹
4424	罰	fat⁴
4425	拔	pʰat⁴
4435	別	pʰet⁴
4447	叛	pʰɔn³¹
4460	蓬	pʰuŋ³⁵
4472	乏	fat⁴
4491	牌	pʰai³⁵
4499	培	pʰɔi³⁵
4502	背	pɔi⁵²
4517	附	fu⁵²
4519	樸	pʰuk²¹
4524	部	pʰu³¹
4541	分	fun⁵⁵
4546	勃	pʰut⁴
4557	鼻	pʰi³¹
4560	皮	pʰi³⁵
4561	被	pʰi⁵⁵
4566	肥	fi³⁵
4572	望	mɔŋ³¹
4581	忙	mɔŋ³⁵
4587	莫	mɔk⁴⁴
4597	萌	maŋ³⁵
4599	麥	mak⁴
4613	命	miaŋ³¹
4616	磨	mɔ³⁵
4619	麻	ma³⁵
4622	馬	ma⁵⁵
4637	母	mu⁵⁵
4648	襪	mat²¹
4649	眠	mien³⁵
4661	面	men³¹/mien⁵²
4662	滅	met⁴
4663	蠻	man³⁵
4676	抹	mat²¹
4687	蒙	muŋ³¹
4690	木	muk²¹
4691	茅	mau³⁵
4696	貓	miau⁵²
4711	迷	mei³¹
4717	買	mai⁵⁵
4718	賣	mai³¹
4724	每	mui⁵⁵
4725	妹	mɔi⁵²
4748	暮	mu³¹
4756	民	min³⁵
4761	聞	mun⁵²
4762	文	mun³⁵
4772	門	mun³⁵
4774	沒	mut⁴
4783	美	mi⁵⁵
4813	劈	pʰak²¹
4826	破	pʰɔ⁵²
4828	怕	pʰa⁵²
4831	朴	pʰuk²¹
4836	片	pʰien³¹
4845	盼	pʰan⁵²
4851	品	pʰin³¹
4860	泛	fan⁵²
4862	拋	pʰau⁵⁵
4863	炮	pʰau⁵²
4870	批	pʰei⁵⁵
4873	派	pʰai⁵²
4874	坯	pʰɔi⁵⁵
4876	配	pʰui⁵²
4890	普	pʰu³¹
4901	彿	fut⁴
4902	噴	pʰun⁵²
4905	披	pʰi⁵⁵
4927	糯	lɔ³¹
4932	歪	uai⁵⁵
4934	污	u⁵⁵
4941	撐	ꭧaŋ⁵²
4954	奶	nai⁵⁵
4969	間	kan⁵⁵
4993	挖	vat²¹
4994	碗	vɔn³¹
5008	搬	pɔn⁵⁵
5020	灶	ʦɔ⁵²
5033	騙	pʰen⁵²
5041	錶	piau⁵⁵
5069	塌	tʰap²¹
5072	辣	lat⁴
5117	尷	kam⁵⁵
5140	你	ni³⁵
5142	樣	iɔŋ³¹
5148	褲	fu⁵²
5175	腮	sɔi⁵⁵
5176	簽	ꭧiam⁵⁵
5180	窗	ꭧɔŋ⁵⁵
5184	窩	vɔ⁵⁵
5219	拿	na³¹
5223	爺	ia³⁵
5259	扼	ak²¹
5260	扯	ꭧʰe³¹
5261	托	tʰɔk²¹
5286	仔	ʦai³¹
5288	着	ꭧɔk²¹
5312	玩	uan³¹
5410	祁	kʰi³⁵
5433	憋	pet²¹
5473	佬	lau³¹/lɔ³¹
