1890會城			IPA		註釋
學	H	ok	h	ɔk	
托	H	ok	h	ɔk	
托	T'	ok	tʰ	ɔk	又音，有時
含	H	òm	h	om	
看	H	on	h	ɔn	
團	H	on	h	ɔn	
行	H	ong	h	ɔŋ	
湯	H	ong	h	ɔŋ	
脫	H	òt	h	ot	
喝	H	òt	h	ot	
墟	H	uí	h	ʊi	
哭	H	uk	h	ʊk	
禿	H	uk	h	ʊk	
犬	H	ún	h	un	
吞	H	ún	h	un	
𣎀	H	ún	h	un	
兇	H	ung	h	ʊŋ	
血	H	üt	h	yt	
	I				
*		Í	ʔ	i	
*		Íp	ʔ	ip	
*		Íu	ʔ	iʊ	
	K				
加	K	á	k	a	
誇	K'	á	kʰ	a	
誇	K'w	á	kʰʷ	a	受過更好教育的人音同廣州
個	K	aí	k	ɐi	祇有會東北音如此讀作
啟	K'	aí	kʰ	ɐi	
鷄	K	áí	k	ai	
皆	K	áí	k	ai	
𢬿	K'	áí	kʰ	ai	
喀	K'	ak	kʰ	ɐk	
革	K	ák	k	ak	
摑	K	ák	k	ak	
摑	Kw	ák	kʷ	ak	受過更好教育的人音同廣州
𠹸	K'	am	kʰ	ɐm	
妗	K'	em	kʰ	ɛm	
監	K	ám	k	am	
*	K	an	k	ɐn	
奸	K	án	k	an	
更	K	áng	k	aŋ	
耕	K	áng	k	aŋ	
掯	K'	áng	kʰ	aŋ	
逛	K'	áng	kʰ	aŋ	
逛	K'w	ang	kʰʷ	ɐŋ	又音
逛	K'w	áng	kʰʷ	aŋ	又音
夾	K	áp	k	ap	
合	K	áp	k	ap	
*	K'	áp	kʰ	ap	
甴	K	át	k	at	
溝	K	áu	k	aʊ	
溝	K	eu	k	ɛʊ	仿廣州音
九	K	eu	k	ɛʊ	
狗	K	eu	k	ɛʊ	
交	K	áu	k	aʊ	會城音
交	K	au	k	ɐʊ	會西南音
摳	K'	áu	kʰ	aʊ	
求	K'	eu	kʰ	ɛʊ	會西南音
求	K'	íú	kʰ	iu	會城音，通常
基	K	éí	k	ei	
其	K'	éí	kʰ	ei	
金	K	em	k	ɛm	
琴	K'	em	kʰ	ɛm	
巾	K	en	k	ɛn	
勤	K'	en	kʰ	ɛn	
薑	K	eng	k	ɛŋ	
急	K	ep	k	ɛp	會城音
急	K	íp	k	ip	會城音，又音
急	K	íp	k	ip	會東北音，唯一讀音
汲	K'	ep	kʰ	ɛp	會城音
汲	K'	ep	kʰ	ɛp	會東北音
汲	K'	íp	kʰ	ip	會東北音，又音
吉	K	et	k	ɛt	
咳	K'	et	kʰ	ɛt	
九	K	eu	k	ɛʊ	
茄	K	ia	k	ɪɐ	
屐	K	iak	k	ɪɐk	
極	K	ik	k	ɪk	
隙	K'	ik	kʰ	ɪk	
劍	K	ím	k	im	
箝	K'	ím	kʰ	im	
見	K	ín	k	in	
君	K	ín	k	in	會城音
君	Kw	ún	kʷ	un	會西南音
㨴	K'	ín	kʰ	in	
拳	K'	ín	kʰ	in	會城音
拳	K'	ún	kʰ	un	會西南音
京	K	ing	k	ɪŋ	
及	K	íp	k	ip	
級	K	íp	k	ip	會城音
級	K	áp	k	ap	會西南音
刦	K	íp	k	ip	
潔	K	ít	k	it	
揭	K'	ít	kʰ	it	
厥	K'	ít	kʰ	it	會城音
厥	K'	út	kʰ	út	會西南音
轎	K	íú	k	iu	
橋	K'	íú	kʰ	iu	
哥	K	o	k	ɔ	
戈	F	o	f	ɔ	
過	K	o	k	ɔ	
果	Kw	o	kʷ	ɔ	受過教育的人讀kʷɔ
高	K	ò	k	o	
該	K	oí	k	ɔi	
個	K	oí	k	ɔi	會城音
個	K	aí	k	ɐi	個有時讀kɐi，主要是新會東部的人
蓋	K'	oí	kʰ	ɔi	
各	K	ok	k	ɔk	
割	K	ok	k	ɔk	
國	K	ok	k	ɔk	
國	Kw	ok	kʷ	ɔk	受過良好教育的人國讀kʷɔk
腳	K	ök	k	œk	
確	K'	ok	kʰ	ɔk	
卻	K'	ök	kʰ	œk	
柑	K	om	k	ɔm	
乾	K	on	k	ɔn	
江	K	ong	k	ɔŋ	
光	K	ong	k	ɔŋ	
光	Kw	ong	kʷ	ɔŋ	光受過良好教育的人讀kʷɔŋ
*	K'	ong	kʰ	ɔŋ	
薑	K'	öng	kʰ	œŋ	
薑	K'	eng	kʰ	ɛŋ	20到30歲村民讀kɛŋ
穀	K	uk	k	ʊk	
曲	K'	uk	kʰ	ʊk	
工	K	ung	k	ʊŋ	
窮	K'	ung	kʰ	ʊŋ	
葛	K	út	k	ut	
瓜	Kw	á	kʷ	a	
瓜	K	á	k	a	文盲音瓜讀ka
挂	K'w	á	kʷʰ	a	文盲音挂讀kʷʰa
褂	K'w	á	kʷʰ	a	文盲音褂讀kʷʰa
褂	K'	á	kʰ	a	文盲音褂有時讀kʰa
*	K'w	á	kʷʰ	a	
鬼	Kw	aí	kʷ	ɐi	會城音
鬼	Kw	úí	kʷ	ui	會西南音
乖	Kw	áí	kʷ	ai	
羣	K'w	an	kʷʰ	ɐn	
羣	K'w	ún	kʷʰ	un	文盲音
關	Kw	án	kʷ	an	
關	K	án	k	an	又音
轟	Kw	áng	kʷ	aŋ	
括	Kw	at	kʷ	ɐt	
括	K	át	k	at	又音
刮	Kw	át	kʷ	at	
冂	Kw	ing	kʷ	ɪŋ	
𠵯	Kw	it	kʷ	it	
狂	K'w	ong	kʷʰ	ɔŋ	
狂	K'	ong	kʰ	ɔŋ	又音
古	Kw	ú	kʷ	u	
軲	K'w	ú	kʷʰ	u	
居	Kw	úí	kʷ	ui	
癐	Kw	úí	kʷ	ui	
龜	Kw	úí	kʷ	ui	
區	K'w	úí	kʷʰ	ui	
規	K'w	úí	kʷʰ	ui	
歸	K	éí	k	ɛi	會城音
歸	K	éí	k	ɛi	會東北音
歸	Kw	úí	kʷ	ui	會西南音
卷	Kw	ún	kʷ	un	
官	Kw	ún	kʷ	un	
捐	K	ín	k	in	會城音
眷	K	ín	k	in	會城音
捐	K	ín	k	in	會東北音
眷	K	ín	k	in	會東北音
捐	Kw	ún	kʷ	un	會西南音
眷	Kw	ún	kʷ	un	會西南音
眷	K	en	k	ɛn	新會西南有些地方讀kɛn，這些地方祇有受過良好教育的人纔能讀對
官	K	en	k	ɛn	新會西南有些地方讀kɛn，這些地方祇有受過良好教育的人纔能讀對
館	K	en	k	ɛn	新會西南有些地方讀kɛn，這些地方祇有受過良好教育的人纔能讀對
滾	Kw	ún	kʷ	un	會西南音
滾	Kw	an	kʷ	ɐn	會城音，音同廣州
*	K'w	ún	kʷʰ	un	
骨	Kw	út	kʷ	ut	
	L				
罅	L	á	l	a	
犂	L	áí	l	ai	
拉	L	áí	l	ai	
刖	L	ák	l	ak	
藍	L	ám	l	am	
欄	L	án	l	an	
冷	L	áng	l	aŋ	
笠	L	áp	l	ap	
辢	L	át	l	at	
樓	L	áu	l	aʊ	
橩	L	áu	l	aʊ	
哩	L	e	l	ɛ	
梨	L	éí	l	ei	
林	L	em	l	ɛm	
鄰	L	en	l	ɛn	
*	L	ep	l	ɛp	
甪	L	et	l	ɛt	
力	L	ik	l	ɪk	
廉	L	ím	l	im	
連	L	ín	l	in	
靈	L	ing	l	ɪŋ	
立	L	íp	l	ip	
擸	L	íp	l	ip	
獵	L	íp	l	ip	
立	L	ep	l	ɜp	會西南音
擸	L	ep	l	ɜp	會西南音
獵	L	ep	l	ɜp	會西南音
列	L	ít	l	it	
了	L	íú	l	iu	
羅	L	o	l	ɔ	
路	L	ò	l	o	
𦧲	L	ò	l	o	
來	L	oí	l	ɔi	
樂	L	ok	l	ɔk	
略	L	ök	l	œk	
*	L	on	l	ɔn	
凉	L	öng	l	œŋ	
捋	L	ot	l	ɔt	
雷	L	uí	l	ʊi	
呂	L	uí	l	ʊi	會城音
淚	L	uí	l	ʊi	會城音
呂	L	úí	l	ui	會西南音
淚	L	úí	l	ui	會西南音
*	L	úí	l	ui	
六	L	uk	l	ʊk	
論	L	ún	l	un	
撚	L	ún	l	un	會城音
撚	N	ín	n	in	會西南音
撚	L	ún	l	un	江門音
撚	L	ün	l	yn	江門音
聯	L	ün	l	yn	
聯	L	ín	l	in	又音
龍	L	ung	l	ʊŋ	
律	L	út	l	ut	
律	L	ít	l	it	又音
	M				
唔	M		m		
馬	M	á	m	a	
咩	M	á	m	a	
米	M	áí	m	ai	
米	M	í	m	i	江門音
賣	M	áí	m	ai	
墨	M	ak	m	ɐk	
擘	M	ák	m	ak	
民	M	an	m	ɐn	
萬	M	án	m	an	
擝	M	áng	m	aŋ	
盲	M	áng	m	aŋ	
乜	M	at	m	ɐt	
乜	Mw	út	mʷ	ut	會西南音
蜜	M	et	m	ɛt	會西南音
襪	M	át	m	at	會西南音
蜜	M	at	m	ɐt	會城音
襪	M	at	m	ɐt	會城音
*	M	át	m	at	
謀	M	áu	m	aʊ	
茅	M	áu	m	aʊ	
貓	M	íú	m	iu	
㖇	M	éí	m	ei	
覓	M	et	m	ɛt	
*	M	í	m	i	
名	M	íang	m	iɐŋ	
棉	M	íu	m	iʊ	
明	M	ing	m	ɪŋ	
烕	M	ít	m	it	
苗	M	íú	m	iu	
摩	M	o	m	ɔ	
母	M	ò	m	o	
妹	M	oí	m	ɔi	
漠	M	ok	m	ɔk	
門	M	on	m	ɔn	
亡	M	ong	m	ɔŋ	
木	M	uk	m	ʊk	
夢	M	ung	m	ʊŋ	
沒	M	út	m	ut	
沒	Mw	at	mʷ	ɐt	會西南音
抹	M	út	m	ut	
*	Mw	at	mʷ	ɐt	
*	Mw	út	mʷ	ut	
	N				
拏	N	á	n	a	
泥	N	áí	n	ai	
奶	N	áí	n	ai	
男	N	ám	n	am	
難	N	án	n	an	
能	N	áng	n	aŋ	
*	N	ao	n	ɐɔ	
納	N	áp	n	ap	會城音
納	N	áp	n	ap	會東北音
納	N	et	n	ɛt	會城音，又音
納	N	et	n	ɛt	會東北音，又音
錨	N	áu	n	aʊ	
你	N	éí	n	ei	
你	N	ek	n	ɛk	會西南音
*	N	ek	n	ɛk	
腍	N	em	n	ɛm	
𠽒	N	eng	n	ɛŋ	
𠽒	N	öng	n	œŋ	會西南音
粒	N	ep	n	ɛp	
*	N	eu	n	ɛʊ	
五	Ng		ŋ		
牙	Ng	á	ŋ	a	
*	Ng	aí	ŋ	ɐi	
蟻	Ng	áí	ŋ	ai	
崖	Ng	áí	ŋ	ai	
阨	Ng	ak	ŋ	ɐk	
額	Ng	ák	ŋ	ak	
唅	Ng	ám	ŋ	am	
啱	Ng	ám	ŋ	am	
硬	Ng	ám	ŋ	am	
銀	Ng	án	ŋ	an	
眼	Ng	án	ŋ	an	
𡀞	Ng	áp	ŋ	ap	
𫫄	Ng	áp	ŋ	ap	
兀	Ng	át	ŋ	at	
齧	Ng	át	ŋ	at	
牛	Ng	áu	ŋ	aʊ	
咬	Ng	áu	ŋ	aʊ	
飲	Ng	em	ŋ	ɛm	
*	Ng	et	ŋ	ɛt	
𠼮	Ng	í	ŋ	i	
𫫃	Ng	íá	ŋ	ia	
元	Ng	ín	ŋ	in	會城音
元	Ng	ún	ŋ	un	會西南音
人	Ng	ín	ŋ	in	會城音
仁	Ng	ín	ŋ	in	會城音
人	Ng	en	ŋ	ɛn	會西南音
仁	Ng	en	ŋ	ɛn	會西南音
*	Ng	ít	ŋ	it	
鵝	Ng	o	ŋ	ɔ	
我	Ng	oi	ŋ	ɔɪ	會西南音
我	Ng	ok	ŋ	ɔk	會城音
我	Ng	ai	ŋ	ɐɪ	會東北音
摮	Ng	ò	ŋ	o	
呆	Ng	oí	ŋ	ɔi	
樂	Ng	ok	ŋ	ɔk	
岸	Ng	òn	ŋ	on	
閏	Ng	òn	ŋ	on	
戇	Ng	ong	ŋ	ɔŋ	
愚	Ng	úí	ŋ	ui	
魚	Ng	úí	ŋ	ui	會西南音
魚	Ng	í	ŋ	i	會城音
玉	Ng	uk	ŋ	ʊk	
*	Ng	ún	ŋ	un	
月	Ng	út	ŋ	ut	
溺	N	ik	n	ɪk	
念	N	ím	n	im	
年	N	ín	n	in	
擰	N	ing	n	ɪŋ	
聶	N	íp	n	ip	
鳥	N	íú	n	iu	
嬲	N	íú	n	iu	會城音
嬲	N	eu	n	ɛʊ	會西南音
糯	N	o	n	ɔ	
奴	N	ò	n	o	
怒	N	ò	n	o	
腦	N	áò	n	aou	
惱	N	áò	n	aou	
暖	N	oan	n	ɔɐn	
暖	N	oen	n	ɔɛn	又音
耐	N	oí	n	ɔi	
諾	N	ok	n	ɔk	
浪	N	ong	n	ɔŋ	
囊	N	ong	n	ɔŋ	
娘	N	öng	n	œŋ	
女	N	úí	n	ui	
燶	N	ung	n	ʊŋ	
	O				
阿		O	ʔ	ɔ	
澳		Ò	ʔ	o	
愛		Oí	ʔ	ɔi	
惡		Ok	ʔ	ɔk	
安		On	ʔ	ɔn	
	P				
把	P	á	p	a	
怕	P'	á	pʰ	a	
閉	P	áí	p	ai	
拜	P	áí	p	ai	
批	P'	áí	pʰ	ai	
牌	P'	áí	pʰ	ai	
北	P	ak	p	ɐk	
伯	P	ák	p	ak	
拍	P'	ák	pʰ	ak	
貧	P'	an	pʰ	ɐn	會城音
貧	P	ín	p	in	江門音
班	P	án	p	an	
攀	P'	án	pʰ	an	
崩	P	áng	p	aŋ	
㖓	P	áng	p	aŋ	
朋	P'	áng	pʰ	aŋ	
棚	P'	áng	pʰ	aŋ	
八	P	át	p	at	
包	P	áu	p	aʊ	會城音
包	P	íú	p	iu	江門音
炮	P'	áu	pʰ	aʊ	
啤	P	e	p	ɛ	
俾	P	éí	p	ei	
皮	P'	éí	pʰ	ei	
品	P	en	p	ɛn	會城音
品	P	ín	p	in	江門音
*	P'	en	pʰ	ɛn	
不	P	et	p	ɛt	
疋	P'	et	pʰ	ɛt	
偪	p	ik	p	ɪk	
闢	P'	ik	pʰ	ɪk	
編	P	ín	p	in	
偏	P'	ín	pʰ	in	
兵	P	ing	p	ɪŋ	
平	P'	ing	pʰ	ɪŋ	
平	P'	íeng	pʰ	iɛŋ	
必	P	ít	p	it	
撇	P'	ít	pʰ	it	
票	P	íú	p	iu	
漂	P'	íú	pʰ	iu	
波	P	o	p	ɔ	
婆	P'	o	pʰ	ɔ	
煲	P	ò	p	o	
鋪	P'	ò	pʰ	o	
鉢	P	oat	p	ɔɐt	
潑	P	oat	p	ɔɐt	
*	P	oen	p	ɔɛn	
*	P	òn	p	on	又音
杯	P	oí	p	ɔi	
賠	P'	oí	pʰ	ɔi	
博	P	ok	p	ɔk	
扑	P'	ok	pʰ	ɔk	
㯁	P	òm	p	om	
搫	P	òn	p	on	
搫	P	oen	p	ɔɛn	又音
幇	P	ong	p	ɔŋ	
旁	P'	ong	pʰ	ɔŋ	
卜	P	uk	p	ʊk	
仆	P'	uk	pʰ	ʊk	
盆	P'	ún	pʰ	un	
篷	P'	ung	pʰ	ʊŋ	
	S				
西	S	áí	s	ai	
嘥	S	áí	s	ai	
塞	S	ák	s	ak	
三	S	ám	s	am	
散	S	án	s	an	
擤	S	ang	s	ɐŋ	
擤	S	en	s	ɛn	又音
僧	S	áng	s	aŋ	
*	S	áng	s	aŋ	
卅	S	áp	s	ap	
咂	S	áp	s	ap	
霎	S	áp	s	ap	
撒	S	át	s	at	
*	S	éí	s	ei	
心	S	em	s	ɛm	
新	S	en	s	ɛn	
膝	S	ep	s	ɛp	
秀	S	eu	s	ɛʊ	
沙	Sh	á	ʃ	a	
世	Sh	áí	ʃ	ai	
哂	Sh	áí	ʃ	ai	
𢱢	Sh	ák	ʃ	ak	
衫	Sh	ám	ʃ	am	
山	Sh	án	ʃ	an	
生	Sh	áng	ʃ	aŋ	
省	Sh	áng	ʃ	aŋ	
煠	Sh	áp	ʃ	ap	
*	Sh	au	ʃ	ɐʊ	
哨	Sh	áu	ʃ	aʊ	
閃	Sh	em	ʃ	ɛm	聽似ʃɛm或ʃɪm
伸	Sh	en	ʃ	ɛn	
扇	Sh	en	ʃ	ɛn	
脣	Sh	en	ʃ	ɛn	會城音
脣	Sh	ím	ʃ	im	會西南音
溼	Sh	ep	ʃ	ɛp	
舌	Sh	et	ʃ	ɛt	
舌	Sh	ít	ʃ	it	會城和會東北近似廣州音
說	Sh	et	ʃ	ɛt	
說	Sh	ít	ʃ	it	又音
尸	Sh	í	ʃ	i	
賒	Sh	íá	ʃ	ia	
聲	Sh	íang	ʃ	iɐŋ	帶有細微動程
色	Sh	ik	ʃ	ɪk	
森	Sh	ím	ʃ	im	
參	Ch	ám	tʃ	am	
身	Sh	ín	ʃ	in	
神	Sh	an	ʃ	ɐn	接近廣州音
船	Sh	ín	ʃ	in	會城音
船	Sh	en	ʃ	ɛn	會西南音
升	Sh	ing	ʃ	ɪŋ	
十	Sh	íp	ʃ	ip	
攝	Sh	íp	ʃ	ip	
失	Sh	ít	ʃ	it	
收	Sh	íú	ʃ	iu	
燒	Sh	íú	ʃ	iu	
疏	Sh	o	ʃ	ɔ	
數	Sh	ò	ʃ	o	
使	Sh	oì	ʃ	ɔi	
敕	Sh	ok	ʃ	ɔk	
汋	Sh	ök	ʃ	œk	
爽	Sh	ong	ʃ	ɔŋ	
常	Sh	öng	ʃ	œŋ	
書	Sh	ü	ʃ	y	
衰	Sh	úí	ʃ	uɪ	
叔	Sh	uk	ʃ	ʊk	
順	Sh	un	ʃ	ʊn	
崇	Sh	ung	ʃ	ʊŋ	
術	Sh	út	ʃ	ut	
術	Sh	at	ʃ	ɐt	有時
息	S	ik	s	ɪk	
仙	S	ín	s	in	
星	S	ing	s	ɪŋ	
星	S	íang	s	iɐŋ	又音
𠓼	S	íp	s	ip	
洩	S	ít	s	it	
竊	Ts	ít	ts	it	
宵	S	íú	s	iu	
鎖	S	o	s	ɔ	
鬚	S	ò	s	o	
顋	S	oí	s	ɔi	
索	S	ok	s	ɔk	
削	S	ök	s	œk	
桑	S	ong	s	ɔŋ	
想	S	öng	s	œŋ	
歲	S	uí	s	ʊi	
宿	S	uk	s	ʊk	
榫	S	ún	s	un	
信	S	en	s	ɛn	
孫	S	ún	s	un	會城音
孫	S	en	s	ɛn	會城音，又音
孫	S	en	s	ɛn	會東北音
鬆	S	ung	s	ʊŋ	
恤	S	út	s	ut	
恤	S	ut	s	ʊt	又音，如廣州音
雪	S	út	s	ut	
