来源	《安徽含山县志》与实地调查结合，“胖丁”整理修改
tɕʰ	①千迁牵谦铅签阡扦②前钱乾潜虔钳③遣浅谴缱④欠纤歉倩
ɕ	①掀先{～生}②嫌③显险④县献现羡线腺
ø	①烟焉腌阉胭嫣②言延严岩檐炎盐沿③掩淹衍④燕厌宴验艳焰研焱苑
	#uɪ̃
ɻ	③软
	#yɪ̃
tɕ	①娟捐绢鹃涓③卷④卷倦眷毽
tɕʰ	②全权泉拳荃痊③犬④劝
ɕ	①宣轩喧萱暄先仙鲜籼{～稻}②玄悬旋璇漩③选癣④旋眩炫
ø	①渊鸢鸳冤②阎元原员缘园圆源袁猿媛援③远阮④愿怨院
	#ɯ̃
p	①搬般{一～大}④半伴拌
pʰ	①潘②盘蟠磐④判畔叛绊
m	①满②馒瞒④漫
t	①端③短断{拦截，把路～着}④断段锻缎
tʰ	①湍②团
l	②峦銮鸾孪③卵暖④乱
ʦ	①钻③纂④钻攥
ʦʰ	①窜蹿④窜篡
s	①酸④算蒜
tʂ	①专砖颛毡(白）沾（白）粘（白）詹（白）③转④传转撰篆占（白）
tʂʰ	①穿川②船传椽缠（白）③喘④穿钏
ʂ	①扇（白）煽（白）③闪（白）陕（白）④善（白）扇（白）鳝（白）膳（白）鳝（白）蟮（白）
ɻ	②然燃③软{文}染（白）冉苒（白）
	#uɯ̃
k	①官观棺冠{鸡～子}③管馆④冠灌罐
kʰ	①宽③款
x	①欢②桓横③缓④换焕唤浣涣宦
ø	①豌蜿②完丸烷纨玩{古～}③宛碗挽婉惋④腕
	#ən
p	①奔③本④笨迸
pʰ	①烹喷怦②盆
m	②门们④闷母{老母鸡，老母猪}
f	①分纷芬②坟焚③粉④奋愤粪份分
t	①登灯蹬蹲吨墩③等④邓凳瞪顿遁盾钝炖
tʰ	①吞②疼腾藤滕誊屯臀囤豚④褪{后退，往后～；去除，把衣服～的}
l	①□{随便应付}抡②棱能伦轮仑沦③冷④愣嫩论
ʦ	①僧曾增尊遵樽鳟争睁筝③怎④赠挣
ʦʰ	①参村皴撑②岑曾层存③碜{食物中夹杂砂石，～牙}④蹭寸衬
s	①孙狲森生笙牲甥参③省损笋榫④渗
tʂ	①诊真珍针贞斟甄侦砧征蒸③枕缜稹整拯④镇阵振震圳赈正证政郑症
tʂʰ	①伸郴称②臣陈尘宸成城乘诚承盛程丞橙③惩逞④称趁称秤
ʂ	①身深申绅声升②辰晨神什绳③沈审婶④甚肾蜃圣胜盛剩
ɻ	①扔②人任仁仍③忍④任认刃闰
k	①跟根更耕庚羹③耿梗④亘更
kʰ	①坑吭③肯恳垦啃④掯{低着头，头～着}
x	①哼亨②痕恒衡蘅③很狠哄④恨
ŋ	①恩樱②嚚{脸皮厚，做事过分，一般教训孩子}④硬
	#əŋ
p	①崩绷④蹦
pʰ	①抨②蓬朋彭鹏棚篷澎膨③捧④碰
m	①闷蒙②蒙盟萌朦檬③蒙猛④梦孟
f	①风丰封峰蜂锋枫疯②冯逢缝④凤奉缝
t	①东冬③董懂④动洞冻栋
tʰ	①通②同铜童桐仝潼③统桶筒酮□{搬迁，这家店～到其他地方了}④痛
l	②龙笼隆聋胧侬浓侬脓③陇垄拢④弄
ʦ	①宗踪综鬃棕③总④纵粽
ʦʰ	①聪葱匆②从丛崇重
s	①松嵩②怂③耸悚④送宋诵颂讼
k	①公功宫攻工恭弓龚蚣③拱巩贡④共贡供
kʰ	①空③孔恐④空控
x	①轰烘②红弘洪鸿宏泓③哄④讧
	#iən
p	①斌彬宾滨缤濒兵冰槟③饼禀丙秉炳柄④鬓殡病并
pʰ	①拼乒娉②贫频颦嫔平凭瓶萍苹评坪③品④聘
m	②民明名鸣冥铭茗③敏闵闽④命
t	①丁钉叮③鼎顶④定订腚
tʰ	①听厅②亭庭廷停婷霆蜓③挺艇
n	①拎②您宁凝柠林临邻麟鳞磷霖琳淋陵灵凌零菱龄玲铃聆③拧凛领岭④赁吝蔺令另
tɕ	①今金斤津巾筋经精惊京荆旌睛茎晶鲸肫{鸡～皮}③锦紧仅瑾谨景井警颈④尽进近晋禁浸劲敬静境镜竞靖
tɕʰ	①亲侵钦②秦琴勤禽擒芹寻{～死,～钱}③寝④沁
ɕ	①心新辛欣薪馨莘锌馅芯兴星腥猩惺②行形邢刑型③省醒擤{～鼻子}④信姓性兴幸杏
ø	①音阴因殷姻茵应英莺婴鹰缨鹦瑛②银吟淫寅迎营盈莹萤荧萦赢楹蝇③引隐饮荫瘾蚓影颍郢颖④饮印应映
	#iəŋ
tɕʰ	②穷穹
ɕ	①兄凶胸②熊雄
ø	①庸②荣容蓉融③雍勇涌拥④用
	#uən
tʂ	①谆中终忠钟衷盅③准种肿④中种重众仲
tʂʰ	①春椿充冲②鹑重虫③蠢宠④冲
ʂ	②纯唇淳醇③吮④顺舜瞬
ɻ	②绒戎茸
k	③滚衮④棍
kʰ	①坤昆鲲③捆④困睏
x	①昏婚荤②横魂浑混馄④混
ø	①温瘟翁嗡②文闻雯纹蚊③稳吻刎紊炆{～糖}④问汶瓮
	#yən
ʨ	①肫军君均钧③炯炅窘④俊骏郡峻竣菌
tɕʰ	②群裙琼③倾顷
ɕ	①熏勋薰曛②巡循旬荀询④训逊讯驯殉汛
ø	①晕氲②云芸匀耘③允陨殒永泳咏④运韵蕴孕酝熨润{～凉的，很舒服的凉}
	#ɒŋ
p	①帮邦梆③绑榜膀④傍棒蚌磅
pʰ	①滂乓②旁螃庞彷④胖
m	②忙芒茫盲邙③莽蟒
f	①方芳②房防妨③访仿纺④放
t	①当铛裆③党挡④当荡砀
tʰ	①汤趟②堂糖唐棠塘螳③倘躺淌④趟烫
l	②狼郎廊琅囊③□{左右摇晃的用水冲洗，～碗}朗□{恶～，恶心}④浪阆㫰{晾晒，～衣服}
ʦ	①脏赃④藏葬奘
ʦʰ	①苍沧仓舱②藏④□{摩擦，～到墙了}
s	①桑③嗓搡④丧□{厉害，你真～}
tʂ	①张章璋漳蟑獐樟③长掌涨④丈杖帐障胀
tʂʰ	①昌娼倡猖②长常尝嫦肠偿③场敞氅④唱怅畅倡
ʂ	①伤商③赏晌④上尚
ɻ	②瓤③酿壤攘④让
k	①江刚缸纲钢冈豇③港岗埂{田～}④杠虹{出～行：～家，～路，步～}
kʰ	①康糠②扛③慷④抗炕亢伉
x	①夯②行杭航④项巷
ŋ	①肮②昂④盎
	#iɒŋ
n	②娘梁良量凉粮粱③仰魉④量亮辆谅
tɕ	①将姜僵疆缰③讲蒋奖桨④犟降酱匠
tɕʰ	①枪羌腔②墙强蔷祥详降翔③抢强
ɕ	①相香乡湘箱镶襄③想响享饷④相向像象橡
ø	①鸯央秧鞅②阳杨扬洋羊姚{姚庙,地名}③养氧痒④样漾
	#uɒŋ
tʂ	①装庄妆桩③奘{粗大}④状壮
tʂʰ	①窗疮②床□{上下摇晃}③闯④创
ʂ	①双霜③爽
k	①光③广④逛
kʰ	①框匡筐诓②狂诳④况旷矿眶
x	①慌荒②黄皇煌惶璜磺凰蝗③谎愰④晃
ø	①汪②亡王③往枉网惘④望忘妄旺
	#æʔ
p	八拔
f	法乏发伐罚筏
t	答搭沓达
tʰ	塔踏
l	蜡腊捺辣
ʦ	杂
s	撒萨靸：拖鞋或穿鞋的一种方式
tʂ	扎眨闸炸札铡
tʂʰ	插察
ʂ	杀煞
k	夹
kʰ	掐
x	瞎辖
ŋ	鸭
ø	押压
	#iæʔ
tɕ	甲
tɕʰ	恰
ɕ	狭匣侠
ø	押压
	#uæʔ
ʂ	刷
k	刮
x	滑猾划
ø	挖袜
	#ɛʔ
p	北（文）百柏伯白帛
pʰ	拍迫魄
m	陌麦
ʦ	宅窄摘择
ʦʰ	泽拆策侧测册
s	色虱涩瑟啬
tʂ	折哲蛰折浙辙
tʂʰ	撤彻澈
ʂ	摄涉舌设折
k	葛鸽格革隔
kʰ	磕客
x	合赫吓核
ŋ	额扼
	#ieʔ
p	别鳖憋
pʰ	撇
m	灭蔑
t	跌叠碟
tʰ	贴帖蝶铁
n	聂镊蹑猎列烈裂捏孽劣拟
tɕ	接捷劫节截揭结洁
tɕʰ	妾怯切
ɕ	胁泄歇
ø	业噎叶页
	#ueʔ
ɻ	热
	#yeʔ
tɕ	绝决诀厥
tɕʰ	缺
ɕ	雪血穴屑
ø	月悦阅越粤
	#əʔ
p	不北（白）
m	木目牧墨默
f	佛
t	德得
tʰ	突特
l	肋勒
ʦ	则贼卒
ʦʰ	猝
s	塞蟀
tʂ	执汁蛰质置只直值织职植
tʂʰ	秩赤斥尺
ʂ	十湿拾失室适释石食蚀识饰
kʰ	刻克
x	黑
	#iəʔ
p	笔必碧璧壁逼
pʰ	匹僻劈
m	蜜密觅
t	的滴嫡敌笛狄
tʰ	踢剔
n	粒立栗率律溺历匿力
tɕ	辑集缉急级给及疾吉迹积籍绩寂击激极即鲫
tɕʰ	泣七漆乞戚吃
ɕ	习袭吸悉膝昔惜席夕锡析息媳熄
ø	一乙逸益亦译液抑易
	#uəʔ
ʂ	术述
ɻ	日
k	国谷骨
kʰ	哭窟
x	核忽或惑
	#yəʔ
tɕ	橘
tɕʰ	黢屈掘倔
ø	役疫
	#ɤᵚʔ
p	拔钵拨博薄剥驳
pʰ	泼泊卜扑朴
m	末沫没莫幕寞摸{摸牌，摸鱼摸虾，抹黑}
f	缚福副幅蝠腹覆伏复
t	铎沰独读犊笃督毒
tʰ	脱托秃
n	诺落骆洛络乐禄六陆绿录
ʦ	作昨凿足□{塞，瓶～子，～进去}
ʦʰ	撮族促触
s	索速宿肃粟俗续
k	郭括各阁确角（白）
kʰ	渴阔廓扩
x	喝镬霍获活鹤盒
ŋ	鄂恶
	#iɤᵚʔ
n	略掠虐疟
tɕ	脚觉爵嚼
tɕʰ	鹊雀却
ɕ	穴削
ø	乐岳约跃药
	#uɤᵚʔ
tʂ	镯拙着桌卓啄浊捉酌竹筑逐轴祝粥烛嘱蜀
tʂʰ	戳绰出畜
ʂ	说勺芍朔叔熟淑束属
ɻ	弱入辱肉：～桂
ø	握物勿屋
	#yɤᵚʔ
tɕ	菊锔局
tɕʰ	曲
ɕ	蓄
ø	郁育狱欲浴
