汉字	罗马字	IPA	注释																
把	pɛnn2	pɛ̃˥˨	(白)																
把	pa2	pa˥˨	(文)																
挹	ip4	ip˦˨																	
爸	pɛ7	pɛ˨˨	(白)																
霸	pa3	pa˨˩																	
壩	pa3	pa˨˩																	
垻	pa3	pa˨˩																	
怕	phann3	pʰã˨˩	怕狗:胆小鬼																
杷	pɛ5	pɛ˩˨	如杷																
杷	pha5	pʰa˩˨	枇杷																
琶	pɛ5	pɛ˩˨																	
琶	pha5	pʰa˩˨																	
爬	pɛ5	pɛ˩˨																	
麻	ba5	ba˩˨	麻麻																
麻	mua5	mua˩˨	(白)油麻，麻雀																
麻	mo5	mo˩˨	麻骨𤖯，麻骨火，麻骨仔，麻骨头，麻骨尾																
麻	ma5	ma˩˨	(文)																
蟆	ma5	ma˩˨																	
蟆	pou1	pou˧˧	(俗)																
馬	bɛ2	bɛ˥˨																	
媽	ma2	ma˥˨	(白)阿妈，外妈，老妈，公妈，妈祖																
媽	ma5	ma˩˨																	
碼	bɛ2	bɛ˥˨																	
駡	mɛ7	mɛ˨˨																	
駡	phih4	pʰiʔ˦˨	(训)																
駡	suan7	suan˨˨	(训)家长骂孩子																
駡	le2	le˥˨	(训)																
駡	kiau7	kiau˨˨	(训)kan3 kiau7:数落																
詈	le2	le˥˨																	
拿	na2	na˥˨																	
提	tʰeh8	tʰeh˩˧	拿东西:提物件																
提	kheh8	kʰeh˩˧	(训)给别人																
提	kuann7	kuã˨˨	(训)kuã7物件:提物品																
提	gim2	gim˥˨	(训)拿东西																
詫	tʰa3	tʰa˨˩	惊诧																
茶	tɛ5	tɛ˩˨																	
查	tsɛ1	tsɛ˧˧	检查																
查	tshɛ5	tsʰɛ˩˨	查数																
渣	tsɛ1	tsɛ˧˧																	
詐	tsɛ3	tsɛ˨˩																	
榨	tsɛ3	tsɛ˨˩																	
炸	tsɛ3	tsɛ˨˩																	
叉	tshɛ1	tsʰɛ˧˧																	
叉	tshɛ7	tsʰɛ˨˨	(训)lau3 tsʰɛ7:邋遢																
杈	tshɛ1	tsʰɛ˧˧																	
差	tshɛ1	tsʰɛ˧˧	出差，差不多																
差	tshiau1	tsʰiau˧˧	差不多																
岔	tshɛ1	tsʰɛ˧˧																	
岔	tsha1	tsʰa˧˧																	
查	tsɛ5	tsɛ˩˨	查询																
查	tsɛ1	tsɛ˧˧																	
沙	sua1	sua˧˧	(白)																
沙	sɛ1	sɛ˧˧	(文)1.豆沙，2.沙沙:松散状																
紗	sɛ1	sɛ˧˧	纱布																
痧	sua1	sua˧˧	着痧																
灑	sɛ3	sɛ˨˩	1.猛摔 2.手掌猛击																
灑	sa2	sa˥˨																	
嘉	kɛ1	kɛ˧˧																	
家	kɛ1	kɛ˧˧																	
家	kat4	kat˦˨	家己:kat4 ti2/kat4 li2																
加	kɛ1	kɛ˧˧																	
假	kɛ2	kɛ˥˨																	
賈	kou2	kou˥˨	商贾																
稼	kɛ3	kɛ˨˩																	
價	kɛ3	kɛ˨˩																	
架	kɛ3	kɛ˨˩																	
駕	kɛ3	kɛ˨˩																	
嫁	kɛ3	kɛ˨˩																	
牙	gɛ5	gɛ˩˨																	
牙	gia5	gia˩˨	(文)月牙guat8 gia5																
芽	gɛ5	gɛ˩˨																	
衙	gɛ5	gɛ˩˨																	
雅	ngɛ2	ŋɛ˥˨																	
訝	nga3	ŋa˨˩	讶讶																
蝦	hɛ5	hɛ˩˨																	
嚇	hɛh4	hɛʔ˦˨	(白)																
嚇	hann2	hã˥˨	(训)1.赶:hã2鸭仔 2.虚张声势:hã2人																
嚇	hɛnnh8	hɛ̃ʔ˩˧	(白)1.表疑问:汝真正卜走，嚇？2.惊叹语气词:嚇，煞是汝也！3.挑衅语气词:嚇，汝(无解)爽乎？																
霞	hɛ5	hɛ˩˨																	
霞	ɛ7	ɛ˨˨	地名:霞寨，由下寨雅化而来																
遐	hɛ5	hɛ˩˨																	
遐	hia1	hia˧˧	那里																
瑕	hɛ5	hɛ˩˨																	
下	ɛ7	ɛ˨˨																	
下	hɛ7	hɛ˨˨	放																
下	kɛ7	kɛ˨˨	低																
夏	hɛ7	hɛ˨˨	补夏:立夏，因立夏当天要食补。补夏无补漏tsʰi7tsʰɛ7																
廈	ɛ7	ɛ˨˨	(白)																
廈	hɛ7	hɛ˨˨	(文)																
丫	a1	a˧˧																	
鴉	a1	a˧˧	老鸦:乌鸦																
啞	ɛnn2	ɛ̃˥˨	哑口ɛ̃2 kau2																
啞	ɛnn7	ɛ̃˨˨	哑哑哑: 支支吾吾																
亞	a1	a˧˧																	
姐	tse2	tse˥˨	(白)阿姐:对母亲的偏称																
姐	tsia2	tsia˥˨	婆姐:诸生娘娘侍女，本地拜婆姐，让其帮忙带孩子。十六岁出婆姐宫																
借	tsioh4	tsioʔ˦˨	借口，借镭																
且	tshiann2	tsʰiã˥˨																	
褯	tshioh8	tsʰioʔ˩˧																	
寫	sia2	sia˥˨																	
瀉	sia3	sia˨˩																	
卸	sia3	sia˨˩	卸败:丢人																
邪	sia5	sia˩˨																	
斜	sia5	sia˩˨																	
謝	sia7	sia˨˨	谢平安:年底答谢众神明的庇佑																
爹	tia1	tia˧˧																	
遮	tsia1	tsia˧˧	这里																
遮	jia1	jia˧˧	老树好遮荫																
者	tsa2	tsa˥˨	地名:小溪镇许者院村kʰou2 tsa2 heŋ7																
者	tsia2	tsia˥˨																	
蔗	tsia3	tsia˨˩																	
車	tshia1	tsʰia˧˧																	
車	ki1	ki˧˧																	
扯	tshe2	tsʰe˥˨	扯平，扯结																
扯	tʰi2	tʰi˥˨	(训)也有写成褫																
蛇	tsua5	tsua˩˨																	
蛇	sia5	sia˩˨																	
射	sia7	sia˨˨																	
奢	tshia1	tsʰia˧˧	奢侈tsʰia1 tsʰi2																
賒	sia1	sia˧˧																	
捨	sia2	sia˥˨	舍赐sia2 si3																
赦	sia3	sia˨˩																	
舍	sia3	sia˨˩																	
畲	sia5	sia˩˨																	
畲	tsia5	tsia˩˨	地名:芦溪镇知仔畲、乌畲、畲坑，秀峰乡冬瓜畲，九峰镇畲坑																
畬	sia5	sia˩˨																	
畬	tsia5	tsia˩˨	地名:芦溪镇知仔畲、乌畲、畲坑，秀峰乡冬瓜畲，九峰镇畲坑																
社	sia7	sia˨˨																	
惹	jia2	jia˥˨																	
耶	ia5	ia˩˨																	
椰	ia5	ia˩˨																	
爺	ia5	ia˩˨																	
冶	ia2	ia˥˨																	
也	a7	a˨˨																	
也	ia2	ia˥˨																	
野	ia2	ia˥˨																	
夜	ia7	ia˨˨																	
耍	sua2	sua˥˨																	
耍	sng2	sŋ˥˨	(训)本字爽																
瓜	kuɛ1	kuɛ˧˧																	
蝸	o1	o˧˧																	
寡	kua2	kua˥˨	寡某																
垮	khua1	kʰua˧˧																	
跨	khua1	kʰua˧˧																	
跨	khua3	kʰua˨˩	倚跨:倚靠																
娃	ua1	ua˧˧																	
瓦	hia7	hia˨˨	(白)																
瓦	ua2	ua˥˨	(文)																
花	huɛ1	huɛ˧˧																	
化	huɛ3	huɛ˨˩																	
華	huɛ5	huɛ˩˨																	
補	pou2	pou˥˨																	
譜	phou2	pʰou˥˨																	
布	pou3	pou˨˩																	
佈	pou3	pou˨˩																	
鋪	phou1	pʰou˧˧	床铺																
鋪	phou3	pʰou˨˩	店铺																
普	phou2	pʰou˥˨																	
浦	phou2	pʰou˥˨																	
怖	pou3	pou˨˩																	
菩	phou5	pʰou˩˨																	
蒲	phou5	pʰou˩˨																	
蒲	pou5	pou˩˨	1.蒲荆，2.地名:山格镇蒲时治																
脯	pou2	pou˥˨																	
脯	hu2	hu˥˨																	
部	pou7	pou˨˨	(文)																
部	phou7	pʰou˨˨	(白)量词:一部手机，有些地方同pou7																
簿	pho7	pʰo˨˨																	
簿	phou7	pʰou˨˨																	
步	pou7	pou˨˨																	
捕	pou7	pou˨˨																	
埠	pou7	pou˨˨																	
模	bou5	bou˩˨																	
模	mo5	mo˩˨	模型																
墓	bong7	boŋ˨˨																	
募	bou7	bou˨˨																	
慕	bou7	bou˨˨																	
都	tou1	tou˧˧																	
都	tau1	tau˧˧	地名:文峰镇山都村																
堵	tou2	tou˥˨																	
堵	tu5	tu˩˨	堵车																
賭	tou2	tou˥˨																	
肚	tou2	tou˥˨	肚脐tou2 tsai5																
肚	tou7	tou˨˨	猪肚鱼肚																
妒	tou3	tou˨˩																	
土	tou2	tou˥˨	土螼，土蚓，土猴																
土	tʰou2	tʰou˥˨	土白话:大白话，土否bai2:坏又蠢																
塗	tʰou5	tʰou˩˨	涂																
塗	tou5	tou˩˨	糊涂																
吐	tʰou3	tʰou˨˩																	
吐	tʰou2	tʰou˥˨	吐芛tʰou2 ĩ2																
兔	tʰou3	tʰou˨˩																	
途	tou5	tou˩˨																	
屠	tou5	tou˩˨																	
圖	tou5	tou˩˨																	
徒	tou5	tou˩˨																	
杜	tou7	tou˨˨																	
度	tou7	tou˨˨																	
度	hou7	hou˨˨	1.给予， 2.被动态																
度	tio7	tio˨˨	度晬tio7 tse3																
渡	tou7	tou˨˨																	
鍍	tou7	tou˨˨																	
奴	nou5	nou˩˨																	
努	nou2	nou˥˨																	
努	lou2	lou˥˨	(白)努力:费心神																
怒	nou7	nou˨˨																	
盧	lou5	lou˩˨																	
爐	lou5	lou˩˨																	
鹵	lou2	lou˥˨	卤料																
鹵	lou7	lou˨˨	盐卤																
魯	lou2	lou˥˨																	
櫓	lou2	lou˥˨																	
虜	lou2	lou˥˨																	
露	lou7	lou˨˨																	
路	lou7	lou˨˨																	
賂	lou7	lou˨˨																	
租	tsou1	tsou˧˧																	
祖	tsou2	tsou˥˨																	
組	tsou2	tsou˥˨																	
做	tso3	tso˨˩	做功德，做地																
做	tsou3	tsou˨˩																	
粗	tshou1	tsʰou˧˧																	
醋	tshou7	tsʰou˨˨																	
錯	tshou3	tsʰou˨˩																	
措	tshou3	tsʰou˨˩																	
蘇	sou1	sou˧˧																	
酥	sou1	sou˧˧																	
酥	sau1	sau˧˧	1.酥声:喉咙沙哑， 2.结构酥脆																
素	sou3	sou˨˩																	
塑	sok4	sok˦˨																	
訴	sou3	sou˨˩																	
辜	kou1	kou˧˧																	
孤	kou1	kou˧˧																	
箍	khou1	kʰou˧˧																	
姑	kou1	kou˧˧																	
菇	kou1	kou˧˧	生菇:发霉																
估	kou1	kou˧˧																	
古	kou2	kou˥˨																	
股	kou2	kou˥˨																	
鼓	kou2	kou˥˨																	
故	kou3	kou˨˩																	
顧	kou3	kou˨˩																	
固	kou3	kou˨˩																	
雇	kou3	kou˨˩	雇家:照顾家庭																
枯	kou1	kou˧˧																	
枯	khou1	kʰou˧˧	茶枯:茶饼																
苦	khou2	kʰou˥˨																	
庫	khou3	kʰou˨˩																	
褲	khou3	kʰou˨˩																	
梧	gou5	gou˩˨																	
吾	gou5	gou˩˨																	
吳	gou5	gou˩˨																	
蜈	ngou5	ŋou˩˨	蜈蜞ŋou5 kʰi5:水蛭																
蜈	gia5	gia˩˨	蟧蜈la5 gia5:大蜘蛛，一般指白额高脚蛛																
蜈	ngia5	ŋia˩˨	蜈蚣ŋia5 kaŋ1																
蟧	la5	la˩˨	蟧蜈la5 gia5:大蜘蛛，一般指白额高脚蛛																
蜞	khi5	kʰi˩˨	蜈蜞ŋou5 kʰi5:水蛭																
五	gou7	gou˨˨	(白)																
五	ngou2	ŋou˥˨	(文)																
午	ngou2	ŋou˥˨	(文)中午																
午	ngou7	ŋou˨˨	(白)午时																
伍	ngou2	ŋou˥˨	(文)																
伍	gou7	gou˨˨	(白)大写五																
悟	gou7	gou˨˨	孙悟空suĩ1 gou7 kʰoŋ1																
悟	bou7	bou˨˨	孙悟空suĩ1 bou7 kʰoŋ1																
悟	bok8	bok˩˧	孙悟空suĩ1 bok8 kʰoŋ1																
誤	gou7	gou˨˨																	
呼	hou1	hou˧˧	(文)																
呼	khou1	kʰou˧˧	(白)呼唤家禽																
呼	hu7	hu˨˨	(替)拟声词"风呼呼叫"																
乎	hou1	hou˧˧																	
乎	honn7	hõ˨˨																	
乎	honnh8	hõʔ˩˧																	
虎	hou2	hou˥˨																	
滸	hou2	hou˥˨																	
滸	khou2	kʰou˥˨	又																
戽	hou3	hou˨˩	戽斗																
戽	hou5	hou˩˨	戽饭																
壺	ou5	ou˩˨																	
壺	au5	au˩˨	大溪后时由壶嗣雅化而来																
瓠	pu5	pu˩˨																	
胡	ou5	ou˩˨																	
胡	hou5	hou˩˨	胡来																
糊	kou5	kou˩˨	(白)黏糊:米糊																
糊	hou5	hou˩˨	(文)糊涂																
狐	hou5	hou˩˨																	
湖	ou5	ou˩˨																	
戶	hou7	hou˨˨																	
滬	hou7	hou˨˨																	
互	hou7	hou˨˨																	
護	hou7	hou˨˨																	
烏	ou1	ou˧˧	乌ŋi1 ŋiau																
污	ou1	ou˧˧																	
塢	ou3	ou˨˩																	
惡	oh4	oʔ˦˨	难																
惡	ok4	ok˦˨																	
惡	ou3	ou˨˩	可恶kʰou2 ou3																
女	lu2	lu˥˨	女生																
女	li2	li˥˨	妇女																
廬	lou5	lou˩˨																	
驢	li5	li˩˨																	
呂	li7	li˨˨																	
侶	li7	li˨˨																	
旅	li2	li˥˨																	
慮	li7	li˨˨																	
濾	li7	li˨˨																	
蛆	tshi1	tsʰi˧˧																	
疽	tshi1	tsʰi˧˧																	
胥	si1	si˧˧																	
絮	si3	si˨˩																	
徐	si5	si˩˨	1.姓氏 2.地名:岩坂徐水场																
序	si7	si˨˨	四序su3 si7:舒适																
緒	si7	si˨˨																	
敘	si7	si˨˨																	
豬	ti1	ti˧˧																	
著	ti3	ti˨˩																	
著	toh8	toʔ˩˧	着火																
著	tioh8	tioʔ˩˧	肯定回复																
着	ti3	ti˨˩																	
着	toh8	toʔ˩˧	着火																
着	tioh8	tioʔ˩˧	肯定回复																
除	ti5	ti˩˨																	
蜍	tsi5	tsi˩˨	蟾蜍tseŋ1 tsi5																
儲	tʰi2	tʰi˥˨																	
苧	te7	te˨˨	麻苧																
箸	ti7	ti˨˨																	
阻	tsou2	tsou˥˨																	
初	tshe1	tsʰe˧˧																	
楚	tshou2	tsʰou˥˨																	
鋤	ti5	ti˩˨	锄头公，锄头母																
鋤	tʰi5	tʰi˩˨	锄草:草料整理成堆																
疏	se1	se˧˧	(白)																
疏	sou1	sou˧˧	(文)																
蔬	se1	se˧˧																	
蔬	sou1	sou˧˧	(文)																
梳	se1	se˧˧																	
所	se2	se˥˨	(白)所有se2 u2																
所	sou2	sou˥˨																	
諸	tsu1	tsu˧˧																	
諸	tsa1	tsa˧˧	诸夫诸母																
煮	tsi2	tsi˥˨																	
煮	tʰuinn7	tʰuĩ˨˨	(训)熥:加热食物																
煮	tuinn7	tuĩ˨˨	(训)同tʰuĩ7																
煮	khian3	kʰian˨˩	(训)炒出食物的香味:kʰian3芳																
煮	khong7	kʰoŋ˨˨	(训)文火慢煮:kʰoŋ7牛筋																
處	tshi3	tsʰi˨˩																	
處	tshu2	tsʰu˥˨																	
書	si1	si˧˧	(文)白读要避嫌																
舒	tshu1	tsʰu˧˧	(白)1.铺展物品，2.滑倒																
舒	tshi1	tsʰi˧˧	(白)铺席子																
舒	tsu7	tsu˨˨	(白)1.垫的动作，塞鞋垫:舒鞋贴仔，2.垫的东西，尿布:尿舒仔																
舒	su1	su˧˧	(文)																
厝	tshu7	tsʰu˨˨	飞厝乾:燕尾脊， 涂墼厝:土块搭的屋， kʰan3厝瓦:瓦片屋																
澍	tshu7	tsʰu˨˨	喷射，澍水																
鼠	tshi2	tsʰi˥˨	猫鼠仔:三角肌																
暑	si2	si˥˨																	
黍	se2	se˥˨	黍仔，扫帚黍仔，番黍																
庶	su3	su˨˩																	
墅	su2	su˥˨																	
薯	tsi5	tsi˩˨																	
署	su2	su˥˨																	
署	su7	su˨˨																	
如	ji5	ji˩˨																	
汝	li2	li˥˨																	
居	ki1	ki˧˧																	
裾	ki1	ki˧˧	衫仔裾:衣服下摆																
舉	ki2	ki˥˨																	
舉	gia5	gia˩˨	(训)也有写做攑																
鋸	ki3	ki˨˩																	
据	ki3	ki˨˩																	
据	ki7	ki˨˨	本字应为徛，依靠:据拐																
據	ki3	ki˨˩																	
據	ki7	ki˨˨	本字应为徛，依靠:据拐																
墟	hi1	hi˧˧	小溪墟:乡镇常倚靠圩市发展而来，故用于指代镇中心																
圩	hi1	hi˧˧	同墟，平和乡镇的路牌常用此字，如坂仔圩南胜圩																
去	khi3	kʰi˨˩																	
渠	ki7	ki˨˨																	
巨	ki7	ki˨˨																	
距	ki7	ki˨˨																	
拒	ki7	ki˨˨																	
魚	hi5	hi˩˨	溪un1:芳鱼																
漁	hi5	hi˩˨																	
語	gi2	gi˥˨																	
御	gi7	gi˨˨																	
禦	gi7	gi˨˨																	
虚	hi1	hi˧˧																	
噓	hi1	hi˧˧																	
許	khou2	kʰou˥˨	(白)																
許	hi2	hi˥˨	(文)																
許	hit4	hit˦˨	那个:许个/许股/许位																
淤	i1	i˧˧																	
於	i5	i˩˨																	
余	i5	i˩˨																	
餘	i5	i˩˨																	
與	i2	i˥˨																	
譽	gi7	gi˨˨																	
預	i7	i˨˨	预棋:下棋，预hok8 ki1																
豫	i7	i˨˨																	
夫	po1	po˧˧	(白)诸夫tsa1 po1																
夫	pou1	pou˧˧	同po1																
夫	hu1	hu˧˧	(文)																
膚	lou2	lou˥˨																	
甫	phou2	pʰou˥˨	杜甫tou2 pʰou2																
斧	phu2	pʰu˥˨	(白)																
斧	hu2	hu˥˨	(文)																
府	hu2	hu˥˨																	
腑	hu2	hu˥˨																	
俯	hu2	hu˥˨																	
賦	hu3	hu˨˩																	
傅	hu3	hu˨˩																	
付	hu3	hu˨˩																	
敷	hu1	hu˧˧																	
敷	phou1	pʰou˧˧	(白)敷砖仔																
俘	hu5	hu˩˨																	
撫	hu2	hu˥˨																	
赴	hu3	hu˨˩	赴圩:1.赶集 2.走马观花，由前意引申得																
訃	phok4	pʰok˦˨	讣告pʰok4 ko3																
符	hu5	hu˩˨																	
扶	phou5	pʰou˩˨	(白)																
扶	hu5	hu˩˨	(文)																
釜	hu2	hu˥˨																	
腐	hu7	hu˨˨	豆腐																
腐	hu2	hu˥˨	贪腐																
腐	phu2	pʰu˥˨	(训)腐烂腐败																
輔	hu7	hu˨˨																	
父	pɛ7	pɛ˨˨	(白)																
父	hu7	hu˨˨	(文)																
附	hu7	hu˨˨																	
毋	m7	m˨˨	毋通m7 maŋ1， 毋好m7 mo2																
巫	bu5	bu˩˨	巫术																
誣	bu5	bu˩˨																	
無	bo5	bo˩˨																	
無	bu5	bu˩˨	(文)																
無	bou5	bou˩˨	南无阿弥陀佛																
蕪	bu5	bu˩˨	芜猪: 挠孩子腋下逗孩子开心																
舞	bu2	bu˥˨																	
侮	bu2	bu˥˨																	
武	bu2	bu˥˨																	
鵡	bu2	bu˥˨																	
霧	bu7	bu˨˨																	
務	bu7	bu˨˨																	
縷	lou2	lou˥˨	一缕																
縷	li2	li˥˨																	
屢	li2	li˥˨																	
趨	khi1	kʰi˧˧																	
㩻	khi1	kʰi˧˧	倾斜，重㩻爿:重心不稳																
取	tshi2	tsʰi˥˨																	
取	tshiu2	tsʰiu˥˨	取回																
娶	tshua2	tsʰua˥˨																	
趣	tshi3	tsʰi˨˩																	
聚	tsi7	tsi˨˨																	
需	si5	si˩˨																	
須	tshiu1	tsʰiu˧˧	(白)胡须喙须笔须																
須	si1	si˧˧	(文)																
鎢	ou1	ou˧˧																	
續	sua3	sua˨˩	(白)1.接上，续小料:续手.续济仔芳菜，2.沾上:续着																
續	sek8	sek˩˧	(文)																
蛛	ti1	ti˧˧																	
誅	ti1	ti˧˧																	
駐	tsu3	tsu˨˩																	
注	tsu3	tsu˨˩	(文)																
注	tu3	tu˨˩	(白)形容量多:一注山，归注镭																
厨	tu5	tu˩˨	(文)																
厨	tou5	tou˩˨	(白)厨子tou5 tsi2																
柱	tʰiau7	tʰiau˨˨	柱仔籽:痘痘， 柱薯:淮山																
住	tsu7	tsu˨˨																	
雛	tshu5	tsʰu˩˨	雏仔:未婚女子																
數	siau3	siau˨˩	(白)																
數	sou3	sou˨˩	(文)																
珠	tsiu1	tsiu˧˧	(白)目珠																
珠	tsu1	tsu˧˧	(文)																
朱	tsu1	tsu˧˧																	
主	tsu2	tsu˥˨																	
主	tsi2	tsi˥˨	神主:祖先牌位																
鑄	tsu3	tsu˨˩																	
櫥	tu5	tu˩˨																	
樞	su1	su˧˧																	
輸	su1	su˧˧																	
輸	si1	si˧˧																	
戍	sut4	sut˦˨																	
殊	su5	su˩˨																	
豎	su7	su˨˨																	
樹	tshiu7	tsʰiu˨˨	(白)																
儒	ji5	ji˩˨																	
