	[1]阴平	[2]阳平	[3]阴上	[4]阳上	[5]阴去	[6]阳去	[7]阴入	[8]阳入
z		辞词祠慈磁		市柿士仕巳祀视豉是{文，～非}		示寺嗣饲字牸事待伺薯{白}		
#ɯ								
p	搬畚		坢{火～：一种用带泥的草皮和柴草烧制成的肥料}		半		钵拨	
pʰ	潘泮				判拚		泼	
b		盘		拌伴				
m	帮	瞒馒鳗鞔{密封：～裆裤}		满		问		末没{白，隐匿}
t	端{～午}		短		断{1，敲定：决～}顿{餐}		裰{～被}掇{双手端物}□{坛子，小口的陶制盛器，比甏高：～瓶；酒～}	
tʰ	吞贪		湍{流淌}氽{被大水冲走}		探氽{一种烹饪法：～鸡；～人参}□{物品放置的层次：一～（一层，一格）；蒸笼～		□{出～：坏损}	
d		团潭坛		断{2，断绝：～六亲}		段缎		垛{叠，摞}
n		男南		衲{涴～：尿布}		嫩		
l						乱{2}		粒
ts	钻{动词：～肥缸}				躜转{2，量词，匝：一兜～}钻{名词：电～}			
tsʰ	村忖				寸			
s	些		算蒜				屑	
z		蚕缠{白，盘绕}						杂{乱～；～饭}
k	甘柑泔干{～菜}肝疳{～疻}		敢感杆秆竿赶{～兴：赶热闹}		干{事～；相～}旱		割葛合{白}	
kʰ	刊堪龛				看勘坎墈{岸，沿}			
x	□{麻～：蚯蚓}鼾		罕		汉熯{将熟食蒸热}			
Ø	庵鞍安□{搞，作}	含函寒韩			暗按案	汗翰焊衔{～头：气势}		盒核{～桃}合{新读，咬合，合拢龁{咬}
#əɯ								
m		矛贸谋{谋害}		牡茂某{文}		亩{文}		
f			否{新读}					
v		浮{轻～}		负		戊阜		
t	丢兜{盛取：～菜}		斗{名词，畚～}陡		斗{动词，～牛}			
tʰ	偷		敨		透□{跳}			
d		头投				豆痘□{动词，毒杀}		
l	□{掏，挖：～洞}	楼流留榴硫琉		篓柳□{搅：～羹}□{用器具匀物：～谷}		漏陋溜馏喽{哄孩子}		
ts	周舟州洲邹		酒走帚荮		奏皱咒			
tsʰ	秋抽		丑		臭凑{帮衬}			
dz		绸稠仇囚				纣		
s	修收搜馊{2}飕		手守首		秀绣瘦嗽			
z		愁筹		受授		袖寿售就{文，拼装：～正}		
k	勾钩沟构苟购阄{撮～儿：抓阄}居{白，驻（何处）}踞{白，蹲}		狗		够锯{白}据{分隔}			
kʰ	□{～～数儿：恰好，正好}		口叩		扣寇{～准}			
g		跔{白，收缩}痀{白，脊椎弯曲}		厚{白}		喉{2，咙～}嗝		
x	虚{白}吸{白，汲取}		许{白，应允，承诺}吼{文}		鲎{虹}			
Ø	欧瓯讴{唤：～人}	侯喉{1}猴		藕后厚{文}偶{文}	餩{～儿}	候		
#iəɯ								
tɕ	□{蛹：～儿；乡里～}纠{文}		九久		救灸韭究			
tɕʰ	□{束紧}丘{一～田}		□{2，动词，抽打}					
dʑ		求球仇{文，姓}		舅		旧售臼就{白，～头}		
ȵ	扭{拧}	牛		纽钮				
ɕ	□{疣：老鼠～}		朽□{1，抽打}		□{滑}			
Ø	优幽{躲藏}幼	邮油蚰由游犹鱿尤		有友酉{文}	□{以文火维持}	右釉柚		
#ɯɤ								
p	波菠玻包胞		保堡宝饱褒□{蛤～：蛤蟆}		报豹趵{蹦，溅}			
pʰ	□{文旦}□{虚脆，不紧实}				泡炮脬{猪膀胱}			
b		婆袍		鲍		刨疱{～儿}		苞
m		磨{～刀}毛茅猫忙		卯忘蟆		磨{碾磨：～麦；麦～}冒帽貌望{看，视}		
t	雕刁				吊钓鸟{～儿}窎{～角：偏僻处}		答{2}	
tʰ	挑{剔：～刺，～事}		挑{选}		跳粜□{出～：出众}□{跑}			
d		条调{调剂}				调{调换}掉{～头}		
l		捞撩		了		料疗尥{涉水}□{团～：团篇}		
ts	焦招昭椒蕉				照诏醮			
tsʰ	缲超锹{铲：镬～儿；～灰}							
dz		朝潮		赵兆				
s	消宵霄硝销烧萧闩栓		小少		笑鞘			
z				绍邵		召{～魂}		
#iɯɤ								
tɕ	浇朝{明～}		较缴□{揩，拭}		叫			
tɕʰ	跷		巧撬		翘窍			
dʑ		乔侨荞桥趫{～脚：单脚跳跃}		挢舀		轿		
ȵ		饶尧				绕		
ɕ	枭□{揭，掀}		晓					
Ø	妖腰要{新读，～求}幺吆邀	摇谣窑姚			要	效校耀鹞		
#e								
p	杯□{拼：～命}				背{～脊}贝辈			
pʰ	胚坯		□{上下搅动：～火}		配			
b		培陪赔		倍		背{～书}焙倍{2}		
t	堆		扚{抻，拉，扯}		对□{兑}			
tʰ	胎台{天～}苔推煺{除毛}		腿		退蜕态			
d		台抬		待		代袋贷兑队		
l	□{～te334：麻烦，棘手}	雷来				瘰{小疮}癗{毒疮}□{倒下}擂{碾}		
ts	灾栽				宰载			
tsʰ	猜催崔鲭		彩採采睬		菜			
dz		才{1}材{1}财{1}		在{文}				
s	腮鳃		碎		赛帅栖{鸡～：鸡舍}			
z		裁才{2}材{2}财{2}		罪在{白，～乎}				
k	该		改		盖概			
kʰ	开							
g				徛{站立}		隑{斜靠，倚}		
x	□{帅气}		海□{炫耀}		□{显现一下，亮出}			
Ø		呆	扼{折，使弯曲或断裂}	亥耳{文，木～}	爱	害碍艾		
#ie								
p	编边鞭遍标彪		藊扁匾表婊裱		变		鳖	
pʰ	偏飘		漂		片骗票		撇劈䏘{女阴}	
b		便{～宜}瓢嫖		辩辨		便{方～}辫{～儿}		别
m		绵棉苗描		免渑		面妙庙秒		灭搣{以手指搓捻}
d		钿钱						
l		连联廉				殓		□{走路}
ts	尖占{～卜}		展笕{水～}		箭溅荐占{1}牮{～屋}		接浙{文}	
tsʰ	迁□{伸}扦签		浅					
dz				践{文}				绝
s	仙鲜		癣筅		线缐		雪薛	
z		全泉潜				贱旋镟蟾		蚀{2}
tɕ	肩坚兼		检减		剑建见□{量词，级：一～砖块，一～墨砚}		劫洁䥛{沙～：镰}羯{阉}	
tɕʰ	牵谦				欠歉纤遣			
dʑ		钳乾虔		舌俭□{歪}		件健键及{白，来不～}		及{来不～}
ȵ	研粘黏	沿严		染碾		验		业热孽入{将细碎物灌入小口容器}
ɕ	锨掀		险显宪		献轩		歇	
Ø		盐炎贤弦涎筵延檐	晏{磨蹭，拖时间}		堰餍赝厌咽厣{～儿：螺头上的圆盖}黡{～儿：疮痂}	腌醃现		叶页曳{摇动，撼动，挪动}
#ue								
kʰ	盔魁奎		块					
x	灰恢豗□{摔：～跌儿}				悔晦			
Ø	煨	回茴蛔		会{能}		会{聚合：～面}汇慧{乖觉}		
#ye								
tɕ	毡专砖捐		转{动词：～弯}卷{～铺盖}		占{2}眷卷{考～}绢倦		浙{2}摺褶	
tɕʰ	穿(多)～衣裳川串圈券(多)牛鼻～春畎				劝券		缺	
dʑ		传{传递：～单}拳权颧椽				传{～记}缠篆		橛厥
ȵ		源原元		软		愿		月
ɕ	宣靴		选闪陕		扇搧楦		血恤	
ʑ		船玄						蚀{1}
Ø	冤鸳渊	园员圆缘袁辕援悬全{2，～得}	抈{1，弄弯折}	善膳然燃远穗	怨	院县		
#æ								
p					爸		百柏伯	
pʰ	烹{烘晒}						拍{新读}魄□{跨步}𤖼{掰}	
b		棚{凉～}芃□{量词：一～骨头；刺～}搒{拍：～灰}				碰甏□{用石块凑斤两}		白
m	乜咩绷	梅媒煤枚霉盲埋{～怨}	柄	猛蜢孟每往	摒{拉,扯}	虻妹		陌麦脉
n	□{这样}		打	哪{～生：怎样}		内{～人家：妇女}		
l				冷				
ts	争□{树～儿}				□{胀，气愤}		摘责	
tsʰ	撑{张开}				挣{挣扎}		拆坼{开裂}策册赤{～脚。～介儿：经常}	
dz		□{争抢}橙□{撑，胀}柽				撑{紧塞}锃掷		择泽宅□{～子：山毛榉}
s	生甥		省		眚		栅{架～：天花板上的木条}	
k	更庚羹耕塥{田～泥}		埂{小沟}		鲠□{挤，钻}		格隔革{刘文～：义乌历史人物}庎{碗～橱}	
kʰ	坑□{处于困顿状}						客	
g		擎{举起}						
x	亨{2，这样}							
Ø	樱{～珠：樱桃}撄{执拗而蛮横：～角}	桁行{～事，～李}			押	杏硬	压轧轭	额
#iæ								
t	爹						跌	
tʰ	天添掭		舔		□{拨火棍}		铁帖贴□{～膊：赤膊}	
d		甜田填		电簟		垫殿奠佃		叠蝶{～儿}碟□{蜥～}
n			典点		店			
l	莲楝鲢蠊{蚱～：知了}					练炼		□{谷～}□{揍}
ts	遮楂{～林}		剪		借蔗砸		节	
tsʰ	千鹐{啄}车				笡{倾斜}□{抄近路}		切且□{嘴的贬称：口～}	
dz						啥{什么：～西；～人}		
s	赊先纱删{间苗；删削过于稠密枝叶、毛发等}		写沏捨{不～敢：舍不得}		舍{邻～}赦卸泻揳			
z		蛇斜邪前		社		谢藉麝		截
tɕ	蚱{～蠊：知了}				阶		眨夹{搛：～菜}	
tɕʰ							隙{～儿}	
dʑ						□{剩余}		挟{以臂夹物}夹{头发～儿}
ȵ	烟	年嫌鲇拈				念		捏
ɕ	蜥				熻{～亮：灿亮}		翕睑{眼～毛：睫毛}	
Ø		爷		野		夜		
#uæ								
k	惊{白，恇，怕}		梗{茎，杆子}胫{脚～}				□{爆裂}□{破裂：～坼}	
g						□{拟声词，跷脚～}		
x					□{歪}			
Ø	歪	横				坏横{蛮横}外{～出去；～国}哇{拟声词，号叫声}		划□{盛器倾倒而使盛物流失}
#yæ								
tɕ	抓渣□{茬，残根}		□{手提，挈}					
tɕʰ	□{推}		□{擦拭，揉搓}		□{踹，踩}			
dʑ		□{钝而无棱}		□{拟声词}				
ɕ	□{稀软}				□{歪咧状，哭貌}		刷	
ʑ								□{窜}
Ø				嗄{拟声词，喊叫声}	□{糟践}			
#a								
p			摆		拜			
pʰ					帕派破			
b		排牌筏		罢{文，～工}		办败		
m	班攀帮{一～人}	蛮{粗莽，淘气}	板版扳榜	买	□{绊}扮妈	卖晚{白，～娘}万{白，～村：地名；一～：麻将牌名}		
t					带戴			
tʰ	拖他{文，新读，其～}		太泰					
d		□{松弛下垂}		呔{喊}		汏{涤，漂清}埭{条}大{文，～蒜}		
n				奶		难{1，灾难}		
l	拉{1}啦{1}	篮{1}拦{1}		□{1，划，割}		赖{1}痢{1}喇{1}		
ts	斋{文}				债咋炸榨诈			
tsʰ					蔡			
dz						射{2，白，排便}		
s	沙纱删		洒					
z		柴豺馋{～漦}□{嘈杂，吵闹：～人}				射～箭□苦,遮		
k	街		解		界疥戒芥介个{～头}			
kʰ	揩		楷卡{新读}					
g				懈{慢}		嘎{拟声词}		
x	哈		蟹					
Ø	挨{蹭}	鞋	我矮	□{估摸}	挨{密}	雁{2}		
#ɯa								
p	巴疤芭		把		霸坝		八	
b		爬				耙琶杷𫜨筢笆		拔沫{2}
m		麻蚂蟆{蚜～儿：蝌蚪}		马码□{老～：妻}		骂		袜嬷{祖母，老妇}
f							发法	
v								罚沫{1}
ts	将{～军}张章樟蟑浆		奖蒋掌涨长{队～}桨		仗酱将{大～}帐账胀障瘴		□{屌}	
tsʰ	枪昌菖		抢厂		唱倡□{往高处放置物品}		湿	
dz		长肠场				丈杖		着
s	相{～信}箱厢湘镶商伤		想{思想，想念}鲞赏偿		相{照～}想{2，企盼，羡慕：～食}			
z		尝墙裳常祥详		象像橡上		尚让{2}匠		若嚼弱芍勺杓
l		良粮梁粱凉量{～尺寸}		两		量{预料}亮谅		略□{梳}
#uai								
ts	猪		□{使牢固，支撑}		□{板起脸}			
tsʰ	叉杈差				岔		插	
dz		茶搽查						
s	梳疏痧				晒		刹杀	
z		锄						闸{截止，中断}煠{水煮}
k	瓜官棺冠关{～系，～心}		拐寡管馆		挂怪卦贯灌罐{2，药～}惯管{变调，毛～孔：汗毛、毛孔}			
kʰ	宽		款		快		阔	
g		□{下垂}				环{器具的柄}掼{抛掷，扔}		
x	花欢罅				化花{～钞票}		搳	
Ø	□{以手抓细碎或小块物品：～麻糖；～瓜子}弯湾	华划{向内拨：～船；～算}还缓环镮	碗	绾	搲{援；引取}	话画换宦{～塘村}	挖剜{掐}	活
#ɔ								
f	番翻{～车}□{呕吐}		反翻{～书}页贩		畈			
v		烦凡矾繁		犯		万范饭		
t					□{滴：几～雨}		搭□{地～：地段，地块，含贬义}	
tʰ	坍滩摊叹		毯		炭庹{两指伸开的长度单位}		塌榻溻獭塔拓托妥	
d		谈痰檀弹{～棉花}		淡		但弹{子～}		达铎踏凙{庭～：檐上挂的冰柱}
n	担{挑}耽丹单	难{～题}	胆掸	囡{女儿}	旦担{负～}	难{2，灾难}		捺{摁，挤入}纳{白}
l	拉{2}啦{2}	兰栏蓝篮{2}拦{2}		癞{疥疮}□{2，划，割}		烂懒赖{2}痢{2}喇{2}		落烙骆洛络赂{贪污}辣乐蜡镴
ts	斩噆{啄}		趱{蹦、跳}盏		蘸□{量词}		作□{搭理：不～他}□{筑，垒砌以拦堵使不漫溢}	
tsʰ	参掺		产铲		餐			
dz						站{车～}暂栈赚{错}		
s	三杉衫珊山疝		散{～开}		散{分～}伞产{变调，做～母：坐月子}		撒萨索	
z				赚				凿昨
k	家加嘉监间奸		假{真～}贾拣碱减{借助筷子等器具将盛物往外拨出}		假{放～}架驾嫁价		角甲夹各阁搁{耽～}	
kʰ	铅		㦿{窗}槛		嵌揢{捉，拿}□{干硬状}		掐确壳廓	
g		衔		硌		俭{勤～：勤劳}□{垫架}		夹{皮～；～皮}搿{挤，拥}
x	虾苋		閜□{育种，布籽}		㘎{狗吠}	呷		
Ø	丫桠鸦	牙芽伢衙崖咸颜岩闲癌	哑	眼馅限下	挜	陷夏厦饿外{～头}蚜	恶鸭	匣狭峡鹤学岳雁{1，～鹅}
#iɔ								
tɕ	疆僵姜糨江{文，～湾：地名}						脚	
tɕʰ	腔		强{新读，勉～}					
dʑ		强		犟誩{嘴硬：硬口～}				
ɕ	香乡		响享		向			
ȵ	央{2}秧{2}殃{2}	娘羊{2}洋{2}烊{2}蛘{2}杨{2}扬{2}炀{2}阳{2}降{2，投～}样{2，～□tsʰiæ213：嘴脸}		痒{2}养{2}样{2，～子}仰{2}	抰{2，搀扶}	□{2，糖～}让{2，白}样{2，样榜；模子}漾{2，积水：～点水}箬{2}		
Ø	央{1}秧{1}殃{1}	羊{1}洋{1}烊{1}蛘{1}杨{1}扬{1}炀{1}阳{1}降{1，投～}样{1，～□tsʰiæ213：嘴脸}		痒{1}养{1}样{1，～子}仰{1}	抰{1，搀扶}	□{1，糖～}让{1，白}样{1，样榜；模子}漾{1，积水：～点水}箬{1}	约□{拾掇：～棉花；～屋瓦}□给予：～你}	药
#o								
t	刀		岛祷倒{死}捣{～臼}		到倒{～水}			
tʰ	拖{文，拖拉机}		讨		套			
d		桃逃淘陶		道稻导		盗箌{宽大}		
l	啰	劳牢痨萝{～卜}		老佬				
ts	糟搔		早枣蚤爪找		躁灶罩□{眼睛急切搜寻之状}			
tsʰ	操抄		草吵炒		糙□{喷射}躁			
dz			□{错杂}					
s	骚臊馊		扫嫂		燥□{俄～：赶快}			
z		曹槽		皂造				
k	高膏篙羔糕交茭胶		稿搅{糟蹋，不当真：～嬉儿}铰		告教校{校对：～钟表}个{文，～性，～体}			
kʰ	敲		考烤巧{～溪：义乌地名}		靠铐㸆薧窍{白，聪明～儿}			
g		□{上下不得}		绞{交叉}				
x	哮孝{～敬}		孝耗□{连词，和}					
Ø	爊{熬，煮糊状食品：～羹}龌{～糟：脏}	熬{忍受}豪傲{～光：威力}	袄踒{折，使弯曲}		扷{以量杯舀：～米，～水}噢拗{不顺从}□{诬陷}	沃{养份}号澳		
#uo								
t	多		朵					
tʰ	拖{新读，～～拉拉}							
d		驼驮{拿}□{～儿：织物上起的毛、结}				大{白}		
l		罗锣箩骡脶{～纹}萝		捋{理顺}				
ts					做左{新读}			
tsʰ	搓				锉			
s	蓑梭		锁琐所					
z				坐		矬{重物下沉}座		
k	哥歌		果裹		过馃			
kʰ	科窠棵课柯{～村}		可					
x	呵{呵痒}		火伙		货			
Ø	阿{～胶}倭踒斡{转圈；赖皮：～赖}	蛾鹅俄和{和睦}禾{白～稻秆}河何荷		祸	涴{粪便}	和{掺杂，混拢}		
#ə								
p							笔毕碧不	
b								帛堛吻{上下唇闭合}
m								没{文，～收}沫{文，新读，泡～}
f							氟	
v								佛物勿{白}
t							剁{斩：～肉}啄答脱忒	
tʰ							脱忒	
d								夺突特凸
n						喏{叹词}		纳{文，新读，出～}
l								捋
ts							汁执质则趾	
tsʰ							撮{捡}七漆黢{～黑}	
s							涩失虱□{以手搭住他人身体}	
z								十拾什实入杂{文，阴阳～事；鸡毛～肥}
k					个		蛤胳□{～痨：疥疮}膈□{抛掷}	
kʰ							刻克磕	
x						□{一觉；眠～～熟}	吓郝	
g								轧掘{白}崛{白}觖{以角顶：～牛}
Ø							□{动词，凹瘪}	
#iə								
tɕ							急级结{2，～婚}	
tɕʰ							吃{～力；～亏}湇{羹汁}	
dʑ								极及{～格}
ɕ							㽺{歹}吸{吸附}胁{～肋骨}	
Ø							一□{凹，瘪}壹乙益	
#uə								
k							骨	
kʰ							屈{弯曲，歪}窟□{胸～头}	
g								滑{白}
x							□{甩}忽	
Ø							𩑦{淹，溺}	滑{2}核{枣～；石～：卵石}获□{大头～：淋巴结肿大}猾
#yə								
tɕ							蕨决啜{吮}桔	
tɕʰ							出歠{羹}	
dʑ							绝{2}	
ɕ							刷说{～话：话语}设摄戌	
ʑ								术□{训斥}
Ø							抈{2，折叠，摺}哕	越粤阅{～览室}
#ai								
p							北逼壁笔{白}滗{挤汁}不{2，无～：没有；有～：有无}	
pʰ							匹劈{～空：突然}	
b						被{文，新读，～动}备{文，准～}		𧼱{追赶}跸{驱赶}
m				美{文，～人}		没{白，无}		墨浼煝{锅底烟灰}
t							得德嫡滴摘{白，以手指头掐取}	
tʰ							踢剔	
d								敌籴
n								日
l								力律历沥劣立列𢯰{晾挂}
ts					再		只织识职迹绩疻脊侧{白，转～：翻身}	
tsʰ							缉{～鞋底}赤{～豆；～身}尺戚吃{2，食，贬义}	
dz								直值
s							塞色式惜释锡析	
z								贼食石
kʰ					去			
g		佢						
x							黑	
Ø						唉{叹词}		
#uai								
k	规会{～计}圭归{文，总～；当～}				癸贵{文，富～；～相}桧轨桂卉{花～}			
kʰ	亏{吃～}							
g		揆{估量}逵蒯{姓}				柜{～台}		
x	辉徽{安～}恢{新读}		贿毁					
Ø	萎{新读}威	危违围纬	委{新读}	伟苇		卫伪为位魏胃谓猬讳尉慰{新读}		
#au								
p							剥驳搏	
pʰ							扑朴	
b								薄缚雹仆卜箔鹁
m								墓莫摸膜幕木目睦
f							福幅复稪腹覆蝮	
v								伏服
t							笃督厾{戳}	
tʰ							□{～马屁：拍马；小鬼～：小气}	
d								读独毒牍渎
l								六陆甪禄绿录□{积攒}
ts							桌祝粥烛足竹	
tsʰ							触戳畜促簇{～齐：很整齐}	
dz								浞浊涿
s							叔宿束粟缩{2}速	
z								熟族俗续赎属辱肉{文，亲骨～}
k							谷	
kʰ							哭	
g								□{干结}□{拟敲击声}
x							□{～水：烹炒时锅内添加少量水}	
Ø							屋	镬{锅}□{晃动，摇晃}
#iau								
tɕ							菊	
tɕʰ							曲	
dʑ								局锔轴镯
ȵ							揉{摺}	肉揉玉狱
ɕ							畜蓄缩{1}	
Ø								域育疫役欲浴
#ən								
pʰ	喷姘		聘品{植物生长的批次}		拼			
b		平坪评瓶屏凭盆彭膨				病笨		
m	冰{白}兵	门蚊{白}明盟名铭闻{白}文{白，～气}	本饼丙并			命闷焖		
f	分芬纷		粉		奋			
v		文{文，～章}坟纹闻				份问{文，～题}		
tʰ	厅		挺梃		汀褪{白，脱，蜕：～皮；～眼镜}桯{床的横木}			
d		亭停廷庭蜓誊藤豚腾滕		锭{银～}断{白，绳～了}		定盾饨邓		
n	灯丁钉疔炖登墩敦蹾{击地}蹬	能	等顶鼎丼戥	暖	凳澄钉{打钉}订瞪扽{用力拉断：～糖梗}膯{饱胀}吨顿{～号}			
l	拎	临邻鳞菱凌轮		领岭卵瞵{畦：～菜}		乱令另宁{2，～可}论		
ts	槙{往榫头里打进木片、竹片等以使紧固。～锄头}砧针珍臻真贞侦征尊遵曾{姓}增蒸筝精腈睛晶正{～月}争{文，～取}		整井枕{落～}诊		甑枕{～头}浸进晋镇震振正证政征{出～}			
tsʰ	亲侵称青清撑		请		趁衬秤罾			
dz		陈沉秦乘尘承层臣丞成		榛		群{白}阵赠郑浸{白}尽{2}		
s	森参深身僧升		醒笋圣沈婶审申		性胜姓渗信榫{～头}			
z		层寻唇情晴绳塍辰神人{文，～参}仁		静蕈		尽{1}净		
k	跟根庚粳{文}		桊{～衫袖}卷{绞，卷：～面巾，～衫袖}耿					
kʰ			肯恳		掯			
g						□{低头}		
x			狠					
Ø	恩□{埋}	痕衡	□{～蒸暖}			恨		
#iən								
tɕ	今金巾筋京经		紧锦景警颈		禁{～止}竟镜敬经径□{用手倚靠}			
tɕʰ	轻钦				庆揿磬			
dʑ		芹琴勤鲸弶{两臂平伸之长度}□{跨越}		近		禁{禁忌：～酒}劲竞		
ȵ		银壬任{白，姓}吟迎宁人{白，丈～}		拧{钻：～螺丝}		认韧		
ɕ	兴{招引}蝇		擤		兴{高～}			
Ø	音阴荫因茵应{～该}英姻萤	寅淫形刑型营	影隐	引	应{答～}映印揞{以手撮少量粉齑物施放：～石灰}			
#uən								
k	关{白，～门}		滚涫棍绲管{白，只～：经常；毛～：汗毛、毛孔}		罐{白}□{溃脓}			
kʰ	昆坤倾{白，倒掉}		捆		困睏			
g		□{矮胖状}						
x	婚荤				昏			
Ø	温瘟蕰{～草：藻，可作猪饲料}	魂馄浑恒	稳	混				
#yən								
tɕ	津均钧军		准		俊浚			
tɕʰ	春椿穿{白，穿引：～针}		蠢宠{2}		菌			
dʑ		裙群{文}琼{文}						
ɕ	孙{文，姓}兄{文}熏薰勋训{训斥}				训{～练}殉			
ʑ		循{1}巡{1}纯{1}醇{1}				顺{1}肾{1}任{1，文，～务}认{1，文，～为}慎{1}		
Ø	姻	匀云嬴循{2}巡{2}纯{2}醇{2}		永{文，～康}		顺{2}肾{2}任{2，文，～务}认{2，文，～为}慎{2}		
#auŋ								
pʰ	□{嗅}		捧		碰{文，麻将用语}			
b		朋蓬篷槰{丛}塳{～尘，高处的积尘}棚		奉		碰{撞}		
m		芒{白}檬蒙		网{白}	□{丢弃}	梦某{白}亩{白}		
f	风枫讽丰封峰锋蜂				紑{穿戴特别招摇显摆}			
v		冯逢缝{裁～}		奉俸		凤缝{新读，门～}		
t					咚			
tʰ	通		捅统		痛			
d		同铜童筒挏{卷物}		桶动		洞嗵		
n	东冬	侬{人}农	侬{你}董懂	攘{1}	冻栋□{受惊得病}	脓		
l	弄{～事}	笼聋隆砻龙□{窜，冲，快速地钻}□{～松：疏松}		拢陇垅		弄{～堂}		
ts	棕鬃宗中忠终钟		总肿种{～子}		粽众种{～田}			
tsʰ	聪葱囱充冲熜{火～}		宠		铳□{柴～}□{站不稳}□{猪鼻～}			
dz		虫重{～复}		重{轻～}		仲		
s	松{稣脆}菘嵩淞		𢱤		送宋			
z		从崇松{～树}𪨊{无能}		诵		颂讼𪨊{用于对人的贬称}		
k	公蚣工功宫弓躬恭供{文，～应}		拱{文}巩{文}		攻贡汞供{上～}			
kʰ	空{～白}		孔恐		空{空闲}控□{抠}			
g						共{文，～产党}		
x	烘		哄{吓唬}讧		轰			
Ø	翁齆{臭的副词：～臭}	红洪宏弘□{饥饿感}	塕{尘埃}		嗡{人挤在一块}齆	□{坍塌}		
#iauŋ								
tɕ	供{白，供养}							
tɕʰ					□{使劲戳}			
dʑ		穷				共{白}		
ȵ		绒浓						
ɕ	兄{1}凶胸		耸					
Ø	痈壅{～肥}	荣熊雄容蓉榕溶{新读}镕庸{新读}	永泳{新读}踊甬勇涌蛹拥		□{恼恨}	用佣		
#ŋʷ								
