音標	調類	調值				
dən/lən	3	42	蠢逞桶捅統寵			
dən/lən	5	24	趁稱秤痛銃			
dən/lən	6	44	任閏潤動洞重			
dɐu/lɐu	1	22	吹偷抽			
dɐu/lɐu	2	21	圖除錘綢稠籌徒屠途塗儲廚仇酬如（新派音，lɐu）儒（新派音，lɐu）揉			
dɐu/lɐu	3	42	土吐處杵丑醜乳（新派音，lɐu）			
dɐu/lɐu	5	24	臭吐兔處			
dɐu/lɐu	6	44	杜柱住肚（馱～：懷孕）驟			
dɐu/lɐu	7	45	秃獨讀牘犢毒畜逐軸辱（新派音，lɐu）			
dɤ/lɤ	1	22	貪穿			
dɤ/lɤ	2	21	潭譚纏團糰傳椽篅然			
dɤ/lɤ	3	42	染喘冉			
dɤ/lɤ	5	24	探串			
dɤ/lɤ	6	44	傳（～記文學）斷了（声调存疑）			
dɤ/lɤ	7	45	入日脫奪出			
dɑ/lɑ	1	22	他（其～）車祂			
dɑ/lɑ	3	42	扯			
dɑ/lɑ	7	45	赤-尺-			
do/lo	1	22	拖			
do/lo	2	21	駝坨（～吶：坨坨，蚊子包）鴕馱（～肚：懷孕）			
do/lo	3	42	妥椭			
do/lo	6	44	舵惰垛			
do/lo	5	24	唾			
do/lo	7	45	託托鐸踱着綽焯			
n̩	2	21	蜈吳			
n̩	3	42	你爾五伍恁嗯			
na	2	21	來攋藍籃難蘭攔欄難			
na	3	42	乃奶覽攬欖纜懶			
na	6	44	耐奈賴癩濫爛			
na	7	45	拿納臘蠟捺辣瘌□（用嘴舔）□（眨眼）			
nɔ	1	22	撈嘮			
nɔ	2	21	勞牢撓			
nɔ	3	42	腦惱老			
nɔ	6	44	澇鬧			
naŋ	2	21	囊郎廊狼蜋			
naŋ	3	42	朗冷-			
naŋ	6	44	浪			
nən	1	22	聾			
nən	2	21	論崙倫淪輪籠農膿儂隆濃龍凌（存疑，～包子：冰雹）□（或為「凌」，～包子：冰雹）			
nən	6	44	嫩論弄			
nɐu	2	21	奴盧爐蘆（包～：玉米）鸕廬			
nɐu	3	42	努魯櫓擄			
nɐu	6	44	怒路賂露鷺			
nɐu	7	45	鹿陸祿錄綠戮			
nɤ	2	21	南男漤鸞			
nɤ	3	42	暖卵			
nɤ	6	44	亂			
nɤ	7	45	捋			
nɑ	1	22	拉			
nɑ	3	42	哪（～呐，哪里）			
nɑ	5	24	那（口語中用「渠」）哪（～个，～样：怎么）			
nɑ	7	45	拿			
no	1	22	囉			
no	2	21	挪羅鑼籮蘿騾螺			
no	3	42	裸			
no	7	45	洛烙珞笿絡落袼諾酪雒駱樂犖			
tsa	1	22	災栽齋			
tsa	3	42	宰載			
tsa	5	24	再載債			
tsa	7	45	劄眨炸札紮鍘			
tsɔ	1	22	遭糟昭			
tsɔ	3	42	早棗蚤澡爪找沼			
tsɔ	5	24	躁竃罩			
tsaŋ	1	22	贓髒莊装樟樁爭-睜（～眼）			
tsaŋ	5	24	葬帳賬壯			
tsən	1	22	爭簪榛臻尊遵箏貞偵椶鬃宗綜終蹤			
tsən	3	42	縂			
tsən	5	24	粽鎮震政糉縱縱皺			
tsɐu	1	22	租			
tsɐu	3	42	組阻			
tsɐu	5	24	做皺			
tsɤ	7	45	卒			
tsɑ	1	22	査渣髽抓			
tsɑ	5	24	詐榨炸			
tsɑ	7	45	閘窄摘			
tsɔ	3	42	左			
tso	7	45	作著桌捉			
za	2	21	才材財裁纔豺柴慚讒饞殘涎			
za	3	42	彩採睬揣鏟產			
za	5	24	菜蔡燦			
za	6	44	在載淋（訓讀，或為「㾹」，～雨：淋雨）㾹（存疑，～雨：淋雨）□（或為「㾹」，～雨：淋雨）			
za	7	45	插擦察浞			
zɔ	1	22	操抄鈔			
zɔ	2	21	曹槽巢			
zɔ	3	42	草炒吵			
zɔ	5	24	糙造			
zɔ	6	44	皂造（~孽）櫂			
zaŋ	1	22	倉蒼瘡滄窗睜（訓讀，本字「撐」，～眼）撐（～眼）			
zaŋ	2	21	藏牀床			
zaŋ	3	42	闖撞			
zaŋ	5	24	創倡			
zaŋ	6	44	藏臓狀			
zən	1	22	村皴椿聰怱葱囱蔥			
zən	2	21	存澄橙呈城誠叢崇從從			
zən	3	42	忖			
zən	5	24	寸			
zən	6	44	仲			
zɐu	1	22	初			
zɐu	2	21	鋤雛			
zɐu	3	42	楚礎			
zɐu	5	24	凑			
zɐu	6	44	助紂宙			
zɐu	7	45	猝族促觸			
zɤ	1	22	參汆川			
zɤ	2	21	蠶（不說「蠶豆」，口語中說「大碗豆」）			
zɤ	3	42	慘			
zɤ	5	24	竄篡			
zɤ	6	44	賺			
zɤ	7	45	撤撮			
zɑ	1	22	叉杈差（～錯）			
zɑ	2	21	茶搽茬查			
zɑ	5	24	岔差姹			
zɑ	7	45	雜拆㿭擇栅			
zo	1	22	搓矬			
zo	5	24	銼莝措錯			
zo	6	44	坐座			
zo	7	45	錯鑿昨柞戳濁鐲			
sa	1	22	腮鰓篩衰摔三衫珊山删			
sa	3	42	甩散傘			
sa	5	24	賽寨帥率（～領）釤散疝			
sa	7	45	撒薩殺			
sɔ	1	22	騷臊梢捎稍燒			
sɔ	2	21	韶苕（～粉：薯粉）			
sɔ	3	42	嫂少			
sɔ	5	24	掃掃潲潲少			
sɔ	6	44	邵紹			
saŋ	1	22	生-（陌～）牲-甥-聲-桑喪霜孀商傷雙雙			
saŋ	2	21	成-盛-（～飯）常嘗裳償			
saŋ	3	42	省-嗓搡爽賞晌餉			
saŋ	5	24	喪			
saŋ	6	44	上尚			
sən	1	22	深身申伸娠孫升勝鬆嵩			
sən	2	21	神辰晨臣唇純蒓醇乘繩承丞			
sən	3	42	沈審嬸損省慫			
sən	5	24	遜勝聖送宋誦頌訟			
sən	6	44	葚甚滲腎愼順舜剩盛			
sɐu	1	22	疏書舒樞輸殊輸收蘇酥梳蔬			
sɐu	2	21	薯（馬鈴～；紅薯）			
sɐu	3	42	數手首守			
sɐu	5	24	素訴塑恕數戍漱獸授售			
sɐu	6	44	鼠署豎樹受壽			
sɐu	7	45	速叔熟淑束屬宿			
sɤ	1	22	羶搧酸閂拴			
sɤ	2	21	船蟬婵禪（～宗）			
sɤ	3	42	閃（存疑，曝～：閃電）塍（存疑，田～：田埂）堘（存疑，田～：田埂）			
sɤ	5	24	扇算蒜涮			
sɤ	6	44	善鱔禪（～讓）			
sɤ	7	45	濕十什拾實失室術述秫食蝕識飾適釋攝涉舌設折說			
sɑ	1	22	沙紗奢賒杉			
sɑ	2	21	蛇佘			
sɑ	3	42	灑			
sɑ	5	24	曬			
sɑ	6	44	社射麝赦舍			
sɑ	7	45	刷（～牆）石			
so	1	22	蓑梭唆			
so	3	42	鎖瑣所			
so	7	45	索勺芍朔縮			
tɕi	1	22	雞稽飢肌基幾機譏饑錐屐			
tɕi	3	42	擠几己紀幾嘴給			
tɕi	5	24	祭際濟劑計繼繫髻最贅寄冀記忌旣醉季			
tɕi	7	45	急級汲吉即戟積績擊激鯽唧（貓～；奶）			
tɕin	1	22	今金禁襟津巾斤筋莖京荆驚鲸精晶經			
tɕin	3	42	錦儘緊僅謹瑾槿景警窘囧炯迥			
tɕin	5	24	浸（被水浸泡）禁進晉勁俊境敬竟競勁徑經			
tɕiaŋ	1	22	將漿疆僵薑繮姜江睛-			
tɕiaŋ	3	42	蔣獎槳講井-頸-			
tɕiaŋ	5	24	醬將降鏡-			
tɕiu	1	22	揫鬏鳩鬮糾糾			
tɕiu	3	42	酒九久			
tɕiu	5	24	救究			
tɕiu	7	45	菊掬足			
tɕiɛ	1	22	監尖殲兼艱奸間煎箋肩堅曾增			
tɕiɛ	3	42	鹻檢儉簡柬剪繭趼筧姐			
tɕiɛ	5	24	鑑監艦劍諫澗鐧箭濺建薦見憎			
tɕiɛ	7	45	接節截結（一派在「～婚」一詞中讀kiɛ˦˥）劫潔責則			
tɕiɑ	1	22	加嘉傢佳			
tɕiɑ	3	42	賈假姐-			
tɕiɑ	5	24	嫁價借藉			
tɕiɑ	7	45	夾甲跡脊			
tɕiɔ	1	22	郊膠焦蕉椒驕嬌澆鄒鉤溝（水～仔：水溝）			
tɕiɔ	3	42	絞狡鉸攪剿矯繳僥走餃狗			
tɕiɔ	5	24	教校較叫奏覺			
tɕio	7	45	腳角覺			
ʑi	1	22	蛆趨妻棲凄溪催崔欺期			
ʑi	2	21	徐齊臍奇騎岐祁鰭其棋旗期隨			
ʑi	3	42	取娶啓企起杞祈豈绮			
ʑi	5	24	氣趣砌契脆器棄氣汽翠粹泣			
ʑi	6	44	聚罪徛技妓			
ʑi	7	45	緝集輯及七漆疾乞極籍藉戚寂吃（口~）			
ʑia	7	45	恰洽			
ʑin	1	22	侵欽親卿傾清輕青			
ʑin	2	21	尋琴禽擒秦勤芹擎情瓊窮松			
ʑin	5	24	親慶			
ʑin	6	44	盡近靜靖淨			
ʑiaŋ	1	22	槍羌腔筐清-輕-青-			
ʑiaŋ	2	21	牆（「刷～」中讀如上聲）樯詳祥強晴-			
ʑiaŋ	3	42	搶強匠請-頃-			
ʑiaŋ	5	24	嗆			
ʑiaŋ	6	44	匠像			
ʑiu	1	22	秋秋鞦丘			
ʑiu	2	21	囚泅求球仇			
ʑiu	6	44	就臼舅咎舊柩			
ʑiu	7	45	麴曲局			
ʑiɛ	1	22	籤簽謙遷千牽			
ʑiɛ	2	21	潛鉗錢乾虔掮犍前全泉曾層			
ʑiɛ	3	42	淺遣			
ʑiɛ	5	24	去（～歸：回家，回去）欠歉踐			
ʑiɛ	6	44	漸件賤餞鍵健腱			
ʑiɛ	7	45	傑切絕賊側測澤擇策			
ʑiɑ	2	21	邪斜霞			
ʑiɑ	6	44	謝（感～；花～）			
ʑiɑ	7	45	喫（～飯；怕～人：害羞；～了虧：謝謝）			
ʑiɔ	1	22	敲鍬繰悄搊			
ʑiɔ	2	21	樵瞧喬僑橋蕎愁喉猴侯			
ʑiɔ	3	42	口巧矁			
ʑiɔ	5	24	俏鞘竅湊叩扣寇			
ʑiɔ	6	44	噍轎嚼後厚後候			
ʑio	7	45	雀			
ɕi	1	22	須鬚需西犀奚兮犧嬉熙希雖			
ɕi	3	42	洗璽徙喜髓			
ɕi	5	24	絮細碎歲戲（玩，娛樂）			
ɕi	6	44	序敍緒壻系繫係遂隧穗			
ɕi	7	45	習襲吸悉膝戌恤息熄媳惜昔席夕析			
ɕin	1	22	心辛新薪欣興馨胸凶兇			
ɕin	2	21	荀旬循巡行形型刑熊雄			
ɕin	3	42	筍榫省			
ɕin	5	24	信訊釁迅殉興嗅（聞）			
ɕin	6	44	杏			
ɕiaŋ	1	22	相箱廂湘襄鑲香鄉星-			
ɕiaŋ	2	21	降			
ɕiaŋ	3	42	想享響醒-			
ɕiaŋ	5	24	相向性-姓-腥-			
ɕiaŋ	6	44	象橡項			
ɕiu	1	22	修羞休			
ɕiu	3	42	朽			
ɕiu	5	24	秀繡宿銹袖			
ɕiu	7	45	肅宿畜蓄粟俗續			
ɕiɛ	1	22	參鮮宣先仙森僧生牲甥聲疏-（衣服掀開；粥稀）□（本字“疏”，魚韻白讀，衣服掀開；粥稀）			
ɕiɛ	2	21	嫌閑咸（～寧）賢弦旋			
ɕiɛ	3	42	險癬顯選□（～前日：大前天）			
ɕiɛ	5	24	線羡鏾（閹割）酰（～粉：製作米粉）			
ɕiɛ	6	44	陷餡限憲獻現旋縣眩			
ɕiɛ	7	45	脅協薛泄歇（～房：臥室；～火：休息）蠍屑屑楔雪澀瑟蝨塞色嗇			
ɕiɑ	1	22	些			
ɕiɑ	3	42	寫			
ɕiɑ	5	24	瀉卸			
ɕiɑ	6	44	夏			
ɕiɑ	7	45	錫			
ɕiɔ	1	22	消宵霄硝銷囂蕭簫搜颼餿蒐			
ɕiɔ	3	42	小曉吼			
ɕiɔ	5	24	孝笑嗽瘦			
ɕiɔ	6	44	效校校			
ɕio	7	45	削學（～校）			
ȵin	2	21	吟人-仁-銀凝凝迎寧			
ȵin	6	44	任-賃任-紝-刃-認-韌-潤-閏-寧佞			
ȵin	7	45	日-（～頭；～食；～呐：白天）			
ȵiaŋ	2	21	娘			
ȵiaŋ	3	42	仰			
ȵiaŋ	6	44	釀讓-			
ȵiu	2	21	牛			
ȵiu	3	42	紐扭			
ȵiu	7	45	肉-			
ȵiɛ	2	21	鮎然-燃-年（～頭：年初；～㞘：年末）能			
ȵiɛ	3	42	冉-碾輦撚			
ȵiɛ	6	44	𥽸念			
ȵiɛ	7	45	聶鑷躡苶熱捏			
ȵiɑ	7	45	入（訓讀，指交合的動作）			
ȵiɔ	3	42	鳥藕			
ȵio	7	45	若弱虐瘧			
ka	1	22	該皆階街間-			
ka	3	42	改解減襇揀			
ka	5	24	概溉蓋丐介界芥尬疥屆戒械間			
ka	7	45	夾裌甲胛			
kɔ	1	22	高膏篙羔糕交			
kɔ	3	42	稿搞（本字攪）			
kɔ	5	24	告膏教酵窖覺-			
ku	1	22	箍姑孤估			
ku	3	42	古牯股鼓			
ku	5	24	故固錮雇顧			
ku	7	45	穀谷			
kua	1	22	乖關			
kua	3	42	拐（～人：壞人）			
kua	5	24	怪慣			
kua	7	45	括聒刮			
kui	1	22	居車拘駒圭閨規追龜歸（～來：回來；去～：回家，回去）鮭			
kui	3	42	舉詭軌癸鬼			
kui	5	24	據句綴鱖桂貴劇劇			
kui	7	45	橘			
kuin	1	22	均鈞君軍菌（細～；益生～）			
kuin	3	42	窘囧炯迥			
kuin	5	24	郡			
kuaŋ	1	22	光（天～：天亮）胱			
kuən	3	42	滾			
kuən	5	24	棍			
kuɛ	1	22	捐鵑			
kuɛ	3	42	捲			
kuɛ	5	24	卷絹			
kuɛ	7	45	厥憠掘決訣國			
kuɤ	1	22	官棺觀冠鳏			
