e
x[1]呵喝[2]禾合何和河荷盒鹤洪红鸿豁活或惑获霍藿[3]火伙[5]和贺货祸
Ǿ[1]凹倭窝蜗[2]恶[5]沃

io
l[2]烙赂掠略洛络
tɕ[2]爵
tɕʰ[2]雀鹊[2]削学[2]虐疟弱
c[2]脚
cʰ[2]觉
Ǿ[2]若药钥约岳跃
u
p[2]菩[3]捕补浦[5]不布步怖部簿
pʰ[1]铺[2]勃卜脯扑蒲仆朴瀑[3]辅普谱[5]铺
m[2]木目穆巫诬[3]母拇[5]牧募墓幕慕暮
ɸ[1]夫孵肤麸抚[2]佛敷伏扶芙服符袱幅福复蝠腹覆[3]俘甫府斧俯釜腑腐[5]吠父付附咐负赴副妇傅赋缚戽
t[1]都[2]督毒独牍犊读[3]堵赌笃[5]妒杜肚度渡镀
tʰ[2]秃突徒途屠涂图[3]土[5]吐兔
n[2]奴[3]努[5]怒
l[1]橹[2]六卢庐芦炉卤虏陆鹿禄録驴緑[3]鲁[5]露路
ts[1]租[2]触促蜀粥轴竹烛属嘱祝浊足族[3]阻祖组
tsʰ[1]初粗[2]锄逐筑[3]杵楚础[5]醋助
s[1]梳疏蔬酥苏[2]叔淑熟束俗速宿宿肃缩续[3]数[5]庶漱数素诉塑
k[1]估姑孤[2]谷骨谷[3]古股牯鼓[5]固故雇顾
kʰ[1]箍枯[2]哭窟酷[3]苦[5]库裤
x[1]呼[2]忽狐胡壶湖糊胡吴蜈[3]虎浒
Ǿ[1]乎乌侮[2]握屋吾梧无勿物悟[3]五午伍武舞鹉[5]恶富互户沪护戊务误雾

yu
ɕ[2]赎
Ǿ[2]肉辱旭畜蓄育浴欲狱[3]褥

y
tɕ[1]趋朱株珠猪蛛诛诸[2]猝朮卒[3]屿主煮[5]储拄住注苎柱着蛀箸驻铸
tɕʰ[1]区蛆驱枢墟[2]出除瞿曲屈徐[3]处取娶[5]处去趣绪
ɕ[1]书殊舒输须[2]薯述术戌[3]暑黍署鼠羽[5]戍恕墅树序恤
cʰ[2]曲
Ǿ[2]如儒擩[3]汝乳[5]入

ə
p[1]擘[2]白百柏北伯帛
pʰ[2]帕拍迫魄
m[2]麦没墨默
t[2]得德
tʰ[2]特
l[2]勒肋
ts[2]策则责择泽贼摘宅窄
tsʰ[2]册侧测拆
s[2]塞塞色啬瑟涩
k[2]革格隔骼克
kʰ[2]刻客[5]去
ŋ[2]额扼
x[2]核赫黑吓
Ǿ[2]轭而儿[3]耳尔饵[5]二

ɿ
ts[1]雏姿兹资谘[3]子姊梓紫[5]事祀痔字自牸
tsʰ[2]祠瓷词慈磁雌辞伺嗣饲[3]此[5]疵次刺赐
s[1]师狮司私思斯丝撕[3]死[5]士仕侍恃四寺似肆

ø
n[2]纳[3]女
l[2]律率[3]吕旅屡履缕捋[5]滤虑
s[5]婿
ɕ[1]喧
c[1]车居拘痀驹捐[2]局菊橘[3]矩举[5]句巨拒具俱距聚剧据锯惧渠
ç[3]许
Ǿ[1]虚须需轩吁[2]迂于盂娱鱼愚虞渔余愈[3]宇雨禹语[5]絮役疫淤愉逾榆玉芋郁喻寓裕遇预豫御誉

yø
tɕ[1]专砖钻[2]倔掘[3]转[5]传攒转撰钻
tɕʰ[1]川穿[2]船传全泉权缺[3]喘[5]串窜纂
ɕ[1]鲜宣楦靴[2]说玄旋悬眩薛雪血[3]选癣[5]屑
c[1]绢[2]卷[5]卷倦眷圈
cʰ[1]圈[2]拳颧[3]犬[5]券劝
ç[2]弦
ŋ[3]阮软
Ǿ[1]冤渊[2]椽绝铅沿阎元原员袁援园圆源缘辕月越粤阅[3]远[5]怨院愿

ᴀ
p[1]巴爸[2]八[3]把[5]罢霸坝欛
pʰ[2]拔杷爬耙琶[5]怕
m[1]窒[2]麻抹[3]马码
ɸ[2]发乏伐筏罚法防房
t[2]搭沓答达塔[3]打[5]大
tʰ[1]他[2]塌獭搨榻踏
n[2]拏[3]哪[5]那
l[1]拉[2]辣腊蜡
ts[1]渣乍[2]杂扎札铡眨[5]诈榨
tsʰ[1]参叉叉差钗[2]擦插查茶搽察[5]岔
s[1]沙纱[2]萨杀煞[3]撒洒傻
k[5]尬
ŋ[1]杈[2]轧
Ǿ[1]阿

iᴀ
tɕ[2]狭
ɕ[2]瞎峡瑕辖[5]下吓
c[1]加家嘉[2]夹甲胛匣闸[3]贾假[5]架嫁价稼驾
cʰ[2]掐恰洽遐
ç[1]虾暇[2]侠[5]下夏
k[1]佳
Ǿ[1]霞丫鸦[2]押鸭压牙芽崖涯衙[3]哑雅[5]夏亚

uᴀ
ts[1]抓
tsʰ[3]钹
s[2]刷
k[1]瓜[2]刮括[3]寡[5]剐卦挂
kʰ[1]夸跨
x[1]花[2]华滑猾划[5]化画话划
Ǿ[1]挖蛙[2]袜[3]瓦

ai
p[3]摆[5]拜败稗
pʰ[2]排牌[5]派
m[2]埋[3]买[5]卖迈
t[1]獃[5]代待怠带袋贷戴
tʰ[1]胎[2]台抬苔[5]殆太泰态
n[1]奶[3]乃[5]捺奈耐
l[2]来[5]赖癞
ts[1]灾栽斋[3]宰载滓[5]晒载再在债寨
tsʰ[1]猜[2]才材财裁柴豺[3]采彩[5]菜蔡
s[1]腮鳃筛[5]赛
k[1]该皆阶街[3]改解[5]丐溉概盖介戒芥界疥械
kʰ[1]揩开[3]凯楷[5]慨
ŋ[1]哀埃挨[2]捱[3]矮蔼[5]艾隘爱碍
x[2]鞋[3]蟹[5]害骇懈
Ǿ[2]孩[3]海[5]亥

uai
ts[5]拽
tsʰ[3]揣
s[1]衰[5]率帅
k[1]乖[3]拐块[5]怪
kʰ[5]刽会快
x[2]淮槐怀[5]坏
Ǿ[1]歪[5]外

ei
p[1]卑杯悲碑胚坯[2]焙[5]贝背背倍被被辈鐾
pʰ[2]陪培裴赔[5]沛佩配
m[2]枚梅媒煤霉[3]每美[5]没妹昧寐
ɸ[1]妃非飞翡[2]肥[3]匪[5]沸肺费痱废
t[1]堆[5]兑队对
tʰ[1]推[3]腿[5]退蜕
n[5]内
l[2]雷[3]儡垒累[5]累累类
ts[3]嘴[5]最罪醉
tsʰ[1]崔[5]脆翠
s[1]虽[5]遂岁碎隧
k[5]给

iei
Ǿ[5]蕊

uei
ts[1]碓追锥[2]垂[5]瑞睡坠缀赘
tsʰ[1]吹炊[2]槌锤[5]粹
s[2]谁随髓[3]水[5]税
k[1]圭规闺龟归窥[3]轨鬼诡[5]癸桂贵跪柜
kʰ[1]盔亏[2]奎逵葵魁[3]傀[5]愧溃
ŋ[2]危桅
x[1]灰恢挥辉徽[2]回[3]讳[5]晦惠会贿慧秽绘穗
Ǿ[1]威煨[2]微唯惟围爲违维[3]悔毁尾委伟萎苇僞纬[5]爲未位味畏胃慰卫谓魏

yei
Ǿ[5]鋭

an
p[1]扳班斑颁[3]板版[5]扮办瓣
pʰ[1]攀襻[5]盼
m[2]蛮[5]馒鳗慢漫蔓
ɸ[1]帆番翻[2]凡烦繁矾[3]反[5]犯泛贩饭范
t[1]丹耽单担簟[3]疸掸胆[5]担旦但淡蛋诞弹
tʰ[1]坍贪摊滩[2]弹痰潭谈坛檀谭[3]坦毯[5]炭探
n[2]男南难[5]难
l[1]篮[2]蓝拦兰栏[3]漤懒览揽榄缆[5]滥烂
ts[1]山簪沾毡瞻蘸[3]錾斩盏[5]颤赞占站栈绽战赚
tsʰ[1]参餐仓苍搀[2]残惭蚕禅蝉缠谗馋[3]惨産铲[5]灿暂
s[1]三杉衫[3]伞散陕闪[5]散疝
tɕ[3]展
k[1]干甘肝柑尴关干[3]竿敢感橄擀减[5]干鉴
kʰ[1]刊勘堪龛[3]坎[5]看
ŋ[1]安庵鞍[5]岸按案暗晏晏
x[1]酣憨鼾欢[2]含函寒韩还衔咸[3]喊[5]罕汗旱汉憾撼翰唤焕限陷

uan
ts[5]篡篆
s[1]删拴闩珊
k[5]惯
x[2]还环丸[3]缓皖[5]幻宦患换
Ǿ[1]弯湾[2]玩[3]豌宛挽晚腕[5]万

en
p[1]编蝙边鞭[3]扁匾贬[5]便辨辫辩变爿
pʰ[1]偏篇[2]便[5]遍片骗
m[2]眠棉绵[3]免勉娩缅[5]面
t[1]颠癫[3]典点[5]敁佃店奠殿电垫
tʰ[1]天添[2]田甜填[3]舔
n[1]拈黏蔫研[2]年严[3]碾辇撵磑俨[5]念验
l[2]连廉莲怜联帘镰[3]敛脸[5]谏炼练恋
s[1]仙先[5]扇善膳鳝羡
c[1]监
k[1]奸肩兼坚间艰[3]柬趼拣检简茧[5]笕俭件见建健腱剑键舰
kʰ[1]牵谦[2]虔干钳[3]遣[5]欠嵌歉

ien
ɕ[3]显[5]县馅
Ǿ[5]宪献

in
p[1]彬宾殡鬓冰兵槟[3]丙秉柄饼[5]病
pʰ[2]贫频平坪屏瓶萍评[3]品[5]迸姘聘
m[2]民名明冥暝铭鸣[3]皿敏闽悯[5]命
t[1]丁疔钉[3]顶鼎[5]定订锭
tʰ[1]厅[2]廷亭庭停蜓[3]挺艇[5]听
n[2]宁
l[1]拎[2]林淋邻临鳞伶陵凌菱铃零灵[3]檩领岭[5]吝赁令
ts[1]贞
s[1]星腥[3]醒
tɕ[1]津晶睛精薪真针蒸[2]琴禽擒[3]井[5]尽晋进净靖静
tɕʰ[1]侵亲青清蜻[2]臣陈晨尘城秦情晴[3]寝请[5]秤
ɕ[1]申伸身娠深升声心辛欣新兴[2]神绳刑行型赢[3]审婶[5]肾信兴杏姓幸性
c[1]巾今斤金筋禁京粳经[3]仅紧锦谨景颈警[5]襟尽近劲浸禁茎径竟敬境镜竞
cʰ[1]荆惊钦卿轻[2]芹勤擎琼[3]倾顷[5]庆
ç[2]形
Ǿ[1]因姻音殷阴荫英婴樱莺缨鹰鹦蝇[2]人仁仍吟寅淫银迎盈营[3]忍引饮隐影颖映[5]壬刃任韧认印应萤

on
p[1]般搬[5]半伴拌绊畔
pʰ[1]潘[2]盘[5]判叛
m[2]瞒[3]满
t[1]端[3]短[5]段缎锻断
tʰ[2]团
n[3]暖
l[2]鸾[3]卵[5]乱
s[1]酸[5]蒜算
k[1]官棺鳏观[3]管馆[5]冠观贯灌罐
kʰ[1]宽[3]款
x[2]完
Ǿ[3]碗

ən
p[1]奔[3]本[5]笨
pʰ[2]盆[5]喷
m[2]门[5]闷
ɸ[1]分吩芬纷[2]焚坟[3]粉[5]份忿愤奋粪
t[1]扽登灯敦墩蹲[3]等[5]戥凳邓沌盾遁钝顿
tʰ[1]吞[2]囤疼誊藤腾屯豚臀
n[2]能[5]嫩
l[2]伦轮论[3]冷[5]论
ts[1]曾增憎甑珍砧侦斟臻征争筝正尊遵[3]枕疹诊拯整[5]胜赠阵振震镇正政症郑证
tsʰ[1]称撑逞村[2]层沉尘丞成呈承程诚澄橙惩存瞪寻曾[5]蹭趁衬牚撑寸
s[1]参森僧生牲甥孙[2]辰乘[3]沈省笋损[5]葚甚慎渗盛剩圣逊
k[1]根跟更更庚耕羹[3]哽埂耿梗[5]更
kʰ[1]坑[3]肯垦恳
ŋ[1]恩[5]硬
x[2]痕恒衡[3]很[5]恨

uən
tsʰ[2]唇吮
s[3]榫
k[3]滚
kʰ[1]坤昆[5]困
x[1]昏婚荤浑[2]横魂[5]混
Ǿ[1]温瘟[2]文纹蚊闻[3]刎吻稳[5]问璺

øn
tɕ[3]准[5]俊郡
tɕʰ[1]春椿黢[2]纯醇[3]蠢
ɕ[1]勛熏[2]巡旬荀寻循询[5]舜顺迅讯训
c[1]君均军钧[5]菌
cʰ[2]裙群
Ǿ[1]晕[2]殉云匀云[3]永咏泳允[5]闰润孕运韵熨

au
p[1]包胞褒[3]保堡饱宝[5]雹抱豹菢报暴鲍爆曝
pʰ[1]脬泡泡[2]刨袍[3]跑[5]炮泡泡
m[2]毛矛茅[3]卯[5]冒帽貌
t[1]刀叨[3]倒岛导祷[5]到盗道稻
tʰ[1]搯滔涛[2]逃桃陶淘萄[3]讨[5]套
n[3]恼脑[5]闹
l[1]捞[2]牢劳唠涝[3]老姥[5]
ts[1]朝遭糟招昭沼召[3]蚤枣澡爪[5]潲皂造躁兆诏照罩赵
tsʰ[1]操抄超钞汆[2]曹槽巢朝潮缲[3]草吵炒[5]糙
s[1]臊骚烧[3]扫嫂少[5]臊少邵绍
k[1]羔高膏篙糕[3]搞稿[5]告
kʰ[1]敲[3]考烤[5]犒靠
ŋ[2]熬[3]袄咬[5]坳傲奥澳懊
x[1]蒿薅[2]毫壕号号[3]好[5]好耗
Ǿ[2]豪[5]浩号号

iau
p[1]彪标臕[3]表
pʰ[1]漂飘[2]瓢[5]漂
m[1]猫[2]苗描[3]秒渺藐[5]妙庙谬
t[1]刁貂雕[5]掉钓调
tʰ[1]挑[2]调条[5]跳
n[3]鸟[5]尿
l[1]撩[2]聊辽燎疗了[3]了[5]寥料
tɕ[1]椒焦蕉[2]嚼[3]剿
tɕʰ[1]悄[5]鞘
ɕ[1]梢稍筲宵消硝销霄萧箫肖屑[3]小晓[5]酵笑
c[1]交郊娇浇胶骄教[2]荞[3]狡绞铰饺缴搅[5]矫叫教窖轿觉
cʰ[2]乔侨樵桥[3]巧[5]窍
ç[1]嚣[3]侥绕[5]较孝校
Ǿ[1]幺吆妖腰邀要[2]饶淆肴姚尧摇鹞[3]扰杳舀[5]俏效校要耀

əu
m[2]谋[3]某牡亩[5]茂贸
ɸ[2]浮
f[3]否
t[1]都兜逗[3]斗陡[5]豆逗斗痘
tʰ[1]偷[2]投头[3]抖[5]透
l[2]楼[3]搂篓[5]陋漏
ts[1]馊州舟周洲邹[3]搊肘帚走[5]咒宙昼皱骤奏做
tsʰ[1]抽[2]仇愁稠酬绸筹[3]丑[5]臭
s[1]收搜叟[3]手守首[5]受售授寿瘦兽嗽纣
k[1]勾钩沟[3]狗苟[5]垢构购
kʰ[1]抠[3]口[5]叩扣寇
ŋ[1]欧[3]殴偶呕藕[5]沤
x[2]侯喉猴[3]吼[5]后厚后候

iəu
t[1]丢
n[3]扭纽
l[1]溜[2]流留琉硫刘[3]柳[5]榴馏
tɕ[3]酒[5]就
tɕʰ[1]秋鳅
ɕ[1]修羞[5]秀袖锈嗅
ȵ[2]牛
c[1]鸠阄咎[2]囚[3]九久韭[5]究灸臼柩救舅旧炙
cʰ[1]纠丘[2]仇求泅球
ç[1]休[3]朽
Ǿ[1]幽悠忧优[2]柔揉尤由油邮游犹[3]友有酉[5]柚莠又右幼佑釉诱

iaŋ
n[2]娘
l[1]凉[2]良凉梁粱量[3]两辆[5]亮量谅
s[5]象
tɕ[1]浆将[3]蒋桨奖[5]匠将酱
tɕʰ[1]枪[2]墻祥详[3]抢[5]像
ɕ[1]相香湘箱襄镶[3]晌想饷[5]相向橡
ȵ[3]仰
c[1]江豇僵姜羌[3]讲[5]降强
cʰ[1]疆繮腔[2]强[3]强
ç[1]乡[2]降[3]享响
Ǿ[1]央殃秧[2]羊洋阳扬杨疡[3]养痒[5]酿瓤壤让样

oŋ
pʰ[2]朋彭棚蓬篷膨[3]捧
m[2]萌盟蒙[3]猛懵[5]梦孟
ɸ[1]封风枫蜂疯锋丰[2]逢冯缝[3]讽[5]奉俸凤
t[1]冬东[3]懂[5]洞冻动栋
tʰ[1]通[2]同桐童铜瞳筒[3]铳捅桶统[5]痛
n[2]农浓脓[5]弄
l[1]聋[2]隆龙笼[3]陇拢
ts[1]中忠盅终钟宗综踪[3]肿种总[5]诵中种仲重衆粽纵
tsʰ[1]充冲舂怱葱聪[2]崇虫从丛重鬃[3]宠怂
s[1]松[5]宋送讼颂
k[1]工弓公功攻宫恭蚣躬[3]拱巩[5]供汞拱共贡控
kʰ[1]空[3]孔恐[5]空
x[1]烘[2]弘宏虹
Ǿ[1]轰翁

ioŋ
tɕ[3]迥
ɕ[1]凶
c[3]窘
cʰ[2]穷
ç[1]兄
Ǿ[1]凶胸庸雍壅拥[2]戎茸容绒溶蓉荣氄融雄熊[3]勇[5]用

əŋ
p[1]崩
pʰ[1]烹
x[1]夯亨

ɑŋ
p[1]邦帮[3]榜[5]蚌棒谤
pʰ[2]傍旁螃庞[5]胖
m[1]芒[2]忙盲茫氓[3]莽蟒
ɸ[1]方芳[2]妨[3]坊肪仿纺访[5]放
t[1]当[3]挡党[5]当宕
tʰ[1]汤[2]唐堂棠塘糖[3]躺趟[5]荡烫
n[2]囊
l[2]郎狼廊螂[3]朗[5]浪
ts[1]赃张章樟瘴[2]常尝[3]长掌涨[5]藏葬丈仗杖帐胀障账
tsʰ[1]舱昌倡疮[2]藏偿[3]厂[5]唱畅
s[1]饬桑丧商伤[2]裳[3]嗓搡磉赏[5]丧上尚
k[1]缸刚纲钢岗[3]港
kʰ[1]康慷糠[2]扛[5]抗炕
ŋ[2]昂
x[2]杭航行[5]巷项

uɑŋ
ts[1]妆庄装桩[5]壮状
tsʰ[1]窗[2]长肠场床[3]闯撞[5]创
s[1]霜双孀[3]爽
k[1]光[3]广[5]逛
kʰ[1]筐框眶[2]狂[5]况旷矿
ŋ[2]顽
x[1]荒慌[2]黄惶蝗簧[3]晃谎
Ǿ[1]汪[2]皇亡王忘[3]往枉网[5]妄旺望
