tsɿ[1]资姿恣咨谘兹滋孳辎锱孜
tsʰo[5]错措挫锉
so[1]蓑梭唆
so[2]烁芍勺索嗍朔蟀硕率{～领　}
so[3]所锁琐唢
so[5]傻
ko[1]锅哥歌戈
ko[2]国郭廓各割鸽葛蛤阁搁角桷
ko[3]果裹
ko[5]过个
kʰo[1]科蝌苛柯
kʰo[2]扩阔壳渴磕嗑确
kʰo[3]可颗棵
kʰo[5]课
ŋo[2]俄鹅娥蛾峨硪颚鄂萼腭鳄
ŋo[3]我
ŋo[5]饿
xo[1]喝
xo[2]和何河荷禾活或惑获合霍藿鹤壑豁郝
xo[3]火伙夥
xo[5]货祸贺
o[1]窝蜗涡莴娲倭屙
o[2]沃讹噩恶{凶狠}
o[5]斡涴{脏，不洁}
lio[2]略掠
tsio[2]爵
tsʰio[2]雀鹊
sio[2]削
kio[2]脚
kʰio[2]却榷觉{感觉}
ŋio[2]弱虐疟
xio[2]学
io[1]哟
io[2]药约钥跃岳若乐{音乐}
pɤ[1]擘{掰}
pɤ[2]伯柏帛白百陌
pʰɤ[2]迫魄粕舶泊箔拍帕
mɤ[2]默墨没殁麦脉
tɤ[2]得德
tʰɤ[2]特
lɤ[2]勒肋
tsɤ[2]贼则责择泽仄宅
tsʰɤ[2]测侧策册厕拆坼{裂}
sɤ[2]色涩瑟塞折{丢失}
kɤ[2]格革隔膈嗝胳疙
kʰɤ[2]克客刻咳
kʰɤ[5]去{又}
ŋɤ[2]额扼轭
ŋɤ[5]□{用钝刀或绳子等来回拉动}
xɤ[2]核阂吓赫黑
ɤ[2]而儿
ɤ[3]耳尔呃{呃逆叫打～}
ɤ[5]二
pie[1]边鞭
pie[2]别憋
pie[3]瘪贬扁匾蝙秕{～谷　}
pie[5]便变辨辩辫卞
pʰie[1]篇偏翩编
pʰie[2]撇便{～易}
pʰie[5]片骗遍
mie[1]咩{羊叫声}
mie[2]灭篾蔑棉绵眠搣{掰}
mie[3]免勉娩冕
mie[5]面
fie[5]□{发情}
tie[1]爹颠癫巅掂
tie[2]叠迭跌蝶碟
tie[3]点典
tie[5]电店惦踮垫淀奠佃甸靛殿
tʰie[1]天添
tʰie[2]铁贴帖田填滇甜恬
tʰie[3]舔掭
nie[1]拈黏蔫研
nie[2]捏聂镊镍孽业年鲇
nie[3]辇碾捻
nie[5]念验
lie[2]列烈裂劣猎连莲鲢联帘镰廉怜
lie[3]脸
lie[5]练炼楝链恋殓敛
tsie[1]遮尖煎毡
tsie[2]接节截捷哲浙摺折{～断}
tsie[3]姐者践剪辗
tsie[5]借这蔗鹧柘箭渐饯贱荐
tsʰie[1]车千迁签笺歼忏纤
tsʰie[2]切妾彻撤澈前钱潜
tsʰie[3]且扯浅
tsʰie[5]翅窃縴{～夫}趄{让开}笡{偏斜}
sie[1]奢赊先仙煽搧
sie[2]邪屑蛇设摄舌涉婵
sie[3]写捨些
sie[5]谢泄卸泻榭社射舍赦麝线
kie[1]间艰兼搛奸肩监
kie[2]结洁杰劫
kie[3]简检捡俭拣柬茧碱涧趼笕{以竹通水}
kie[5]件建键健毽见剑
kʰie[1]牵谦
kʰie[2]茄揭竭怯乾黔钳虔
kʰie[3]遣
kʰie[5]欠歉芡
ŋie[2]严
xie[2]协胁歇蝎鹹贤闲嫌
xie[3]显险
xie[5]现县宪献苋{～菜}
ie[1]椰耶烟淹阉焉咽胭腌
ie[2]爷叶页言盐炎延筵颜阎闫檐然燃芫{芫荽}
ie[3]也野冶眼演掩衍染冉髯
ie[5]夜宴燕艳厌砚焰酽嚥
tsye[2]绝
tsʰye[2]全泉船
sye[1]宣喧楦鲜
sye[2]雪薛说
sye[3]选冼癣
sye[5]旋漩
kye[1]捐娟涓鹃绢
kye[2]决掘倔崛蕨
kye[3]捲
kye[5]倦眷圈桊券
kʰye[1]圈
kʰye[2]瘸缺权拳颧
kʰye[3]犬□{拗折}
kʰye[5]劝
ŋye[3]软
xye[1]靴轩掀
xye[2]血穴悬玄炫舷弦
ye[1]鸳渊冤曰
ye[2]越阅悦月元原员源园圆缘援媛袁猿辕沿铅
ye[3]远阮哕{欲呕}抈{拗折}
ye[5]院愿怨
pæ[1]□{跛}□{女阴}
pæ[3]摆
pæ[5]败拜稗
pʰæ[2]牌排徘
pʰæ[3]挀{张开两臂量长短}
pʰæ[5]派
mæ[2]埋
mæ[3]买
mæ[5]卖迈劢
tæ[1]呆
tæ[3]歹逮
tæ[5]代贷袋待带戴怠
tʰæ[1]胎
tʰæ[2]台抬苔
tʰæ[5]太态泰
næ[1]奶{人称}
næ[3]乃奶{乳}
næ[5]耐奈
læ[1]攋{捡别人丢弃的东西叫捡～}
læ[2]来攋{尿床叫～尿}
læ[3]□{液体渗漏}
læ[5]赖癞
tsæ[1]灾栽哉斋
tsæ[3]宰崽
tsæ[5]再在寨载
tsʰæ[1]猜差钗
tsʰæ[2]才财材裁柴豺
tsʰæ[3]彩采睬踩
tsʰæ[5]蔡菜
sæ[1]腮筛
sæ[5]赛晒
kæ[1]该阶皆街
kæ[3]改解{～开}
kæ[5]盖钙丐界介芥疥蚧届戒诫械尬尴尬解{押～}鎅{锯，截}
kʰæ[1]开
kʰæ[3]楷凯垲{这里叫这～}
kʰæ[5]慨概
ŋæ[1]挨哀
ŋæ[2]埃捱硙{磨，磨蹭}
ŋæ[3]矮蔼霭
ŋæ[5]爱碍艾隘
xæ[2]孩还
xæ[3]海□{一种酒坛叫酒～}
xæ[5]害亥
tsuæ[3]□{扔}
tsʰuæ[1]揣搋
tsʰuæ[3]揣{～测}
tsʰuæ[5]踹膪{猪牛胸腹部肥而松的肉}
suæ[3]摔甩
suæ[5]帅率{～领，又}
kuæ[1]乖
kuæ[3]拐
kuæ[5]怪
kʰuæ[3]块□{拔}
kʰuæ[5]快筷侩刽会{～计}
xuæ[2]怀槐淮
xuæ[5]坏
uæ[1]歪
uæ[5]外
pəi[1]背杯碑卑婢悲
pəi[5]倍焙蓓背贝辈
pʰəi[1]胚坯
pʰəi[2]培陪赔裴
pʰəi[3]呸
pʰəi[5]配佩沛帔
məi[1]爢{软烂}
məi[2]煤媒梅酶霉莓枚玫
məi[3]美每
məi[5]妹昧寐魅
fəi[1]飞非菲啡扉妃
fəi[2]肥
fəi[3]匪诽翡
fəi[5]费废肺痱
təi[1]堆
təi[3]兑{批发，贩}
təi[5]对队碓兑{～换}
tʰəi[1]推
tʰəi[2]颓
tʰəi[3]腿
tʰəi[5]退蜕
nəi[3]馁
nəi[5]内
ləi[1]镭{铜元叫铜～}
ləi[2]雷擂蕾
ləi[3]累垒磊
ləi[5]类泪傫{疲劳}
tsəi[3]嘴
tsəi[5]最罪醉
tsʰəi[1]崔催摧
tsʰəi[2]随隋
tsʰəi[5]脆翠萃瘁粹
səi[1]虽绥
səi[3]髓
səi[5]岁碎遂隧祟
kəi[5]给
xəi[3]嘿
əi[1]欸{～哟咧}
əi[3]欸{招呼声}
əi[5]欸{叹词表提醒}
tsuəi[1]追锥
tsuəi[5]坠缀赘缒
tsʰuəi[1]吹炊
tsʰuəi[2]锤捶槌
suəi[1]衰{倒霉}
suəi[2]谁垂陲
suəi[3]水
suəi[5]税睡瑞
kuəi[1]规归龟闺硅圭
kuəi[3]轨鬼诡
kuəi[5]贵桂柜跪瑰癸鳜
kʰuəi[1]亏盔窥
kʰuəi[2]奎魁逵葵馗夔
kʰuəi[3]傀
kʰuəi[5]溃馈愧
xuəi[1]挥辉灰恢徽
xuəi[2]回蛔茴
xuəi[3]毁悔
xuəi[5]汇绘慧惠卉贿讳诲穗会{开～}
uəi[1]威煨
uəi[2]为违围韦苇微薇唯惟维危桅
uəi[3]尾委伟纬萎
uəi[5]为伪位未味卫胃谓尉慰畏餵魏
pau[1]包胞苞褒煲
pau[3]宝饱保葆堡
pau[5]抱鲍铇曝暴爆报豹雹菢{孵}
pʰau[1]抛脬{尿～}泡{松软不实}
pʰau[2]刨咆袍匏{大脖子病叫～颈}
pʰau[3]跑
pʰau[5]炮泡
mau[1]猫
mau[2]毛矛茅锚
mau[3]铆卯
mau[5]冒帽貌
tau[1]刀
tau[3]导倒岛捣祷
tau[5]到盗稻蹈道
tʰau[1]掏涛滔
tʰau[2]陶淘萄逃桃绹{捆绑}
tʰau[3]讨
tʰau[5]套
nau[3]脑
nau[5]闹
lau[1]捞{～好处}
lau[2]劳唠痨牢捞{打～}
lau[3]老佬
lau[5]□{淫荡}
tsau[1]糟遭招召沼昭钊朝{早晨}
tsau[3]早枣澡藻蚤找爪
tsau[5]造灶皂赵兆罩照肇
tsʰau[1]操抄钞超
tsʰau[2]槽曹嘈巢嘲潮朝{～代}
tsʰau[3]草抄吵炒
tsʰau[5]糙噪燥躁
sau[1]骚搔臊稍筲烧
sau[2]韶□{打揍}□{大吃}
sau[3]扫嫂少
sau[5]哨梢捎艄潲少绍邵
kau[1]高篙膏羔糕
kau[3]搞稿镐
kau[5]告窖
kʰau[1]敲
kʰau[3]考烤拷铐□{睾丸叫卵～子}
kʰau[5]靠
ŋau[2]熬敖鳌
ŋau[3]袄咬
ŋau[5]澳奥傲懊拗坳
xau[1]蒿薅
xau[2]毫豪嚎壕姣{淫荡}
xau[3]好{美～}
xau[5]号耗浩好{喜爱}
piau[1]标膘彪膘镖飙滮儦
piau[3]表裱婊
pʰiau[1]漂飘
pʰiau[2]瓢嫖
pʰiau[3]瞟
pʰiau[5]票漂鳔
miau[1]瞄{偷看}
miau[2]苗描瞄{～准}
miau[3]秒渺藐
miau[5]妙庙缪谬
tiau[1]刁雕碉凋
tiau[3]屌
tiau[5]调掉吊钓
tʰiau[1]挑
tʰiau[2]迢条调跳{小孩打闹}
tʰiau[3]斢{调换}
tʰiau[5]跳眺
niau[1]□{黏稠}
niau[3]鸟
niau[5]尿
liau[1]撩
liau[2]辽疗僚燎潦镣嘹獠聊寥
liau[3]了
liau[5]料撂
tsiau[1]蕉焦礁椒
tsiau[2]嚼
tsiau[3]剿
tsʰiau[1]锹劁悄缲
tsʰiau[2]瞧憔谯樵
tsʰiau[5]俏峭
siau[1]消销肖硝霄宵箫萧
siau[3]小
siau[5]笑
kiau[1]交郊胶茭教矫骄娇浇
kiau[3]搅狡饺绞铰
kiau[5]缴教轿叫藠觉{睡～}
kʰiau[2]桥乔侨荞
kʰiau[3]巧
kʰiau[5]窍翘
xiau[1]嚣
xiau[2]爻淆
xiau[3]晓
xiau[5]较效校哮孝酵
iau[1]腰邀妖夭吆幺{～二三}要{～求}
iau[2]摇遥谣瑶窑姚尧饶
iau[3]舀扰绕挠
iau[5]耀要{需～}
pəu[1]踎{蹲}
məu[2]谋
məu[3]某亩牡
məu[5]贸茂
fəu[2]浮
fəu[3]否
fəu[5]阜埠{商～}
təu[1]逗兜蔸
təu[3]斗抖陡
təu[5]豆痘鬥{争～}
tʰəu[1]偷
tʰəu[2]头投
tʰəu[3]敨{休息}
tʰəu[5]透
ləu[1]搂{掏挖}
ləu[2]楼喽
ləu[3]搂篓缕褛{西式大衣}
ləu[5]漏陋
tsəu[1]邹周洲州舟
tsəu[3]走肘
tsəu[5]奏揍做骤皱绉宙昼咒
tsʰəu[1]抽
tsʰəu[2]仇酬愁筹畴稠绸
tsʰəu[3]丑
tsʰəu[5]凑臭
səu[1]搜馊收
səu[3]擞艘叟首手守
səu[5]嗽受授售寿兽瘦
kəu[1]沟钩勾阄
kəu[2]□{量词团，块　}
kəu[3]狗苟
kəu[5]构够购垢
kʰəu[1]抠
kʰəu[3]口
kʰəu[5]扣叩寇蔻
ŋəu[1]欧鸥殴讴
ŋəu[3]藕偶呕
ŋəu[5]沤怄熰
xəu[1]佝{弯腰}
xəu[2]猴侯喉
xəu[3]吼
xəu[5]后厚候
tiəu[1]丢
niəu[1]扭{揪}
niəu[2]牛
niəu{3}纽扭{拧}
niəu[5]鼼{皱}
liəu[1]溜{～走}馏
liəu[2]流硫刘留瘤榴
liəu[3]柳绺
liəu[5]溜{流畅}
tsiəu[1]揪
tsiəu[3]酒
tsiəu[5]就
tsʰiəu[1]秋
tsʰiəu[2]囚泅
tsʰiəu[3]啾{嚏喷叫阿～}
siəu[1]修羞
siəu[5]袖锈秀绣嗅
kiəu[1]纠赳鸠
kiəu[3]九久灸韭
kiəu[5]究旧救臼舅柩疚咎
kʰiəu[1]丘邱
kʰiəu[2]求球
xiəu[1]休
xiəu[3]朽
iəu[1]幽悠优忧
iəu[2]由邮油游尤犹鱿柔揉蹂
iəu[3]有友酉
iəu[5]又右佑釉柚幼诱
xiu[2]旭蓄畜郁
iu[2]肉辱褥育毓欲浴狱
pã[1]班斑扳颁般搬瘢
pã[3]板版
pã[5]办扮瓣半拌伴绊畔
pʰã[1]攀潘
pʰã[2]蟠盘磐
pʰã[5]盼襻判叛
mã[1]蹒{攀，爬}
mã[2]瞒蛮馒
mã[3]满
mã[5]慢曼蔓幔漫
fã[1]翻番幡藩蕃
fã[2]烦繁凡帆矾梵樊
fã[3]反返
fã[5]范犯贩饭泛
tã[1]单耽担丹
tã[3]胆疸
tã[5]但旦担淡弹蛋诞氮
tʰã[1]摊滩瘫贪
tʰã[2]谈坛痰谭潭弹檀罎
tʰã[3]坦袒毯
tʰã[5]炭碳探叹
nã[2]男南楠腩难{～易}
nã[5]难{灾～}
lã[1]篮{菜～}
lã[2]兰栏拦蓝篮婪阑澜岚
lã[3]懒览揽缆榄
lã[5]烂滥谰
tsã[1]簪詹瞻
tsã[3]盏攒斩崭展黵{蘸，搌}
tsã[5]暂赞灒錾站蘸占战栈
tsʰã[1]餐参搀
tsʰã[2]残蚕惭馋谗缠蟾蝉阐禅漦{涎沫}
tsʰã[3]惨产铲
tsʰã[5]灿
sã[1]三山衫删珊
sã[3]伞闪陕散{药粉}
sã[5]疝汕讪善膳赡扇煽散{～会}
kã[1]干杆肝甘柑尴
kã[3]感赶敢橄擀秆竿减
kã[5]赣鉴舰幹间{～开}
kʰã[1]刊勘堪龛
kʰã[3]坎砍侃槛阚
kʰã[5]看
ŋã[1]安鞍氨桉庵鹌
ŋã[2]岩癌
ŋã[5]按案暗岸谙黯雁晏
xã[1]酣憨鼾
xã[2]含函涵寒韩衔咸{～丰，～阳}
xã[3]喊罕
xã[5]汉焊旱捍悍汗翰憾限陷馅
tuã[1]端
tuã[3]短断{拦截}
tuã[5]段锻缎煅断{～绝}
tʰuã[2]团
nuã[3]暖
luã[1]□{钻，穿越}
luã[2]峦挛孪鸾銮圞
luã[3]卵{男阴}
luã[5]乱
tsuã[1]钻专砖
tsuã[3]转
tsuã[5]赚钻纂转传撰篆
tsʰuã[1]穿川钏
tsʰuã[2]传椽
tsʰuã[3]喘
tsʰuã[5]串窜篡
suã[1]酸栓拴闩
suã[5]算蒜
kuã[1]关官棺鳏观{参～}冠{鸡～}
kuã[3]管馆莞
kuã[5]惯贯罐灌观{道～}冠{～军}
kʰuã[1]宽
kʰuã[3]款
xuã[1]欢
xuã[2]环还桓
xuã[3]缓
xuã[5]换唤痪焕涣幻患宦
uã[1]弯湾剜豌
uã[2]完玩顽丸
uã[3]晚碗挽宛腕惋
uã[5]万
pən[1]奔崩绷
pən[3]本
pən[5]笨
pʰən[1]烹喷{～水}
pʰən[2]盆
mən[1]闷{性格内向}
mən[2]门们扪
mən[5]闷焖
fən[1]分纷芬
fən[2]坟焚
fən[3]粉
fən[5]份氛忿奋粪愤
tən[1]敦墩蹲灯登
tən[2]□{跺}
tən[3]等戥
tən[5]吨顿钝炖囤盾遁邓凳蹬
tʰən[1]吞饨
tʰən[2]屯臀囤腾藤誊疼
tʰən[5]褪
nən[1]□{搔腋窝以及被搔的感觉}
nən[2]能
nən[3]恁谂{想}
nən[5]嫩
lən[1]陯{下陷}
lən[2]轮伦沦
lən[3]冷
lən[5]论
tsən[1]尊遵真针珍贞侦帧斟砧谆罾增争睁筝蒸徵征赠憎甑挣{～扎}曾{姓}正{～月}
tsən[3]怎诊疹枕拯整
tsən[5]镇阵振赈震圳俊骏峻竣浚证政症郑挣{～钱}正{～当}
tsʰən[1]村称撑逞
tsʰən[2]存沉臣尘陈忱层成城诚乘承丞程呈惩澄橙曾{～经}
tsʰən[5]寸衬趁秤骋
sən[1]森深身申伸绅呻孙声升生牲笙甥参{人～}
sən[3]审婶沈损笋榫省
sən[5]甚蜃慎肾逊胜盛圣剩
kən[1]根跟耕庚更{三更半夜}
kən[3]埂梗耿
kən[5]更{～加}哏{这样}
kʰən[1]坑吭
kʰən[3]肯啃垦恳
ŋən[1]恩
ŋən[3]□{硌}
ŋən[5]硬
xən[1]亨哼
xən[2]痕衡恒
xən[3]很狠
xən[5]恨
pin[1]宾滨槟鬓膑殡彬斌兵乒冰
pin[3]丙柄炳秉禀饼
pin[5]并病
pʰin[1]姘拼□{箅}
pʰin[2]频贫颦平评苹坪枰萍瓶屏凭
pʰin[3]品
pʰin[5]牝聘拚{～命}
min[2]民名铭酩明盟萌鸣冥瞑螟溟
min[3]敏皿悯闽抿
min[5]命
tin[1]丁钉盯叮疔汀
tin[3]顶鼎
tin[5]定订锭
tʰin[1]厅听{～取}
tʰin[2]停亭庭廷蜓
tʰin[3]挺艇
tʰin[5]听{任由}
nin[1]拎
nin[2]宁拧柠狞泞咛凝
nin[5]赁吝佞
lin[2]零龄灵凌陵棱铃伶玲苓菱鲮
lin[3]凛领岭
lin[5]另令
tsin[1]津精晶睛
tsin[3]侭井
tsin[5]进尽晋静净靖
tsʰin[1]亲青蜻抻
tsʰin[2]秦寻覃岑情晴
tsʰin[3]请
tsʰin[5]侵寝浸沁
sin[1]新心辛芯锌薪星腥猩
sin[2]神辰晨绳
sin[3]醒擤
sin[5]信迅汛讯囟性姓
kin[1]金斤巾筋今京荆经痉惊
kin[3]仅紧谨锦瑾警景颈
kin[5]近禁襟茎境镜竟敬竞兢径胫劲
kʰin[1]轻卿钦
kʰin[2]琴擒禽芹勤
kʰin[3]揿
kʰin[5]庆罄磬
xin[1]欣歆兴{～旺}
xin[2]型形邢刑行桁
xin[5]衅幸杏兴{高～}
in[1]因姻阴音荫鹰婴樱缨蝇应{答应}
in[2]银淫寅吟人仁壬赢盈迎营萤莹
in[3]引蚓隐瘾饮尹忍影映
in[5]认韧印纫刃任胤应{～该}
tsuən[3]准
tsʰuən[1]春椿鹑
tsʰuən[3]蠢
suən[2]循旬询殉徇巡纯醇淳
suən[5]驯顺瞬舜
kuən[3]滚磙
kuən[5]棍
kʰuən[1]坤昆
kʰuən[3]捆
kʰuən[5]困
xuən[1]婚昏荤晕
xuən[2]魂浑馄横
xuən[5]混
uən[1]温瘟
uən[2]文蚊闻紊纹
uən[3]稳吻
uən[5]问
syn[5]蕈{香～}
kyn[1]均钧军君
kyn[3]炯
kyn[5]菌郡
kʰyn[2]群裙琼
kʰyn[3]倾顷
xyn[1]熏勋
xyn[5]训
yn[2]云匀耘芸
yn[3]允永咏
yn[5]孕韵熨泳润闰酝蕴
paŋ[1]帮邦乓
paŋ[3]榜绑膀
paŋ[5]棒蚌谤
pʰaŋ[1]胮{很臭说～臭}
pʰaŋ[2]旁膀螃庞傍
pʰaŋ[5]胖
maŋ[1]甿{墙一堵说一～}
maŋ[2]亡忙盲芒茫氓
maŋ[3]莽蟒
faŋ[1]方芳
