		l	p	k	kʰ	t	pʰ	tʰ	ts	n	s	∅	m	ŋ	tsʰ	x
	8	戀	飯	縣近健鍵踺倦鞬		篆傳		傅	賤漩	韌	選蟮	遠衏暈媛苑爰		願愿院		
#iɔ	1			茄跔												
	2		布												厝	
	3		補													
	4	畧略掠		腳	𨚫郤郄躩戄玃钁蠼				借酌着勺		削拾箾	若約弱籥蒻躍謁箬		虐謔瘧	尺芍勺雀鵲爵婥綽	
	5															靴
	7					着			嚼	箬嬝		藥				
	8		嚼歩			路着爝爍			石妬		蓆					
#uoi	1												𫉭麻磨			
	2		簸	蓋𥂅盖怪𩶦芥幻	㹟	戴帶㿃	破杮	泰太溙	載儎再䵧			爱嫒瑷		巍峞嵬	蔡	
	3	羸		拐䫞踝盖	蒯	魋戴		癩	宰載縡䔂	餒鮾𩗔	帥	懷槐淮騃𥪍				海烸𣖻醢虺
	4		缽砵揆茇	鋤葛	濶	達	潑	㿷太汰	紥		殺煞𨐖萨	𦫪𩕬	抹秣		察	喝
	5			乖㾩䂷				拖	哉災灾渽賳		沙鯊	哀孬歪唯				
	7	辣	鈸			薘柁舵待							末襪靺	我		
	8	賴				大			最		𣻑					害𡟲壞𩟮亥轄
#u	1	爐盧鱸鸕臚蠦顱艫蘆㠠廬		觚				涂		奴		惡於嗚污洿汙	摹模	吳㻍蜈		戱
	2		佈怖佈	錮僱雇顧故固痼	庫褲	蠹妒妬	鋪	吐		詉	疏數数訴愬塑索駟賜肆姒似俟	惡瘀	暯		次醋佽茨栨刺措	傅富副赴賦賻瞨
	3	蘆芦轤魯櫓擄鹵虜	補譜葡	詁煳鼓盬古𦍩估罟賈瞽牯鈷股蠱嘏	苦𨡱虎琥䗂	圖徒啚瘏途荼𨢬塗屠纛堵賭貯𧧶	圃浦甫溥普譜輔哺	吐凸朏兔菟	飼辭祠慈磁祖紫子梓爼阻砠徂沮咀詛	帑孥努㚭	所史㫹㒋	巫誣亡亾菰扶符苻無无胡毋鬍煳蝴葫湖瑚餬狐壺弧滹鳧娬鵡撫侮鈷舞廡膴蕪武	嫫謨母姆姥	㻍娪梧忤仵	鶵此楚	鈇扶府俯腑釜斧黼簠
	4	碌盝甪	剝卜不腹僕勃觳	谷角穀唂觕轂鵠桷嚳	壳殼喹酷	讀裻督篤笜獨筑犢𤘄匵瀆凟跌篫𢷺覩觕	卜𧼱	土	喌		束倐速觫謖孰颯	屋勿渥	歿歾穆繆睦沐		攥矗𩖷	福弗幅黻艴彿髴蝠輻沸覆矱馥茀拂𬓏鑊護獲畫伏
	5			姑沽辜孤鴣罛岵	篐枯骷	都闍	鋪	禿𠟶𢬳怵突𠠔㤕	租孳恣茲嵫資滋鎡姿咨諮鶵孜𤿙粢趦		蘓蔬疏踈酥獅螄師偲思甦私嘶梳斯緦腮廝廁	烏堊鄔塢嵨迂			初麤	夫膚肤敷麩麬戱孚莩罦桴俘呼蚨乎
	7	祿鹿𦗓𧽥	簿部蔀			毒獨	𥩾		自謅族蔟		銊趚	虖	木目	五伍午	戳	窢𠯐
	8	澛滷露路潞輅鷺賂𠿛	步捕縛哺埠			度杜渡荰肚鍍	曝㬍		助胙祚	怒	事士飼食伺仕嗣露巳祀涘󷼕	務霧騖瞀㜈	暮慕墓戊暯募	誤誤悮悟晤寤	覷鑿	父附斛鮒服負婦媍駙䕶戶訃扈腐互仆茯袝
#ia	1					蜘	躃									
	2								蔗鷓藉		舍赦瀉				𨀠	
	3	󷝦					竮		邪斜姐者	惹	寫舍捨	鎁鋣佘冶也野埜			扯且	
	4	𩎕	壁		戞恝齧𦢠	摘			迹跡隻蹟脊鹡蹠跖	鑷	𠠁𣬬			嚙	赤忣插	諕嚇熁
	5			迦伽袈	枝				遮置嗟			呀			賒車𤥭奢𨋓俥	㙤
	7	𥷒		󱏈	𤿷				葉			社射𭛠𢢲蠮		額		
	8					糴			謝		卸㓔	夜麝				
#iaŋ	1	靈	平坪									嬴營	名	迎		
	2		併	鏡𢕭					正		性姓					
	3	嚨	餅	行		呈程脭偵鼎	塀	捵	𬲕			成城			請	
	4						𥒄	聽			聲声					
	5			驚	輕		𨷚栟		正							
	7	領嶺袊領				擲										
	8	令			𢩅	定		鄭				艶焰燄󲨮焱映暎	命			
#iɛ	1						㓟									
	2															
	3											爺愁熱			侈	
	4	詈㦒烈列冽鬣𩢾	鱉鼈袐屄	偈結揭纈祮襭頡擷劫羯槣訐潔絜傑杰榤挈竭桀荚黠	慊歉缺怯疦	跌疊垤蛭軼迭哲喆耊瓞咥	撇撆別𠟈	鐵帖	接椄岊節櫛㾿𧙫襵楫箑淅浙晰捷蚚婕這睫摺		薛屑糏絏洩泄拭𬋖褻爕𮘂葉	𢹐			切竊窃妾濕	血蠍俠
	5					爹				聶挕囁攝躡涅捏󱑸						
	7	裂				蝶牒諜			誱			喫	摵滅蔑篾衊	業鄴𧃎𡿗孽臬帙頁		
	8		別	挾					折		翼				蠘	穴挾叶恊脅𥶬
#y	1	閭驢馿	肥蒲	𠰠		厨橱		槌錘磓鎚硾𥔗	薯𥵟		荽荾	樗盂歟與㾯椳		虞魚漁愚		吁盱訏𠕮
	2		疿鋇𭏨	貴癸鋸句鐻桂季巨倨据踞		著	屁		註蛀鑄注		歲綞暑曙崇恕署𢋂絮庻粹筃	畏			趣翠嘴處䖏	
	3	呂旅梠侶屢縷㛎𡜅寠褸莒𢣻𥶆	匏瓠脯𤙭	葵揆洰渠暌磲衢蕖逵舉矩𥲤筥籧晷踽𨙊璩鬼究軌詭簋𣧼距劊	猪杵	除蒢躇蹰侏槌縮	醭	杼䇡妤佇宁	徐垂邾瓍随隋煑醉主嘴𦈬觜	女	誰殊水黍	儒爲溈韋惟唯闈違圍帷桅鷕於如于瑜予余幃蜍薯蕷茹愉覦渝窬臾庾萸餘旟孺薷顒隅喁堣楡踰逾禹羽乳委諉逶暐煒偉葦瑀洧郼宇㠘與庾踽諛汝痿萎腴		危巍峞嵬娛圄圉語	取鼠娶	許滸䔓詡
	4	僇戮聿遹		菊掬鞠訖𩑦躹諊鞫䤎𨿥㥌屨迄仡汔虡檋	屈𨧱倔詘粬麴䎢曲蛐𠜾𧿻𩣹𧉧髷	竹竺築		畜朒	祝足燭捉粥蜀囑馵妯	朒􁪨恧𧖩衄抐衂	叔粟宿戍戌踧俶淑菽夙肅驌蓿恤䥔述術俗睡䘏鉥𩶄	曄煜熨喐昱欲慾焴噢棫閾域毓育辱鷸庘俼郁彧㮋㦽粵燠𬅜㗜䵥爩𢺴鬻裕澳隩			出炪促蹙䛤黜跾歜㩆斶觸𤓦	旭旮蓄鄐呿勗洫煦頊堶矗
	5			歸𡷖𡨢䝻居巋車裾拘圭規閨珪闚奎窺龜𬺞	𧇊區嶇傴驅昫敺軀樞劬呴姁	蛛追	麱麩麬䴸鋪𤵗菢	㿷	朱硃珠洙茱株趄姝咮侏銖錐顀檇齊𩪀雎緇疽邾䎩諸		須鬚諝胥偦糈醑輸綏需濡書雖殳舒嚅紓	威葳隈餵			媰疽蛆趨趋咀	虚墟輝翬晕暉麾揮嘘歔煇
	7	綠籙淥逯𫘧𦸐菉醁六陸蓼律録琭		具俱炬懼惧㨿拒遽苣訽鉅渠	呿	𦬪术			聚柱駐住炷埾	肉月		屬浴褥縟贖		玉鈺獄鳿	𤛏䠓	
	8	慮累彙酹類戾淚泪捩鑢	吠	跪櫃匱簣掘		墜墮隊箸筯𠡒硾礈軸𦅷𦸏贅	堛圤		悴顇瘁崪椊綷𢃒蕝		遂燧𤎩瑞邃熟塾續叙序澍樹耜𥪡緒	豫芋俞預喩僞窳諭衛位謂喟渭蝟胃慰藯尉愈𥶽睿叡譽譌緯		遇寓禦御馭	秫	雨諱𠅤穗蕙慧卉穢𥶙
#ɛ	1	來		其							貍				臍	
	2		𤑷										咩乜		菜蠆	
	3	勒							仔子		使		鬽			
	4		比㭭伯	格革隔骼嗝膈鬲𮚕	刻克尅剋喀咳𩭽	德得	匐逼珀魄	忒忑踢特慝	則責謮澤謫昃仄幘擇簀節	凹	錫塞瑟𣸢塞𧒓穑𠻮色虱𣹣濇澁	壓擪狭	默陌貃貉	額𦢠虢馘厄𨶯	折漆側測策徹轍撤	核覈黑赫𢡀郝
	5					𬂌			栽		毸					
	7	勒栗𠞉癧搮	白帛			宅塌			簺			㹙	墨密脉脈茉	逆額		䞦
	8					直				饇	李				賊	
#iu	1	榴璢磂		斛𧢳		綢紬		籌躊		牛䒜𩲍		油				
	2			宄救疚廐		宙晝			咒		秀綉繍鏽鏥𢓵首獸狩宿琇袖	幼菢			惆	
	3	劉騮留流瘤琉柳鰡		求蚪虬𥭑絿裘毬球		儔裯疇		丑	囚酒肘䏔箒	扭鈕紐扭	手首守	由繇遊猷酬酧猶輶蝣泅尤訧柔游讐遒鮋郵斿有友			醜	朽韮
	4			久九玖糾赳灸羙								黝				
	5		彪滮		丘邱鳩蚯	丢		抽瘳𥭛醔𩝯	州洲周舟週稠		脩修羞	憂優耰𪊛呦幽懮攸			秋鞦鰍	庥休貅嗅齅
	7			柩咎䛮𢛃慦		紂胄䅢籀						又酉誘				
	8	鎦鎏溜霤		舊舅	臼			柱	就㠇啁鷲鵰		壽受授綏售岫	祐佑右釉宥囿牗柚侑	謬繆袂		樹	
#e	1	樓						頭	𩵌				貓茅矛鍪蟊	咼		
	2			彀硣姤媾構够	叩扣釦寇蔻簆𧥣	斵𩰖鬪鬦		䚵透	奏灶竈縐𧛸皺䪮湊		嗽掃埽㾪痩				臭凑湊	
	3	摟㜢螻嘍髏婁僂蔞簍𤬏		猴𤫱垢坸笱耈苟枸雊	口	𭠘斗枓蚪炓𧘞陡抖	掊否缶涪剖		走𧎮蚤		叟瞍䏂	侯餱喉𡹵呌狗	謀侔牟眸䏬麰劺蛑鉾牡𤱔𦳑	𫊇耦𣕃偶腢齵	巢	
	4						俖囨									
	5	鏤剾		溝勾鈎𠛎	篐	兜㨮侸		偷鍮媮	鄹鄒緅謅騶糟			瓯殴謳嘔歐			搊摳	
	7			𫝗		䩦			㷮							
	8	漏陋廔瘺		搆購遘詬訽		竇讀豆䱏荳痘脰				𦓶	老		茂懋貿			後候郈垕逅阜后𩼹覆
#ɔŋ	1	廊郎螂榔𧚅	旁	虹崗岡		豘闛腸	胖	糖				韽丸	門們邙		床牀䭚	㾗𪗜杭
	2	狼瑯琅浪稂烺筤圇朗𧜛	謗	棍鋼焵艮槓絳灌降𥪴棵	囥困勘伉悃亢匟墈	當儅頓		褪	𨤃纉瓉壯葬𰿅銌鑽	𣌝	遜蒜丧壻算筭噀潠巽	暗黯隌𩃗		駠	寸闖䢢創㔙刌	
	3		防盆㥬仿本榜綁膞𣯊	罁缸袞滚㨰敢講䜇輥管感囫睔鯀	綑懇慷𡍭壙儣	堂螳膛豚長搪塘唐屯軘𨃠棠黨党楯躉㚍窀涱搗	雱滂霶	倘盪攩	藏存荐苫	𧅺攮紉暧𬊺𥐱	損吮燹爽顙磉塽	杭行䘕航稳刎洚	茫忙盳盲杗鋩𥝕汒莾蟒漭蝱	卯笷	厰敞氅昶	狼
	4		蚌塝				艕									
	5			江扛掆釭綱罡丨豇甘肛剛柑疳疳	坤康昆糠髠崑琨焜躿鵾鯤錕𨝎	當璫礑墩敦齒鐺惇諄	𨍩	湯吞瞠	尊遵樽罇粧僔荘賍贜庄装鱒𭗶𤮐蹲牂		孫蓀霜孀鸘喪驦礵桑拴㔼酸痠	輼秧煴温氲㬈瘟𥠺𩥈韞緼庵菴	戅吂		倉瘡蒼愴忖村凔𥦗牕傖	昏惛婚𣇲瘒葷驩薨
	7	蹍			硱	㶧			狀	漾		臖		䭺		
	8	論㫰曂浪蒗㫻	棒鈍			遁遯段緞撞蕩斷頓逿		彖爣	藏狀𦛊臓	嫩𡞾󰷖	蛋卵	𥮕	悶㥃	歞		項混
#oŋ	1	𫅍礱籠櫳			埪銎悾	箇筩𤭆	𩐛𩐨𨋪篷蓬綘㦀𢁒鬔	桐童蟲鼕	叢藂󷧒		聾		夢			埪銎
	2	壠壟	放	貢愩灨	空	棟凍蝀	𦜍		粽		宋送	甕蓊	儚𫎇幪濛𨞫朦曚艨矇𩦺鸏靀䙩猛蜢䖟			𥧡諷
	3	瓏朧䆍𠔠圇竉籠	溤房	𣽣港	孔恐	銅同仝童桐僮瞳彤穜艟曈朣峒𦏆橦𦨴潼氃𦒍侗𦡂蕫董	紡捧抙琫𫗉	桶統𤃶	崇總鬃聳冢	農辳儂	𢱤俕	閎洪綋泓宏紅逢黌鴻				哄
	4		枋	工公蚣功攻	𢽦	涷	䭰馞	𪔝								
	5				空崆涳箜	東𩂓冬㤏佟	蜂	通蓪熥侗	宗琮踪棕椶䈺𩦲		雙𨈂鬆	翁鶲䱵			䓤聰燪囪	豐風丰峯灃魴酆鋒封葑烘楓烽靊瘋
	7	隴碖	埲		𪔣	動		闛	𨲇鬉𬗵𦆟	弩			𦁧			
	8	弄㑝梇𨛓哢𢙱衖襱𧙥		共		重洞䆚	𢅯蹼	痛恫慟		膿			問夢梦			俸奉鳳巷蕻
#uai	1															
	2															
	3															
	4															𤼵血
	5															
	7															罰
	8															
#uɔŋ	1															
	2															放
	3											文紋蚊聞				渾髣粉倣訪扮
	4															
	5															方坊芳妨分
	7															
	8											望𪤀爰旺王妄紊				分憤忿
#a	1		爬朳耙	跏		茶𭶗	脬					唲	嬷痲麻䳸	衙牙芽笌𩨠疨砑		霞瑕遐蝦赮猳蕸䪗
	2	喇	覇伯壩灞欛叭	駕價架假稼			怕帕帊		詐迮𧧻奼𥰾榨吒做	哪𥍲	掐	㰳	牳拇		䖳	嫁
	3		把弝靶	葭豭賈假叚嘏𪆲檟婽斝斚		打𨃓			查	那		啞瘂㝞𢛟	蟇馬瑪鰢媽	雅蕥㿿		
	4	狧𧞪喇蜭	百伯栢魃犮拔馛跋𢹐蘗	甲胛鉀隔夾槅膈橄郟覺	客𩭽	搭妲答䋎溚䠤𧝡𩍈詚𬭞鎉橽	拍	塔漯撻㒓㳫闥榻塌𩥑𧪦榙𪔐溻貼䴴怗呫𩝣蟽𤒻	?劄匝札扎蚻紥𠢡	納訥內𩚛妠軜鈉𦊔𪗝豽	薩塞霎撒簺嗄	鴨押壓軛䶎		嚙𦢠	插冊册歃喢	學峽篋浹𡒊槣匣狎
	5	剌拉	𤆵疤芭巴葩笆鈀夿𤜱𢻷	佳嘉枷耞加伽笳袈迦家	掯	爹		他	楂咱皶𥹁臢垘渣		紗砂沙裟㠺𤵌㸺髿桬鈔	鴉阿了谺	麥打		差叉杈瘥	
	7	臘獵䃳蠟𢅭鑞爉𩃜𪙷𩘊	灹鵓	夾	笚	跢	鋍𩰲𩑼		雜閘㔢䥷䕹㵶雥𧬩卡	拿拏笝	韮𩂴𢄌洓	下𢇗	罵	嶽岳		
	8		白帛			踏碟	壀𪌰餑	叠	乍					迓訝亞砑		夏厦下學暇芐
#ɔ	1	羅鑼籮𤄷䝁欏騾				哆				䵙挪㰙哪		𭸟󶲩	摩	峩峨		㗾歑
	2	邏駱	播		去		破跛叵尀		佐						錯鎈鑢䥨剉挫	
	3	囉	婆蔢		可	駝䭾掏鋾陀陁跎沱逃迯佗𫜝躱朶垜𥿰	頗	妥	左	儺	鎖琑嗩	河何荷稿	魔	娥莪哦峩蛾我		
	4	樂烙雒駱	博膊賻亳駁煿搏縛	各鴿閣個箇个合覺蛤傕	愨珏搉凅恪磕瞌確愘硞嗑𢩘	琢奪卓棹𩭟趠斵䐾涿泜𢧈硺沰鐸𢜬啄	粕樸拍撲璞攴鏷朴	託托柝籜拓𢫳蘀槖𧘐	作濁酢倅擢昨柞濯	諾訧訥汭掿	索縮蹜㫬嗍	惡齷握幄沃喔剭偓鋈鉑㷈𪁕遏	膜瞙莫麽鏌	𩘮諤訛吪愕咢堮𨺨萼鄂鍔鶚遌噩俄	逪炪戳	紇盍曷霍藿貉𢾩齕𮋎
	5		菠皤褒鄱波	哥歌𪃿	柯珂坷哿軻苛	多	波坡陂	拖			繅睃桫挱挲梭𩺳	呵㰤妸	摸		蹉艖磋嵯搓	呵
	7	絡𦃆落	薄穙箔𥭖	斠	㪃	𢧉	𢶉𦭻		鑿	㖠		啊學	瘼幕		㪬斮	
	8	栳	泊		搉	惰			座坐	懦愞穤	鐲		磨	餓𥃨囮		賀合鸖鸒闔盒狎褐
#iɔŋ	1	凉量梁糧粮粱𨄈樑輬							墻牆廧嬙艢檣裳	娘釀		陽王揚楊煬烊暘瘍羊洋佯颺痒霷易禓鍚徉				
	2					脹帳賬韔瘬漲		暢𦿄𥠴悵	將醬瘴瞕		相像				唱脆	向
	3	良兩魉蜽俩		強襁	強	場長萇腸			庠祥詳翔蔣奬掌鞝槳	娘釀	賞想鮺	常鏛𥋤償嫦姮𠹉養諹影		仰	搶	享饗餉響响
	4															
	5			姜薑麠𪁸殭	腔羌𨴑疆畺韁僵㩖𥇉匡眶筐框邼控	張粻			章璋麞獐彰嫜樟漳槳䊢𢕔嶂障將		商箱相廂湘𪄲傷襄鑲觞蔏勷殇鑲瓖緗	央泱殃鞅鴦𣃝𪚻			昌閶猖菖鯧娼鏘𪂇倡鎗謒	香鄉麘
	7	兩輛				杖丈			癢			上				
	8	亮諒量喨		謽屈		仗丈		杖	上匠𪀘	讓	尚象像	恙壤養样禳爙漾攘讓			鞝勨䴂	
