列1	列2	列3	列4	湖州话字表					
詞	词	dzɿ¹²	dzy2						
祠	祠	dzɿ¹²	dzy2						
伺	伺	dzɿ¹²	dzy2						
？	？	dzɿ¹²	dzy2	蜂~人					
苧	苎	dzɿ³¹	dzy4	~麻					
柱	柱	dzɿ³¹	dzy4						
住	住	dzɿ³¹	dzy4						
痔	痔	dzɿ³¹	dzy4						
雉	雉	dzɿ³¹	dzy4						
署	署	dzɿ²⁴	dzy6						
薯	薯	dzɿ²⁴	dzy6						
滯	滞	dzɿ²⁴	dzy6						
治	治	dzɿ²⁴	dzy6						
書	书	sɿ⁴⁴	sy1	讀~					
舒	舒	sɿ⁴⁴	sy1						
輸	输	sɿ⁴⁴	sy1	贏~					
梳	梳	sɿ⁴⁴	sy1						
斯	斯	sɿ⁴⁴	sy1						
撕	撕	sɿ⁴⁴	sy1						
施	施	sɿ⁴⁴	sy1						
私	私	sɿ⁴⁴	sy1						
詩	诗	sɿ⁴⁴	sy1						
師	师	sɿ⁴⁴	sy1						
獅	狮	sɿ⁴⁴	sy1						
屍	尸	sɿ⁴⁴	sy1						
尿	尿	sɿ⁴⁴	sy1						
司	司	sɿ⁴⁴	sy1						
絲	丝	sɿ⁴⁴	sy1						
？	？	sɿ⁴⁴	sy1	/ɦiaŋ˩˨ ~ tʰaʔ˥/：音楊師塔：白綠色的蟬，體型小，黑色大蟬稱蟬di。					
暑	暑	sɿ⁴²	sy3	~假					
黍	黍	sɿ⁴²	sy3						
死	死	sɿ⁴²	sy3						
屎	屎	sɿ⁴²	sy3						
使	使	sɿ⁴²	sy3						
史	史	sɿ⁴²	sy3						
駛	驶	sɿ⁴²	sy3						
始	始	sɿ⁴²	sy3						
水	水	sɿ⁴²	sy3	白					
庶	庶	sɿ³⁵	sy5						
恕	恕	sɿ³⁵	sy5						
輸	输	sɿ³⁵	sy5	運~					
世	世	sɿ³⁵	sy5						
勢	势	sɿ³⁵	sy5						
賜	赐	sɿ³⁵	sy5						
四	四	sɿ³⁵	sy5						
肆	肆	sɿ³⁵	sy5						
試	试	sɿ³⁵	sy5						
矢	矢	sɿ³⁵	sy5						
如	如	zɿ¹²	zy2						
匙	匙	zɿ¹²	zy2						
似	似	zɿ¹²	zy2						
時	时	zɿ¹²	zy2						
鰣	鲥	zɿ¹²	zy2						
儒	儒	zɿ¹²	zy2						
馳	驰	zɿ¹²	zy2						
穗	穗	zɿ¹²	zy2	麥~頭					
餈	餈	zɿ¹²	zy2						
汝	汝	zɿ³¹	zy4						
乳	乳	zɿ³¹	zy4						
豎	竖	zɿ³¹	zy4						
是	是	zɿ³¹	zy4						
巳	巳	zɿ³¹	zy4						
仕	仕	zɿ³¹	zy4						
士	士	zɿ³¹	zy4						
市	市	zɿ³¹	zy4						
持	持	zɿ³¹	zy4						
恃	恃	zɿ³¹	zy4						
樹	树	zɿ²⁴	zy6						
誓	誓	zɿ²⁴	zy6						
逝	逝	zɿ²⁴	zy6						
氏	氏	zɿ²⁴	zy6						
自	自	zɿ²⁴	zy6						
示	示	zɿ²⁴	zy6						
視	视	zɿ²⁴	zy6						
嗜	嗜	zɿ²⁴	zy6						
祀	祀	zɿ²⁴	zy6						
自	自	zɿ²⁴	zy6						
寺	寺	zɿ²⁴	zy6						
嗣	嗣	zɿ²⁴	zy6						
飼	饲	zɿ²⁴	zy6						
事	事	zɿ²⁴	zy6						
侍	侍	zɿ²⁴	zy6						
稚	稚	zɿ²⁴	zy6						
屄	屄	piᶽ⁴⁴	pi1						
比	比	piᶽ⁴²	pi3						
閉	闭	piᶽ³⁵	pi5						
臂	臂	piᶽ³⁵	pi5						
泌	泌	piᶽ³⁵	pi5						
秘	秘	piᶽ³⁵	pi5						
鄙	鄙	piᶽ³⁵	pi5						
批	批	pʰiᶽ⁴⁴	phi1						
披	披	pʰiᶽ⁴⁴	phi1						
？	？	pʰiᶽ⁴²	phi3	~草：除草；可能是“㓟“或“𠜱”？					
屁	屁	pʰiᶽ³⁵	phi5						
譬	譬	pʰiᶽ³⁵	phi5	~喻					
皮	皮	biᶽ¹²	bi2						
疲	疲	biᶽ¹²	bi2						
脾	脾	biᶽ¹²	bi2						
痺	痺	biᶽ¹²	bi2						
琵	琵	biᶽ¹²	bi2						
敝	敝	biᶽ¹²	bi2						
幣	币	biᶽ¹²	bi2						
弊	弊	biᶽ¹²	bi2						
肥	肥	biᶽ¹²	bi2	白讀：~皂					
被	被	biᶽ³¹	bi4	~頭					
庇	庇	biᶽ²⁴	bi6						
避	避	biᶽ²⁴	bi6						
鐾	鐾	biᶽ²⁴	bi6	刀~兩~					
渳	渳	miᶽ⁴⁴	mhi1	~點酒：喝一點酒					
咪	咪	miᶽ⁴⁴	mhi1						
米	米	miᶽ⁴²	mhi3						
未	未	miᶽ³⁵	mhi5	白讀					
？	？	miᶽ³⁵	mhi5	~米：玉米					
味	味	miᶽ³⁵	mhi5	白讀					
迷	迷	mɦiᶽ¹²	mi2						
彌	弥	mɦiᶽ¹²	mi2						
謎	谜	mɦiᶽ¹²	mi2						
非	非	fiᶽ⁴⁴	fi1						
飛	飞	fiᶽ⁴⁴	fi1						
妃	妃	fiᶽ⁴⁴	fi1						
匪	匪	fiᶽ⁴²	fi3						
榧	榧	fiᶽ⁴²	fi3						
翡	翡	fiᶽ⁴²	fi3						
廢	废	fiᶽ³⁵	fi5						
肺	肺	fiᶽ³⁵	fi5						
費	费	fiᶽ³⁵	fi5	~用					
疿	疿	fiᶽ³⁵	fi5						
維	维	viᶽ¹²	vi2						
唯	唯	viᶽ¹²	vi2						
惟	惟	viᶽ¹²	vi2						
肥	肥	viᶽ¹²	vi2	文					
微	微	viᶽ¹²	vi2						
尾	尾	viᶽ³¹	vi4	文讀：結~					
吠	吠	viᶽ³¹	vi4						
未	未	viᶽ²⁴	vi6						
味	味	viᶽ²⁴	vi6						
費	费	viᶽ²⁴	vi6	姓~					
低	低	tiᶽ⁴⁴	ti1						
爹	爹	tiᶽ⁴⁴	ti1	文讀					
抵	抵	tiᶽ⁴²	ti3						
底	底	tiᶽ⁴²	ti3						
帝	帝	tiᶽ³⁵	ti5						
隸	隶	tiᶽ³⁵	ti5						
梯	梯	tʰiᶽ⁴⁴	thi1						
涕	涕	tʰiᶽ⁴⁴	thi1						
體	体	tʰiᶽ⁴²	thi3						
替	替	tʰiᶽ³⁵	thi5						
剃	剃	tʰiᶽ³⁵	thi5						
提	提	diᶽ¹²	di2						
題	题	diᶽ¹²	di2						
蹄	蹄	diᶽ¹²	di2						
啼	啼	diᶽ¹²	di2						
？	？	diᶽ¹²	di2	蟬~：蟬。黑色的蟬，體型大。可能為蟬啼/蟬蝶。白綠小蟬為楊師太。（赤松祐子註：蟬在地中的幼蟲）					
弟	弟	diᶽ³¹	di4						
第	第	diᶽ³¹	di4						
遞	递	diᶽ³¹	di4						
地	地	diᶽ²⁴	di6						
哩	哩	liᶽ⁴⁴	lhi1						
鯉	鲤	liᶽ⁴²	lhi3						
理	理	liᶽ⁴²	lhi3						
里	里	liᶽ⁴²	lhi3						
裏	里	liᶽ⁴²	lhi3						
呂	吕	liᶽ⁴²	lhi3						
禮	礼	liᶽ⁴²	lhi3						
履	履	liᶽ⁴²	lhi3						
李	李	liᶽ⁴²	lhi3						
荔	荔	liᶽ³⁵	lhi5						
麗	丽	liᶽ³⁵	lhi5						
慮	虑	liᶽ³⁵	lhi5						
濾	滤	liᶽ³⁵	lhi5						
厲	厉	liᶽ³⁵	lhi5						
勵	励	liᶽ³⁵	lhi5						
利	利	liᶽ³⁵	lhi5						
痢	痢	liᶽ³⁵	lhi5						
吏	吏	liᶽ³⁵	lhi5						
隸	隶	liᶽ³⁵	lhi5						
離	离	lɦiᶽ¹²	li2	~別					
籬	篱	lɦiᶽ¹²	li2						
璃	璃	lɦiᶽ¹²	li2						
梨	梨	lɦiᶽ¹²	li2						
犂	犂	lɦiᶽ¹²	li2						
黎	黎	lɦiᶽ¹²	li2						
釐	厘	lɦiᶽ¹²	li2						
狸	狸	lɦiᶽ¹²	li2						
居	居	tɕiᶽ⁴⁴	ci1						
車	车	tɕiᶽ⁴⁴	ci1	~馬砲					
拘	拘	tɕiᶽ⁴⁴	ci1						
駒	驹	tɕiᶽ⁴⁴	ci1						
鷄	鸡	tɕiᶽ⁴⁴	ci1						
稽	稽	tɕiᶽ⁴⁴	ci1						
飢	飢	tɕiᶽ⁴⁴	ci1						
肌	肌	tɕiᶽ⁴⁴	ci1						
基	基	tɕiᶽ⁴⁴	ci1						
幾	几	tɕiᶽ⁴⁴	ci1	~乎					
機	机	tɕiᶽ⁴⁴	ci1						
譏	讥	tɕiᶽ⁴⁴	ci1						
虀	虀	tɕiᶽ⁴⁴	ci1	~糟：麻煩					
己	己	tɕiᶽ⁴²	ci3						
舉	举	tɕiᶽ⁴²	ci3						
姐	姐	tɕiᶽ⁴²	ci3						
幾	几	tɕiᶽ⁴²	ci3	~個					
几	几	tɕiᶽ⁴²	ci3	茶~					
據	据	tɕiᶽ³⁵	ci5						
鋸	锯	tɕiᶽ³⁵	ci5	文					
句	句	tɕiᶽ³⁵	ci5						
祭	祭	tɕiᶽ³⁵	ci5						
際	际	tɕiᶽ³⁵	ci5						
計	计	tɕiᶽ³⁵	ci5						
繼	继	tɕiᶽ³⁵	ci5						
濟	济	tɕiᶽ³⁵	ci5						
鱖	鳜	tɕiᶽ³⁵	ci5	花~魚：鱖魚					
寄	寄	tɕiᶽ³⁵	ci5						
冀	冀	tɕiᶽ³⁵	ci5						
記	记	tɕiᶽ³⁵	ci5						
既	既	tɕiᶽ³⁵	ci5						
季	季	tɕiᶽ³⁵	ci5						
紀	纪	tɕiᶽ³⁵	ci5						
蛆	蛆	tɕʰiᶽ⁴⁴	chi1						
區	区	tɕʰiᶽ⁴⁴	chi1						
驅	驱	tɕʰiᶽ⁴⁴	chi1						
趨	趋	tɕʰiᶽ⁴⁴	chi1						
溪	溪	tɕʰiᶽ⁴⁴	chi1						
凄	凄	tɕʰiᶽ⁴⁴	chi1						
棲	栖	tɕʰiᶽ⁴⁴	chi1						
妻	妻	tɕʰiᶽ⁴⁴	chi1						
欺	欺	tɕʰiᶽ⁴⁴	chi1						
取	取	tɕʰiᶽ⁴²	chi3						
娶	娶	tɕʰiᶽ⁴²	chi3						
啓	啓	tɕʰiᶽ⁴²	chi3						
企	企	tɕʰiᶽ⁴²	chi3						
起	起	tɕʰiᶽ⁴²	chi3						
杞	杞	tɕʰiᶽ⁴²	chi3						
豈	岂	tɕʰiᶽ⁴²	chi3						
去	去	tɕʰiᶽ³⁵	chi5						
契	契	tɕʰiᶽ³⁵	chi5						
砌	砌	tɕʰiᶽ³⁵	chi5						
器	器	tɕʰiᶽ³⁵	chi5						
棄	弃	tɕʰiᶽ³⁵	chi5						
趣	趣	tɕʰiᶽ³⁵	chi5						
氣	气	tɕʰiᶽ³⁵	chi5						
汽	汽	tɕʰiᶽ³⁵	chi5						
奇	奇	dʑiᶽ¹²	ji2						
騎	骑	dʑiᶽ¹²	ji2						
岐	岐	dʑiᶽ¹²	ji2						
祁	祁	dʑiᶽ¹²	ji2						
鰭	鳍	dʑiᶽ¹²	ji2						
其	其	dʑiᶽ¹²	ji2						
棋	棋	dʑiᶽ¹²	ji2						
期	期	dʑiᶽ¹²	ji2						
旗	旗	dʑiᶽ¹²	ji2						
渠	渠	dʑiᶽ¹²	ji2						
瞿	瞿	dʑiᶽ¹²	ji2						
祈	祈	dʑiᶽ¹²	ji2						
巨	巨	dʑiᶽ¹²	ji2						
俱	俱	dʑiᶽ¹²	ji2						
屐	屐	dʑiᶽ¹²	ji2						
𠍲	𠍲	dʑiᶽ¹²	ji2	他。也作“渠”“佢”					
跪	跪	dʑiᶽ31	ji4	白讀					
具	具	dʑiᶽ²⁴	ji6						
懼	惧	dʑiᶽ²⁴	ji6						
忌	忌	dʑiᶽ²⁴	ji6						
技	技	dʑiᶽ²⁴	ji6						
妓	妓	dʑiᶽ²⁴	ji6						
劑	剂	dʑiᶽ²⁴	ji6						
拒	拒	dʑiᶽ²⁴	ji6						
距	距	dʑiᶽ²⁴	ji6						
櫃	柜	dʑiᶽ²⁴	ji6	白讀					
虛	虚	ɕiᶽ⁴⁴	shi1						
噓	嘘	ɕiᶽ⁴⁴	shi1						
墟	墟	ɕiᶽ⁴⁴	shi1						
須	须	ɕiᶽ⁴⁴	shi1						
鬚	须	ɕiᶽ⁴⁴	shi1						
絮	絮	ɕiᶽ⁴⁴	shi1						
需	需	ɕiᶽ⁴⁴	shi1						
胥	胥	ɕiᶽ⁴⁴	shi1						
婿	婿	ɕiᶽ⁴⁴	shi1	女~					
西	西	ɕiᶽ⁴⁴	shi1						
犀	犀	ɕiᶽ⁴⁴	shi1						
犧	牺	ɕiᶽ⁴⁴	shi1						
系	系	ɕiᶽ⁴⁴	shi1						
係	系	ɕiᶽ⁴⁴	shi1						
熙	熙	ɕiᶽ⁴⁴	shi1						
希	希	ɕiᶽ⁴⁴	shi1						
稀	稀	ɕiᶽ⁴⁴	shi1						
許	许	ɕiᶽ⁴²	shi3						
洗	洗	ɕiᶽ⁴²	shi3						
璽	玺	ɕiᶽ⁴²	shi3						
徙	徙	ɕiᶽ⁴²	shi3						
喜	喜	ɕiᶽ⁴²	shi3						
蟢	蟢	ɕiᶽ⁴²	shi3						
戲	戏	ɕiᶽ³⁵	shi5						
細	细	ɕiᶽ³⁵	shi5						
徐	徐	ʑiᶽ¹²	zhi2						
齊	齐	ʑiᶽ¹²	zhi2						
臍	脐	ʑiᶽ¹²	zhi2						
薺	荠	ʑiᶽ31	zhi4						
序	序	ʑiᶽ31	zhi4						
敍	叙	ʑiᶽ31	zhi4						
緒	绪	ʑiᶽ31	zhi4						
聚	聚	ʑiᶽ31	zhi4						
你	你	ȵiᶽ³¹	nhi3	文					
女	女	ȵiᶽ³¹	nhi3						
語	语	ȵiᶽ³¹	nhi3						
蕊	蕊	ȵiᶽ³¹	nhi3	花~頭：花骨頭					
二	二	ȵiᶽ³⁵	nhi5	白					
貳	贰	ȵiᶽ³⁵	nhi5						
膩	腻	ȵiᶽ³⁵	nhi5						
議	议	ȵiᶽ³⁵	nhi5						
誼	谊	ȵiᶽ³⁵	nhi5						
義	义	ȵiᶽ³⁵	nhi5						
御	御	ȵiᶽ³⁵	nhi5						
禦	御	ȵiᶽ³⁵	nhi5						
遇	遇	ȵiᶽ³⁵	nhi5						
寓	寓	ȵiᶽ³⁵	nhi5						
儀	仪	ȵiᶽ³⁵	nhi5						
毅	毅	ȵiᶽ³⁵	nhi5						
藝	艺	ȵiᶽ³⁵	nhi5						
蟻	蚁	ȵiᶽ³⁵	nhi5						
宜	宜	ȵɦiᶽ¹²	ni2						
沂	沂	ȵɦiᶽ¹²	ni2						
疑	疑	ȵɦiᶽ¹²	ni2						
擬	拟	ȵɦiᶽ¹²	ni2						
愚	愚	ȵɦiᶽ¹²	ni2						
虞	虞	ȵɦiᶽ¹²	ni2						
娛	娱	ȵɦiᶽ¹²	ni2						
倪	倪	ȵɦiᶽ¹²	ni2						
泥	泥	ȵɦiᶽ¹²	ni2						
尼	尼	ȵɦiᶽ¹²	ni2						
兒	儿	ȵɦiᶽ¹²	ni2	白					
於	于	ʔiᶽ⁴⁴	i1						
伊	伊	ʔiᶽ⁴⁴	i1						
醫	医	ʔiᶽ⁴⁴	i1						
衣	衣	ʔiᶽ⁴⁴	i1						
依	依	ʔiᶽ⁴⁴	i1						
倚	倚	ʔiᶽ⁴⁴	i1						
？	？	ʔiᶽ⁴⁴	i1	火光渐滅					
與	与	ʔiᶽ⁴²	i3						
異	异	ʔiᶽ⁴²	i3						
雨	雨	ʔiᶽ⁴²	i3						
禹	禹	ʔiᶽ⁴²	i3						
羽	羽	ʔiᶽ⁴²	i3						
矣	矣	ʔiᶽ⁴²	i3						
椅	椅	ʔiᶽ⁴²	i3						
已	已	ʔiᶽ⁴²	i3						
以	以	ʔiᶽ⁴²	i3						
亦	亦	ʔiᶽ⁴²	i3						
翼	翼	ʔiᶽ⁴²	i3						
于	于	ʔiᶽ³⁵	i5						
宇	宇	ʔiᶽ³⁵	i5						
譽	誉	ʔiᶽ³⁵	i5						
豫	豫	ʔiᶽ³⁵	i5						
預	预	ʔiᶽ³⁵	i5						
喻	喻	ʔiᶽ³⁵	i5						
裕	裕	ʔiᶽ³⁵	i5						
芋	芋	ʔiᶽ³⁵	i5						
意	意	ʔiᶽ³⁵	i5						
易	易	ʔiᶽ³⁵	i5	交~					
系	系	ʔiᶽ³⁵	i5						
憶	忆	ʔiᶽ³⁵	i5						
億	亿	ʔiᶽ³⁵	i5						
肄	肄	ʔiᶽ³⁵	i5						
？	？	ʔiᶽ³⁵	i5	雞~子：雞虱子					
魚	鱼	ɦiᶽ¹²	yi2	文					
漁	渔	ɦiᶽ¹²	yi2						
余	余	ɦiᶽ¹²	yi2						
餘	余	ɦiᶽ¹²	yi2						
盂	盂	ɦiᶽ¹²	yi2						
愈	愈	ɦiᶽ¹²	yi2						
榆	榆	ɦiᶽ¹²	yi2						
逾	逾	ɦiᶽ¹²	yi2						
奚	奚	ɦiᶽ¹²	yi2						
兮	兮	ɦiᶽ¹²	yi2						
飴	饴	ɦiᶽ¹²	yi2						
遺	遗	ɦiᶽ¹²	yi2						
移	移	ɦiᶽ¹²	yi2						
夷	夷	ɦiᶽ¹²	yi2						
姨	姨	ɦiᶽ¹²	yi2						
攜	携	ɦiᶽ¹²	yi2						
波	波	pu⁴⁴	pu1						
菠	菠	pu⁴⁴	pu1						
玻	玻	pu⁴⁴	pu1						
補	补	pu⁴²	pu3						
譜	谱	pu⁴²	pu3						
布	布	pu³⁵	pu5						
怖	怖	pu³⁵	pu5						
坡	坡	pʰu⁴⁴	phu1						
鋪	铺	pʰu⁴⁴	phu1	~設					
頗	颇	pʰu⁴²	phu3						
普	普	pʰu⁴²	phu3						
浦	浦	pʰu⁴²	phu3						
鋪	铺	pʰu⁴²	phu3	店~					
破	破	pʰu³⁵	phu5						
剖	剖	pʰu³⁵	phu5						
婆	婆	bu¹²	bu2						
蒲	蒲	bu¹²	bu2						
菩	菩	bu¹²	bu2						
脯	脯	bu¹²	bu2						
撫	抚	bu¹²	bu2	~順毛：摩挲、用手~貓的背，痛嘚末~~					
部	部	bu³¹	bu4						
簿	簿	bu³¹	bu4						
步	步	bu²⁴	bu6						
埠	埠	bu²⁴	bu6						
孵	孵	bu²⁴	bu6						
伏	伏	bu²⁴	bu6	蹲；~小雞：孵蛋；~太陽：曬太陽					
夫	夫	fu⁴⁴	fu1						
膚	肤	fu⁴⁴	fu1						
敷	敷	fu⁴⁴	fu1						
俘	俘	fu⁴⁴	fu1						
麩	麸	fu⁴⁴	fu1						
府	府	fu⁴²	fu3						
腑	腑	fu⁴²	fu3						
俯	俯	fu⁴²	fu3						
甫	甫	fu⁴²	fu3						
斧	斧	fu⁴²	fu3						
撫	抚	fu⁴²	fu3						
釜	釜	fu⁴²	fu3						
輔	辅	fu⁴²	fu3						
付	付	fu³⁵	fu5						
賦	赋	fu³⁵	fu5						
傅	傅	fu³⁵	fu5						
赴	赴	fu³⁵	fu5						
訃	讣	fu³⁵	fu5						
富	富	fu³⁵	fu5						
副	副	fu³⁵	fu5						
符	符	vu¹²	vu2						
扶	扶	vu¹²	vu2						
芙	芙	vu¹²	vu2						
無	无	vu¹²	vu2						
巫	巫	vu¹²	vu2						
誣	诬	vu¹²	vu2						
浮	浮	vu¹²	vu2	白					
武	武	vu³¹	vu4						
舞	舞	vu³¹	vu4						
阜	阜	vu³¹	vu4						
父	父	vu²⁴	vu6						
腐	腐	vu²⁴	vu6						
附	附	vu²⁴	vu6						
婦	妇	vu²⁴	vu6						
戊	戊	vu²⁴	vu6						
侮	侮	vu²⁴	vu6						
務	务	vu²⁴	vu6						
霧	雾	vu²⁴	vu6						
爸	爸	pa⁴⁴	pa1						
把	把	pa⁴²	pa3	文讀，~握					
擺	摆	pa⁴²	pa3						
拜	拜	pa³⁵	pa5						
派	派	pʰa³⁵	pha5						
怕	怕	pʰa³⁵	pha5	文讀					
排	排	ba¹²	ba2						
牌	牌	ba¹²	ba2						
罷	罢	ba³¹	ba4						
稗	稗	ba²⁴	ba6						
敗	败	ba²⁴	ba6						
媽	妈	ma⁴⁴	mha1						
買	买	ma⁴²	mha3						
媽	妈	ma⁴²	mha3						
賣	卖	ma³⁵	mha5						
埋	埋	mɦa¹²	ma2						
？	？	ta⁴⁴	ta1	la~鬍子：連鬢鬍子					
？	？	ta⁴²	ta3	~~走：嬰兒走路的樣子					
帶	带	ta³⁵	ta5						
他	他	tʰa⁴⁴	tha1						
太	太	tʰa³⁵	tha5						
泰	泰	tʰa³⁵	tha5						
？	？	da³¹	da4	~來~去					
䈆	䈆	da³¹	da4						
大	大	da²⁴	da6						
埭	埭	da²⁴	da6	一~：量詞、次					
奶	奶	na⁴⁴	nha1	吃~~					
奶	奶	na⁴²	nha3	~娘					
那	那	na⁴²	nha3						
挪	挪	na⁴²	nha3						
哪	哪	na⁴²	nha3						
奈	奈	na³⁵	nha5						
㑚	㑚	na³⁵	nha5	~：你們					
拿	拿	nɦa¹²	na2	文讀					
拉	拉	la⁴⁴	lha1						
賴	赖	la³⁵	lha5						
瘌	瘌	la³⁵	lha5						
齋	斋	tsa⁴⁴	tsa1						
抓	抓	tsa⁴²	tsa3	文讀，~一把					
債	债	tsa³⁵	tsa5						
炸	炸	tsa³⁵	tsa5	文讀					
差	差	tsʰa⁴⁴	tsha1	出~					
扯	扯	tsʰa⁴²	tsha3						
綽	绰	tsʰa⁴²	tsha3	~號					
蔡	蔡	tsʰa³⁵	tsha5						
查	查	dza¹²	dza2						
惹	惹	dza³¹	dza4						
篩	筛	sa⁴⁴	sa1						
傻	傻	sa⁴⁴	sa1						
卅	卅	sa⁴⁴	sa1	來~：行，勿來~：不行					
灑	洒	sa⁴²	sa3						
撒	撒	sa⁴²	sa3						
耍	耍	sa⁴²	sa3						
廈	厦	sa³⁵	sa5	大~					
豺	豺	za¹²	za2						
柴	柴	za¹²	za2						
家	家	ka⁴⁴	ka1	白					
加	加	ka⁴⁴	ka1	白					
嘉	嘉	ka⁴⁴	ka1	白					
傢	家	ka⁴⁴	ka1	白					
街	街	ka⁴⁴	ka1	白					
皆	皆	ka⁴⁴	ka1	白					
佳	佳	ka⁴⁴	ka1	白					
階	阶	ka⁴⁴	ka1	~沿石。白					
哥	哥	ka⁴⁴	ka1	~~					
假	假	ka⁴²	ka3	真~。白					
架	架	ka³⁵	ka5	白					
介	介	ka³⁵	ka5	zei是~。白					
界	界	ka³⁵	ka5	白					
芥	芥	ka³⁵	ka5	白					
届	届	ka³⁵	ka5	白					
戒	戒	ka³⁵	ka5	白					
疥	疥	ka³⁵	ka5	白					
假	假	ka³⁵	ka5	~期。白					
揩	揩	kʰa⁴⁴	kha1						
楷	楷	kʰa⁴²	kha3						
揢	揢	kʰa³⁵	kha5	~魚：抓魚					
茄	茄	ga¹²	ga2						
解	解	ga³¹	ga4	~開					
懈	懈	ga³¹	ga4	松~					
骱	骱	ga²⁴	ga6						
外	外	ŋa³⁵	nga5	~面。白					
牙	牙	ŋɦa¹²	nga2						
芽	芽	ŋɦa¹²	nga2						
衙	衙	ŋɦa¹²	nga2						
哈	哈	ha⁴⁴	ha1						
𨉣	𨉣	ha⁴⁴	ha1	~腰					
蟹	蟹	ha⁴²	ha3						
挨	挨	ʔa⁴⁴	a1						
捱	捱	ʔa⁴⁴	a1	~打，~駡					
掗	挜	ʔa⁴⁴	a1	強給					
矮	矮	ʔa⁴²	a3						
外	外	ʔa³⁵	a5	~公，~婆					
也	也	ʔa³⁵	a5						
鞋	鞋	ɦa¹²	gha2						
蝦	虾	ɦa¹²	gha2	~蟆					
爹	爹	tia⁴⁴	tia1						
嗲	嗲	tia⁴⁴	tia1	發~					
家	家	tɕia⁴⁴	cia1	文					
加	加	tɕia⁴⁴	cia1	文					
嘉	嘉	tɕia⁴⁴	cia1	文					
街	街	tɕia⁴⁴	cia1	文					
皆	皆	tɕia⁴⁴	cia1	文					
階	阶	tɕia⁴⁴	cia1	文					
佳	佳	tɕia⁴⁴	cia1	文					
假	假	tɕia⁴²	cia3						
解	解	tɕia⁴²	cia3						
姐	姐	tɕia⁴²	cia3						
解	解	tɕia⁴²	cia3	姓					
架	架	tɕia³⁵	cia5	文					
