		1	a					2	ɛ					3	œ					4	i					5	y					6	ɔ					7	u					8	ai					9	ɐi					10	ei					11	ɔi					12	ui					13	au					14	ɐu					15	ɛu					16	ou					17	iu					18	øy					19	am				20	ap						21	ɐm				22	ɐp						23	im				24	ip						25	ɛm				26	ɛp						27	an				28	at						29	ɐn				30	ɐt						31	in				32	it						33	øn				34	øt						35	ɔn				36	ɔt						37	un				38	ut						39	yn				40	yt						41	aŋ				42	ak						43	ɐŋ				44	ɐk						45	eŋ				46	ek						47	ɛŋ				48	ɛk						49	œŋ				50	œk						51	ɔŋ				52	ɔk						53	oŋ				54	ok						55	m		
s	沙紗		灑耍灑			s	些賒	蛇佘	寫瀉(倒~)捨社	瀉(肚~)卸赦舍	射麝(~香)射	s						s	斯廝撕施私師獅尸屍司絲思思詩	匙(鑰~)時鰣	屎死(文讀)使(文讀)史市	肆嗜肄使(出~)試	是氏豉示視伺士仕事侍	s	書舒樞輸輸(運~)	薯殊	暑鼠黍	嗉(鳥~袋)庶恕	豎戍樹	s	蓑梭唆(囉~)梳疏(~遠)蔬疏(注~)	傻	鎖瑣所			s						s	□(浪費)		璽徙	曬		s	篩(~子)西犀篩		洗使(~用,白讀)駛	細壻世勢	誓逝	s			死(白讀)	四		s	腮鰓					s						s	梢颼(風~~)	□(瞥了一眼)	稍	潲(豬食)潲(~雨)		s	修羞(文讀)收饈(珍~)	愁仇	叟搜手首守	嗽(咳~)秀繡宿(文讀)銹(鐵~)瘦漱(~口)獸	受壽授售	s						s	蘇酥鬚騷臊		數(動詞)嫂	素訴塑(~像)數(名詞)掃(~地)掃(~帚)		s	消宵霄硝銷燒蕭簫	韶(~關)	小少(多~)	笑少(~年)	兆紹邵	s	須需雖綏(~遠)衰	垂誰	緒絮髄粹(純~)水	碎歲稅粹(純~)帥	睡瑞遂隧穗	s	三衫			三(~思而後行,文讀)		s			□(~熟,沸水煮熟。)			s	心森參(人~)深	岑葚(桑~)	沈審嬸	滲	甚	s	濕		十拾			s		蟾(~酥)簷蟬禪(~宗)禪(~讓)	陝閃			s		躡(~手~腳)攝涉				s						s						s	珊山删閂栅(~欄)	潺(流水~~)孱(~弱)	散(鞋帶~了)	傘散疝(~氣)篡(~位)		s		撒(~種)薩殺				s	辛新薪身申伸	神娠辰晨臣	□(腦~,小孩頭骨未結合完整。)	巽□(~氣,不满)	腎慎	s	膝瑟(聖若~)蝨失室		實			s	仙鮮(新~)先		鮮(~少)癬	線搧扇犍(~牛)	羨善膳單(姓)	s		薛泄(~漏)舌屑(不~)屑(木~)楔(~子)	蝕(~本)			s	皴(臉~)荀殉	旬(上~)脣純蒓(~菜)醇(~酒)	筍榫(~頭)肫(禽之胃)	信訊遜迅舜	順	s	摔(~倒)瑟(琴~)戌恤率(~領)蟀		朮(白~)術述			s						s	□(傻的,短路,外來語)					s						s						s	酸宣孫	旋旋(~做)船	選損	算蒜	篆	s		雪說(~話)				s	生(白讀)牲(白讀)		省(~長)省(節~)省(反~白讀)			s						s	生(文讀)牲(文讀)笙甥					s	塞(~住)					s	升勝(不~負荷)聲(文讀)星	乘繩承丞成城誠	省(反~文讀)醒(文讀)	勝(~敗)性姓蟶(~子)聖	剩盛(~滿)盛(興~)	s	悉息熄媳色嗇識式飾惜(愛~,文讀)昔適釋析		食蝕(日~)			s	腥羶聲(白讀)		醒(白讀)			s		惜(愛~,白讀)	石錫			s	相(互~)箱廂湘襄鑲霜孀商傷雙雙(~生,文讀)	常嘗裳償	想賞上(~山)	相(~貌)	尚上(~面)	s		削				s	桑喪(婚~)		嗓(~子)爽	喪(~失)		s		索朔				s	鬆嵩	崇	慫(~恿)	送宋		s	宿(星~)肅宿縮叔粟		熟淑贖蜀屬			s					
k	家加痂嘉傢		假(真~)賈	假(放~)架駕嫁稼價		k						k				鋸		k						k						k	歌哥戈□(~度=那裏)		果餜(~子)顆(~粒)夥	個過過		k	姑孤枯		古估牯股鼓故(講~)	故(~事)固錮(禁~)雇顧		k	皆階楷佳街		解(~開)解(姓)解(曉也)	介界芥尬(尴~)疥届戒		k	雞		謁	計繼髻		k	飢肌几(茶~)基幾(~乎)機譏饑(~荒)		己紀(年~)杞幾(~個)	寄記既	技妓忌	k	該		改	蓋(蓋子)		k						k	交郊膠		絞狡攪搞餃	鉸(~剪)教(~書)教(~育)校(~對)較窖覺(睡~)校(上~)		k	□(男陰)		狗苟九久韭糾(~正)	够灸救究咎柩	舊	k						k	高膏篙羔糕膏(~油)		稿	告犒(~賞)		k	驕嬌		矯(~正)轎繳(上~)	叫	轎	k	居車(~馬炮)		擧矩	據句	巨具懼	k	監		減	尷(~尬)鑑(~證)監(國子~)橄(~欖)		k		鴿甲胛(肩~)夾裌(~衣)挾(~菜)革(~命)				k	甘柑今金		感敢錦	泔(~水，陶米水)禁(~不住)禁(~止)	撳(按)	k	急		□(偷窺)			k	兼		檢	劍	儉(節~)	k		劫澀(羞~)	□(逼~,擁擠)			k						k			夾~菜			k	艱間(空~)奸		鹻(=鹹)簡柬揀繭趼(硬皮)	間(~斷)諫澗		k		甴				k	跟根巾斤筋		緊僅謹	艮	近(文讀)	k	吉		□(lan55尸~路)			k	肩堅		件(信~)	建見	件(文~)鍵健腱	k		結潔	傑□(很糟糕)			k						k						k	干肝竿乾(~濕)		桿(大腸~菌)稈趕	桿(大腸~菌)幹		k		割葛				k	官棺觀(參~)冠(衣~)		管館	貫灌罐觀(寺~)冠(~軍)		k						k	捐		捲卷	眷絹券	倦	k			□(一~~,一段段的样子)□(稠)			k	耕更(三~半夜)		梗(~概)			k		格革(改~)隔				k	更(~換)庚羹		埂(田~)耿	更(~加)		k						k	京荊驚(文讀)經經(~緯)		境景警竟	勁(起~)敬勁(~敵)徑	勁(利害)競	k	戟擊激		極			k	驚(白讀)		頸	鏡	□(~惜=小心點)	k						k	疆僵薑繮姜羌					k		脚				k	岡崗剛綱(提~,網~)缸光江扛		廣講港	鋼杠(雙~)扛(~起)降		k		覺(睡~)各閣擱郭覺(知~)角國				k	公蚣(蜈~)工功攻弓躬宮恭供(~給)供(~養)		拱鞏(~固)	貢供(上~)□(彎腰鑽洞空擋)	共	k	穀谷菊掬(一捧)		局焗			k					
kʰ	卡(~通)					kʰ		騎	茄(番~)			kʰ			茄(~子)			kʰ						kʰ						kʰ						kʰ	箍錮(~露鍋)					kʰ			楷			kʰ	稽溪		啓	契		kʰ	畸	奇岐祁鯺其棋期旗祈	企徛(立)	冀		kʰ				概溉慨蓋(動詞)丐(乞~)磕(~睡)		kʰ			劊檜賄潰繪			kʰ				靠		kʰ	溝摳(~碗)鳩	求球	舅	叩構購扣寇臼		kʰ		□(~lɛu55)				kʰ						kʰ		喬僑橋蕎	□(計謀)	竅		kʰ	拘駒俱區(~域)驅	渠瞿	𠍲(他)拒距			kʰ						kʰ						kʰ	襟	琴禽擒	妗(舅母)□(覆蓋上)			kʰ	級給吸		及			kʰ		鉗				kʰ						kʰ						kʰ						kʰ						kʰ						kʰ		勤芹	近(白讀)			kʰ	咳(~嗽)					kʰ		乾(~坤)虔				kʰ		揭蠍				kʰ						kʰ						kʰ						kʰ						kʰ						kʰ		括豁(~然)				kʰ		拳權顴(~骨)				kʰ		厥橛(~子)決訣缺				kʰ						kʰ						kʰ			哽(骨~在喉)			kʰ						kʰ	傾	澄(水渾,~一~)擎鯨瓊	頃			kʰ	□(~住=卡住)					kʰ		□(靈~，好靈)				kʰ			劇(~烈)劇(戲~)屐(木~)			kʰ		強(~大)	強(勉~)			kʰ		卻				kʰ		狂		抗炕(取暖牀)曠擴況礦		kʰ		郭廓確				kʰ		窮				kʰ	麴(酒~)曲					kʰ					
h	蝦𨉣(~腰)蝦(~蟆)蛤(~蜊)	霞瑕遐	下(量詞)		廈(偏~)下(底~)夏(姓)廈(~門)下(~降)夏(春~)暇	h				□(lɛ13~一团糟)		h	靴					h						h						h		河何荷(~花)荷(薄~)	可		賀荷(負~)	h						h	揩(~油)	諧鞋孩	駭(驚~)蟹		械懈	h	□(女陰)	奚(~落)兮	□(在)		繫(~鞋帶)系繫(連~)係	h	犠欺嬉熙希稀		起喜豈	戲器棄氣汽		h	開		凱海		亥害	h						h	烤敲酵吼	姣	考巧	孝	效校(學~)	h	□(注意)	侯喉猴	口厚		後后候	h						h	蒿(茼~)薅(除田草)	豪壕毫	好(~壞)	好(喜~)耗	號(呼~)浩號(~數)酷(殘~)	h	囂澆僥(~倖)		曉			h	墟(~市)虛噓(吹~)		許	去		h		函咸鹹銜(頭~)		喊	餡	h		狹	峽			h	堪龕蚶(~子)	含酣銜	坎(心~)砍	嵌(鑲~)勘(~探)	撼憾陷	h	恰洽		合(十~一升)合盒匣(食~)			h	謙	嫌(白讀)	險	欠		h		怯(畏~)脅挾(~天子以令諸侯)歉(道~)協				h						h						h	慳	閑			限	h						h		痕	很懇墾		恨	h	乞		轄(管~)瞎核核(審~)			h	軒掀牽		遣顯	憲獻		h		歇(~息)				h						h						h	看(~守)	鼾(睡時~聲)寒韓	刊罕旱	看(~見)漢	汗銲(~鐵壺)翰	h		鐾(把刀~~)喝(~酒)渴喝(~采)				h						h						h	圈(圓~)圈(猪~)喧		犬	勸楦(鞋~)		h		血				h	坑	行(白讀，走)				h		嚇(~了一跳)客赫(~~有名)嚇(恐~)				h	亨(~通)莖	恆行(~為)衡	肯		杏行(品~)幸	h	刻(時~)刻(刀~)克黑					h	興(~旺)卿輕(~重文讀)馨兄			興(高~)慶磬(鐘~)		h						h	輕(白讀)					h		吃				h	香鄉		晌(~午)餉享響	向		h						h	康糠匡筐眶(文讀)腔	行(銀~)航杭降(投~)	慷(~溉)	炕(烤乾，烘乾)熥(把凍包~熱)	項巷	h		殼	鶴學			h	空(~虛)空(~缺)胸凶(吉~)兇(~惡)	虹紅洪鴻虹熊雄	孔恐	控烘(~乾)哄汞鬨(起~)		h	哭		酷(~熱)			h					
ŋ	伢(小孩)砑(~平)	牙芽衙	雅啞瓦		□(~ʦa22阻地方)	ŋ						ŋ						ŋ						ŋ						ŋ		蛾鵝俄訛	我		餓臥	ŋ						ŋ		涯崖捱		隘(關~)	艾	ŋ	□(~求)	倪桅危	矮蟻	縊瞖(目~)	藝毅偽魏	ŋ						ŋ		呆			礙外	ŋ						ŋ	□(搔癢)	熬肴淆	咬	坳(山~)慪(~氣)		ŋ	勾鉤勾(~當)歐甌	牛	藕偶(配~)偶(~然)嘔(~吐)毆	漚(久浸水中)	□(發~逗=發呆)	ŋ						ŋ		□(大力搖動)			傲	ŋ						ŋ						ŋ	啱(對的)啱(~~=剛剛)	巖				ŋ		鴨				ŋ	庵	吟(~~尋尋=嘮嘮叨叨)				ŋ	㬤(本欲乾而不讓其乾)		□(搖擺不定)			ŋ						ŋ						ŋ						ŋ						ŋ		顏	眼	晏(晚也)	雁	ŋ						ŋ	奀(瘦小)	銀		□(~脚)	靭(白讀)	ŋ	□(用手指壓着)		訖(~止)杌(~凳=搖凳)			ŋ						ŋ						ŋ						ŋ						ŋ					岸	ŋ						ŋ						ŋ						ŋ						ŋ						ŋ					硬	ŋ	扼軛(卡着牛頸的曲木)握□(~人=騙人)		額			ŋ						ŋ						ŋ						ŋ						ŋ						ŋ						ŋ						ŋ						ŋ		昂			□(憨)	ŋ			鄂嶽岳樂(音~)			ŋ						ŋ						ŋ					
kw	瓜		寡剮	卦		kw						kw						kw						kw						kw			裹			kw						kw	乖		柺	怪		kw	圭閨龜歸		詭(~計)軌鬼	鱖桂癸(白讀)季貴	跪櫃	kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw	鰥(~寡)關			慣		kw		刮				kw	鈞君軍		滾(水~=水沸)	棍	郡	kw	骨橘		憠(脾氣~)掘掘倔(~強)			kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw						kw		摑(~耳光)				kw	轟轟		□(keŋ13~,玄虚)			kw						kw			炯(~~有神)			kw						kw						kw						kw						kw						kw						kw						kw						kw						kw					
kʰw	誇垮跨			掛褂		kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw	盔規虧窺	攜畦逵葵癸(文讀)	愧			kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw	均昆崑坤	羣裙	滾(在地~動)綑(~綁)菌	窘(~迫)困		kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw	眶(眼~白讀)			逛		kʰw	□(~住=圍住)					kʰw						kʰw						kʰw						kʰw	虢(虞~)隙					kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw						kʰw					
w	划(~船)蛙窪蛙	華(中~)鏵華(~山)樺(~樹)			畫話華(姓)	w			□(衣服洗後變形，寬大了。污~：邋遢，不整潔。)			w						w						w						w	窠倭(~寇)窩蝸	和(~氣)禾	禍(動詞)		禍(名詞)和(~麵)	w						w	歪	懷槐淮			壞	w	威	為(作~)維惟遺唯違圍	毁萎(~縮)委位(一~)諱偉葦(蘆~)緯	慧穢餧(=喂)畏慰蝟	惠衛為(~什麼)位(~置)胃謂	w						w						w						w						w						w						w						w						w						w						w						w						w						w						w						w						w						w	彎灣(海~)	頑還(~原)還(~有)環灣(西~,澳門地名)	挽		幻患宦	w		挖	滑猾			w	温瘟	魂餛(~飩)勻(~稱)云雲暈	穩允尹韻		渾混(~沌)運	w	屈		核(果~)			w						w						w						w						w						w						w						w						w						w						w	□(弄砸了)	橫(~直)橫(蠻~)				w			或惑劃			w		弘宏				w						w	扔	榮	永		泳詠穎	w			域(西~)			w						w						w						w						w	汪	黃簧(~片)皇蝗王	枉往		旺(興~)	w			鍋鑊(鍋)獲			w						w						w					
j			也			j		爺耶	惹野		夜	j						j						j						j						j						j			踩			j			□(不聽話)		拽曳	j						j						j						j	□(左撇子，~瓜子=抓一把瓜子)					j	丘休憂優幽	柔揉尤郵由油游猶悠(~閑)莠(良~不齊)鼬(黃~)	有友酉誘柚	幼	又右祐釉	j						j						j						j	錐(白讀)		蘂		芮(姓)銳	j			蘸(~醬)			j		□(~手，招收過來)				j	欽音陰	吟淫壬	飲(~酒)	飲(米湯)蔭(屋子很~)	任(姓)任(責~)賃(租~)	j	泣揖(作~)		入			j						j						j						j						j						j						j	恩因姻欣殷	人仁寅	忍引隱	印	刃靭(文讀)釁(挑~)孕(文讀)	j	一		日逸			j						j						j					潤閏孕(白讀)	j						j						j						j						j						j						j						j				□(踹了一腳)		j		□(吃)				j						j						j	應(~當)鷹鸚(~鵡)櫻(~桃)英嬰纓	仍凝凝(湯~成凍了)蠅迎盈形型刑營螢滎(~陽)	影映	應(~用,應對)	認(~為)	j	憶億抑益		翼逆亦譯易(交~)液腋(~下)疫役			j		贏(輸~)				j						j	央秧殃	羊洋楊陽揚瘍(潰~)贏(~錢)	烊(打~)養癢仰		壤(土~)攘嚷讓樣釀	j		約躍	曰若弱虐瘧(~疾)藥鑰(~匙)			j						j						j	翁雍癰㙲(~肥,用土埋東西)	戎絨融茸(參~)容蓉鎔庸	𣭲(鳥細毛)擁甬(~道)勇湧		用	j	沃(肥~)郁(香氣濃~)□(小的移動,擺動)		肉育辱褥玉獄欲慾浴			j					
Ǿ	鴉丫椏(~杈)			亞阿(~哥)		Ǿ						Ǿ						Ǿ	伊姨(~仔)醫衣依	兒宜儀誼移夷姨(~媽)而疑飴	爾議倚椅耳擬(草~)矣已以	意	義易(容~)二貳異	Ǿ	於淤(~泥)吁迂于	如魚漁余餘儒愚虞娛盂榆逾	汝語與乳雨宇禹羽		御禦譽預豫遇寓愉愈(病~)喻裕	Ǿ	阿(~膠)					Ǿ	烏污	胡湖狐壺鬍	滸(舊讀)	惡(可~)	戶滬互護芋	Ǿ	埃挨(~近)			□(~交=吵架)		Ǿ						Ǿ						Ǿ	哀		藹	愛		Ǿ	煨	回茴(~香)	會(~不~)		會(~計)匯會(開~)彙	Ǿ						Ǿ						Ǿ						Ǿ				塢(船~)襖懊(~惱)奧(~秘)懊(~悔)		Ǿ	邀腰要(~求)么(~二三)	饒(~恕)搖謠窰姚堯	橈(~槳)擾繞(圍~)繞(~線)妖舀(~水)鷂(單字时)	要(重~)	耀鷂(雙字時)	Ǿ						Ǿ						Ǿ						Ǿ			揞(手覆，~住)	暗		Ǿ						Ǿ	閹醃	炎鹽閻嚴嫌(文讀)	染淹掩	厭	驗豔焰	Ǿ		腌(汗~眼)	葉頁業孽			Ǿ						Ǿ						Ǿ						Ǿ		押壓				Ǿ						Ǿ						Ǿ	煙燕(~京)嚥湮	涎然燃焉延筵言研賢弦(琴~)	演硯	堰燕宴	莧(~菜)諺現	Ǿ		噎(~住)	熱			Ǿ						Ǿ						Ǿ	安鞍			按案		Ǿ						Ǿ		桓緩援(~救)	玩(古~)皖豌碗腕		玩(遊~)喚煥(~然一新)換	Ǿ			活			Ǿ	蔫(食物不新鮮)寃淵眩(~目)	完圓員縁沿鉛元原源袁轅園玄懸	丸軟院阮宛遠	怨	願縣	Ǿ		乙	愈悅閱月越粵穴			Ǿ	□(錢~=存錢器物)					Ǿ						Ǿ	鶯		□(有東西抵着)			Ǿ						Ǿ						Ǿ						Ǿ						Ǿ						Ǿ						Ǿ						Ǿ	骯(~髒)					Ǿ		惡(善~)				Ǿ			□(~开=推开)	甕(~中捉鱉)		Ǿ	屋					Ǿ		吳蜈吾梧(~桐)	五伍午		誤悟
