字	IPA	调值	注释
徐	ɕyi	31	
許	ɕyi	42	
雖	ɕyi	45	
虚	ɕyi	45	
須	ɕyi	45	
旬	ɕyin	31	
尋	ɕyin	31	
勳	ɕyin	45	
學	ɕyo	31	
雄	ɕyoŋ	31	
熊	ɕyoŋ	31	
兄	ɕyoŋ	45	
胸	ɕyoŋ	45	
畜	ɕyu	31	
俗	ɕyu	31	
速	ɕyu	31	
肅	ɕyu	31	
戌	ɕyu	31	
旭	ɕyu	31	
伐	fa	31	
法	fa	31	
髮	fa	31	
犯	fan	24	
販	fan	24	
飯	fan	24	
范	fan	24	
凡	fan	31	
反	fan	42	
翻	fan	45	
放	faŋ	24	
防	faŋ	31	
房	faŋ	31	
方	faŋ	45	
芳	faŋ	45	
廢	fei	24	
肺	fei	24	
費	fei	24	
肥	fei	31	
非	fei	45	
飛	fei	45	
奮	fən	24	
粉	fən	42	
分	fən	45	
浮	fəu	31	
否	fəu	42	
奉	foŋ	24	
馮	foŋ	31	
封	foŋ	45	
風	foŋ	45	
父	fu	24	
附	fu	24	
負	fu	24	
婦	fu	24	
户	fu	24	
扶	fu	31	
佛	fu	31	
服	fu	31	
符	fu	31	
福	fu	31	
乎	fu	31	
忽	fu	31	
胡	fu	31	
府	fu	42	
腐	fu	42	
虎	fu	42	
呼	fu	45	
拂	fu	31	
意	i	24	
憶	i	24	
噎	i	31	
一	i	31	
夷	i	31	
移	i	31	
遺	i	31	
邑	i	31	
逸	i	31	
譯	i	31	
已	i	42	
以	i	42	
矣	i	42	
衣	i	45	
依	i	45	
醫	i	45	
鴨	ia	31	
牙	ia	31	
涯	ia	31	
啞	ia	42	
鴉	ia	45	
樣	iaŋ	24	
羊	iaŋ	31	
陽	iaŋ	31	
養	iaŋ	42	
央	iaŋ	45	
要	iau	24	
堯	iau	31	
摇	iau	31	
舀	iau	42	
妖	iau	45	
夜	ie	24	
噎	ie	31	
爺	ie	31	
葉	ie	31	
也	ie	42	
野	ie	42	
晏	ien	24	
厭	ien	24	
延	ien	31	
言	ien	31	
眼	ien	42	
演	ien	42	
腌	ien	45	
煙	ien	45	
又	iəu	24	
右	iəu	24	
幼	iəu	24	
尤	iəu	31	
由	iəu	31	
猶	iəu	31	
友	iəu	42	
有	iəu	42	
憂	iəu	45	
印	in	24	
應	in	24	
寅	in	31	
銀	in	31	
盈	in	31	
引	in	42	
隱	in	42	
因	in	45	
音	in	45	
英	in	45	
櫻	in	45	
鶯	in	45	
蓋	kai	24	
改	kai	42	
該	kai	45	
皆	kai	45	
街	kai	45	
敢	kan	42	
感	kan	42	
干	kan	45	
剛	kaŋ	45	
綱	kaŋ	45	
告	kau	24	
稿	kau	42	
攪	kau	42	
高	kau	45	
革	ke	31	
格	ke	31	
給	ke	45	給
更	kən	24	
根	kən	45	
跟	kən	45	
庚	kən	45	
耕	kən	45	
更	kən	45	
够	kəu	24	
狗	kəu	42	
溝	kəu	45	
慨	kʰai	24	
楷	kʰai	42	
開	kʰai	45	
愾	kʰai	24	
看	kʰan	24	
看	kʰan	45	
抗	kʰaŋ	24	
亢	kʰaŋ	24	
靠	kʰau	24	
考	kʰau	42	
敲	kʰau	45	
刻	kʰe	31	
客	kʰe	31	
肯	kʰən	42	
懇	kʰən	42	
坑	kʰən	45	
口	kʰəu	42	
課	kʰo	24	
殼	kʰo	31	
可	kʰo	42	
科	kʰo	45	
空	kʰoŋ	24	
孔	kʰoŋ	42	
恐	kʰoŋ	42	
空	kʰoŋ	45	
哭	kʰu	31	
酷	kʰu	31	
苦	kʰu	42	
枯	kʰu	45	
誇	kʰua	45	
會	kʰuai	24	
快	kʰuai	24	
塊	kʰuai	42	
款	kʰuan	42	
皖	kʰuan	42	
寬	kʰuan	45	
况	kʰuaŋ	24	
曠	kʰuaŋ	24	
狂	kʰuaŋ	31	
匡	kʰuaŋ	45	
闊	kʰue	31	
葵	kʰuei	31	
虧	kʰuei	45	
困	kʰuən	24	
坤	kʰuən	45	
昆	kʰuən	45	
個	ko	24	
過	ko	24	
割	ko	31	
鴿	ko	31	
各	ko	31	
郭	ko	31	
果	ko	42	
歌	ko	45	
鍋	ko	45	
供	koŋ	24	
共	koŋ	24	
工	koŋ	45	
弓	koŋ	45	
公	koŋ	45	
供	koŋ	45	
宫	koŋ	45	
恭	koŋ	45	
故	ku	24	
骨	ku	31	
古	ku	42	
孤	ku	45	
掛	kua	24	
刮	kua	31	
瓜	kua	45	
怪	kuai	24	
乖	kuai	45	
貫	kuan	24	
慣	kuan	24	
管	kuan	42	
官	kuan	45	
關	kuan	45	
鰥	kuan	45	
觀	kuan	45	
光	kuaŋ	45	
國	kue	31	
桂	kuei	24	
貴	kuei	24	
跪	kuei	24	
櫃	kuei	24	
龜	kuei	45	
歸	kuei	45	
棍	kuən	24	
滚	kuən	42	
二	l̩	24	
貳	l̩	24	
而	l̩	31	
兒	l̩	31	
耳	l̩	42	
爾	l̩	42	
麻	ma	31	
馬	ma	42	
媽	ma	45	
埋	mai	31	
買	mai	42	
慢	man	24	
忙	maŋ	31	
帽	mau	24	
貌	mau	24	
毛	mau	31	
茅	mau	31	
貓	mau	45	
麥	me	31	
滅	me	31	
妹	mei	24	
梅	mei	31	
美	mei	42	
沒	mei	45	沒有
悶	mən	24	
門	mən	31	
們	mən	31	
泌	mi	31	
密	mi	31	
米	mi	42	
貓	miau	31	
苗	miau	31	
面	mien	24	
棉	mien	31	
免	mien	42	
命	min	24	
盟	min	31	
民	min	31	
名	min	31	
明	min	31	
敏	min	42	
末	mo	31	
莫	mo	31	
茂	moŋ	24	
孟	moŋ	24	
萌	moŋ	31	
蒙	moŋ	31	
謀	moŋ	31	
猛	moŋ	42	
某	moŋ	42	
畝	moŋ	42	
夢	moŋ	24	
沒	mu	31	
木	mu	31	
母	mu	42	
目	mu	31	
辣	na	31	
臘	na	31	
拿	na	31	
納	na	31	
拉	na	45	
賴	nai	24	
來	nai	31	
乃	nai	42	
奶	nai	42	
藍	nan	31	
男	nan	31	
南	nan	31	
難	nan	31	
郎	naŋ	31	
囊	naŋ	31	
朗	naŋ	42	
□	naŋ	42	~個：怎麼
牢	nau	31	
老	nau	42	
腦	nau	42	
鬧	nau	24	
勒	ne	31	
列	ne	31	
劣	ne	31	
論	nən	24	
嫩	nən	24	
倫	nən	31	
能	nən	31	
冷	nən	42	
漏	nəu	24	
樓	nəu	31	
屢	nəu	42	
縷	nəu	42	
利	ni	24	
例	ni	24	
離	ni	31	
力	ni	31	
立	ni	31	
栗	ni	31	
歷	ni	31	
李	ni	42	
里	ni	42	
理	ni	42	
裏	ni	42	
□	ni	45	(我)的
良	niaŋ	31	
兩	niaŋ	42	
亮	niaŋ	42	
料	niau	24	
聊	niau	31	
燎	niau	31	
了	niau	42	
連	nien	31	
廉	nien	31	
聯	nien	31	
留	niəu	31	
流	niəu	31	
令	nin	24	
林	nin	31	
鄰	nin	31	
陵	nin	31	
零	nin	31	
靈	nin	31	
寧	nin	31	
諾	no	24	
羅	no	31	
騾	no	31	
洛	no	31	
落	no	31	
隆	noŋ	31	
龍	noŋ	31	
籠	noŋ	31	
農	noŋ	31	
攏	noŋ	42	
路	nu	24	
怒	nu	24	
六	nu	31	
陸	nu	31	
鹿	nu	31	
驢	nu	31	
律	nu	31	
緑	nu	31	
奴	nu	31	
努	nu	42	
亂	nuan	24	
暖	nuan	42	
彙	nuei	24	
累	nuei	24	
類	nuei	24	
内	nuei	24	
雷	nuei	31	
累	nuei	42	
吕	nyi	42	
履	nyi	42	
略	nyo	31	
義	ȵi	24	
藝	ȵi	24	
議	ȵi	24	
尼	ȵi	31	
泥	ȵi	31	
逆	ȵi	31	
溺	ȵi	31	
宜	ȵi	31	
疑	ȵi	31	
你	ȵi	42	
娘	ȵiaŋ	31	
仰	ȵiaŋ	42	
鳥	ȵiau	42	
咬	ȵiau	42	
捏	ȵie	31	
聶	ȵie	31	
孽	ȵie	31	
鑷	ȵie	31	
業	ȵie	31	
臬	ȵie	31	
念	ȵien	24	
硯	ȵien	24	
驗	ȵien	24	
年	ȵien	31	
嚴	ȵien	31	
拈	ȵien	45	
研	ȵien	45	
牛	ȵiəu	31	
紐	ȵiəu	42	
凝	ȵin	31	
女	ȵyi	42	
艾	ŋai	24	
愛	ŋai	24	
崖	ŋai	31	
矮	ŋai	42	
哀	ŋai	45	
岸	ŋan	24	
暗	ŋan	24	
晏	ŋan	24	
安	ŋan	45	
庵	ŋan	45	
昂	ŋaŋ	42	
奥	ŋau	24	
襖	ŋau	42	
咬	ŋau	42	
額	ŋe	31	
厄	ŋe	31	
硬	ŋən	24	
恩	ŋən	45	
櫻	ŋən	45	
偶	ŋəu	42	
藕	ŋəu	42	
歐	ŋəu	45	
餓	ŋo	24	
鵝	ŋo	31	
惡	ŋo	31	
沃	ŋo	31	
我	ŋo	42	
卧	o	24	
窩	o	45	
翁	oŋ	45	
罷	pa	24	
八	pa	31	
把	pa	42	
巴	pa	45	
拜	pai	24	
敗	pai	24	
半	pan	24	
伴	pan	24	
辦	pan	24	
板	pan	42	
班	pan	45	
邦	paŋ	45	
幫	paŋ	45	
報	pau	24	
暴	pau	24	
瀑	pau	24	
曝	pau	24	
飽	pau	42	
包	pau	45	
白	pe	31	
百	pe	31	
北	pe	31	
别	pe	31	
貝	pei	24	
背	pei	24	
倍	pei	24	
臂	pei	24	
卑	pei	45	
悲	pei	45	
碑	pei	45	
本	pən	42	
崩	pən	45	
怕	pʰa	24	
拔	pʰa	31	
爬	pʰa	31	
派	pʰai	24	
排	pʰai	31	
牌	pʰai	31	
判	pʰan	24	
盼	pʰan	24	
叛	pʰan	24	
盤	pʰan	31	
旁	pʰaŋ	31	
袍	pʰau	31	
跑	pʰau	42	
礮	pʰau	24	
砲	pʰau	24	
炮	pʰau	24	
拍	pʰe	31	
泊	pʰe	31	
迫	pʰe	31	
撇	pʰe	31	
佩	pʰei	24	
配	pʰei	24	
丕	pʰei	42	
披	pʰei	45	
彭	pʰən	31	
皮	pʰi	31	
匹	pʰi	31	
僻	pʰi	31	
闢	pʰi	31	
鄙	pʰi	42	
飄	pʰiau	45	
遍	pʰien	24	
片	pʰien	24	
偏	pʰien	45	
貧	pʰin	31	
平	pʰin	31	
瓶	pʰin	31	
品	pʰin	42	
拼	pʰin	45	
破	pʰo	24	
婆	pʰo	31	
頗	pʰo	42	
坡	pʰo	45	
朋	pʰoŋ	31	
棚	pʰoŋ	31	
蓬	pʰoŋ	31	
勃	pʰu	31	
卜	pʰu	31	
撲	pʰu	31	
僕	pʰu	31	
普	pʰu	42	
譜	pʰu	42	
備	pi	24	
閉	pi	24	
敝	pi	24	
逼	pi	31	
筆	pi	31	
必	pi	31	
碧	pi	31	
壁	pi	31	
比	pi	42	
彼	pi	42	
表	piau	42	
彪	piau	45	
辨	pien	24	
變	pien	24	
貶	pien	42	
邊	pien	45	
病	pin	24	
禀	pin	42	
冰	pin	45	
兵	pin	45	
稟	pin	42	
剥	po	31	
縛	po	31	
波	po	45	
玻	po	45	
菠	po	45	
步	pu	24	
佈	pu	24	
部	pu	24	
不	pu	31	
補	pu	42	
殺	sa	31	
撒	sa	42	
沙	sa	45	
剎	sa	31	
啥	sa	31	~子：什麼
曬	sai	24	
腮	sai	45	
篩	sai	45	
散	san	24	
扇	san	24	
蟬	san	31	
陝	san	42	
閃	san	42	
三	san	45	
山	san	45	
衫	san	45	
上	saŋ	24	
尚	saŋ	24	
常	saŋ	31	
桑	saŋ	45	
商	saŋ	45	
少	sau	24	
紹	sau	24	
掃	sau	42	
嫂	sau	42	
少	sau	42	
燒	sau	45	
社	se	24	
射	se	24	
色	se	31	
瑟	se	31	
澀	se	31	
舌	se	31	
蛇	se	31	
涉	se	31	
設	se	31	
甚	sən	24	
剩	sən	24	
辰	sən	31	
晨	sən	31	
乘	sən	31	
神	sən	31	
審	sən	42	
筍	sən	42	
森	sən	45	
僧	sən	45	
申	sən	45	
身	sən	45	
深	sən	45	
生	sən	45	
孫	sən	45	
壽	səu	24	
瘦	səu	24	
獸	səu	24	
手	səu	42	
守	səu	42	
首	səu	42	
收	səu	45	
説	so	31	
縮	so	31	
所	so	42	
宋	soŋ	24	
送	soŋ	24	
誦	soŋ	24	
松	soŋ	45	
嵩	soŋ	45	
鬆	soŋ	45	
伺	sɿ	24	
士	sɿ	24	
示	sɿ	24	
世	sɿ	24	
式	sɿ	24	
似	sɿ	24	
事	sɿ	24	
侍	sɿ	24	
是	sɿ	24	
視	sɿ	24	
飾	sɿ	24	
試	sɿ	24	
四	sɿ	24	
寺	sɿ	24	
失	sɿ	31	
十	sɿ	31	
石	sɿ	31	
食	sɿ	31	
時	sɿ	31	
蝕	sɿ	31	
實	sɿ	31	
識	sɿ	31	
匙	sɿ	31	
矢	sɿ	42	
使	sɿ	42	
始	sɿ	42	
死	sɿ	42	
施	sɿ	45	
師	sɿ	45	
獅	sɿ	45	
詩	sɿ	45	
私	sɿ	45	
思	sɿ	45	
斯	sɿ	45	
數	su	24	
樹	su	24	
素	su	24	
熟	su	31	
贖	su	31	
術	su	31	
暑	su	42	
黍	su	42	
鼠	su	42	
殊	su	45	
書	su	45	
蘇	su	45	
刷	sua	31	
帥	suai	24	
衰	suai	45	
閂	suan	24	
算	suan	24	
删	suan	45	
酸	suan	45	
雙	suaŋ	45	
瑞	suei	24	
税	suei	24	
睡	suei	24	
歲	suei	24	
誰	suei	31	
隨	suei	31	
水	suei	42	
順	suən	24	
純	suən	31	
繩	suən	31	
唇	suən	31	
大	ta	24	
搭	ta	31	
達	ta	31	
答	ta	31	
打	ta	42	
代	tai	24	
待	tai	24	
帶	tai	24	
旦	tan	24	
膽	tan	42	
單	tan	45	
當	taŋ	24	
黨	taŋ	42	
當	taŋ	45	
到	tau	24	
盗	tau	24	
道	tau	24	
稻	tau	24	
倒	tau	42	
刀	tau	45	
氣	tɕʰi	24	
器	tɕʰi	24	
七	tɕʰi	31	
戚	tɕʰi	31	
其	tɕʰi	31	
奇	tɕʰi	31	
齊	tɕʰi	31	
旗	tɕʰi	31	
乞	tɕʰi	31	
起	tɕʰi	42	
妻	tɕʰi	45	
欺	tɕʰi	45	
棲	tɕʰi	45	
溪	tɕʰi	45	
迄	tɕʰi	31	
恰	tɕʰia	31	
像	tɕʰiaŋ	24	
强	tɕʰiaŋ	31	
筐	tɕʰiaŋ	45	
腔	tɕʰiaŋ	45	
橋	tɕʰiau	31	
巧	tɕʰiau	42	
切	tɕʰie	31	
且	tɕʰie	42	
去	tɕʰie	24	白
欠	tɕʰien	24	
前	tɕʰien	31	
鉗	tɕʰien	31	
錢	tɕʰien	31	
千	tɕʰien	45	
謙	tɕʰien	45	
求	tɕʰiəu	31	
丘	tɕʰiəu	45	
秋	tɕʰiəu	45	
侵	tɕʰin	24	
慶	tɕʰin	24	
秦	tɕʰin	31	
情	tɕʰin	31	
請	tɕʰin	42	
清	tɕʰin	45	
輕	tɕʰin	45	
親	tɕʰin	45	
欽	tɕʰin	45	
窮	tɕʰioŋ	31	
缺	tɕʰye	31	
勸	tɕʰyen	24	
全	tɕʰyen	31	
權	tɕʰyen	31	
犬	tɕʰyen	42	
圈	tɕʰyen	45	
去	tɕʰyi	24	文
趣	tɕʰyi	24	
取	tɕʰyi	42	
樞	tɕʰyi	45	
瓊	tɕʰyin	31	
頃	tɕʰyin	42	
傾	tɕʰyin	45	
群	tɕʰyin	31	
却	tɕʰyo	31	
雀	tɕʰyo	31	
確	tɕʰyo	31	
促	tɕʰyu	31	
掘	tɕʰyu	31	
曲	tɕʰyu	31	
屈	tɕʰyu	31	
族	tɕʰyu	31	
技	tɕi	24	
忌	tɕi	24	
妓	tɕi	24	
季	tɕi	24	
計	tɕi	24	
祭	tɕi	24	
寄	tɕi	24	
緝	tɕi	31	
激	tɕi	31	
及	tɕi	31	
吉	tɕi	31	
即	tɕi	31	
急	tɕi	31	
急	tɕi	31	
極	tɕi	31	
集	tɕi	31	
吸	tɕi	31	
己	tɕi	42	
幾	tɕi	42	
鷄	tɕi	45	
架	tɕia	24	
駕	tɕia	24	
夾	tɕia	31	
甲	tɕia	31	
閘	tɕia	31	
假	tɕia	42	
賈	tɕia	42	
佳	tɕia	45	
家	tɕia	45	
嗟	tɕia	45	
介	tɕiai	24	
戒	tɕiai	24	
界	tɕiai	24	
械	tɕiai	24	
解	tɕiai	42	
講	tɕiaŋ	42	
江	tɕiaŋ	45	
姜	tɕiaŋ	45	
將	tɕiaŋ	45	
叫	tɕiau	24	
教	tɕiau	24	
轎	tɕiau	24	
嚼	tɕiau	24	
絞	tɕiau	42	
驕	tɕiau	45	
教	tɕiau	45	
借	tɕie	24	
接	tɕie	31	
傑	tɕie	31	
結	tɕie	31	
節	tɕie	31	
竭	tɕie	31	
姐	tɕie	42	
件	tɕien	24	
見	tɕien	24	
建	tɕien	24	
健	tɕien	24	
漸	tɕien	24	
减	tɕien	42	
剪	tɕien	42	
檢	tɕien	42	
繭	tɕien	42	
間	tɕien	45	
監	tɕien	45	
姦	tɕien	45	
救	tɕiəu	24	
就	tɕiəu	24	
舅	tɕiəu	24	
舊	tɕiəu	24	
九	tɕiəu	42	
久	tɕiəu	42	
酒	tɕiəu	42	
糾	tɕiəu	45	
繆	tɕiəu	24	
近	tɕin	24	
晋	tɕin	24	
進	tɕin	24	
静	tɕin	24	
緊	tɕin	42	
頸	tɕin	42	
巾	tɕin	45	
斤	tɕin	45	
今	tɕin	45	
金	tɕin	45	
津	tɕin	45	
京	tɕin	45	
荆	tɕin	45	
經	tɕin	45	
决	tɕye	31	
絶	tɕye	31	
倦	tɕyen	24	
捲	tɕyen	42	
捐	tɕyen	45	
句	tɕyi	24	
聚	tɕyi	24	
娶	tɕyi	24	
舉	tɕyi	42	
拘	tɕyi	45	
居	tɕyi	45	
巨	tɕyi	24	
均	tɕyin	45	
君	tɕyin	45	
脚	tɕyo	31	
覺	tɕyo	31	
鞠	tɕyu	31	
局	tɕyu	31	
菊	tɕyu	31	
橘	tɕyu	31	
足	tɕyu	31	
卒	tɕyu	31	
得	te	31	
德	te	31	
跌	te	31	
鄧	tən	24	
頓	tən	24	
等	tən	42	
燈	tən	45	
豆	təu	24	
鬥	təu	24	
斗	təu	42	
兜	təu	45	
塔	tʰa	31	
踏	tʰa	31	
他	tʰa	45	
太	tʰai	24	
泰	tʰai	24	
台	tʰai	31	
歎	tʰan	24	
談	tʰan	31	
潭	tʰan	31	
貪	tʰan	45	
唐	tʰaŋ	31	
堂	tʰaŋ	31	
湯	tʰaŋ	45	
套	tʰau	24	
桃	tʰau	31	
討	tʰau	42	
忒	tʰe	31	
特	tʰe	31	
帖	tʰe	31	
貼	tʰe	31	
鐵	tʰe	31	
吞	tʰən	45	
透	tʰəu	24	
頭	tʰəu	31	
偷	tʰəu	45	
替	tʰi	24	
堤	tʰi	31	
踢	tʰi	31	
提	tʰi	31	
題	tʰi	31	
體	tʰi	42	
梯	tʰi	45	
跳	tʰiau	24	
調	tʰiau	31	
條	tʰiau	31	
甜	tʰien	31	
天	tʰien	45	
聽	tʰin	24	
停	tʰin	31	
聽	tʰin	45	
託	tʰo	31	
脱	tʰo	31	
妥	tʰo	42	
痛	tʰoŋ	24	
同	tʰoŋ	31	
桶	tʰoŋ	42	
統	tʰoŋ	42	
通	tʰoŋ	45	
秃	tʰu	31	
突	tʰu	31	
圖	tʰu	31	
土	tʰu	42	
團	tʰuan	31	
退	tʰuei	24	
腿	tʰuei	42	
推	tʰuei	45	
地	ti	24	
弟	ti	24	
帝	ti	24	
第	ti	24	
的	ti	31	
底	ti	42	
低	ti	45	
隸	ti	24	
弔	tiau	24	
釣	tiau	24	
調	tiau	24	
店	tien	24	
典	tien	42	
點	tien	42	
丢	tiəu	45	
定	tin	24	
頂	tin	42	
丁	tin	45	
舵	to	24	
奪	to	31	
朵	to	42	
多	to	45	
洞	toŋ	24	
動	toŋ	24	
冬	toŋ	45	
東	toŋ	45	
炸	tsa	24	
詐	tsa	24	
軋	tsa	31	
雜	tsa	31	
鍘	tsa	31	
炸	tsa	31	
再	tsai	24	
在	tsai	24	
債	tsai	24	
寨	tsai	24	
宰	tsai	42	
災	tsai	45	
齋	tsai	45	
暫	tsan	24	
贊	tsan	24	
站	tsan	24	
棧	tsan	24	
綻	tsan	24	
展	tsan	42	
斬	tsan	42	
沾	tsan	45	
丈	tsaŋ	24	
帳	tsaŋ	24	
長	tsaŋ	42	
張	tsaŋ	45	
照	tsau	24	
罩	tsau	24	
趙	tsau	24	
早	tsau	42	
朝	tsau	45	
糟	tsau	45	
招	tsau	45	
昭	tsau	45	
則	tse	31	
責	tse	31	
賊	tse	31	
摘	tse	31	
窄	tse	31	
者	tse	42	
這	tse	24	
陣	tsən	24	
正	tsən	24	
政	tsən	24	
鄭	tsən	24	
曾	tsən	45	
增	tsən	45	
真	tsən	45	
偵	tsən	45	
臻	tsən	45	
争	tsən	45	
征	tsən	45	
徵	tsən	45	
尊	tsən	45	
遵	tsən	45	
奏	tsəu	24	
走	tsəu	42	
周	tsəu	45	
插	tsʰa	31	
茶	tsʰa	31	
查	tsʰa	31	
察	tsʰa	31	
菜	tsʰai	24	
蔡	tsʰai	24	
才	tsʰai	31	
柴	tsʰai	31	
採	tsʰai	42	
猜	tsʰai	45	
蠶	tsʰan	31	
慘	tsʰan	42	
産	tsʰan	42	
餐	tsʰan	45	
唱	tsʰaŋ	24	
長	tsʰaŋ	31	
倉	tsʰaŋ	45	
昌	tsʰaŋ	45	
窗	tsʰaŋ	45	
糙	tsʰau	24	
造	tsʰau	24	
曹	tsʰau	31	
巢	tsʰau	31	
潮	tsʰau	31	
草	tsʰau	42	
炒	tsʰau	42	
超	tsʰau	45	
側	tsʰe	31	
策	tsʰe	31	
測	tsʰe	31	
拆	tsʰe	31	
徹	tsʰe	31	
澈	tsʰe	31	
擇	tsʰe	31	
澤	tsʰe	31	
宅	tsʰe	31	
轍	tsʰe	31	
車	tsʰe	45	
輒	tsʰe	31	
趁	tsʰən	24	
襯	tsʰən	24	
臣	tsʰən	31	
沉	tsʰən	31	
陳	tsʰən	31	
成	tsʰən	31	
承	tsʰən	31	
誠	tsʰən	31	
橙	tsʰən	31	
存	tsʰən	31	
撑	tsʰən	45	
愁	tsʰəu	31	
綢	tsʰəu	31	
丑	tsʰəu	42	
醜	tsʰəu	42	
雠	tsʰəu	31	
戳	tsʰo	31	
寵	tsʰoŋ	24	
崇	tsʰoŋ	31	
蟲	tsʰoŋ	31	
從	tsʰoŋ	31	
充	tsʰoŋ	45	
葱	tsʰoŋ	45	
次	tsʰɿ	24	
賜	tsʰɿ	24	
滯	tsʰɿ	24	
喫	tsʰɿ	31	
遲	tsʰɿ	31	
尺	tsʰɿ	31	
赤	tsʰɿ	31	
詞	tsʰɿ	31	
辭	tsʰɿ	31	
秩	tsʰɿ	31	
耻	tsʰɿ	42	
齒	tsʰɿ	42	
此	tsʰɿ	42	
雌	tsʰɿ	45	
處	tsʰu	24	
醋	tsʰu	24	
出	tsʰu	31	
除	tsʰu	31	
鋤	tsʰu	31	
楚	tsʰu	42	
初	tsʰu	45	
粗	tsʰu	45	
揣	tsʰuai	42	
船	tsʰuan	31	
鏟	tsʰuan	42	
牀	tsʰuaŋ	31	
撞	tsʰuaŋ	42	
脆	tsʰuei	24	
悴	tsʰuei	24	
粹	tsʰuei	24	
翠	tsʰuei	24	
垂	tsʰuei	31	
吹	tsʰuei	45	
春	tsʰuən	45	
椿	tsʰuən	45	
坐	tso	24	
著	tso	31	
捉	tso	31	
桌	tso	31	
酌	tso	31	
昨	tso	31	
作	tso	31	
左	tso	42	
重	tsoŋ	24	
衆	tsoŋ	24	
總	tsoŋ	42	
中	tsoŋ	45	
鐘	tsoŋ	45	
宗	tsoŋ	45	
翅	tsɿ	24	
至	tsɿ	24	
志	tsɿ	24	
治	tsɿ	24	
致	tsɿ	24	
自	tsɿ	24	
字	tsɿ	24	
侄	tsɿ	31	
值	tsɿ	31	
植	tsɿ	31	
殖	tsɿ	31	
職	tsɿ	31	
質	tsɿ	31	
擲	tsɿ	31	
只	tsɿ	42	
指	tsɿ	42	
紙	tsɿ	42	
子	tsɿ	42	
之	tsɿ	45	
支	tsɿ	45	
知	tsɿ	45	
隻	tsɿ	45	
資	tsɿ	45	
助	tsu	24	
住	tsu	24	
注	tsu	24	
柱	tsu	24	
做	tsu	24	
觸	tsu	31	
竹	tsu	31	
燭	tsu	31	
主	tsu	42	
祖	tsu	42	
豬	tsu	45	
諸	tsu	45	
租	tsu	45	
抓	tsua	45	
篆	tsuan	24	
專	tsuan	45	
狀	tsuaŋ	24	
莊	tsuaŋ	45	
樁	tsuaŋ	45	
綴	tsue	31	
拙	tsue	31	
輟	tsue	31	
最	tsuei	24	
罪	tsuei	24	
醉	tsuei	24	
嘴	tsuei	42	
追	tsuei	45	
錐	tsuei	45	
杜	tu	24	
肚	tu	24	
度	tu	24	
讀	tu	31	
篤	tu	31	
賭	tu	42	
肚	tu	42	
都	tu	45	
斷	tuan	24	
短	tuan	42	
端	tuan	45	
兑	tuei	24	
對	tuei	24	
堆	tuei	45	
戊	u	24	
務	u	24	
屋	u	31	
吾	u	31	
無	u	31	
物	u	31	
五	u	42	
午	u	42	
武	u	42	
烏	u	45	
襪	ua	31	
瓦	ua	42	
挖	ua	45	
蛙	ua	45	
院	uan	24	
完	uan	31	
玩	uan	31	
晚	uan	42	
碗	uan	42	
彎	uan	45	
忘	uaŋ	24	
旺	uaŋ	24	
