tsɿ[1]资姿恣咨谘兹滋孳辎锱孜栀
ʧʰy[2]除徐储厨橱褚
ʧʰy[3]处杵
ʧʰy[5]处
ʧʰy[7]出
ʃy[1]书输舒
ʃy[2]薯
ʃy[3]暑署曙鼠
ʃy[5]竖树恕绪叙絮嗉墅庶旭
ʃy[7]术述戍戌
ky[1]居拘驹车
ky[3]举矩
ky[5]具俱惧锯据距巨拒炬句
ky[7]局剧
kʰy[1]区驱躯蛐枢
kʰy[2]渠
kʰy[5]去{文}
kʰy[7]曲屈掘倔崛鞠菊
xy[1]虚墟嘘
xy[3]许
y[1]迂淤瘀
y[2]鱼于盂余予娱愚隅舆榆如儒
y[3]与屿雨语宇羽禹禺乳
y[5]预芋御遇裕喻愈愉俞逾誉豫驭
y[7]玉域役疫郁煜
pa[1]巴疤爸芭笆粑
pa[3]把靶
pa[5]霸罢坝
pa[7]八拔
pʰa[1]趴
pʰa[2]爬扒耙杷琶
pʰa[3]趴{腿张开}
pʰa[5]怕
ma[1]妈蟆{癞蛤～}孖{双胞胎叫双～崽}
ma[2]麻嘛
ma[3]马吗码蚂玛
ma[5]骂
ma[7]抹
fa[7]髮发法砝乏罚伐阀筏
ta[3]打
ta[5]大
ta[7]瘩达答搭褡沓
tʰa[1]他她它
tʰa[7]塔踏蹋榻遢{邋遢}
na[2]拿娜
na[3]哪
na[5]那
na[7]纳捺
la[1]拉啦
la[2]垃喇
la[5]旯
la[7]蜡腊辣剌邋
tsa[2]砸
tsa[7]杂
tsʰa[3]镲
tsʰa[7]擦
sa[3]洒撒
sa[7]卅煞圾萨{拉～}
ʧa[1]渣喳楂蚱
ʧa[5]榨炸诈
ʧa[7]扎札铡闸眨吒咤煠{熬煮}
ʧʰa[1]叉差杈
ʧʰa[2]查茶搽
ʧʰa[5]岔杈{又读}
ʧʰa[7]插察
ʃa[1]沙砂纱裟痧
ʃa[7]杀刹
ka[7]旮
kʰa[3]卡咔
kʰa[5]胯{股间}
ŋa[1]桠
xa[1]哈
a[1]阿
a[5]啊
nia[1]□{黏,挨近}
nia[2]□{恼火}
kia[1]家稼加痂嘉佳
kia[3]假贾
kia[5]架驾价嫁
kia[7]甲胛夹荚颊袷
kʰia[1]揢扼
kʰia[2]跨{从别的物件上面迈过}
kʰia[7]恰洽掐
xia[1]虾
xia[2]霞
xia[5]下夏厦
xia[7]瞎辖狭峡侠
ia[1]鸦丫
ia[2]牙芽蚜呀崖涯衙
ia[3]雅哑
ia[5]亚讶轧砑
ia[7]压鸭押
ʧua[1]抓
ʃua[3]耍
ʃua[7]刷
kua[1]瓜
kua[2]聒剐
kua[3]寡
kua[5]挂褂卦
kua[7]刮括
kʰua[1]夸
kʰua[3]垮
kʰua[5]跨挎
xua[1]花哗
xua[2]华铧骅
xua[3]哗
xua[5]化
xua[7]话划滑猾
ua[1]蛙洼
ua[2]娃
ua[3]瓦
ua[5]哇
ua[7]挖袜
po[1]波玻菠啵
po[3]播簸跛
po[5]缚
po[7]拨博搏膊薄勃脖剥钵驳
pʰo[1]坡
pʰo[2]婆
pʰo[3]颇剖
pʰo[5]破
pʰo[7]钹泼
mo[1]摹摩摸魔仫{～佬族}
mo[2]模磨
mo[3]磨蘑
mo[5]漠
mo[7]末沫茉莫膜寞
to[1]多
to[3]朵躲垛
to[5]惰堕跺剁舵
to[7]咄铎夺
tʰo[1]拖
tʰo[2]驮驼鸵坨砣
tʰo[3]妥椭
tʰo[5]唾
tʰo[7]托脱拓
no[1]捼{揉搓}
no[2]挪懦哪{哪吒}
no[5]糯诺傩
lo[1]箩{单用}
lo[2]罗逻锣萝骡螺脶箩
lo[3]裸
lo[5]摞
lo[7]落洛络骆乐{快～}
tso[3]左佐
tso[5]坐座
tso[7]作昨凿酌芍灼勺琢镯嘬{吸吮}
tsʰo[1]搓磋
tsʰo[5]错措挫锉
tsʰo[7]撮
so[1]蓑梭唆
so[2]烁
so[3]所锁琐唢
so[5]傻
so[7]索嗍朔蟀硕
ʧo[7]桌卓绰捉着
ʧʰo[7]戳
ko[1]锅哥歌戈
ko[3]果裹
ko[5]过个
ko[7]国郭廓各割鸽葛蛤阁搁角桷
kʰo[1]科蝌苛柯
kʰo[3]可颗棵
kʰo[5]课
kʰo[7]扩阔壳渴磕嗑确
ŋo[2]俄鹅娥蛾峨硪讹噩
ŋo[3]我
ŋo[5]饿
ŋo[7]颚鄂萼腭鳄
xo[2]和何河荷禾
xo[3]火伙夥
xo[5]货祸贺
xo[7]喝活或惑获合霍藿鹤壑豁郝
o[1]窝蜗涡莴娲倭屙斡
o[5]涴{脏，不洁}
o[7]沃恶{凶狠}
lio[7]略掠
tsio[7]爵
tsʰio[7]雀鹊
sio[7]削屑
kio[7]脚
kʰio[7]却榷觉{感觉}
ŋio[7]弱虐疟
xio[7]学
io[1]哟
io[7]药约钥跃岳若乐{音乐}
pɤ[1]擘掰
pɤ[7]伯柏帛白百
pʰɤ[7]迫魄粕舶泊箔拍帕
mɤ[7]默墨没殁麦脉陌
tɤ[7]得德
tʰɤ[7]特
lɤ[7]勒肋
tsɤ[7]贼则责择泽仄宅
tsʰɤ[7]测侧策册厕坼拆
sɤ[7]色涩瑟塞
kɤ[7]格革隔膈嗝胳疙
kʰɤ[5]去
kʰɤ[7]克客刻咳
ŋɤ[5]□{用钝刀或绳子等来回拉动}
ŋɤ[7]额扼轭
xɤ[7]核阂吓赫黑
ɤ[2]而儿
ɤ[3]耳尔呃{呃逆，叫打～}
ɤ[5]二
pe[3]瘪秕{～谷}
pe[7]别憋
pʰe[7]撇
me[1]咩{羊叫声}
me[7]灭篾蔑搣{掰}
te[1]爹
te[7]叠迭跌蝶碟
tʰe[7]铁贴帖
ne[7]捏聂镊镍孽业
le[7]列烈裂劣猎
tse[3]姐
tse[5]借
tse[7]藉接节截捷
tsʰe[3]且
tsʰe[5]翅趄{让开}
tsʰe[7]切妾
se[1]些
se[2]邪
se[3]写
se[5]谢泄卸泻榭
ʧe[1]遮
ʧe[3]者
ʧe[5]这蔗鹧柘
ʧe[7]哲浙摺折
ʧʰe[1]车
ʧʰe[3]扯
ʧʰe[7]彻窃撤澈
ʃe[1]奢赊
ʃe[2]蛇
ʃe[3]舍
ʃe[5]社射舍赦麝
ʃe[7]设摄舌涉
ke[7]结洁杰劫
kʰe[1]茄
kʰe[7]揭竭怯
xe[1]携
xe[7]协胁歇蝎
ie[1]椰耶
ie[2]爷
ie[3]也野冶
ie[5]夜
ie[7]叶页
sye[7]雪薛说
kye[1]噘
kʰye[2]瘸
kʰye[3]□{拗折}
kʰye[7]缺
xye[1]靴
xye[7]血穴
ye[3]哕{欲呕}抈{拗折}
ye[5]曰越阅悦
ye[7]月
pai[1]□{跛}□{女阴}
pai[3]摆
pai[5]败拜稗
pʰai[2]牌排徘
pʰai[5]派
mai[2]埋
mai[3]买
mai[5]卖迈劢
tai[1]呆
tai[3]歹逮
tai[5]代贷袋待带戴怠
tʰai[1]胎
tʰai[2]台抬苔
tʰai[5]太态泰
nai[1]奶{人称}
nai[3]乃奶乳
nai[5]耐奈
lai[2]来
lai[3]□{液体渗漏}
lai[5]赖癞
tsai[1]灾栽哉
tsai[3]宰崽仔
tsai[5]再在
tsʰai[1]猜
tsʰai[2]才财材裁
tsʰai[3]彩采睬踩
tsʰai[5]蔡菜
sai[1]腮
sai[5]赛
ʧai[1]斋
ʧai[5]寨
ʧʰai[1]差钗
ʧʰai[2]柴豺
ʃai[1]筛
ʃai[5]晒
kai[1]该阶皆街
kai[3]改解
kai[5]盖钙丐界介芥疥蚧届戒诫械尬尴尬鎅{锯，截}
kʰai[1]开
kʰai[3]楷凯垲{这里叫这～}
kʰai[5]慨概
ŋai[1]挨哀
ŋai[2]埃捱
ŋai[3]矮蔼霭
ŋai[5]爱碍艾隘
xai[2]孩还
xai[3]海□{一种酒坛叫酒～}
xai[5]害亥
tsuai[3]□{扔}
tsʰuai[1]揣搋
tsʰuai[3]揣
tsʰuai[5]膪踹
suai[3]摔甩
suai[5]帅率
kuai[1]乖
kuai[3]拐
kuai[5]怪
kʰuai[3]块擓{拔}
kʰuai[5]快筷侩刽会{～计}　
xuai[2]怀槐淮
xuai[5]坏
uai[1]歪
uai[5]外
pəi[1]背杯碑卑婢悲
pəi[5]倍焙蓓背贝辈
pʰəi[1]胚坯
pʰəi[2]培陪赔裴
pʰəi[3]呸
pʰəi[5]配佩沛帔
məi[2]煤媒梅酶霉莓枚玫
məi[3]美每
məi[5]妹昧寐魅
fəi[1]飞非菲啡扉妃
fəi[2]肥
fəi[3]匪诽翡
fəi[5]费废肺痱
təi[1]堆
təi[3]兑{批发，贩}
təi[5]对队兑碓
tʰəi[1]推
tʰəi[2]颓
tʰəi[3]腿
tʰəi[5]退蜕
nəi[3]馁
nəi[5]内
ləi[1]镭{铜元叫铜～}
ləi[2]雷擂蕾
ləi[3]累垒磊
ləi[5]累类泪
tsəi[3]嘴
tsəi[5]最罪醉
tsʰəi[1]崔催摧
tsʰəi[2]随隋
tsʰəi[5]脆翠萃瘁粹
səi[1]虽绥
səi[3]髓
səi[5]岁碎遂隧祟
kəi[5]给
xəi[3]嘿
əi[1]欸{～哟咧}
əi[3]欸{招呼声}
əi[5]欸{叹词表提醒}
tsuəi[1]追锥
tsuəi[5]坠缀赘缒
tsʰuəi[1]吹炊
tsʰuəi[2]锤捶槌
suəi[1]衰{倒霉}
suəi[2]谁垂陲
suəi[3]水
suəi[5]税睡瑞
kuəi[1]规归龟闺硅圭
kuəi[3]轨鬼诡
kuəi[5]贵桂柜跪瑰癸鳜
kʰuəi[1]亏盔
kʰuəi[2]奎魁逵葵馗夔
kʰuəi[3]傀
kʰuəi[5]溃馈愧窥
ŋuəi[2]危
xuəi[1]挥辉灰恢徽
xuəi[2]回蛔茴
xuəi[5]毁悔会汇绘慧惠卉贿讳诲穗
uəi[1]威煨
uəi[2]为违围韦苇微薇唯惟维桅
uəi[3]尾委伟纬萎
uəi[5]为伪位未味卫胃谓尉慰畏喂魏
pau[1]包胞苞褒煲
pau[3]宝饱保葆堡
pau[5]抱鲍刨曝暴爆报豹雹
pʰau[1]抛脬
pʰau[2]刨咆袍匏
pʰau[3]跑
pʰau[5]炮泡
mau[2]毛矛茅
mau[3]铆卯
mau[5]冒帽貌
tau[1]刀
tau[3]导倒岛捣祷
tau[5]到盗稻蹈道
tʰau[1]掏涛滔
tʰau[2]陶淘萄逃桃
tʰau[3]讨
tʰau[5]套
nau[3]脑
nau[5]闹
lau[1]捞
lau[2]劳捞唠痨牢
lau[3]老佬
lau[5]痨
tsau[1]糟遭
tsau[3]早枣澡藻蚤
tsau[5]造灶皂赵兆罩
tsʰau[1]操
tsʰau[2]槽曹嘈巢
tsʰau[3]草
tsʰau[5]糙噪燥躁
sau[1]骚搔臊稍筲
sau[2]韶□{打揍}□{大吃}
sau[3]扫嫂
sau[5]哨梢捎艄潲
ʧau[1]招召沼昭朝钊
ʧau[3]找爪
ʧau[5]照
ʧʰau[1]抄钞超
ʧʰau[2]朝嘲潮
ʧʰau[3]抄吵炒
ʃau[1]烧
ʃau[3]少
ʃau[5]少绍邵
kau[1]高篙膏羔糕
kau[3]搞稿镐
kau[5]告窖
kʰau[1]敲
kʰau[3]考烤拷铐睾
kʰau[5]靠
ŋau[2]熬敖鳌
ŋau[3]袄咬
ŋau[5]澳奥傲懊拗坳
xau[1]蒿薅
xau[2]毫豪嚎壕
xau[3]好
xau[5]号耗浩好
piau[1]标膘彪膘镖
piau[3]表裱婊
pʰiau[1]漂飘
pʰiau[2]瓢嫖
pʰiau[3]瞟
pʰiau[5]票漂鳔
miau[1]猫
miau[2]苗描瞄锚
miau[3]秒渺藐
miau[5]妙庙缪谬
tiau[1]刁雕碉凋
tiau[5]调掉吊钓
tʰiau[1]挑
tʰiau[2]迢条调跳{小孩打闹}
tʰiau[3]斢{调换}
tʰiau[5]跳眺
niau[3]鸟
niau[5]尿
liau[1]撩
liau[2]辽疗僚燎潦镣嘹獠聊寥
liau[3]了
liau[5]料撂
tsiau[1]蕉焦礁椒
tsiau[2]嚼
tsiau[3]剿
tsʰiau[1]锹劁悄缲
tsʰiau[2]瞧憔谯樵俏峭
siau[1]消销肖硝霄宵箫萧
siau[3]小
siau[5]笑
kiau[1]交郊胶茭教矫骄娇浇
kiau[3]搅狡饺绞铰
kiau[5]缴教觉轿叫
kʰiau[2]桥乔侨荞
kʰiau[3]巧
kʰiau[5]窍翘
ŋiau[3]□{爪}
xiau[2]爻淆
xiau[3]尧饶绕挠晓
xiau[5]较效校哮孝酵
iau[1]腰邀妖夭吆
iau[2]摇遥谣瑶窑姚
iau[3]舀扰
iau[5]要耀
məu[1]踎{蹲}
məu[2]谋
məu[3]某亩牡
məu[5]贸茂
fəu[2]浮
fəu[3]否
fəu[5]阜埠{商～}
təu[1]逗兜蔸
təu[3]斗抖陡
təu[5]豆痘鬥{争～}
tʰəu[1]偷
tʰəu[2]头投
tʰəu[3]敨{休息}
tʰəu[5]透
ləu[1]搂褛{掏挖}褛{西式大衣}
ləu[2]楼喽
ləu[3]搂篓缕
ləu[5]漏陋
tsəu[1]邹
tsəu[3]走
tsəu[5]奏揍做骤皱绉
tsʰəu[5]凑
səu[1]搜馊
səu[3]擞艘
səu[5]嗽叟
ʧəu[1]周洲州舟
ʧəu[3]肘
ʧəu[5]宙昼咒
ʧʰəu[1]抽
ʧʰəu[2]仇酬愁筹畴稠绸
ʧʰəu[3]丑醜
ʧʰəu[5]臭
ʃəu[1]收
ʃəu[3]首手守
ʃəu[5]受授售寿兽瘦
kəu[1]沟钩勾阄
kəu[2]□{量词团，块}
kəu[3]狗苟
kəu[5]构够购垢
kʰəu[1]抠
kʰəu[3]口
kʰəu[5]扣叩寇蔻
ŋəu[1]欧鸥殴讴
ŋəu[3]藕偶
ŋəu[5]沤怄
xəu[1]佝{弯腰}
xəu[2]猴侯喉吼
xəu[3]吼{文读}
xəu[5]后厚候
əu[3]呕
tiəu[1]丢
niəu[1]扭揪
niəu[2]牛
niəu[3]扭纽
liəu[1]溜馏
liəu[2]流硫刘留瘤榴
liəu[3]柳
liəu[5]溜绺
tsiəu[3]酒
tsiəu[5]就
tsʰiəu[1]秋
tsʰiəu[2]揪
tsʰiəu[3]啾{嚏喷叫阿～}
tsʰiəu[5]瞅
siəu[1]修羞
siəu[5]袖锈秀绣嗅
kiəu[1]纠赳鸠
kiəu[3]九久灸韭
kiəu[5]究旧救臼舅柩疚咎
kʰiəu[1]丘邱
kʰiəu[2]求球囚
xiəu[1]休
xiəu[3]朽
iəu[1]幽悠优忧
iəu[2]由邮油游尤犹鱿柔揉蹂
iəu[3]有友酉
iəu[5]又右佑釉柚幼诱
iu[7]肉辱褥育毓欲浴狱
pan[1]班斑扳颁
pan[3]板版
pan[5]办扮瓣
pʰan[1]攀
pʰan[2]蟠
pʰan[5]盼襻
man[2]瞒蛮馒
man[5]慢曼蔓幔
fan[1]翻番幡藩蕃
fan[2]烦繁凡帆矾梵樊
fan[3]反返
fan[5]范犯贩饭泛
tan[1]单耽担丹
tan[3]胆疸掸
tan[5]但旦担淡弹蛋诞氮
tʰan[1]摊滩瘫贪
tʰan[2]谈坛痰谭潭弹檀
tʰan[3]坦袒毯
tʰan[5]炭碳探叹
nan[2]男难南楠腩
nan[5]难
lan[1]篮{菜～}
lan[2]兰栏拦蓝篮婪阑澜岚
lan[3]懒览揽缆榄
lan[5]烂滥谰
tsan[1]簪
tsan[3]盏攒
tsan[5]暂赞錾
tsʰan[1]餐参
tsʰan[2]残蚕惭馋谗缠蟾漦{涎沫，口水}
tsʰan[3]惨
tsʰan[5]灿
san[1]三
san[3]散伞
san[5]散
ʧan[3]斩崭
ʧan[5]站
ʧʰan[1]搀
ʧʰan[2]蝉阐禅
ʧʰan[3]产铲
ʃan[1]山衫删珊
ʃan[5]疝汕讪
kan[1]干杆肝甘柑尴
kan[3]感赶敢橄擀秆竿减
kan[5]干赣鉴舰
kʰan[1]刊勘堪龛嵌
kʰan[3]坎砍侃槛阚
kʰan[5]看
ŋan[1]安鞍氨桉庵鹌
ŋan[2]岩癌
ŋan[5]按案暗岸谙黯雁晏
xan[1]酣憨鼾
xan[2]含函涵寒韩衔咸
xan[3]喊罕
xan[5]汉焊旱捍悍汗翰憾限陷馅
pon[1]般搬瘢
pon[5]半拌伴绊畔
pʰon[1]潘
pʰon[2]盘磐
pʰon[5]判叛
mon[2]瞒
mon[3]满
mon[5]漫
ton[1]端
ton[3]短断{拦截}
ton[5]段锻缎煅断
tʰon[2]团抟
non[3]暖
lon[1]躝{钻，穿越}
lon[2]峦挛孪鸾銮圞
lon[3]卵
lon[5]乱
tson[5]赚
son[1]酸
son[5]算蒜
pian[1]边鞭
pian[3]贬扁匾蝙
pian[5]便变辨辩辫卞
pʰian[1]篇偏翩编
pʰian[2]便{～易}
pʰian[5]片骗遍
mian[2]棉绵眠
mian[3]免勉娩冕
mian[5]面
tian[1]颠癫巅掂踮
tian[3]点电典
tian[5]电店惦踮垫淀奠佃甸靛殿
tʰian[1]天添
tʰian[2]田填滇甜恬
tʰian[3]舔掭
nian[1]拈粘黏蔫研
nian[2]年鲇严
nian[3]辇碾捻
nian[5]念验
lian[2]连莲鲢联帘镰廉怜
lian[3]脸
lian[5]练炼楝链恋殓敛
tsian[1]尖煎
tsian[3]践剪
tsian[5]箭渐饯贱荐
tsʰian[1]千迁签笺歼忏纤
tsʰian[2]前钱潜
tsʰian[3]浅
tsʰian[5]纤
sian[1]先仙
sian[3]冼
sian[5]线
ʧian[1]毡詹瞻赡
ʧian[3]展蘸
ʧian[5]占战栈
ʃian[1]煽搧
ʃian[2]婵
ʃian[3]闪陕
ʃian[5]善膳缮扇
kian[1]间艰兼搛奸肩监
kian[3]简检捡俭拣柬茧碱涧笕趼
kian[5]件建键健毽见剑
kʰian[1]牵谦
kʰian[2]乾黔钳虔
kʰian[3]遣
kʰian[5]欠歉芡
xian[2]咸贤闲嫌
xian[3]显险
xian[5]现县宪献苋
ian[1]烟淹阉焉咽胭
ian[2]言盐炎延筵颜阎闫檐芫然燃
ian[3]眼演掩衍染冉髯
ian[5]宴燕艳厌砚焰酽咽
kuan[1]关观官棺冠鳏
kuan[3]管馆莞
kuan[5]惯贯罐灌观冠
kʰuan[1]宽
kʰuan[3]款
xuan[1]欢
xuan[2]环还桓
xuan[3]缓
xuan[5]换唤痪焕涣幻患宦
uan[1]弯湾剜豌
uan[2]完玩顽丸
uan[3]晚碗挽宛腕惋
uan[5]万
tsyan[1]钻
tsyan[5]钻
tsʰyan[2]全泉
tsʰyan[5]篡
syan[1]宣喧楦鲜栓拴闩
syan[3]选癣
ʧyan[1]专砖
ʧyan[3]转
ʧyan[5]纂转传撰篆
ʧʰyan[1]穿川钏
ʧʰyan[2]传船椽
ʧʰyan[3]喘
ʧʰyan[5]串窜
ʃyan[5]旋旋漩
kyan[1]捐娟涓鹃
kyan[3]卷
kyan[5]倦眷圈桊绢券
kʰyan[1]圈
kʰyan[2]权拳颧
kʰyan[3]犬
kʰyan[5]劝
ŋyan[2]软
xyan[1]轩掀
xyan[2]悬玄炫舷弦
yan[1]鸳渊冤
yan[2]元芫原员源园圆缘援媛袁猿辕沿铅
yan[3]远阮
yan[5]院愿怨
pən[1]奔
pən[3]本
pən[5]笨畚
pʰən[1]喷{～水}
pʰən[2]盆
mən[1]闷{性格内向}
mən[2]门们扪
mən[5]闷焖
fən[1]分纷芬
fən[2]坟焚
fən[3]粉
fən[5]份氛忿奋粪愤
tən[1]敦墩蹲
tən[2]□{跺}
tən[5]吨顿钝炖囤盾遁
tʰən[1]吞饨
tʰən[2]屯臀囤
tʰən[5]褪
nən[1]□{搔腋窝以及被搔的感觉}
nən[2]□{食物软烂}
nən[3]恁
nən[5]嫩
lən[1]□{结巴}
lən[2]轮伦沦
lən[5]论
tsən[1]尊遵
tsən[3]怎
tsʰən[1]村
tsʰən[2]存沉臣尘
tsʰən[5]寸衬
sən[1]孙
sən[3]损笋榫省
sən[5]逊
kən[1]根跟
kən[5]哏
kʰən[3]肯啃垦恳
ŋən[1]恩
ŋən[3]□{硌}
xən[2]痕
xən[3]很狠
xən[5]恨
pin[1]宾滨槟鬓膑殡彬斌
tsin[5]进尽晋
tsʰin[1]亲
tsʰin[2]秦寻
tsʰin[5]侵寝浸沁
sin[1]新心森辛芯锌薪
sin[3]审婶
sin[5]信迅汛讯
ʧin[1]真针珍诊贞侦帧斟砧谆
ʧin[2]覃陈岑忱
ʧin[3]诊疹枕
ʧin[5]镇阵振赈震圳俊骏峻竣浚
ʧʰin[5]趁
ʃin[1]深身申伸绅呻抻参
ʃin[2]神辰晨绳
ʃin[3]沈
ʃin[5]甚蜃慎肾
kin[1]金斤巾筋今
kin[3]仅紧
kin[5]近禁襟
kʰin[2]琴擒禽芹勤琼
in[1]因姻阴音荫
in[2]银淫寅吟人仁壬
in[3]引蚓隐瘾饮尹忍
in[5]认韧印纫刃任
kuən[3]滚磙
kuən[5]棍
kʰuən[1]坤昆
kʰuən[3]捆
kʰuən[5]困
xuən[1]婚昏荤晕
xuən[2]魂浑馄横
xuən[5]混
uən[1]温瘟
uən[2]文蚊闻紊纹
uən[3]稳吻
uən[5]问
syn[2]循旬询殉徇巡
ʧyn[3]准
ʧʰyn[1]春椿鹑
ʧʰyn[3]蠢
ʃyn[2]纯醇淳
ʃyn[5]驯顺瞬舜蕈
kyn[1]均钧军君
kyn[5]菌郡
kʰyn[2]群裙
xyn[1]熏勋欣歆
xyn[5]训
yn[2]云匀耘芸
yn[3]允永咏
yn[5]孕韵熨泳润闰酝蕴
paŋ[1]帮邦乓
paŋ[3]榜绑膀
paŋ[5]棒蚌谤
pʰaŋ[1]胮{很臭说～臭}
pʰaŋ[2]旁膀螃庞傍
pʰaŋ[5]胖
maŋ[2]亡忙盲芒茫氓
maŋ[3]莽
faŋ[1]方芳
faŋ[2]房防坊妨肪
faŋ[3]访纺仿
faŋ[5]放
taŋ[1]当裆
taŋ[3]党挡档{～案}
taŋ[5]荡档{摆～}
tʰaŋ[1]汤劏{宰杀}
tʰaŋ[2]堂棠膛唐塘糖搪溏
tʰaŋ[3]躺倘淌趟
tʰaŋ[5]烫
naŋ[1]囔
naŋ[2]瓤囊
laŋ[1]啷㫰{晾}
laŋ[2]狼郎琅榔廊
laŋ[3]朗□{涮}
laŋ[5]浪
tsaŋ[1]赃脏
tsaŋ[5]葬藏{西～}
tsʰaŋ[2]藏
saŋ[1]桑丧
saŋ[3]嗓
saŋ[5]丧
