例字	注释	中古音	公平	九屋	潭下	甘棠	定江	三街	灵田	大圩力村	潮田	大境	海洋江尾
果		果合一上果见	kʊɯ55	kua422	kua44	kuo44	kuo33	kuo33	kuo35	kʊɔ55	kuo55	kuo55	kᵘo55
火		果合一上果晓	fʊɯ55	fu422	fu44	hʊ44	huo33	fu33	hu35	fu55	fu55	fu55	fu55
祸		果合一上果匣	fʊɯ53	huɔ35	hua35	huo35	huo55	huo21	huo55	hʊɔ13	huo24	huo35	hᵘo33
破		果合一去过滂	pʰɯ35	pʰɤᵊ53	pʰu53/pʰuɯ53	pʰuo35	pʰuo55	pʰu35	pʰu55	pʰu35	pʰu24	pʰu35	pʰᵘo53
糯	{~米}	果合一去过泥	ȵi53	nua53	nua53	nuo21	luo31	nuo21	nu44	nu21	nuo21	nuo21	nᵘo33
座		果合一去过从	tsiᴇ33	tsua21	tsua21	tsuo44	tsuo31	tsuo35	tsʰuo21	tsʰʊɔ13	tsʰuo52	tsʰuo53	tsʰᵘo53
过		果合一去过见	kʊɯ35	ku35	ku35	kʊ35	ku55	ku35	ku55	ku35	ku24	ku35	ku53
课		果合一去过溪	kʰʊɯ35	kʰua35	kʰua35	kʰuo35	kʰuo55	kʰuo35	kʰuo55	kʰʊɔ35	kʰuo24	kʰuo35	kʰᵘo53
货		果合一去过晓	fʊɯ35	hua35	hua35	huo35	huo55	huo35	huo55	hʊɔ35	huo24	huo35	hᵘo53
疤		假开二平麻帮	pɒ44	pɤᵊ232	pᵘɔ13	pᵘɔ132	pɔ24	puo13	po242	ɓʊɔ422	pa43	pa42	pa24
爬		假开二平麻並	pɒ21	puɔ33	pᵘɔ33	pᵘɔ22	pɔ22	puo533	pa33	pʊɔ33	pa33	pa33	pa21
麻		假开二平麻明	mɒ21	mɤᵊ33	mᵘɔ33	mᵘɔ22	mɔ22	muo533	mo33	mʊɔ33	ma33	ma33	ma21
茶		假开二平麻澄	tʃo21	tsua33	tsᵘɔ33	tsᵘɔ22	tsɔ22	tʃyɔ533	tsuo33	tʃʰɑ33	tsʰa33	tʃa33	tʃa21
渣		假开二平麻庄	tʃo44	tsua232	tsᵘɔ13	tsᵘɔ132	tsɔ24	tʃyɔ13	tsuo242	tʃɑ422	tsa43	tʃa42	tʃa24
叉		假开二平麻初	tʃʰo44	tsʰua232	tsʰᵘɔ13	tsʰᵘɔ132	tsʰɔ24	tʃʰyɔ13	tsʰuo21	tʃʰɑ422	tsʰa43	tʃʰa42	tʃʰa24
查	{调~}	假开二平麻崇	tʃɒ21	tsua33	tsᵘɔ33	tsᵘɔ22	tsɔ22	tʃyɔ533	tsuo33	tʃʰɑ33	tsʰa33	tʃa33	tsa21
沙		假开二平麻生	ʃo44	sua232	sᵘɔ13	sᵘɔ132	sɔ24	ʃyɔ13	suo242	ʃɑ33	sa43	ʃa42	ʃa24
家		假开二平麻见	kɒ44	kiɔ232	kᵘɔ13{家具}/tʃiᵘɔ13{家长}	kᵘɔ132	kɔ24	kuo13	kuo242	kɑ422	ka43	ka42	ka24
牙		假开二平麻疑	ŋo21	ua33	ᵘɔ33	ŋᵘɔ22	ŋɔ22	ŋuo533	ŋuo33	ŋɑ33	ŋa33	ŋa33	ŋa21
虾	{鱼~}	假开二平麻晓	ho44	hua232	hᵘɔ13	hᵘɔ132	ha24	huo13	huo242	hɑ422	ha43	ha42	ha24
丫	{~头}	假开二平麻影	ɒ44	ua232	ᵘɔ13	ŋᵘɔ132	ŋɔ24	uɔ13	uo242	ɑ422	iɑ43	a42	a24
把		假开二上马帮	pɒ55	pɤᵊ422	pᵘɔ44	pa44	pɔ33	puɔ33	po35	ɓʊɔ55	pa55	pa55	pa55
马		假开二上马明	mɒ33	mɤᵊ21	mᵘɔ21	mᵘɔ44	mɔ13	muɔ33	mo21	mʊɔ13	mã52	ma53	ma55
洒		假开二上马生	sɒ55	suɔ5	sᵘɔ44	sᵘɔ5		suo5	suo21/suᴇ35		ʃiɑ24	sa55	sa55
假	{真~}	假开二上马见	kɒ55	kuɔ422	kᵘɔ44	kᵘɔ44	kɔ33	kuɔ33	kuo35	kɑ55	ka55	ka55	ka55
下	{底~}	假开二上马匣	ho53	hua21	hᵘɔ53	hᵘɔ21	ha13	huɔ21	huo21	hɑ21	ha21	ha53	ha21
哑		假开二上马影	o55	ua422	ᵘɔ44	ŋᵘɔ44	ɔ33	uɔ33	uo35	ɑ55	ŋa55	a55	a55
霸		假开二去祃帮		puɔ35	pᵘɔ35	pᵘɔ35	pɔ55	puɔ35	po55	ɓʊɔ35	pa24	pa35	pa53
爸		假开二去祃帮	mɒ33	pa5	pa33	pa44/ta35	pa33	pa5	ia33/pa35	ɓɑ55	ta24	pa33	pa33
骂		假开二去祃明	mɒ53	mɤᵊ53	mᵘɔ53	mᵘɔ21	mɔ31	muɔ21	mo44	mʊɔ21	ma21	ma21	ma33
榨	{~油}	假开二去祃庄	tʃo35	tsua35	tsᵘɔ35	tsᵘɔ35	tsɔ55	tʃyɔ35	tsuo55	tʃɑ35	tsa24	tʃa35	tʃa53
岔		假开二去祃初	tʃʰo35	tsʰua53	tsʰᵘɔ53	tsʰᵘɔ35	tsʰɔ55	tʃʰyɔ35	tsʰuo55	tʃʰɑ35	tsʰa24	tʃʰa35	tʃʰa53
嫁		假开二去祃见	kɒ35	kuɔ35	kᵘɔ35	kᵘɔ35	kɔ55	kuɔ35	kuo55	kɑ35	ka24	ka35	ka53
价		假开二去祃见	kɒ35	kuɔ35	kᵘɔ35	kᵘɔ35	kɔ55	kuɔ35	kuo55	kɑ35	ka24	ka35	ka53
斜		假开三平麻邪	siɒ21/siᴇ21{多说}	ua232{训读}/tsʰua21	tʃʰiᵘɔ33	tʃiɔ22	tʃio22	tʃyɔ533	tia35		ʃiɑ24	ʃia33	sia21
车	{马~}	假开三平麻昌	tʃʰiᴇ44	tsʰua232	tsʰᵘɔ13	tsʰᵘɔ132	tsʰɔ24	tʃʰyɔ13	tsʰa242	tʃʰɑ422	tʃʰa43	tʃʰa42	tʃʰa24
蛇		假开三平麻船	ʃiᴇ21	sua33	sᵘɔ33	sᵘɔ22	sɔ22	ʃyɔ533	sa33	ʃiɔ33	ʃa33	ʃa33	ʃa21
爷		假开三平麻以	lau33{训读}	tiᴇ232	tiɛ13{训读}	iɔ22	io22	iᴇ533	koŋ242{训读}	kiᴇ̃422{训读}	koŋ24{训读}	iɛ21{借桂}	ia21
姐		假开三上马精	tɒ53	tʃiᴇ422	tʃiɛ44	tʃie44	tʃie33	tʃiᴇ33	tɕiᴇ35	tʃiᴇ55	ta21	tʃiɛ55	
写		假开三上马心	siᴇ55	ʃiɔ422	ʃiᵘɔ44	ʃiɔ44	ʃio33	ʃyɔ33	ɕia35	ʃiɑ55	ʃiɑ55	ʃia55	sia55
扯		假开三上马昌	tʃʰiᴇ55	tʃʰiᴇ21	tʃʰiɛ21	tʃʰie44		tʃʰiᴇ33	tsʰa35	tʃʰiɔ55	kʰuæ55{训读}	tʃʰa55	tʃʰa55/kʰuæ55{训读}
社		假开三上马禅	ʃiᴇ35	sua21	ʃiᵘɔ21	sᵘɔ21	sɔ31	ʃyɔ21	sa44	ʃiɔ21	ʃa21	ʃiɛ35	ʃa33/ʃiɛ24
惹		假开三上马日		iɔ422	iᵘɔ44	ȵiɔ44	lio33	iᴇ33	ŋia35	ȵiɑ55	iɑ52	iɛ53	ia55
也	{~是}	假开三上马以	i33/iᴇ33/a33	a33	a21	a21	io13	a35	a21	iᴇ53{借桂}	iɑ52	ia53	ia55
野		假开三上马以	io33	iɔ21	iᵘɔ21	iɔ44	io13	iᴇ33	ia21	iᴇ13	iɑ52	ia53	ia55
借		假开三去祃精		tʃiɔ35	tʃiᵘɔ35	tʃiɔ35	tʃio55	tʃyɔ35	tɕia55	tʃiɑ35	tʃiɑ24	tʃia35	tsia53
泻		假开三去祃心	siᴇ35	ʃiɔ35	ʃiᵘɔ35	ʃiɔ35	ʃio55	ʃyɔ35	ɕia55	ʃiɑ35	ʃiɑ24	ʃia35	sia53
谢		假开三去祃邪	siᴇ35	səi33{文读}	tʃiᵘɔ53	tʃiɔ21	tʃio31	səi21	ɕiᴇ44	ʃiᴇ35	ʃiᴇ24	ʃiɛ35	sia53
夜		假开三去祃以	iɒ53	iɔ53	iᵘɔ53	iɔ21	io31	iᴇ21	ia44	iɔ21	iɑ21	ia21	ia33
瓜		假合二平麻见	kʊɒ44	kua232	kua13	kᵘɔ132	kua24	kuɔ13	kua242	kʊɔ422	kuɑ43	kua42	kua24
夸		假合二平麻溪		kʰua232	15	kʰua132	kʰua24	kʰua13	kʰua242	kʰʊɑ33{借桂}	kʰuɑ43	kʰua42	kʰua24
花		假合二平麻晓	fɒ44	hua232	huɯ13	hᵘɔ132	hua24	huɔ13	hua242	hʊɔ422	huɑ43	hua42	hua24
划	{~船}	假合二平麻匣	fɒ53	hua53	huɯ53	hua22	tsʰa24{训读}	ua5	hua33	hʊɔ21	huɑ21	hua21	hua21
寡		假合二上马见	kʊɒ55	kua422	kua44	kᵘɔ44	kua33	kuɔ33	kua35	kʊɔ55	kuɑ55	kua55	kua55
瓦		假合二上马疑	ŋo33	ua21	ua21	ŋᵘɔ44	ŋɔ13	uɔ33	ua21	ŋʊɔ33	uɑ52	ua53	ua53
化		假合二去祃晓	fɒ53	hua53	huɯ53	hᵘɔ35	hua55	huɔ35	hua55	hʊɔ21	huɑ24	hua21	hua33
铺	{~设}	遇合一平模滂	pʰʊ44	pʰu232	pʰu13	pʰʊ132	pʰu24	pʰu13	pʰu242	pʰu422	pʰu43	pʰu42	pʰu24
菩		遇合一平模並	pʊ21	pua33	pu33	15	pu22	pu533	pu33	pʰu21{借桂}	pu33	pu33	pu21
模	{~子}	遇合一平模明	mʊ21	mu33	mu33	muo22	mu22	muo533	muo33	mʊɔ33	m̩33	mu33	mᵘo21
都	{~是}	遇合一平模端	tʊ44	tɤᵊ33/tu33{变调}	tu13	tʊ132	tu24	tu13	lɑu33	ɗu422	tu33{变调}	tu42	tu24
徒		遇合一平模定	tɑʊ21	tu33	tᵘɔu33	tʊ22	tu22	tu533	tu33	tu33	tu33	tu33	tu21
涂		遇合一平模定	tɑʊ21	tu33	tᵘɔu33	tʊ22	tu22	tu533	tu33	tu33	tu33	tu33	tu21
奴		遇合一平模泥	nɑʊ21	nu33	nᵘɔu33	nʊ22	lu22	lu533	nu33	nu33	nu21{借桂}	nu33	nu21
炉		遇合一平模来	lɑʊ21	nu33	nᵘɔu33	nʊ22	lu22	lu533	lu33	lu33	nu33	lu33	lu21
租		遇合一平模精	tsɑʊ44	tsau232	tsᵘɔu13	tsʊ132	tsu24	tsu13	tsu242	tsu422	tsu43	tsu42	tsu24
粗		遇合一平模清	tsʰɑʊ44	tsʰau232	tsʰᵘɔu13	tsʰʊ132	tsʰu24	tsʰu13	tsʰu242	tsʰu422	tsʰu43	tsʰu42	tsʰu24
苏		遇合一平模心	sɑʊ44	sau232	sᵘɔu13	sʊ132	su24	su13	su242	su422	su43	su42	su24
孤		遇合一平模见		ku232	ku13	kʊ132	ku24	ku13	ku242	ku422	ku33{借桂}	ku42	ku24
枯		遇合一平模溪		fu232	kʰu13	kʰʊ132	kʰu24	kʰu13	kʰu242	kʰu33{借桂}	kʰu43	kʰu42	kʰu24
蜈		遇合一平模疑		ŋ̩33	u33	ŋ̩22	u22	u533	ŋ̩33	u33	u33	u33	u21
湖		遇合一平模匣	fʊ21	fu33	fu33	fʊ22	fu22	fu533	fu33	fu33	fu33	fu33	fu21
胡	{~子}	遇合一平模匣	fʊ21	fu33	fu33	fʊ22	fu22	fu533	fu33	fu33	fu33	fu33	fu21
乌		遇合一平模影		u232	u13	ʊ132	u24	u13	u242	u33{借桂}	u43	u42	u24
补		遇合一上姥帮	pʊ55	pu422	pu44	pʊ44	pu33	pu33	pu35	ɓu55	pu55	pu55	pu55
普		遇合一上姥滂		pʰu21	pʰu21	pʰʊ44	pʰu13	pʰu33	pʰu35	pʰu55	pʰu55	pʰu55	pʰu55
部		遇合一上姥並	pʊ53	pu53	pu53	pʊ21	pu31	pu21	pʰu44	pu35	pu21	pu21	pu53
堵		遇合一上姥端	tʊ55	tu422	tᵘɔu44	tʊ44	tu33	tu33	lu35	ɗu55	tu55	tu55	tu55
土		遇合一上姥透	tʰɑʊ55	tʰu21	tʰᵘɔu21	tʰʊ44	tʰu13	tʰu33	tʰu35	tʰu55	tʰu55	tʰu55	tʰu55
肚		遇合一上姥定	tɑʊ55	tu422	tᵘɔu21	tʊ44	tu13	tu33	tu21	tu13	tu21	tu21	tu55
努		遇合一上姥泥		nu53{借桂}	15	nʊ44	lu33	lu33	nu35		nu52	nu53	lu55
卤		遇合一上姥来	lɑʊ33	nu21	nᵘɔu21	nʊ44	lu33	lu33	lu21	lu13	nu52	lu53	lu55
祖		遇合一上姥精	tsɑʊ55	tsu422	tsᵘɔu44/tsu44	tsʊ44	tsu33	tsu33	tsu35	tsu55	tsu55	tsu55	tsu55
古		遇合一上姥见	kʊ55	ku422	ku44	kʊ44	ku33	ku33	ku35	ku55	ku55	ku55	ku55
牯		遇合一上姥见	kʊ55	ku422	ku44	kʊ44	ku33	ku33	ku35	ku55	ku55	ku55	ku55
鼓		遇合一上姥见	kʊ55	ku422	ku44	kʊ44	ku33	ku33	ku35	ku55	ku55	ku55	ku55
苦		遇合一上姥溪	fʊ55	fu422	kʰu21	kʰʊ44	kʰu13	kʰu33	kʰu35	kʰu55	kʰu55	kʰu55	kʰu55
五		遇合一上姥疑	ŋ̩33	ŋ̩21	ŋ̩21	ŋ̩44	ŋ̩13	ŋ̩33	ŋ̩35	ŋ̩13	ŋ̩52	ŋ̩53	ŋ̩55
虎		遇合一上姥晓	fʊ55	fu422	fu44	fʊ44	fu33	fu33	fu35	fu55	fu55	fu55	fu55
户		遇合一上姥匣	fʊ53	fu53	fu53	fʊ21	fu31	fu21	fu44	fu35	fu24	fu21	fu53
布		遇合一去暮帮	pʊ35	pu35	pu35	pʊ35	pu55	pu35	pu55	ɓu35	pu24	pu35	pu53
铺	{店~}	遇合一去暮滂	pʰʊ35	pʰu53	pʰu21	pʰʊ35	pʰu55	pʰu35	pʰu55	pʰu35	pʰu24	pʰu35	pʰu53
步		遇合一去暮並	pʊ53	pu53	pu53	pʊ21	pu31	pu21	pu44	pu21	pu21	pu21	pu53
吐	{呕~}	遇合一去暮透	tʰɑʊ35	tʰua53	tʰᵘɔu53	tʰʊ35	tʰu55	tʰu35	tʰu55	tʰu35	tʰu24	tʰu35	tʰu53
兔		遇合一去暮透	tʰɑʊ35	tʰu53	tʰᵘɔu53	tʰʊ35	tʰu55	tʰu35	tʰu55	tʰu35	tʰu24	tʰu35	tʰu53
路		遇合一去暮来	lɑʊ53	nu53	nᵘɔu53	nʊ21	lu31	lu21	lu44	lu21	nu21	lu21	lu33
做		遇合一去暮精	tsʊo55	tsɿ35	tsɿ35	tsɿ35	tsɿ55	tsɿ35	tsɿ55	tsɿ35	tsɿ24	tsɿ35	tsɿ53
醋		遇合一去暮清	tsʰɑʊ35	tsʰau53	tsʰᵘɔu35	tsʰʊ35	tsʰu55	tsʰu35	tsʰu55	tsʰu35	tsʰu24	tsʰu35	tsʰu55
素		遇合一去暮心	sɑʊ35	su35{借桂}	sᵘɔu35/su35	sʊ35	su55	su35	su55	su35	su24	su35	su53
固		遇合一去暮见	kʊ35	ku35	ku35	kʊ35	ku55	ku35	ku55	ku35	ku24	ku35	ku53
裤		遇合一去暮溪	fʊ35	fu422	kʰu53	kʰʊ35	kʰu55	kʰu35	kʰu55	kʰu35	kʰu24	kʰu35	kʰu53
恶	{可~}	遇合一去暮影	o55	ua5	ᵘɔ5/u35	uo5	u31	u21	u55	u35{借桂}	u24	uo5	
驴		遇合三平鱼来		nɯ33	ny33	15	ly22	lu533	ly33	ly33	ȵy33	ly33	ly21
徐		遇合三平鱼邪		tsu33	tʃy33	tʃʏ22	tʃy22	tʃy533	tɕy33	tʃʰy33	ʃy33	tʃy33	tʃy21
猪		遇合三平鱼猪	tiau44	tɯ232	ty13	tʏ132	ty24	ty13	ly242	ɗy422	ty43	ty42	tʃy24
除		遇合三平鱼澄	tʃʊ21	tsu33	tʃy33	tʃʏ22	tʃy22	tʃy533	tɕy33	tʃʰy33	tsʰu33	tʃy33	tʃy21
初		遇合三平鱼初	tʃʰau44	tsʰau232	tsʰᵘɔu13	tsʰʊ132	tsʰu24	tsʰu13	tsʰu242	tsʰu422	tsʰu43	tsʰu42	tsʰu24
书		遇合三平鱼书	ʃau44	su232	ʃy13	ʃʏ132	ʃy24	ʃy13	ɕy242	ʃy422	ʃy43	ʃy42	ʃy24
如		遇合三平鱼日		ɯ33	y33	ʏ22	y22	y533{老派}/iu533{新派}	iɑu33	y33	y33	y33	y21
居		遇合三平鱼见			tʃy13	kʏ132	tʃy24	tʃy13	tɕy242	ty422	tʃy43		tʃy24
墟		遇合三平鱼溪	hiau44	hɯ232	ʃy13	hʏ132	ʃy24	hu13	ɕy242	ʃy33{借桂}	ʃy43	ʃy42	ʃy24
渠		遇合三平鱼群		kʰɯ21	tʃʰy21{借桂}	kʰʏ22	tʃy22	tʃʰy533	tɕy33		tʃyɘŋ24{训读}	tʃy33	tʃʰy21
鱼		遇合三平鱼疑	ȵiau21	ŋ̩33	ŋ̩33	ŋ̩22	ŋ̩22	ŋ̩533	ŋ̩33	ŋ̩33	ŋ̩33	ŋ̩33	ŋ̩21
虚		遇合三平鱼晓	hiau44	hɯ232	ʃy13	hʏ132	ʃy24	ʃy13/hu13	ɕy242	ʃy33{借桂}	ʃy43	ʃy42	ʃy24
淤		遇合三平鱼影		ɯ232	y33{借桂}	ʏ132	y24	y13	y242	y33{借桂}	y33	y33	y24
女		遇合三上语泥	ȵiau33	nɯ21	ny21	ȵʏ44	lu13	ly33	ny21	ȵy13	ȵy52	ȵy53	ȵy55
吕		遇合三上语来	liau33	nɯ21	ny21	ȵʏ44	ly13	ly33	ly21	ly13	ȵy52	ly53	ly55
序		遇合三上语邪		ʃy35{借桂}	ʃy21	ʃʏ35	ʃy55	ʃy35	ɕy44	ʃy35	ʃy24	tʃy33	sy53
煮		遇合三上语章	tʃau55	tsu422	tʃy44	tʃʏ44	tʃy33	tʃy33	tɕy35	tʃy55	tʃy55	tʃy55	tʃy55
处	{相~}	遇合三上语昌	tʃʰau55	tsʰu21	tʃʰy21	tʃʰʏ44	tʃʰy13	tʃʰy33	tɕʰy35	tsʰu55		tsʰu42	tʃʰy55
鼠		遇合三上语书	ʃau55	su21	ʃy44	tʃʰʏ44	tʃʰy13	ʃy33	suᵉi35	ʃy44	ʃy55	ʃy55	ʃy55
举		遇合三上语见	ki55	kɯ422	tʃy44	kʏ44	tʃy33	tʃy33	ky35	ky55	tʃy55	tʃy55	tʃy55
巨		遇合三上语群		tʃy35{借桂}	tʃy35	kʏ35	tʃy13	tʃy21	ky44	ky35	tʃy24	tʃy35	tʃy53
语		遇合三上语疑	iau33	ɯ21	y21	ʏ44	y33	y33	y21	y53{借桂}	y52	y53	y55
许		遇合三上语晓	hiau55	hɯ422	ʃy44	hʏ44	ʃy33	ʃy33	ɕy35	ʃy55	ʃy55	ʃy55	ʃy55
与		遇合三上语以		ɯ422	y44	ʏ44	y33	y33				y53	y55
虑		遇合三去御来	liau53	ny35{借桂}	ny53	ȵʏ21	ly31	ly21	ly44	ly21	ȵy24	ly21	ly33
助		遇合三去御崇		tsu21	15	tsʊ21	tsu31	tsu21	tsu44	tsu35	tsʰu21	tsu21	tsu33
薯		遇合三去御禅	ʃau21	su33	ʃy33	ʃʏ22	ʃy22	ʃy533	ɕy33	ʃy33	ʃy33	ʃy33	ʃy21
去	{来~}	遇合三去御溪	hau35	hɯ53	kʰɯ53	kʰʏ35	kʰi55	kʰu35	kʰa33	kʰy35	kʰɤ24	kʰɤ35	kʰɤ53
夫		遇合三平虞非	fʊ44	fu232	fu13	fʊ132	fu24	fu13	fu242	fu33{借桂}	fu33{借桂}	fu42	fu24
符		遇合三平虞奉	fʊ21	fu33	fu33	fʊ22	fu22	fu533	fu33	fu21{借桂}	fu33	fu33	fu21
无		遇合三平虞微	ȵiau33	ŋ̩33	ŋ̩33	ʊ22		u533	u33	u33			u21
须	{胡~}	遇合三平虞心	sᴇɪ44	sɿ232	ʃy33{借桂}	ʃʏ132	ʃy24	ʃy13	ɕy242	ʃy33{借桂}	ʃy43	ʃy42	sy24
厨		遇合三平虞澄	tiau21	tsu33	tʃy33	tʃʏ22	tsu22	tʃy533	tɕy33	tʃʰy33	tsʰu33	tʃy33	tʃy21
朱		遇合三平虞章		tsu232	tʃy13	tʃʏ132	tʃy24	tʃy13	tɕy242	tʃy422	tsu43	ty42	tʃy24
输		遇合三平虞书	ʃau44	su232	ʃy13	ʃʏ132	ʃy24	ʃy13	ɕy242	ʃy422	ʃy43	ʃy42	ʃy24
区		遇合三平虞溪		kʰɯ232	tʃʰy13	kʰʏ132	tʃʰy24	tʃʰy13	kʰy242	kʰy33{借桂}	tʃʰy43	tʃʰy42	tʃʰy24
于		遇合三平虞云		ɯ33	y21{借桂}	ʏ22	y22	y533	y33	y33	y21{借桂}	y21{借桂}	y21
斧		遇合三上麌非	fʊ55	fu422	fu44	fʊ44	fu33	fu33	fu35	fu55	fu55	fu55	fu55
腐		遇合三上麌奉	fʊ35	fu21	fu21	fʊ44	fu13	fu33	fu44	fu55	fu21	fu21	fu55
武		遇合三上麌微	u33/ŋ̩33	u21	ŋ̩21	ʊ44	u33	u33	u21	ŋ̩13	u52	u53	u55
娶		遇合三上麌从	tsʰau55	tsʰɿ21	tʃʰy21	tʃʰʏ44	tʃʰy13	tʃʰy33	ɕɜ35	tʃʰy53{借桂}	tʃʰy55	tʃʰy55	tsʰy55
柱		遇合三上麌澄	tiau33	tɯ21	ty21	tʏ44	ty13	ty33	ty21	ɗy13	ty52	ty53	tʃy53
数	{动~}	遇合三上麌生	ʃau55	sau422	sᵘɔu44	sʊ44	su33	su33	su35	su55	su55	su53	su55
主		遇合三上麌章	tʃau55	tsu422	tʃy44	tʃʏ44	tʃy33	tʃy33	tɕy35	tsu55	tʃy55	tsu55	tʃy55
竖		遇合三上麌禅	ʃau33	taŋ53{训读}	ʃy53	15	ʃy31	ʃy35	su44	tʃʰy13	su24{借桂}	su35	ʃy33
雨		遇合三上麌云	iau33	ɯ21	y21	ʏ44	y33	y33	y21	y13	y52	y53	y55
羽		遇合三上麌云		y53{借桂}	y21	ʏ44	y33	y33	y21	y13	y52	y53	y55
附		遇合三去遇奉	fʊ35	fu53	fu53	15	fu55	fu35	fu44	fu35{借桂}	fu24	fu35	fu53
雾		遇合三去遇微	u53	u53	u53	ʊ21	u31	u21	u44	u21	u24	u21	u33
住		遇合三去遇澄	tiau53	tɯ53	ty53	tʏ21	ty31	ty21	ty44	ɗy21	ty21	ty21	ty33
数	{名词}	遇合三去遇生	ʃau35	su35	sᵘɔu35/ʃy35	sʊ35	su55	su35	su44	su35	su24	su35	su53
树		遇合三去遇禅	ʃau53	su53	ʃy53	ʃʏ21	ʃy31	ʃy21	ɕy44	ʃy21	ʃy21	ʃy21	ʃy33
句		遇合三去遇见	kiau35	kɯ35	tʃy35	kʏ35	ky55	ku35	ky55	ky35	tʃy24	tʃy35	tʃy53
具		遇合三去遇群		kɯ35	tʃy53	kʏ21	tʃy55	tʃy21	tɕy44	ky35	tʃy24	tʃy35	tʃy53
遇		遇合三去遇疑	i53	ɯ53	y53	ʏ21	y31	y21	y44	y21	y21	y21	y33
芋		遇合三去遇云	i53	ɯ53	y53	ʏ21	y31	y21	y44	y21	y21	y21	y33
胎		蟹开一平咍透	tʰæ44	tʰuo232	tʰuɯ13	tʰye132	tsʰuəi24	tʰɤ13	tʰɛ242	tʰᴇɪ422	tʰe43	tʰɛ42	tʰɛ24
台		蟹开一平咍定	ta21	tuo33	tuɯ33	tye22	tsuəi22	tɤ533	tɛ33	tᴇɪ33	te33	tɛ33	tɛ21
来		蟹开一平咍来	la21	nuo33	nuɯ33	nye22	ləi22	lɤ533	lɛ33	lᴇɪ33	nᴇi33	lɛi33	lɘi21
灾		蟹开一平咍精	tʃiᴇ33	tsuo232	tsa13	tʃye132	tsəi24	tsɤ13	tsɛ242	tsæ̃e422	tse43	tsɛ42	tsɛ24
