繁	IPA	調類	解釋	陰平-1	13
倒	tau	5			
掏	tʰau	1			
逃	tʰau	2			
討	tʰau	3			
套	tʰau	5			
嘮	lau	1			
勞	lau	2			
撓	lau	3			
鬧	lau	5			
招	tsau	1			
找	tsau	3			
趙	tsau	5			
朝	tsʰau	2			
曹	tsʰau	2			
吵	tsʰau	3			
□	tsʰau	5	攪動		
燒	sau	1			
韶	sau	2			
少	sau	3			
紹	sau	5			
繞	ʐau	2			
擾	ʐau	3			
繞	ʐau	5			
高	kau	1			
稿	kau	3			
告	kau	5			
靠	kʰau	1			
考	kʰau	3			
靠	kʰau	5			
薅	xau	1			
豪	xau	2			
好	xau	3			
好	xau	5			
熬	Øau	1	熬粥		
熬	Øau	2	熬夜		
襖	Øau	3			
奧	Øau	5			
標	piau	1			
錶	piau	3			
表	piau	3			
□	piau	5	纏住不放		
飄	pʰiau	1			
瓢	pʰiau	2			
漂	pʰiau	3	漂白		
漂	pʰiau	5	漂亮		
苗	miau	2			
秒	miau	3			
繆	miau	5			
叼	tiau	1			
屌	tiau	3			
調	tiau	5			
挑	tʰiau	1	又		
條	tʰiau	2			
挑	tʰiau	3	又		
眺	tʰiau	5			
撩	liau	1			
聊	liau	2			
鳥	liau	3			
料	liau	5			
交	tɕiau	1			
攪	tɕiau	3			
敲	tɕʰiau	1			
橋	tɕʰiau	2			
巧	tɕʰiau	3			
翹	tɕʰiau	5			
消	ɕiau	1			
淆	ɕiau	2			
小	ɕiau	3			
校	ɕiau	5			
腰	Øiau	1			
搖	Øiau	2			
舀	Øiau	3			
耀	Øiau	5			
否	fəu	3			
都	təu	1			
毒	təu	2			
肚	təu	3			
度	təu	5			
偷	tʰəu	1			
屠	tʰəu	2			
吐	tʰəu	3			
兔	tʰəu	5			
擼	ləu	1			
樓	ləu	2			
摟	ləu	3			
路	ləu	5			
租	tsəu	1			
竹	tsəu	2			
祖	tsəu	3			
皺	tsəu	5			
粗	tsʰəu	1			
愁	tsʰəu	2			
醜	tsʰəu	3			
觸	tsʰəu	5			
蘇	səu	1			
叔	səu	2			
手	səu	3			
受	səu	5			
揉	ʐəu	2			
辱	ʐəu	3			
肉	ʐəu	5			
溝	kəu	1			
狗	kəu	3			
夠	kəu	5			
摳	kʰəu	1			
扣	kʰəu	5			
齁	xəu	1			
猴	xəu	2			
吼	xəu	3			
厚	xəu	5			
歐	Øəu	1			
牛	Øəu	2			
藕	Øəu	3			
慪	Øəu	5			
謬	miəu	5			
丟	tiəu	1			
溜	liəu	1			
留	liəu	2			
扭	liəu	3			
榴	liəu	5			
糾	tɕiəu	1			
□	tɕiəu	2	歪，不正		
酒	tɕiəu	3			
舊	tɕiəu	5			
秋	tɕʰiəu	1			
求	tɕʰiəu	2			
糗	tɕʰiəu	3			
□	tɕʰiəu	5	耷拉		
修	ɕiəu	1			
蓄	ɕiəu	2	蓄髮		
朽	ɕiəu	3			
秀	ɕiəu	5			
優	Øiəu	1			
油	Øiəu	2			
有	Øiəu	3			
右	Øiəu	5			
班	pan	1			
板	pan	3			
半	pan	5			
潘	pʰan	1			
盤	pʰan	2			
判	pʰan	5			
蠻	man	2			
滿	man	3			
漫	man	5			
凡	fan	1			
煩	fan	2			
反	fan	3			
飯	fan	5			
單	tan	1			
膽	tan	3			
蛋	tan	5			
攤	tʰan	1			
壇	tʰan	2			
貪	tʰan	3			
探	tʰan	5			
男	lan	2			
懶	lan	3			
濫	lan	5			
沾	tsan	1			
咱	tsan	2			
展	tsan	3			
佔	tsan	5			
參	tsʰan	1			
纏	tsʰan	2			
鏟	tsʰan	3			
懺	tsʰan	5			
山	san	1			
□	san	2	抖、晃動		
閃	san	3			
善	san	5			
染	ʐan	3			
肝	kan	1			
□	kan	2	表示給的發語詞		
敢	kan	3			
幹	kan	5	幹嘛		
刊	kʰan	1			
砍	kʰan	3			
看	kʰan	5	看見		
憨	xan	1			
韓	xan	2			
喊	xan	3			
漢	xan	5			
安	Øan	1			
俺	Øan	3			
案	Øan	5			
邊	pian	1			
扁	pian	3			
便	pian	5	方便		
偏	pʰian	1			
便	pʰian	2	便宜		
篇	pʰian	3			
騙	pʰian	5			
棉	mian	2			
勉	mian	3			
面	mian	5			
麵	mian	5			
踮	tian	1			
店	tian	5			
天	tʰian	1			
田	tʰian	2			
舔	tʰian	3			
掭	tʰian	5			
蔫	lian	1			
年	lian	2			
攆	lian	3			
鏈	lian	5			
間	tɕian	1			
□	tɕian	2	表示給的發語詞		
減	tɕian	3			
劍	tɕian	5			
牽	tɕʰian	1	牽手		
錢	tɕʰian	2			
潛	tɕʰian	3			
倩	tɕʰian	5			
先	ɕian	1			
閒	ɕian	2			
顯	ɕian	3			
現	ɕian	5			
淹	Øian	1			
鹽	Øian	2			
眼	Øian	3			
驗	Øian	5			
關	kuan	1			
管	kuan	3			
灌	kuan	5			
寬	kʰuan	1			
款	kʰuan	3			
摜	kʰuan	5			
歡	xuan	1			
環	xuan	2			
緩	xuan	3			
患	xuan	5			
彎	Øuan	1			
玩	Øuan	2			
碗	Øuan	3			
萬	Øuan	5			
軟	Øyɛn	3			
阮	Øyɛn	3			
奔	pən	1			
本	pən	3			
笨	pən	5			
噴	pʰən	1	噴水		
盆	pʰən	2			
燜	mən	1			
門	mən	2			
悶	mən	5			
豐	fən	1			
馮	fən	2			
瘋	fən	3			
憤	fən	5			
燈	tən	1			
□	tən	2	顛簸		
等	tən	3			
瞪	tən	5			
吞	tʰən	1			
疼	tʰən	2			
騰	tʰən	5			
輪	lən	2			
論	lən	5			
真	tsən	1			
整	tsən	3			
證	tsən	5			
村	tsʰən	1			
城	tsʰən	2			
逞	tsʰən	3			
趁	tsʰən	5			
生	sən	1			
神	sən	2			
沈	sən	3			
勝	sən	5			
扔	ʐən	1			
人	ʐən	2			
忍	ʐən	3			
任	ʐən	5			
跟	kən	1			
哽	kən	3			
亙	kən	5			
肯	kʰən	3			
□	kʰən	5	扣兒，小氣		
哼	xən	1			
痕	xən	2			
狠	xən	3			
恨	xən	5			
你	Øən	1	誤記		
你	n̩	3	白		
硬	Øən	5			
冰	pin	1			
兵	pin	1	原文誤記為3		
並	pin	5			
拼	pʰin	1			
貧	pʰin	2			
品	pʰin	3			
聘	pʰin	5			
泯	min	1			
民	min	2			
敏	min	3			
命	min	5			
丁	tin	1			
頂	tin	3			
訂	tin	5			
聽	tʰin	1	聽歌		
停	tʰin	2			
挺	tʰin	3			
聽	tʰin	5	聽牌		
拎	lin	1			
林	lin	2			
領	lin	3			
令	lin	5			
精	tɕin	1			
井	tɕin	3			
竟	tɕin	5			
清	tɕʰin	1			
情	tɕʰin	2			
請	tɕʰin	3			
沁	tɕʰin	5			
新	ɕin	1			
行	ɕin	2			
醒	ɕin	3			
性	ɕin	5			
英	Øin	1			
贏	Øin	2			
影	Øin	3			
印	Øin	5			
滾	kuən	3			
棍	kuən	5			
昆	kʰuən	1			
捆	kʰuən	3			
睏	kʰuən	5			
婚	xuən	1			
餛	xuən	2			
混	xuən	3			
混	xuən	5			
溫	Øuən	1			
文	Øuən	2			
吻	Øuən	3			
汶	Øuən	5			
軍	tɕyn	1			
准	tɕyn	3			
俊	tɕyn	5			
純	tɕʰyn	2			
蠢	tɕʰyn	3			
熏	ɕyn	1			
尋	ɕyn	2			
訓	ɕyn	5			
暈	Øyn	1			
泳	Øyn	3			
運	Øyn	5			
潤	Øyn	5			
幫	paŋ	1			
綁	paŋ	3			
傍	paŋ	5			
胖	pʰaŋ	1	胖頭魚		
旁	pʰaŋ	2			
胖	pʰaŋ	5	長胖了		
忙	maŋ	2			
莽	maŋ	3			
芳	faŋ	1			
房	faŋ	2			
仿	faŋ	3			
放	faŋ	5			
當	taŋ	1			
黨	taŋ	3			
宕	taŋ	5			
湯	tʰaŋ	1			
糖	tʰaŋ	2			
躺	tʰaŋ	3			
趟	tʰaŋ	5			
囊	laŋ	1			
朗	laŋ	3			
浪	laŋ	5			
張	tsaŋ	1			
長	tsaŋ	3			
仗	tsaŋ	5			
蒼	tsʰaŋ	1			
常	tsʰaŋ	2			
場	tsʰaŋ	3			
暢	tsʰaŋ	5			
商	saŋ	1			
賞	saŋ	3			
尚	saŋ	5			
瓤	ʐaŋ	2			
嚷	ʐaŋ	3			
讓	ʐaŋ	5			
剛	kaŋ	1	剛猛		
□	kaŋ	2	自己		
港	kaŋ	3			
杠	kaŋ	5			
糠	kʰaŋ	1	又		
扛	kʰaŋ	2			
糠	kʰaŋ	3	又		
亢	kʰaŋ	5			
夯	xaŋ	1			
航	xaŋ	2			
骯	Øaŋ	1			
昂	Øaŋ	2			
娘	liaŋ	2			
兩	liaŋ	3			
量	liaŋ	5			
將	tɕiaŋ	1			
獎	tɕiaŋ	3			
降	tɕiaŋ	5			
槍	tɕʰiaŋ	1			
藏	tɕʰiaŋ	2	藏貓兒		
搶	tɕʰiaŋ	3			
香	ɕiaŋ	1			
詳	ɕiaŋ	2			
想	ɕiaŋ	3			
向	ɕiaŋ	5			
央	Øiaŋ	1			
陽	Øiaŋ	2			
養	Øiaŋ	3			
樣	Øiaŋ	5			
光	kuaŋ	1			
廣	kuaŋ	3			
逛	kuaŋ	5			
筐	kʰuaŋ	1			
狂	kʰuaŋ	2			
礦	kʰuaŋ	5			
慌	xuaŋ	1			
黃	xuaŋ	2			
謊	xuaŋ	3			
晃	xuaŋ	5			
汪	Øuaŋ	1			
王	Øuaŋ	2			
往	Øuaŋ	3			
旺	Øuaŋ	5			
裝	tɕyaŋ	1			
撞	tɕyaŋ	5			
窗	tɕʰyaŋ	1			
床	tɕʰyaŋ	2			
闖	tɕʰyaŋ	3			
創	tɕʰyaŋ	5			
雙	ɕyaŋ	1			
爽	ɕyaŋ	3			
頭	tʰəu	2			
地	ti	5			
陰	Øin	1			
蔭	Øin	1			
涼	liaŋ	2			
陽	Øiaŋ	2			
食	sɿ	2			
月	Øyɛ	2			
亮	liaŋ	5			
癡	tsʰɿ	1			
星	ɕin	1			
掃	sau	5			
把	pa	3			
老	lau	3			
爺	Øiɛ	2			
河	xuo	2			
風	fən	1			
颱	tʰɛ	2			
龍	lən	2			
卷	tɕyɛn	3			
冷	lən	3			
熱	ʐɛ	1			
順	ɕyn	5			
迎	Øin	2			
頂	tin	3			
對	tei	5			
透	tʰəu	5			
口	kʰəu	3			
颼	səu	1			
悠	Øiəu	1			
雲	Øyn	2			
白	piɛ	2			
多	tuo	2			
烏	Øu	1			
朝	tsau	1	朝霞		
晚	Øuan	3			
霞	ɕia	2			
雷	lei	2			
五	Øu	3			
轟	xən	1			
扯	tsʰɛ	3	扯閃		
結	tɕiɛ	2			
淩	lin	5	上淩		
化	xua	5			
凍	tən	5			
下	ɕia	5			
住	tɕy	5			
雪	ɕyɛ	2			
子	tsɿ	3			
籽	tsɿ	3			
霜	ɕyaŋ	1			
雨	Øy	3			
流	liəu	2			
爛	lan	5			
成	tsʰən	2			
噴	fən	5	麻噴子：小雨		
點	tian	3			
細	ɕi	5			
陣	tsən	5			
暴	pau	5			
潑	pʰo	2			
濕	sɿ	1			
露	ləu	5			
霧	Øu	5			
起	tɕʰi	3			
掛	kua	5			
帳	tsaŋ	5			
好	xau	3			
壞	xuɛ	5			
晴	tɕʰin	2			
變	pian	5			
氣	tɕʰi	5			
一	Øi	2			
九	tɕiəu	3			
二	Øɚ	5			
三	san	1			
伏	fu	2			
坡	pʰo	1			
旮	ka	3	山旮旯		
旯	la	5	山旮旯		
腳	tɕyo	1			
空	kʰən	1			
稻	tau	5			
缺	tɕʰyɛ	1			
屋	Øu	1			
畈	fan	5			
泥	li	2			
黃	xuaŋ	2			
生	sən	1			
海	xɛ	3			
塘	tʰaŋ	2			
野	Øiɛ	3			
石	sɿ	2			
沙	sa	1			
濃	lən	2			
稀	ɕi	1			
磚	tɕyɛn	1			
專	tɕyɛn	1			
哪	la	3			
那	la	5			
這	tsɛ	5			
□	xɛ	5	下兒：哪□		
省	sən	3			
灣	Øuan	1			
街	tɕiɛ	1			
春	tɕʰyn	1	原文誤記為tsʰyn		
夏	ɕia	5			
倒	tau	5			
寒	xan	2			
冬	tən	1			
換	xuan	5			
農	lən	2			
公	kən	1			
立	li	2			
蟄	tsɛ	5			
暑	ɕy	3			
芒	maŋ	2			
至	tsɿ	5			
元	Øyɛn	2			
清	tɕʰin	1	原文誤記為3，此類錯誤不勝枚舉，以後略		
端	tan	1	文，端午		
端	taŋ	1	白，五端午		
夕	tɕʰi	2			
七	tɕʰi	1			
鬼	kuei	3			
節	tɕiɛ	2			
團	tʰan	2			
圓	Øyɛn	2			
重	tsʰən	2			
教	tɕiau	5			
師	sɿ	1			
慶	tɕʰin	5			
除	tɕʰy	2			
過	kuo	5			
壓	Øia	2			
歲	sei	5			
接	tɕiɛ	1			
守	səu	3			
宵	ɕiau	1			
送	sən	5			
插	tsʰa	1			
罩	tsau	5			
簽	tɕʰian	1			
籠	lən	3			
逢	fən	2			
每	mei	3			
來	lɛ	2			
明	mən	2	明天		
明	min	2	清明		
中	tsən	1			
尾	Øuei	3			
閏	Øyn	5			
末	mo	1			
旬	ɕyn	2			
正	tsən	1	正常		
正	tsən	5	正月		
臘	la	2			
今	tɕin	1			
後	xəu	5			
個	kuo	5			
□	tɕian	5	每天		
黑	xiɛ	2			
清	tɕʰin	1			
擦	tsʰa	1			
歇	ɕiɛ	2			
摸	mo	1			
期	tɕʰi	1			
禮	li	3			
時	sɿ	2			
啥	sa	5			
昝	tsan	3	早晚合音		
剛	tɕiaŋ	1	剛剛		
會	xuei	5			
平	pʰin	2			
得	tɛ	1			
原	Øyɛn	2			
輩	pei	5			
永	ʐən	3			
八	pa	2			
常	tsʰaŋ	2			
迷	mi	2			
暈	Øyn	2			
約	Øyɛ	1	約莫		
譜	pʰu	3			
眼	Øian	3			
望	Øuaŋ	5			
興	ɕin	1			
刨	pʰau	1			
苗	miau	2			
麥	miɛ	2			
草	tsʰau	3			
秧	Øiaŋ	1			
揚	Øiaŋ	2			
場	tsʰaŋ	3			
茅	mau	2			
缸	kaŋ	1			
搶	tɕʰiaŋ	3			
抽	tsʰəu	1			
廁	tsʰɿ	1	白，茅廁		
手	səu	3			
解	tɕiɛ	3			
屙	Øuo	1			
尿	liau	5			
屎	sɿ	3			
顫	tsʰan	5			
布	pu	5			
鍬	tɕiau	1			
鍁	ɕian	1			
叉	tsʰa	5			
釘	tin	1			
兜	təu	1			
舀	Øiau	3			
馬	ma	3			
扁	pian	3			
籮	luo	2			
篩	sɛ	1			
蛇	sɛ	2			
袋	tɛ	5			
穴	ɕyɛ	1			
架	tɕia	5			
車	tsʰɛ	1			
鉗	tɕʰian	2			
吸	ɕi	1			
秫	ɕy	2			
笨	pən	5			
芋	Øy	5			
土	tʰəu	3			
豆	təu	5			
藥	Øyo	1			
桿	kan	3			
葵	kuei	2			
蠶	tsʰan	2			
角	tɕyo	2	文，豆角		
角	kuo	2	白，牛角		
豇	tɕiaŋ	1			
梅	mei	2			
萵	Øuo	1			
葉	Øiɛ	1			
茄	tɕʰyɛ	2			
方	faŋ	1			
青	tɕʰin	1			
瓠	xu	5			
絲	sɿ	1			
蘿	luo	2			
芫	Øian	2			
荽	sei	5			
蔥	tsʰən	1			
椒	tɕiau	1			
紅	xən	2			
猴	xəu	2			
腐	fu	3			
離	li	5			
兒	Øɚ	2			
瓜	kua	1			
梨	li	2			
栗	li	1			
落	luo	1			
杏	xən	5	白		
甘	kan	1			
洋	Øiaŋ	2			
雞	tɕi	1			
墻	tɕʰiaŋ	2			
梔	tsɿ	1			
金	tɕin	1			
心	ɕin	1			
薏	Øi	5			
蓮	lian	2			
棱	lin	2			
椏	Øia	1			
巴	pa	1			
楊	Øiaŋ	2			
畜	tsʰəu	2			
牲	sən	1			
㸺	sa	1			
牯	ku	1			
驢	ly	2			
羊	Øiaŋ	2			
綿	mian	2			
伢	Øia	2			
狼	laŋ	2	狼狗		
女	mi	3	女貓		
筍	ɕyn	3			
瘟	Øuən	1			
嬎	fan	5			
蛋	tan	5			
爪	tɕya	3			
鴨	Øia	1			
窩	Øuo	1			
喜	ɕi	3			
鴰	kua	1			
狼	laŋ	1	黃皮狼子：黃鼠狼		
飆	piau	1			
蛆	tɕʰi	1			
蜂	fən	1			
虰	tin	1			
蚊	Øuən	2			
螞	ma	3			
蛛	tɕy	2			
虼	kiɛ	2			
猛	mən	3			
姐	tɕiɛ	3			
蛐	tɕʰy	1			
遊	Øiəu	2			
辣	la	2			
霸	pa	5			
鯽	tɕi	2			
肚	təu	3			
鱔	sən	5			
蝦	ɕia	1			
蛤	kʰiɛ	2	蛤蟆		
螺	luo	2			
螄	sɿ	1			
孩	xɛ	2			
崽	tsɛ	1			
妮	li	3			
私	sɿ	1			
戶	xu	5			
夥	xuo	3			
姘	pʰin	5			
綠	ləu	1			
偷	tʰəu	1			
退	tʰei	5			
紀	tɕi	5			
媽	ma	1	母親		
鄉	ɕiaŋ	1			
城	tsʰən	2			
佬	lau	3			
侉	kʰua	3			
蠻	man	2			
死	sɿ	3			
賊	tsei	2			
童	tʰən	2			
鼻	pi	2			
惹	ʐɛ	3			
事	sɿ	5			
禍	xuo	5			
騙	pʰian	5			
腸	tsʰaŋ	2			
直	tsɿ	2			
值	tsɿ	2			
臉	lian	3			
筒	tʰən	3			
球	tɕiəu	2			
鞋	ɕiɛ	2			
婊	piau	3			
俏	tɕʰiau	5			
匪	fei	3			
熟	səu	2			
苕	sau	2			
傻	sa	3			
保	pau	3			
計	tɕi	5			
攤	tʰan	1			
藝	Øi	5			
廚	tsʰəu	2	廚屋，廚子		
撿	tɕian	3			
叫	tɕiau	5	叫花子		
叫	kau	5	叫花子		
要	Øiau	5	需要		
補	pu	3			
傘	san	3			
官	kuan	1			
司	sɿ	1			
電	tian	5			
按	Øan	5			
岸	Øan	5			
算	san	5			
站	tsan	5			
轎	tɕiau	5			
爹	tiɛ	1			
妗	tɕin	5	舅媽		
舅	tɕiəu	5			
姨	Øi	2			
夫	fu	1			
姥	laŋ	3			
乾	kan	1	老乾爺		
癟	piɛ	1			
契	tɕi	5			
哥	kuo	3			
婿	ɕy	5			
弟	ti	5			
兄	ɕin	1			
姊	tsɿ	3			
親	tɕʰin	1	親戚		
親	tɕʰin	5	親家		
母	mən	3			
木	mən	2			
伯	pʰiɛ	1			
襟	tɕin	1			
侄	tsɿ	2			
孫	sən	1			
導	tau	3			
劉	liəu	2			
腦	lau	3			
嚏	tʰi	5			
擤	ɕin	3	文		
擤	xən	3	白		
齉	laŋ	5			
沫	mo	1			
欠	tɕʰian	5			
嚼	tɕyo	2			
牽	tɕʰian	5	想念，羨慕		
脖	po	2			
經	tɕin	1			
磕	kʰuo	2			
篷	pʰən	3			
郎	laŋ	2			
鉸	tɕiau	3			
胸	ɕin	1			
膊	pʰo	1			
福	fu	2			
病	pin	5			
怏	Øiaŋ	1			
舒	ɕy	1	文		
厲	li	5			
治	tsɿ	5			
害	xɛ	5			
仙	ɕian	1			
色	sɛ	2			
揀	tɕian	3			
喝	xuo	1			
卦	kua	5			
東	tən	1			
洞	tən	5			
棟	tən	5			
動	tən	5			
懂	tən	3			
董	tən	3			
通	tʰən	1			
痛	tʰən	5			
桶	tʰən	3			
同	tʰən	2			
桐	tʰən	2			
統	tʰən	3			
彤	tʰən	2			
銅	tʰən	2			
童	tʰən	2			
瞳	tʰən	2			
