#ɿ
ts[1]智资脂至[3]智资脂至
ŋ[1]蛾鹅讹吴[6]饿误悟
h[1]货[6]河何荷□{有}
#io
ɕ[1]梳
kh[1]□{蜈蚣}[3]茄瘸
#uo
∅[3]□{树枝}
#a
p[1]巴疤欛霸把爸[2]杷[3]把[6]罢
ph[2]爬
m[1]魔摩麻马[2]抹[3]码□{ma6：雾}[6]骂
f[1]花化[2]划华[6]华
t[2]达
th[1]他
n[1]哪那[6]□{东西}
l[2]辣
tsh[1]杈差[2]茶查擦[6]褯
s[1]沙纱傻[3]洒
k[1]家加假架驾嫁稼价佳挂卦[3]假
ŋ[1]牙芽额[3]雅瓦[6]卧
h[1]虾[2]霞合盒[6]贺下夏
∅[1]阿桠鸦亚[3]哑[6]厦
#ia
t[1]爹
s[1]泻[3]写
tɕ[1]遮借蔗
tɕh[1]车[3]且
ɕ[1]靴些赊舍[2]畲邪斜蛇[3]舍[6]谢射社
∅[1]椰爷也[3]野[6]夜
#ua
ɸ[1]和
k[1]瓜裹[3]果
∅[6]祸画话
#oi
p[1]坝悲[2]培陪赔[6]倍佩背
ph[1]配
t[1]台苔堆对[6]待队
th[1]退筛梯[3]腿[6]代袋大
n[6]内
l[1]来雷
ts[3]宰崽
tsh[1]菜摧[3]彩□{树苗}
s[1]衰帅
k[1]乖怪[3]拐蛙
kh[1]魁盔恢块[6]□{狗~：狗窝}
ŋ[1]桅[6]碍外
∅[2]槐怀[6]坏
#uoi
ɸ[1]开灰[2]回[3]海悔[6]汇
#ai
p[1]拜[3]摆[6]败
ph[2]排派牌
m[2]埋[3]买米[6]卖
t[1]戴带帝□{~公：外公}
th[1]太泰剃讨套[2]蹄啼[3]弟睇{看}[6]大
n[1]泥[3]奶[6]耐
l[6]赖
ts[1]灾栽再最斋债[2]才材财裁豺
tsh[1]蔡钗差[2]柴[6]寨
s[1]晒栖西[3]洗
k[1]个该阶介界疥届械街[3]改解
h[2]孩鞋[3]蟹[6]亥
ŋ[1]我
∅[1]爱挨[3]矮隘
#uai
k[1]快奎
h[2]□{~豆：蚕豆}
#ei
t[1]堤递[2]题提
th[1]态贷
l[1]励例厉犁
ts[1]祭际制挤济□{len1~：不带棱的丝瓜}
tsh[1]妻
s[1]世势[6]逝誓
k[3]溉概
kh[1]溪契[3]凯楷
∅[1]哀
#iu
p[2]浮
ph[2]孵□{葫芦瓜}
m[1]谋矛
l[1]流刘留榴[3]柳[6]溜廖
tɕ[1]昼周州洲[2]稠绸筹[3]酒纠[6]宙白
tɕh[1]秋臭[6]□{热头~：向日葵}
ɕ[1]羞修秀绣收兽丘休[2]囚仇酬[3]手守朽[6]受寿授
ȵ[3]纽扭
k[1]鸠阄救究[3]九久韭[6]旧
kh[1]咒[2]葵求球[6]舅
∅[1]尤邮由油游犹幽幼[3]首有友诱酉[6]又右佑
#əu
m[3]某牡母[6]茂贸
t[1]兜斗[2]投[3]抖陡斗
th[1]偷透[2]头
n[2]□{禾~：稻穗}
l[1]捞篓楼漏[3]缕[6]料豆陋
ts[1]奏
tsh[1]凑
s[1]嗽搜[2]愁粟{高粱}
k[1]勾钩沟够购[3]狗
kh[1]扣[3]口叩
h[2]侯喉猴[6]后厚後候
∅[1]欧瓯[3]殴
#ɛu
t[2]逃[6]盗导
th[1]□{挑；拨}[2]陶[6]道
l[1]涝
s[1]骚臊[6]皂造
kh[1]靠
h[1]蒿
∅[1]奥[2]壕豪毫
#ao
p[1]报胞包豹爆[2]袍刨[3]堡保宝饱[6]抱暴雹
ph[1]炮泡[2]跑
m[1]毛[6]岛倒
t[1]刀倒钓[3]岛倒
th[1]挑跳[2]条调
n[1]铙挠[3]脑恼[6]闹尿
l[1]劳牢[2]□{房子}[3]老
ts[1]糟遭灶皱[3]蚤澡早枣爪走
tsh[1]操糙抄[2]曹槽[3]草炒吵[6]耖{一种农具}
s[1]扫潲萧箫[3]扫嫂
k[1]高篙膏糕告郊交胶教酵窖较蛟{~龙：虹}[3]稿绞铰搅
kh[1]敲[3]烤考巧
h[1]好耗孝[3]好[6]号效校
ŋ[1]熬傲[3]咬藕偶
∅[1]呕沤讴
#iao
p[1]标彪[2]瓢[3]表
ph[1]票飘
m[1]苗[3]渺秒[6]貌庙妙谬
t[1]刁貂雕
l[1]燎撩辽[3]了[6]疗
ts[1]焦蕉椒
s[1]消销笑
tɕ[1]朝招照骄荞浇叫[2]朝潮侨[3]缴[6]赵兆召
tɕh[1]锹超[2]桥
ɕ[1]硝烧少[2]韶[3]少晓[6]绍
ȵ[1]猫饶尧[3]扰绕鸟
kh[6]轿
∅[1]妖腰要姚鹞摇窑[6]耀
#ɒm
f[2]凡帆[6]范犯
t[1]耽担谈痰掂[3]胆
th[1]贪探淡添[2]潭[3]毯
n[1]南男
l[1]蓝篮[3]览榄[6]舰
ts[1]簪[3]斩[6]暂站
tsh[1]参[2]蚕[3]惨
s[1]三杉衫
k[1]监衔[3]感减
kh[1]嵌[3]坎
h[2]含函咸鹹嫌
ŋ[2]岩
∅[1]庵暗[6]陷
#iɛm
p[3]贬
t[6]簟
th[1]店甜
tɕ[1]尖沾瞻占兼[2]潜[3]检[6]渐俭
tɕh[1]签谦歉
ɕ[3]闪陕险
ȵ[1]严[2]黏[3]染[6]验
k[1]剑
kh[1]欠[2]钳
∅[1]殓阉炎淹[2]阎盐艳[3]厌[6]焰
#im
ph[3]品
th[2]沉
l[1]林琳淋临
tsh[3]寝
tɕ[1]浸[2]琴擒
tɕh[1]侵钦
ɕ[1]心参深[2]寻[3]婶审
ȵ[2]吟[6]任
k[1]针今金禁[2]枕锦
∅[1]音阴淫[3]饮
#an
p[1]般搬绊[2]膨彭
ph[1]烹
m[1]盲[3]挽猛[6]万孟
t[1]旦丹单颠[2]坛弹打{~禾}[3]典[6]诞但弹
th[1]滩摊炭天[3]坦[6]奠
n[1]拿
k[2]笕
h[6]苋
ŋ[1]涯崖
∅[1]杏烟-
#iɛn
p[1]鞭编变边遍[2]便[3]扁匾[6]辫
ph[1]篇骗[6]辨辩
m[1]棉眠[3]免[6]面
tsh[1]迁
s[1]鲜[3]癣
tɕ[1]煎战建[2]铡[6]键健
tɕh[1]牵
ɕ[1]仙扇然轩掀[2]蝉[6]贱善
ȵ[1]言研[3]眼碾[6]砚
k[1]见[2]干{~湿}[6]件
∅[1]筵延圆员沿铅烟宴[2]丸[3]演[6]院现县
#uɛn
p[1]半扮[6]伴
ph[1]潘判盼攀盆[2]盘[3]叛襻饭
m[1]馒蔓瞒蛮[3]满[6]漫慢
ɸ[1]欢唤焕藩贩翻□{菜~：菜园}[2]还环[3]罕反[6]患宦
n[3]暖
l[3]卵[6]乱
ts[1]钻[2]蹲
tsh[1]闩[6]撰
s[1]孙[2]存[3]损
k[1]竿乾肝幹官棺观罐贯灌冠关惯[3]管馆
kh[1]宽[2]拳
h[6]旱汗
ŋ[6]岸
∅[1]安按案豌腕弯湾[2]桓完烦繁[3]碗[6]换
#yɛn
tɕ[1]转专砖眷卷椽[3]转卷[6]倦
tɕh[1]川串[2]旋椽传权[3]犬[6]传
ɕ[1]宣船劝喧[2]全泉[3]选
ȵ[3]软
∅[1]缘冤怨援袁园[2]玄悬[3]远
#ɒn
p[1]班[3]版板
t[1]端断锻担{挑}[3]短[6]缎
th[2]团[6]断段
n[1]难年[6]难
l[1]兰拦栏[6]烂
ts[1]赞删箭[2]残[3]盏
tsh[1]餐千[2]钱[3]铲浅[6]践
s[1]伞散酸算蒜山线先[2]前[3]产
k[1]艰间奸谏涧[3]柬拣简茧
h[1]汉[2]闲[3]款
ŋ[1]颜元原源[6]雁愿
∅[1]鞍燕[6]限
#en
ph[1]□{酒~：酒壶}
t[1]丁钉订[2]田澄橙蜓亭停庭[3]顶鼎[6]艇
th[2]填[6]电殿
n[2]□{奶水；乳房}
l[1]廉镰连联怜莲□{~tsei1：不带棱的丝瓜}[6]练
k[1]甘柑跟根
kh[3]恳垦
∅[1]恩很[2]痕[6]恨
#in
p[1]宾槟鬓冰兵[2]频贫凭[6]并
ph[1]聘[2]瓶萍
m[1]闽民[2]敏皿
t[1]徵征[2]澄
l[1]邻鳞陵灵零铃[6]令另
tsh[1]亲
s[1]辛新信
tɕ[1]进珍镇真振展斤筋蒸证症敬竟睛精晶贞侦劲□{楼~：梯子}[2]陈尘勤芹蝇呈程[3]诊谨境景警逞[6]尽阵竞郑
tɕh[1]衬称卿庆清青□{棰子}[2]趁
ɕ[1]薪身伸升胜兴性圣[2]秦神辰晨臣乘绳承情[3]拯[6]肾慎秤剩静净
ȵ[1]人仁银宁[3]忍[6]刃认凝
k[1]经[3]紧[6]仅
h[2]形刑
∅[1]申因印姻应英鹦樱莺婴盈馨[2]刑[3]隐影
#uin
p[1]奔分□{给}[3]本
ph[1]喷[2]坟[6]笨愤
m[1]门[6]闷
ɸ[1]昏婚粪奋芬[3]粉[6]份
t[1]墩顿[2]臀[6]盾
th[1]吞
n[6]嫩
l[1]伦轮[6]论
ts[1]尊津遵俊
tsh[1]顽村寸
k[1]昆棍巾[3]滚
kh[1]坤困[2]裙[6]菌
∅[1]温瘟匀蚊文闻[2]馄魂弘[3]稳允[6]混润闰问
#yn
tɕ[1]均钧君军[3]准
tɕh[1]椿春近舂[2]群[3]蠢
ɕ[1]唇舜荤熏训[2]循旬巡纯[3]榫笋[6]殉顺
#iun
tɕ[1]□{树根}
tɕh[1]倾
∅[1]云晕[6]韵运
#oŋ
p[1]帮谤邦[2]傍螃旁[3]榜
ph[6]□{~谷：秕谷}
m[1]忙芒亡□{~花：芦苇}[3]莽网[6]梦
f[2]横
t[1]当[2]堂唐糖塘[3]党宠[6]荡
th[1]汤烫[3]躺
l[1]郎廊狼粱良凉量粮梁[3]朗两□{老式房子的木头阳台}[6]浪亮谅量弄{原文为“巷”}
ts[1]脏葬装壮□{松柏~：富含油脂的松木}
tsh[1]仓苍疮创松[2]藏
s[1]桑丧磉{石础}[2]床[6]藏{西~}
k[1]岗刚纲钢缸光扛斑江降[2]缸[3]广讲港
kh[1]康旷腔
h[1]糠抗荒慌方芳妨访□{~盆：碓臼}[2]行航杭房防降[3]吼谎仿纺[6]晃
∅[1]昂汪妄忘望[2]狂[6]项
#ioŋ
p[1]放
t[1]张帐账胀桩
ts[6]杖
tɕ[1]将浆蒋奖酱章障僵绮疆姜供[3]掌[5]共
tɕh[1]抢枪畅倡昌唱眶匡筐窗[2]墙长肠场强[3]长厂恐[6]丈强
ɕ[1]宪献厢湘相箱商伤香乡向况从[2]详祥常偿[3]想爽赏享[6]觅匠象像上尚颂
ȵ[1]攘[3]壤嚷[6]让
∅[1]央秧羊洋杨阳扬[3]养痒往[6]样
#uoŋ
∅[1]王[2]簧蝗黄皇□{桶~：打谷用的大木桶}[3]枉[6]旺
#ɒŋ
p[2]棚
ph[1]㯱{柚子，原文无字}
m[1]萌
th[1]听[6]定
l[3]冷
ts[1]筝争[3]井
tsh[2]晴[3]请
s[1]笙甥生牲姓腥□{镬~：竹制锅刷}[2]星[3]省醒
k[1]粳羹更庚耕[3]哽
kh[3]矿□{thuŋ1~：锅盖}
ŋ[6]硬
h[2]行{~头：器物、用具}衡
∅[1]□{乌~冷：阴冷}
#iɒŋ
p[1]柄[3]丙饼
ph[1]片[2]平坪评[6]病
m[1]鸣明盟名铭[6]命
l[3]领岭
tɕ[1]荐肩坚荆京惊镜正征政荐肩坚荆京惊镜正征政□{楔子}[2]颈[3]涨整
tɕh[1]轻
ɕ[1]兄声[2]成城诚[3]显[6]盛
ȵ[1]娘迎
k[2]茎
∅[1]贤弦映赢[3]引
#ɛŋ
t[1]登灯凳[2]藤[3]等[6]邓□{门~：门槛}
n[1]能
ts[1]憎曾增僧
s[2]层曾[6]赠
h[2]恒[3]肯
#iuŋ
p[1]枫风疯
ph[3]捧
l[1]□{~phuɛʔ8：冰雹}[3]龙
tɕ[1]中忠终众弓躬宫钟盅种恭[2]琼[3]种肿
tɕh[1]充铳冲[2]虫穷重[6]重
ɕ[1]胸凶
∅[1]荣营熊雄融容庸[3]永拥勇涌[6]孕泳用
#uŋ
p[2]朋
ph[2]篷蓬
m[1]蒙[3]懵
ɸ[1]红洪丰封峰蜂锋烽[2]虹冯逢缝[6]讽凤奉俸
t[1]东栋冬[3]董懂[6]动洞
th[1]通痛统□{~khoŋ3：锅盖}[2]同铜桐筒童[3]桶
n[1]农脓侬浓
l[1]笼聋隆
ts[1]棕粽宗纵[3]总
tsh[1]囱聪葱[2]丛
s[1]双送戎绒松=鬆宋茸[2]祟
k[1]蚣公工功攻贡
kh[1]空控[3]孔
∅[1]翁瓮
#m
∅[3]亩
#ŋ
∅[3]五午
#ɒp
f[7]法
t[7]答搭
th[7]踏塔塌帖贴[8]碟蝶
n[8]纳
l[7]腊蜡[8]拉
ts[7]炸[8]杂
tsh[7]插[8]闸
k[7]夹[8]匣
kh[7]恰
∅[8]狭峡
#iɛp
l[8]猎
tɕ[7]接折[8]捷
tɕh[7]妾
ɕ[7]摄[8]涉
ȵ[8]聂镊业
k[7]劫
∅[8]叶协
#uɒp
∅[8]乏
#ip
l[8]立笠粒
tɕ[7]执汁汲{原文为“吸”}[8]及
ɕ[7]涩湿[8]集习袭十
ȵ[8]入
k[7]急级
#aʔ
p[7]百柏伯[8]白
ph[7]迫拍魄
m[7]陌[8]麦脉□{~豆：豌豆}
ts[7]榨摘责[8]择泽
tsh[7]策册[8]拆
s[7]锡
k[7]格革隔
h[7]客吓[8]核
∅[7]扼轭
#iaʔ
tɕ[7]者
#uaʔ
ɸ[7]發髪[8]伐罚
∅[8]袜
#oʔ
p[7]博剥驳[8]泊薄
ph[7]朴[8]缚
m[8]目穆牧
t[7]桌
th[7]托[8]独读
ts[7]作[8]咋
s[7]索
k[7]各阁郭觉角
kh[7]扩确壳
ŋ[8]岳
h[7]霍[8]学
∅[7]恶[8]鹤镬
#ioʔ
t[7]卓啄
s[7]粟
tɕ[7]着足烛[8]蜀属局
tɕh[7]戳曲
ɕ[7]削束[8]勺俗续赎
ȵ[8]玉狱
∅[7]欲浴[8]药
#ɒʔ
p[7]八
m[7]蔑
t[8]□{门~：旧式门锁扣}
th[7]铁
l[7]戮{原文为“杀”}
ts[7]扎
tsh[7]察
k[7]甲胛
∅[7]压鸭押
#iɒʔ
p[7]璧壁
l[8]略掠
tɕ[7]节雀隻
tɕh[7]切赤尺
ɕ[8]若石
ȵ[8]若溺
kh[8]屐
∅[7]乙约[8]越粤穴
#ɛʔ
s[7]雪
#iɛʔ
p[8]别
ph[7]撇
m[8]灭
l[8]列裂
tɕ[7]砌髻展哲揭[8]杰□{草~：割草的镰刀}
tɕh[7]彻撤
ɕ[7]薛泄设歇血[8]舌绝
ȵ[8]热
k[7]折结洁
#uɛʔ
p[7]钵拨
ph[7]泼[8]□{liuŋ1~：冰雹}
m[8]末抹
ɸ[7]阔
th[7]脱[8]夺
s[7]刷
k[7]括刮国
h[7]活
∅[7]挖滑猾瞎[8]或惑
#yɛʔ
tɕ[7]决诀
tɕh[7]缺
ɕ[7]说
ȵ[8]月
#eʔ
p[7]北
t[7]得德[8]秩特
n[7]□{植物的刺}
l[7]肋[8]勒
ts[7]则
s[7]塞[8]贼
k[7]鸽
kh[7]刻克
h[7]黑
#iʔ
p[7]笔毕必逼碧[8]□{~lu1：抽屉}
ph[7]匹僻
m[8]密蜜
t[7]的滴[8]籴笛敌
th[7]踢剔
l[8]力历栗
ts[7]鲫
tsh[7]漆侧测
s[7]悉色
tɕ[7]卒质即织职积迹脊绩击激[8]疾植极
tɕh[7]七膝戚[8]侄直值
ɕ[7]失媳息熄饰式籍惜[8]实蚀食席夕
ȵ[8]日匿逆
k[7]吉橘
∅[7]一[8]翼亦译易液疫役逸
#uiʔ
ɸ[7]忽[8]佛
t[8]突
l[8]律
s[7]戌
k[7]骨
kh[7]屈
∅[7]窟[8]物
#yiʔ
tɕh[7]出
ɕ[8]术
#iuʔ
t[7]笃[8]筑督
l[8]绿録
tɕ[7]祝粥嘱[8]逐轴
tɕh[7]畜蓄
ɕ[7]焗{~饭：焖饭}[8]辱褥□{~电：闪电}
∅[8]育
#uʔ
ph[8]仆曝
m[8]木
ɸ[7]腹福幅复[8]服伏复
t[8]毒
l[8]鹿
tsh[7]促
s[7]速肃缩[8]族
k[7]谷菊
kh[7]哭
