	注释：-白读；文读
t	[1]㬹{后～：后跟}[2]呈-{送～}[5]□{～力}[6]郑-
tʰ	[2]程-
n	[3]蜢{草～}
ts	[1]争-[2]晴-{天～}[3]井-[5]诤{争辩}
tsʰ	[1]生-青-星-清-[3]醒-
s	[1]生-牲-[3]省-
k	[1]更-庚-经-粳[3]哽-
kʰ	[1]坑-
ŋ	[3]雅-[6]硬-
∅	[1]婴-缨-[2]楹-
#ẽʔ	
m	[8]脉-
n	[7]蹑{～骹尖}
#o	
p	[1]波玻菠=褒[2]婆[3]宝保堡[5]报簸[6]暴{风～}
pʰ	[1]坡[3]颇[5]破=[6]抱
b	[2]无{原文作“毛”}[3]母{鸡～}[6]帽磨{石～}
t	[1]刀多[2]驼桃陶[3]倒朵岛[5]倒到[6]道惰驮盗蹈
tʰ	[1]滔拖[2]桃[3]讨[5]套妥唾
l	[2]劳痨罗牢醪箩逻螺[3]老=姥脑恼[5]躼{高}
ts	[1]遭-[2]糟曹[3]早=枣蚤=左[5]作做[6]造坐
tsʰ	[1]臊操=[3]草=楚[5]错剉{～柴}挫
s	[1]骚梭娑[2]□{慢慢爬}[3]嫂锁琐[5]扫=燥
k	[1]歌=羔高糕篙膏哥戈锅=过=[3]稿果=裹[5]告过=[6]号{年～}
kʰ	[1]□{久煮}柯=[3]考可=[5]靠课=
ɡ	[2]遨熬=鹅俄[6]傲饿
h	[2]和河荷禾豪[3]好[5]货=[6]号鹤贺祸浩
∅	[1]阿{称赞}倭窝[2]蠔蚝[5]擙
#oʔ	
p	[7]博{碰运气}[8]薄-箔-
pʰ	[7]粕{茶～}
t	[7]桌卓[8]着{火～}
l	[8]骆-落-
ts	[7]作-[8]昨-
tsʰ	[7]□{骂}
s	[7]索嗍{～奶}[8]镯
k	[7]各-阁-□{又}
∅	[7]恶-{难}[8]学-
#ɔ	
p	[1]晡{下～}埠埔夫{耷～：男人}[2]□{裙的贴边}莆{～田}袍={龙～}[3]补脯[5]布佈怖布播傅-{姓}[6]步部哺
pʰ	[1]铺[2]扶-莆{～田}菩{～萨}普谱圃蒲[5]铺{店～}[6]簿
b	[2]模{～型}[3]某牡亩□{妻子}母{妻子}[6]幕募慕贸茂戊
t	[1]都[2]涂徒途[3]赌睹肚{腹～}[5]鬥{战～}妬[6]肚{猪～}杜窦度渡
tʰ	[2]涂{泥}[3]土吐{～目}[5]吐免
l	[2]奴炉泸娄楼={～丝钉}[3]鲁橹卤=虏[6]露路卤-赂瘘陋
ts	[1]租邹[3]阻走=[6]助
tsʰ	[1]粗[3]楚础[5]醋
s	[1]苏酥疏梳=[3]瘦叟[5]素诉
k	[1]孤姑菰枯辜[2]糊-[3]古沽鼓苟狗=垢=[5]顾雇故购构毂
kʰ	[1]枯[2]糊[3]苦口=许-{姓}[5]库裤扣=寇
ɡ	[6]五-
h	[1]呼=乎[2]胡糊湖=壶=猴=喉=侯=[3]虎浒[5]戽[6]厚=护互户雨-后=候=
∅	[1]乌钨邬殴[2]胡-湖-壶-[3]呕=[6]芋-
#ɔ̃	
m	[1]毛-{山～}[2]毛魔磨[3]冒
n	[3]努[6]怒两-
ŋ	[2]吾吴[3]偶藕=五=我=[6]误悟
∅	[5]恶
#ai	
p	[2]排牌[3]摆跛[5]拜[6]败
pʰ	[3]否{极凶恶，原文作阴平，应为误记}[5]派沛湃
b	[2]眉埋楣[3]䆀{不正}
t	[1]呆[2]台埋坮{埋}[3]滓[5]带=戴=[6]代=贷逮大奈{无～何}袋
tʰ	[1]胎=苔笞筛{筛子}𥭘{筛子}[2]治{杀}[3]癞{～哥：麻风}[5]太态泰=汰[6]待
l	[2]来梨-[6]利-里-{～面}
ts	[1]灾=载斋知[2]才材脐-{肚～}财[3]指-{手～}[5]债=再载[6]在
tsʰ	[1]猜钗杈[2]柴裁豺[3]彩採采[5]菜蔡=
s	[1]西-狮-腮-师-{～父}私{～骹：私蓄}鳃=[3]屎-使-驶-[5]赛婿使[6]似{熟～}
k	[1]该皆阶[3]解=改=[5]界=介芥=疥=蓋届戒丐
kʰ	[1]开=[3]楷凯[5]慨溉
h	[1]奒[2]孩[3]海[5]害亥
ɡ	[2]崖[6]艾=碍
∅	[1]哀埃挨=[3]矮=蔼[5]爱
#ãi	
m	[3]买=[6]卖=迈
n	[3]奶乃[6]耐奈=赖=
#au	
p	[1]包胞鲍[2]庖[3]饱=[5]豹=
pʰ	[1]抛=包[3]跑[5]炮[6]雹{落～}
b	[2]猫=
t	[1]兜-[2]投-[3]斗-[5]昼-{中～}鬥{接合得来}[6]豆-脰-
tʰ	[1]偷[2]头[3]㪗{解}[5]透-[6]毒-{～虫}
l	[2]楼-流-刘-留-[3]老-[6]闹-{～热：热闹}漏-
ts	[1]糟[2]巢[3]蚤-走-[5]灶-奏-[6]找-{～钱}
tsʰ	[1]抄操{～练}[3]吵=草-炒=[5]臭-凑-
s	[1]扫-哨嗽-
k	[1]交=郊胶=铰=高={～粱}沟-勾-[2]猴-侯-{姓}[3]狗九狡觉[5]教=较校{～对}够-[6]厚-
kʰ	[1]敲薅-{～草}阄{抾～}尻[3]口-巧=[5]哭
h	[2]侯=[3]吼-[5]酵=孝=[6]效後{～生}鲎-候-
ɡ	[2]𠢕{～讲话，原文作阴平，应为误记}爻{原文作阴平，应为误记}
∅	[1]区欧瓯凹[2]喉-号-[3]拗坳[5]懊[6]后-
#auʔ	
p	[7]□{凸出}
#ãu	
m	[2]矛茅锚[6]貌
n	[3]脑[6]闹
ŋ	[3]咬[6]藕-
#an	
p	[1]班斑颁癍[2]瓶-便-{～宜}[3]板版坂阪反-[6]办扮瓣范{样子}
pʰ	[1]攀扳[5]盼
b	[2]蛮鳗闽-[3]挽[6]慢曼馒
t	[1]丹单=郸[2]弹=陈-[3]等-[5]旦诞蛋[6]□{户～：门槛}
tʰ	[1]摊=滩=蛏-[3]坦毯[5]炭=叹趁-
l	[1]□{茧}[2]澜兰拦=难鳞-零-{～星}[3]懒咱{训读，咱们}[6]难烂=膦{男性生殖器，原文作“卵”}
ts	[1]曾-{姓}[2]残[5]栈站{～岗}赞[6]赠-{助}
tsʰ	[1]餐[2]蚕残[3]产[5]灿
s	[1]山=删珊星{零～}[3]产散=㾪{瘦}[5]汕=伞=散{穷}[6]杀虱-{木～}栉{～篦}塞
k	[1]奸干间-乾=肩-[3]柬简赶眼-{龙～}[5]干间谏
kʰ	[1]牵刊[3]侃肯-[5]看=
h	[2]寒=韩闲=还-{～人}[3]罕喊[5]汉[6]旱=汗=限=翰瀚捍=
ɡ	[2]言颜[3]眼[6]岸=谚雁
∅	[1]安=鞍=垵=[2]縆{紧，原文作“恒”}[5]案晏[6]限
#at	
p	[7]八=别{～人}捌=
b	[7]别{认识}[8]密
t	[7]妲[8]达笪{谷～}
tʰ	[7]獭窒踢-{～球}
l	[8]辣=栗-力-
ts	[7]札节-[8]实
tsʰ	[7]察擦漆-{油～}[8]贼
k	[7]葛=割=结-
kʰ	[7]渴=克
h	[7]喝=瞎辖[8]核
∅	[7]遏
#am	
t	[1]耽担[2]谈潭澹{湿}[3]胆=[5]担=[6]淡=
tʰ	[1]贪[2]痰潭[5]探
l	[2]南篮=蓝=男婪岚淋-[3]缆揽览榄=褴[6]滥舰
ts	[1]簪[3]斩[6]堑站
tsʰ	[1]参掺[2]蚕=惭[3]惨[5]忏
s	[1]杉衫=三=[3]糁
k	[1]甘柑=监=坩=[2]含-[3]敢=橄=感[5]监鑑
kʰ	[1]龛堪戡勘[3]砍坎[5]□{盖}
h	[1]蚶酣[2]咸含=衔函涵[5]□{肿大}[6]陷憾馅=
ɡ	[2]岩=癌[6]儑
∅	[1]庵鹌[2]涵{水～}[3]饮-{米汤}[5]暗押=压
#ap	
t	[7]答=搭=[8]沓=踏=
tʰ	[7]塌
l	[7]□{凹陷下去}[8]纳腊=
ts	[7]匝[8]十-杂
tsʰ	[7]插=
k	[7]甲=鸽胛=
kʰ	[7]阖[8]磕
h	[7]□{大口吃}[8]合=
∅	[8]匣
#ɔm	
s	[1]森参{人～}[2]□{俗气，土气}
∅	[1]□{捂着，原文作sɔm1，可能为排版错误}
#aŋ	
p	[1]帮邦梆枋{柴～}崩-[2]房-冯-缝-[3]绑[5]放-[6]蚌棒
pʰ	[1]芳-蜂-[2]篷庞捧[3]纺-[5]胖[6]缝-
b	[2]忙芒{原文作“芳”，应为有误}[3]蠓-蟒[6]梦-网-望-
t	[1]当东-冬-中-{田～央}[2]同-铜-[3]党{～参}[5]冻-[6]动-重-
tʰ	[1]窗-通-[2]桐-{～油}虫-[3]桶-统-{长～}[5]痛-□{透过}
l	[2]侬{人，原文作“农”}脓-聋-砻-[3]笼-[6]弄-
ts	[1]鬃-[2]丛-[3]总-[5]棕-壮-
tsʰ	[1]葱-[5]□{～须}
s	[1]松-[5]送-
k	[1]江工-公-[3]讲-港[5]降-𧊵[6]共-{相～}
kʰ	[1]空-康{有～：有钱}[5]空-控
h	[1]烘-[2]降行杭[3]哄-[6]巷项
∅	[1]翁-[2]红-洪-[5]瓮-
#ak	
p	[7]剥-驳-北幅-腹-[8]缚-
pʰ	[7]覆-仆[8]曝-
b	[7]沐{沾}[8]目-密-木-墨-
t	[7]□{相触}[8]独-毒-逐-浊-
l	[7]落-[8]六-陆-
tsʰ	[8]凿
k	[7]角觉穀{五～}
kʰ	[7]确-壳-麯-{酒～}
h	[8]学=
ɡ	[8]岳狱乐{音～}
∅	[7]沃-{浇}握
#ɔŋ	
p	[2]房=旁=[3]榜[5]谤[6]磅
pʰ	[2]蓬篷=[3]捧=
b	[1]摸[2]亡芒盲蒙[3]莽蠓=网=[6]望=墓=梦
t	[1]冬=东=当=[2]同=铜=筒=童=堂=螳=唐=塘=[3]董=懂党[5]栋=冻=蝀当=[6]洞=动=
tʰ	[1]汤=通=[2]糖=[3]统=桶=[5]烫=[6]托=
l	[2]郎囊郎=狼笼=农=浓[3]拢=[6]弄=浪
ts	[1]宗踪庄=鬃=[2]崇丛=藏[3]总=[5]壮=葬
tsʰ	[1]囱窗=仓=葱=苍舱=疮=[2]床=[5]创
s	[1]桑=丧=霜=松[2]□{俗气，土气}[3]爽=[5]送=丧宋
k	[1]光=公=工=[2]狂[3]广讲[5]贡
kʰ	[1]康=糠=空=匡筐=[3]孔[5]空=抗囥=矿旷
h	[1]丰封蜂=峰方=芳=烘=轰荒风枋=[2]洪=冯=防虹红=缝=宏皇凰隍惶杭航黄=簧[3]晃彷纺=坊[5]放=[6]奉缝=
ɡ	[2]卬昂[6]戆{傻}
∅	[1]汪=翁=[2]王[3]枉往=[5]瓮=[6]旺
#ɔk	
p	[7]驳□{凸出}[8]薄缚曝
pʰ	[7]朴扑醭搏仆=[8]瀑
b	[8]木=目=牧
t	[7]桌=啄=[8]独=毒=
tʰ	[8]读=
l	[8]落=骆=乐鹿
ts	[7]作=[8]浊=族镞
tsʰ	[7]簇错[8]凿=
s	[7]速数肃索=
k	[7]谷=郭=国
kʰ	[7]扩哭=壳=廓酷
h	[7]福蝠幅=腹=覆=霍壑[8]服伏茯鹤=
ɡ	[8]鄂鳄噩
∅	[7]屋恶沃
#ŋ	
p	[1]帮-[3]榜-
t	[1]当-[2]堂-肠-长-唐-塘-[5]当-[6]丈-
tʰ	[1]汤-[2]糖-[5]烫-
n	[2]郎{牛～织女}瓤{瓜～}
ts	[1]庄-装-赃-
tsʰ	[1]仓-舱-疮-[2]床-
s	[1]霜-丧-桑-[2]床-{笼～：蒸笼}[3]爽
k	[1]缸-扛-[5]钢-
kʰ	[1]康-{姓}糠-[5]囥-
∅	[1]央-秧-
#i	
p	[1]卑悲碑[2]睥毗枇琵[3]比彼[5]椑臂毖闭秘泌[6]瞥被={～动}避备
pʰ	[1]披[2]疲脾皮=罴[3]庇[5]嬖屁=[6]砒
b	[1]眉=楣=糜=微[3]米美尾=[6]未昧寐
t	[1]知猪蜘[2]池除迟持[3]底砥[5]戴-{～帽}智置致蒂[6]箸弟-治痔雉稚
tʰ	[2]啼-苔-[3]耻贮[5]剃-
l	[2]离篱狸[3]里=理李女{妇～}汝鲤[6]吕离厉利=痢吏莅饵
ts	[1]支枝=之芝[2]薯{番～}糍荠[3]旨指=紫姊子-止只趾[5]志制至贽质{人～}[6]舐
tsʰ	[1]腮-鳃-[2]持徐{姓}[3]取鼠侈齿=[5]处刺试-翅[6]饲-市-
s	[1]书须-输-西-{～瓜}施丝诗司-思-私-{家～}[2]辞-匙祠时[3]署徙=死矢墅[5]试=世-四-[6]是誓=寺示氏视峙恃
dz	[2]儿而愉[6]愈二字
k	[1]车居枝-饥基几机=玑肌羁姬技妓[2]奇其期旗琪棋祈沂渠[3]举指-矩几=己[5]记寄痣锯既[6]忌己技妓
kʰ	[1]区欺[2]渠骑蜞[3]起齿-岂[5]去气弃器[6]柿-
h	[1]希稀虚墟熙禧嬉[2]鱼-渔-[3]喜许[5]肺-戏[6]耳-
ɡ	[2]仪宜疑[3]语蚁=[6]义议
∅	[1]衣伊医[2]夷姨移怡贻彝遗[3]雨=与倚=椅以[5]意翳[6]异肄易
#iʔ	
p	[7]鳖
b	[8]篾
t	[7]滴
tʰ	[7]铁-
l	[8]裂-
ts	[7]接-摺-褶-[8]舌-折-
s	[7]薛-[8]蚀-
kʰ	[7]缺-
#ĩ	
p	[1]鞭-编{～头鬃}边-[3]扁-[5]变-
pʰ	[1]篇偏[5]片-[6]鼻
m	[2]棉-[6]面-{原文作阴上，应为误记}
t	[1]甜[2]缠-[6]滇{水满，原文作阴上，应为误记}
tʰ	[1]天添[3]展{～开}[6]䋎
n	[1]拈[2]年-泥-簾-连-{黄～}[3]染-耳-{木～}
ts	[1]櫼{柴～}晶争-[2]钱-檐-{屋檐}[3]□{幼嫩的植物}[5]箭-
tsʰ	[1]鲜-{新鲜}[5]腥-{臭～：动物的臊味}[3]浅-{～色}
s	[2]盐-[3]闪-[5]扇-[6]豉盐-
k	[2]舷{边沿}乾{边沿}[3]哽-梗-[5]见-
kʰ	[2]钳-
h	[5]□{抛}[6]砚
∅	[2]丸{肉～}圆-[5]燕-[6]院-易
#ĩʔ	
m	[8]物-
n	[7]嗫{～目}
#ia	
t	[1]爹[5]摘-
ts	[1]遮嗟[2]遮{这儿}[3]姐{小～}[5]蔗鹧炙柘[6]谢-{姓}
tsʰ	[1]车[2]豺{～狗}斜
s	[1]赊些[2]畲斜=邪蛇=[3]写捨[5]舍卸赦泻[6]射谢=社石
dz	[1]遮
k	[2]崎[5]寄[6]崎{陡峭}徛{陡峭}
kʰ	[1]奇-{～数}[2]骑-[6]徛{站}
h	[1]靴桸{匏～}[2]遐{那儿}[6]瓦-蚁-
ɡ	[2]蜈{～蚣}
∅	[1]埃{轰～：尘埃}[2]耶爷椰[3]野冶[6]夜□{～种}
#iaʔ	
p	[7]壁-
pʰ	[7]僻癖[8]甓{厝～}
t	[8]籴-{～米}
tʰ	[7]拆-{～开}
l	[8]掠{～人}搦{～人}
ts	[7]隻-脊-睫迹-[8]食-
tsʰ	[7]赤-刺-{～衫}
s	[7]削-锡-[8]石
dz	[7]迹
k	[8]屐揭-{举}
kʰ	[7]隙{空～}
h	[8]额-
ɡ	[7]迹{骹～}[8]额{名～}
∅	[7]益[8]役-疫-页-蝶
#iã	
p	[3]丙-饼-[5]拼-
pʰ	[1]𩩍[2]坪
m	[2]名-明-[6]命-
t	[2]埕庭-{厝～}呈-{送～}[3]鼎-[5]锭[6]定
tʰ	[1]厅-听-[2]程[5]□{痛}
n	[3]领-岭-
ts	[1]精-{～肉}正-{～月}[2]成-情-[3]䭕{淡}[5]正-
tsʰ	[1]䉔{刺}[2]成-[3]请-[5]倩
s	[1]声-[2]成-城-[5]圣[6]𣛮{～篮}
k	[1]京-惊-[2]行-[3]囝-[5]镜-[6]件-健-
h	[1]兄-[2]燃-[3]显{～目}[6]艾-
ŋ	[2]迎-
∅	[1]营-赢-[3]影-
#io	
p	[1]标-[3]表-[6]鳔-{鱼～}
pʰ	[2]薸-瓢-[5]票-
b	[2]描-[6]庙-
t	[2]潮-跳-[5]钓-[6]赵-掉{发抖}
tʰ	[1]挑-[5]粜-{～米}
ts	[1]椒-招-蕉-[3]少-[5]照-
tsʰ	[1]𤞚[5]笑-
s	[1]烧-相-霄-[3]小-[6]邵-
dz	[6]尿-
k	[2]桥-茄-[5]叫-[6]轿-
∅	[1]腰-幺-[2]摇-窑-[3]舀-
#ioʔ	
t	[8]着-{～火烧}
ts	[7]借-[8]石-
tsʰ	[7]尺-[8]席-
s	[7]惜-
k	[7]脚-
kʰ	[7]挈{拾}
h	[7]歇-[8]箬-
∅	[7]约-[8]药-
#iau	
p	[1]标=[3]表=婊=[6]鳔=
pʰ	[1]飘漂[2]瓢=漂=[5]票=
b	[2]苗=描=猫=[3]秒杳眇淼[6]妙庙=
t	[1]刁雕凋貂碉[2]朝=潮=条调[5]吊弔钓召[6]赵调跳
tʰ	[1]挑=[5]跳粜=[6]柱-
l	[3]了[6]料尿=
ts	[1]焦=醮招=椒=蕉=[3]鸟[5]照
tsʰ	[1]抄{～家}[5]笑=
s	[1]消烧=萧宵霄=[3]小=少=[5]笑=[6]邵=召=
dz	[3]爪
k	[2]桥=侨乔[3]缴搅-[5]叫=[6]轿=
kʰ	[1]跷[3]巧[5]窍翘
h	[1]枵=[3]晓
ɡ	[2]尧
∅	[1]枵腰[2]摇=窑=[3]舀=
#iãu	
n	[1]猫-[3]鸟
#iɔ̃	
t	[1]张-[2]场-[3]长-[5]帐-涨-胀-[6]丈-
n	[2]娘-量-梁-樑-粮-[3]两-[6]量-让-
ts	[1]浆-章-[2]裳-[3]浆-掌-蒋-[5]酱-[6]上-养-{头～子}痒-养-
tsʰ	[1]枪-昌-鲳-[2]墙-扬-杨{～梅}[3]抢-厂-[5]唱-[6]匠-{木～}像-橡-
s	[1]伤-箱-厢-[2]疡-[3]赏-[5]相-[6]想
k	[1]薑-
kʰ	[1]腔-
h	[1]香-乡-
∅	[2]羊-{原文作阴平，应为误记}洋-{原文作阴平，应为误记}杨-{原文作阴平，应为误记}[6]样-{原文作阳平，应为误记}
#iu	
p	[1]彪
b	[1]谬
t	[2]绸铸筹畴[3]肘[5]昼=[6]宙纣胄粙
tʰ	[1]抽[3]丑{原文作阳平，应为误记}
l	[1]抽[2]流=楼=刘=留=[3]柳[5]溜[6]馏
ts	[1]珠-周洲舟[3]酒守-[5]蛀-咒[6]就
tsʰ	[1]须秋[3]手-{原文作阳平，应为误记}帚{原文作阳平，应为误记}醜{原文作阳平，应为误记}[6]树{原文作阴上，应为误记}
s	[1]修收羞[2]囚泅售雠[3]手=守=首=[5]秀兽绣锈宿{星～}[6]岫{鸡～}畴受
k	[1]勼{收束}龟[2]球求裘[3]九久韭[5]救厩[6]舅=臼=旧=
kʰ	[1]丘[2]□{收缩}[3]糗[6]柩
h	[1]休[2]裘襦{原文另作“裘”，棉～：棉袄}[3]朽[5]臭[7]复
ɡ	[2]牛=
∅	[1]优幽[2]游油由酋尤邮[3]友酉有=[5]动[6]祐又柚右
#m	
∅	[2]梅{杨～}
#im	
t	[2]沉[5]鸩[6]□{久炖}
tʰ	[1]琛
l	[2]林=淋=临=[3]廪
ts	[1]□{吻}[2]寻[3]忱婶-[5]浸
tsʰ	[1]侵深[2]寝[3]沁
s	[1]心深=[2]寻=[3]沈婶=[5]渗[6]甚
dz	[1]忍[2]任纫
k	[1]今金[3]锦[5]禁[6]妗
kʰ	[1]钦矜衾[2]琴禽擒
h	[1]欣[2]熊-
ɡ	[2]吟
∅	[1]音阴=淹-[2]淫[3]饮=
#ip	
l	[8]立笠=
ts	[7]执[8]集楫
tsʰ	[7]辑
s	[7]湿[8]十=习拾
dz	[8]入
k	[7]急给[8]及
kʰ	[7]吸[8]汲
h	[7]翕
#iam	
t	[1]砧-[2]甜=沉-[3]点[5]店[6]垫簟
tʰ	[1]添[3]忝[5]帖贴
l	[1]拈[2]黏镰廉兼临-[3]念
ts	[1]瞻占针-赡[2]潜[5]占[6]渐
tsʰ	[1]签[2]橙[5]僭
s	[1]瞻[2]寻-[3]闪=陕[5]渗[6]暹
dz	[3]染
k	[1]兼缄[2]鹹[3]减检[5]剑
kʰ	[1]谦[2]钳=鲶缄[5]欠[6]俭
h	[2]嫌[3]险
ɡ	[2]严[3]俨[6]验
∅	[1]淹阉阴{交～：冷感}[2]盐=[5]厌[6]炎艳焰
#iap	
t	[7]辄[8]碟牒谍蝶
l	[7]聂捏□{凹陷}[8]粒-猎=
ts	[7]接=汁[8]捷
tsʰ	[7]妾
s	[7]涩[8]涉
k	[7]夹峡劫侠
h	[8]胁协侠狭
ɡ	[8]业
∅	[7]挹[8]叶
#in	
p	[1]宾彬斌滨[2]贫凭瓶=[3]禀[5]鬓髌殡
pʰ	[2]贫[3]品
b	[2]民岷眠-明-{～仔日}闽=[3]敏闵抿[6]面-
t	[1]珍=[2]陈=尘=藤-[3]振-[5]镇[6]阵-
l	[2]鳞=[3]恁{你们}
ts	[1]真珍{～珠}升[2]秦[3]诊振震[5]晋进[6]尽
tsʰ	[1]亲[5]凊秤
s	[1]新身伸=申辛薪[2]辰晨神臣蝇-承-[5]迅汛囟信[6]慎肾=剩
dz	[2]仁{原文作阴平，应为误记}人{原文作阴平，应为误记}[6]认
k	[1]根巾斤跟筋均[3]紧仅谨[5]靳绢[6]近
kʰ	[1]轻氢[2]勒芹
h	[1]兴[2]眩{头晕}[5]兴[6]恨
ɡ	[2]银
∅	[1]因恩姻[2]云寅匀[3]引允蚓[5]印应-[6]孕
#it	
p	[7]必毕哔笔[8]弼
pʰ	[7]匹
b	[8]密=蜜
t	[7]得-[8]侄直-值蛰{惊～}
l	[7]吝
ts	[7]织职脊=[8]疾一{训读}蜀{一}籍
tsʰ	[7]七拭-漆=
s	[7]憩熄式膝息[8]袭实食植蚀
dz	[8]日
k	[7]吉
kʰ	[7]乞
∅	[7]忆乙
#ian	
p	[1]鞭=边=编=[3]扁=蝙贬匾砭[5]遍变=[6]卞便辩辫辨
pʰ	[1]编翩[5]片=骗
b	[2]眠=棉=[3]免娩冕[5]面=缅
t	[1]颠[2]填田[3]展=典[6]电佃殿甸滇
tʰ	[1]天=[2]填滇[3]展殄
l	[1]蔫{花～}[2]年=连=莲鳞=联[3]辇[6]练炼链
ts	[1]煎=笺[2]前=钱=[3]剪翦[5]箭荐战颤煎=[6]贱践
tsʰ	[1]千=迁[2]延[3]浅[5]茜
dz	[2]然燃
s	[1]先=仙鲜=[2]蝉=婵澶涎[3]鲜癣筅冼[5]线=扇煽[6]肾{～子：阴囊}善缮单蟮
k	[1]肩=坚[3]茧囝[5]见=建[6]健=件=键
kʰ	[2]乾虔[6]犬遣谴
h	[1]掀轩[2]贤玄舷悬=[3]显=[5]宪献[6]砚=
ɡ	[3]研
∅	[1]燕蔫烟[2]延[3]演[5]燕[6]院=
#iat	
p	[7]别鳖=[8]别=
pʰ	[7]撇瞥
b	[8]灭篾=蔑
t	[7]跌
tʰ	[7]澈铁撤
l	[8]列裂=
ts	[7]节=浙[8]截=捷=
tsʰ	[7]切
dz	[8]热{闹～}
s	[7]薛=[8]舌=
k	[7]结洁吉桔[8]杰竭碣揭剧
kʰ	[7]孑揭
h	[7]血=[8]穴
ɡ	[8]孽
∅	[7]谒[8]阅悦
#iaŋ	
t	[1]张=[2]长=场=[3]长=[5]帐=涨=胀=[6]丈=
tʰ	[5]畅
l	[2]娘=梁=樑量=粮=[3]两=[6]让=量=
ts	[1]章=漳=浆=[3]桨=掌=蒋=[5]酱=
tsʰ	[1]枪=昌=鲳=[2]墙=[3]抢=厂=[5]唱=[6]匠=像=橡=
s	[1]相=箱=伤=[2]疡[3]赏=想[5]相=
dz	[3]嚷
k	[1]薑=[3]强=
kʰ	[1]腔=
h	[1]香=乡=[5]向
∅	[1]央=[2]羊=洋=疡杨=[3]痒=养=[6]样=
#iak	
l	[8]略掠
dz	[8]若
∅	[7]约=
#iɔŋ	
t	[1]中=忠=[2]重=[5]中=[6]重=仲
tʰ	[1]衷[2]虫=[3]冢宠
l	[2]龙隆[3]垄[6]冗
ts	[1]终钟=盅舂[2]从[3]肿=种=[5]众=种=
tsʰ	[1]衝充冲[5]铳
s	[1]嵩[2]松榕[6]诵讼
dz	[2]茸
k	[1]宫弓躬恭供[2]穷[3]拱[5]供[6]共
kʰ	[3]恐{原文作阴平，应为误记}
h	[1]凶匈胸[2]雄=
∅	[1]拥壅[2]容蓉庸[3]勇涌[6]用
#iɔk	
t	[7]筑[8]逐=轴=
l	[8]陆=绿录六=
ts	[7]足烛
tsʰ	[7]促
