IPA	调类	字
tɕʰien	2	全前錢
ȵien	3	染軟
lien	3	臉
ien	2	圓袁鹽
tʰien	6	電
ɕien	5	獻線
tɕʰien	3	淺
ȵien	6	願驗
ien	3	遠
ɕien	6	現縣
tɕʰien	5	欠
ien	5	燕
tɕʰien	6	件健儉
ien	6	院
kʰiɛn	3	肯
ŋiɛn	1	恩
liɛn	2	鐮
kuan	1	關
uan	1	彎
kuan	5	慣
uan	2	丸
uan	6	萬
kuon	1	官鰥
kʰuon	1	寛
uon	1	豌
kuon	3	管
uon	3	碗
taŋ	1	正
tʰaŋ	1	睜
tsaŋ	1	爭
saŋ	1	生甥聲
tsʰaŋ	1	撐
kaŋ	1	耕
kʰaŋ	1	坑
ŋaŋ	6	硬雁
laŋ	3	冷
tʰaŋ	2	程
tʰaŋ	6	鄭
pʰəŋ	2	朋棚蓬
təŋ	1	冬忠東鐘
tʰəŋ	1	充沖蔥通
tsəŋ	1	宗鬃
səŋ	1	升
kəŋ	1	公功宮恭
kʰəŋ	1	空
məŋ	2	蒙
ləŋ	2	籠絨融農隆
təŋ	3	懂種
tʰəŋ	2	叢同崇承蟲
tsəŋ	3	總
səŋ	2	乘繩
kʰəŋ	3	孔恐
məŋ	6	夢
ləŋ	6	弄
təŋ	5	中凍種
tʰəŋ	3	桶
tsəŋ	5	粽
səŋ	5	勝送
kʰəŋ	5	控
tʰəŋ	5	痛衆
kʰəŋ	6	共
tʰəŋ	6	動洞
fuŋ	2	弘
muŋ	3	猛
piŋ	1	兵冰
pʰiŋ	2	瓶貧
tiŋ	1	蒸
tʰiŋ	1	稱
tɕiŋ	1	京睛精經驚
ɕiŋ	1	興
tɕʰiŋ	1	傾
liŋ	2	寧零
iŋ	1	嬰英鶯鷹
piŋ	3	丙稟
tiŋ	3	頂
tʰiŋ	2	停
tɕiŋ	3	景
ɕiŋ	2	形
tɕʰiŋ	5	慶
liŋ	3	領
iŋ	2	迎
tʰiŋ	3	挺
tɕiŋ	5	勁競
ɕiŋ	5	興
liŋ	6	令
tʰiŋ	5	秤
ɕiŋ	6	幸
pɔŋ	1	幫
pʰɔŋ	2	旁
fɔŋ	1	慌方
tɔŋ	1	張章
tʰɔŋ	1	倉昌湯瘡窗
tsɔŋ	1	莊髒
sɔŋ	1	商雙霜
tsʰɔŋ	6	髒
tɕʰɔŋ	1	腔
kɔŋ	1	江缸
kʰɔŋ	1	康
hɔŋ	2	航行
mɔŋ	1	忙
lɔŋ	2	狼
pɔŋ	3	榜
fɔŋ	2	房
tɔŋ	3	漲黨
tʰɔŋ	2	場常床糖
tsɔŋ	5	葬
sɔŋ	6	上
kɔŋ	3	港講
hɔŋ	6	巷項
mɔŋ	6	望
fɔŋ	3	紡
tʰɔŋ	5	唱燙
kɔŋ	5	虹降
fɔŋ	5	放
tʰɔŋ	6	丈撞
fɛŋ	2	宏
tɛŋ	1	燈登
tʰɛŋ	2	騰
tsɛŋ	1	增
sɛŋ	1	僧
tsʰɛŋ	2	層
tɛŋ	3	等
tʰɛŋ	6	贈鄧
sɛŋ	3	省
tɛŋ	5	凳
h◌ŋ	1	烘蜂轟風
h◌ŋ	2	紅縫逢
h◌ŋ	6	鳳
piaŋ	3	餅
pʰiaŋ	2	平
tiaŋ	1	丁
tʰiaŋ	1	聽
tɕiaŋ	3	井頸
ɕiaŋ	1	星
tɕʰiaŋ	1	輕青
miaŋ	2	名明
iaŋ	2	贏
pʰiaŋ	6	病
tiaŋ	5	訂
tʰiaŋ	6	定
tɕiaŋ	5	鏡
ɕiaŋ	3	醒
tɕʰiaŋ	2	晴
miaŋ	6	命
iaŋ	3	影
ɕiaŋ	5	姓
tɕʰiaŋ	3	請
iaŋ	6	剩
tɕʰiaŋ	6	靜
ɕiəŋ	1	兄兇松
tɕʰiəŋ	2	從瓊窮
ȵiəŋ	2	濃
liəŋ	2	龍
iəŋ	1	擁
ɕiəŋ	2	熊
iəŋ	2	榮螢
iəŋ	6	用
tɕiɔŋ	1	薑
ɕiɔŋ	1	箱鄉
tɕʰiɔŋ	1	槍
ȵiɔŋ	2	娘
liɔŋ	2	糧良
iɔŋ	1	秧
tɕiɔŋ	3	漿
ɕiɔŋ	2	詳降
tɕʰiɔŋ	2	強牆
liɔŋ	6	亮
iɔŋ	2	陽
ɕiɔŋ	5	向
tɕʰiɔŋ	3	搶
iɔŋ	6	樣讓
kiɛŋ	1	庚羹
kiɛŋ	3	哽
uaŋ	2	橫
kuɔŋ	1	光
kʰuɔŋ	1	筐
uɔŋ	1	汪
kʰuɔŋ	5	礦
uɔŋ	2	王黃
uɔŋ	3	枉網
uɔŋ	6	忘旺
tɕʰip	8	集
pat	7	八
pʰat	8	拔
fat	7	法發
tat	7	答
tʰat	7	塔插擦
tsat	7	眨
sat	7	殺
kat	7	夾甲
hat	7	瞎
ŋat	7	鴨
lat	7	捺
tʰat	8	達鍘
lat	8	蠟辣
pət	7	不
tʰət	7	出
sət	7	失
lət	7	入
sət	8	十濕
pʰot	7	潑
tʰot	7	脫
tsʰot	8	雜
kot	7	割鴿
hot	7	喝
lot	7	納
tʰot	8	奪
hot	8	盒
kut	7	骨
pit	7	筆
pʰit	8	鼻
tʰit	8	粒
tɕit	7	吉急
tɕʰit	7	七極
ȵit	7	日
lit	7	力
it	7	一
tɕʰit	8	及
tɛt	7	折
sɛt	7	舌
pʰiet	8	別
tʰiet	7	帖鐵
tɕiet	7	接節
ɕiet	7	歇血雪
tɕʰiet	7	切缺
miet	7	滅
ȵiet	7	閲
iet	8	葉
tʰiet	8	疊
ɕiet	8	諧
tɕʰiet	8	絶
miet	8	篾
ȵiet	8	月熱
tɕʰiɛt	8	傑
kuat	7	刮
uat	7	挖襪
uat	8	滑
uət	7	物
kʰuot	7	闊
uot	8	活
paʔ	7	爸百
pʰaʔ	8	白
taʔ	7	只
tʰaʔ	7	尺
tsaʔ	7	摘
saʔ	8	石
kaʔ	7	格
kʰaʔ	7	客
haʔ	7	嚇
maʔ	8	麥
laʔ	7	拿
tʰeʔ	7	厠
poʔ	7	剝
pʰoʔ	8	薄
toʔ	7	著
tʰoʔ	7	托
tsoʔ	7	作桌
soʔ	8	食
koʔ	7	各覺角郭
kʰoʔ	7	擴殼
hoʔ	7	鶴
ŋoʔ	7	惡
tʰoʔ	8	濁鑿
hoʔ	8	學
fuʔ	7	幅
tuʔ	7	燭祝竹
tʰuʔ	7	畜觸
