音標	調類	調值		
lã	5	45	濫	
lã	6	22	濫爛難[災～]	
li	2	12	驢梨犁黎厘貍離籬璃漓	
li	3	43	旅禮李裏理鯉娌履你	
li	5	45	厲勵荔栗麗儷粒吏	
li	6	22	例痢淚-	
li	7	24	率立笠律力歷瀝[～箕]靂	
liã	2	12	零蛉	
liã	3	43	領嶺	
lie	7	24	列烈裂獵劣	
lin	2	12	林琳淋霖麟鱗磷菱淩陵鈴羚齡玲鄰伶靈欞酃[～縣]臨零=[(數字)]	
lin	3	43	領	
liuŋ	2	12	良涼量[～長短]糧梁粱	
liuŋ	3	43	兩輛	
liuŋ	5	45	亮諒	
liuŋ	6	22	亮諒	
lĩ	2	12	廉鐮連蓮漣鰱憐簾聯	
lĩ	3	43	斂殮臉	
lĩ	5	45	練煉楝戀	
lĩ	6	22	練煉楝	
liɑ	1	334	撩	
liɑ	2	12	燎瞭僚鐐繚遼療聊	
liɑ	3	43	寥了瞭	
liɑ	5	45	廖料	
liɑ	6	22	料撂	
liɘ	2	12	流劉留榴硫琉溜	
liɘ	3	43	柳你（「你屋」合音）	
lo	2	12	羅鑼籮蘿騾螺腡	
lo	3	43	裸	
lo	5	45	烙	
lo	7	24	諾落洛絡駱樂[～趣]	
loŋ	3	43	冷	
luŋ	2	12	囊郎狼廊螂榔[檳～]瑯	
luŋ	3	43	郎	
luŋ	6	22	浪㫰[晾曬：～衣褲]盪[洗涤：～兩下杯子]	
læ	5	45	捋	
læ	7	24	肋勒	
lɑ	1	334	撈	
lɑ	2	12	勞牢澇癆	
lɑ	3	43	老佬腦惱姥	
lɑ	5	45	澇（～災）	
lɑ	6	22	鬧癆[毒：～魚]	
lən	1	334	聾	
lən	2	12	論[～語]崙倫淪輪能農膿儂濃隆龍籠[烘～子]	
lən	3	43	冷攏隴壟籠[箱～]	
lən	5	45	嫩論[議～]弄	
lən	6	22	嫩論[無～]弄	
lɘ	2	12	奴盧爐蘆鸕[～鶿]廬[茅～]驢樓	
lɘ	3	43	努魯櫓虜鹵簍摟[抱]	
lɘ	5	45	怒路露鷺[～鷥]	
lɘ	6	22	怒-路-露-鷺-[～鷥]漏=陋	
lɘ	7	24	鹿六綠	
lɜ	1	334	纍[形容胖、臃腫：～堆]	
lɜ	2	12	雷擂蕾	
lɜ	3	43	呂鋁侶屢儡累積磊壘	
lɜ	5	45	慮濾類酹淚	
lɜ	6	22	內	
lø̃	2	12	鸞圞[圓]	
lø̃	3	43	暖卵	
lø̃	5	45	亂	
lø̃	6	22	亂	
lɔ	1	334	拿拉	
lɔ	2	12	挪[用腳在地上蹭：～泥巴；爬]	
lɔ	3	43	哪	
lɔ	7	24	納蠟臘辣剌楋[～樹]垃捺邋[～遢]那	
tsa	2	12	才財材裁豺柴	
tsã	2	12	蠶慚殘饞讒□[刺：～人，~眼睛]	
tsã	3	43	斬嶄盞攢	
tsã	5	45	鏨站[～立]贊讚濽[～水]䋎[用針線縫釘：～扣子]	
tsã	6	22	暫賺站[車～]棧	
tsi	2	12	徐齊臍[～帶]	
tsi	3	43	擠	
tsi	5	45	祭臍[肚～]劑薺濟際穄聚唧[奶水]	
tsi	7	24	即鯽積跡績輯[編～]集籍藉	
tsiã	1	334	精-[～肉：瘦肉]	
tsiã	2	12	晴	
tsiã	3	43	井	
tsie	1	334	租謅鄒諏[胡～]	
tsie	3	43	姐走	
tsie	5	45	奏揍	
tsie	7	24	接節絕	
tsin	1	334	津晶精睛	
tsin	2	12	尋秦情晴	
tsin	3	43	井	
tsin	5	45	浸進晉靖靜	
tsin	6	22	靜淨燼盡	
tsio	7	24	爵嚼	
tsiuŋ	1	334	將[～來]漿	
tsiuŋ	2	12	牆戕詳祥	
tsiuŋ	3	43	蔣獎槳	
tsiuŋ	5	45	醬將[大～]	
tsiuŋ	6	22	匠像	
tsĩ	1	334	尖煎曾[～国藩]增僧爭箏睜	
tsĩ	2	12	潛錢前全痊泉曾[～經；～孫]層	
tsĩ	3	43	剪	
tsĩ	5	45	箭薦	
tsĩ	6	22	賤旋[頭頂上的旋兒]	
tsiɑ	1	334	焦蕉椒礁	
tsiɑ	2	12	樵憔瞧	
tsiɑ	3	43	剿缴	
tsiɑ	5	45	醮[打～]	
tsiɘ	1	334	鬏[～髻]鬮	
tsiɘ	3	43	酒	
tsiɘ	5	45	㲃[擰幹水或掐人：～被窩、～瓶蓋]	
tsiɘ	6	22	就	
tsiɔ	2	12	邪-斜-	
tsiɔ	3	43	姐	
tsiɔ	5	45	借□[形容很濕：衣服打的～濕的]	
tsiɔ	6	22	謝藉[～故]褯[～子]	
tso	3	43	左佐	
tso	5	45	坐座	
tso	6	22	坐座	
tso	7	24	作桌鐲	
tsoŋ	1	334	爭	
tsuŋ	1	334	贓莊裝樁	
tsuŋ	2	12	藏[隱～]床	
tsuŋ	5	45	髒[邋遢]葬壯臟[心～]藏[西～]狀	
tsuŋ	6	22	撞[～人]狀	
tsæ	7	24	則賊側窄摘責	
tsɑ	1	334	遭糟	
tsɑ	2	12	曹槽巢嘈䐬[餓：肚～]	
tsɑ	3	43	早棗蚤澡藻找皂爪	
tsɑ	5	45	竈罩笊	
tsən	1	334	榛臻尊遵曾增僧爭箏睜棕鬃宗綜[～合]踪	
tsən	2	12	存蹲旬循巡詢殉曾[～經]層叢從[服～]崇松[～樹]	
tsən	3	43	總	
tsən	5	45	俊粽綜[織布機上的綜]縱[～橫；放～]	
tsən	6	22	捘[按壓]	
tsɘ	1	334	租鄒	
tsɘ	2	12	鋤愁	
tsɘ	3	43	祖組阻走	
tsɘ	5	45	助做奏皺縐	
tsɘ	7	24	卒[兵～]足𡎺[塞]	
tsɜ	3	43	嘴	
tsɜ	5	45	最醉	
tsɜ	6	22	罪	
tsɜ	7	24	□[塞：～得口袋裏]	
tsø̃	3	43	纂鑽[(存疑)捅]	
tsø̃	5	45	鑽[～洞；木～]	
tsɔ	2	12	茶	
tsɔ	7	24	雜閘紮摘	
tsɿ	1	334	資姿咨茲滋孜	
tsɿ	2	12	瓷雌糍慈磁詞祠辭	
tsɿ	3	43	紫姊子籽梓滓	
tsɿ	5	45	祀巳刺恣[～意妄为]	
tsɿ	6	22	自字牸寺	
tsʰa	1	334	猜釵差	
tsʰa	3	43	彩踩采睬	
tsʰa	5	45	菜蔡	
tsʰã	1	334	參攙餐	
tsʰã	3	43	慘鏟產	
tsʰã	5	45	燦	
tsʰi	1	334	蛆趨妻淒棲焌[～水]	
tsʰi	3	43	取娶	
tsʰi	7	24	集七漆膝戚輯[～麻]疾寂	
tsʰiã	1	334	清青	
tsʰiã	3	43	請	
tsʰie	5	45	絕（～代子）	
tsʰie	7	24	切截妾	
tsʰin	1	334	侵親蜻青	
tsʰin	3	43	寢	
tsʰin	5	45	浸親[～家]	
tsʰio	7	24	嚼[～不爛]鵲	
tsʰiuŋ	1	334	槍	
tsʰiuŋ	3	43	搶	
tsʰiuŋ	5	45	蹌	
tsʰĩ	1	334	殲[～滅]纖[～維]簽[～字]籤[竹～]遷箋千	
tsʰĩ	3	43	淺	
tsʰĩ	5	45	踐贈-	
tsʰo	1	334	搓	
tsʰo	5	45	銼措錯[～誤；～雜]鑿濁	
tsʰoŋ	1	334	撐	
tsʰoŋ	5	45	牚[椅子～]	
tsʰuŋ	1	334	倉蒼艙瘡窗	
tsʰuŋ	3	43	撞	
tsʰuŋ	5	45	創	
tsʰæ	7	24	測惻廁[～所]拆=策冊宅澤擇	
tsʰɑ	1	334	操抄鈔	
tsʰɑ	3	43	草炒吵	
tsʰɑ	5	45	躁燥造糙	
tsʰən	1	334	村皴[臉～]聰怱蔥囪從[～容]	
tsʰən	5	45	襯寸贈	
tsʰɘ	1	334	粗初	
tsʰɘ	3	43	楚礎	
tsʰɘ	5	45	醋湊驟	
tsʰɘ	7	24	族猝[倉～]促	
tsʰɜ	1	334	催崔炊	
tsʰɜ	3	43	璀	
tsʰɜ	5	45	碎	
tsʰɔ	1	334	叉杈衩差[～別]	
tsʰɔ	5	45	岔擇-[～菜]	
tsʰɔ	7	24	插擦察鍘拆擇=[～日]插	
tsʰø̃	5	45	竄篡	
tsʰɿ	1	334	疵差[參～]	
tsʰɿ	3	43	此	
tsʰɿ	5	45	刺	
