ID	汉字	音节	声母	韵母	声调	注释	罗马字
195	值	dzi	dz	i	8		dzi8
196	西	si	s	i	1		si1
197	洗	si	s	i	3		si3
198	写	si	s	i	3		si3
199	舍	si	s	i	3	~弃	si3
200	世	si	s	i	5		si5
201	细	si	s	i	5		si5
202	式	si	s	i	5		si5
203	赐	si	s	i	5		si5
204	施	si	s	i	5		si5
205	势	si	s	i	5		si5
206	舍	si	s	i	5	邻~	si5
207	赦	si	s	i	5		si5
208	息	si	s	i	7		si7
209	识	si	s	i	7		si7
210	释	si	s	i	7		si7
211	惜	si	s	i	7		si7
212	亵	si	s	i	7		si7
213	设	si	s	i	7		si7
214	邪	zi	z	i	2		zi2
215	蛇	zi	z	i	2		zi2
216	齐	zi	z	i	2		zi2
217	匙	zi	z	i	2		zi2
218	谢	zi	z	i	6		zi6
219	石	zi	z	i	8		zi8
220	食	zi	z	i	8		zi8
221	席	zi	z	i	8		zi8
222	𧻸	zi	z	i	8	跑  	zi8
223	尼	ȵi	ȵ	i	2		nyi2
224	你	ȵi	ȵ	i	4		nyi4
225	去	kʰi	kʰ	i	5	翻来覆~	kʻi5
226	渠	gi	g	i	2	他	gi2
227	移	ɦji	ɦj	i	2		yi2
228	耶	ɦji	ɦj	i	2		yi2
229	己	ɦji	ɦj	i	4		yi4
230	以	ɦji	ɦj	i	4		yi4
231	系	ɦji	ɦj	i	6	关~	yi6
232	异	ɦji	ɦj	i	6		yi6
233	夜	ɦji	ɦj	i	6		yi6
234	易	ɦji	ɦj	i	6		yi6
235	亦	ɦji	ɦj	i	8	又	yi8
236	衣	ʔi	ʔ	i	1		i1
237	依	ʔi	ʔ	i	1		i1
238	医	ʔi	ʔ	i	1		i1
239	野	ʔi	ʔ	i	3		i3
240	意	ʔi	ʔ	i	5		i5
241	一	ʔi	ʔ	i	7	~个	i7
242	居	tɕy	tɕ	y	1		chü1
243	拘	tɕy	tɕ	y	1		chü1
244	规	tɕy	tɕ	y	1	条~	chü1
245	举	tɕy	tɕ	y	3		chü3
246	鬼	tɕy	tɕ	y	3		chü3
247	诡	tɕy	tɕ	y	3		chü3
248	矩	tɕy	tɕ	y	3		chü3
249	句	tɕy	tɕ	y	5		chü5
250	贵	tɕy	tɕ	y	5		chü5
251	据	tɕy	tɕ	y	5		chü5
252	去	tɕʰy	tɕʰ	y	5	~世  	chʻü5
253	跪	dʑy	dʑ	y	4		djü4
254	具	dʑy	dʑ	y	6		djü6
255	惧	dʑy	dʑ	y	6		djü6
256	愚	ȵy	ȵ	y	4		nyü4
257	女	ȵy	ȵ	y	4		nyü4
258	语	ȵy	ȵ	y	4		nyü4
259	虚	ɕy	ɕ	y	1		shü1
260	许	ɕy	ɕ	y	3		shü3
261	毁	ɕy	ɕ	y	5	~谤  	shü5
262	盂	ɦy	ɦ	y	2		ʻü2
263	围	ɦy	ɦ	y	2		ʻü2
264	违	ɦy	ɦ	y	2		ʻü2
265	逾	ɦy	ɦ	y	2		ʻü2
266	余	ɦy	ɦ	y	2		ʻü2
267	雨	ɦy	ɦ	y	4		ʻü4
268	宇	ɦy	ɦ	y	4		ʻü4
269	位	ɦy	ɦ	y	6		ʻü6
270	为	ɦy	ɦ	y	6	难~ ,因~	ʻü6
271	喻	ɦy	ɦ	y	6		ʻü6
272	瘉	ɦy	ɦ	y	6	痊~	ʻü6
273	慧	ɦy	ɦ	y	6		ʻü6
274	谕	ɦy	ɦ	y	6	上~	ʻü6
275	补	pʉ	p	ʉ	3		pû3
276	谱	pʉ	p	ʉ	3		pû3
277	布	pʉ	p	ʉ	5		pû5
278	铺	pʰʉ	pʰ	ʉ	1	~直主的小路  	pʻû1
279	蒲	bʉ	b	ʉ	2	~桃：葡萄	bû2
280	部	bʉ	b	ʉ	4		bû4
281	步	bʉ	b	ʉ	6		bû6
282	夫	fʉ	f	ʉ	1		fû1
283	府	fʉ	f	ʉ	3		fû3
284	咐	fʉ	f	ʉ	5		fû5
285	富	fʉ	f	ʉ	5		fû5
286	付	fʉ	f	ʉ	5		fû5
287	父	vʉ	v	ʉ	4		vû4
288	妇	vʉ	v	ʉ	4		vû4
289	负	vʉ	v	ʉ	4		vû4
290	都	tʉ	t	ʉ	1	~城	tû1
291	妒	tʉ	t	ʉ	5	~忌	tû5
292	土	tʰʉ	tʰ	ʉ	3		tʻû3
293	吐	tʰʉ	tʰ	ʉ	3	动词	tʻû3
294	吐	tʰʉ	tʰ	ʉ	5	动词	tʻû5
295	涂	dʉ	d	ʉ	2		dû2
296	塗	dʉ	d	ʉ	2	海~	dû2
297	图	dʉ	d	ʉ	2		dû2
298	肚	dʉ	d	ʉ	4		dû4
299	度	dʉ	d	ʉ	6		dû6
