ID	汉字	音节	声母	韵母	声调	注释	罗马字
654	最	tse	ts	e	5		tse5
655	猜	tsʰe	tsʰ	e	1		tsʻe1
656	睬	tsʰe	tsʰ	e	3		tsʻe3
657	菜	tsʰe	tsʰ	e	5		tsʻe5
658	赛	se	s	e	5		se5
659	色	se	s	e	7		se7
660	塞	se	s	e	7		se7
661	才	dze	dz	e	2	~新死爻	dze2
662	财	ze	z	e	2		ze2
663	才	ze	z	e	2	口~	ze2
664	裁	ze	z	e	2		ze2
665	材	ze	z	e	2		ze2
666	在	ze	z	e	4	徛~圣殿上(站在圣殿上)	ze4
667	贼	ze	z	e	8		ze8
668	该	ke	k	e	1	应~	ke1
669	改	ke	k	e	3		ke3
670	几	ke	k	e	3	~个	ke3
671	该	ke	k	e	7	这	ke7
672	开	kʰe	kʰ	e	1		kʻe1
673	刻	kʰe	kʰ	e	7		kʻe7
674	徛	ge	g	e	4	站	ge4
675	個	ge	g	e		助词，相当于普通话“的”	ge0
676	海	he	h	e	3		he3
677	许	he	h	e	3	那	he3
678	黑	he	h	e	7		he7
679	孩	ɦe	ɦ	e	2		ʻe2
680	亥	ɦe	ɦ	e	4		ʻe4
681	害	ɦe	ɦ	e	6		ʻe6
682	爱	ʔe	ʔ	e	5		e5
683	半	pø	p	ø	1	后~	pö1
684	边	pø	p	ø	1	后~	pö1
685	𤳗	pø	p	ø	1	后~	pö1
686	半	pø	p	ø	5		pö5
687	判	pʰø	pʰ	ø	5		pʻö5
688	搬	bø	b	ø	2		bö2
689	盘	bø	b	ø	2		bö2
690	磐	bø	b	ø	2		bö2
691	伴	bø	b	ø	4		bö4
692	瞒	mø	m	ø	2		mö2
693	满	mø	m	ø	4		mö4
694	末	mø	m	ø	8		mö8
695	抹	mø	m	ø	8	~药	mö8
696	没	mø	m	ø	8		mö8
697	端	tø	t	ø	1		tö1
698	短	tø	t	ø	3		tö3
699	断	tø	t	ø	5	~~不会过去	tö5
700	掇	tø	t	ø	7		tö7
701	答	tø	t	ø	7		tö7
702	贪	tʰø	tʰ	ø	1		tʻö1
703	探	tʰø	tʰ	ø	5		tʻö5
704	脱	tʰø	tʰ	ø	7	~爻仇敌(摆脱仇敌)	tʻö7
705	团	dø	d	ø	2		dö2
706	臀	dø	d	ø	2		dö2
707	段	dø	d	ø	6		dö6
708	夺	dø	d	ø	8	抢~	dö8
709	凸	dø	d	ø	8		dö8
710	男	nø	n	ø	2		nö2
711	南	nø	n	ø	2		nö2
712	嫩	nø	n	ø	6		nö6
713	纳	nø	n	ø	8		nö8
714	乱	lø	l	ø	6		lö6
715	论	lø	l	ø	6		lö6
716	粒	lø	l	ø	8		lö8
717	尊	tsø	ts	ø	1		tsö1
718	村	tsʰø	tsʰ	ø	1		tsʻö1
719	忖	tsʰø	tsʰ	ø	3		tsʻö3
720	孙	sø	s	ø	1		sö1
721	损	sø	s	ø	3		sö3
722	算	sø	s	ø	5		sö5
723	刷	sø	s	ø	7		sö7
724	存	zø	z	ø	2		zö2
725	錾	zø	z	ø	4		zö4
726	杂	zø	z	ø	8		zö8
727	根	kø	k	ø	1		kö1
728	感	kø	k	ø	3		kö3
729	橄	kø	k	ø	3		kö3
730	敢	kø	k	ø	3		kö3
731	幹	kø	k	ø	5	能~;才干	kö5
732	坎	kʰø	kʰ	ø	3	持重物撞击人或物: ~死	kʻö3
733	款	kʰø	kʰ	ø	3		kʻö3
734	看	kʰø	kʰ	ø	5	~顾	kʻö5
735	丐	kʰø	kʰ	ø	7		kʻö7
736	颔	ɦø	ɦ	ø	4		ʻö4
737	合	ɦø	ɦ	ø	8	同心~口	ʻö8
738	盒	ɦø	ɦ	ø	8		ʻö8
739	恩	ʔø	ʔ	ø	1		ö1
740	暗	ʔø	ʔ	ø	5		ö5
741	保	pɜ	p	ɜ	3		pöe3
742	宝	pɜ	p	ɜ	3		pöe3
743	报	pɜ	p	ɜ	5		pöe5
744	剖	pʰɜ	pʰ	ɜ	3		pʻöe3
745	袍	bɜ	b	ɜ	2		böe2
746	抱	bɜ	b	ɜ	4		böe4
747	毛	mɜ	m	ɜ	2	使变坏;缺点多的	möe2
748	毛	mɜ	m	ɜ	2	骆驼~	möe2
749	谋	mɜ	m	ɜ	2		möe2
750	冒	mɜ	m	ɜ	6		möe6
751	浮	vɜ	v	ɜ	2	虛~	vöe2
752	复	vɜ	v	ɜ	6	~活	vöe6
753	刀	tɜ	t	ɜ	1		töe1
754	雕	tɜ	t	ɜ	1	名词	töe1
755	倒	tɜ	t	ɜ	3	坍~	töe3
756	祷	tɜ	t	ɜ	3		töe3
757	岛	tɜ	t	ɜ	3		töe3
758	到	tɜ	t	ɜ	5		töe5
759	倒	tɜ	t	ɜ	5	~掉	töe5
760	讨	tʰɜ	tʰ	ɜ	3		tʻöe3
761	套	tʰɜ	tʰ	ɜ	5		tʻöe5
762	逃	dɜ	d	ɜ	2	推	döe2
763	桃	dɜ	d	ɜ	2		döe2
764	逃	dɜ	d	ɜ	2		döe2
765	啕	dɜ	d	ɜ	2		döe2
766	道	dɜ	d	ɜ	4		döe4
767	稻	dɜ	d	ɜ	4		döe4
768	盜	dɜ	d	ɜ	6		döe6
769	导	dɜ	d	ɜ	6		döe6
770	脑	nɜ	n	ɜ	4		nöe4
771	牢	lɜ	l	ɜ	2		löe2
772	劳	lɜ	l	ɜ	2		löe2
773	老	lɜ	l	ɜ	4		löe4
774	糟	tsɜ	ts	ɜ	1		tsöe1
775	早	tsɜ	ts	ɜ	3		tsöe3
776	枣	tsɜ	ts	ɜ	3		tsöe3
777	草	tsʰɜ	tsʰ	ɜ	3		tsʻöe3
778	操	tsʰɜ	tsʰ	ɜ	5		tsʻöe5
779	造	tsʰɜ	tsʰ	ɜ	5	~次	tsʻöe5
780	扫	sɜ	s	ɜ	5		söe5
781	燥	sɜ	s	ɜ	5		söe5
782	槽	zɜ	z	ɜ	2		zöe2
783	造	zɜ	z	ɜ	4	创~	zöe4
784	高	kɜ	k	ɜ	1		köe1
785	羔	kɜ	k	ɜ	1		köe1
786	告	kɜ	k	ɜ	5		köe5
787	考	kʰɜ	kʰ	ɜ	3		kʻöe3
788	靠	kʰɜ	kʰ	ɜ	5		kʻöe5
789	熬	ŋɜ	ŋ	ɜ	2		ngöe2
790	傲	ŋɜ	ŋ	ɜ	6		ngöe6
791	好	hɜ	h	ɜ	3	假~人	höe3
792	毫	ɦɜ	ɦ	ɜ	2		ʻöe2
793	嚎	ɦɜ	ɦ	ɜ	2		ʻöe2
794	号	ɦɜ	ɦ	ɜ	6	记~	ʻöe6
795	懊	ʔɜ	ʔ	ɜ	5		öe5
796	岙	ʔɜ	ʔ	ɜ	5		öe5
797	奧	ʔɜ	ʔ	ɜ	5		öe5
798	澳	ʔɜ	ʔ	ɜ	5		öe5
799	巴	po	p	o	1		po1
800	笆	po	p	o	1		po1
801	把	po	p	o	3		po3
802	膊	po	p	o	7		po7
803	八	po	p	o	7		po7
804	剥	po	p	o	7		po7
805	驳	po	p	o	7		po7
806	博	po	p	o	7		po7
807	怕	pʰo	pʰ	o	5		pʻo5
808	爬	bo	b	o	2		bo2
809	拔	bo	b	o	8		bo8
810	麻	mo	m	o	2		mo2
811	𢳀	mo	m	o	2	丸:抓阄	mo2
812	马	mo	m	o	4		mo4
813	玛	mo	m	o	4		mo4
814	吗	mo	m	o	4	~哪	mo4
815	摸	mo	m	o	8		mo8
816	发	fo	f	o	7		fo7
817	法	fo	f	o	7		fo7
818	罚	fo	f	o	8		fo8
819	缚	fo	f	o	8		fo8
820	朵	to	t	o	3		to3
821	托	tʰo	tʰ	o	7		tʻo7
822	剫	do	d	o	8	拉扯;撕	do8
823	诺	no	n	o	8		no8
824	落	lo	l	o	8	下: ~船;下去:放~乐~园	lo8
825	抯	tso	ts	o	3	取、拿	tso3
826	榨	tso	ts	o	5		tso5
827	酢	tso	ts	o	5	酒~	tso5
828	作	tso	ts	o	7		tso7
829	叉	tsʰo	tsʰ	o	1		tsʻo1
830	杈	tsʰo	tsʰ	o	5		tsʻo5
831	错	tsʰo	tsʰ	o	7		tsʻo7
832	搽	dzo	dz	o	2		dzo2
833	查	dzo	dz	o	2		dzo2
834	沙	so	s	o	1		so1
835	捎	so	s	o	1	~马袋:褡裢	so1
836	莎	so	s	o	1		so1
837	锁	so	s	o	3		so3
838	所	so	s	o	3		so3
839	索	so	s	o	7		so7
840	昨	zo	z	o	2		zo2
841	坐	zo	z	o	4		zo4
842	座	zo	z	o	6		zo6
843	足	tɕo	tɕ	o	7		cho7
844	桌	tɕo	tɕ	o	7		cho7
845	捉	tɕo	tɕ	o	7		cho7
846	戳	tɕʰo	tɕʰ	o	7		chʻo7
847	曲	tɕʰo	tɕʰ	o	7		chʻo7
848	局	dʑo	dʑ	o	8		djo8
849	玉	ȵo	ȵ	o	8		nyo8
850	狱	ȵo	ȵ	o	8		nyo8
851	宿	ɕo	ɕ	o	7		sho7
852	俗	ʑo	ʑ	o	8		jo8
853	赎	ʑo	ʑ	o	8		jo8
854	家	ko	k	o	1		ko1
855	加	ko	k	o	1		ko1
856	佳	ko	k	o	1		ko1
857	假	ko	k	o	3		ko3
858	寡	ko	k	o	3		ko3
859	价	ko	k	o	5		ko5
860	挂	ko	k	o	5		ko5
861	嫁	ko	k	o	5		ko5
862	搁	ko	k	o	7		ko7
863	各	ko	k	o	7		ko7
864	角	ko	k	o	7		ko7
865	觉	ko	k	o	7		ko7
866	可	kʰo	kʰ	o	3		kʻo3
867	壳	kʰo	kʰ	o	7		kʻo7
868	阔	kʰo	kʰ	o	7		kʻo7
869	确	kʰo	kʰ	o	7		kʻo7
870	牙	ŋo	ŋ	o	2		ngo2
871	芽	ŋo	ŋ	o	2		ngo2
872	衙	ŋo	ŋ	o	2		ngo2
873	瓦	ŋo	ŋ	o	4		ngo4
874	雅	ŋo	ŋ	o	4		ngo4
875	鹤	ŋo	ŋ	o	8		ngo8
876	花	ho	h	o	1		ho1
877	下	ho	h	o	3	撒播: ~种	ho3
878	化	ho	h	o	5		ho5
879	吓	ho	h	o	7		ho7
880	华	ɦo	ɦ	o	2		ʻo2
881	下	ɦo	ɦ	o	4	有时变读为[o34]	ʻo4
882	夏	ɦo	ɦ	o	6		ʻo6
883	话	ɦo	ɦ	o	6		ʻo6
884	活	ɦo	ɦ	o	8		ʻo8
885	学	ɦo	ɦ	o	8		ʻo8
886	话	ɕʋo	ɕʋ	o	5		shwo5
887	浴	ɦjo	ɦj	o	8		yo8
888	欲	ɦjo	ɦj	o	8		yo8
889	鸦	ʔo	ʔ	o	1		o1
890	哑	ʔo	ʔ	o	3		o3
891	亚	ʔo	ʔ	o	5		o5
892	沃	ʔo	ʔ	o	7	都	o7
893	恶	ʔo	ʔ	o	7	~毒	o7
894	包	pɔ	p	ɔ	1		poa1
895	帮	pɔ	p	ɔ	1		poa1
896	饱	pɔ	p	ɔ	3		poa3
897	榜	pɔ	p	ɔ	3		poa3
898	谤	pɔ	p	ɔ	5		poa5
899	抛	pʰɔ	pʰ	ɔ	1		pʻoa1
900	鶻	pʰɔ	pʰ	ɔ	3		pʻoa3
901	旁	bɔ	b	ɔ	2		boa2
902	棒	bɔ	b	ɔ	4		boa4
903	忙	mɔ	m	ɔ	2		moa2
904	茅	mɔ	m	ɔ	2		moa2
905	锚	mɔ	m	ɔ	2		moa2
906	网	mɔ	m	ɔ	4		moa4
907	望	mɔ	m	ɔ	6		moa6
908	貌	mɔ	m	ɔ	6		moa6
909	方	fɔ	f	ɔ	1		foa1
910	访	fɔ	f	ɔ	3		foa3
911	放	fɔ	f	ɔ	5		foa5
912	亡	vɔ	v	ɔ	2		voa2
913	忘	vɔ	v	ɔ	2		voa2
914	房	vɔ	v	ɔ	2		voa2
915	防	vɔ	v	ɔ	2		voa2
916	妄	vɔ	v	ɔ	4		voa4
917	望	vɔ	v	ɔ	6		voa6
918	当	tɔ	t	ɔ	1		toa1
919	党	tɔ	t	ɔ	3		toa3
920	当	tɔ	t	ɔ	5	停~	toa5
921	挡	tɔ	t	ɔ	5		toa5
922	堂	dɔ	d	ɔ	2		doa2
923	宕	dɔ	d	ɔ	4		doa4
924	荡	dɔ	d	ɔ	6	浪~	doa6
925	闹	nɔ	n	ɔ	6		noa6
926	郎	lɔ	l	ɔ	2		loa2
927	廊	lɔ	l	ɔ	2		loa2
928	狼	lɔ	l	ɔ	2		loa2
929	浪	lɔ	l	ɔ	6		loa6
930	葬	tsɔ	ts	ɔ	5		tsoa5
931	仓	tsʰɔ	tsʰ	ɔ	1		tsʻoa1
932	抄	tsʰɔ	tsʰ	ɔ	1		tsʻoa1
933	剿	tsʰɔ	tsʰ	ɔ	1		tsʻoa1
934	吵	tsʰɔ	tsʰ	ɔ	3		tsʻoa3
935	创	tsʰɔ	tsʰ	ɔ	5		tsʻoa5
936	桑	sɔ	s	ɔ	1		soa1
937	丧	sɔ	s	ɔ	1	~葬	soa1
938	藏	zɔ	z	ɔ	2	动词	zoa2
939	妆	tɕɔ	tɕ	ɔ	1		choa1
940	供	tɕɔ	tɕ	ɔ	1	口~、~给	choa1
941	种	tɕɔ	tɕ	ɔ	3	名词	choa3
942	肿	tɕɔ	tɕ	ɔ	3		choa3
943	冢	tɕɔ	tɕ	ɔ	3		choa3
944	壮	tɕɔ	tɕ	ɔ	5		choa5
945	种	tɕɔ	tɕ	ɔ	5	动词	choa5
946	窗	tɕʰɔ	tɕʰ	ɔ	1		chʻoa1
947	疮	tɕʰɔ	tɕʰ	ɔ	1		chʻoa1
948	恐	tɕʰɔ	tɕʰ	ɔ	3		chʻoa3
949	揰	tɕʰɔ	tɕʰ	ɔ	5	水流冲击、用水冲洗	chʻoa5
950	重	dʑɔ	dʑ	ɔ	2	~生	djoa2
951	狂	dʑɔ	dʑ	ɔ	2		djoa2
952	撞	dʑɔ	dʑ	ɔ	2		djoa2
953	重	dʑɔ	dʑ	ɔ	4	贵~	djoa4
954	共	dʑɔ	dʑ	ɔ	6	~样: 一样	djoa6
955	双	ɕɔ	ɕ	ɔ	1		shoa1
956	凶	ɕɔ	ɕ	ɔ	1		shoa1
957	怂	ɕɔ	ɕ	ɔ	3		shoa3
958	况	ɕɔ	ɕ	ɔ	5		shoa5
959	床	ʑɔ	ʑ	ɔ	2		joa2
960	讼	ʑɔ	ʑ	ɔ	6		joa6
961	光	kɔ	k	ɔ	1		koa1
962	交	kɔ	k	ɔ	1		koa1
963	胶	kɔ	k	ɔ	1		koa1
964	缸	kɔ	k	ɔ	1		koa1
965	疆	kɔ	k	ɔ	1		koa1
966	港	kɔ	k	ɔ	3		koa3
967	讲	kɔ	k	ɔ	3		koa3
968	搅	kɔ	k	ɔ	3		koa3
969	降	kɔ	k	ɔ	5		koa5
970	酵	kɔ	k	ɔ	5		koa5
971	教	kɔ	k	ɔ	5		koa5
972	敲	kʰɔ	kʰ	ɔ	1		kʻoa1
973	糠	kʰɔ	kʰ	ɔ	1		kʻoa1
974	巧	kʰɔ	kʰ	ɔ	3		kʻoa3
975	伉	kʰɔ	kʰ	ɔ	5	和;跟	kʻoa5
976	囥	kʰɔ	kʰ	ɔ	5	放置;收藏	kʻoa5
977	旷	kʰɔ	kʰ	ɔ	5		kʻoa5
978	爻	gɔ	g	ɔ	2	助词，了	goa2
979	咬	ŋɔ	ŋ	ɔ	4		ngoa4
980	荒	hɔ	h	ɔ	1		hoa1
981	慌	hɔ	h	ɔ	1		hoa1
982	谎	hɔ	h	ɔ	3		hoa3
983	孝	hɔ	h	ɔ	5		hoa5
984	行	ɦɔ	ɦ	ɔ	2	同~	ʻoa2
985	皇	ɦɔ	ɦ	ɔ	2		ʻoa2
986	黄	ɦɔ	ɦ	ɔ	2		ʻoa2
987	磺	ɦɔ	ɦ	ɔ	2		ʻoa2
988	蝗	ɦɔ	ɦ	ɔ	2		ʻoa2
989	巷	ɦɔ	ɦ	ɔ	6		ʻoa6
990	旺	ɦɔ	ɦ	ɔ	6		ʻoa6
991	壅	ʔjɔ	ʔj	ɔ	5	~田	ioa5
992	王	ɦjɔ	ɦj	ɔ	2		yoa2
993	往	ɦjɔ	ɦj	ɔ	4		yoa4
994	涌	ɦjɔ	ɦj	ɔ	4		yoa4
995	用	ɦjɔ	ɦj	ɔ	6		yoa6
996	拗	ʔɔ	ʔ	ɔ	3	~断	oa3
997	边	pie	p	ie	1		pie1
998	鞭	pie	p	ie	1		pie1
999	遍	pie	p	ie	5		pie5
1000	变	pie	p	ie	5		pie5
1001	逼	pie	p	ie	7		pie7
1002	毕	pie	p	ie	7		pie7
1003	壁	pie	p	ie	7		pie7
1004	必	pie	p	ie	7		pie7
1005	篇	pʰie	pʰ	ie	1		pʻie1
1006	骗	pʰie	pʰ	ie	5		pʻie5
1007	躄	pʰie	pʰ	ie	7	跛脚	pʻie7
1008	匹	pʰie	pʰ	ie	7		pʻie7
1009	辩	bie	b	ie	4		bie4
1010	辨	bie	b	ie	4		bie4
1011	便	bie	b	ie	6	不~	bie6
1012	别	bie	b	ie	8	分~;	bie8
1013	棉	mie	m	ie	2		mie2
1014	绵	mie	m	ie	2		mie2
1015	免	mie	m	ie	4		mie4
1016	勉	mie	m	ie	4		mie4
1017	面	mie	m	ie	6	四~; ~粉	mie6
1018	蜜	mie	m	ie	8		mie8
1019	灭	mie	m	ie	8		mie8
1020	癲	tie	t	ie	1		tie1
1021	点	tie	t	ie	3		tie3
1022	店	tie	t	ie	5		tie5
1023	跌	tie	t	ie	7		tie7
1024	天	tʰie	tʰ	ie	1		tʻie1
1025	添	tʰie	tʰ	ie	1		tʻie1
1026	舔	tʰie	tʰ	ie	3		tʻie3
1027	贴	tʰie	tʰ	ie	7		tʻie7
1028	铁	tʰie	tʰ	ie	7		tʻie7
1029	帖	tʰie	tʰ	ie	7		tʻie7
1030	田	die	d	ie	2		die2
1031	钱	die	d	ie	2		die2
1032	殿	die	d	ie	6		die6
1033	电	die	d	ie	6		die6
1034	垫	die	d	ie	6		die6
1035	敌	die	d	ie	8		die8
1036	厘	lie	l	ie	2	~儿:一点点	lie2
1037	连	lie	l	ie	2		lie2
1038	凉	lie	l	ie	2		lie2
1039	粮	lie	l	ie	2		lie2
1040	良	lie	l	ie	2		lie2
1041	帘	lie	l	ie	2		lie2
1042	量	lie	l	ie	2	~商	lie2
1043	梁	lie	l	ie	2		lie2
1044	怜	lie	l	ie	2		lie2
1045	链	lie	l	ie	2		lie2
1046	莲	lie	l	ie	2		lie2
1047	两	lie	l	ie	4	一~银	lie4
1048	链	lie	l	ie	6		lie6
1049	亮	lie	l	ie	6		lie6
1050	量	lie	l	ie	6	限~	lie6
1051	立	lie	l	ie	8		lie8
1052	律	lie	l	ie	8		lie8
1053	烈	lie	l	ie	8		lie8
1054	裂	lie	l	ie	8		lie8
1055	将	tsie	ts	ie	1	~来	tsie1
1056	张	tsie	ts	ie	1		tsie1
1057	章	tsie	ts	ie	1		tsie1
1058	尖	tsie	ts	ie	1		tsie1
1059	剪	tsie	ts	ie	3		tsie3
1060	长	tsie	ts	ie	3	~老	tsie3
1061	掌	tsie	ts	ie	3		tsie3
1062	将	tsie	ts	ie	5	~领	tsie5
1063	账	tsie	ts	ie	5		tsie5
1064	帐	tsie	ts	ie	5		tsie5
1065	仗	tsie	ts	ie	5		tsie5
1066	胀	tsie	ts	ie	5		tsie5
1067	接	tsie	ts	ie	7		tsie7
1068	节	tsie	ts	ie	7		tsie7
1069	折	tsie	ts	ie	7	~叠	tsie7
1070	职	tsie	ts	ie	7		tsie7
1071	积	tsie	ts	ie	7		tsie7
1072	千	tsʰie	tsʰ	ie	1		tsʻie1
1073	签	tsʰie	tsʰ	ie	1		tsʻie1
1074	枪	tsʰie	tsʰ	ie	1		tsʻie1
1075	抢	tsʰie	tsʰ	ie	3		tsʻie3
1076	浅	tsʰie	tsʰ	ie	3		tsʻie3
1077	唱	tsʰie	tsʰ	ie	5		tsʻie5
1078	窃	tsʰie	tsʰ	ie	7		tsʻie7
1079	切	tsʰie	tsʰ	ie	7		tsʻie7
1080	长	dzie	dz	ie	2	~久	dzie2
1081	场	dzie	dz	ie	2		dzie2
1082	肠	dzie	dz	ie	2		dzie2
1083	常	dzie	dz	ie	2		dzie2
1084	丈	dzie	dz	ie	4		dzie4
1085	像	dzie	dz	ie	4	相~	dzie4
1086	先	sie	s	ie	1		sie1
1087	相	sie	s	ie	1	~伴	sie1
1088	商	sie	s	ie	1		sie1
1089	伤	sie	s	ie	1		sie1
1090	厢	sie	s	ie	1	边~:旁边，附近	sie1
1091	想	sie	s	ie	3		sie3
1092	相	sie	s	ie	5	~貌	sie5
1093	前	zie	z	ie	2		zie2
1094	墙	zie	z	ie	2		zie2
1095	尝	zie	z	ie	2		zie2
1096	裳	zie	z	ie	2		zie2
1097	然	zie	z	ie	2		zie2
1098	像	zie	z	ie	4	形~	zie4
1099	善	zie	z	ie	4		zie4
1100	上	zie	z	ie	6	~帝	zie6
1101	贱	zie	z	ie	6		zie6
1102	舌	zie	z	ie	8		zie8
1103	肩	tɕie	tɕ	ie	1		chie1
1104	坚	tɕie	tɕ	ie	1		chie1
1105	见	tɕie	tɕ	ie	5		chie5
1106	结	tɕie	tɕ	ie	7		chie7
1107	洁	tɕie	tɕ	ie	7		chie7
1108	牵	tɕʰie	tɕʰ	ie	1		chʻie1
1109	谦	tɕʰie	tɕʰ	ie	1		chʻie1
1110	欠	tɕʰie	tɕʰ	ie	5		chʻie5
1111	挈	tɕʰie	tɕʰ	ie	7		chʻie7
1112	强	dʑie	dʑ	ie	2		djie2
1113	件	dʑie	dʑ	ie	4		djie4
1114	犟	dʑie	dʑ	ie	4		djie4
1115	健	dʑie	dʑ	ie	6		djie6
1116	年	ȵie	ȵ	ie	2		nyie2
1117	言	ȵie	ȵ	ie	2		nyie2
1118	泥	ȵie	ȵ	ie	2		nyie2
1119	严	ȵie	ȵ	ie	2		nyie2
1120	娘	ȵie	ȵ	ie	2		nyie2
1121	仰	ȵie	ȵ	ie	4		nyie4
1122	廿	ȵie	ȵ	ie	6		nyie6
1123	念	ȵie	ȵ	ie	6		nyie6
1124	让	ȵie	ȵ	ie	6		nyie6
1125	业	ȵie	ȵ	ie	8		nyie8
1126	热	ȵie	ȵ	ie	8		nyie8
1127	聂	ȵie	ȵ	ie	8		nyie8
1128	香	ɕie	ɕ	ie	1		shie1
1129	乡	ɕie	ɕ	ie	1		shie1
1130	响	ɕie	ɕ	ie	3		shie3
1131	显	ɕie	ɕ	ie	3	程度副词，后置于形容词，表程度加强:好~	shie3
1132	献	ɕie	ɕ	ie	5		shie5
1133	向	ɕie	ɕ	ie	5		shie5
1134	歇	ɕie	ɕ	ie	7		shie7
1135	蝎	ɕie	ɕ	ie	7		shie7
1136	羊	ɦjie	ɦj	ie	2		yie2
1137	炎	ɦjie	ɦj	ie	2		yie2
1138	盐	ɦjie	ɦj	ie	2	名词	yie2
1139	筵	ɦjie	ɦj	ie	2		yie2
1140	扬	ɦjie	ɦj	ie	2		yie2
1141	现	ɦjie	ɦj	ie	6		yie6
1142	焰	ɦjie	ɦj	ie	6		yie6
1143	盐	ɦjie	ɦj	ie	6	动词, 腌	yie6
1144	样	ɦjie	ɦj	ie	6		yie6
1145	谣	ɦjie	ɦj	ie	6	名声~开	yie6
1146	叶	ɦjie	ɦj	ie	8		yie8
1147	央	ʔie	ʔ	ie	1		ie1
1148	殃	ʔie	ʔ	ie	1		ie1
1149	焉	ʔie	ʔ	ie	1		ie1
1150	烟	ʔie	ʔ	ie	1		ie1
1151	养	ʔie	ʔ	ie	3	牧~	ie3
1152	漂	pʰiɛ	pʰ	iɛ	1	~动	pʻiæ1
1153	漂	pʰiɛ	pʰ	iɛ	3	~布、~白	pʻiæ3
1154	票	pʰiɛ	pʰ	iɛ	5		pʻiæ5
1155	嫖	biɛ	b	iɛ	2		biæ2
1156	庙	miɛ	m	iɛ	6		miæ6
1157	妙	miɛ	m	iɛ	6		miæ6
1158	雕	tiɛ	t	iɛ	1	~刻	tiæ1
1159	鸟	tiɛ	t	iɛ	3		tiæ3
1160	钓	tiɛ	t	iɛ	5		tiæ5
1161	吊	tiɛ	t	iɛ	5		tiæ5
1162	挑	tʰiɛ	tʰ	iɛ	1	~唆	tʻiæ1
1163	挑	tʰiɛ	tʰ	iɛ	3	~选	tʻiæ3
1164	跳	tʰiɛ	tʰ	iɛ	5		tʻiæ5
1165	条	diɛ	d	iɛ	2		diæ2
1166	调	diɛ	d	iɛ	6	~换	diæ6
1167	料	liɛ	l	iɛ	6		liæ6
1168	略	liɛ	l	iɛ	8		liæ8
1169	了	ʔliɛ	ʔl	iɛ	3	~滞:干净	l̆iæ3
1170	骄	tɕiɛ	tɕ	iɛ	1		chiæ1
1171	朝	tɕiɛ	tɕ	iɛ	1	~阳	chiæ1
1172	叫	tɕiɛ	tɕ	iɛ	5		chiæ5
1173	照	tɕiɛ	tɕ	iɛ	5		chiæ5
1174	朝	dʑiɛ	dʑ	iɛ	2	~别人讲	djiæ2
1175	潮	dʑiɛ	dʑ	iɛ	2		djiæ2
1176	嘲	dʑiɛ	dʑ	iɛ	2		djiæ2
1177	召	dʑiɛ	dʑ	iɛ	6		djiæ6
1178	烧	ɕiɛ	ɕ	iɛ	1		shiæ1
1179	箫	ɕiɛ	ɕ	iɛ	1		shiæ1
1180	小	ɕiɛ	ɕ	iɛ	3		shiæ3
1181	少	ɕiɛ	ɕ	iɛ	3		shiæ3
1182	笑	ɕiɛ	ɕ	iɛ	5		shiæ5
1183	窑	ɦjiɛ	ɦj	iɛ	2		yiæ2
1184	摇	ɦjiɛ	ɦj	iɛ	2		yiæ2
1185	扰	ɦjiɛ	ɦj	iɛ	4		yiæ4
1186	腰	ʔiɛ	ʔ	iɛ	1		iæ1
1187	舀	ʔiɛ	ʔ	iɛ	3		iæ3
1188	要	iɛ	ʔ	iɛ	5	~紧	iæ5
1189	丢	tiu	t	iu	1		tiu1
1190	头	diu	d	iu	2		diu2
1191	豆	diu	d	iu	6		diu6
1192	留	liu	l	iu	2		liu2
1193	流	liu	l	iu	2		liu2
1194	硫	liu	l	iu	2		liu2
1195	周	tsiu	ts	iu	1		tsiu1
1196	舟	tsiu	ts	iu	1		tsiu1
1197	酒	tsiu	ts	iu	3		tsiu3
1198	昼	tsiu	ts	iu	5		tsiu5
1199	咒	tsiu	ts	iu	5		tsiu5
1200	抽	tsʰiu	tsʰ	iu	1		tsʻiu1
1201	臭	tsʰiu	tsʰ	iu	3		tsʻiu3
1202	仇	dziu	dz	iu	2	~敌	dziu2
1203	收	siu	s	iu	1		siu1
1204	羞	siu	s	iu	1		siu1
1205	手	siu	s	iu	3		siu3
1206	守	siu	s	iu	3		siu3
1207	首	siu	s	iu	3		siu3
1208	锈	siu	s	iu	5		siu5
1209	兽	siu	s	iu	5		siu5
1210	泅	ziu	z	iu	2		ziu2
1211	柔	ziu	z	iu	2		ziu2
1212	受	ziu	z	iu	4		ziu4
1213	就	ziu	z	iu	6	~是讲	ziu6
1214	就	ziu	z	iu	8	~把渠大家医好	ziu8
1215	育	ʔiu	ʔ	iu	7		iu7
1216	捐	tɕye	tɕ	ye	1		chüe1
1217	专	tɕye	tɕ	ye	1		chüe1
1218	转	tɕye	tɕ	ye	3	上~:上面;走~:走回来	chüe3
1219	眷	tɕye	tɕ	ye	5		chüe5
1220	决	tɕye	tɕ	ye	7		chüe7
1221	圈	tɕʰye	tɕʰ	ye	1		chʻüe1
1222	劝	tɕʰye	tɕʰ	ye	5		chʻüe5
1223	出	tɕʰye	tɕʰ	ye	7		chʻüe7
1224	缺	tɕʰye	tɕʰ	ye	7		chʻüe7
1225	屈	tɕʰye	tɕʰ	ye	7		chʻüe7
1226	拳	dʑye	dʑ	ye	2		djüe2
1227	传	dʑye	dʑ	ye	2	~道	djüe2
