#ɿ
ts[1]支资之知[3]紫子纸指止子[5]制志痣智置
m [8]密蜜觅
v [8]疫役域
tʰ [8]籴迪笛
l [8]立力笠
tsʰ [8]疾
s [8]习袭席籍
kʰ [8]及极
ŋ [8]日入

#ia
p[3]壁
pʰ[3]劈
t[1]爹[3]贴
tʰ[3]帖
l[1]猎
ts[3]接脊[5]借祭-{～地}
tsʰ[2]斜[6]谢-{姓}
s[2]邪[3]写涮锡[5]泻[6]谢
ʃ[3]解{姓}
k[3]夹颊

#iaˀ
v[8]□{~雷阴刀：闪电}
tʰ [8]碟
tsʰ [8]蓆
kʰ[8]屐
ŋ[8]孽额-

#ie
pʰ[3]撇
t[3]跌
tʰ[3]铁
ts[3]节疖
tsʰ[3]切妾
tʃ[3]执汁折织职
tʃʰ[3]出
ʃ[1]舐[3]歇失拭湿式
k[3]结
kʰ[1]□{玩}
∅[3]益一

#ieˀ
pʰ [8]别
l[8]裂列烈
tʃ [8]直澈植
tʃʰ [8]侄秩直值
ʃ [8]十什拾舌实食涉胁协侠
kʰ [8]杰揭竭
ŋ[8]热业
∅ [8]翼叶亦

#iɔ
p[1]标彪[3]表錶婊
pʰ[1]飘[2]瓢[5]票漂脬
m[2]苗描[3]猫渺[6]庙妙
t[1]刁碉雕[3]鸟[5]吊钓
tʰ[1]挑眺[2]条调{~查}[3]跳粜[6]调{音~}
l[2]僚辽瞭[3]了[6]料寮
ts[1]焦蕉礁椒[5]蘸{打～}
tsʰ[2]樵柴锹
s[1]消硝萧[3]小晓[5]笑
tʃ[1]招朝{天光～}[5]照
tʃʰ[1]烧[2]韶[3]少晓[6]邵召
kʰ[1]骄[2]桥[3]巧考[6]桥轿
ŋ[3]鸟=[6]尿
∅[1]腰妖邀[2]摇窑遥[3]舀[5]要

#io
ts[3]雀
tʃ[1]遮[3]桌着灼摘捉[5]蔗
tʃʰ[1]车[3]尺赤芍
ʃ[1]靴赊社[2]蛇[3]削[6]射
k[3]脚镢
kʰ[2]茄
∅[3]野若约[6]夜

#ioˀ
pʰ[8]缚
l[8]略掠
ts [8]嚼
tʃʰ [8]着{~火}啄浊
ʃ [8]石勺
∅ [8]药

#iɤ
l[2]流刘留榴[3]柳
ts[1]叫啾[3]酒
tsʰ[1]秋揪鳅[6]就
s[1]修[2]囚泅[5]秀锈绣袖
tʃ[1]周洲[5]昼宙
tʃʰ[1]抽醜[2]绸稠筹[3]醜[5]臭
ʃ[1]收休[3]手守首
k[3]久九[5]救究
kʰ[2]求球俅[6]旧
ŋ[3]纽
∅[2]由油猶猷游遊[3]有友酋[5]幼柚

#iɤˀ
l [8]六绿陆
ŋ [8]肉玉狱

#iã
p[3]饼[5]柄□{藏}
pʰ[2]平坪-[6]病
m[2]名明-{清~}[6]命-{生~}
f[1]兄-
t[5]店
tʰ[1]听添[2]甜
l[3]岭领□{雨～：雨停}
ts[1]精-[3]井
tsʰ[1]青-清-签{抽~}[2]晴[3]请
s[3]醒[5]姓
tʃʰ[6]郑
ʃ[1]声-[2]城嫌[3]闪
k[1]惊-{~蛰}[3]检拣[5]镜
kʰ[1]轻[2]钳
ŋ[2]酽[5]䀴{看}[6]染
∅[2]营赢

#iɔ̃
p[1]坊-板-
m[3]网[6]望-{~子成龙}
l[2]良量凉[3]两俩辆[6]量
ts[1]浆将[3]浆
tsʰ[1]枪[2]墙[3]抢[6]匠
s[1]相箱[3]想[5]相[6]象像
tʃ[1]章张[3]长{队～}涨掌[5]帐胀
tʃʰ[1]昌[2]长肠[3]厂[5]畅唱倡[6]丈杖撞
ʃ[1]伤香乡[2]常裳尝[3]赏饷[5]向[6]上
k[1]薑姜
kʰ[1]筐腔[2]强[3]强{勉~}
ŋ[2]娘釀{酒~}
∅[1]痒央秧[2]扬杨疡羊洋[3]养㼜影[6]样

#ĩ
p[1]边鞭[3]贬扁匾[5]变
pʰ[1]编[5]骗片[3]便
m[2]棉绵[3]面麺砚
f[2]船悬
v[1]嵬[2]员圆沿铅缘园丸完[3]远[5]怨[6]院县
t[3]点典碘
tʰ[1]天[2]田填滇[6]电佃
l[2]镰簾廉连莲联[6]恋
ts[1]尖煎櫼[5]箭荐
tsʰ[1]千签[2]钱泉前[3]浅[5]渐践溅
ʃ[1]仙先[2]玄舷[3]险显[5]线献宪[6]现
k[1]兼肩[3]茧[5]剑建见
kʰ[1]谦牵[3]遣谴[5]欠[6]俭件健
ŋ[2]严言[5]蔫[6]验念
∅[1]淹阉烟燕{~京}[2]炎盐簷延然燃[5]厌燕

#ioŋ
p[5]放
l[2]龙隆
ts[1]□{~嘴：吻}
tsʰ[2]从松-{~树}
s[1]松=[6]诵讼颂
tʃ[1]中钟终盅舂[3]种{~子}[5]中{射～}众种{~树}
tʃʰ[1]冲充[2]重{~复}虫[5]铳
ʃ[1]胸凶兄=[2]雄熊
k[1]弓宫供
kʰ[1]穷[6]共
ŋ[2]浓
∅[2]容绒溶融[3]勇湧[6]用

#iɤŋ
tʃ[1]针珍真征蒸贞[2]枕振整展[5]镇正证
tʃʰ[1]春称[2]沉陈尘澄橙程[5]趁称秤衬[6]阵
ʃ[1]深身申伸升声=牲[2]神成诚形城=[3]婶沈[5]胜圣兴[6]贤剩盛
∅[1]音阴英晕鹰应莺婴缨[2]蝇莹迎[3]饮引隐[5]印应[6]任孕

#u
p[1]妇-{~娘畲}□{蹲}[3]补斧腹[5]布佈
pʰ[1]铺孵[2]莆蒲菩匏[3]普脯卜[5]铺埔[6]步部
m[2]摸巫诬[3]母=[6]墓
f[1]夫妇=麸傅[2]胡湖糊扶=符[3]虎福腹复幅覆[5]富戽副付[6]护互腐
v[1]乌[2]无[3]武舞[5]雾
t[1]都[3]肚赌
tʰ[2]塗[3]吐[6]度渡杜
l[2]奴炉鲈卢[3]鲁橹滷[6]怒路露
ts[1]租[3]祖[5]做
tsʰ[1]粗初[2]锄=[5]厝醋[6]助
s[1]苏酥疏蔬[3]所速缩[5]素嗽数
k[1]姑孤菰[3]鼓谷古[5]故过顾雇
kʰ[1]枯箍[3]哭苦酷[5]库裤
n[2]吾吴梧[6]误

#uˀ
m [8]木目幕
f [8]获服伏
tʰ [8]独读毒
l [8]鹿漉{～伤：烫伤}
tsʰ [8]族

#ua
tʰ[1]梯胎-[3]腿脱[6]袋隶
l[2]雷擂[6]累
ts[1]抓[3]□{吮吸}
tsʰ[5]菜
s[3]刷
k[1]瓜乖[3]拐改葛割刮[5]盖怪卦掛
kʰ[1]开[3]渴阔
ŋ[6]外
h[3]海喝[6]害亥
∅[1]哀[3]瓦雅辖[5]爱

#uaˀ
tʰ [8]夺

#uɛ
t[1]堆[5]对队
tʰ[1]推[5]退
l[2]蕊蕾[6]内类
ts[1]追栽[3]卒[5]最赘
tsʰ[6]罪
s[1]衰𤸬[2]隋陏[3]薛屑说雪[5]碎
k[3]决厥[5]绘
kʰ[3]缺阙[5]块愧
ŋ[2]危[6]魏

#uɛˀ
tsʰ [8]捷截绝
kʰ [8]掘
ŋ [8]月

#ui
k[1]龟鲑硅归规[3]鬼轨[5]桂季贵
kʰ[1]亏[3]屈曲[6]跪柜

#uɤ
k[3]骨国
kʰ[3]窟

#uã
t[3]短
tʰ[1]断[2]团[3]段缎锻
l[3]暖卵煖[6]乱
ts[1]钻[3]盏
s[1]酸闩[5]祘蒜
k[1]官关肝竿杆[3]管稈[5]贯惯
kʰ[1]宽
ŋ[2]顽
h[1]旱[2]寒[5]汉[6]汗
∅[1]安鞍[5]案按

#uɛ̃
t[1]墩[5]顿钝
tʰ[2]豚[5]褪
l[2]轮沦[3]论嫩
tsʰ[1]村[5]寸
s[1]孙[3]损省
k[3]滚
kʰ[1]昆坤崐[5]困睏捆

#uĩ
k[1]捐[3]捲[5]卷绢
kʰ[2]拳权[3]犬[5]劝
ŋ[2]元原源[3]软阮[6]願

#uɤŋ
k[1]军君均
kʰ[1]倾菌[5]群裙琼

#y
l[2]驴[3]吕旅
ts[1]足
tsʰ[2]徐[3]取束
s[1]虽须[3]宿栗黍
tʃ[1]猪诸朱珠[3]煮主竹粥烛[5]贮注蛀驻
tʃʰ[1]苎[2]除厨捶超锤[3]畜[5]处[6]箸柱住
ʃ[1]书舒虚输[2]薯[3]署鼠许[6]树
k[1]居车[3]举[5]距剧涺据
kʰ[1]区[2]渠
ŋ[3]女={~子畲}语[6]遇
∅[3]与雨屿乳[6]芋愈裕

#yˀ
s [8]俗蜀
tʃʰ [8]逐
ʃ [8]熟
∅ [8]褥欲浴

#yĩ
s[1]鲜{新~}[2]旋[3]选鲜{朝~}
tʃ[1]专砖[3]转[5]占佔战颤
tʃʰ[1]川穿[3]传全[5]串[6]传
ʃ[2]蝉禅[5]扇搧[6]善鳝膳擅
