来源：	郭禹含 2016《陕北清涧解家沟镇方言语音研究》；灰原哀 Skanda 整理录入
pʰ	［2］平-坪-便｛～宜｝［3］片-扁｛～担｝偏｛～僻｝［5］骗
m	［2］明-名-眠棉｛～花｝绵［3］免勉［5］命-面
t	［1］掂颠｛～倒｝癫丁-叮-盯-钉-｛名词：～子｝低=［3］抵=典［5］帝=第=佃｛～农｝店奠电殿垫｛鞋～｝淀钉-｛动词：～钉子｝定-订地=弟=
tʰ	［1］天添｛～人口｝厅廷亭庭梯=听-贴［2］提=啼题=田甜-蹄=［3］体舔铁［5］剃=听｛打麻将～了｝屉=替=剔=
l	［1］狸｛毛圪～：松鼠｝［2］犁｛～地｝璃黎厘离廉帘镰｛～刀｝零-铃-连怜林-淋-邻-｛～雨｝［3］李里理礼鲤敛脸［5］利莉痢｛～疾｝厉｛～害：指人凶悍，又指有能力｝励丽练炼链
k	［1］竿-甘-肝-干-｛形容水分蒸发了，晾～了｝泔-｛～水：洗米洗菜后的水，一般喂牲口｝［3］杆-｛擀～面｝敢秆感赶［5］干｛动词，～活｝
kʰ	［3］坎-｛沟～｝砍-［5］看-
tɕ	［1］惊-阶楷耕｛～地｝犍｛～牛｝尖-基饥奸-间煎｛～饼：清涧特有的一种小吃，荞麦摊成的薄饼里会卷着豆腐干、凉菜等｝监-肩-坚-艰-阶［3］□｛～半：低矮的崖｝减剪拣俭检简碱解=｛～释｝［5］净-尽-近-见-建-健-毽-渐贱箭剑涧｛清～｝荐键溅-舰鉴介-戒械借-｛襦～子：婴儿尿布｝
tɕʰ	［1］青-清-轻-千牵迁谦签｛～子：织毛衣用的细木棒｝鹐｛啄，～架(鸟互啄)、～人(鸟啄人)｝纤锹｛铁～：无锋的铲，用来铲土、煤等细碎物品｝箕［2］前虔乾禽-钳｛～子｝潜钱茄=［3］浅遣且［5］欠芡｛～粉｝歉嵌遣凊-｛～住：液态物体冷却后凝固｝妾笡窃
ɕ	［1］星-｛～宿｝腥-仙新-先锨｛铁～：掘土或铲东西用的农具｝些写［2］弦学-咸=｛～丰、～阳｝嫌［3］醒-癣｛牛皮～｝鲜显写禧｛慈～｝［5］性-现羡线谢泄县｛～官｝鼾-｛打～水｝宪汉-｛老～｝献泻
ȵ	［2］呢｛一种厚布料｝尼泥倪拈｛用两三个手指头夹捏取碎物｝［3］你捻碾｛～子：轧碎谷物或去掉谷物皮的石制工具，由碾磙子和碾盘组成｝撵｛～走｝［5］念泥｛动词：～墙｝
Ø	［1］烟腌=约［2］延｛～安｝言｛～传｝沿研严岩盐爷=赢-［3］演影-［5］咽｛～气｝
#u	
p	［1］玻菠播波［3］□｛～土：扬起灰尘｝跛｛～子｝簸捕哺逋补［5］半-伴-拌-绊-步=抱-菢｛～鸡娃｝畚｛～箕｝布畔-｛河～、脑～｝怖
pʰ	［1］坡铺｛动词：～床｝脯饽｛面～｝［2］盘-｛算～｝婆菩葡蒲仆［3］堡-｛吴～｝甫浦普谱［5］步-部迫｛压～｝破铺｛名词：当～｝［7］卜｛萝～｝
m	［2］毛-摹模｛～子｝摩磨｛动词：～刀；～面｝魔谋［3］某母=牡拇亩满［5］磨｛名词：石～｝末默募墓｛坟～｝幕慕暮［7］摸抹-陌｛～生｝莫寞
f	［1］夫麸麦｛～敷｝肤［2］跗脚｛～扶｝俘符［3］斧府俯釜腑辅腐附｛～近｝咐［5］妇父付负放-副傅富赋
v	［1］莴｛～笋｝污乌侮［2］吴无［3］母-｛丈～｝午伍武鹉［5］忘-戊｛～戌年｝悟务｛～农｝误雾［7］勿五
t	［1］都｛首～｝端-［3］堵赌肚｛～子,特指动物内脏，猪～｝短朵躲［5］杜肚｛人的腹部｝妒度渡｛～船｝镀椴｛～树｝缎-锻-断-剁舵｛船～｝惰堕段-
tʰ	［2］徒途屠涂图团荼［3］土吐妥椭［5］兔唾｛～一口｝
n	［3］暖-努=｛憋气用力｝［5］怒
l	［2］圝｛聚积、集中，也形容被某件难做的事困住，如这个事把我～定了｝［5］乱-
k	［1］孤姑辜咕｛拟声词｝箍冠锅-光-｛～特溜溜｝官棺关观［3］估古股鼓｛打～｝罟｛强迫｝蛊剐管-馆-果-裹-［5］固灌罐故雇｛～人｝锢顾冠贯掼｛～跤｝惯过
kʰ	［1］科-棵-颗-宽-枯款｛～～地：轻轻地、慢慢地｝［3］苦［5］课-库｛水～｝酷裤［1］蝠｛夜蝙～｝呼｛欢~｝
x	［2］狐胡壶湖蝴｛～蝶｝和-｛动词：～面｝糊｛面～｝还环［3］虎火-伙缓-荒-慌-［5］互户换-痪-护□｛～脑忪：头脑不清楚｝货-□｛稠且黏：稀饭～｝祸
Ø	［1］剜-｛拿刀子等挖，～肉｝豌-弯湾窝捼｛用力使弯曲｝［2］丸-｛～完｝［3］碗-埦拔［5］腕-｛手～｝卧
#y	
tɕ	［3］捐卷［5］眷｛家～｝绢圈｛猪～｝倔［7］嚼角橛｛屎～子｝憠｛脾气～｝䦆｛～头：大锄头｝
tɕʰ	［1］区圈-｛～～、～套｝［2］全泉权瘸=拳｛～头｝［3］犬［5］劝［7］缺｛～钱｝
ɕ	［1］宣兄-喧靴［3］选［5］旋｛一边，～吃～做｝
Ø	［1］冤｛～枉｝［2］阎｛～王｝元袁原-员援园圆-猿源｛水～｝缘辕［3］远-［5］怨院-愿
#ᴀ	
p	［1］八巴疤｛～子｝捌叭｛喇～｝［2］笆爸［3］㞎｛大便｝把｛量词：-～米｝［5］把｛名词：刀～：刀柄｝霸灞□｛抬起，～起屁股｝八｛～叉｝坝｛水～｝罢
pʰ	［2］拔爬趴｛马～｝耙｛～子：碎土平地的农具｝［5］怕
m	［1］妈［2］麻［3］马码｛～头｝蟆｛蛤～｝［5］骂［7］抹-｛擦拭物体表面，～桌子｝
f	［2］乏疲倦伐筏｛木～｝罚砝｛～码｝［7］发法
v	［7］袜
t	［2］达答搭｛一～：一块儿｝爹｛父亲｝［3］打褡瘩｛圪～｝［5］大［7］搭
tʰ	［1］他它她坍｛～下来｝［2］踏用力踢［3］塔［7］塌｛倒～｝溻｛～湿｝沓
n	［2］拿［5］捺［7］纳｛缝纫方法，在鞋底、袜底密密地缝，使其结实耐磨，～鞋垫｝
l	［1］垃拉｛～手｝邋｛～遢｝［3］喇｛～叭｝［7］辣腊｛～月｝蜡拉｛～话｝旯｛旮～：角落｝
ts	［1］渣｛～～｝蹅踩［2］砸杂［3］榨｛刀子剁，～肉｝［5］诈｛喝～｝咂｛语气词｝挓倒［7］扎睫｛眼～毛｝
tsʰ	［1］叉杈｛枝～｝插｛搽～｝药钗［2］茬｛麦～儿：割麦子后残留的根｝茶查楂察［3］擦｛滑：倒｝［5］岔｛～路｝差叉｛～开｝扠｛手～腰｝衩｛上衣两角开的口子｝［7］擦
s	［1］沙｛～子｝砂纱莎鲨裟痧｛刮～｝［3］洒傻索-｛利～｝［5］唼｛虫咬｝筛｛稀疏：布可～了｝厦□｛筛选、挑选｝［7］撒萨｛菩～｝杀刹
tʂ	［1］遮-指-｛手～头｝趾-｛脚～头｝［5］窄-［7］摘-｛～花、～菜｝
tʂʰ	［1］车-拆｛～房｝［3］扯-
ʂ	［1］赊｛～帐｝［2］蛇-［3］摄舍-｛不～｝［7］舌-虱-｛～子｝
k	［3］戛｛形容小孩子脾气倔，不听话。｝
kʰ	［3］卡［5］咔｛～～：形容咳嗽的声音｝
x	［2］哈｛点头～腰｝［5］下-
Ø	［1］阿［2］啊｛表示疑问，没听清对方讲话的回应。｝
#iᴀ	
p	［1］□｛粘贴｝［5］崩绷裂缝
pʰ	［3］蝙｛夜～蝠：蝙蝠｝劈
m	［2］棉-
l	［5］□｛孩子哭声的拟声词｝
tɕ	［1］加佳痂枷家傢｛～什｝嘉裌｛～衣：厚衣服｝［3］假贾｛姓氏｝［5］借-胛｛肩～｝假架｛～子｝嫁稼｛庄～｝价驾［7］夹｛～子｝甲
tɕʰ	［1］揢｛抱｝［2］茄-［3］卡-［5］拤｛～死｝［7］掐
ȵ	［2］牙芽［3］哑-｛～巴｝仰［5］砑｛用卵石或弧形的石块碾压，～棉花。｝轧｛～钢厂｝
ɕ	［2］虾斜-侠峡狭辖｛直～市｝霞［5］厦｛～门｝下=夏卸｛～货｝杏-
Ø	［1］丫［2］涯衙｛～门｝鸦爷［3］哑-野=｛～鸡｝［5］夜-亚-［7］押｛抵｝～鸭
#uᴀ	
ts	［2］咋｛“怎么”合音｝
tʂ	［1］抓鬢｛圪～：小辫｝［3］爪
tʂʰ	［3］□｛剥离，去掉：～皮，～衣服｝［5］欻｛象声词，形容速度快：水流的～～的｝
ʂ	［3］耍［7］刷
ʐ	［5］□｛吃东西塞满的样子：吃的圪～～的｝
k	［1］瓜适跑［3］剐［5］卦｛算～｝挂褂｛～子｝蜗｛～～牛｝［7］刮
kʰ	［1］夸［3］垮｛～台｝胯［5］跨｛～步｝挎｛～包包｝
x	［1］花［2］华｛中～｝猾｛狡～｝滑铧｛犁～：犁上用来破土的铁片｝划［5］华｛～山｝化画话划
Ø	［2］搲｛碰｝娲蛙｛青～｝娃鸹｛老～｝［3］瓦｛名词：～片｝［5］瓦｛动词：～砖｝洼｛～地；坡地｝［7］挖
#yᴀ	
tɕ	［2］□｛倔：～溜溜｝
ɕ	［2］旋｛毛发呈旋涡状的地方，双～｝
#ɛ	
p	［1］扳｛～手｝颁斑班｛上～｝般搬□｛～子：女阴｝斑□｛扁，～片片｝［3］板版［5］畔=办扮半=拌=绊=｛～倒｝伴=瓣
pʰ	［1］潘姓氏攀｛高～｝［2］盘=［5］判｛～刑｝盼叛
m	［2］瞒馒蛮｛～横｝［3］满-［5］漫慢
f	［1］帆番藩翻［2］凡烦樊繁矾［3］反返㽹｛～胃：胃不舒服，想吐｝［5］犯泛贩｛～卖｝饭范
v	［3］挽晚［5］万腕-
t	［1］耽｛～误｝单担｛～水｝踮-｛～起脚｝丹［3］疸｛黄～｝胆诞［5］担｛～子、一～水｝石｛量词｝旦淡但掭｛～毛笔｝
tʰ	［1］贪摊滩坍［2］弹痰谈坛｛～～｝谭｛姓氏｝潭檀｛～木｝［3］瘫｛～痪｝坦毯［5］炭探舑｛吐：～舌头｝叹碳
n	［2］男南难｛形容词：～受｝［5］难｛名词：逃～、有～｝
l	［2］蓝拦兰篮栏｛～杆｝［3］懒览揽｛～闲事｝缆［5］滥烂
ts	［1］簪｛～子｝崭｛新圪～～｝［3］攒斩［5］暂赞錾｛～洞｝站｛车～｝栈｛客～｝绽䋎｛缝｝盏［7］眨｛～眼｝
tsʰ	［1］参餐搀｛～上｝［2］残惭谗馋蚕［3］惨足产磨破产铲｛～子｝［5］灿绽｛～开：包捆的东西解开｝□｛卜～：底子浅的器皿｝□｛量词，次、遍｝
s	［1］三山衫｛布～｝［3］伞散｛形容词：松～｝［5］散｛动词：～会、解～｝
tʂ	［1］沾=粘瞻［3］展=搌｛～布｝［5］占=｛霸～｝战蘸｛～酱油｝
tʂʰ	［2］蝉缠=禅
ʂ	［1］搧｛～风｝删疝｛～气｝［3］陕闪｛打～｝［5］扇｛名词：～子｝骟善膳缮擅单｛姓氏｝
ʐ	［2］黏｛～起来｝然燃冉訥｛纠缠｝粘｛～住｝［3］染
k	［1］甘=肝=泔=干=｛～预、～净｝竿□｛烂～｝［3］杆=｛木～｝敢感=赶=秆=｛稻～儿｝［5］干=｛～活、～部｝赣
kʰ	［1］刊勘｛～探｝堪［3］坎=砍=［5］看
x	［1］憨｛～子：精神有问题的人｝［2］还含｛～住｝寒韩罕｛稀～｝咸-｛～菜｝闲［3］颔｛～水：口水｝荷｛带，拿｝喊［5］鼾=｛～水｝汗旱汉=焊｛电～｝翰憾槛｛门～｝馅
ŋ	［1］安庵｛尼姑～｝鞍｛马～子｝埯淹-［2］闇｛门闭～｝［5］揞｛～住：手覆｝岸按案暗
#iɛ	
p	［1］憋鳖｛老～｝［2］别=伯泊白=瞥｛～扭｝［7］百柏｛～树｝瘪=
pʰ	［1］篇箅｛甑～儿｝翩［2］白-｛～色、～吃｝［3］撇｛～开｝蝙=［5］片=｛面～儿｝［7］拍｛～手｝别-｛～在口袋｝撇
m	［7］脉｛捏～｝麦灭篾蔑
t	［2］牒碟谍［7］滴跌
tʰ	［3］铁［7］叠帖｛请～｝贴
l	［7］粒列烈裂掠略
tɕ	［1］奸｛～臣｝兼间监｛太～｝艰皆［2］杰节洁结觉｛感～｝［3］柬减拣俭检简碱解=［5］涧-｛清～｝鉴届界［7］接结角-｛～～｝揭｛～锅盖｝脚｛疖～子：皮肤病，似痱子而肿大疼痛｝
tɕʰ	［1］铅［2］劫［7］切却掐=
ɕ	［2］贤邪偕谐学=［5］限陷［7］薛姓氏穴｛～位｝血楔｛～子：填充器物的空隙使其牢固的木片｝歇蝎｛～子｝
ȵ	［2］颜=［3］眼［7］捏｛～紧｝聂镊
Ø	［3］魇［7］约噎｛～住｝虐药钥｛～匙｝业岳乐｛～器｝叶
#ɔ	
p	［1］包胞刨｛～地｝［3］保堡饱宝［5］抱豹｛～子｝暴鲍｛姓氏｝爆
pʰ	［1］抛剖脬｛尿～：膀胱｝［2］袍｛～子｝跑［5］泡砲炮｛～弹｝泡雹｛冰～｝
m	［2］猫毛=矛茅｛～房｝锚［3］卯峁｛山～｝铆［5］茂冒贸貌帽
t	［1］刀叨｛唠～｝［3］倒岛捣｛～蛋｝蹈祷倒｛～手｝导［5］倒到盗道稻
tʰ	［1］掏滔涛萄韬啕［2］逃｛～难｝桃陶｛～瓷｝淘洮｛～米｝［3］讨［5］套稻｛～黍：高粱｝
n	［2］挠脑｛～上｝孬｛～种｝［3］恼｛生气不理人｝脑｛～子｝垴｛～畔：低矮的崖顶｝［5］闹［7］□｛拿起：～起棍子｝
l	［2］捞牢劳唠痨［3］老佬｛老几，大～｝［5］骆姓氏烙｛～饼｝涝饹｛饸～｝
ts	［1］遭｛～殃｝糟［3］早枣澡找-｛～钱：退回多余的钱｝［5］焯｛～水：在开水里烫过｝蚤｛圪～｝皂灶｛～台｝笊｛～篱：用金属丝、柳条等编制成的漏水的灶具,有长柄，用来捞东西｝
tsʰ	［1］抄钞□｛用筷子夹取｝操｛做～、～场｝［2］曹槽｛猪～｝褿｛衣物等的污渍：石～｝［3］草吵炒駜麨｛～面｝［5］糙造燥躁脔操｛无理取闹，～人｝
s	［1］骚｛～情｝森｛～林｝捎稍［3］扫嫂［5］掃｛～把｝潲梢哨臊｛害～｝□｛苗条，～特溜溜｝
tʂ	［1］朝招｛～手｝召昭诏钊［3］找=［5］兆诏照赵罩肇｛～事｝
tʂʰ	［1］超［2］朝潮
ʂ	［1］烧韶［3］少｛多～、短斤～两｝［5］少｛老～、～爷｝邵绍
ʐ	［2］饶｛～命｝［3］扰绕［5］耀□｛～镜子｝
k	［1］高膏羔糕｛油～｝［3］搞稿｛～子｝［5］告诰
kʰ	［3］考拷烤［5］犒□｛馋｝铐｛手～｝靠
x	［2］毫豪壕｛～子：凹下去的条形地｝嚎｛大哭｝［3］好｛形容词：～不～｝［5］好｛动词：喜欢，～这一口｝耗浩皓孝-｛带～｝号蒿
ŋ	［1］凹［2］熝｛用文火久煮，洋芋～白菜｝熬［3］袄［5］傲奧澳懊燠｛～锅水：蒸馍剩下的水｝拗撬
Ø	［5］□｛答应的语气词｝
#iɔ	
p	［1］彪标膘｛长～｝［3］表婊［5］嫑｛“不要”的合音｝
pʰ	［1］飘［2］瓢｛马～｝嫖［3］瞟［5］漂票
m	［2］苗描［3］秒藐渺［5］妙庙
t	［1］叼｛刁挑食过分，嘴～｝貂雕凋碉［5］吊掉钓调｛曲～｝
tʰ	［2］调｛～货｝条笤｛～帚｝［3］挑｛～担：妻姐妹的丈夫｝［5］跳
l	［2］聊僚｛官～｝寥撩辽燎｛接近了火而烧焦(多用于毛发)｝疗□｛粗略地缝：～几针｝嘹［3］了缭｛轻忽～～｝［5］尥｛～蹶子：动物用后腿向后踢｝廖｛姓氏｝镣｛脚～｝料撂｛丢失,东西～了｝
tɕ	［1］交郊胶浇娇骄教焦｛烤～，也可作姓氏｝［3］狡绞侥铰｛～脑：剪头发｝矫缴搅［5］椒｛花～｝叫教窖较酵｛～子｝轿觉［7］饺
tɕʰ	［1］悄敲劁｛阉割，～猪｝蹻｛一～：一步｝［2］乔侨荞｛～面｝桥瞧［3］巧｛手～｝［5］俏峭撬｛以杠杆插入两物体咬合面使之分开，～锁｝翘窍鹊｛鸦～｝［7］雀｛打～｝
ɕ	［1］逍消宵霄销｛供～社｝萧姓氏箫枵｛悬空：脚～起来｝嚣［3］小晓［5］孝=｛～子｝校哮｛～喘病｝笑效
ȵ	［3］鸟□｛痒咬｝［5］尿
Ø	［1］吆妖腰邀要｛～求｝［2］淆｛混～｝姚窑｛西北黄上高原特有的就土山山崖挖成洞，供人居住，后普遍指房子｝摇遥谣［3］舀［5］要｛需～｝跃｛大～进｝
#ɤ	
p	［2］博｛赌～｝驳搏［7］□｛棵：一～树｝剥=｛～皮｝钵泊｛水～子｝膊拨泼｛活～｝
pʰ	［2］勃朴｛～素｝薄脖［7］泼
m	［7］没沫｛～子｝末殁
f	［2］沸｛～腾｝佛拂
l	［2］乐｛快～｝［5］摞｛把东西整齐地重叠往上放｝［7］洛-落-｛～后｝
ts	［2］责择泽作□｛～莔：--种调货，炝油味道很香｝［7］摘=｛～花｝窄｛宽～｝
tsʰ	［2］册厕侧锸铲策｛～略｝测｛～量｝
s	［2］色钐［7］涩｛部分未成熟水果的刺激性味道｝虱=｛～子｝
tʂ	［2］哲［3］褶［7］蜇｛～人｝折｛骨～｝浙摭｛拾取、摘取，打～｝
tʂʰ	［1］撤｛～退｝［3］彻［2］着｛碰～、～火｝
ʂ	［1］佘｛姓氏｝［2］勺｛马～｝［3］舍=｛～不得｝［5］舍=｛宿～｝赦｛～免｝社=
ʐ	［3］惹=［7］热若弱
k	［1］戈哥歌［2］阁骼革葛各｛～位｝［3］合｛一升的十分之一｝［7］割搁格隔鸽
kʰ	［1］棵=科=［2］咳｛～嗽｝克｛～服｝刻｛时～表｝［7］磕｛～头｝搕｛～烟斗｝刻｛用刀～｝客壳｛蛋～｝
x	［2］禾=和=合=何河=荷=盒=［5］贺｛姓氏｝［7］喝
ŋ	［2］厄=｛～运｝蛾=［7］扼恶噩｛～梦｝鳄额｛名～｝
#uɤ	
t	［7］掇｛拾～｝豛｛用指头点人或棍子点击｝跢｛矗立、站(贬义)｝敠｛故～：欺负｝
tʰ	［2］夺=拓饦｛圪～｝［7］脱
ts	［3］□｛吸吮｝
s	［7］啬｛～皮：小气｝
tʂ	［2］浊｛眼～｝卓拙［7］捉桌
tʂʰ	［2］镯［7］戳｛拿棍子、刀子插｝绰
ʂ	［3］说
k	［3］果=裹=［7］郭｛聒～人｝
kʰ	［7］括｛包～｝廓扩阔
x	［2］禾-活=和=｛～面｝［3］火［5］货=祸=［7］劐｛用刀尖插入物体然后顺势拉开，～开｝豁｛裂开，～唇唇｝
Ø	［2］沃［7］屋握
#ɯ	
t	［1］裆多［5］大=
tʰ	［1］拖汤［2］特驮驼｛~背｝[5］大-［7］托｛摩~｝
n	［2］挪~
l	［2］狼-罗骡｛～子｝萝｛～卜｝箩｛～筐｝锣啰
tsʰ	［1］搓仓-［241］藏-
s	［2］钐｛～镰：大镰刀｝
tʂ	［1］张-［3］长-｛～高｝涨-［5］帐-胀-
tʂʰ	［2］长=｛～短｝肠-［3］场-
ʂ	［2］尝-裳［5］上-
ʐ	［2］瓤-［3］攘-嚷-｛～叫｝
k	［1］哥-［2］革
kʰ	［1］康-糠-｛稻、谷等农作物的皮或壳｝［3］可［5］炕-｛北方人用土坯或砖砌成的睡觉用的长方台，上面铺席下有孔道，可以烧火取暖｝渴
x	［2］合｛～作社｝何｛姓氏｝河荷［5］赫鹤
ŋ	［2］俄鹅蛾｛～子：夏天晚上集中到亮处的动物，似蝴蝶，体型小｝讹｛～人｝［3］我［5］饿
#iɯ	
l	［2］凉-量-粮-
tɕ	［1］缰-｛～绳｝［5］浆-｛～子｝
tɕʰ	［2］墙-强-［5］呛-
ɕ	［3］响-想-［5］向
ȵ	［2］娘-
Ø	［1］殃-［2］羊-扬-
#ər	
Ø	［2］而儿｛小～子｝［3］耳尔饵［5］二贰
#ei	
p	［1］杯悲碑｛石～｝
m	［3］美
f	［1］妃非飞匪｛土～｝［2］肥［3］翡［5］废肺痱费
v	［1］微［2］唯惟维［3］猬｛刺～｝［5］未味
ts	［2］贼［5］祭-
tsʰ	［1］妻-｛～姐｝［2］晴-
s	［3］选-［5］细-
tʂ	［1］沾-遮=毡｛碾～｝［3］展-［5］占-
tʂʰ	［1］车-［2］缠-［3］扯=
ʂ	［1］膻｛羊～味：羊肉特有的腥气｝赊=｛～帐｝［2］蛇=［3］舍=［5］社-［7］舌=
ʐ	［3］惹-｛～事｝染-｛～布｝
k	［5］给
#uei	
l	［2］联-｛～系｝［3］儡垒｛～起来｝［5］累泪擂类虑-｛考～｝滤
ts	［3］嘴［5］醉｛喝～｝晬｛过～儿：小孩子过生日｝
tsʰ	［5］脆粹翠
s	［1］虽绥｛～德｝［2］随=｛～便｝［3］髓［5］穗｛谷～｝岁=隧
tʂ	［1］追锥｛～子｝［5］坠
tʂʰ	［1］吹炊［2］垂槌｛～头：拳头｝捶｛～人：揍人｝锤｛称～｝
ʂ	［2］谁［3］水［5］税睡
ʐ	［5］瑞锐
k	［1］规龟归［3］鬼诡［5］桂贵
kʰ	［1］盔窥亏［2］逵葵［5］跪刽柜愧溃
x	［1］挥辉徽｛国～｝［5］惠慧
Ø	［1］危威［2］围｛包～｝为｛～人：做人｝卫［3］违｛～法｝委萎伟苇伪｛虚～｝［5］外-｛～家：妻子家的人｝为｛～了｝位畏胃喂谓魏｛姓氏｝
#ai	
p	［1］背-｛动词：～庄稼｝［3］摆［5］拜贝背｛名词：后～｝倍-狈-焙｛～干｝辈
pʰ	［1］胚［2］排徘牌陪培赔｛～钱｝［3］派｛～出所｝［5］败沛-佩配
m	［2］埋玫枚莓梅媒｛～人｝楣煤霉墨｛～水｝［3］买每［5］卖迈妹昧
t	［1］呆［3］逮［5］代待怠带袋贷戴□｛赖～：邋遢｝
tʰ	［1］胎［2］台苔抬［5］太泰态
n	［2］捱｛～打：受打｝崖｛～畔｝［3］乃奶=［5］奈耐
l	［2］来［5］赖｛～帐｝癞｛～蛤蟆｝
ts	［1］灾栽斋［3］宰｛～相｝载［5］再在债寨｛大～｝
tsʰ	［1］猜差｛出～｝［2］才材财｛～主｝裁柴豺［3］采彩睬踩［5］菜蔡｛姓氏｝
s	［3］筛［5］赛晒
k	［1］该街-［3］改［5］钙概丐盖｛～被子｝
kʰ	［1］揩｛擦，～油｝开［3］凯楷
x	［2］鞋［3］海［5］亥｛～猪｝害解-｛～开：知道了｝
ŋ	［1］哀埃唉挨｛～上：靠着｝［3］皑矮［5］艾｛～草｝爱碍
#uai	
t	［1］堆［5］兑队对
tʰ	［1］推［3］腿［5］退蜕褪｛～色｝
n	［5］内
ts	［5］最罪
tsʰ	［1］崔-催摧
s	［2］随［5］碎岁-隧
tʂ	［5］拽
tʂʰ	［1］揣｛放、藏，～在衣服里｝［5］踹
ʂ	［1］衰［5］率｛～领｝帅蟀［7］摔
k	［1］乖［3］拐［5］怪
kʰ	［3］会｛～计｝块［5］快筷
