字	类型	读音
	IPA	dʑijaN
床／牀	假名	チヤン／ヂヤン／ジヤン
	IPA	tɕijaN / dʑijaN
償	假名	ヂヤン
	IPA	dʑijaN
嘗	假名	ヂヤン／チヤン／ジヤン
	IPA	dʑijaN / tɕijaN
尚	假名	ジヤン／シヤン
	IPA	dʑijaN / ɕijaN
常	假名	チヤン／ヂヤン／ヅヤン／テヤン／ジヤン
	IPA	tɕijaN / dʑijaN / dzɯjaN / tejaN
徜	假名	ジヤン
	IPA	dʑijaN
裳	假名	チヤン／シヤン／ジヤン
	IPA	tɕijaN / ɕijaN / dʑijaN
鱨／鲿	假名	ジヤン
	IPA	dʑijaN
坊	假名	ハン
	IPA	haN
武	假名	ウヽ／ウ
	IPA	ɯː / ɯ
央	假名	ヤン／イン
	IPA	jaN / iN
殃	假名	ヤン
	IPA	jaN
秧	假名	ヤン
	IPA	jaN
霙	假名	イン
	IPA	iN
鴦	假名	ヤン／イン
	IPA	jaN / iN
佯	假名	ヤン
	IPA	jaN
墻／牆／墙	假名	ツヤン／ズヤン／ヂヤン／ヅヤン
	IPA	tsɯjaN / zɯjaN / dʑijaN / dzɯjaN
檣	假名	ヅヤン
	IPA	dzɯjaN
蔷	假名	ツヤン／ヅヤン
	IPA	tsɯjaN / dzɯjaN
廂	假名	セヱヽ／スヤン
	IPA	seː / sɯjaN
湘	假名	スヤン
	IPA	sɯjaN
相	假名	スヤン／シヤン
	IPA	sɯjaN / ɕijaN
箱	假名	スヤン
	IPA	sɯjaN
葙	假名	スヤン
	IPA	sɯjaN
襄	假名	スヤン
	IPA	sɯjaN
瀼	假名	ズヤン
	IPA	zɯjaN
瓤	假名	ジヤン
	IPA	dʑijaN
穰	假名	ジヤン
	IPA	dʑijaN
蘘	假名	ジヤン
	IPA	dʑijaN
昌	假名	シヤン／チヤン
	IPA	ɕijaN / tɕijaN
猖	假名	チヤン
	IPA	tɕijaN
菖	假名	チヤン
	IPA	tɕijaN
鯧	假名	チヤン
	IPA	tɕijaN
亡	假名	ワン
	IPA	waN
撫/捬	假名	ウヽ／ウ
	IPA	ɯː / ɯ
蚊/蟁	假名	ウエン／ウヱン
	IPA	ɯeN
薌	假名	ヒアン
	IPA	çiaN
鄉/郷	假名	ヒヤン
	IPA	çijaN
香	假名	ヒヤン
	IPA	çijaN
傷	假名	シヤン
	IPA	ɕijaN
商	假名	シヤン／シヤウ
	IPA	ɕijaN / ɕijaɯ
觴	假名	シヤン
	IPA	ɕijaN
搶	假名	ツヤン
	IPA	tsɯjaN
牄/蹌	假名	ツアン
	IPA	tsɯaN
鏘	假名	シヤン
	IPA	ɕijaN
筐	假名	クハン／クワン
	IPA	kɯɰaN / kɯwaN
羌	假名	キアン
	IPA	kiaN
蜣	假名	キヤン
	IPA	kijaN
妨	假名	ハン
	IPA	haN
芳	假名	ハン／フワン／ハアン／フアン
	IPA	haN / ɸɯwaN / haːN / ɸɯaN
場	假名	ヂヤン／チヤン
	IPA	dʑijaN / tɕijaN
腸	假名	ジヤン／チヤン／ヂヤン／シヤン
	IPA	dʑijaN / tɕijaN / ɕijaN
萇	假名	チヤン
	IPA	tɕijaN
長	假名	チヤ／チヤン／ヂヤン
	IPA	tɕija / tɕijaN / dʑijaN
孀/霜	假名	シヤン
	IPA	ɕijaN
張	假名	チヤン
	IPA	tɕijaN
漲	假名	チヤン
	IPA	tɕijaN
彰	假名	シヤウ／チヤン
	IPA	ɕijaɯ / tɕijaN
樟	假名	チヤン
	IPA	tɕijaN
漳	假名	チヤヽ
	IPA	tɕijaː
璋	假名	チヤン
	IPA	tɕijaN
章	假名	チヤン／キヤン
	IPA	tɕijaN / kijaN
障	假名	チヤン
	IPA	tɕijaN
將	假名	ツヤン／チヤン
	IPA	tsɯjaN / tɕijaN
漿	假名	ツヤン
	IPA	tsɯjaN
強／强	假名	キヤン／ギヤン／キヤウ
	IPA	kijaN / gijaN / kijaɯ
狂	假名	グワン／キヤン
	IPA	gɯwaN / kijaN
鵟	假名	グハン
	IPA	gɯɰaN
妝/粧	假名	チヤン
	IPA	tɕijaN
莊	假名	チヤン／ザン／サ゚ン
	IPA	tɕijaN / zaN / tsaN
裝	假名	チヤン
	IPA	tɕijaN
姜／薑	假名	キヤン
	IPA	kijaN
疆	假名	キヤン
	IPA	kijaN
韁	假名	キヤン
	IPA	kijaN
洋	假名	ヤン
	IPA	jaN
痒	假名	ヤン
	IPA	jaN
祥	假名	ヅヤン／チヤン
	IPA	dzɯjaN / tɕijaN
翔	假名	ツアン／スヤン／ヅヤウ／ヅヤン
	IPA	tsɯaN / sɯjaN / dzɯjaɯ / dzɯjaN
詳	假名	ツヤン／ヅヤン／チヤン
	IPA	tsɯjaN / dzɯjaN / tɕijaN
享	假名	ヒヤン
	IPA	çijaN
傍/旁	假名	バン／パン／ハアン／バアン
	IPA	baN / paN / haːN / baːN
汾	假名	ウヱン／フエン／ウエン
	IPA	ɯeN / ɸɯeN
廊	假名	テイン／ラン
	IPA	teiN / raN
榔	假名	ラン
	IPA	raN
浪	假名	パウ／ラン
	IPA	paɯ / raN
狼	假名	スン／ラン
	IPA	sɯN / raN
琅	假名	ラン
	IPA	raN
莨	假名	ラン
	IPA	raN
蜋	假名	ラン
	IPA	raN
郎	假名	テン／ラン／ラウ
	IPA	teN / raN / raɯ
凰	假名	ハアン／ワン
	IPA	haːN / waN
惶	假名	ワン
	IPA	waN
杭	假名	ハン
	IPA	haN
桁	假名	ヘン
	IPA	heN
潢	假名	ワン
	IPA	waN
煌	假名	ワン
	IPA	waN
皇	假名	ワン／フアン／フワン／ウワン
	IPA	waN / ɸɯaN / ɸɯwaN / ɯwaN
篁	假名	ワン
	IPA	waN
簧	假名	ウワン
	IPA	ɯwaN
航	假名	ハン
	IPA	haN
蝗	假名	ハアン
	IPA	haːN
蟥	假名	ワン
	IPA	waN
行	假名	ヒン／ピン／ハアン／ハン／ヘン／ヒイウ／イン／イヒン／ヒイン
	IPA	çiN / piN / haːN / haN / heN / çiːɯ / iN / içiN / çiːN
遑	假名	ワン
	IPA	waN
黃／黄	假名	ハアン／バアン／パアン／フウ／ワン／フワン／ウワン
	IPA	haːN / baːN / paːN / ɸɯː / waN / ɸɯwaN / ɯwaN
唐	假名	ダン
	IPA	daN
堂	假名	タン／ダン
	IPA	taN / daN
塘	假名	ダン
	IPA	daN
搪	假名	タン
	IPA	taN
棠	假名	タン／ダン／タウ／ダウ
	IPA	taN / daN / taɯ / daɯ
螳	假名	タン／ダン
	IPA	taN / daN
糖/餹	假名	タン／ダン
	IPA	taN / daN
幫	假名	パン／ハン
	IPA	paN / haN
汪	假名	ワン
	IPA	waN
鴦	假名	ヤン／イン
	IPA	jaN / iN
藏	假名	ゼン／ヅアン／サン／サ゚ン／ツアン
	IPA	zeN / dzɯaN / saN / tsaN / tsɯaN
蔵	假名	ヅアン
	IPA	dzɯaN
喪	假名	サン
	IPA	saN
桑	假名	サン／サウ
	IPA	saN / saɯ
忙	假名	マン／マアン
	IPA	maN / maːN
文	假名	ウヱン／ウエン／ウン／ムン
	IPA	ɯeN / ɯN / mɯN
茫	假名	マン／マアン
	IPA	maN / maːN
荒	假名	ハアン／ハン／ホワン／ワン
	IPA	haːN / haN / howaN / waN
囊	假名	ナン
	IPA	naN
倉	假名	ツアン
	IPA	tsɯaN
滄	假名	ツアン／サ゚ン
	IPA	tsɯaN / tsaN
蒼	假名	ツアン／サ゚ン
	IPA	tsɯaN / tsaN
鶬／鸧	假名	ツアン／サ゚ン
	IPA	tsɯaN / tsaN
康	假名	カン
	IPA	kaN
當	假名	タン
	IPA	taN
蟷	假名	タン
	IPA	taN
襠	假名	タン
	IPA	taN
臧	假名	ツアン
	IPA	tsɯaN
亢	假名	キヱツ
	IPA	kieʔ
光	假名	クハン／クワン／グワン
	IPA	kɯɰaN / kɯwaN / gɯwaN
剛	假名	カン
	IPA	kaN
岡/崗	假名	カン
	IPA	kaN
恍	假名	クワン
	IPA	kɯwaN
桄	假名	クハン
	IPA	kɯɰaN
橫	假名	ヒヲン／ウヲン／ウワン
	IPA	çioN / ɯoN / ɯwaN
鋼	假名	カン
	IPA	kaN
横	假名	ホン
	IPA	hoN
盪	假名	タン
	IPA	taN
往/徃	假名	ワン
	IPA	waN
痒／癢	假名	ヤン
	IPA	jaN
養	假名	ヤン／ヤンン／カイ
	IPA	jaN / jaNN / kai
兩	假名	リン／リヤン／リヨン
	IPA	riN / rijaN / rijoN
魎	假名	リヤン
	IPA	rijaN
搶	假名	ツヤン
	IPA	tsɯjaN
上	假名	シヤン／ジヤン／ジヤウ／シヤウ／ヂヤン
	IPA	ɕijaN / dʑijaN / dʑijaɯ / ɕijaɯ
放	假名	ハン／フワン／ハアン
	IPA	haN / ɸɯwaN / haːN
枉	假名	ワン
	IPA	waN
汪	假名	ワン
	IPA	waN
秧	假名	ヤン
	IPA	jaN
想	假名	スヤン／シヤン
	IPA	sɯjaN / ɕijaN
壤	假名	ハイ／ズヤン
	IPA	hai / zɯjaN
穰	假名	ジヤン
	IPA	dʑijaN
網	假名	ワン
	IPA	waN
拔	假名	ツ／ハツ／バ／パ
	IPA	ʔ / haʔ / ba / pa
拔	假名	ツ／ハツ／バ／パ
	IPA	ʔ / haʔ / ba / pa
響	假名	ヒヤン
	IPA	çijaN
饗	假名	ヒヤン
	IPA	çijaN
賞	假名	シヤン
	IPA	ɕijaN
搶	假名	ツヤン
	IPA	tsɯjaN
拔	假名	ツ／ハツ／バ／パ
	IPA	ʔ / haʔ / ba / pa
丈	假名	チヤン／ヂヤン／ジヤン
	IPA	tɕijaN / dʑijaN
仗	假名	ヂヤン
	IPA	dʑijaN
杖	假名	チヤン／ジヤン／ヂヤン
	IPA	tɕijaN / dʑijaN
爽	假名	シヤン
	IPA	ɕijaN
仰	假名	ニヤン／ヤン／ギヤン
	IPA	nijaN / jaN / gijaN
長	假名	チヤ／チヤン／ヂヤン
	IPA	tɕija / tɕijaN / dʑijaN
掌	假名	チヤン
	IPA	tɕijaN
獎／奬	假名	ツヤン
	IPA	tsɯjaN
繈/襁	假名	キヤン
	IPA	kijaN
像	假名	ヅヤン／ツヤン／スヤン
	IPA	dzɯjaN / tsɯjaN / sɯjaN
橡	假名	ヤン
	IPA	jaN
象	假名	スヤン／ヅヤン／ツヤン／シヤン／ジヤン
	IPA	sɯjaN / dzɯjaN / tsɯjaN / ɕijaN / dʑijaN
鮝／鲞	假名	キヱン
	IPA	kieN
榔	假名	ラン
	IPA	raN
盪／蕩	假名	タン／ダン
	IPA	taN / daN
榜	假名	パン／バン
	IPA	paN / baN
映	假名	イン
	IPA	iN
盎	假名	ヤン
	IPA	jaN
顙	假名	サン
	IPA	saN
鮒	假名	ツウ
	IPA	tsɯː
叭	假名	パ／ハ
	IPA	pa / ha
慌	假名	ハン／ハアン
	IPA	haN / haːN
曩	假名	ナウ／ナン
	IPA	naɯ / naN
蒼	假名	ツアン／サ゚ン
	IPA	tsɯaN / tsaN
忼/慷	假名	カン
	IPA	kaN
廣	假名	クハン／フハン／ヲハン／クワン
	IPA	kɯɰaN / ɸɯɰaN / ohaN / kɯwaN
儻	假名	タン
	IPA	taN
寳	假名	ハ◦ウ
	IPA	haɯ
旺	假名	ワン
	IPA	waN
王	假名	ワン
	IPA	waN
恙	假名	ヤン
	IPA	jaN
颺	假名	イヤン
	IPA	ijaN
養	假名	ヤン／ヤンン／カイ
	IPA	jaN / jaNN / kai
亮	假名	リヤン
	IPA	rijaN
兩	假名	リン／リヤン／リヨン
	IPA	riN / rijaN / rijoN
涼	假名	リヤン／リアン
	IPA	rijaN / riaN
量	假名	リヤン／リヤウ
	IPA	rijaN / rijaɯ
両	假名	リヤン
	IPA	rijaN
釀	假名	ニヤン
	IPA	nijaN
狀	假名	ヂヤン
	IPA	dʑijaN
上	假名	シヤン／ジヤン／ジヤウ／シヤウ／ヂヤン
	IPA	ɕijaN / dʑijaN / dʑijaɯ / ɕijaɯ
償	假名	ヂヤン
	IPA	dʑijaN
尚	假名	ジヤン／シヤン
	IPA	dʑijaN / ɕijaN
尙	假名	シヤン
	IPA	ɕijaN
放	假名	ハン／フワン／ハアン
	IPA	haN / ɸɯwaN / haːN
悵	假名	チヤン／チヤウ
	IPA	tɕijaN / tɕijaɯ
暢	假名	チヤン
	IPA	tɕijaN
鬯	假名	チヤン
	IPA	tɕijaN
相	假名	スヤン／シヤン
	IPA	sɯjaN / ɕijaN
讓	假名	ジヤン／シヤン／ジャウ
	IPA	dʑijaN / ɕijaN / dʑaɯ
唱	假名	チヤン
	IPA	tɕijaN
妄	假名	ワン
	IPA	waN
忘	假名	ワン／ワウ
	IPA	waN / waɯ
抱	假名	パ◦ウ／バ◦ウ／ハ◦ウ／パーウ／バーウ
	IPA	paɯ / baɯ / haɯ
况／況	假名	ハン／ホワン／ハアン
	IPA	haN / howaN / haːN
向／嚮／曏	假名	ヒヤン／シヤン
	IPA	çijaN / ɕijaN
貺	假名	ハン
	IPA	haN
傷	假名	シヤン
	IPA	ɕijaN
向／曏	假名	ヒヤン／シヤン
	IPA	çijaN / ɕijaN
餉	假名	シヤン
	IPA	ɕijaN
妨	假名	ハン
	IPA	haN
訪	假名	ハン／フワウ
	IPA	haN / ɸɯwaɯ
仗	假名	ヂヤン
	IPA	dʑijaN
長	假名	チヤ／チヤン／ヂヤン
	IPA	tɕija / tɕijaN / dʑijaN
嫦	假名	ヂヤン
	IPA	dʑijaN
仰	假名	ニヤン／ヤン／ギヤン
	IPA	nijaN / jaN / gijaN
帳/賬	假名	チヤン
	IPA	tɕijaN
張	假名	チヤン
	IPA	tɕijaN
漲	假名	チヤン
	IPA	tɕijaN
嶂	假名	チヤン
	IPA	tɕijaN
瘴	假名	チヤン
	IPA	tɕijaN
障	假名	チヤン
	IPA	tɕijaN
將	假名	ツヤン／チヤン
	IPA	tsɯjaN / tɕijaN
醬	假名	ツアン／ツヤン
	IPA	tsɯaN / tsɯjaN
弶	假名	キヤン
	IPA	kijaN
狂	假名	グワン／キヤン
	IPA	gɯwaN / kijaN
壯	假名	チヤン
	IPA	tɕijaN
裝	假名	チヤン
	IPA	tɕijaN
傍	假名	バン／パン／ハアン／バアン
	IPA	baN / paN / haːN / baːN
浪	假名	パウ／ラン
	IPA	paɯ / raN
潢	假名	ワン
	IPA	waN
行	假名	ヒン／ピン／ハアン／ハン／ヘン／ヒイウ／イン／イヒン／ヒイン
	IPA	çiN / piN / haːN / haN / heN / çiːɯ / iN / içiN / çiːN
謗	假名	パン／バン／パウ
	IPA	paN / baN / paɯ
汪	假名	ワン
	IPA	waN
盎	假名	ヤン
	IPA	jaN
藏	假名	ゼン／ヅアン／サン／サ゚ン／ツアン
	IPA	zeN / dzɯaN / saN / tsaN / tsɯaN
喪	假名	サン
	IPA	saN
荒	假名	ハアン／ハン／ホワン／ワン
	IPA	haːN / haN / howaN / waN
亢	假名	キヱツ
	IPA	kieʔ
曠	假名	クワン
	IPA	kɯwaN
當	假名	タン
	IPA	taN
菪	假名	タン
	IPA	taN
光	假名	クハン／クワン／グワン
	IPA	kɯɰaN / kɯwaN / gɯwaN
桄	假名	クハン
	IPA	kɯɰaN
鋼	假名	カン
	IPA	kaN
儻	假名	タン
	IPA	taN
盪／蕩	假名	タン／ダン
	IPA	taN / daN
倘	假名	タン
	IPA	taN
縛	假名	ウヲ／ホ／ボ／ポ
	IPA	ɯo / ho / bo / po
瀹	假名	ヤ
	IPA	ja
籥/龠	假名	ヤ
	IPA	ja
藥	假名	ヨ／ヨツ／ヤ
	IPA	jo / joʔ / ja
躍	假名	ヤ／ヤン
	IPA	ja / jaN
鑰	假名	ヨツ／ヤ
	IPA	joʔ / ja
略	假名	リヤ／リヨ
	IPA	rija / rijo
勺	假名	チヤ
	IPA	tɕija
芍	假名	シヨ／シヤ
	IPA	ɕijo / ɕija
約	假名	ヤ
	IPA	ja
削	假名	スヤ／シヤ
	IPA	sɯja / ɕija
弱	假名	ジヤ／ジヨ
	IPA	dʑija / dʑijo
惹	假名	ジヱヽ／ゼヱヽ
	IPA	dʑieː / zeː
溺	假名	ニ
	IPA	ni
箬	假名	シヨツ
	IPA	ɕijoʔ
若	假名	ヂヨ／ジヤ／ジヨ／エ／シヨ／ゼ／ゼヨ／ジヤヽ／ヂヤ
	IPA	dʑijo / dʑija / e / ɕijo / ze / zejo / dʑijaː
蒻	假名	シヨツ／ジヤ
	IPA	ɕijoʔ / dʑija
鶸	假名	ジヤ
	IPA	dʑija
綽	假名	チヤ
	IPA	tɕija
爍	假名	シヨ
	IPA	ɕijo
芍	假名	シヨ／シヤ
	IPA	ɕijo / ɕija
鵲	假名	ツヤツ／ツヤ／シヤ／チヨ／チヤ
	IPA	tsɯjaʔ / tsɯja / ɕija / tɕijo / tɕija
却／卻	假名	キヤ
	IPA	kija
著	假名	チヤ／ヂヤ／チヨ
	IPA	tɕija / dʑija / tɕijo
着	假名	ヂヤ／チヤ／チヨ
	IPA	dʑija / tɕija / tɕijo
芍	假名	シヨ／シヤ
	IPA	ɕijo / ɕija
著	假名	チヤ／ヂヤ／チヨ
	IPA	tɕija / dʑija / tɕijo
勺	假名	チヤ
	IPA	tɕija
斫	假名	チヨ／チエ／ヅヲ
	IPA	tɕijo / tɕie / dzɯo
繳	假名	トツ
	IPA	toʔ
酌	假名	チヤ
	IPA	tɕija
爵	假名	チヤ
	IPA	tɕija
雀	假名	ツヤツ／ツヨツ／ツヤ／チヨ／チヤ
	IPA	tsɯjaʔ / tsɯjoʔ / tsɯja / tɕijo / tɕija
卻	假名	キヤ
	IPA	kija
玃	假名	キヤ
	IPA	kija
脚／腳	假名	キヤ
	IPA	kija
泊	假名	ポ／ボ
	IPA	po / bo
苞	假名	パ◦ウ／バ◦ウ
	IPA	paɯ / baɯ
鴇	假名	パ◦ウ
	IPA	paɯ
樂	假名	ヨ／ロ／ヤーウ／ヤ
	IPA	jo / ro / jaɯ / ja
洛	假名	ロ
	IPA	ro
絡	假名	ロ／ロツ
	IPA	ro / roʔ
落	假名	ロ
	IPA	ro
酪	假名	ロツ
	IPA	roʔ
駱	假名	ロ
	IPA	ro
貉	假名	ホツ／コ
	IPA	hoʔ / ko
鶴	假名	ホ／ポ／リヤ◦ウ／コ／ゴ／ゴヲ
	IPA	ho / po / rijaɯ / ko / go / goː
度	假名	ド／トウ／ドウ／ト／トヲ／ドヲ
	IPA	do / toɯ / doɯ / to / toː / doː
鐸	假名	ト
	IPA	to
博	假名	ポ
	IPA	po
爆	假名	パ◦ウ／バウ
	IPA	paɯ / baɯ
惡	假名	ラ／ウヽ／ヲ
	IPA	ra / ɯː / o
蠖	假名	ウヲ
	IPA	ɯo
昨	假名	ヅヲ／ツヲ／ザ
	IPA	dzɯo / tsɯo / za
柞	假名	ツヲツ
	IPA	tsɯoʔ
酢	假名	ソワン／ツヲヽ
	IPA	sowaN / tsɯoː
鑿	假名	ツヲツ／ヅヲ
	IPA	tsɯoʔ / dzɯo
索	假名	ソウ／ソツ／ソ／スエツ
