"繁体字"	"简体字"	"新晃凳寨"	"声母"	"韵母"	"调值"	"声调"	"国际音标"	"说明"	
"包"	"包"	"bao1"	"p"	"au"	13	"阴平"	"pau13"		
"孢"	"孢"	"bao1"	"p"	"au"	13	"阴平"	"pau13"		
"胞"	"胞"	"bao1"	"p"	"au"	13	"阴平"	"pau13"		
"苞"	"苞"	"bao1"	"p"	"au"	13	"阴平"	"pau13"		
"褒"	"褒"	"bao1"	"p"	"au"	13	"阴平"	"pau13"		
"保"	"保"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"堡"	"堡"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"寶"	"宝"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"煲"	"煲"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"葆"	"葆"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"褓"	"褓"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"飽"	"饱"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"鴇"	"鸨"	"bao3"	"p"	"au"	21	"上声"	"pau21"		
"報"	"报"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"抱"	"抱"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"暴"	"暴"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"曝"	"曝"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"爆"	"爆"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"爆"	"爆"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"豹"	"豹"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"趵"	"趵"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"鉋"	"刨"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"鮑"	"鲍"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"齙"	"龅"	"bao5"	"p"	"au"	45	"去声"	"pau45"		
"伯"	"伯"	"be2"	"p"	"e"	11	"阳平"	"pe11"		
"佰"	"佰"	"be2"	"p"	"e"	11	"阳平"	"pe11"		
"北"	"北"	"be2"	"p"	"e"	11	"阳平"	"pe11"		
"柏"	"柏"	"be2"	"p"	"e"	11	"阳平"	"pe11"		
"白"	"白"	"be2"	"p"	"e"	11	"阳平"	"pe11"		
"百"	"百"	"be2"	"p"	"e"	11	"阳平"	"pe11"		
"舶"	"舶"	"be2"	"p"	"e"	11	"阳平"	"pe11"		
"卑"	"卑"	"bei1"	"p"	"əi"	13	"阴平"	"pəi13"		
"悲"	"悲"	"bei1"	"p"	"əi"	13	"阴平"	"pəi13"		
"杯"	"杯"	"bei1"	"p"	"əi"	13	"阴平"	"pəi13"		
"盃"	"杯"	"bei1"	"p"	"əi"	13	"阴平"	"pəi13"		
"碑"	"碑"	"bei1"	"p"	"əi"	13	"阴平"	"pəi13"		
"陂"	"陂"	"bei1"	"p"	"əi"	13	"阴平"	"pəi13"		
"鵯"	"鹎"	"bei1"	"p"	"əi"	13	"阴平"	"pəi13"		
"擺"	"摆"	"bei3"	"p"	"əi"	21	"上声"	"pəi21"	"白读，做"	
"倍"	"倍"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"備"	"备"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"唄"	"呗"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"悖"	"悖"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"憊"	"惫"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"揹"	"背"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"焙"	"焙"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"狽"	"狈"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"碚"	"碚"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"背"	"背"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"背"	"背"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"蓓"	"蓓"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"被"	"被"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"褙"	"褙"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"貝"	"贝"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"輩"	"辈"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"邶"	"邶"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"鋇"	"钡"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"韝"	"鞴"	"bei5"	"p"	"əi"	45	"去声"	"pəi45"		
"奔"	"奔"	"ben1"	"p"	"ən"	13	"阴平"	"pən13"		
"賁"	"贲"	"ben1"	"p"	"ən"	13	"阴平"	"pən13"		
"錛"	"锛"	"ben1"	"p"	"ən"	13	"阴平"	"pən13"		
"本"	"本"	"ben3"	"p"	"ən"	21	"上声"	"pən21"		
"畚"	"畚"	"ben3"	"p"	"ən"	21	"上声"	"pən21"		
"苯"	"苯"	"ben3"	"p"	"ən"	21	"上声"	"pən21"		
"憑"	"凭"	"ben4"	"p"	"ən"	45	"去声"	"pən45"	"白，依靠"	
"坌"	"坌"	"ben5"	"p"	"ən"	45	"去声"	"pən45"		
"奔"	"奔"	"ben5"	"p"	"ən"	45	"去声"	"pən45"		
"笨"	"笨"	"ben5"	"p"	"ən"	45	"去声"	"pən45"		
"篦"	"篦"	"bi1"	"p"	"i"	13	"阴平"	"pi13"		
"蓖"	"蓖"	"bi1"	"p"	"i"	13	"阴平"	"pi13"		
"壁"	"壁"	"bi2"	"p"	"i"	11	"阳平"	"pi11"	"壁头"	
"弼"	"弼"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"必"	"必"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"畢"	"毕"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"筆"	"笔"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"篳"	"筚"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"蓽"	"荜"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"蹕"	"跸"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"逼"	"逼"	"bi2"	"p"	"i"	11	"阳平"	"pi11"		
"俾"	"俾"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"匕"	"匕"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"妣"	"妣"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"彼"	"彼"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"比"	"比"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"秕"	"秕"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"舭"	"舭"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"鄙"	"鄙"	"bi3"	"p"	"i"	21	"上声"	"pi21"		
"嗶"	"哔"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"壁"	"壁"	"bi5"	"p"	"i"	45	"去声"	"pi45"	"和氏璧"	
"婢"	"婢"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"嬖"	"嬖"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"幣"	"币"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"庇"	"庇"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"庳"	"庳"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"弊"	"弊"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"愎"	"愎"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"敝"	"敝"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"斃"	"毙"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"泌"	"泌"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"潷"	"滗"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"狴"	"狴"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"璧"	"璧"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"畀"	"畀"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"痺"	"痹"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"碧"	"碧"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"祕"	"秘"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"箅"	"箅"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"臂"	"臂"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"蔽"	"蔽"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"薜"	"薜"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"轡"	"辔"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"避"	"避"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"鉍"	"铋"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"鐾"	"鐾"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"閉"	"闭"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"陛"	"陛"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"鼻"	"鼻"	"bi5"	"p"	"i"	45	"去声"	"pi45"		
"癟"	"瘪"	"bia3"	"p"	"ia"	21	"上声"	"pia21"		
"摒"	"摒"	"bia5"	"p"	"ia"	45	"去声"	"pia45"	"白读"	
"砭"	"砭"	"bian1"	"p"	"ien"	13	"阴平"	"pien13"		
"編"	"编"	"bian1"	"p"	"ien"	13	"阴平"	"pien13"		
"邊"	"边"	"bian1"	"p"	"ien"	13	"阴平"	"pien13"		
"鞭"	"鞭"	"bian1"	"p"	"ien"	13	"阴平"	"pien13"		
"匾"	"匾"	"bian3"	"p"	"ien"	21	"上声"	"pien21"		
"扁"	"扁"	"bian3"	"p"	"ien"	21	"上声"	"pien21"		
"蝙"	"蝙"	"bian3"	"p"	"ien"	21	"上声"	"pien21"		
"貶"	"贬"	"bian3"	"p"	"ien"	21	"上声"	"pien21"		
"便"	"便"	"bian5"	"p"	"ien"	45	"去声"	"pien45"		
"卞"	"卞"	"bian5"	"p"	"ien"	45	"去声"	"pien45"		
"變"	"变"	"bian5"	"p"	"ien"	45	"去声"	"pien45"		
"辨"	"辨"	"bian5"	"p"	"ien"	45	"去声"	"pien45"		
"辮"	"辫"	"bian5"	"p"	"ien"	45	"去声"	"pien45"		
"辯"	"辩"	"bian5"	"p"	"ien"	45	"去声"	"pien45"		
"遍"	"遍"	"bian5"	"p"	"ien"	45	"去声"	"pien45"	"文"	
"瀌"	"瀌"	"biao1"	"p"	"iau"	13	"阴平"	"piau13"	"溅"	
"彪"	"彪"	"biao1"	"p"	"iau"	13	"阴平"	"piau13"		
"標"	"标"	"biao1"	"p"	"iau"	13	"阴平"	"piau13"		
"膘"	"膘"	"biao1"	"p"	"iau"	13	"阴平"	"piau13"		
"鏢"	"镖"	"biao1"	"p"	"iau"	13	"阴平"	"piau13"		
"婊"	"婊"	"biao3"	"p"	"iau"	21	"上声"	"piau21"		
"表"	"表"	"biao3"	"p"	"iau"	21	"上声"	"piau21"		
"錶"	"表"	"biao3"	"p"	"iau"	21	"上声"	"piau21"		
"鰾"	"鳔"	"biao5"	"p"	"iau"	45	"去声"	"piau45"		
"鱉"	"鳖"	"bie1"	"p"	"ie"	13	"阴平"	"pie13"		
"別"	"别"	"bie2"	"p"	"ie"	11	"阳平"	"pie11"		
"別"	"别"	"bie2"	"p"	"ie"	11	"阳平"	"pie11"		
"彆"	"别"	"bie2"	"p"	"ie"	11	"阳平"	"pie11"		
"憋"	"憋"	"bie2"	"p"	"ie"	11	"阳平"	"pie11"		
"兵"	"兵"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"冰"	"冰"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"彬"	"彬"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"濱"	"滨"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"瀕"	"濒"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"絣"	"絣"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"繽"	"缤"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"賓"	"宾"	"bin1"	"p"	"in"	13	"阴平"	"pin13"		
"丙"	"丙"	"bin3"	"p"	"in"	21	"上声"	"pin21"		
"柄"	"柄"	"bin3"	"p"	"in"	21	"上声"	"pin21"	"文读"	
"炳"	"炳"	"bin3"	"p"	"in"	21	"上声"	"pin21"		
"秉"	"秉"	"bin3"	"p"	"in"	21	"上声"	"pin21"		
"稟"	"禀"	"bin3"	"p"	"in"	21	"上声"	"pin21"		
"餅"	"饼"	"bin3"	"p"	"in"	21	"上声"	"pin21"		
"並"	"并"	"bin5"	"p"	"in"	45	"去声"	"pin45"		
"併"	"并"	"bin5"	"p"	"in"	45	"去声"	"pin45"		
"并"	"并"	"bin5"	"p"	"in"	45	"去声"	"pin45"		
"摒"	"摒"	"bin5"	"p"	"in"	45	"去声"	"pin45"	"文读"	
"殯"	"殡"	"bin5"	"p"	"in"	45	"去声"	"pin45"		
"病"	"病"	"bin5"	"p"	"in"	45	"去声"	"pin45"		
"逬"	"逬"	"bin5"	"p"	"in"	45	"去声"	"pin45"		
"鬢"	"鬓"	"bin5"	"p"	"in"	45	"去声"	"pin45"		
"播"	"播"	"bo1"	"p"	"o"	13	"阴平"	"po13"		
"波"	"波"	"bo1"	"p"	"o"	13	"阴平"	"po13"		
"玻"	"玻"	"bo1"	"p"	"o"	13	"阴平"	"po13"		
"菠"	"菠"	"bo1"	"p"	"o"	13	"阴平"	"po13"		
"博"	"博"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"帛"	"帛"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"搏"	"搏"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"撥"	"拨"	"bo2"	"p"	"o"	11	"阳平"	"po11"	"拨款"	
"泊"	"泊"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"渤"	"渤"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"箔"	"箔"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"缽"	"钵"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"脖"	"脖"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"膊"	"膊"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"荸"	"荸"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"薄"	"薄"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"跋"	"跋"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"鉑"	"铂"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"駁"	"驳"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"剝"	"剥"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"勃"	"勃"	"bo2"	"p"	"o"	11	"阳平"	"po11"		
"簸"	"簸"	"bo3"	"p"	"o"	21	"上声"	"po21"		
"嘣"	"嘣"	"bong1"	"p"	"oŋ"	13	"阴平"	"poŋ13"		
"崩"	"崩"	"bong1"	"p"	"oŋ"	13	"阴平"	"poŋ13"		
"繃"	"绷"	"bong1"	"p"	"oŋ"	13	"阴平"	"poŋ13"		
"捧"	"捧"	"bong3"	"p"	"oŋ"	21	"上声"	"poŋ21"	"白，侗（夸奖）"	
"堋"	"堋"	"bong5"	"p"	"oŋ"	45	"去声"	"poŋ45"		
"蹦"	"蹦"	"bong5"	"p"	"oŋ"	45	"去声"	"poŋ45"		
"泵"	"泵"	"bong5"	"p"	"oŋ"	45	"去声"	"poŋ45"		
"包"	"包"	"bou1"	"p"	"ən"	13	"阴平"	"pən13"	"白"	
"不"	"不"	"bu1"	"p"	"u"	13	"阴平"	"pu13"	"疑問"	
"不"	"不"	"bu2"	"p"	"u"	11	"阳平"	"pu11"		
"卜"	"卜"	"bu3"	"p"	"u"	21	"上声"	"pu21"	"占卜"	
"圃"	"圃"	"bu3"	"p"	"u"	21	"上声"	"pu21"		
"補"	"补"	"bu3"	"p"	"u"	21	"上声"	"pu21"		
"伏"	"伏"	"bu5"	"p"	"u"	45	"去声"	"pu45"	"白读"	
"卜"	"卜"	"bu5"	"p"	"u"	45	"去声"	"pu45"	"萝卜"	
"埠"	"埠"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"布"	"布"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"怖"	"怖"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"步"	"步"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"簿"	"簿"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"蔔"	"卜"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"訃"	"讣"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"部"	"部"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"鋪"	"铺"	"bu5"	"p"	"u"	45	"去声"	"pu45"	"床铺"	
"阜"	"阜"	"bu5"	"p"	"u"	45	"去声"	"pu45"		
"搬"	"搬"	"buan1"	"p"	"uan"	13	"阴平"	"puan13"		
"般"	"般"	"buan1"	"p"	"uan"	13	"阴平"	"puan13"		
"般"	"般"	"buan1"	"p"	"uan"	13	"阴平"	"puan13"		
"伴"	"伴"	"buan5"	"p"	"uan"	45	"去声"	"puan45"		
"半"	"半"	"buan5"	"p"	"uan"	45	"去声"	"puan45"		
"扮"	"扮"	"buan5"	"p"	"uan"	45	"去声"	"puan45"		
"拌"	"拌"	"buan5"	"p"	"uan"	45	"去声"	"puan45"		
"瓣"	"瓣"	"buan5"	"p"	"uan"	45	"去声"	"puan45"		
"辦"	"办"	"buan5"	"p"	"uan"	45	"去声"	"puan45"		
"叉"	"叉"	"ca1"	"tsʰ"	"a"	13	"阴平"	"tsʰa13"	"打叉"	
"差"	"差"	"ca1"	"tsʰ"	"a"	13	"阴平"	"tsʰa13"		
"差"	"差"	"ca1"	"tsʰ"	"a"	13	"阴平"	"tsʰa13"		
"杈"	"杈"	"ca1"	"tsʰ"	"a"	13	"阴平"	"tsʰa13"		
"衩"	"衩"	"ca1"	"tsʰ"	"a"	13	"阴平"	"tsʰa13"		
"釵"	"钗"	"ca1"	"tsʰ"	"a"	13	"阴平"	"tsʰa13"		
"蹅"	"蹅"	"ca1"	"tsʰ"	"a"	13	"阴平"	"tsʰa13"	"踩"	
"察"	"察"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"插"	"插"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"搽"	"搽"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"擦"	"擦"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"查"	"查"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"茬"	"茬"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"茬"	"茬"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"茶"	"茶"	"ca2"	"tsʰ"	"a"	11	"阳平"	"tsʰa11"		
"差"	"差"	"ca3"	"tsʰ"	"a"	21	"上声"	"tsʰa21"	"差不多"	
"叱"	"叱"	"ca5"	"tsʰ"	"a"	45	"去声"	"tsʰa45"		
"岔"	"岔"	"ca5"	"tsʰ"	"a"	45	"去声"	"tsʰa45"		
"詫"	"诧"	"ca5"	"tsʰ"	"a"	45	"去声"	"tsʰa45"		
"猜"	"猜"	"cai1"	"tsʰ"	"ai"	13	"阴平"	"tsʰai13"		
"才"	"才"	"cai2"	"tsʰ"	"ai"	11	"阳平"	"tsʰai11"		
"材"	"材"	"cai2"	"tsʰ"	"ai"	11	"阳平"	"tsʰai11"		
"柴"	"柴"	"cai2"	"tsʰ"	"ai"	11	"阳平"	"tsʰai11"		
"裁"	"裁"	"cai2"	"tsʰ"	"ai"	11	"阳平"	"tsʰai11"		
"豺"	"豺"	"cai2"	"tsʰ"	"ai"	11	"阳平"	"tsʰai11"		
"財"	"财"	"cai2"	"tsʰ"	"ai"	11	"阳平"	"tsʰai11"		
"彩"	"彩"	"cai3"	"tsʰ"	"ai"	21	"上声"	"tsʰai21"		
"採"	"采"	"cai3"	"tsʰ"	"ai"	21	"上声"	"tsʰai21"		
"揣"	"揣"	"cai3"	"tsʰ"	"ai"	21	"上声"	"tsʰai21"		
"睬"	"睬"	"cai3"	"tsʰ"	"ai"	21	"上声"	"tsʰai21"		
"綵"	"彩"	"cai3"	"tsʰ"	"ai"	21	"上声"	"tsʰai21"		
"踩"	"踩"	"cai3"	"tsʰ"	"ai"	21	"上声"	"tsʰai21"		
"采"	"采"	"cai3"	"tsʰ"	"ai"	21	"上声"	"tsʰai21"		
"菜"	"菜"	"cai5"	"tsʰ"	"ai"	45	"去声"	"tsʰai45"		
"蔡"	"蔡"	"cai5"	"tsʰ"	"ai"	45	"去声"	"tsʰai45"		
"參"	"参"	"can1"	"tsʰ"	"an"	13	"阴平"	"tsʰan13"		
"參"	"参"	"can1"	"tsʰ"	"an"	13	"阴平"	"tsʰan13"		
"摻"	"掺"	"can1"	"tsʰ"	"an"	13	"阴平"	"tsʰan13"		
"摻"	"掺"	"can1"	"tsʰ"	"an"	13	"阴平"	"tsʰan13"	"新"	
"攙"	"搀"	"can1"	"tsʰ"	"an"	13	"阴平"	"tsʰan13"	"新"	
"餐"	"餐"	"can1"	"tsʰ"	"an"	13	"阴平"	"tsʰan13"		
"慚"	"惭"	"can2"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"		
"殘"	"残"	"can2"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"		
"纏"	"缠"	"can2"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"	"老"	
"蟬"	"蝉"	"can2"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"		
"蠶"	"蚕"	"can2"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"		
"讒"	"谗"	"can2"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"	"新"	
"饞"	"馋"	"can2"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"	"新"	
"剷"	"铲"	"can3"	"tsʰ"	"an"	21	"上声"	"tsʰan21"		
"慘"	"惨"	"can3"	"tsʰ"	"an"	21	"上声"	"tsʰan21"		
"斬"	"斩"	"can3"	"tsʰ"	"an"	21	"上声"	"tsʰan21"	"新"	
"產"	"产"	"can3"	"tsʰ"	"an"	21	"上声"	"tsʰan21"		
"輾"	"辗"	"can3"	"tsʰ"	"an"	21	"上声"	"tsʰan21"	"新"	
"闡"	"阐"	"can3"	"tsʰ"	"an"	21	"上声"	"tsʰan21"	"新"	
"𢱟"	"𢱟"	"can3"	"tsʰ"	"an"	11	"阳平"	"tsʰan11"	"新"	
"顫"	"颤"	"can5"	"tsʰ"	"an"	45	"去声"	"tsʰan45"		
"燦"	"灿"	"can5"	"tsʰ"	"an"	45	"去声"	"tsʰan45"		
"倉"	"仓"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"創"	"创"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"娼"	"娼"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"昌"	"昌"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"滄"	"沧"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"猖"	"猖"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"瘡"	"疮"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"窗"	"窗"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
"腸"	"肠"	"cang1"	"tsʰ"	"aŋ"	13	"阴平"	"tsʰaŋ13"		
