繁體	简体	吳拼	備注
𡉑	𡉑	da¹³	趟：走一𡉑，走一趟。也寫埭
賴	赖	la¹³	抵賴
癩	癞	la¹³	
攋	攋	la¹³	¹、抓：指甲等把皮膚劃開：攋脫一層皮。抓破一層皮²、撥拉：攋柴耙，竹製有齒的耙柴草工具
咋	咋	dza¹³	怎麼：咋弄弄。怎麼做
喳	喳	dza¹³	
寨	寨	za¹³	
外	外	ŋa¹³	
捱	捱	ŋa¹³	拖延：捱時辰，拖時間
爹	爹	tia⁵³	
家	家	tɕia⁵³	
加	加	tɕia⁵³	
痂	痂	tɕia⁵³	
嘉	嘉	tɕia⁵³	
佳	佳	tɕia⁵³	
皆	皆	tɕia⁵³	
階	阶	tɕia⁵³	
甲	甲	tɕia⁵³	
霞	霞	ia⁵³	
雅	雅	ia⁵³	
丫	丫	ia⁵³	
椏	桠	ia⁵³	
茄	茄	dʑia²²	茄子
斜	斜	ʑia²²	
邪	邪	ʑia²²	
爺	爷	ɦia²²	
耶	耶	ɦia²²	
牙	牙	ɦia²²	
芽	芽	ɦia²²	
衙	衙	ɦia²²	
涯	涯	ɦia²²	
崖	崖	ɦia²²	
霞	霞	ɦia²²	
假	假	tɕia³⁵	
賈	贾	tɕia³⁵	姓
解	解	tɕia³⁵	
寫	写	ɕia³⁵	
瀉	泻	ɕia³⁵	
也	也	ɦia²⁴	
野	野	ɦia²⁴	
假	假	tɕia⁴⁴	放假
架	架	tɕia⁴⁴	
駕	驾	tɕia⁴⁴	
嫁	嫁	tɕia⁴⁴	
稼	稼	tɕia⁴⁴	
價	价	tɕia⁴⁴	
借	借	tɕia⁴⁴	
介	介	tɕia⁴⁴	
界	界	tɕia⁴⁴	
屆	届	tɕia⁴⁴	
戒	戒	tɕia⁴⁴	
笡	笡	tɕʰia⁴⁴	歪斜不正：掛笡唻
卸	卸	ɕia⁴⁴	
愜	惬	ɕia⁴⁴	愜意，舒服
亞	亚	ia⁴⁴	
謝	谢	ɦia¹³	
夜	夜	ɦia¹³	
寡	寡	kua⁵³	
誇	夸	kʰua⁵³	
花	花	hua⁵³	
歪	歪	hua⁵³	
𠿎	𠿎	hua⁵³	不正。𠿎嘴：嘴形不正
蛙	蛙	ua⁵³	
壞	坏	ua⁵³	
媧	娲	ua⁵³	女媧：古帝名
懷	怀	ɦua²²	
槐	槐	ɦua²²	
淮	淮	ɦua²²	
華	华	ɦua²²	
鏵	铧	ɦua²²	
樺	桦	ɦua²²	
拐	拐	kua³⁵	
柺	柺	kua³⁵	
垮	垮	kʰua³⁵	
瓦	瓦	ɦua²⁴	
卦	卦	kua⁴⁴	卜卦
掛	挂	kua⁴⁴	
怪	怪	kua⁴⁴	
快	快	kʰua⁴⁴	
化	化	hua⁴⁴	
壞	坏	ɦua¹³	
畫	画	ɦua¹³	
話	话	ɦua¹³	
褒	褒	pɔ⁵³	
包	包	pɔ⁵³	
胞	胞	pɔ⁵³	
泡	泡	pʰɔ⁵³	
拋	抛	pʰɔ⁵³	
脬	脬	pʰɔ⁵³	①膀胱：尿脬②卵脬：陰囊
刀	刀	tɔ⁵³	
叨	叨	tɔ⁵³	嘮嘮叨叨，講話囉嗦令人厭煩
滔	滔	tʰɔ⁵³	
撈	捞	ʔlɔ⁵³	撈外快
遭	遭	tsɔ⁵³	
糟	糟	tsɔ⁵³	
抓	抓	tsɔ⁵³	抓癢
操	操	tsʰɔ⁵³	
抄	抄	tsʰɔ⁵³	
鈔	钞	tsʰɔ⁵³	
騷	骚	sɔ⁵³	
臊	臊	sɔ⁵³	
梢	梢	sɔ⁵³	
筲	筲	sɔ⁵³	竹製淘米用具：筲箕，淘米籮
捎	捎	sɔ⁵³	捎帶
哨	哨	sɔ⁵³	哨燈：信號燈
高	高	kɔ⁵³	
膏	膏	kɔ⁵³	
糕	糕	kɔ⁵³	
羔	羔	kɔ⁵³	
膠	胶	kɔ⁵³	
鮫	鲛	kɔ⁵³	馬鮫魚
篙	篙	kɔ⁵³	篙子，撐船竿
敲	敲	kʰɔ⁵³	
蒿	蒿	hɔ⁵³	蒿菜
坳	坳	ɔ⁵³	
拗	拗	ɔ⁵³	折：拗花，摘花
嶴	岙	ɔ⁵³	
垇	垇	ɔ⁵³	地名
鏖	鏖	ɔ⁵³	鏖糟：髒，不乾淨
袍	袍	bɔ²²	
跑	跑	bɔ²²	
鮑	鲍	bɔ²²	姓
毛	毛	mɔ²²	
茅	茅	mɔ²²	
矛	矛	mɔ²²	
錨	锚	mɔ²²	
桃	桃	dɔ²²	
逃	逃	dɔ²²	
淘	淘	dɔ²²	
陶	陶	dɔ²²	
萄	萄	dɔ²²	
濤	涛	dɔ²²	
掏	掏	dɔ²²	
勞	劳	lɔ²²	
牢	牢	lɔ²²	
嘮	唠	lɔ²²	
澇	涝	lɔ²²	
癆	痨	lɔ²²	癆病，肺病
曹	曹	dzɔ²²	
槽	槽	dzɔ²²	
巢	巢	dzɔ²²	
熬	熬	ŋɔ²²	
鰲	鳌	ŋɔ²²	
豪	豪	ɦɔ²²	
壕	壕	ɦɔ²²	
毫	毫	ɦɔ²²	
號	号	ɦɔ²²	
保	保	pɔ³⁵	
堡	堡	pɔ³⁵	
寶	宝	pɔ³⁵	
飽	饱	pɔ³⁵	
豹	豹	pɔ³⁵	
禱	祷	tɔ³⁵	
島	岛	tɔ³⁵	
倒	倒	tɔ³⁵	打倒
搗	捣	tɔ³⁵	
討	讨	tʰɔ³⁵	
早	早	tsɔ³⁵	
棗	枣	tsɔ³⁵	
蚤	蚤	tsɔ³⁵	
澡	澡	tsɔ³⁵	
爪	爪	tsɔ³⁵	
找	找	tsɔ³⁵	
草	草	tsʰɔ³⁵	
吵	吵	tsʰɔ³⁵	
炒	炒	tsʰɔ³⁵	
掃	扫	sɔ³⁵	
嫂	嫂	sɔ³⁵	
少	少	sɔ³⁵	
稿	稿	kɔ³⁵	
搞	搞	kɔ³⁵	
考	考	kʰɔ³⁵	
烤	烤	kʰɔ³⁵	烤肉，動詞
好	好	hɔ³⁵	好壞
襖	袄	ɔ³⁵	
懊	懊	ɔ³⁵	懊惱
抱	抱	bɔ²⁴	
卯	卯	mɔ²⁴	①表時辰：子醜寅卯②器物接榫處。候分候卯：不大不小剛好
道	道	dɔ²⁴	
稻	稻	dɔ²⁴	
老	老	lɔ²⁴	
𤶁	𤶁	lɔ²⁴	疙𤶁：瘡疥
佬	佬	lɔ²⁴	
皁	皂	zɔ²⁴	
皂	皂	zɔ²⁴	
造	造	zɔ²⁴	
絞	绞	ɡɔ²⁴	絞絲，成s形。手絞子：雙手交疊
咬	咬	ŋɔ²⁴	
報	报	pɔ⁴⁴	
暴	暴	pɔ⁴⁴	打暴：指冬天颳大風
趵	趵	pɔ⁴⁴	跳躍
炮	炮	pʰɔ⁴⁴	
泡	泡	pʰɔ⁴⁴	泡飯，湯飯
𣶐	𣶐	pʰɔ⁴⁴	𣶐一𣶐，在水中浸一浸或用開水沖洗一下
到	到	tɔ⁴⁴	
倒	倒	tɔ⁴⁴	倒水
套	套	tʰɔ⁴⁴	
躁	躁	tsɔ⁴⁴	
竈	灶	tsɔ⁴⁴	
灶	灶	tsɔ⁴⁴	
笊	笊	tsɔ⁴⁴	
罩	罩	tsɔ⁴⁴	
糙	糙	tsʰɔ⁴⁴	
耖	耖	tsʰɔ⁴⁴	農具
掃	扫	sɔ⁴⁴	名詞，掃帚
稍	稍	sɔ⁴⁴	
少	少	sɔ⁴⁴	少年
𢜶	𢜶	sɔ⁴⁴	急，快：豪𢜶來，趕快來
告	告	kɔ⁴⁴	
教	教	kɔ⁴⁴	教書
覺	觉	kɔ⁴⁴	睏覺：睡覺
靠	靠	kʰɔ⁴⁴	
烤	烤	kʰɔ⁴⁴	烤肉，菜名
鮳	鲓	kʰɔ⁴⁴	小魚乾
耗	耗	hɔ⁴⁴	
懊	懊	ɔ⁴⁴	懊悔
扷	扷	ɔ⁴⁴	把食物放入磨孔或放進嘴裏，由上到下的動作
詏	詏	ɔ⁴⁴	誣陷：詏儂一口。倒打一耙陷害人
鉋	铇	bɔ¹³	
爆	爆	bɔ¹³	
瀑	瀑	bɔ¹³	
暴	暴	bɔ¹³	
刨	刨	bɔ¹³	
雹	雹	bɔ¹³	
鮑	鲍	bɔ¹³	
曝	曝	bɔ¹³	
冒	冒	mɔ¹³	
帽	帽	mɔ¹³	
貌	貌	mɔ¹³	
旄	旄	mɔ¹³	
導	导	dɔ¹³	
盜	盗	dɔ¹³	
鬧	闹	nɔ¹³	
擱	搁	ɡɔ¹³	擱牢：擱住，架住
傲	傲	ŋɔ¹³	
鏊	鏊	ŋɔ¹³	鏊盤
號	号	ɦɔ¹³	號數
浩	浩	ɦɔ¹³	
標	标	piɔ⁵³	
彪	彪	piɔ⁵³	
膘	膘	piɔ⁵³	
飄	飘	pʰiɔ⁵³	
刁	刁	tiɔ⁵³	
貂	貂	tiɔ⁵³	
雕	雕	tiɔ⁵³	
挑	挑	tʰiɔ⁵³	
𠛪	𠛪	tʰiɔ⁵³	把肉中的刺等剔出來，𠛪刺
焦	焦	tɕiɔ⁵³	
蕉	蕉	tɕiɔ⁵³	
椒	椒	tɕiɔ⁵³	
朝	朝	tɕiɔ⁵³	今朝，今天
昭	昭	tɕiɔ⁵³	
招	招	tɕiɔ⁵³	
驕	骄	tɕiɔ⁵³	
沼	沼	tɕiɔ⁵³	
嬌	娇	tɕiɔ⁵³	
澆	浇	tɕiɔ⁵³	
交	交	tɕiɔ⁵³	
郊	郊	tɕiɔ⁵³	
膠	胶	tɕiɔ⁵³	
教	教	tɕiɔ⁵³	
超	超	tɕʰiɔ⁵³	
敲	敲	tɕʰiɔ⁵³	
𣖄	𣖄	tɕʰiɔ⁵³	盛飯勺兒，飯𣖄
鍬	锹	tɕʰiɔ⁵³	鐵鍬
繰	缲	tɕʰiɔ⁵³	繰邊，做衣服邊兒
撬	撬	tɕʰiɔ⁵³	用工具把封閉的物件打開
消	消	ɕiɔ⁵³	
宵	宵	ɕiɔ⁵³	
霄	霄	ɕiɔ⁵³	
銷	销	ɕiɔ⁵³	
燒	烧	ɕiɔ⁵³	
枵	枵	ɕiɔ⁵³	
囂	嚣	ɕiɔ⁵³	
蕭	萧	ɕiɔ⁵³	
簫	箫	ɕiɔ⁵³	
𢳚	𢳚	ɕiɔ⁵³	掀：𢳚蓋頭（把蓋子打開）
硝	硝	ɕiɔ⁵³	
妖	妖	iɔ⁵³	
邀	邀	iɔ⁵³	
要	要	iɔ⁵³	要求
腰	腰	iɔ⁵³	
吆	吆	iɔ⁵³	吆喝
僥	侥	iɔ⁵³	僥倖
幺	幺	iɔ⁵³	幺二三
嫖	嫖	biɔ²²	
瓢	瓢	biɔ²²	
苗	苗	miɔ²²	
描	描	miɔ²²	
瞄	瞄	miɔ²²	
條	条	diɔ²²	
調	调	diɔ²²	調和
鰷	鲦	diɔ²²	白鰷魚，魚名
燎	燎	liɔ²²	
療	疗	liɔ²²	
聊	聊	liɔ²²	
遼	遼	liɔ²²	
寥	寥	liɔ²²	
瞭	瞭	liɔ²²	
撩	撩	liɔ²²	
尥	尥	liɔ²²	向遠處撈物。同撩
喬	乔	dʑiɔ²²	
橋	桥	dʑiɔ²²	
蕎	荞	dʑiɔ²²	
僑	侨	dʑiɔ²²	
朝	朝	dʑiɔ²²	朝代
潮	潮	dʑiɔ²²	
藠	藠	dʑiɔ²²	藠頭。形似蒜頭的野生植物，可鹽制而食
嘲	嘲	dʑiɔ²²	嘲笑，譏笑
饒	饶	ȵiɔ²²	
繞	绕	ȵiɔ²²	
堯	尧	ȵiɔ²²	
擾	扰	ʑiɔ²²	
韶	韶	ʑiɔ²²	
紹	绍	ʑiɔ²²	
餚	肴	ɦiɔ²²	
淆	淆	ɦiɔ²²	
搖	摇	ɦiɔ²²	
謠	谣	ɦiɔ²²	
窯	窑	ɦiɔ²²	
窰	窑	ɦiɔ²²	
姚	姚	ɦiɔ²²	
表	表	piɔ³⁵	
漂	漂	pʰiɔ³⁵	漂一漂
鳥	鸟	tiɔ³⁵	
挑	挑	tʰiɔ³⁵	挑出來
䠷	䠷	tʰiɔ³⁵	出䠷，活躍出衆
矯	矫	tɕiɔ³⁵	
繳	缴	tɕiɔ³⁵	
絞	绞	tɕiɔ³⁵	
狡	狡	tɕiɔ³⁵	
剿	剿	tɕiɔ³⁵	
沼	沼	tɕiɔ³⁵	沼氣
巧	巧	tɕʰiɔ³⁵	
悄	悄	tɕʰiɔ³⁵	
蹺	跷	tɕʰiɔ³⁵	
小	小	ɕiɔ³⁵	
曉	晓	ɕiɔ³⁵	
少	少	ɕiɔ³⁵	
舀	舀	iɔ³⁵	舀水
杳	杳	iɔ³⁵	杳無音信
鰾	鰾	biɔ²⁴	
渺	渺	miɔ²⁴	
藐	藐	miɔ²⁴	
秒	秒	miɔ²⁴	
眇	眇	miɔ²⁴	
䩍	䩍	liɔ²⁴	臉色蒼白：其面孔䩍白
趙	赵	dʑiɔ²⁴	
繞	绕	ȵiɔ²⁴	繞牢，繞住
鳥	鸟	ȵiɔ²⁴	①鳥類②船架豎柱、底橫樑名稱
票	票	pʰiɔ⁴⁴	
漂	漂	pʰiɔ⁴⁴	漂洗
釣	钓	tiɔ⁴⁴	
吊	吊	tiɔ⁴⁴	
窵	窎	tiɔ⁴⁴	路遠、偏僻：窵角，偏僻的角落
跳	跳	tʰiɔ⁴⁴	
糶	粜	tʰiɔ⁴⁴	糶米，賣米
佻	佻	tʰiɔ⁴⁴	輕佻，輕浮
趒	趒	tʰiɔ⁴⁴	趒板，船靠岸時擱到碼頭上的長板
照	照	tɕiɔ⁴⁴	
昭	昭	tɕiɔ⁴⁴	
詔	诏	tɕiɔ⁴⁴	
叫	叫	tɕiɔ⁴⁴	
窖	窖	tɕiɔ⁴⁴	
較	较	tɕiɔ⁴⁴	
校	校	tɕiɔ⁴⁴	校對
餃	饺	tɕiɔ⁴⁴	餃子
礁	礁	tɕiɔ⁴⁴	
瞧	瞧	tɕiɔ⁴⁴	
俏	俏	tɕʰiɔ⁴⁴	俏麗，俊俏美麗
竅	窍	tɕʰiɔ⁴⁴	
笑	笑	ɕiɔ⁴⁴	
孝	孝	ɕiɔ⁴⁴	
酵	酵	ɕiɔ⁴⁴	發酵
鞘	鞘	ɕiɔ⁴⁴	刀鞘
要	要	iɔ⁴⁴	重要
廟	庙	miɔ¹³	
繆	缪	miɔ¹³	姓
妙	妙	miɔ¹³	
掉	掉	diɔ¹³	
調	调	diɔ¹³	調動
料	料	liɔ¹³	
撩	撩	liɔ¹³	撈：撩起來，撈起來
廖	廖	liɔ¹³	姓
轎	轿	dʑiɔ¹³	
召	召	ʑiɔ¹³	號召
邵	邵	ʑiɔ¹³	姓
兆	兆	ʑiɔ¹³	
耀	耀	ɦiɔ¹³	
鷂	鹞	ɦiɔ¹³	鷂子：風箏
校	校	ɦiɔ¹³	學校
召	召	ɦiɔ¹³	
巴	巴	po⁵³	
芭	芭	po⁵³	
笆	笆	po⁵³	
𧈢	𧈢	po⁵³	海蛤𧈢：蛤蜊
拿	拿	ʔno⁵³	
渣	渣	tso⁵³	
遮	遮	tso⁵³	
車	车	tsʰo⁵³	
叉	叉	tsʰo⁵³	
杈	杈	tsʰo⁵³	
鯧	鲳	tsʰo⁵³	鯧魚
沙	沙	so⁵³	
紗	纱	so⁵³	
奢	奢	so⁵³	
賒	赊	so⁵³	賒賬，欠賬
蓑	蓑	so⁵³	蓑衣，棕絲編成的雨衣
痧	痧	so⁵³	發痧：中暑
鯊	鲨	so⁵³	鯊魚
砂	砂	so⁵³	
家	家	ko⁵³	人家
加	加	ko⁵³	
傢	傢	ko⁵³	
瓜	瓜	ko⁵³	
嘉	嘉	ko⁵³	
䯊	䯊	kʰo⁵³	腳䯊頭：膝蓋
呵	呵	ho⁵³	
蝦	虾	ho⁵³	蝦米
鴉	鸦	o⁵³	
丫	丫	o⁵³	
椏	桠	o⁵³	樹椏杈：樹杈
爬	爬	bo²²	
琶	琶	bo²²	
杷	杷	bo²²	
薄	薄	bo²²	薄荷
巴	巴	bo²²	下巴
麻	麻	mo²²	
痲	痲	mo²²	
蟆	蟆	mo²²	蝦蟆
嬤	嬷	mo²²	
挪	挪	no²²	挪動
查	查	dzo²²	
茶	茶	dzo²²	
搽	搽	dzo²²	
蛇	蛇	dzo²²	
牙	牙	ŋo²²	
芽	芽	ŋo²²	
瓦	瓦	ŋo²²	
蚜	蚜	ŋo²²	
衙	衙	ŋo²²	
嗬	嗬	ɦo²²	
嚄	嚄	ɦo²²	
把	把	po³⁵	
朵	朵	to³⁵	
躲	躲	to³⁵	
拖	拖	tʰo³⁵	拖面
扯	扯	tsʰo³⁵	扯布：①買布②撕布
捨	舍	so³⁵	
所	所	so³⁵	
啥	啥	so³⁵	爲啥：爲什麼
假	假	ko³⁵	真假
戈	戈	ko³⁵	
蝦	虾	ho³⁵	魚蝦
啞	哑	o³⁵	啞子：啞巴
馬	马	mo²⁴	
碼	码	mo²⁴	
社	社	dzo²⁴	
惹	惹	zo²⁴	惹是非
伢	伢	ŋo²⁴	我
下	下	ɦo²⁴	底下
夏	夏	ɦo²⁴	姓
廈	厦	ɦo²⁴	廈門
欛	欛	po⁴⁴	①把手②錯處掌握在人手中
霸	霸	po⁴⁴	
壩	壩	po⁴⁴	堤壩
疤	疤	po⁴⁴	傷疤
怕	怕	pʰo⁴⁴	
嬤	嬷	ʔmo⁴⁴	嬤嬤：伯母
詐	诈	tso⁴⁴	
榨	榨	tso⁴⁴	
炸	炸	tso⁴⁴	
蔗	蔗	tso⁴⁴	
蚱	蚱	tso⁴⁴	蚱𧐖：知了
鮓	鲊	tso⁴⁴	鮓魚
岔	岔	tsʰo⁴⁴	
瘥	瘥	tsʰo⁴⁴	病瘥眼：病好點了
赦	赦	so⁴⁴	
舍	舍	so⁴⁴	
騇	騇	so⁴⁴	
啥	啥	so⁴⁴	啥西：什麼東西
廈	廈	so⁴⁴	前廊後廈
駕	驾	ko⁴⁴	
架	架	ko⁴⁴	
嫁	嫁	ko⁴⁴	
價	价	ko⁴⁴	
掛	挂	ko⁴⁴	
褂	褂	ko⁴⁴	
揢	揢	kʰo⁴⁴	抓，捕：揢人，抓人
跨	跨	kʰo⁴⁴	
煆	煆	ho⁴⁴	食物再蒸：煆一煆：熟的食物略蒸一下
掗	挜	o⁴⁴	強予人物：掗把儂（硬要給你）
耙	耙	bo¹³	
䶕	䶕	bo¹³	䶕牙
稗	稗	bo¹³	稗草
罵	骂	mo¹³	
乍	乍	dzo¹³	
麝	麝	zo¹³	麝香
射	射	zo¹³	眼睛射過來：目光銳利地看
砑	砑	ŋo¹³	砑平：用重得圓體器具壓平
夏	夏	ɦo¹³	
下	下	ɦo¹³	下面
丟	丢	tiu⁵³	
舟	舟	tɕiu⁵³	
周	周	tɕiu⁵³	
州	州	tɕiu⁵³	
洲	洲	tɕiu⁵³	
鳩	鸠	tɕiu⁵³	
鬮	阄	tɕiu⁵³	
糾	纠	tɕiu⁵³	
揪	揪	tɕiu⁵³	揪牢：扭住
𩭓	𩭓	tɕiu⁵³	
秋	秋	tɕʰiu⁵³	
抽	抽	tɕʰiu⁵³	
丘	丘	tɕʰiu⁵³	
揪	揪	tɕʰiu⁵³	
𥫷	𥫷	tɕʰiu⁵³	篾𥫷：箍桶匠用的篾束
𥻤	𥻤	tɕʰiu⁵³	把水吸乾
修	修	ɕiu⁵³	
羞	羞	ɕiu⁵³	
收	收	ɕiu⁵³	
休	休	ɕiu⁵³	
憂	忧	iu⁵³	
優	优	iu⁵³	
悠	悠	iu⁵³	
又	又	iu⁵³	
幽	幽	iu⁵³	
攸	攸	iu⁵³	
流	流	liu²²	
劉	刘	liu²²	
留	留	liu²²	
榴	榴	liu²²	
硫	硫	liu²²	
琉	琉	liu²²	
塯	塯	liu²²	泥塯：被海水浸過並曬得半乾的灘泥，是製鹽的一道工序
囚	囚	dʑiu²²	
泅	泅	dʑiu²²	
綢	绸	dʑiu²²	
稠	稠	dʑiu²²	
籌	筹	dʑiu²²	
紂	纣	dʑiu²²	
宙	宙	dʑiu²²	
仇	仇	dʑiu²²	
讎	仇	dʑiu²²	
求	求	dʑiu²²	
球	球	dʑiu²²	
牛	牛	ȵiu²²	
尤	尤	ɦiu²²	
郵	邮	ɦiu²²	
油	油	ɦiu²²	
由	由	ɦiu²²	
游	游	ɦiu²²	
猶	犹	ɦiu²²	
遊	遊	ɦiu²²	
魷	鱿	ɦiu²²	魷魚
酒	酒	tɕiu³⁵	
帚	帚	tɕiu³⁵	
九	九	tɕiu³⁵	
久	久	tɕiu³⁵	
韭	韭	tɕiu³⁵	
灸	灸	tɕiu³⁵	
糾	纠	tɕiu³⁵	糾正
丑	丑	tɕʰiu³⁵	
醜	醜	tɕʰiu³⁵	
手	手	ɕiu³⁵	
首	首	ɕiu³⁵	
守	守	ɕiu³⁵	
朽	朽	ɕiu³⁵	
柳	柳	liu²⁴	
溜	溜	liu²⁴	鞋溜：鞋拔兒
舅	舅	dʑiu²⁴	
臼	臼	dʑiu²⁴	
咎	咎	dʑiu²⁴	
紐	纽	ȵiu²⁴	
扭	扭	ȵiu²⁴	
受	受	ʑiu²⁴	
有	有	ɦiu²⁴	
友	友	ɦiu²⁴	
酉	酉	ɦiu²⁴	
誘	诱	ɦiu²⁴	
受	受	ɦiu²⁴	
晝	昼	tɕiu⁴⁴	
咒	咒	tɕiu⁴⁴	
救	救	tɕiu⁴⁴	
究	究	tɕiu⁴⁴	
臭	臭	tɕʰiu⁴⁴	
秀	秀	ɕiu⁴⁴	
綉	绣	ɕiu⁴⁴	
繡	绣	ɕiu⁴⁴	
銹	锈	ɕiu⁴⁴	
鏽	锈	ɕiu⁴⁴	
獸	兽	ɕiu⁴⁴	
嗅	嗅	ɕiu⁴⁴	
㾋	㾋	ɕiu⁴⁴	皮膚上的小疙瘩
幼	幼	iu⁴⁴	
溜	溜	liu¹³	
餾	馏	liu¹³	
就	就	dʑiu¹³	
舊	旧	dʑiu¹³	
柩	柩	dʑiu¹³	靈柩：棺材
售	售	dʑiu¹³	
袖	袖	ʑiu¹³	
就	就	ʑiu¹³	
壽	寿	ʑiu¹³	
授	授	ʑiu¹³	
袖	袖	ɦiu¹³	
右	右	ɦiu¹³	
祐	祐	ɦiu¹³	
柚	柚	ɦiu¹³	
釉	釉	ɦiu¹³	
授	授	ɦiu¹³	
壽	寿	ɦiu¹³	
花	花	huo⁵³	
蛙	蛙	uo⁵³	
划	划	uo⁵³	划船
漥	漥	uo⁵³	
華	华	ɦuo²²	中華
鏵	铧	ɦuo²²	
化	化	huo⁴⁴	
華	华	ɦuo¹³	華山
樺	桦	ɦuo¹³	
畫	画	ɦuo¹³	
話	话	ɦuo¹³	
班	班	pɛ⁵³	
斑	斑	pɛ⁵³	
頒	颁	pɛ⁵³	
扳	扳	pɛ⁵³	
般	般	pɛ⁵³	
扳	扳	pɛ⁵³	搖槳時把槳往自己身邊拉：扳槳
攀	攀	pʰɛ⁵³	
藩	藩	fɛ⁵³	
翻	翻	fɛ⁵³	
番	番	fɛ⁵³	
耽	耽	tɛ⁵³	
擔	担	tɛ⁵³	
膽	胆	tɛ⁵³	
丹	丹	tɛ⁵³	
單	单	tɛ⁵³	
撣	掸	tɛ⁵³	撣灰塵
耽	耽	tɛ⁵³	安耽：安逸
坍	坍	tʰɛ⁵³	
毯	毯	tʰɛ⁵³	
灘	滩	tʰɛ⁵³	
癱	瘫	tʰɛ⁵³	
攤	摊	tʰɛ⁵³	
劗	劗	tsɛ⁵³	切、剁：劗肉
㜺	㜺	tsɛ⁵³	美、好：該衣裳式樣蠻㜺。（這衣服式樣很美）
讚	讚	tsɛ⁵³	褒揚：其做勒蠻讚。（他做得很好）
參	参	tsʰɛ⁵³	
攙	搀	tsʰɛ⁵³	
餐	餐	tsʰɛ⁵³	
摻	掺	tsʰɛ⁵³	摻水
三	三	sɛ⁵³	
杉	杉	sɛ⁵³	
衫	衫	sɛ⁵³	
珊	珊	sɛ⁵³	
山	山	sɛ⁵³	
刪	删	sɛ⁵³	
舢	舢	sɛ⁵³	舢舨：小船名
奸	奸	kɛ⁵³	
尷	尴	kɛ⁵³	
墈	墈	kʰɛ⁵³	
龕	龛	kʰɛ⁵³	
嵌	嵌	kʰɛ⁵³	
刊	刊	kʰɛ⁵³	
艦	舰	kʰɛ⁵³	
鉛	铅	kʰɛ⁵³	
𨂝	𨂝	bɛ²²	跨：過起（跨過去）
爿	爿	bɛ²²	量詞：一爿店
瓪	瓪	bɛ²²	瓦瓪：碎瓦
蠻	蛮	mɛ²²	野蠻
