#符号说明：-白=文/书*俗?待考	
#调值	［1］53［2］31［5］423［6］213［7］5［8］23
#ɿ	
khuɘ [1]夸[5]跨	
uɘ [1]搲蛙-	
huɘ [1]花[5]化	
ɦuɘ [2]华桦[6]划{~船}画话	
#e	
pe [1]扳颁班斑般[5]扮瓣板版𢲔	
phe [1]盼攀[5]襻鋬	
be [2]𨂝爿[6]办	
me [1]埋蛮[2]蛮玩[6]慢漫幔晚-{~娘：继母}万-{~三句}迈没{不及物动词，表示“没有”，后面不可以接任何词}	
fe [1]贩翻番[5]泛反㽹	
ve [1]勿[2]矾繁帆凡[5]晚={~会}[6]范犯患烦饭万={一~}	
te [1]耽担丹单={~独}[5]戴{姓}胆担疸旦诞石{容积单位}	
the [1]胎坍滩={~簧，外~，沙~}摊={地~，小~头}瘫={~痪}苔{舌~}台{~州}[5]太={欺人~甚}炭□{烧坏}态毯坦叹	
de [2]台抬待怠谈痰坛弹={~琴}檀[6]贷台苔代袋逮但弹蛋={~白质，~糕}绐{松，失去弹性}	
ne [2]难{~题}[6]乃耐奶={老~~}难{落~}	
le [2]来蓝篮览揽榄滥兰栏={~杆，猪~}[6]赖=癞=婪缆懒烂	
ʦe [1]灾再劗栽[5]宰斩蘸赞盏者{作~}	
ʦhe [1]猜搀□{推}[5]彩采踩睬菜灿铲产={生~}忏	
se [1]腮鳃三杉衫钐珊山疝衰[5]赛碎帅散={松~，~漫}	
ze [2]纔才材财裁豺馋𧐮[6]在罪{~过：可怜}惭暂赚灒残绽栈	
ke [1]该监艰-{~难}奸-间-{房~}尴垓赅[5]痂改丐橄减碱襉拣间-{日~日}概溉鉴锏盖	
khe [1]开凯铅[5]嵌槛慨舰-	
ɡe [6]隑戤	
ŋe [2]呆艾颜岩衔{~头：头衔}[6]碍眼	
e [1]哀[5]爱	
he [1]桸{舀}[5]海喊	
ɦe [2]咸衔闲孩[6]亥害械限陷-{缺~}	
#ie	
ʨie [1]奸=	
ʨhie [5]舰=	
ȵie [2]鲇鲶[6]念廿罱	
ɦie [2]谐[6]械	
#ue	
kue [1]关冠{鸡~花}[5]贯惯	
khue [1]筷[5]快=	
ɡue [2]顽环[6]掼	
ue [1]弯湾[5]幻还挽	
hue [5]甩	
ɦue [2]怀还[6]外={“正当个不多，协~个不少”}	
#ɜ	
pɜ [1]蓖杯碑卑彼悲□{拉}[5]背{~负，脊~}贝辈	
phɜ [1]胚坯丕[5]配剖判沛	
bɜ [2]陪赔培[6]倍佩焙被备疿背{~弃，~诵}痱	
mɜ [1]每[2]煤眉={~目，燃~之急}楣霉媚梅媒玫莓谋[5]美镁[6]谜-{猜~~子}妹昧某亩={~产}茂贸□{引火未旺，火又未全灭}	
fɜ [5]否	
vɜ [2]浮-{小~尸}[6]负	
tɜ [1]堆兜[5]对碓斗抖	
thɜ [1]推偷[5]腿退㪗透褪蜕	
dɜ [2]头投[6]队兑豆痘逗	
nɜ [6]内	
lɜ [1]搂{~取：挖}[2]雷楼留-{~种，~伊饭吃}疁{嘉定的别称}瘤溇娄[5]搂{~抱}謱{~~：较乱}[6]类漏垒累儡擂	
ʦɜ [1]追周舟州洲[5]最醉走奏昼皱={~纹}咒帚	
ʦhɜ [1]催崔摧吹={~捧}炊抽猜[5]脆凑丑臭	
sɜ [1]虽搜飕馊漱收[5]岁税锐嗽瘦手首守兽水={一般用于人名}	
zɜ [2]谁就-绸愁揉髓=随垂锤=筹酬仇柔[6]罪{犯~}睡瑞隧穗=受寿授售□{愚笨，话多}□{积聚}	
kɜ [1]沟裾{饭单~：围裙}居{拥有：~铜钱}勾钩[5]锯-{~子，截铁~}勾{~当}狗苟够彀构购	
khɜ [1]抠眍□{守着}[5]口扣寇叩	
ɡɜ [2]𧺤	
ŋɜ [5]偶[6]藕	
ɜ [1]欧[5]呕殴怄	
hɜ [1]虚-{五~六肿}□{背微驼}呴□{用筷子把饭拨到嘴里}[5]许{许诺，答应}吼鲎{虹}	
ɦɜ [2]侯喉猴[6]后厚候	
#uɜ	
kuɜ [1]闺规轨归{~去}冠龟={~类，~甲}[5]瑰会{~计，~稽山}刽桧桂诡鬼={~魂，~子}贵={~客，宝~}冠贯管	
khuɜ [1]奎亏={~本}[5]傀块款	
ɡuɜ [2]葵逵[6]桅跪={~地，~求}愧柜={冰~}溃	
uɜ [1]煨萎威[5]会{动词}委餧畏	
huɜ [1]盔恢灰欢挥辉徽[5]贿悔晦毁	
ɦuɜ [2]回茴为围={包~，~墙}违韦丸危[6]会{~议}卫惠慧伪为位巍魏慰伟苇纬={经~，~度}胃谓猬汇	
#i	
pi [1]鞭编边搬[5]篦{避免与“屄”同音}变蝙扁匾半遍{一~}	
phi [1]潘[5]篇偏骗遍{~地，普~}片	
bi [2]盘瀊{溢出}[6]辩辨辫拌叛{躲藏}□{走路脚内八字}便绊伴	
mi [2]绵棉眠馒瞒[5]免勉[6]面鳗满颟缅	
vi [1]勿	
ti [1]颠[5]掂踮点店典	
thi [1]贪添天[5]探舔㮇忝	
di [2]潭谭坛甜钱{铜~}田佃钿{“钱”的俗字，铜~}滇[6]电殿垫㼭淀	
ni [2]南男	
li [2]镰帘连联怜莲恋□{梳理}[5]{~~謱謱：较乱}[6]脸练炼链楝	
ʦi [1]尖煎毡砖瞻专占{~卜}[5]者{或~}占{~领，~便宜}剪箭展战转	
ʦhi [1]且参{~加}歼签扦纤{~维}迁千川穿椠{削：~梨，~皮}惨喘串餐[5]浅	
si [1]仙鲜先闩宣籼[5]洗{避免与“死”同音}闪癣线搧扇筅选陕首{后~来：后来}	
zi [2]蚕潜蟾潺钱{姓}缠蝉禅{~宗}然燃前全泉旋传椽传船□{拔}[6]社贱旋渐染={传~病}践禅{~让}善膳单{姓}射	
ʨi [1]肩坚搛艰={~苦}间={空~}[5]检剑间={~断，离~}简柬建毽茧趼见	
ʨhi [1]牵谦[5]欠歉遣纤{~绳}	
ʥi [2]钳乾掮{单肩扛}揵{举起}[6]俭件键健	
ɕi [1]妗{出示、炫耀：~出来，~夹夹}掀轩[5]险苋宪献显□{鲜艳}	
ȵi [1]拈捻研[2]阎严年{过~，~纪}原{~旧}黏[6]染-{~色}验碾砚谚	
ki [1]甘柑泔[5]盖{本字为“㔶”}感敢赣㔶{盖}	
khi [1]□{前额朝前突出}[5]坎砍勘□{碰撞}	
ŋi [1]岩粘[2]原{没有使用过的}[6]岸软	
i [1]庵欧{~家桥}也={之乎者~}厣靥烟淹腌[5]揞暗阉掩魇堰宴燕咽䞁晏={~子}	
hi [1]蚶	
ɦi [2]含炎盐檐艳嫌延蜒言贤沿[6]焰演现陷={~害，~阱}厌	
#ui	
kui [1]官棺冠观[5]管馆贯灌罐观冠	
khui [1]宽[5]款	
ui [5]缓皖豌碗腕	
hui [1]欢[5]唤	
ɦui [2]玩完[6]换	
#o	
po [1]包[5]保宝堡报饱豹趵爆{~炒，~鱼}	
pho [1]抛[5]泡脬炮	
bo [2]袍跑雹[6]抱暴爆{~炸}刨爮	
mo [2]毛猫锚茅[6]冒帽牡卯貌	
to [1]刀叨{唠~}[5]倒岛祷捣到	
tho [1]叨{~光}滔[5]讨套	
do [2]桃逃淘陶萄涛掏[6]稻盗蹈道导	
no [2]挠[6]脑恼闹	
lo [1]唠老{~师}[2]萝{~卜}劳牢捞痨[6]老姥涝	
ʦo [1]糟遭昭招抓-{~痒}朝[5]早枣澡灶罩爪照找沼躁{际~}藻	
ʦho [1]抄超钞操[5]躁{脾气躁}操草騲糙吵□{洗擦}炒藻{蕰~浜}	
so [1]骚梢筲{~箕：淘米器具}稍哨烧𥳓[5]嫂扫燥肖{生~}少𢜶	
