字	音	注
糕	ko[1]	
郭	ko[1]	
□	ko[2]	～so44：蜘蛛
鸽	ko[2]	
□	ko[2]	连词，和；介词，对
各	ko[2]	
角	ko[2]	
果	ko[3]	
稿	ko[3]	
告	ko[5]	
科	kʰo[1]	
考	kʰo[3]	～书：考试
烤	kʰo[3]	文读
去	kʰo[5]	
靠	kʰo[5]	
花	ho[1]	
和	ho[2]	ho-44kʰi35：和气
何	ho[2]	文读
荷	ho[2]	文读
华	ho[2]	
划	ho[2]	～ʃø22：划船
豪	ho[2]	
毫	ho[2]	
壕	ho[2]	文读
好	ho[3]	
浩	ho[3]	文读
货	ho[5]	
化	ho[6]	文读，～hoʔ54：化学
画	ho[6]	
号	ho[6]	
□	ho[6]	～ŋie51：铰链
鹅	ŋo[2]	
□	ŋo[6]	～ʃɛ51：说话。
欧	∅o[1]	文读
恶	∅o[2]	
袄	∅o[3]	文读，棉～
藕	∅o[3]	文读
笔	pi[2]	
毕	pi[2]	
逼	pi[2]	
比	pi[3]	
币	pi[5]	
毙	pi[5]	
蓖	pi[5]	
箅	pi[5]	
庇	pi[5]	
痹	pi[5]	
必	pi[6]	
批	pʰi[1]	
披	pʰi[1]	
琵	pʰi[1]	～琶
皮	pʰi[2]	
脾	pʰi[2]	
匹	pʰi[2]	
鼻	pʰi[5]	嗅
备	pʰi[6]	
鼻	pʰi[6]	
篦	pʰi[6]	又音pʰɛ51
谜	mi[2]	
米	mi[3]	
秘	mi[6]	
堤	ti[1]	
池	ti[2]	
抵	ti[3]	
帝	ti[5]	
子	ti[5]	油菜～：油菜。“子”是词缀
题	tʰi[2]	
提	tʰi[2]	文读
体	tʰi[3]	
剃	tʰi[5]	
弟	tʰi[6]	徒～。又音tʰɛʔ32
替	tʰi[6]	
涕	tʰi[6]	pʰi51～：鼻涕
第	tʰi[6]	
递	tʰi[6]	
离	li[2]	
璃	li[2]	
尼	li[2]	
梨	li[2]	
厘	li[2]	
里	li[3]	
理	li[3]	
李	li[5]	
例	li[6]	
厉	li[6]	
励	li[6]	文读
隶	li[6]	
荔	li[6]	
利	li[6]	
痢	li[6]	
资	tsi[1]	
芝	tsi[1]	
址	tsi[3]	文读
挤	tsi[3]	
止	tsi[3]	
趾	tsi[3]	
址	tsi[3]	
智	tsi[5]	文读
至	tsi[5]	冬～
子	tsi[5]	油菜～：油菜结的子。又音ti35
痔	tsi[5]	
痣	tsi[5]	
瓷	tsʰi[2]	
粢	tsʰi[2]	
迟	tsʰi[2]	
慈	tsʰi[2]	
磁	tsʰi[2]	～tʰa22：～铁
辞	tsʰi[2]	
祠	tsʰi[2]	
持	tsʰi[2]	文读
七	tsʰi[2]	
自	tsʰi[6]	
字	tsʰi[6]	
置	tsʰi[6]	
□	tsʰi[6]	治～：医病
疾	tsʰi[6]	治～：医病
己	tsʰi[6]	
师	si[1]	～傅
西	si[1]	
斯	si[1]	
私	si[1]	
尸	si[1]	
司	si[1]	
丝	si[1]	
思	si[1]	
是	si[1]	文读，～hy44：是非
息	si[2]	
熄	si[2]	
惜	si[2]	
死	si[3]	
四	si[5]	
饲	si[6]	
汁	tʃi[2]	muʔ54～目汁：眼泪
浙	tʃi[2]	
质	tʃi[2]	
执	tʃi[2]	
治	tʃi[5]	～tsʰi51：医病
□	tʃʰi[1]	疯
失	ʃi[1]	文读
时	ʃi[2]	
始	ʃi[2]	开～
室	ʃi[2]	
眵	ʃi[3]	
屎	ʃi[3]	
世	ʃi[5]	
势	ʃi[5]	
市	ʃi[5]	
试	ʃi[5]	
史	ʃi[6]	
箕	ki[1]	
支	ki[1]	
枝	ki[1]	
基	ki[1]	
几	ki[1]	文读，～乎
机	ki[1]	
饥	ki[1]	文读
击	ki[1]	文读
吉	ki[2]	
橘	ki[2]	
缉	ki[2]	
集	ki[2]	
辑	ki[2]	
急	ki[2]	
级	ki[2]	
及	ki[2]	又音kʰiʔ54
绩	ki[2]	成～
纪	ki[3]	
几	ki[3]	①～ta44tsa22：几个；②～ta44：几多，即多少
囝	ki[5]	～ti35：①小孩子；②青年人
锯	ki[5]	～ti35：锯子
祭	ki[5]	～ʃin22：～神
际	ki[5]	
济	ki[5]	
计	ki[5]	
继	ki[5]	
技	ki[5]	
妓	ki[5]	文读
激	ki[5]	文读，tsʰi44～：刺～
季	ki[5]	
积	ki[2]	
欺	kʰi[1]	
畦	kʰi[2]	
奇	kʰi[2]	
骑	kʰi[2]	
其	kʰi[2]	
棋	kʰi[2]	hɔ51～：下棋
期	kʰi[2]	
起	kʰi[3]	～火：生气
启	kʰi[3]	
企	kʰi[3]	
起	kʰi[3]	
杞	kʰi[3]	kai42～：枸～
乞	kʰi[3]	文读
器	kʰi[5]	
弃	kʰi[5]	文读
柿	kʰi[5]	
气	kʰi[5]	
汽	kʰi[5]	
墟	hi[1]	
希	hi[1]	
嘻	hi[1]	①玩；②歇
吸	hi[2]	
戏	hi[5]	
蜈	ŋi[2]	～kuŋ44：蜈蚣
鱼	ŋi[2]	
余	ŋi[2]	姓
蚁	ŋi[5]	～ti35：蚂蚁
□	∅i[1]	～ʃiɛ35：哪里；～piɛn-22：那儿
医	∅i[1]	
衣	∅i[1]	～裳
□	∅i[1]	～sɔ22：谁
仪	∅i[2]	
移	∅i[2]	
疑	∅i[2]	
一	∅i[2]	
以	∅i[3]	
乙	∅i[3]	
艺	∅i[5]	
易	∅i[5]	
议	∅i[5]	
义	∅i[5]	
夷	∅i[5]	
姨	∅i[5]	
意	∅i[5]	
亿	∅i[5]	
译	∅i[5]	文读
疫	∅i[5]	文读
毅	∅i[6]	文读
腹	pu[1]	①kʰau44～tʰai35骹～头：膝盖；②～ti35：内脏
腹	pu[2]	～kʰyɛ̃232腹缺：饿
剥	pu[2]	
布	pu[5]	～44ko35：布告
铺	pʰu[1]	
蒲	pʰu[2]	
菩	pʰu[2]	
谱	pʰu[3]	文读
普	pʰu[3]	
步	pʰu[6]	
摸	mu[1]	
牡	mu[3]	文读
都	tu[1]	文读
堵	tu[3]	
赌	tu[3]	
昼	tu[5]	tɔ̃44～当昼：中午
肚	tu[6]	猪～
徒	tʰu[2]	～tʰi51：徒弟
途	tʰu[2]	文读
涂	tʰu[2]	
图	tʰu[2]	文读
土	tʰu[3]	
吐	tʰu[5]	
兔	tʰu[5]	～ti35：兔子
镀	tʰu[6]	
庐	lu[2]	
奴	lu[2]	
卢	lu[2]	姓
炉	lu[2]	
庐	lu[2]	
如	lu[2]	
□	lu[3]	kʰu42～tʃy42：漱口
努	lu[3]	文读
鲁	lu[3]	文读
租	tsu[1]	
州	tsu[1]	惠～；地名
祖	tsu[3]	文读
组	tsu[3]	
肘	tsu[3]	
帚	tsu[3]	
粗	tsʰu[1]	
初	tsʰu[1]	
愁	tsʰu[2]	
仇	tsʰu[2]	
粟	tsʰu[2]	稻谷
皱	tsʰu[2]	
储	tsʰu[3]	文读
楚	tsʰu[3]	
处	tsʰu[3]	
丑	tsʰu[3]	子～寅卯
醋	tsʰu[5]	
臭	tsʰu[5]	～-44tsʰai22：馊
助	tsʰu[6]	
就	tsʰu[6]	
祝	tsʰu[6]	～iŋ44tʰa35：～英台
苏	su[1]	
酥	su[1]	
梳	su[1]	～ti35：梳子
收	su[1]	～据
所	su[3]	
手	su[3]	
守	su[3]	
首	su[3]	
数	su[5]	
岁	su[5]	～数
受	su[5]	文读，接～。又音su232
兽	su[5]	
寿	su[5]	
授	su[5]	文读
素	su[6]	文读
塑	su[6]	
竖	su[6]	文读
姑	ku[1]	
孤	ku[1]	文读
跍	ku[1]	～tsu35：蹲
牯	ku[3]	鸡～：公鸡
古	ku[3]	
估	ku[3]	
股	ku[3]	文读
鼓	ku[3]	
故	ku[5]	
固	ku[5]	文读
雇	ku[5]	
顾	ku[5]	
箍	kʰu[1]	
枯	kʰu[1]	
壳	kʰu[2]	
哭	kʰu[2]	
可	kʰu[3]	～si22：可惜。又音kʰuei42
苦	kʰu[3]	
虎	kʰu[3]	
□	kʰu[3]	～lu42tʃy42：漱口
库	kʰu[5]	
裤	kʰu[5]	
□	kʰu[6]	傻
呼	hu[1]	文读
肤	hu[1]	
胡	hu[2]	
湖	hu[2]	
狐	hu[2]	
符	hu[2]	
扶	hu[2]	
芙	hu[2]	～蓉
芋	hu[2]	～tʰai35：芋头
福	hu[2]	
伏	hu[2]	
许	hu[3]	
府	hu[3]	tsin35～：政府
抚	hu[3]	
甫	hu[3]	
腐	hu[3]	文读
辅	hu[3]	
雨	hu[3]	
户	hu[5]	
父	hu[5]	文读
富	hu[5]	
副	hu[5]	
负	hu[6]	
付	hu[6]	
附	hu[6]	
护	hu[6]	文读
腐	hu[6]	tʰai51～：豆腐
傅	hu[6]	师～
吴	ŋu[2]	
梧	ŋu[2]	～44tʰuŋ22：梧桐
五	ŋu[3]	
伍	ŋu[3]	姓
乌	∅u[1]	tsʰau44～：烧焦；～la44la22：黑乎乎
巫	∅u[1]	文读
□	∅u[1]	tsau44～：早晨
语	∅u[3]	～录
武	∅u[3]	文读
□	∅u[3]	拋。又音kau42
误	∅u[5]	
务	∅u[6]	
雾	∅u[6]	
肥	pʰy[2]	～料；～猪
补	pʰy[3]	又音pʰyʔ32
屁	pʰy[5]	
孵	pʰy[6]	
吠	pʰy[6]	
追	ty[1]	
竹	ty[2]	
阻	ty[3]	
□	ty[3]	刺，扎，动词
锤	tʰy[1]	
除	tʰy[2]	
厨	tʰy[2]	～sɿ44：厨师
□	tʰy[2]	咳嗽，单用
□	tʰy[2]	tʃy44～；抽屉
居	tʰy[6]	
柱	tʰy[6]	
住	tʰy[6]	
橱	tʰy[6]	～ti35：橱子
吕	ly[3]	文读
旅	ly[3]	
虑	ly[6]	
株	tʃy[1]	
朱	tʃy[1]	
珠	tʃy[1]	目～：眼睛
周	tʃy[1]	
粥	tʃy[2]	
卒	tʃy[2]	
烛	tʃy[2]	
煮	tʃy[3]	
主	tʃy[3]	
嘴	tʃy[3]	
注	tʃy[5]	
蛀	tʃy[5]	
最	tʃy[5]	
鼠	tʃʰy[3]	
取	tʃʰy[3]	
趣	tʃʰy[6]	文读
树	tʃʰy[6]	
醉	tʃʰy[6]	
书	ʃy[1]	kʰo42～：考试
舒	ʃy[1]	～huʔ54：舒服
需	ʃy[1]	
输	ʃy[1]	
徐	ʃy[2]	
薯	ʃy[2]	huan44～；番薯
叔	ʃy[2]	aʔ32～：阿叔
暑	ʃy[3]	
水	ʃy[3]	
税	ʃy[5]	
遂	ʃy[5]	文读，～tʰo51：遂道
序	ʃy[6]	
拘	ky[1]	文读
规	ky[1]	
龟	ky[1]	乌～
归	ky[1]	文读
菊	ky[2]	～ho44：～花
举	ky[3]	
矩	ky[3]	
诡	ky[3]	～计
鬼	ky[3]	
□	ky[3]	白眼，动词
据	ky[5]	收～
句	ky[5]	ka44～fe51一句事：一句话
桂	ky[5]	
柜	ky[5]	文读
桂	ky[5]	
贵	ky[5]	
车	ky[6]	～马炮
区	kʰy[1]	
盔	kʰy[1]	
亏	kʰy[1]	
丘	kʰy[1]	
屈	kʰy[1]	文读
渠	kʰy[2]	
猪	kʰy[3]	
槌	kʰy[3]	tsuŋ44～tʰy35：春米用的木槌。又音tʰy44
锄	kʰy[5]	名词
愧	kʰy[5]	文读
具	kʰy[6]	kɔ44～：家具
距	kʰy[6]	
跪	kʰy[6]	
臼	kʰy[6]	
□	kʰy[6]	～sy51su44：吸血的小蠓虫
虚	hy[1]	
嘘	hy[1]	～～子：□哨
恢	hy[1]	
非	hy[1]	si44～：是非
飞	hy[1]	文读，～机。又音pʰuɛʔ32
挥	hy[1]	文读
辉	hy[1]	文读
徽	hy[1]	ɔ̃44～：安徽
毁	hy[3]	
匪	hy[3]	文读
废	hy[5]	
肺	hy[5]	
惠	hy[5]	～tsu44：～州
慧	hy[5]	
费	hy[5]	
牛	ŋy[3]	～44mɔ22：母牛
危	∅y[1]	
威	∅y[1]	文读
于	∅y[2]	姓
违	∅y[2]	文读
围	∅y[2]	
羽	∅y[3]	
伪	∅y[3]	文读
委	∅y[3]	
伟	∅y[3]	
预	∅y[5]	
喻	∅y[5]	
裕	∅y[5]	
□	∅y[5]	腻
幼	∅y[5]	～ɔʔ32ŋø̃22：～儿园
卫	∅y[6]	
位	∅y[6]	
味	∅y[6]	
魏	∅y[6]	
胃	∅y[6]	
谓	∅y[6]	
牒	tiɛ[2]	文读
殓	liɛ[6]	文读
捏	liɛ[6]	文读
哲	tsiɛ[2]	
节	tsiɛ[2]	
癬	tsʰiɛ[2]	
漆	tsʰiɛ[2]	
菜	tsʰiɛ[5]	
赊	siɛ[1]	
茧	tʃiɛ[1]	
截	tʃiɛ[2]	
窄	tʃiɛ[2]	
责	tʃiɛ[2]	
接	tʃiɛ[2]	
折	tʃiɛ[2]	
纸	tʃiɛ[3]	
齿	tʃʰiɛ[1]	～～22la232：舌头
册	tʃʰiɛ[2]	
策	tʃʰiɛ[2]	tʃiŋ44～：政～
湿	tʃʰiɛ[2]	～pai42pai42：湿透
齿	tʃʰiɛ[3]	～44～：牙齿
菜	tʃʰiɛ[5]	hɔ22～：夹菜。又音tsʰiɛ35
□	tʃʰiɛ[5]	打击乐器，扁圆形，中心隆起，由两片相撞发声
虱	ʃiɛ[1]	
涩	ʃiɛ[2]	
色	ʃiɛ[2]	
蛇	ʃiɛ[2]	
钥	ʃiɛ[2]	锁～
杰	kiɛ[2]	
艾	ŋiɛ[6]	
□	ŋiɛ[6]	ho51～：铰链
杯	puɛ[1]	
碑	puɛ[1]	
□	puɛ[1]	～luɛ22：蘸
贝	puɛ[5]	
背	puɛ[5]	人体部位
陪	pʰuɛ[2]	
赔	pʰuɛ[2]	
培	pʰuɛ[2]	文读
被	pʰuɛ[3]	棉被
倍	pʰuɛ[6]	
辈	pʰuɛ[6]	
背	pʰuɛ[6]	～书
焙	pʰuɛ[6]	烘干
梅	muɛ[2]	
媒	muɛ[2]	
煤	muɛ[2]	
霉	muɛ[2]	
每	muɛ[3]	
尾	muɛ[3]	
□	muɛ[5]	～-44sɔ̃44：无所谓
妹	muɛ[6]	tʃyø42～；群姊
堆	tuɛ[1]	
端	tuɛ[2]	
短	tuɛ[3]	
对	tuɛ[5]	
队	tuɛ[5]	
兑	tuɛ[5]	
胎	tʰuɛ[1]	
梯	tʰuɛ[1]	
推	tʰuɛ[1]	
腿	tʰuɛ[3]	
退	tʰuɛ[5]	
蜕	tʰuɛ[5]	
袋	tʰuɛ[6]	
脶	luɛ[2]	
雷	luɛ[2]	
□	luɛ[2]	puɛ44～；蘸
捋	luɛ[2]	
内	luɛ[6]	
累	luɛ[6]	
类	luɛ[6]	
岁	tsuɛ[5]	一～。又音su35
晬	tsuɛ[5]	一～。又音su35
切	tsʰuɛ[2]	
罪	tsʰuɛ[6]	
碎	suɛ[5]	
瘦	ʃuɛ[1]	又音sai35
□	kuɛ[1]	～ti35：梯子
骨	kuɛ[2]	
国	kuɛ[2]	
裹	kuɛ[3]	
可	kʰuɛ[2]	～i22：可以。又读kʰu42
会	kʰuɛ[5]	～计
块	kʰuɛ[5]	
窟	kʰuɛ[5]	ʃi51～屎窟：屁股
块	kʰuɛ[5]	一～钱
□	kʰuɛ[6]	puŋ44～ti35：蜻蜓
灰	huɛ[1]	
回	huɛ[2]	
茴	huɛ[2]	单用
淮	huɛ[2]	文读
回	huɛ[2]	
火	huɛ[3]	tsʰau44～；烧火
汇	huɛ[3]	
悔	huɛ[3]	
禾	∅uɛ[2]	
爱	∅uɛ[5]	～食：好吃
壁	pia[2]	
爹	tia[1]	阿～：爷爷
摘	tia[2]	
脊	tʃia[2]	
姐	tʃia[3]	
借	tʃia[5]	
斜	tʃʰia[2]	
且	tʃʰia[3]	
谢	tʃʰia[6]	白读，又音ʃia51
削	ʃia[2]	
写	ʃia[3]	
卸	ʃia[5]	
泻	ʃia[6]	
谢	ʃia[6]	文读，又音tʃʰia51
贺	hia[6]	姓
爷	∅ia[2]	父亲，背称
也	∅ia[3]	
乖	kua[1]	
刮	kua[2]	
拐	kua[3]	～骹：跛脚
怪	kua[5]	
挂	kua[5]	
卦	kua[5]	
阔	kʰua[2]	宽
快	kʰua[5]	
发	hua[2]	～tsʰa22：发财
血	hua[2]	
坏	hua[6]	
挖	∅ua[1]	文读
外	∅ua[6]	
墿	tʰio[6]	路
茄	kʰio[2]	①茄子；②紫色
荞	kʰio[2]	又音kʰiau22
包	pau[1]	
胞	pau[1]	文读
刨	pau[1]	
饱	pau[3]	
豹	pau[5]	
雹	pau[5]	
□	pʰau[1]	kʰi42～：受惊而抖
炮	pʰau[5]	
猫	mau[1]	
□	lau[1]	看：～电影；～书；～病
□	lau[1]	～pʰɔ42：忘记
绕	lau[6]	
料	lau[6]	白读，又音liau51
廖	lau[6]	
朝	tsau[1]	ʃie254～食朝：吃早饭
召	tsau[1]	文读
招	tsau[1]	
爪	tsau[3]	
赵	tsau[5]	
照	tsau[5]	
烧	tsʰau[1]	～火
抄	tsʰau[1]	
□	tsʰau[3]	～tʃʰiɔ̃ʔ32：挠痒
炒	tsʰau[3]	
吵	tsʰau[3]	
柴	tsʰau[5]	单用，本字可能是“樵”
笑	tsʰau[5]	
晓	sau[3]	～ta22：晓得
速	sau[5]	快～
邵	sau[5]	
找	sau[6]	
绍	sau[6]	
交	kau[1]	
郊	kau[1]	
胶	kau[1]	
浇	kau[1]	
□	kau[3]	①抛：②扔。又音u42
搅	kau[3]	
搞	kau[3]	文读
教	kau[5]	～ʃy44：～书
骹	kʰau[1]	脚
敲	kʰau[5]	
窍	kʰau[5]	
好	hau[3]	～lau44：好看
傲	∅au[5]	文读
抽	tʰiu[1]	
刘	liu[2]	
留	liu[2]	
榴	liu[2]	
硫	liu[2]	
柳	liu[2]	
馏	liu[2]	文读
纽	liu[3]	～ti35：纽扣
扭	liu[5]	文读
酒	tʃiu[3]	
秋	tʃʰiu[1]	
□	tʃʰiu[5]	～tʃʰiu44：胡子
修	ʃiu[1]	
休	ʃiu[1]	tʰuɛ35～：退休
秀	ʃiu[5]	
绣	ʃiu[5]	
阉	kiu[1]	
九	kiu[3]	
久	kiu[3]	
韭	kiu[3]	
救	kiu[5]	
究	kiu[5]	讲～
囚	kʰiu[2]	文读
求	kʰiu[2]	
球	kʰiu[2]	
优	∅iu[1]	
邮	∅iu[2]	
由	∅iu[2]	
油	∅iu[2]	文读，又音lo22
又	∅iu[6]	
祐	∅iu[6]	
□	pai[1]	tʃʰie22～～：湿透
谋	mai[2]	
卯	mai[3]	
某	mai[3]	
亩	mai[3]	
呆	tai[1]	文读
□	tai[1]	tʃʰy51～：树根
斗	tai[3]	一～米
斗	tai[5]	～地主
偷	tʰai[1]	
□	tʰai[1]	～ʃɔ̃22：畜生
敨	tʰai[3]	～气：喘息
头	tʰai[5]	～-44mo35头毛：头发
豆	tʰai[6]	
□	lai[1]	kai44～：佗背
楼	lai[2]	
犁	lai[2]	
漏	lai[6]	
糟	tsai[1]	
走	tsai[3]	①跑：②逃跑
蚤	tsai[3]	
灶	tsai[5]	
鸟	tsai[5]	～-44ti35：鸟儿
