汉字	ipa	声母	韵母	声调
罅	lɔ51	l	ɔ	陰去51
左	tsɔ33	ts	ɔ	陰上33
搓	tsʰɔ55	tsʰ	ɔ	陰平55
坐	tsʰɔ23	tsʰ	ɔ	陽上23
錯	tsʰɔ51	tsʰ	ɔ	陰去51
銼	tsʰɔ51	tsʰ	ɔ	陰去51
座	tsʰɔ21	tsʰ	ɔ	陽去21
蓑	sɔ55	s	ɔ	陰平55
梭	sɔ55	s	ɔ	陰平55
唆	sɔ55	s	ɔ	陰平55
鎖	sɔ33	s	ɔ	陰上33
瑣	sɔ33	s	ɔ	陰上33
梳	ɕɔ55	ɕ	ɔ	陰平55
疏	ɕɔ55	ɕ	ɔ	陰平55
所	ɕɔ33	ɕ	ɔ	陰上33
傻	ɕɔ21	ɕ	ɔ	陽去21
歌	kɔ55	k	ɔ	陰平55
個	kɔ51	k	ɔ	陰去51
苛	kʰɔ55	kʰ	ɔ	陰平55
蛾	ŋɔ213	ŋ	ɔ	陽平213
鵝	ŋɔ213	ŋ	ɔ	陽平213
俄	ŋɔ213	ŋ	ɔ	陽平213
我	ŋɔ23	ŋ	ɔ	陽上23
餓	ŋɔ21	ŋ	ɔ	陽去21
呵	hɔ55	h	ɔ	陰平55
河	hɔ213	h	ɔ	陽平213
何	hɔ213	h	ɔ	陽平213
可	hɔ33	h	ɔ	陰上33
賀	hɔ21	h	ɔ	陽去21
鍋	kvɔ55	kv	ɔ	陰平55
果	kvɔ33	kv	ɔ	陰上33
裹	kvɔ33	kv	ɔ	陰上33
棵	kvɔ33	kv	ɔ	陰上33
夥	kvɔ33	kv	ɔ	陰上33
顆	kvɔ33	kv	ɔ	陰上33
過	kvɔ51	kv	ɔ	陰去51
鍋	kʰvɔ55	kʰv	ɔ	陰平55
戈	kʰvɔ55	kʰv	ɔ	陰平55
荷	øɔ55	ø	ɔ	陰平55
屙	øɔ55	ø	ɔ	陰平55
跛	pai55	p	ai	陰平55
批	pʰai55	pʰ	ai	陰平55
瞇	mai55	m	ai	陰平55
謎	mai213	m	ai	陽平213
迷	mai213	m	ai	陽平213
米	mai23	m	ai	陽上23
低	tai55	t	ai	陰平55
底	tai33	t	ai	陰上33
抵	tai33	t	ai	陰上33
帝	tai51	t	ai	陰去51
梯	tʰai55	tʰ	ai	陰平55
題	tʰai213	tʰ	ai	陽平213
提	tʰai213	tʰ	ai	陽平213
啼	tʰai213	tʰ	ai	陽平213
蹄	tʰai213	tʰ	ai	陽平213
堤	tʰai213	tʰ	ai	陽平213
體	tʰai33	tʰ	ai	陰上33
弟	tʰai23	tʰ	ai	陽上23
替	tʰai51	tʰ	ai	陰去51
涕	tʰai51	tʰ	ai	陰去51
剃	tʰai51	tʰ	ai	陰去51
第	tʰai21	tʰ	ai	陽去21
隸	tʰai21	tʰ	ai	陽去21
遞	tʰai21	tʰ	ai	陽去21
泥	nai213	n	ai	陽平213
尼	nai213	n	ai	陽平213
你	nai23	n	ai	陽上23
膩	nai51	n	ai	陰去51
髒	nai51	n	ai	陰去51
膩	nai21	n	ai	陽去21
黎	lai213	l	ai	陽平213
犁	lai213	l	ai	陽平213
禮	lai23	l	ai	陽上23
麗	lai21	l	ai	陽去21
吏	lai21	l	ai	陽去21
例	lai21	l	ai	陽去21
厲	lai21	l	ai	陽去21
勵	lai21	l	ai	陽去21
劑	tsai55	ts	ai	陰平55
擠	tsai55	ts	ai	陰平55
祭	tsai51	ts	ai	陰去51
際	tsai51	ts	ai	陰去51
濟	tsai51	ts	ai	陰去51
妻	tsʰai55	tsʰ	ai	陰平55
凄	tsʰai55	tsʰ	ai	陰平55
齊	tsʰai213	tsʰ	ai	陽平213
臍	tsʰai213	tsʰ	ai	陽平213
砌	tsʰai51	tsʰ	ai	陰去51
西	sai55	s	ai	陰平55
犀	sai55	s	ai	陰平55
洗	sai33	s	ai	陰上33
細	sai51	s	ai	陰去51
壻	sai51	s	ai	陰去51
制	tɕai51	tɕ	ai	陰去51
篩	ɕai55	ɕ	ai	陰平55
使	ɕai33	ɕ	ai	陰上33
世	ɕai51	ɕ	ai	陰去51
勢	ɕai51	ɕ	ai	陰去51
雞	kai55	k	ai	陰平55
計	kai51	k	ai	陰去51
髻	kai51	k	ai	陰去51
溪	kʰai55	kʰ	ai	陰平55
契	kʰai51	kʰ	ai	陰去51
藝	ŋai21	ŋ	ai	陽去21
系	hai21	h	ai	陽去21
係	hai21	h	ai	陽去21
杯	pui55	p	ui	陰平55
貝	pui51	p	ui	陰去51
輩	pui51	p	ui	陰去51
背	pui51	p	ui	陰去51
坯	pʰui55	pʰ	ui	陰平55
培	pʰui213	pʰ	ui	陽平213
陪	pʰui213	pʰ	ui	陽平213
賠	pʰui213	pʰ	ui	陽平213
倍	pʰui23	pʰ	ui	陽上23
配	pʰui51	pʰ	ui	陰去51
佩	pʰui51	pʰ	ui	陰去51
背	pʰui21	pʰ	ui	陽去21
黴	mui213	m	ui	陽平213
梅	mui213	m	ui	陽平213
媒	mui213	m	ui	陽平213
枚	mui213	m	ui	陽平213
每	mui23	m	ui	陽上23
妹	mui21	m	ui	陽去21
回	vui213	v	ui	陽平213
匯	vui21	v	ui	陽去21
會	vui21	v	ui	陽去21
繪	vui21	v	ui	陽去21
堆	tui55	t	ui	陰平55
對	tui51	t	ui	陰去51
推	tʰui55	tʰ	ui	陰平55
腿	tʰui33	tʰ	ui	陰上33
退	tʰui51	tʰ	ui	陰去51
兌	tʰui21	tʰ	ui	陽去21
隊	tʰui21	tʰ	ui	陽去21
銳	tʰui21	tʰ	ui	陽去21
女	nui23	n	ui	陽上23
內	nui21	n	ui	陽去21
雷	lui213	l	ui	陽平213
擂	lui213	l	ui	陽平213
呂	lui23	l	ui	陽上23
鯉	lui23	l	ui	陽上23
又	lui23	l	ui	陽上23
旅	lui23	l	ui	陽上23
裏	lui23	l	ui	陽上23
累	lui23	l	ui	陽上23
類	lui21	l	ui	陽去21
慮	lui21	l	ui	陽去21
濾	lui21	l	ui	陽去21
淚	lui21	l	ui	陽去21
嘴	tsui33	ts	ui	陰上33
醉	tsui51	ts	ui	陰去51
最	tsui51	ts	ui	陰去51
催	tsʰui55	tsʰ	ui	陰平55
崔	tsʰui55	tsʰ	ui	陰平55
徐	tsʰui213	tsʰ	ui	陽平213
隨	tsʰui213	tsʰ	ui	陽平213
隋	tsʰui213	tsʰ	ui	陽平213
罪	tsʰui23	tsʰ	ui	陽上23
趣	tsʰui51	tsʰ	ui	陰去51
脆	tsʰui51	tsʰ	ui	陰去51
翠	tsʰui51	tsʰ	ui	陰去51
聚	tsʰui21	tsʰ	ui	陽去21
序	tsʰui21	tsʰ	ui	陽去21
敘	tsʰui21	tsʰ	ui	陽去21
緖	tsʰui21	tsʰ	ui	陽去21
雖	sui55	s	ui	陰平55
尿	sui55	s	ui	陰平55
絮	sui33	s	ui	陰上33
髓	sui33	s	ui	陰上33
碎	sui51	s	ui	陰去51
歲	sui51	s	ui	陰去51
賜	sui51	s	ui	陰去51
追	tɕui55	tɕ	ui	陰平55
錐	tɕui55	tɕ	ui	陰平55
贅	tɕui51	tɕ	ui	陰去51
吹	tɕʰui55	tɕʰ	ui	陰平55
炊	tɕʰui55	tɕʰ	ui	陰平55
槌	tɕʰui213	tɕʰ	ui	陽平213
錘	tɕʰui213	tɕʰ	ui	陽平213
揣	tɕʰui33	tɕʰ	ui	陰上33
墜	tɕʰui21	tɕʰ	ui	陽去21
蕊	ȵui33	ȵ	ui	陰上33
衰	ɕui55	ɕ	ui	陰平55
誰	ɕui213	ɕ	ui	陽平213
垂	ɕui213	ɕ	ui	陽平213
水	ɕui33	ɕ	ui	陰上33
帥	ɕui51	ɕ	ui	陰去51
稅	ɕui51	ɕ	ui	陰去51
睡	ɕui21	ɕ	ui	陽去21
愚	ŋui213	ŋ	ui	陽平213
遇	ŋui21	ŋ	ui	陽去21
寓	ŋui21	ŋ	ui	陽去21
虛	hui55	h	ui	陰平55
灰	hui55	h	ui	陰平55
徽	hui55	h	ui	陰平55
噓	hui55	h	ui	陰平55
於	hui55	h	ui	陰平55
許	hui33	h	ui	陰上33
悔	hui33	h	ui	陰上33
去	hui51	h	ui	陰去51
居	kvui55	kv	ui	陰平55
擧	kvui33	kv	ui	陰上33
據	kvui33	kv	ui	陰上33
鋸	kvui51	kv	ui	陰去51
句	kvui51	kv	ui	陰去51
拘	kʰvui55	kʰv	ui	陰平55
駒	kʰvui55	kʰv	ui	陰平55
區	kʰvui55	kʰv	ui	陰平55
驅	kʰvui55	kʰv	ui	陰平55
渠	kʰvui213	kʰv	ui	陽平213
拒	kʰvui23	kʰv	ui	陽上23
距	kʰvui23	kʰv	ui	陽上23
巨	kʰvui21	kʰv	ui	陽去21
具	kʰvui21	kʰv	ui	陽去21
惟	jui213	j	ui	陽平213
惠	jui21	j	ui	陽去21
慧	jui21	j	ui	陽去21
穗	jui21	j	ui	陽去21
擺	pɔi33	p	ɔi	陰上33
拜	pɔi51	p	ɔi	陰去51
敗	pɔi21	p	ɔi	陽去21
牌	pʰɔi213	pʰ	ɔi	陽平213
排	pʰɔi213	pʰ	ɔi	陽平213
派	pʰɔi33	pʰ	ɔi	陰上33
派	pʰɔi51	pʰ	ɔi	陰去51
又	pʰɔi51	pʰ	ɔi	陰去51
稗	pʰɔi21	pʰ	ɔi	陽去21
埋	mɔi213	m	ɔi	陽平213
買	mɔi23	m	ɔi	陽上23
賣	mɔi21	m	ɔi	陽去21
