字頭	聲母/韻母/聲調	註釋	錔字
我	ŋai33		
藝	ŋai22	(有世~)[有事可做，得以消磨時間]	
孩	hai21		
鞋	hai21		
諧	hai21		
蟹	hai55		
械	hai22		
懈	hai22		
駭	hai22	(驚~)	
解	hai22	[姓]	
挨	ʔai24	(~近)	
唉	ʔai24	(~聲歎氣)	
矮	ʔai55		
隘	ʔai33		
艾	ʔai22		
踩	jai55	(~單車)[騎自行車]	
乖	kwai24		
拐	kwai55		
柺	kwai55		
蒯	kwai55		
怪	kwai33		
□	kʰwai21	[特指小孩子頑皮、不聽話]	獪
袍	ɓau21		
暴	ɓau22		
曝	ɓau22		
抛	pʰau24		
抱	pʰau55		
跑	pʰau55		
雹	pʰau35	*變調	
豹	pʰau33		
炮	pʰau33		
泡	pʰau33	(~茶)	
冇	mau24	[沒有]	
卯	mau24		
毛	mau21		
矛	mau21		
茅	mau21		
錨	mau21		
冒	mau22		
帽	mau22		
帽	mau35		
貌	mau22		
煲	ɓau24		
褒	ɓau24		
包	ɓau24	(~場)	
鮑	ɓau24		
胞	ɓau24		
保	ɓau55		
堡	ɓau55		
寶	ɓau55		
飽	ɓau55		
飽	ɓiɐu55		
報	ɓau33		
遭	ɗau24		
糟	ɗau24		
□	ɗau21	[把茶汁、湯水倒進盛飯的碗裏和飯喫](~水)	
早	ɗau55		
棗	ɗau55		
蚤	ɗau55		
竈	ɗau33		
稻	ɗau22		
造	ɗau22		
道	ɗau22		
盗	ɗau22		
導	ɗau22		
皂	ɗau22		
滔	tʰau24		
逃	tʰau21		
掏	tʰau21		
桃	tʰau21		
桃	tʰau35		
淘	tʰau21		
陶	tʰau21		
萄	tʰau21		
濤	tʰau21		
曹	tʰau21		
槽	tʰau21		
討	tʰau55		
禱	tʰau55		
草	tʰau55		
套	tʰau33		
澡	tʰau33		
躁	tʰau33		
操	tʰau33		
糙	tʰau33		
撓	nau21		
鐃	nau21		
腦	nau55		
惱	nau55		
鬧	nau22		
刀	ɗau24		
叨	ɗau24		
牢	lau21		
勞	lau21		
嘮	lau21		
澇	lau21		
撈	lau21		
佬	lau55	[成年男人]	
島	ɗau55		
倒	ɗau55		
禱	ɗau55		
老	lau55		
佬	lau35	(細~)[弟弟]	
到	ɗau33		
道	ɗau33	(知~)	
佬	lau22	(細~)[小孩子]	
騷	ɬau24		
臊	ɬau24		
睄	ɬau21	[快速、不太正式地看了看]	
嫂	ɬau55		
掃	ɬau33		
爪	ʦau55		
抓	ʦau55	[舊讀]	
罩	ʦau33		
笊	ʦau33		
驟	ʦau22		
櫂	ʦau22		
抄	ʦʰau24	(~寫)	
鈔	ʦʰau24		
巢	ʦʰau21		
炒	ʦʰau55		
吵	ʦʰau55		
抄	ʦʰau33	(~嘢)[找東西]	
梢	sau24		
捎	sau24		
稍	sau55		
潲	sau33		
捎	sau22	[丢掉、扔掉]	
高	kau24		
糕	kau24		
膏	kau24		
篙	kau24		
羔	kau24		
蒿	kau24		
交	kau24		
郊	kau24		
稿	kau55		
絞	kau55		
狡	kau55		
鉸	kau55		
攪	kau55		
搞	kau55		
攪	kiɐu55		
搞	kiɐu55		
告	kau33		
教	kau33		
較	kau33		
覺	kau33	(睡~)	
窖	kau33		
校	kau33	(~對)	
敲	kʰau24		
考	kʰau55		
烤	kʰau55		
烤	hau55		
巧	kʰau55		
靠	kʰau33		
犒	kʰau33		
熬	ŋau21		
肴	ŋau21		
淆	ŋau21		
咬	ŋau55		
拗	ŋau33	(~kiɛu22)[矛盾]	
傲	ŋau22		
薅	hau24	(~草)[除田草]	
豪	hau21		
毫	hau21		
壕	hau21		
號	hau21	(呼~)	
好	hau55	(~壞)	
巧	hau55		
耗	hau33		
好	hau33	(愛~)	
酵	hau33		
孝	hau33		
號	hau22	(~數)	
浩	hau22		
效	hau22		
校	hau22	(學~)	
奥	ʔau33		
澳	ʔau33		
襖	ʔau33		
懊	ʔau33		
坳	ʔau33		
□	ɗam21	(~著)[點火]	
簪	ɗam35	*變調	
暫	ɗam22		
啖	ɗam22		
倓	ɗam22		
淡	ɗam22	(冷~)	
貪	tʰam24		
參	tʰam24	(~考)	
潭	tʰam21		
譚	tʰam21		
談	tʰam21		
痰	tʰam21		
慚	tʰam21		
蠶	tʰam21		
慘	tʰam55		
探	tʰam33		
淡	tʰam33	(鹹~)	
男	nam21		
南	nam21		
□	nam55	(~水)[用勺子勺水]	罱
揇	nam55	(一~長)	
擔	ɗam24	(~水)	
耽	ɗam24		
藍	lam21		
籃	lam21		
攬	lam55		
欖	lam55		
膽	ɗam55		
覽	lam35		
擔	ɗam33	(~杆)[擔挑]	
濫	lam22		
纜	lam22		
三	ɬam24		
糝	ɬam55	(猪~)[喂豬的食物]	
斬	ʦam55		
眨	ʦam55		
湛	ʦam33		
站	ʦam22		
暫	ʦam22		
巖	ʦʰam21	(ŋam21ŋam21~~)[凹凸不齐]	
篸	ʦʰam55	(垃圾)[倒垃圾的用具]	
杉	ʦʰam33		
衫	sam24	(衣~襤褸)	
甘	kam24		
監	kam24	(~察)	
泔	kam24		
柑	kam24		
敢	kam55		
感	kam55		
橄	kam55		
監	kam33	(太~)	
尷	kam33		
岩	ŋam21		
啱	ŋam55		
冚	ŋam22	[全部](~家)	
堪	ham24		
憨	ham24		
含	ham21		
函	ham21		
酣	ham21		
鹹	ham21		
銜	ham21		
坎	ham55		
垵	ham55		
砍	ham55		
喊	ham33		
勘	ham33		
憾	ham22		
撼	ham22		
陷	ham22		
庵	ʔam24		
暗	ʔam33		
□	ɓan21	(~開)[撥開]	𢴬
辦	ɓan22		
扮	ɓan22		
瓣	ɓan22		
攀	pʰan24		
盼	pʰan33		
挽	man24	[挽救]	
蠻	man21		
晚	man35		
慢	man22		
漫	man22		
幔	man22		
萬	man22		
蔓	man22		
饅	man22		
翻	fan24		
販	fan24		
番	fan24	(~薯)	
凡	fan21		
帆	fan21		
煩	fan21		
藩	fan21		
礬	fan21		
繁	fan21		
反	fan55		
玩	fan55		
飯	fan22		
範	fan22		
犯	fan22		
泛	fan22		
彎	wan24		
班	ɓan24		
斑	ɓan24		
頒	ɓan24		
灣	wan24		
挽	wan24	(~救)	
環	wan21		
還	wan21	(~原)	
板	ɓan55		
扳	ɓan55		
版	ɓan55		
□	wan33	[用棍子從高處往下打]	
患	wan22		
幻	wan22		
宦	wan22		
彈	ɗan21		
揮	ɗan21	(~棉花)	
贊	ɗan33		
灒	ɗan33		
蛋	ɗan22		
但	ɗan22		
彈	ɗan22	(~丸)	
攤	tʰan24		
餐	tʰan24		
灘	tʰan24		
壇	tʰan21		
檀	tʰan21		
殘	tʰan21		
坦	tʰan55		
毯	tʰan35		
炭	tʰan33		
歎	tʰan33		
燦	tʰan33		
難	nan21	(~易)	
赧	nan33	[蚊子叮咬後形成的小疙瘩]	㫱
難	nan22	(患~)	
單	ɗan24	(~獨)	
丹	ɗan24		
蘭	lan21		
攔	lan21		
欄	lan21		
懶	lan33		
誕	ɗan33		
旦	ɗan33		
爛	lan22		
散	ɬan55	(~亂)	
散	ɬan33	(解~)	
傘	ɬan33		
篡	ɬan33		
盏	ʦan55		
棧	ʦan35	*變調	
攢	ʦan22		
綻	ʦan22		
賺	ʦan22		
産	ʦʰan55		
鏟	ʦʰan55		
山	san24		
珊	san24		
刪	san24		
閂	san24		
孱	san21		
潺	san21	(滑~~)	
疝	san33	(~氣)	
奸	kan24		
艱	kan24		
間	kan24	(中~)	
簡	kan55		
柬	kan55		
間	kan33	(~斷)	
諫	kan33		
澗	kan33		
鐧	kan33		
襇	kan33		
顔	ŋan21		
磑	ŋan21	[磨研]	
眼	ŋan55	(一~蔗)[一節甘蔗]	
雁	ŋan22		
慳	han24	[節約](~錢)	
閑	han21		
嫻	han21		
限	han22		
恨	han22	[不喜歡]	
莧	han22	(~菜)	
晏	ʔan33		
關	kwan24		
鳏	kwan24		
摜	kwan22	[拿]	
棚	ɓaŋ21		
嘭	ɓaŋ21		
烹	pʰaŋ24		
□	pʰaŋ24	(~開)[分開]	抨
鵬	pʰaŋ21		
膨	pʰaŋ21		
彭	pʰaŋ21		
□	pʰaŋ55	(飯~)[盛飯帶飯的用具]	𨭌
棒	pʰaŋ35		
□	pʰaŋ33	(~去~來)[懸挂著的東西因外力作用而搖來搖去]	
盲	maŋ21		
□	maŋ55	(瘦~~)	
猛	maŋ33		
孟	maŋ22		
横	waŋ21		
□	waŋ55	(天~開)[天放晴了]	
□	naŋ22	(~衫)[縫衣服]	
冷	laŋ33	[寒冷]	
爭	ʦaŋ24		
踭	ʦaŋ24	(腳~)[腳後跟]	
箏	ʦaŋ24		
□	ʦaŋ33	(猛~)[很能幹]	猙
□	ʦaŋ22	(~飯)[喫飯，一種不太客氣地說法]	脹
撑	ʦʰaŋ24	(~船)	
睜	ʦʰaŋ21	(~眼)	
鐺	ʦʰaŋ55	[用來煮東西的炊具,但不是鍋]	
橙	ʦʰaŋ35	*變調	
蹭	ʦʰaŋ33		
撐	ʦʰaŋ33	(~住)[頂住]	
牚	ʦʰaŋ33	(椅~)	
睜	ʦʰaŋ33		
生	saŋ24		
牲	saŋ24		
笙	saŋ24		
甥	saŋ24		
省	saŋ55		
耕	kaŋ24		
更	kaŋ24	(五~)	
庚	kaŋ24		
羹	kaŋ24		
埂	kaŋ24		
粳	kaŋ55	(~米)	
更	kaŋ33	(加)	
硬	ŋaŋ22		
坑	haŋ24		
亨	haŋ24		
行	haŋ21	(~爲)	
衡	haŋ21		
恒	haŋ21		
□	haŋ55	(老~)[對老人的一種不禮貌的稱呼]	亨
幸	haŋ22		
杏	haŋ22		
行	haŋ22	(品~)	
蔦	ʔaŋ24		
□	jaŋ33	[用腳把物件蹬開]	牚
梗	kwaŋ55	[蔬菜等植物的梗部、莖部]	
□	kʰwaŋ21	(~頸)[用(圍巾)圍住脖子]	纊
嗒	ɗap5	[含咂](~~味)[一種果脯類的零食]	
踏	ɗap2		
揚	ɗap2		
搨	ɗap2	(~本)	
遝	ɗap2	(一~紙)	
雜	ɗap2		
塌	tʰap3		
塔	tʰap3		
榻	tʰap3		
塌	tʰap3		
溻	tʰap3		
□	nap3	[跨]	
納	nap2		
答	ɗap3		
搭	ɗap3		
□	lap3	(~高件衫)[把穿在身上的上衣向上翻起]	擸
蠟	lap2		
臘	lap2		
霎	ɬap3	(~下眼)[一眨眼功夫，一轉眼功夫]	
□	ɬap3	(冇離踏~)	
紮	ʦap3	(~馬)[蹲馬步]	
閘	ʦap2		
插	ʦʰap3		
□	sap5	(~頭髮)[剪頭髮]	
□	sap3	(~氣)	唼
煠	sap2	[用清水煮](~雞蛋)	
甲	kap5		
夾	kap3	(~衲)[一種小夾衣]	
裌	kap3		
胛	kap3		
恰	hap5		
合	hap2		
盒	hap2		
鴨	ʔap35		
□	jap5	(鬼鬼~~)[鬼鬼祟祟]	悒
□	jap3	[悄悄地藏在身上]	
□	jap2	(~手)[招手示意别人過來]	挹
拔	ɓat2		
□	pʰat35	[量詞](一~泥)	坺
□	pʰat3	[癟的意思]	癟
□	pʰat2	(靜~~)[靜悄悄]	
襪	mat2		
法	fat5		
髮	fat5		
發	fat3		
罰	fat2		
筏	fat2		
乏	fat2		
伐	fat2		
挖	wat3	[舊]	
滑	wat2	[舊]	
達	ɗat2		
□	tʰat3	[懶洋洋地坐著]	
焫	nat3	[熱，燙手的意思]	
捺	nat2		
瘌	lat3		
辣	lat2		
撒	ɬat3	(~網)	
薩	ɬat3		
紮	ʦat3		
軋	ʦat3		
劄	ʦat3		
□	ʦat2	(~開)[掃開]	
察	ʦʰat3		
擦	ʦʰat3		
獺	ʦʰat3		
刷	ʦʰat3		
殺	sat3		
□	sat2	[用掃帚就著水來回地使勁掃]	
□	kʰat3	(~傷)[擦傷]	擖
餲	ŋat3	[尿發出的臊味]	餲
齧	ŋat2	[喫，一種不太雅觀的喫法]	齧
壓	ʔat3		
押	ʔat3		
白	ɓak2		
帛	ɓak2		
帕	pʰak5		
魄	pʰak5		
拍	pʰak3		
掰	mak3	[撕的意思]	
麥	mak2		
脈	mak2		
□	fak2	[用細棍子打]	拂
柏	ɓak5		
伯	ɓak5		
栢	ɓak5		
百	ɓak5		
百	ɓak3		
伯	ɓak3	(~父)	
畫	wak2		
或	wak2		
惑	wak2		
域	wak2		
劃	wak2	(計~)	
窄	ʦak3		
責	ʦak3		
宅	ʦak2		
澤	ʦak2		
擇	ʦak2		
摘	ʦak2		
擲	ʦak2		
測	ʦʰak5		
策	ʦʰak5		
冊	ʦʰak5		
拆	ʦʰak3		
□	sak2	(~開)[切開]	
□	sak2	[量詞,半塊]	側
格	kak5	(合~)	
革	kak5		
格	kak3	(~外)	
隔	kak3		
□	kʰak5	(~餅)[把米餅從餅模裏敲出來]	
□	ŋak5	[欺騙]	𧦠
額	ŋak2		
客	hak5		
嚇	hak3		
客	hak3		
扼	ʔak5		
軛	ʔak5		
吔	jak3		
摑	kwak3	[用手打別人的臉]	
□	kʰwak35	(一~)[一回,一趟]	廓
跛	ɓɐi55	(~腳)	
喂	wɐi33	[引起對方注意的語氣詞]	
諦	ɗɐi33	(詐詐~~)[假裝某個樣子，很矯情]	
□	ʦɐi33	(唔~)[不願意,不幹某事]	𠶜
閪	hɐi24	[女性生殖器]	
唉	ʔɐi33	[表答應]	
幣	ɓɐu22		
弊	ɓɐu22		
斃	ɓɐu22		
陛	ɓɐu22		
米	mɐu55		
擠	ɗɐu24		
仔	ɗɐu55		
劑	ɗɐu55		
臍	ɗɐu33	[文]	
祭	ɗɐu33		
際	ɗɐu33		
穄	ɗɐu33		
濟	ɗɐu33		
妻	tʰɐu24		
棲	tʰɐu24		
齊	tʰɐu21		
切	tʰɐu33	(一~)	
砌	tʰɐu33		
西	ɬɐu24		
犀	ɬɐu24		
洗	ɬɐu55		
婿	ɬɐu35		
壻	ɬɐu35		
細	ɬɐu33		
溪	kʰɐu24		
稽	kʰɐu24		
啓	kʰɐu55		
契	kʰɐu33	(~約)	
倪	ŋɐu21		
桅	ŋɐu21		
危	ŋɐu21		
藝	ŋɐu22		
刈	ŋɐu22		
縊	ŋɐu22		
翳	ŋɐu22	(目~)	
毅	ŋɐu22		
僞	ŋɐu22		
魏	ŋɐu22		
奚	hɐu21		
兮	hɐu21		
系	hɐu22		
係	hɐu22		
泵	ɓɐm55		
𩛎	mɐm55	(~~)[泛指給嬰兒喂食的食品]	𩛎
□	ɗɐm21	(~晚)[昨晚]	噚
□	ɗɐm22	(~腳)[跥腳]	𧿒
氹	tʰɐm35	(水~)[小水窪]	
□	tʰɐm33	[哄或沒惡意的騙]	𧨾
□	nɐm21	[常指固體食物很軟]	腍
諗	nɐm55	[想]	
腩	nɐm35		
□	nɐm22	[被水浸泡透了,很濕]	淰
□	lɐm55	(~錢)[常指投資錢財幹事]	冧
冧	lɐm33	[建築物倒塌]	冧
冧	lɐm22		
糝	ɬɐm55	[細而密地撒](~粉)	
斟	ʦɐm24	[商量、斟酌]	
□	ʦʰɐm33	(~氣)[囉嗦]	譖
參	sɐm24	(人~)	
扻	kɐm55	[摑，用手掌打某人，常指打別人的臉部]	
□	kʰɐm55	[覆蓋]	𢫏
吟	ŋɐm24	[絮絮叨叨地說來說去](~去~來)	
撢	ŋɐm21	[掏]	
□	hɐm55	(~親)[碰傷]	扻
嵌	hɐm33		
揞	ʔɐm55	[用手掌蓋住]	
便	ɓɐn22		
辨	ɓɐn22		
辯	ɓɐn22		
汴	ɓɐn22		
偏	pʰɐn24		
編	pʰɐn24		
篇	pʰɐn24		
蝙	pʰɐn24		
片	pʰɐn33		
編	pʰɐn33		
遍	pʰɐn33		
敏	mɐn24		
免	mɐn24		
勉	mɐn24		
緬	mɐn24		
澠	mɐn24		
眠	mɐn21		
綿	mɐn21		
棉	mɐn21		
□	mɐn55	(~臀)[大便後用紙巾擦屁股]	抆
娩	mɐn35		
□	mɐn35	[指示代詞，哪]	
面	mɐn22		
返	fɐn24	(~來)[回來]	
邊	ɓɐn24		
鞭	ɓɐn24		
還	wɐn21	(~錢)	
扁	ɓɐn55		
匾	ɓɐn55		
變	ɓɐn33		
煎	ɗɐn24		
田	ɗɐn21		
塡	ɗɐn21		
剪	ɗɐn55		
箭	ɗɐn33		
墊	ɗɐn33		
餞	ɗɐn33		
薦	ɗɐn33		
電	ɗɐn22		
濺	ɗɐn22		
賤	ɗɐn22		
殿	ɗɐn22		
奠	ɗɐn22		
踐	ɗɐn22		
餞	ɗɐn22		
佃	ɗɐn22		
箋	ɗɐn22		
天	tʰɐn24		
遷	tʰɐn24		
千	tʰɐn24		
錢	tʰɐn21		
前	tʰɐn21		
淺	tʰɐn55		
年	nɐn21		
撚	nɐn55	[抓捏]	
碾	nɐn55		
顛	ɗɐn24		
連	lɐn21		
憐	lɐn21		
蓮	lɐn21		
碘	ɗɐn55		
典	ɗɐn55		
腆	ɗɐn55		
□	lɐn55	[玩](~玩具)	攣
□	lɐn33	[搬運](~磚)	摙
練	lɐn22		
煉	lɐn22		
棟	lɐn22		
鏈	lɐn22		
仙	ɬɐn24		
先	ɬɐn24		
鮮	ɬɐn24	(新~)	
癬	ɬɐn55		
鮮	ɬɐn55	(~爲人知)	
線	ɬɐn33		
顫	ʦɐn33		
□	sɐn33	[將内心的不平向他人傾訴]	謆
肩	kɐn24		
堅	kɐn24		
間	kɐn24	(一~)	
繭	kɐn55		
揀	kɐn55		
見	kɐn33		
健	kɐn22		
件	kɐn22		
建	kɐn22		
腱	kɐn22		
犍	kɐn22		
鍵	kɐn22		
虔	kʰɐn21		
□	kʰɐn55	[打開,揭開]	㨜
眼	ŋɐn55		
掀	hɐn24		
軒	hɐn24		
牽	hɐn24		
狠	hɐn55		
遣	hɐn55		
顯	hɐn55		
獻	hɐn33		
憲	hɐn33		
慣	kwɐn33		
並	ɓɐŋ22		
□	ɓɐŋ22	(一~牆)[一面牆]	埲
朋	pʰɐŋ21		
平	pʰɐŋ21		
萍	pʰɐŋ21		
坪	pʰɐŋ21		
評	pʰɐŋ21		
瓶	pʰɐŋ21		
屏	pʰɐŋ21		
恁	pʰɐŋ21		
聘	pʰɐŋ33		
姘	pʰɐŋ33		
拼	pʰɐŋ33		
併	pʰɐŋ33		
萌	mɐŋ21		
名	mɐŋ21		
鳴	mɐŋ21		
明	mɐŋ21		
盟	mɐŋ21		
銘	mɐŋ21		
□	mɐŋ55	(凍~~)[很冷]	
皿	mɐŋ35		
掹	mɐŋ33	[拔](~草)	
命	mɐŋ22	(~分)	
弘	fɐŋ21		
揈	fɐŋ22	[甩,搖擺]	揈
兵	ɓɐŋ24		
崩	ɓɐŋ24		
冰	ɓɐŋ24		
榮	wɐŋ21		
宏	wɐŋ21		
丙	ɓɐŋ55		
秉	ɓɐŋ55		
𢫕	wɐŋ55	[丢掉不要]	
□	ɓɐŋ55	[器皿缺了個口兒]	
柄	ɓɐŋ55		
永	wɐŋ35		
□	wɐŋ33	(好~)[很光亮]	
泳	wɐŋ22		
詠	wɐŋ22		
穎	wɐŋ22		
憎	ɗɐŋ24		
曾	ɗɐŋ24	[姓]	
增	ɗɐŋ24		
精	ɗɐŋ24	(~神)	
晶	ɗɐŋ24		
睛	ɗɐŋ24		
僧	ɗɐŋ24		
藤	ɗɐŋ21		
鄧	ɗɐŋ22		
靜	ɗɐŋ22		
靖	ɗɐŋ22		
錠	ɗɐŋ22		
定	ɗɐŋ22		
贈	ɗɐŋ22		
淨	ɗɐŋ22	(~身)	
青	tʰɐŋ24		
清	tʰɐŋ24		
蜻	tʰɐŋ24		
情	tʰɐŋ21		
層	tʰɐŋ21		
亭	tʰɐŋ21		
停	tʰɐŋ21		
廷	tʰɐŋ21		
庭	tʰɐŋ21		
蜓	tʰɐŋ21		
騰	tʰɐŋ21		
謄	tʰɐŋ21		
疼	tʰɐŋ21		
曾	tʰɐŋ21	(~經)	
層	tʰɐŋ21		
晴	tʰɐŋ21		
請	tʰɐŋ55		
等	tʰɐŋ55	[助詞]	
挺	tʰɐŋ35		
等	tʰɐŋ33	[等待]	
聽	tʰɐŋ33	(~其自然)	
拎	nɐŋ24		
能	nɐŋ21		
寧	nɐŋ21		
□	nɐŋ33	[順便額外捎帶]	褦
擰	nɐŋ22		
佞	nɐŋ22		
燈	ɗɐŋ24		
登	ɗɐŋ24		
丁	ɗɐŋ24		
瞪	ɗɐŋ24		
靪	ɗɐŋ24		
疔	ɗɐŋ24		
□	lɐŋ24	[陪同]	
楞	lɐŋ24		
玲	lɐŋ21		
靈	lɐŋ21		
零	lɐŋ21		
鈴	lɐŋ21		
伶	lɐŋ21		
瓴	lɐŋ21		
翎	lɐŋ21		
陵	lɐŋ21		
淩	lɐŋ21		
菱	lɐŋ21		
等	ɗɐŋ55	(~候)	
頂	ɗɐŋ55	(~住)	
鼎	ɗɐŋ55		
凳	ɗɐŋ35	*變調	
領	lɐŋ35	(~導)	
嶺	lɐŋ35	(~南)	
靚	lɐŋ33	(lap33lap33~~)[很光亮]	
訂	ɗɐŋ33	(~約)	
令	lɐŋ22		
另	lɐŋ22		
星	ɬɐŋ24	(~期一)	
腥	ɬɐŋ24		
鍟	ɬɐŋ24		
醒	ɬɐŋ55	(~目)	
省	ɬɐŋ55	(反~)	
性	ɬɐŋ33		
姓	ɬɐŋ33		
蒸	ʦɐŋ24		
征	ʦɐŋ24		
貞	ʦɐŋ24		
偵	ʦɐŋ24		
正	ʦɐŋ24	(~月)	
徵	ʦɐŋ24	(~求)	
整	ʦɐŋ55		
拯	ʦɐŋ55		
證	ʦɐŋ33		
症	ʦɐŋ33		
正	ʦɐŋ33	[正在]	
政	ʦɐŋ33		
剩	ʦɐŋ22		
稱	ʦʰɐŋ24	(~呼)	
埕	ʦʰɐŋ21	[罎子]	
呈	ʦʰɐŋ21		
程	ʦʰɐŋ21		
澄	ʦʰɐŋ21	(~清)	
懲	ʦʰɐŋ21		
鋥	ʦʰɐŋ21		
逞	ʦʰɐŋ55		
秤	ʦʰɐŋ35	*變調	
稱	ʦʰɐŋ33	(相~)	
仍	ȵɐŋ21		
扔	ȵɐŋ21		
凝	ȵɐŋ21		
認	ȵɐŋ22		
升	sɐŋ24		
聲	sɐŋ24	(~音)	
繩	sɐŋ21		
乘	sɐŋ21		
承	sɐŋ21		
丞	sɐŋ21		
城	sɐŋ21	(~市)	
誠	sɐŋ21		
盛	sɐŋ21	(~滿)	
□	sɐŋ55	(~渠一巴掌)[賞他一記耳光]	㨘
勝	sɐŋ33	(~任、~利)	
聖	sɐŋ33		
□	sɐŋ22	(懵~~)[糊裏糊塗]	盛
盛	sɐŋ22	(茂~)	
經	kɐŋ24	(~過、~緯)	
京	kɐŋ24		
荆	kɐŋ24		
驚	kɐŋ24	(~奇)	
□	kɐŋ55	[固定了，不能靈活地活動]	
耿	kɐŋ55		
竟	kɐŋ55		
境	kɐŋ55		
景	kɐŋ55		
警	kɐŋ55		
敬	kɐŋ33		
勁	kɐŋ22		
競	kɐŋ22		
莖	kɐŋ22		
徑	kɐŋ22		
