#i
p[51]坝[31]皮疲琵枇鼻肥[44]比□{折断}匹[24]被{~子}毙
ŋ[31]牙芽衙[44]哑[424]砑[24]瓦压
x[51]虾[424]吓[24]瞎
∅[51]鸦丫[31]喉-[424]鸭押-[24]又-夏-

#ia
p[24]簸{~箕}薄白百柏
pʰ[424]拍
m[24]莫麦脉
tɕ[424]窄摘-
tɕʰ[424]拆泽=策册
ȵ[51]黏
k[51]隔[424]格
kʰ[44]考
ŋ[424]轭[24]额硬
x[424]客
∅[24]夏=下{~降}

#ua
f[51]花[424]化
l[24]□{污}
k[51]瓜[44]寡□{一~米}：{一把米}[424]剐挂卦刮
kʰ[51]夸
∅[51]歪[31]华画法获划[424]挖[24]话滑猾

#æ
p[51]排[31]牌□{掭}[44]摆[424]拜[24]稗败
pʰ[44]庹[424]派
m[31]埋[44]买[24]卖
t[24]大姐
tʰ[424]太[24]态
n[44]奶
l[424]戴贷代带赖待[24]癞□{烫}□{躺}
ts[51]斋[44]宰[424]债
tsʰ[51]差{出~}[44]彩采睬
s[31]豺柴[424]晒寨[24]赛泽-
k[51]街[44]解{~开}[424]界芥届戒[24]械
ŋ[51]挨[31]呆[44]矮
x[31]咳
∅[31]鞋

#iæ
p[24]雹薄

#uæ
f[31]怀槐[424]块快坏
s[44]洒
k[51]归乖[424]怪
∅[51]歪[424]恶

#yæ
t[424]作
tʰ[51]术{苍~}[424]错
l[424]拉[24]落乐
tɕ[51]捉
tɕʰ[424]啄戳
ɕ[424]吸[24]浊凿
k[51]各[424]角-{牛~}郭
x[424]壳
∅[31]学[424]恶{恨、恶}[24]鹤

#e
p[51]悲逼壁[424]贝闭[24]币备痱
pʰ[51]劈
m[31]□{~tue⁴⁴：未出嫁的姑娘}
t[51]积脊[24]笛
tʰ[51]帖踢
n[424]拿[24]娘
l[51]滴[31]力[24]历
ts[51]织[24]值
tsʰ[51]尺
s[51]狮识惜昔锡色[24]直蛰席蛰竖
k[24]急
x[51]吃
∅[44]也

#ie
p[51]鳖璧[31]别憋僻
pʰ[51]撇
m[51]摸-[44]□{秕}[24]灭篾
t[51]接节截[424]借[24]碟蝶
tʰ[51]铁切[424]斜撤
l[51]结-[24]劣
s[24]舌失
tɕ[51]遮摺织职只尺结=[424]蔗[24]再
tɕʰ[51]车□{端}[44]赤=扯
ȵ[51]爷[31]耳-[44]捏[24]聂业热孽月
ɕ[51]赊狮[31]蛇=自膝石[44]写舍社[424]泻[24]谢射麝赦
k[51]揭[31]茄[424]蔗
∅[31]蛇-[24]野夜叶

#ue
pʰ[51]批劈
f[51]灰=亏[44]毁[424]费惠匪
t[31]题提蹄啼崽[44]弟挤嘴[424]崽祭醉[24]第沓
tʰ[51]梯推催崔拖托[31]寻[44]体腿□{找}[424]替涕递砌退脆赘翠撤褪
n[51]□{揉}[31]泥尼疑□{~ti³³：蚂蚁}[424]小累[24]内腻
l[51]低堆[31]犁黎雷[44]底抵礼垒[424]帝对碓队兑[24]类
ts[51]锥追[424]最=
tsʰ[51]吹
s[51]筛西犀稀衰施[31]齐脐随葵谁锤槌[44]在洗罪水[424]细婿碎岁税薛[24]睡舌
k[51]规龟诀归[44]诡鬼[424]鳜桂贵[24]柜
kʰ[44]跪
∅[51]煨[31]危围违[44]委伟苇[424]回[24]汇会卫为位魏

#ye
tʰ[424]□{击、捣蒜}
l[24]虑
tɕ[31]决
tɕʰ[424]□{帽檐}
k[44]打-
x[51]血
∅[24]贺-

#ø
p[44]跛{~足}[424]簸{~一~}剖
pʰ[51]坡[424]破
m[51]模{~子、~范}摸=[31]磨{~刀}[24]磨{石~}
t[31]台苔龛驮{~肚：怀孕}[424]左再[24]舵堆袋
tʰ[51]搓=胎猜[31]拖[424]锉菜蔡
n[51]挪个-{一~人}[44]脑恼[24]糯耐碍
l[51]多搓-[31]螺脶罗锣箩鸬鹭来[44]朵颗裹
ts[424]啄
s[51]蓑梭腮[31]才材财裁□{~ti³³：孩子}[44]锁所[424]刷[24]坐座
k[51]歌该棺[31]他[44]改矩秆-[424]盖割
ŋ[51]安鞍旱[31]蛾鹅寒-[424]汉[24]饿艾汗焊亥
x[51]开[44]海蟹
∅[51]阿捂[31]河何[424]爱渴[24]害

#iø
tɕ[51]具蛛
tɕʰ[51]初区啄
ɕ[51]锄梳蔬

#o
p[51]波玻菠[31]袍服[44]保堡宝抱[424]报[24]薄{~荷}菢伏服□{~tɕie³¹：哽住了}
pʰ[51]扑
m[51]魔摩[31]毛[24]木帽密蜜
t[51]糟朝{今~}[31]□{摔}桃淘[44]讨道早枣蚤[424]綯{系：~鞋带}灶[24]□{丢}独读毒
tʰ[51]遭操[31]驼[44]草[424]蜕套糙
n[44]哪[24]闹=
l[51]罗刀涛[31]劳牢捞[44]岛倒{打~}老□{蘸}[424]到{又lɤ²⁴}倒{~水}[24]涝泪庐导蓝栏-鹿六陆绿录
ts[51]拾卒族竹祝粥烛鹧
s[51]骚臊□{~sẽ²⁴：干净}熄缩叔俗[31]曹潮粟[44]造嫂[424]扫{~地}[24]扫{~把}熟续赎
k[51]高膏篙杆谷[31]鸽[44]鸪稿秆=[424]告[24]个={~人}
kʰ[51]科[44]可烤[424]靠=磕
ŋ[31]熬摇
x[51]哭福[44]好[24]荷{薄~}
∅[51]屋[31]毫[24]号

#io
tɕ[44]拣
tɕʰ[51]出[44]确
ȵ[31]弱[44]□{爪子}[424]□{褶子}[24]日-入肉
∅[51]一-约[31]岳

#uo
p[51]钵[44]北笔
pʰ[51]泼
f[51]扩[44]火伙[424]货
t[24]叠
tʰ[51]脱七漆
l[24]捋栗
ts[51]撮摘=[31]侄[24]稠
tsʰ[51]出赤-
s[51]湿虱[44]雪[24]绝十实
k[51]国骨[31]括[44]果[424]过
kʰ[424]课
x[31]藿
∅[51]倭□{坑}[31]和{~气}禾[44]□{喊}[24]祸和{~面}物握

#ɤ
pʰ[51]□{洒}
tʰ[31]特
l[31]肋
ts[31]则责
tsʰ[31]测侧
k[31]革
kʰ[51]可[31]克
x[51]喝黑

#iɤ
tɕ[44]□{鸟，又tɕiau⁴⁴}
k[51]角={一~钱}

#uɤ
p[31]婆符
m[31]墨
f[51]宽
t[24]掉
∅[424]合[24]盒核乐

#au
p[51]褒包胞[31]刨浮=[44]饱[424]豹爆卜
pʰ[51]泡抛[31]跑[424]炮泡
m[31]茅猫谋矛[44]卯亩朽[24]貌某没
t[31]头=[44]酒[24]豆就
tʰ[51]偷秋丘[31]求-□{和}[44]悄[424]透凑
n[44]纽扭
l[51]逗得德[31]楼漏刘留硫琉立-笠头-□{ma²⁴~}：猴子[44]斗{一~}抖陡篓□{纠正}柳[424]□{窠}斗[24]□{刺}流
ts[51]周州洲[31]求=球[44]九久韭舅[424]罩咒救[24]皂躁旧
tsʰ[51]抄钞超抽[44]炒吵丑[424]臭
s[51]潲缲修搜收塞[31]绸稠愁仇[44]手首守[424]嗽锈袖[24]瘦受寿□{蛮子}贼
k[51]交胶勾钩沟鸠[44]搞狗[424]教窖觉叫够
kʰ[51]考=敲抠[31]叩[424]扣
ŋ[31]牛[44]咬藕呕[424]沤
x[51]黑刻{一~}[44]口[424]靠-[24]刻{时~}
∅[31]侯喉=[44]□{紫}厚[424]怄[24]后候孝-□{越}

#iau
tɕ[44]着{~裳，又tɕiɤ⁴⁴}□{~ȵi³¹：鸟}
tɕʰ[24]窍
ȵ[44]□{皱}
ɕ[31]着[24]孝=效
k[51]脚
∅[51]妖邀[31]谣瑶姚油游[44]有友酉[24]又=右佑釉药

#əe
k[51]鸡机

#oe
p[51]杯碑披[31]陪赔培被{~害}[424]背辈□{给}[24]背{~书}□{棉花}臂避
pʰ[51]削[31]胚[44]倍[424]配佩
m[31]梅煤媒妹霉楣□{剥}[44]米每[24]外妹美
f[424]废

#iəu
p[31]瓢[31]萍[44]表[24]暴
pʰ[51]飘漂[424]票
m[31]苗[44]秒[24]庙
t[51]焦[31]条调{~羹}[44]走
tʰ[424]跳
l[51]刁雕[31]撩燎[44]了□{绊}[424]钓吊调[24]料廖色
s[51]消宵霄销硝烧嚣箫[31]朝{~代}[44]少{多~}[424]笑少{~年}[24]噍
tɕ[51]召招[424]赵照
tɕʰ[51]锹[424]翘
ȵ[24]尿
ɕ[424]秀锈[24]嚼
k[51]骄娇[31]桥[44]绞狡搅较绕缴饺[424]叫[24]轿
kʰ[44]巧
∅[51]腰优[31]窑舀邮[424]要[24]鹞

#iu
l[31]□{惹}
ɕ[44]晓
∅[31]育

#yi
tɕ[51]朱[44]煮主
ɕ[51]输[44]鼠薯墟算[24]柱住
k[51]车{~马炮}[424]锯
x[424]去
∅[24]玉

#ẽ
p[51]宾兵[31]贫凭平坪瓶[44]丙饼柄[24]病
pʰ[51]拼[44]品[424]箅
m[31]明名[44]敏[24]命
f[24]奋
t[51]尖精-睛[31]甜亭停庭[44]井[424]郑[24]店盾订定
tʰ[51]添清听厅青签[31]晴[44]请[424]亲{~家}
n[31]能[44]踮[24]验念
l[51]丁钉叮[31]廉镰帘磷灵零铃[44]点-件顶岭[424]□{提}[24]另
ts[51]正{~月}[31]乘承[44]整[424]占正政[24]赠证
tsʰ[51]称[424]秤
s[51]认声星腥[31]参={人~}先情戚[44]醒[424]性姓胜圣[24]剩幸静净
k[51]兼羹京惊经[31]{~ky³¹：蟾蜍}检耿[44]碱哽境景警颈[424]禁敬镜[24]件=
kʰ[44]坎[24]庆
ŋ[31]银赢[44]染[24]嵌
x[51]轻[31]衡[424]欠
∅[51]兴{~旺、高~}英=[31]形[44]影

#ie ̃
p[51]鞭编边[31]便[44]贬扁匾[424]变[24]便
pʰ[51]篇偏拼[424]骗片
m[31]棉绵免[24]面
t[51]煎[31]田填[44]剪典[424]剑箭[24]电殿垫
tʰ[51]迁天千[44]浅
l[31]连联莲怜[24]练炼
s[51]仙鲜掀先[31]前钱[44]癣[424]线扇[24]贱善-
tɕ[31]症[44]诊[424]捡镇[24]建健
tɕʰ[51]谦[31]乾
ȵ[51]研[31]年
ɕ[31]贤[44]陕险显闪[24]献
k[51]奸坚[44]简笕[424]见
x[51]牵
∅[51]阉焰烟[31]炎盐檐严嫌[44]演[24]厌

#uẽ
p[31]盆盘□{还原}[44]辫本□给、赐[424]半[24]伴拌笨
pʰ[51]潘[24]判叛
m[44]满[31]门[24]漫闷
f[51]欢昏婚浑荤晕兄-烘分=[44]混困[24]喷
t[51]钻[31]团[44]断[424]浸尽-[24]断段缎
tʰ[51]吞亲{~戚}村[424]寸
n[44]暖□{~koŋ⁴²⁴：窟窿}[424]圆[24]嫩壬闰润
l[51]鸾墩端[31]淋鳞轮菱[44]短隐[424]吨碓挺[24]乱论
ts[51]珍砧真巾斤筋鲸精=贞侦[31]勤[44]紧近[24]□{~裳：缝衣服}
tsʰ[51]村椿春
s[51]酸闩拴辛新身申伸孙升[31]沉岑全泉宣传{~达}秦-陈尘神辰存唇纯醇程成城[44]选损笋省{节~}[424]蒜信[24]暂旋阵顺
k[51]柑君干{~湿}肝官观[31]拳权裙[44]管卷滚菌赶[424]灌擀棍
kʰ[51]圈[44]捆
ŋ[24]嵌
x[424]看
∅[51]豌瘟[31]含魂云[44]碗稳[424]暗[24]运

#yẽ
tɕ[51]砖专军[44]准[424]转[24]赚
tɕʰ[51]川穿[44]蠢[424]串
ȵ[31]人仁[44]软忍[24]愿认允
ɕ[31]椽船旬[424]劝[24]券
∅[31]完丸园员铅元原源冤袁寅匀营[44]远引[424]印[24]院县

#əẽ
k[51]跟根[44]□{往}[24]更{~加}
x[44]很[24]恨
∅[51]恩[31]姻痒

#oẽ
p[51]分-[44]粉=[424]粪[24]份
m[51]文[31]民蚊闻[24]问

#an
p[51]班斑扳般搬[31]蚌矾[44]板版粉-[424]办[24]凡犯烦饭份
pʰ[51]攀[31]喷{~嚏}
m[31]瞒馒[24]慢
f[51]藩翻番[44]反[424]贩[24]范幻
t[51]檀簪[31]谈弹[424]探弹[24]淡但蛋
tʰ[51]贪滩摊餐[44]毯[424]炭叹
n[31]南男难
l[51]单耽担{~任}丹[31]篮兰栏=拦[44]胆懒点=[424]担{挑~}旦[24]烂
ts[44]盏[24]暂站{车~}栈
tsʰ[51]□{锅，又tɕiaŋ⁵¹}参[31]惭残[44]产铲
s[51]裳三溅珊山删[31]蚕[424]散伞[24]溅善=
k[51]甘间{中~}[44]感敢减[424]干{~部}[24]监间{~断}
kʰ[44]砍
ŋ[31]岩寒=韩颜咸[44]眼[24]按硬
x[51]坑[31]函[424]□{骂}
∅[31]咸衔闲[24]陷限苋

#ian
p[44]□{赶}
m[424]□{缺}
f[51]兄=

#uan
tʰ[24]锻
n[24]任壬
l[44]躲
ts[51]针枕金钦曾[31]琴[424]□{沟}[24]传{~记}
s[51]心深[44]婶审沈
k[51]鳏关[31]馆[24]冠惯□{扔，又liəu²⁴}
kʰ[31]款
∅[51]弯湾[31]顽环烦还[24]万

#in
p[51]冰[24]并
tʰ[44]挺
l[31]鲤
tsʰ[24]侵
s[31]秦=
tɕ[24]进尽=
ȵ[31]宁
ɕ[31]刑
k[31]芹
∅[51]莺鹦樱[31]迎[424]应

#yn
ɕ[51]熏
∅[44]永[24]运=孕泳

#aŋ
p[51]崩[44]□{垮}棒
m[31]盲
f[51]方[44]哄[424]访
t[31]藤[424]□{~鱼：鲫鱼}[24]邓
l[51]粒灯[31]郎狼[44]等[424]凳[24]浪
ts[51]蒸
s[51]擤[31]偿层绳[44]嗓[424]□{玩耍}
k[51]□{一~款：一笔款}[44]港
x[44]肯[24]项=
∅[31]杭

#iaŋ
p[51]帮膀邦□{赶}[31]旁螃[44]榜绑
m[31]忙芒[44]网[424]忘[24]望梦
t[44]将{~来}奖浆桨[424]酱将{大~}
tʰ[51]枪[44]抢
l[31]良凉量{~长短}粮梁粱[44]两冷[24]亮谅辆量{数~}
s[31]墙[44]想[424]象像[24]上
tɕ[51]张章争睁[44]蒋锦涨长{生~}仗掌[424]帐账=胀[24]降={下~}
tɕʰ[51]疆[31]祥详[44]厂[424]唱撑
ȵ[24]让仰酿
ɕ[51]参-相箱厢湘商伤乡生甥[31]场长{~短}常尝[44]丈赏享饷省{~长}[424]向[24]匠相{~貌}尚行{~为、品~}
k[51]刚樟姜更{~换}粳庚[31]强[44]强{勉~}
x[51]香[44]响
∅[51]秧[31]养羊洋杨扬降{投~}[44]养[24]样项-

#uaŋ
f[51]荒
k[51]光[44]广
kʰ[424]况矿[24]旷
∅[31]黄簧皇蝗王洪红-[44]枉[24]晃旺

#yaŋ
t[31]潭谭堂唐糖塘[424]葬
tʰ[51]汤仓苍菖窗[44]坦
l[51]当{~时}[44]党朗□{皱}[424]当{~铺}[24]林
tɕ[51]庄装桩
tɕʰ[51]疮[44]闯[424]撞
ȵ[31]阎
ɕ[51]桑丧霜双[31]藏{~起来}肠床[24]状
k[51]岗钢缸江[44]讲杆[424]杠[24]降-{霜~}
kʰ[51]□{抬}
x[51]糠汪
∅[51]音阴缘韵英-[31]寅行{一~}横[24]巷

#oŋ
p[51]枫[31]防房朋彭棚篷逢[424]放[24]凤奉俸缝{一条~}
pʰ[51]灰-[44]捧=
m[51]□{~~：爷爷}[31]萌蒙[44]猛懵[24]孟
t[51]棕宗[31]同铜筒桐[44]董懂总[424]粽[24]动洞
tʰ[51]聪通葱囱[31]童[44]桶统怂[424]痛
n[51]脓[31]农浓闹-
l[51]东冬中[31]笼聋隆龙[44]拢[424]冻[24]洞弄
ts[51]中=忠终踪钟盅[31]穷[44]种{一~}肿[424]中{看~}众种
tsʰ[51]充冲[424]铳
s[51]松[31]虫从松{~木：松树}重{~复}[44]重{轻~}[424]送宋[24]仲讼颂诵
k[51]公工攻功弓宫恭[44]巩[24]虹贡共供
kʰ[44]孔拱恐[24]控
x[51]轰风疯丰封峰蜂锋[424]空
∅[51]翁[31]宏红=冯[424]瓮

#ioŋ
l[51]□{蹲}
ɕ[51]胸凶[31]熊雄
∅[31]荣戎绒融茸容蓉[44]拥勇[424]用

#m̩
∅[31]唔{不}

#n̩
∅[31]□{~ie³¹：蜈蚣}

#ŋ̍
∅[44]五伍午
