攝號	聲母字母	小韵	反切上字	反切下字	汉字	半圈字（多全濁上聲）
3	t	ī	德	衣	隄隄羝牴鞮䩚低氐磾柢𥓓	
3	t͑	ī	忒	衣	梯鷈睇鵜	
3	f	ī	弗	衣	非霏菲妃騑匪裶裴緋飛蜚誹馡餥騛扉	
3	s	ī	色	衣	西栖犀嘶撕捿凘澌屖遟鸂	
3	x	ī	石	衣	詩釃襹籭蓰師篩獅屍尸蓍鳲施鍦䙾葹𩒂㕧䌳絁螄蒒邿翅𦐠	
3	h	ī	黑	衣	羲犧𣟵曦巇戯㕧嬉熙譆僖熹禧譆稀欷希俙晞睎鵗豨醯橀兮奚嵇蹊㜎騱傒豀鼷屎釐禧獻娭	
3		î				
3	Ø	î			移酏栘椸扅𦖮蛇貤鉹𠗺簃䔟匜訑夷洟恞姨峓䧅𢓡跠痍寅桋夤彜頣𠄱圯瓵貽怡台詒飴宜轙㕒鸃儀涯疑嶷觺沂凒遺壝尼𡰱胰侇荑袲佗迤陀异怠檥議崖	
3	c̹͑	î	測	移	齊蠐臍	
3	c͑h	î	撦	移	馳池篪邸趍謻踟謘𡓹荎遲泜泜蚳貾持治耛	
3	k͑	î	克	移	竒𥔎𨪆𤦺岐衹跂蚑軝忯𮪍祁耆鰭期棊旗基其祺萁淇琪𤪌綦蘄麒騏祈肵旂畿𥔎示𨙸伎疷祗芪愭鬐𫮍隑幾俟□䳢	
3	p͑	î	魄	移	皮疲郫脾裨陴埤崥毗比貔𨈚魮𣗽𦳈鼙椑㼰羆辟紕𪌈膍蚍鈚邳岯伾琵枇藣豍	
3	t͑	î	忒	移	題稊䬾䨑桋締提荑蹏嗁鵜銻𧋘綈瑅騠鮧睼媞禔鴺緹罤鞮㡗折偍梯鶗𪂿	
3	v	î	物	移	微㵟薇維惟濰溦帷	
3	f	î	弗	移	肥腓淝痱厞	
3	l	î	勒	移	離离籬蘺醨罹驪麗灕璃䄜蠡䕻劙穲纚鸝孋棃黧犂𠠍𨛫藜釐氂嫠漦剺梩貍犛黎梨犁來䅘蔾矖瓈𩭇霾攭㰚䅻邌	
3	m	î	麥	移	糜𦗕𪎭醾縻劘𪋈𢇲彌罙瀰迷麛㜷䍘眉嵋麋蘪湄楣𥹆蘼㸏	
3	n	î	溺	移	泥尼怩秜跜臡呢旎倪㞾齯蝡䘽霓麑鮞輗宜轙㕒鸃儀涯疑嶷繄沂凒兒唲埿	
3	x	î	石	移	時匙禔𦑡塒鰣蒔漦	
3	h	î	黑	移	奚兮嵇蹊㜎傒騱豀鼷擕畦觽嶲嶲䥴貕謑𣒎町眭𧔍	
3		ì				
3	Ø	ì			𠋣扆依偯輢𭥃㕈醫醷譩迤崺酏巳苢以矣擬儗薿螘顗蟻艤𨪆匜祂𧩹轙齮礒掜也肔䭲	
3	c̹	ì	則	依	泲濟擠薺鮆癠齊	
3	c̹͑	ì	測	依	緀泚玼㧗萋	
3	ch	ì	者	依	止紙抵只咫砥疻枳軹坁底黹址阯耆洔黹絺希鵗㫖指𠨿沚趾芷畤徴褫滍崻恉跱	豸廌偫痔阤陊庤薙泜雉峙
3	c͑h	ì	撦	依	耻祉㶴鉹恀㢋拸搋䚦杝懘禠侈姼齒茝紪哆誃袳	
3	k	ì	格	依	己𢰤踦剞几机麂㲹紀幾蟣㞆穖庋枳	技妓䗁𨪆跽
3	k͑	ì	克	依	起杞芑屺𦂶豈䔇𡷞䄫𦄊觭企玘跂啓𣘼稽綮	
3	p	ì	百	依	彼俾鞞髀鄙否比妣秕粃佊䃾枇朼吡疕匕卑箄	陛婢庳梐𨻼骳罷被
3	p͑	ì	魄	依	庀否圮痞嚭秠仳批噽𤿎披諀	
3	t	ì	德	依	底邸氐柢疷詆觝觝泜弤軧隄阺	弟悌娣遞
3	t͑	ì	忒	依	體涕醍	
3	v	ì	物	依	尾斖陫	
3	f	ì	弗	依	斐朏誹菲篚匪悱棐榧奜蜚蜰	
3	l	ì	勒	依	里邐履理裏李俚鯉禮醴澧蠡鱧娌梩礼盠豊劙麗欐	
3	m	ì	麥	依	米弭敉羋瀰靡眯䋛餌辟黀洣美渳	
3	n	ì	搦	依	伱禰泥濔柅抳𢓚鑈薾螘艤𨪆擬儗薿檷顗	
3	s	ì	色	依	徙𨑭屣蓰釃𩎉纚枲洗葸諰禗楒漇簁蹝璽	
3	x	ì	石	依	矢弛豕屎始史使駛	𦧇視是諟氏市恃仕竢俟柿涘戺媞禔䟡阺䟗柹
3	h	ì	黑	依	喜狶螘㛸豨唏俙霼傒謑奚	
3		í				
3	Ø	í			易肄勩異食詒异施義議儗劓甈廙隶貤𫾻衪袘𣙤懿意薏衣輢𠋣縊翳曀瞖嫕㙪殪瘞医繄蘙㙠饐䵝䭇餲羿詣堄睨寱毅藝槸囈乂刈㣻輗帠栺褹藙曵裔枻泄䄁洩㵝遺栧𧙟拽跇勩呭詍㵩撎	
3	c̹	í	則	易	祭霽濟擠穧隮劑齊嚌懠穧薺眥齋𨣧癠鮆𩯶	
3	c̹͑	í	測	易	砌切妻暩	
3	ch	í	者	易	至寘忮觶疐智𣉻厎躓輊懫鷙質緻遲稺稚𭬱治乿謘值直植置笫制㫼晣䀸製䱥鰶淛浙滯蹛彘㿃至贄𡠗執騺𪁊摯礩志誌識織綕𥿮痣䏯胾椔菑剚𨧫倳	
3	c͑h	í	撦	易	埴翅施啻厠廁杫幟眙熾饎觢懘傺袲揥	
3	k	í	格	易	記𭔃冀驥懻穊覬季其既溉轚㼄𦇧猘罽𭸟禨鵋瀱瘈狾刏芰𮪍暨洎臮蔇𡏲忌惎偈碣伎妓䗁誋垍悸綦諅技計繼繫薊髻	
3	k͑	í	克	易	企跂棄器亟氣乞蚑娸契憩揭甈栔鍥㓶挈	
3	p	í	百	易	避祕䪐閟𪫠費轡賁跛詖陂髲被濞備糒奰贔鼻庳𤹝比畀庇弊敝幣斃鄨薜泌柲佊披貱𦌠骳鞁淠𤰇犕婢紕陛鞴閉箄蔽箅阰𡚁𩦉潎撇撆藣臂嬖帔	
3	p͑	í	魄	易	譬睤濞淠僻	
3	t	í	德	易	地帝疐諦蒂柢嚏謕螮第弟悌娣睇禘遞遰締杕踶題逮棣珶釱軑𪂿鶗提鷤逓	
3	t͑	í	忒	易	替褅薙涕鬀楴殢𡲕髢	
3	v	í	物	易	未味	
3	f	í	弗	易	費沸芾髴誹昲菲祓茇䆏黂狒屝痱䠊蜚翡廢癈肺杮吠茷䑔	
3	l	í	勒	易	詈離茘利𥣭䚕蒞吏麗棙𩗭隷俪戾綟沴䬅唳欐盭例𤼚禲螭糲勵厲礪䕻攦𢿐劙攭悷淚濿迾栵㾐裂珕	
3	m	í	麥	易	寐謎袂靡	
3	n	í	搦	易	詣膩泥迡殢義議儗劓毅羿堄睨寱藝槸囈㣻甈乂刈	
3	s	í	色	易	細壻栖	
3	x	í	石	易	侍跂嗜視示謚事寺蒔枝眎慹士仕是市柿恃眡翅施啻試弑始使屣磨曬史識室失鍦逝誓筮噬忕澨遾世勢貰豉	
3	h	í	黑	易	戯屭齂餼愾熂霼欷墍憙嬉概黖咥豷燹係系褉盻妎侐	
4		ō				
4	Ø	ō			阿痾䋪娿妸	
4	c̹͑	ō	測	阿	磋蹉瑳搓傞嵯	
4	k	ō	格	阿	歌哥柯菏戨茄鴚舸戈過𨍋緺濄媧騧鍋	
4	k͑	ō	克	阿	軻珂科蝌窠薖	
4	p	ō	百	阿	波番嶓碆	
4	p͑	ō	魄	阿	坡頗玻	
4	t	ō	德	阿	多𡖇	
4	t͑	ō	忒	阿	佗詑拖蛇駝	
4	s	ō	色	阿	梭娑挱傞莎犠獻蓑𣯌髿桫沙莏㱔唆䤬	
4	h	ō	黑	阿	訶呵	
4		ô				
4	c̹͑	ô	測	和	痤瘥醝鹺齹艖𥰭䣜䑘矬	
4	p͑	ô	魄	和	婆皤鄱	
4	t͑	ô	忒	和	駝酡紽䭾佗鮀迤陀跎沱驒鼉鱓他陁阤	
4	g	ô	額	和	莪娥蛾鵝俄哦峨吪囮鈋睋	
4	l	ô	勒	和	羅蘿𤄷螺覼驘籮囉饠欏鑼儸虆蔂𡏱攞𥡜𨰠	
4	m	ô	麥	和	摩磨魔麽䃺劘𥂓攠	
4	n	ô	搦	和	儺那難挼	
4	h	ô	黑	和	荷何河苛禾龢和鉌	
4		ò				
4	Ø	ò			娿婀妸𭸟𣘨	
4	c̹	ò	則	娿	左㝾坐脞	
4	c̹͑	ò	測	娿	瑳	
4	k	ò	格	娿	哿笴舸菏果裹蜾𠜴倮	
4	k͑	ò	克	娿	可坷軻果顆堁岢	
4	p	ò	百	娿	播跛簸磻	
4	p͑	ò	魄	娿	頗叵	
4	t	ò	德	娿	朶嚲哆癉憚挅捶埵崜𥠄揣鬌𥿰阤袉	柁拕沱
4	t͑	ò	忒	娿	垜墮惰妥䲊橢嫷嶞	
4	g	ò	額	娿	我硪騀𡜮𡛖	
4	l	ò	勒	娿	邏䇔𧝹蓏蠡砢㦬蜾攭	
4	m	ò	麥	娿	麽	
4	n	ò	溺	娿	娜旎儺袲橠	
4	s	ò	石	娿	鎖瑣䵀所糈䝪	
4	h	ò	黑	娿	火荷苛	禍夥輠髁
4		ó				
4	c̹	ó	則	賀	佐作坐座	
4	c̹͑	ó	測	賀	挫剉莝蓌夎磋蹉	
4	k	ó	格	賀	個箇過裹	
4	k͑	ó	克	賀	課軻坷堁	
4	p	ó	百	賀	簸播譒磻	
4	p͑	ó	魄	賀	破	
4	t	ó	德	賀	墯癉跢刴𨦃䭾大惰舵	
4	t͑	ó	忒	賀	拖唾佗大扡拕	
4	f	ó	弗	賀	伏覆副仆復缚	
4	g	ó	额	賀	饿臥	
4	l	ó	勒	賀	摞逻	
4	m	ó	麥	賀	磨塺	
4	n	ó	溺	賀	柰那稬愞𤲬	
4	s	ó	色	賀	娑些	
4	h	ó	黑	賀	贺荷𧝂和貨呵	
4		ŏ				
4	Ø	ŏ			遏餲頞閼堨靄䨠惡堊蝁匼姶㷈唈邑罨握幄渥喔剭𪚊偓腛	
4	c̹	ŏ	則	惡	昨拶作鑿𨯳柞酢怍筰莋繓撮纂	
4	c̹͑	ŏ	測	惡	錯厝措昔剒縒撮	
4	ch	ŏ	者	惡	汋鷟浞灂鋜籗齺捉斲斮穱穛斵琢啄卓踔倬涿諑㧻椓斸濁濯鐲擢踔逴篧	
4	c͑h	ŏ	撦	惡	綽婥趠簎婼躇齪娖齱逴擉踔	
4	k	ŏ	格	惡	葛轕㵧割匃匄各閣格袼閤鴿韐蛤𧊧合㪉頜蓋䧄	
4	k͑	ŏ	克	惡	渴溘㧁䆟榼磕恪濭	
4	p	ŏ	百	惡	剝駮爆駮博搏鎛簙襮髆煿薄鑮欂犮溥餺嚗較𤒁拍雹骲瓝犦鰒泊箔胈礴亳彴拔懪撲𢷏怕簿𥴮撥襏鱍鉢墢鮁跋茇坺鬾鈸㩧柭醱蹳𩌏	
4	p͑	ŏ	魄	惡	潑璞朴粕膊薄扑濼𦢸鏷猼鞄鮑颮鏺	
4	t	ŏ	德	惡	奪脫掇剟毲咄敪鐸凙度澤襗剫𢜬	
4	t͑	ŏ	忒	惡	脫侻說稅梲託橐柝拓蘀饦籜魄咄戄祏	
4	j	ŏ	日	惡	弱嫋蒻若鄀搦溺芍	
4	f	ŏ	弗	惡	縛	
4	g	ŏ	額	惡	諤鱷鶚鍔萼鄂齶愕咢噩刖枿嶭䡾𪚊齾	
4	l	ŏ	勒	惡	落捋硌洛酪絡珞樂駱犖𩂣路甪㓢烙轢櫟濼	
4	m	ŏ	麥	惡	抹邈皃末秣沫昩妺眜莫幕漠膜瘼寞瞙鏌摸鄚塻貌暯䴲	
4	n	ŏ	搦	惡	諾搦掉𭡠	
4	s	ŏ	色	惡	索朔矟箾欶數槊萷㮦𣝇	
4	x	ŏ	石	惡	杓汋酌鑠爍彴妁灼禚焯斫䶂	
4	h	ŏ	黑	惡	曷鞨毼褐喝猲鹖郝壑𦞦蠚熇臛嗃鄗謞藃鶴挌貉𧆑癨霩彉合闔盍嗑蓋郃䢔洽盒欱𣣹矐皬螛	
4		ȯ̆				
4	c̹	ȯ̆	則	熟	族鏃蹴踧蹙䫏䠞𣢰摵縬𦄉勦足⻊卒稡崒踤捽啐𧑙	
4	c̹͑	ȯ̆	測	熟	蔟瘯䠓促數趗鏃猝	
4	ch	ȯ̆	者	熟	竹逐軸蓫柚舳妯躅粥祝竺筑築爥屬矚曯斸瘃贖欘茿	
4	c͑h	ȯ̆	撦	熟	蓄柷俶慉滀䙒蓫臅稸觸歜亍矗䦠	
4	k	ȯ̆	格	熟	谷轂穀榖䶜鵠告梏牿骨愲汩滑淈搰	
4	k͑	ȯ̆	克	熟	哭鄗酷嚳窟崫搰矻𩑔	
4	p	ȯ̆	百	熟	不㒒暴瀑轐襮纀幞濮檏卜	
4	p͑	ȯ̆	魄	熟	㒒扑墣醭勃孛浡艴悖馞渤㶿桲朏昢	
4	t	ȯ̆	德	熟	篤讀犢殰髑瀆黷讟匵獨毒纛嬻瓄韇韣督蝳裻咄柮頓對祋牘	
4	t͑	ȯ̆	忒	熟	禿䛢鵚突揬腯怢堗鈯	
4	j	ȯ̆	日	熟	肉蓐辱溽褥鄏縟	
4	v	ȯ̆	物	熟	物勿岉沕昒芴	
4	f	ȯ̆	額	熟	福幅腹輻楅蝠葍複復覆蝮副佛鍢馥伏虙服茯栿澓菔箙鵩坲垘鞴匍岪輹拂刜髴艴弗紱綍黻祓冹沸茀韍紼帗咈不芾綍蔽柫𧿳笰翇怫䬑？䭮	
4	l	ȯ̆	勒	熟	祿碌鹿簏漉麓摝琭錄轆盝六陸戮稑蓼勠菉綠䍡騄醁淥簶睩騼籙僇硉𧌉逯	
4	m	ȯ̆	麥	熟	木沐騖霂毣楘目牧睦繆穆蚞苜坶沒歿圽勿	
4	n	ȯ̆	搦	熟	訥衄肭恧忸	
4	s	ȯ̆	色	熟	速䔩餗㮘樕遫觫涑鱐蕭藗謏謖數縮莤蹜䎘肅夙宿蓿束贖俗續藚粟賣窣䘏率帥蟀	
4	x	ȯ̆	石	熟	塾孰熟淑屬蜀蠋襡贖鸀鐲韣璹叔菽倏束㑐琡倐婌鮛	
4	h	ȯ̆	黑	熟	忽縠斛槲鵠熇螜囿翯榖䚛豰笏惚𣇤齕淈核麧紇鶻滑汩	
5		ū				
5	Ø	ū			烏洿杇惡於	
5	c̹	ū	則	烏	租蒩苴	
5	c̹͑	ū	測	烏	麤麆麄麁初芻	
5	c͑h	ū	撦	烏	初芻	
5	k	ū	格	烏	孤辜姑酤鴣觚菰沽𨬟柧箛軱呱橭罛蛄䉉夃盬	
5	k͑	ū	克	烏	枯刳恗	
5	p	ū	百	烏	逋晡誧餔	
5	p͑	ū	魄	烏	舖痡𨁏鯆誧𥠵	
5	t	ū	德	烏	都闍	
5	t͑	ū	忒	烏	㻌稌	
5	f	ū	弗	烏	夫膚扶柎趺鈇䄮枹玞武砆簠紂殍罘不鄝懯敷荂莩稃孚泭桴怤郛俘紨䵾	
5	s	ū	色	烏	蘇㢝酥踈綀蔬梳胥疋釃斯穌	
5	h	ū	黑	烏	呼膴幠虖謼滹	
5		u̇̄				
5	c̹	u̇̄	則	私	貲觜訾髭鄑姿姕齋嵫趑次劑咨資齎澬䆅𪗋粢齍兹孜孳滋仔鼒耔菑椔緇輜錙淄鶅	
5	c̹͑	u̇̄	測	私	雌差縒嵯䡨疵玼	
5	s	u̇̄	色	姿	私思絲司偲颸緦覗斯傂凘廝𪆁虒褫師篩獅析廝𩆵罳伺鷥㴲	
5		ụ̄				
5	ch	ụ̄	者	書	諸䃴蠩渚列跦袾祩咮侏豬瀦櫫株誅蛛禂邾朱珠	
5	c͑h	ụ̄	撦	書	樗攄摴㻬貙樞姝	
5	x	ụ̄	石	諸	書舒𪅰紓瑹輸隃𥠕鄃鍮	
5		û				
5	Ø	û			吾梧鼯吳㻍鋙郚𠯵牾浯齬	
5	c̹͑	û	測	吾	䅳雛媰殂鋤耡徂芻	
5	c͑h	û	撦	吾	鋤耡徂且殂𪄞䅳雛媰	
5	p͑	û	魄	吾	酺蒲䒀蒱匍苻瓿	
5	t͑	û	忒	吾	徒途塗駼鵌荼圖屠菟峹瘏稌鍍捈𤺈䅷	
5	v	û	物	吾	無璑蕪巫毋誣䍢亡武曼	
5	f	û	弗	吾	符扶夫苻鳧蚨瓿颫芙麩	
5	g	û	額	吾	吾梧鼯吳㻍鋙郚吴牾浯齬𪁙	
5	l	û	勒	吾	盧艫顱轤籚鑪蘆矑瀘櫨玈瓐罏㼾獹纑𤬛鱸罏𧇄	
5	m	û	麥	吾	模謨母膜嫫撫墓橅	
5	n	û	溺	吾	奴帑笯駑拏砮	
5	h	û	黑	吾	胡湖瑚乎箶醐瓠餬鶦壺狐弧鍸臺	
5		u̇̂				
5	c̹͑	u̇̂	測	祠	疵骴茈啙茨瓷𩆂餈薺鶿鴜慈磁兹辭詞祠柌䛐辞辤𨐲	
5	s	u̇̂	色	慈	詞辤𨐲柌祠䛐辭辞	
5		ụ̂				
5	c͑h	ụ̂	撦	儒	除儲筡篨躇屠滁著幬宁蜍𢊍躕禂	
5	j	ụ̂	日	除	儒嚅濡懦醹襦如茹鴽洳臑	
5	x	ụ̂	石	儒	殊杸㼡銖殳洙茱	
5		ù				
5	Ø	ù			五伍午仵旿隖鄔瑦	
5	c̹	ù	則	五	阻俎詛齟祖珇組粗	
5	c̹͑	ù	測	五	楚礎濋憷𪓐	
5	ch	ù	者	五	詛阻爼	
5	c͑h	ù	撦	五	楚礎濋憷𪓐	
5	k	ù	格	五	古鼓估盬詁牯瞽股蠱賈罟羖酤沽苦楛夃	
5	k͑	ù	克	五	苦䇢楛	
5	p	ù	百	五	補圃譜	簿部堡蔀
5	p͑	ù	魄	五	普浦溥誧	
5	t	ù	德	五	覩堵賭楮睹	杜肚荰土𢾅
5	t͑	ù	忒	五	土稌吐	
5	v	ù	物	五	武舞憮甒鵡碔膴侮廡嫵橆䍙嘸	
5	f	ù	弗	五	甫脯黼簠父斧府頫莆俌偩輔腐鬴撫捬弣腑㕮滏秿	婦負阜萯
5	g	ù	額	五	伍吾午仵旿	
5	l	ù	勒	五	魯虜艪艣鹵滷𧫓	
5	m	ù	麥	五	母姥莽姆拇䥈畒某牡	
5	n	ù	搦	五	努弩砮怒	
5	s	ù	色	五	數所糈䝪籔藪	
5	h	ù	黑	五	虎琥滸許戶	祜扈楛岵雇𡻮怙嫭嫮鄠下昈
5		u̇̀				
5	c̹	u̇̀	則	死	紫啙訾仔秄呰𣐑跐緇姊秭子梓耔滓宰□笫胏	
5	c̹͑	u̇̀	測	死	此泚佌玼	
5	s	u̇̀	色	子	死𣦹史使駛兕似耜汜姒巳祀駞士仕竢俟柿涘戺	
5		ụ̀				
5	ch	ụ̀	者	汝	主渚煑炷𪐴枓斗貯禇柱麈拄宔眝	紵抒宁杼佇羜貯苧柱坾泞著
5	c͑h	ụ̀	撦	汝	杵處楮褚	
5	j	ụ̀	日	主	汝茹乳醹籹如	
5	x	ụ̀	石	主	暑鼠黍癙紓抒杼	墅竪梪樹
5		ú				
5	Ø	ú			誤捂悟晤㦍忤逜愕汙惡杵堊𢙁嗚艧寤䎸䜑	
5	c̹	ú	則	悟	胙祚阼葄飵作祖助耡詛	
5	c̹͑	ú	測	悟	措醋	
5	ch	ú	者	悟	助詛祖	
5	c͑h	ú	撦	悟	楚憷	
5	k	ú	格	悟	顧雇故固凅錮痼酤詁鮕沽蠱稒	
5	k͑	ú	克	悟	庫袴胯跨苦	
5	p	ú	百	悟	布抪圃佈怖步酺捕哺𩣝荹鞴簿部搏	
5	p͑	ú	魄	悟	舖怖誧	
5	t	ú	德	悟	度渡鍍斁妒蠹秅肚詫姹咤㓃	
5	t͑	ú	忒	悟	吐兔鵵	
5	v	ú	物	悟	務霧婺瞀鶩騖	
5	f	ú	弗	悟	附祔駙傅鮒賻坿柎胕父跗婤負偩赴仆訃𦺉簠富冨富付賦萯䭸	
5	g	ú	額	悟	誤捂悟寤梧㦍遻忤逜愕	
5	l	ú	勒	悟	路露鷺賂輅璐䈣簬潞	
5	m	ú	麥	悟	暮慕墓募慔	
5	n	ú	搦	悟	怒笯	
5	s	ú	色	悟	訴泝塑素嗉愫塐遡傃榡	
5	h	ú	黑	悟	互護瓠嫭濩頀冱穫枑呼芐	
5		u̇́				
5	c̹	u̇́	則	事	恣積柴漬眥骴胾椔剚字孳牸自	
5	c̹͑	u̇́	測	事	刺□絘疵𧧒次䯸佽厠杫庛	
5	s	u̇́	色	自	泗賜四肆駟寺嗣飤笥思伺司事栖澌瀃使屣駛柶	
5		ụ́				
5	ch	ụ́	者	恕	著軴紸燭爥曯躇咮祝翥註住主䪒澍鑄馵炷註屬箸除柱駐𨙔鉒	
5	c͑h	ụ́	撦	恕	處絮	
5	j	ụ́	日	恕	茹洳孺乳如	
5	x	ụ́	石	䖏	恕庻署曙樹戍輸澍䄈隃束	
5		ŭ				
5	c̹	ŭ	則	悛	崒踤誶卒啐捽	
5	c̹͑	ŭ	測	卒	焌	
5		u̇̆				
5	s	u̇̆	色	帥	率帥蟀	
5		ụ̆				
5	ch	ụ̆	者	述	术𦬸𦸇窋㤕	
5	c͑h	ụ̆	撦	述	黜怵絀出	
5	j	ụ̆	日	述	入	
5	s	ụ̆	色	述	賉戍訹怵珬	
5	x	ụ̆	石	入	術述秫术沭潏	
6		āi				
6	c̹	āi	則	該	栽哉災材	
6	c̹͑	āi	測	該	猜偲靫差䡨	
6	ch	āi	者	災	齋	
6	c͑h	āi	撦	災	釵靫差䡨叉	
