字	阜南	临泉	太和	涡阳	颍上
梳	suɤ211	suɤ213	fɤ213	fuɤ213	suɤ213
疏	su211	suɤ213	suɤ213	fɤ213	suɤ213
蔬	su211	su213	suɤ213	fɤ213	suɤ213
所	suɤ23	suɤ24	suɤ24	fɤ25	suɤ35
疏	su211	su213	su213	su213	suɤ213
煮	tsu23	tsu24	tsu24	tsu25	ʦu35
处	tsʰu53	tsʰu52	tsʰu41	tsʰu42	ʦʰu35
书	su211	fu213	su213	fu213	su213
舒	su211	fu213	su213	fu213	ʦʰu213
鼠	tsʰu23	fu24	fu44	tsu25	ʦʰu35
暑	tsʰu23	fu24	fu24	ʦʰu25	ʦʰu33
庶	su53	su52	su41	su42	su51
墅	su53	fu52	su41	fu42	su51
署	tsʰu23	tsʰu24	su24	tsʰu25	ʦʰu35
薯	tsʰu23	fu24	su24	tsʰu25	ʦʰu35
居	tɕy211	tɕy213	tɕy213	tɕy213	ʨy213
車	tɕy211	tɕy213	tɕy213	tɕy213	ʦʰɤ213
举	tɕy23	tɕy24	tɕy24	tɕy25	ʨy35
据	tɕy53	tɕy52	tɕy41	tɕy42	ʨy51
墟	ɕy211	ɕy213	ɕy213	ɕy213	ɕy213
去	tɕʰy53	tɕʰy52	tɕʰy41	tɕʰy42	tɕʰy51
拒	tɕy53	tɕy52	tɕy41	tɕy42	ʨy51
苣	tɕy53	tɕy52	tɕy41	tɕy42	ʨy33
鱼	y55	y55	y44	y44	y33
许	ɕy23	ɕy24	ɕy24	ɕy25	ɕy35
於	y55	y55	y44	y44	y33
淤	y55	y55	y44	y44	y33
予	y53	y24	y41	y42	y35
豫	y53	y52	y41	y42	y51
夫	fu211	fu213	fu213	fu25	xu213
抚	fu23	fu24	fu24	fu25	fu35
殕	pu23	pu24	pu24	pu25	pu33
赴	fu53	fu52	fu41	fu42	fu51
讣	fu53	fu52	fu41	pu42	fu51
符（符合）	fu53	fu52	fu41	fu42	xu33
扶	fu53	fu52	fu213	fu42	fu33
父	fu53	fu52	fu41	fu42	fu51
附	fu53	fu52	fu41	fu42	xu51
巫	u213	u213	u213	u213	u213
武	u23	u24	u24	u25	u35
侮	u211	u213	u213	u213	u35
务	u53	u52	u41	u42	u51
缕	ly23	ly24	ly24	ly25	ly35
趋	tɕʰy211	tɕʰy213	tɕʰy213	tɕʰy213	ʨʰy213
取	tɕʰy23	tɕʰy24	tɕʰy24	tɕʰy25	ʨʰy35
趣	tɕʰy53	tɕʰy52	tɕʰy41	tɕʰy42	ʨʰy51
聚	tɕy53	tɕy52	tɕy41	tɕy42	ʨy51
须	ɕy211	ɕy213	ɕy213	ɕy213	ɕy213
数	suɤ211	fɤ213	suɤ213	fɤ213	suɤ213
数	suɤ53	fɤ52	suɤ41	fɤ42	suɤ51
朱	tsu211	tsu213	tsu213	tsu213	ʦu213
主	tsu23	tsu24	tsu24	tsu25	ʦu35
注	tsu53	tsu52	tsu41	tsu42	ʦu51
蛀	tsu53	tsu52	tsu41	tsu42	ʦu51
铸	tsu53	tsu52	tsu41	tsu42	ʦu51
枢	su211	su213	su213	su213	su213
输	zu211	zu213	fu213	fu213	zu213
戍	su53	su52	su41	fu42	su51
殊	su211	tsʰu213	su213	fu213	ʦʰu213
竖	su53	fu52	su41	fu42	su51
树	su53	fu52	su41	fu42	su51
乳	zu55	zu24	zu24	zu25	zu35
擩	zu23	zu24	zu24	zu25	zu35
句	tɕy53	tɕy52	tɕy41	tɕy42	tɕy51
区	tɕʰy211	tɕʰy213	tɕʰy23	tɕʰy213	tɕʰy213
衢	tɕʰy23	tɕʰy24	tɕʰy24	tɕʰy25	ʨʰy33
愚	y55	y55	y44	y44	y33
遇	y53	y52	y41	y42	y51
榆	y55	y55	y44	y44	y33
逾	y53	y55	y41	y42	y33
喻	y53	y52	y41	y42	y51
胎	tʰɛ211	tʰɛ213	tʰɛ213	tʰɛ213	tʰɛ213
台	tʰɛ55	tʰɛ55	tʰɛ44	tʰɛ44	tʰɛ33
态	tʰɛ211	tʰɛ213	tʰɛ213	tʰɛ213	tʰɛ51
臺	tʰɛ55	tʰɛ55	tʰɛ44	tʰɛ44	tʰɛ33
苔	tʰɛ55	tʰɛ55	tʰɛ44	tʰɛ44	tʰɛ33
抬	tʰɛ55	tʰɛ55	tʰɛ44	tʰɛ44	tʰɛ33
待	tɛ53	tɛ52	tɛ41	tɛ42	tɛ51
乃	nɛ23	nɛ24	nɛ24	nɛ25	nɛ35
耐	nɛ53	nɛ52	nɛ41	nɛ42	nɛ51
來	lɛ55	lɛ55	lɛ44	lɛ44	lɛ33
灾	tsɛ211	tsɛ213	tsɛ213	tsɛ213	ʦɛ213
栽	tsɛ211	tsɛ213	tsɛ213	tsɛ213	ʦɛ213
宰	tsɛ23	tsɛ24	tsɛ24	tsɛ25	ʦɛ35
载	tsɛ23	tsɛ24	tsɛ24	tsɛ25	ʦɛ35
再	tsɛ53	tsɛ52	tsɛ41	tsɛ42	ʦɛ51
猜	tsʰɛ211	tsʰɛ213	tsʰɛ213	tsʰɛ213	ʦʰɛ213
彩	tsʰɛ23	tsʰɛ24	tsʰɛ24	tsʰɛ25	ʦʰɛ35
採	tsʰɛ23	tsʰɛ24	tsʰɛ24	tsʰɛ25	ʦʰɛ35
睬	tsʰɛ23	tsʰɛ24	tsʰɛ24	tsʰɛ25	ʦʰɛ35
菜	tsʰɛ53	tsʰɛ52	tsʰɛ41	tsʰɛ42	ʦʰɛ51
纔	tsʰɛ55	tsʰɛ55	tsʰɛ44	tsʰɛ44	ʦʰɛ33
才	tsʰɛ55	tsʰɛ55	tsʰɛ44	tsʰɛ44	ʦʰɛ33
材	tsʰɛ55	tsʰɛ55	tsʰɛ44	tsʰɛ44	ʦʰɛ33
赛	sɛ53	sɛ52	sɛ41	sɛ42	sɛ51
该	kɛ211	kɛ213	kɛ213	kɛ213	kɛ213
改	kɛ23	kɛ24	kɛ24	kɛ25	kɛ35
概	kʰɛ53	kɛ52	kɛ41	kɛ42	kɛ51
溉	kʰɛ53	kʰɛ52	kɛ41	kɛ42	kɛ51
开	kʰɛ211	kʰɛ213	kʰɛ213	kʰɛ213	kʰɛ213
凯	kʰɛ23	kʰɛ24	kʰɛ24	kʰɛ25	kʰɛ35
慨	kʰɛ53	kʰɛ24	kʰɛ24	kʰɛ25	kʰɛ35
咳	kʰɤ55	kʰɤ55	kʰɤ44	kʰɤ44	kʰiɛ33
呆	tɛ211	tɛ213	tɛ212	tɛ213	tɛ213
孩	xɛ55	xɛ55	xɛ44	xɛ44	xɛ33
狈	pe53	pe52	pe41	pe42	pe51
沛	fe53	pʰe52	pʰe41	pʰe42	pʰe51
太	tʰɛ53	tʰɛ52	tʰɛ41	tʰɛ42	tʰɛ51
泰	tʰɛ53	tʰɛ52	tʰɛ41	tʰɛ42	tʰeɛ51
奈	nɛ53	nɛ52	nɛ41	nan42	nɛ51
赖	lɛ53	lɛ52	lɛ41	lɛ42	lɛ51
濑	lɛ53	lɛ52	lɛ41	lɛ42	lɛ51
蔡	tsʰɛ53	tsʰɛ52	tsʰɛ41	tsʰɛ42	ʦʰɛ51
害	xɛ53	xɛ52	xɛ41	xɛ42	xɛ51
拜	pɛ53	pɛ52	pɛ41	pɛ42	pɛ35
排	pʰɛ53	pʰɛ52	pʰɛ44	pʰɛ42	pʰɛ33
埋	mɛ53	mɛ52	mɛ44	mɛ42	mɛ33
豺	tsʰɛ55	tsʰɛ55	tsʰɛ44	tsʰɛ44	ʦʰɛ33
皆	tɕiɛ211	tɕiɛ213	tɕiɛ213	tɕiɛ213	ʨiɛ213
介	tɕiɛ53	tɕiɛ52	tɕiɛ41	tɕiɛ42	ʨiɛ51
戒	tɕiɛ53	kʰɛ24	tɕiɛ41	tɕiɛ42	ʨiɛ51
揩	kʰɛ23	kʰɛ24	kʰɛ24	kʰɛ25	kʰɛ33
楷	kʰɛ23	kʰɛ24	kʰɛ24	kʰɛ25	kʰɛ35
谐	ɕiɛ55	ɕiɛ55	ɕiɛ44	ɕiɛ44	ɕiɛ33
骇	xɛ53	xɛ52	xɛ41	xɛ42	xɛ51
械	ʨiɛ53	ɕiɛ41	ɕiɛ41	ʨiɛ51	ʨiɛ51
派	pʰɛ53	pʰɛ52	pʰɛ41	pʰɛ42	pʰɛ51
牌	pʰɛ55	pʰɛ55	pʰɛ44	pʰɛ44	pʰɛ33
罢	pa53	pa52	pɛ24	pa42	pa51
稗	pɛ53	pɛ52	pɛ41	pɛ42	pɛ51
买	mɛ23	mɛ24	mɛ24	mɛ25	mɛ35
卖	mɛ53	mɛ52	mɛ41	mɛ42	mɛ51
奶	nɛ23	nɛ24	nɛ24	nɛ25	nɛ35
债	tsɛ53	tʂɛ52	tsɛ41	tsɛ42	ʦɛ51
钗	tsʰɛ211	tsʰɛ213	tsʰɛ213	tsʰɛ213	ʦʰɛ213
差	tsʰa211	tsʰɛ213	tsʰɛ213	tsʰa213	ʦʰɛ213
街	tɕiɛ211	tɕiɛ213	tɕiɛ213	tɕia25	ʨiɛ213
解	tɕiɛ23	tɕiɛ24	tɕiɛ24	tɕiɛ213	ʨiɛ35
懈	ɕiɛ53	ɕiɛ52	ɕiɛ53	tɕiɛ25	ɕiɛ51
崖	ia55	ia55	ia44	ia44	ia33
捱	ɛ23	ɛ24	ɛ24	ia44	ɛ213
解	ɕiɛ53	ɕiɛ52	ɕiɛ53	ɕiɛ44	ɕiɛ51
解	tɕiɛ23	tɕiɛ52	tɕiɛ53	ɕiɛ42	ɕiɛ51
矮	ɛ23	ɛ24	iɛ24	iɛ25	ɛ35
蔽	pi53	pi52	pi53	pi42	pi51
敝	pi53	pi52	pi53	pi42	pi51
弊	pi53	pi52	pi53	pi42	pi51
幣	pi53	pi52	pi53	pi42	pi51
斃	pi53	pi52	pi53	pi42	pi51
例	li53	li52	li53	li42	le51
历	li53	li52	li53	li42	li51
励	li53	li52	li53	li42	li51
祭	tɕi53	tɕi52	tɕi53	tɕi42	ʨi51
際	tɕi53	tɕi52	tɕi53	tɕi42	ʨi51
穄	tɕi53	tɕi52	tɕi53	tɕi42	ʨi51
滞	tsɿ53	tsɿ52	tsɿ53	tsɿ42	ʦɿ51
世	sɿ53	sɿ52	sɿ53	sɿ42	sɿ51
誓	sɿ53	sɿ52	sɿ53	sɿ42	sɿ51
逝	sɿ53	sɿ52	sɿ53	sɿ42	sɿ51
闭	pi53	pi52	pi53	pi42	pi51
箅	pi53	pi52	pi53	pi42	pi51
批	pʰi211	pʰi213	pʰi213	pʰi213	pʰi213
陛	pi53	pi52	pi53	pi42	pi51
迷	mi55	mi55	mi55	mi44	mi33
米	mi23	mi24	mi24	mi25	mi35
谜	mi55	mi55	mi55	mi44	mi33
低	ti211	ti213	ti213	ti213	ti213
堤	tʰi211	tʰi213	ti24	tʰi25	tʰi213
底	ti23	ti24	ti24	ti25	ti35
抵	ti23	ti24	ti53	ti25	ti35
帝	ti53	ti52	ti213	ti42	ti51
渧	ti211	ti213	ti53	ti213	tʰi51
蒂	ti53	ti52	tʰi213	ti42	ti51
梯	tʰi211	tʰi213	tʰi24	tʰi213	tʰi213
体	tʰi23	tʰi24	tʰi53	tʰi25	tʰi35
替	tʰi53	tʰi52	tʰi53	tʰi42	tʰi51
屜	tʰi53	tʰɤo52	tʰi55	tʰɤo42	tʰɛ213
蹄	tʰi55	tʰi55	tʰi55	tʰi44	tʰi33
泥	ni55	ni55	ni55	ni44	ni33
犂	li55	li55	li24	li44	li33
礼	li23	li24	li53	li25	li35
丽	li53	li52	li53	li42	li51
挤	tɕi23	tɕi24	tɕi24	tɕi25	ʨi35
济	tɕi53	tɕi52	tɕʰi213	tɕi42	ʨi51
妻	tɕʰi211	tɕʰi213	tɕʰi213	tɕʰi213	ʨʰi213
凄	tɕʰi211	tɕʰi213	tɕʰi213	tɕʰi213	ʨʰi213
砌	tɕʰi53	tɕʰi52	tɕʰi55	tɕʰi42	ʨʰi51
齐	tɕʰi55	tɕʰi55	tɕi53	tɕʰi44	ʨʰi33
西	ɕi211	ɕi213	ɕi213	ɕi213	ɕi213
洗	ɕi23	ɕi24	ɕi24	ɕi25	ɕi35
婿	ɕy55	ɕy52	ɕy55	ɕy42	ɕy51
鸡	tɕi211	tɕi213	tɕi213	tɕi213	ʨi213
继	tɕi53	tɕi52	tɕi41	tɕi42	ʨi51
溪	ɕi211	ɕi213	tɕʰi24	ɕi213	ɕi213
啓	tɕʰi23	tɕʰi24	tɕʰi24	tɕʰi25	ʨʰi35
倪	ni55	ni55	ni55	ni44	ni33
诣	i53	i52	ɕi213	i42	i51
奚	ɕi211	ɕi213	ɕi41	ɕi213	ɕi213
系	ɕi53	ɕi52	ɕi41	ɕi42	ʨi51
杯	pe211	pe213	pe213	pe213	pe213
辈	pe53	pe52	pe41	pe42	pe51
背	pe53	pe52	pʰe41	pe42	pe51
胚	pʰe55	pʰe213	pʰi213	pʰe25	pʰe213
坯	pʰi211	pʰe213	pʰe41	pʰe213	pʰe213
配	pʰe53	pʰe52	pʰe44	pʰe42	pʰe51
梅	me55	me55	me44	me44	me33
枚	me55	me55	me44	me44	me33
昧	mi53	me52	me41	me42	me51
推	tʰue211	tʰe213	tʰue213	tʰe25	tʰe213
腿	tʰue23	tʰe24	tʰe24	tʰe42	tʰe35
退	tʰue53	tʰe52	tʰe41	te42	tʰe51
队	tue53	te52	te41	te42	te51
内	ne53	ne52	ne41	le44	ne51
雷	le55	le55	le44	le25	le33
累	le23	le52	le41	le42	le51
擂	le55	le52	le41	le42	le51
催	tsʰe211	tsʰe213	tsʰue213	tsʰue213	ʦʰe213
崔	tsʰe211	tsʰe213	tsʰue213	tsʰue213	ʦʰe213
摧	tsʰe211	tsʰe213	tsʰue213	tsʰue213	ʦʰe213
罪	tsue53	tsue52	tsue41	tsue42	ʦe51
碎	sue53	sue52	sue41	sue42	se51
盔	kʰue211	kʰue213	kʰue213	kʰue213	kʰue213
魁	kʰue23	kʰue24	kʰue24	kʰue25	kʰue33
回	xue55	xue55	xue44	xue44	xue33
茴	xuən55	xue55	xuən44	xue44	xuən33
溃	xue53	xue52	kʰue41	ue42	xue51
煨	ue53	ue52	ue41	tʰe42	ue213
蜕	tʰue53	tʰue52	tʰe41	te42	tʰe51
兑	tue53	te52	te41	tue42	te51
会	kʰuɛ53	kʰuɛ52	kʰuɛ41	kʰuɛ42	fe51
乖	kuɛ211	kuɛ213	kuɛ213	kuɛ213	kuɛ213
怪	kuɛ53	kuɛ52	kuɛ41	kuɛ42	kuɛ51
塊	kʰuɛ53	kʰuɛ52	kʰuɛ41	kʰuɛ42	kʰuɛ51
怀	xuɛ55	xuɛ55	xuɛ44	xuɛ44	xuɛ51
槐	xuɛ55	xuɛ52	xuɛ44	xuɛ44	xue33
柺	kuɛ23	kuɛ24	kuɛ24	xuɛ44	kuɛ35
歪	uɛ211	uɛ213	uɛ213	uɛ213	uɛ213
画	xua53	xua52	xua41	xua42	xua51
蛙	ua55	ua55	ua44	ua44	ua213
快	kʰuɛ53	kuɛ52	kuɛ41	kuɛ42	kʰuɛ51
肺	fe53	fe52	fe41	fe42	hue51
闺	kue211	kuə̃213	kue213	kue213	kuən213
桂	kue211	kue52	kue41	kue42	kue51
奎	kʰue23	kʰue24	kʰue24	kʰue25	kʰue33
畦	tɕʰi55	tɕʰi55	tɕʰi44	tɕʰi44	tɕʰi33
惠	xue53	xue52	xue41	xue42	xue51
慧	xue53	xue52	xue41	xue42	xue51
臂	pe53	puɤ213	pe41	pe42	pɤ33
披	pʰi211	pʰe213	pʰi213	pʰe213	pʰi213
譬	pʰi53	pʰi52	pʰi41	pʰi42	pʰi51
皮	pʰi55	pʰi55	pʰi44	pʰi44	pʰi33
糜	mi55	mi55	mi44	mi44	mi33
弥	mi23	mi55	mi44	mi25	mi33
靡	li23	mi24	mi24	mi25	mi35
离	li23	li52	li24	li42	li51
荔	li53	li52	li41	li42	li51
紫	tsɿ23	tsɿ24	tsɿ24	tsɿ25	ʦɿ35
雌	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ33
此	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ35
刺	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	ʦʰɿ51
疵	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ213
斯	sɿ53	sɿ52	sɿ41	sɿ42	sɿ213
廝	sɿ211	sɿ213	sɿ213	sɿ213	sɿ213
撕	sɿ211	sɿ213	sɿ213	sɿ213	ʦɿ213
赐	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	ʦʰɿ51
知	tsɿ211	ʦɿ213	tsɿ213	tsɿ213	ʦɿ213
蜘	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
智	tsɿ53	tsɿ52	tsɿ41	tsɿ42	ʦɿ51
池	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ33
驰	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ33
筛	sɛ211	sɛ213	sɛ213	sɛ213	sɛ213
支	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
枝	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
肢	tsɿ211	tsɿ213	tsɿ213	tsɿ213	ʦɿ213
栀	tsɿ211	tsɿ24	tsɿ213	tsɿ213	ʦɿ213
纸	tsɿ23	tsɿ24	tsɿ24	tsɿ25	ʦɿ35
侈	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ35
翅	tsʰɿ53	tsʰɿ52	tsʰɿ41	tsʰɿ42	ʦʰɿ51
施	sɿ211	sɿ213	sɿ213	sɿ213	sɿ213
匙	tsʰɿ55	tsʰɿ55	tsʰɿ44	tsʰɿ44	ʦʰɿ213
是	sɿ53	sɿ52	sɿ41	sɿ42	sɿ51
寄	tɕi53	tɕi52	tɕi41	tɕi42	ʨi51
羁	tɕi53	tɕi52	tɕi41	tɕi42	ʨi213
企	tɕʰi23	tɕʰi24	tɕʰi24	tɕʰi25	ʨʰi35
奇	tɕi53	tɕi55	tɕi44	tɕi42	tɕʰi33
骑	tɕʰi23	tɕʰi55	tɕʰi44	tɕʰi25	ʨʰi33
岐	tɕʰi23	tɕʰi55	tɕʰi44	tɕʰi25	ʨʰi33
技	tɕi53	tɕi52	tɕi41	tɕi42	ʨi51
妓	tɕi53	tɕi52	tɕi41	tɕi42	ʨi51
奇	tɕʰi23	tɕʰi24	tɕʰi24	tɕʰi25	tɕʰi33
鄙	pe53	pe213	pe41	pʰi25	pe51
屄	pi211	pi213	pi213	pi213	pi213
比	pi23	pi24	pi24	pi25	pi35
鼻	pi55	pi55	pi44	pi44	pi33
眉	me23	me55	me24	me25	me33
地	ti53	ti52	ti41	ti42	ti51
