V1	V2	V2	
liᴇ	2	31	列
iᴇ	5	214	夜葉
piᴇ	1	35	別憋
tʰiᴇ	1	35	貼鐵
tɕiᴇ	2	31	傑節結
ɕiᴇ	2	31	斜協
tɕʰiᴇ	2	31	截
miᴇ	2	31	滅
iᴇ	2	31	葉業捏
tɕiᴇ	1	35	接節截
ɕiᴇ	1	35	蟹歇
tɕʰiᴇ	1	35	切截
iᴇ	1	35	爺葉孽
tɕiᴇ	3	453	姐
ɕiᴇ	3	453	寫
iᴇ	3	453	野
tsua	1	35	抓
sua	2	31	刷
kua	5	214	掛
ua	1	35	話挖襪
kua	2	31	刮
ua	3	453	瓦
kua	1	35	瓜
kuai	5	214	怪
kʰuai	5	214	快
uai	1	35	外歪
kuai	3	453	拐
kʰuai	3	453	塊
tuei	5	214	對
tsuei	5	214	醉
suei	5	214	歲
tsʰuei	5	214	碎
kuei	5	214	桂跪櫃貴
kʰuei	1	35	虧
luei	5	214	類
uei	5	214	衛位味胃
tsuei	2	31	垂錘賊
suei	2	31	隨
tsʰuei	2	31	垂
kuei	1	35	規龜
luei	2	31	雷
uei	2	31	回危圍
tsuei	1	35	罪追
suei	3	453	水
tsʰuei	1	35	吹
kuei	3	453	鬼
luei	3	453	呂
uei	1	35	味
tsuei	3	453	嘴
uei	3	453	尾
kuᴇ	2	31	國
kʰuᴇ	2	31	闊
tɕyᴇ	2	31	茄絕決
ɕyᴇ	1	35	靴雪血削
tɕʰyᴇ	1	35	缺
yᴇ	5	214	月
yᴇ	2	31	越
pan	5	214	扮辦半
pʰan	5	214	判
fan	5	214	犯
tan	2	31	潭彈
tʰan	1	35	貪炭
tsan	5	214	占戰
san	5	214	扇善
zan	3	453	染
tsʰan	3	453	產
kan	1	35	甘肝間
kʰan	5	214	看
xan	5	214	漢限
man	1	35	慢
ŋan	5	214	暗岸
lan	2	31	南藍難蘭
pan	2	31	盤
fan	2	31	還橫
tan	1	35	淡單
tʰan	3	453	毯
tsan	2	31	蠶纏
san	1	35	三衫山
kan	3	453	感敢
xan	2	31	含鹹
man	3	453	滿
ŋan	1	35	安
lan	1	35	爛
pan	1	35	扮班搬
fan	1	35	歡換翻飯
tan	3	453	膽
tsan	1	35	黏
san	3	453	傘
xan	1	35	汗
ŋan	3	453	眼隱
lan	3	453	懶
pan	3	453	板
fan	3	453	反
xan	3	453	喊
pᴇn	2	31	貧盆平
fᴇn	5	214	糞
tᴇn	5	214	凳
tʰᴇn	5	214	聽
tsᴇn	5	214	進鎮證正
sᴇn	5	214	姓
zᴇn	5	214	任閏
tsʰᴇn	5	214	寸秤
kᴇn	1	35	根更耕
kʰᴇn	1	35	坑
xᴇn	5	214	恨
mᴇn	2	31	門明名
ŋᴇn	5	214	硬
lᴇn	2	31	輪能
pᴇn	1	35	冰病
fᴇn	2	31	魂墳橫
tᴇn	2	31	藤
tʰᴇn	1	35	吞
tsᴇn	2	31	沉陳層程城
sᴇn	2	31	神辰
zᴇn	2	31	人
tsʰᴇn	2	31	層
kᴇn	3	453	梗
kʰᴇn	3	453	肯
xᴇn	2	31	行
mᴇn	1	35	面命
ŋᴇn	1	35	恩
lᴇn	1	35	嫩
pᴇn	3	453	本餅
fᴇn	1	35	婚分
tᴇn	1	35	墩蹲燈凳釘
tsᴇn	1	35	針爭靜貞
sᴇn	1	35	心參深新身孫僧剩升生聲星
zᴇn	1	35	認
tsʰᴇn	1	35	親村清青
lᴇn	3	453	冷領
fᴇn	3	453	粉
tᴇn	3	453	等頂
tsᴇn	3	453	震井整
sᴇn	3	453	筍省
piᴇn	5	214	變便病
pʰiᴇn	5	214	騙片
tiᴇn	5	214	店墊定
tʰiᴇn	5	214	聽
tɕiᴇn	5	214	劍件建健見進勁鏡靜
ɕiᴇn	5	214	線現縣興
tɕʰiᴇn	5	214	欠浸慶
miᴇn	5	214	命
liᴇn	2	31	林連蓮鄰零
iᴇn	5	214	驗厭念印
piᴇn	2	31	貧瓶
pʰiᴇn	2	31	平
tiᴇn	2	31	甜田停
tʰiᴇn	1	35	添天廳聽
tɕiᴇn	2	31	鉗琴錢前勤
ɕiᴇn	2	31	嫌行形
tɕʰiᴇn	1	35	簽牽親輕青
miᴇn	2	31	棉民明名
liᴇn	3	453	領
iᴇn	2	31	鹽嚴顏延言年銀迎贏
piᴇn	1	35	冰兵
pʰiᴇn	3	453	品
tiᴇn	3	453	點典頂
tʰiᴇn	3	453	挺
tɕiᴇn	1	35	監尖金間奸肩筋近經
ɕiᴇn	1	35	先新
tɕʰiᴇn	3	453	淺
miᴇn	1	35	面面
iᴇn	1	35	蟻炎音煙蠅
piᴇn	3	453	扁柄餅
tɕiᴇn	3	453	減剪緊井
ɕiᴇn	3	453	險顯
iᴇn	3	453	眼引隱影
tuan	1	35	端斷
tsuan	5	214	賺傳
suan	5	214	算閂
zuan	3	453	暖軟
tsʰuan	2	31	傳
kuan	5	214	慣
kʰuan	1	35	寬
luan	1	35	亂
uan	5	214	院萬
tuan	3	453	短
tsuan	2	31	傳船
suan	1	35	酸
tsʰuan	3	453	鏟
kuan	1	35	官關
uan	2	31	完頑還
tsuan	1	35	磚
uan	1	35	換彎
tsuan	3	453	轉
uan	3	453	碗晚
suᴇn	2	31	唇純
kuᴇn	3	453	滾
kʰuᴇn	5	214	困
uᴇn	5	214	問
uᴇn	2	31	蚊橫
uᴇn	1	35	溫問
tɕyᴇn	5	214	賺俊
ɕyᴇn	5	214	順
tɕʰyᴇn	5	214	勸
yᴇn	5	214	院運
tɕyᴇn	2	31	全船權裙
ɕyᴇn	2	31	尋唇純繩
tɕʰyᴇn	2	31	全權
yᴇn	2	31	圓鉛原園勻雲榮營
tɕyᴇn	1	35	均軍
ɕyᴇn	1	35	鮮熏
tɕʰyᴇn	1	35	圈春
yᴇn	1	35	院冤運
tɕyᴇn	3	453	卷准
ɕyᴇn	3	453	選
tɕʰyᴇn	3	453	鏟
yᴇn	3	453	遠永
poŋ	2	31	朋棚蓬
pʰoŋ	2	31	朋
toŋ	5	214	凍動
tʰoŋ	5	214	痛
tsoŋ	5	214	粽
soŋ	5	214	送宋
tsʰoŋ	5	214	沖
koŋ	5	214	共
kʰoŋ	3	453	孔
xoŋ	5	214	鳳縫
moŋ	1	35	夢
ŋoŋ	1	35	翁
loŋ	2	31	膿濃龍
pʰoŋ	1	35	蓬
toŋ	2	31	銅
tʰoŋ	1	35	通
tsoŋ	2	31	蟲
soŋ	1	35	松
tsʰoŋ	1	35	蔥充沖
koŋ	1	35	公宮恭
xoŋ	2	31	紅
moŋ	3	453	猛
loŋ	1	35	聾弄
toŋ	1	35	東洞冬
tʰoŋ	3	453	桶統
tsoŋ	1	35	中終重
xoŋ	1	35	烘風豐封蜂
toŋ	3	453	懂
tsoŋ	3	453	腫種
pɑŋ	5	214	棒
pʰɑŋ	5	214	胖
fɑŋ	5	214	放
tɑŋ	3	453	黨
tʰɑŋ	2	31	糖
tsɑŋ	2	31	長
sɑŋ	5	214	上
zɑŋ	1	35	讓
tsʰɑŋ	5	214	唱
kɑŋ	1	35	鋼
kʰɑŋ	1	35	糠
xɑŋ	5	214	項
mɑŋ	2	31	忙
lɑŋ	5	214	浪
pɑŋ	1	35	幫
fɑŋ	2	31	房防
tʰɑŋ	1	35	湯
tsɑŋ	1	35	張章
sɑŋ	2	31	嘗
tsʰɑŋ	1	35	窗
kɑŋ	3	453	講
pɑŋ	3	453	綁
fɑŋ	1	35	慌方
sɑŋ	1	35	傷上
tsʰɑŋ	3	453	廠
fɑŋ	3	453	紡
tɕiɑŋ	1	35	漿匠薑江
ɕiɑŋ	5	214	像向
tɕʰiɑŋ	5	214	像
liɑŋ	1	35	亮
iɑŋ	2	31	娘
ɕiɑŋ	2	31	降
tɕʰiɑŋ	1	35	筐
liɑŋ	3	453	兩
iɑŋ	1	35	娘秧樣
ɕiɑŋ	3	453	想響
tɕʰiɑŋ	3	453	搶
iɑŋ	3	453	癢
tsuɑŋ	5	214	壯撞
suɑŋ	1	35	霜雙
tsʰuɑŋ	1	35	倉瘡
kuɑŋ	2	31	狂
kʰuɑŋ	1	35	筐
uɑŋ	5	214	旺
tsuɑŋ	2	31	床
tsʰuɑŋ	3	453	撞
kuɑŋ	1	35	光
uɑŋ	2	31	黃王
tsuɑŋ	1	35	裝樁
uɑŋ	3	453	網
tɕyoŋ	2	31	窮
ɕyoŋ	2	31	熊雄
yoŋ	5	214	用
ɕyoŋ	1	35	兄兇
yoŋ	2	31	容
yoŋ	1	35	用
yoŋ	3	453	擁
ɚ	5	214	二
ɚ	2	31	兒
ɚ	3	453	耳
