#ɿ
ts[1]资姿咨滋[3]紫姊子梓滓[5]自字
tʂ[1]猪诸诛蛛株朱珠[2]竹烛触[3]煮主[5]著箸驻柱住注蛀铸
tʂʰ[2]除储处厨橱出[3]处{~所}拄
ʂ[1]书输{~赢}殊[2]叔淑熟蜀属[3]鼠暑墅署薯[5]树述术
ʐ[2]如汝入辱[3]乳擩儒
k[1]姑孤辜[2]骨谷[3]古估牯股鼓[5]故固雇顾
kʰ[1]箍枯[3]苦[5]库裤[7]哭
∅[1]吾乌污坞巫诬[2]吴蜈梧无[3]五伍午武舞侮鹉[5]误悟务雾

#y
tɕ[1]居车{~马炮}拘驹跔俱爵鞠掬[2]橘菊局[3]举矩[5]据锯拒距聚句具惧剧
tɕʰ[1]趋区驱躯[2]渠[3]取娶[5]去趣砌
ȵ[2]吕虑滤率{效~}[3]女旅
ɕ[1]墟虚嘘须需虽[2]絮徐叙绪[3]许[5]序
∅[2]鱼渔于淤余愚虞娱禹[3]语与迂雨宇羽[5]御誉预豫遇寓吁芋榆逾愈俞愉喻裕玉逸郁浴欲

#ər
∅[2]儿而[3]尔耳饵[5]二贰

#a
p[1]巴芭疤吧笆琶杷[2]爸八[3]把{~握}[5]坝把{刀~}坝罢
pʰ[2]爬钯耙拔[5]怕帕
m[1]妈[2]麻痳[3]马码[5]骂
f[2]法乏发伐筏罚
t[2]搭答沓达[3]打[5]大
tʰ[1]他[2]踏搨塔榻遢溻塌
n[1]挪拉垃[2]拿捺纳腊蜡辣[3]哪[5]那
ts[2]杂眨
tsʰ[2]搽擦
s[3]洒傻撒萨
tʂ[1]楂渣[2]诈乍扎札闸铡榨[5]炸
tʂʰ[1]叉杈差岔钗[2]茶查插察
ʂ[1]沙纱痧砂杉[2]杀
∅[1]阿{~胶}

#ia
tɕ[1]家加嘉傢稼[2]夹裌甲胛挟荚[3]假{真~}贾假{放~}[5]架驾嫁价
tɕʰ[2]掐恰洽
ɕ[1]虾[2]霞狭峡侠瞎辖[5]吓下夏
∅[1]鸦丫桠[2]牙芽衙伢蚜鸭押[3]雅哑[5]砑亚压涯

#ua
tʂ[1]抓
ʂ[2]涮刷[3]厦耍
k[1]瓜[2]刮[3]寡剐[5]挂卦褂
kʰ[1]夸[3]垮[5]跨
x[1]花[2]华{中~}华{~山}铧桦划滑猾[5]化画话
∅[1]蛙洼蛙挖[2]娃袜[3]瓦

#e
p[2]北百柏伯白陌
pʰ[2]泊迫拍魄
m[2]墨默脉麦
t[2]得德
tʰ[2]特
n[2]劣勒肋
ts[2]则贼窄摘责
tsʰ[2]厕撤澈彻侧恻测拆择泽册策
s[2]涩虱塞色啬
tʂ[1]遮[2]蔗折{打~}褶哲辙浙[3]者
tʂʰ[1]笡车[3]扯
ʂ[1]赊奢[2]蛇赦舍{宿~}摄涉舌设折{~本}[3]舍{~得}[5]射麝社
ʐ[2]热[3]惹
k[2]格骼革隔嗝
kʰ[2]咳克刻客
ŋ[2]额厄扼轭
x[2]黑核

#ie
p[1]憋逼[2]别
pʰ[2]撇弼辟劈
m[2]灭篾蔑
t[2]跌碟迭滴嫡敌的{目~}
tʰ[2]帖贴铁
tɕ[1]皆阶[2]藉接妾辑集辑杰节结洁吉即鲫棘极迹积籍绩激击[3]姐解{了~}[5]借介界届戒械
tɕʰ[2]茄劫怯戚
ȵ[2]聂镊蹑猎业立列烈裂孽捏力溺历
ɕ[1]偕[2]谐携胁协泄歇蝎息熄媳惜夕席析锡[3]写[5]谢懈
∅[1]耶椰[2]爷叶页延亦译[3]也野[5]夜液腋

#ue
k[2]郭国
kʰ[2]括廓扩
x[2]或惑获

#ye
tɕ[2]绝决诀
tɕʰ[2]瘸厥蕨缺
ɕ[1]靴[2]续薛雪血恤削
∅[1]曰[2]悦阅月越粤域掠

#o
p[1]波菠玻钵[2]薄{~荷}拨脖勃博薄{厚~}[3]簸{~一~，动词}簸{~箕}颇跛[5]播
pʰ[1]坡[2]婆泼[5]破剖
m[1]摸摩蟆[2]魔磨{~刀}模{~范}摹慕墓募末沫没{出~}膜莫寞[3]抹[5]磨{石~}幕
f[3]否
t[1]多[2]剁夺读牍犊[3]朵躲[5]舵
tʰ[1]拖[2]驼驮唾脱突凸托拓秃[3]妥椭
n[1]啰[2]罗锣箩萝骡螺摞脶落烙洛酪骆乐络[3]裸[5]糯
ts[2]作昨[3]左[5]佐坐座
tsʰ[1]搓[2]撮拙掘橛凿戳[5]锉措错
s[1]蓑梭唆[2]索缩束[3]锁琐所
tʂ[2]着卓桌啄琢捉筑逐祝
ʂ[2]说
ʐ[2]若箬弱
k[1]歌哥锅[2]鸽割胳各阁搁[3]果裹[5]个过
kʰ[1]科[2]磕渴阔壳[3]可棵颗[5]课
ŋ[2]恶鳄腭愕[3]我
x[1]喝[2]何河荷{~花}和禾合盒活忽鹤霍藿[3]火伙[5]荷{薄~}荷{负~}贺货祸
∅[1]窝莴蜗凹[2]蛾鹅俄物握屋沃[5]饿卧

#io
tɕ[2]脚角觉足
tɕʰ[2]屈倔雀鹊确却族麴曲[3]瞅
ȵ[2]略
ɕ[2]学速宿肃续蓄畜俗
∅[2]虐疟约药钥乐岳役疫育狱

#ɤ
k[1]戈[2]葛

#ai
p[3]摆[5]拜败
pʰ[2]排牌徘[5]派
m[2]埋迈[3]买[5]卖
t[1]呆[3]逮[5]戴贷待怠殆代袋带大{~夫}
tʰ[1]胎[2]台苔抬[5]态太泰
n[2]来[3]乃奶[5]耐奈赖癞
ts[1]灾栽[3]宰[5]再载{年~}载{~重}在载{满~}
tsʰ[1]猜[2]才材财裁豺[3]彩采睬[5]菜蔡
s[1]腮鳃[5]赛
tʂ[1]斋[5]债寨宅
tʂʰ[1]差[2]柴[3]踩
ʂ[1]筛[5]晒
k[1]该街[3]改[5]盖丐
kʰ[1]开揩[3]凯楷[5]概溉慨
ŋ[2]碍挨崖岩[3]矮隘[5]爱艾
x[2]孩鞋还{~有}[3]海[5]亥害骇

#iai
tɕ[3]解{讲~，~释}

#uai
tʂʰ[1]揣[3]喘
ʂ[1]衰[3]摔[5]帅率
k[1]乖[3]拐[5]怪
kʰ[3]块[5]会{~计}刽快筷
x[2]徊怀槐淮[5]坏
∅[1]歪[5]外

#ei
p[1]杯碑卑悲[5]贝狈辈背{后~}倍背{~书}焙臂婢
pʰ[1]批胚坯披丕[2]培陪赔[5]配佩
m[2]梅枚媒煤玫莓昧霉媚[3]每美[5]妹
f[1]飞非妃痱[2]肥[3]匪翡[5]废肺痱费

#uei
t[1]堆[5]对碓队兑
tʰ[1]推[3]腿[5]退
n[2]雷擂[3]儡累{~计}垒[5]内累{劳~}类泪
ts[2]贼
tsʰ[1]催崔摧[5]碎脆翠悴粹
s[2]髓随绥隧谁[5]岁税瑞遂穗
tʂ[1]追坠锥[3]嘴[5]罪最醉
tʂʰ[1]吹炊[2]垂锤
ʂ[3]水[5]睡
ʐ[5]锐
k[1]瑰圭闺规龟归[3]诡轨鬼[5]桂跪柜贵
kʰ[1]盔亏[2]魁傀奎癸逵葵[5]溃愧
x[1]恢诙灰挥辉徽[2]回迴茴[3]悔毁[5]贿晦汇桧会开{~会~不~}绘惠慧讳卉汇
∅[1]煨萎威[2]危为{~人，作~}帷维惟唯微巍围违苇纬[3]委尾伟[5]卫伪喂为{~人民服务}位未味魏畏慰胃谓猬

#au
p[1]褒抱包胞雹[3]保宝堡饱[5]报暴菢豹爆鲍刨曝
pʰ[1]袍抛[2]刨[3]跑[5]泡炮
m[1]猫[2]毛茅锚矛[3]卯藐[5]冒帽貌
t[1]刀[3]倒岛捣[5]倒到稻道盗蹈
tʰ[1]叨滔掏涛[2]桃逃淘陶萄[3]讨[5]套导
n[1]捞唠[2]劳牢痨[3]脑恼老姥[5]涝闹
ts[1]糟遭[3]早枣蚤澡[5]灶皂
tsʰ[1]操缲[2]曹槽巢[3]草騲[5]躁糙造燥
s[1]骚臊[3]嫂扫{打~}[5]潲
tʂ[1]朝名词召昭招沼诏[3]爪找[5]罩赵兆照
tʂʰ[1]抄钞超[2]朝动词潮[3]炒吵
ʂ[1]梢筲捎稍烧[2]勺芍[3]少{多~}[5]哨少{~爷}韶绍邵
ʐ[2]饶[3]挠扰绕桡
k[1]高膏篙糕羔膏[3]稿搞[5]告窖
kʰ[1]敲[3]考烤拷[5]靠犒铐
ŋ[1]爊[2]熬傲[3]袄咬[5]懊奥澳懊拗
x[1]蒿薅[2]毫豪壕号{~叫}[3]好{~坏}[5]好{爱~}浩耗号{口~}

#iau
p[1]膘标彪[3]表婊
pʰ[1]飘漂[2]瓢嫖[5]票漂{~亮}
m[2]苗描[3]秒渺[5]庙妙谬
t[1]刁雕貂凋[5]吊钓调{~动}掉调{音~}
tʰ[1]挑[2]条调{~节}[5]跳
tɕ[1]交胶郊教{~书}焦蕉椒骄娇矫浇[2]嚼[3]绞狡铰搅剿缴饺[5]教{~育}较轿叫觉{睡一~}
tɕʰ[1]悄翘撬[2]瞧荞侨桥乔[3]巧[5]窍
ȵ[2]燎疗辽聊寥[3]鸟了{~结}[5]尿廖僚镣料
ɕ[1]消宵霄硝销逍肖嚣萧箫[3]小晓[5]酵校{~对}哮孝淆校{~长}效笑
∅[1]妖邀腰要{~求}夭幺吆[2]摇谣姚窑遥耀[3]舀[5]要{~闻}跃

#əu
t[1]都{~是}兜[3]斗{一~}陡[5]斗{~争}豆痘逗
tʰ[1]偷[2]头投[3]抖[5]透
n[2]楼篓[3]缕屡搂[5]漏陋
ts[3]走
tsʰ[1]掫[2]愁骤[5]奏凑
s[1]搜飕搜[5]嗽馊瘦
tʂ[1]邹周舟州洲周帚轴粥[3]肘[5]昼宙咒
tʂʰ[1]抽[2]绸稠酬筹仇{姓~}[3]丑[5]臭
ʂ[1]收[3]手首守[5]兽受寿授售
ʐ[2]柔揉[5]肉
k[1]勾{~引}钩沟勾{~当}[3]狗[5]够构购
kʰ[1]抠[3]口[5]叩扣寇
ŋ[1]欧[3]藕偶呕殴[5]怄
x[2]侯喉猴[3]吼[5]后厚候

#iəu
t[1]丢
tɕ[1]揪鸠纠臼纠[3]酒九久韭灸[5]就救究舅咎旧柩
tɕʰ[1]锹秋丘鳅囚泅丘[2]求球仇
ȵ[1]溜[2]流留刘榴琉硫牛[3]纽扭柳
ɕ[1]修羞休[3]朽[5]秀绣锈宿袖嗅
∅[1]优忧悠幽[2]尤邮由油游犹[3]有友酉[5]又右佑莠诱柚幼

#an
p[1]班斑扳颁搬般[3]板版[5]扮办瓣半伴拌
pʰ[1]攀潘[2]盘[5]盼绊判畔叛
m[2]蛮瞒馒[3]满[5]慢鳗漫幔蔓
f[1]翻番藩[2]凡帆梵烦矾繁[3]反[5]泛范犯贩饭
t[1]耽担丹单掸[3]胆[5]担淡旦诞但弹{子~}蛋
tʰ[1]贪探滩摊瘫[2]潭谭坛痰坛弹{~琴}[3]毯坦[5]谈炭
n[2]南男蓝篮难{困~}兰拦栏[3]览揽榄缆懒[5]滥难{灾~}烂
ts[5]蘸
tsʰ[1]参{~加}餐[2]蚕惭馋谗残缠蝉禅{~师}[3]惨[5]灿颤
s[1]三[3]散{松~}伞[5]散{~会}
tʂ[1]黏沾粘瞻毡[3]斩绽盏展攒[5]暂站占赞灒栈战
tʂʰ[3]产
ʂ[1]衫山搧[3]陕闪[5]扇善膳单{姓~}禅{~让}
ʐ[2]然燃[3]染冉
k[1]甘柑泔尴干{天~地支}干{~湿}肝竿秆间{中~}[3]感敢橄擀赶[5]干{~部}
kʰ[1]堪刊[3]龛坎砍槛[5]看
ŋ[1]庵淹安鞍[5]揞暗岸按案雁晏
x[1]憨[2]含函憾咸寒韩[3]喊罕[5]汉旱捍汗焊翰苋

#iɛn
p[1]鞭编边[2]便{~宜}[3]贬蝙扁匾[5]变辩辨便{方~}辫
pʰ[1]篇偏[5]骗遍{一~}遍{普~}片
m[2]绵棉眠[3]免勉缅娩[5]面
t[1]颠癫[3]点典[5]掂踮店簟电殿奠佃垫淀
tʰ[1]添天[2]甜田填[3]舔
tɕ[1]监尖兼艰间奸煎肩坚[3]践文减碱检俭简柬拣锏剪茧趼[5]鉴渐剑箭贱件建毽键健腱荐笕见匠
tɕʰ[1]歼签扦纤{~维}谦迁笺千牵[2]潜钳钱乾前[3]浅践{白}遣[5]嵌欠歉纤{拉~}
ȵ[1]拈研[2]廉镰帘阎严俨鲇连联年莲链[3]脸碾[5]验酽念练炼炼砚
ɕ[1]仙先[2]嫌闲贤[3]险显[5]陷馅限线羡宪献现县
∅[1]阉炎腌蔫焉烟胭咽[2]盐檐艳颜谚言[3]掩眼演[5]厌焰堰燕宴

#uan
t[1]端[3]短[5]断锻段缎
tʰ[2]团
n[3]暖卵[5]乱
ts[1]钻{动词}[5]钻{名词}
s[1]酸[5]算蒜
tʂ[1]专砖[3]转{~送}[5]赚撰转{~圈}传{~记}
tʂʰ[1]川穿[2]传{~达}船[3]铲[5]蹿窜串
ʂ[1]珊删拴
ʐ[3]软阮
k[1]官棺观{参~}冠{衣~}关[3]管馆[5]贯灌罐冠{~军}惯掼
kʰ[1]宽[3]款
x[1]欢[2]还{~原}环[3]缓[5]唤焕换幻患
∅[1]丸纨豌弯湾[2]玩完皖顽[3]剜碗腕晚挽宛[5]万

#yɛn
tɕ[1]捐[3]卷{~起来}绢[5]卷{~宗}眷倦券
tɕʰ[1]圈[2]全泉权拳[3]犬[5]劝
ɕ[1]鲜{新~}鲜{朝~}掀轩宣喧[2]弦旋{~转}玄悬眩[3]癣选
∅[1]冤渊[2]圆员缘沿铅{白}元原源袁辕园援猿[3]远[5]院愿怨

#ən
p[1]奔[3]本[5]笨
pʰ[1]烹[2]盆彭膨
t[1]敦墩蹲登灯[3]等[5]顿扽盾沌钝遁盾凳邓澄{把水~清}
tʰ[1]吞[2]屯藤腾誊
n[2]仑伦沦轮能棱[3]冷[5]嫩论
ts[1]尊遵增曾{姓~}争睁[3]怎[5]憎赠
tsʰ[1]村撑[2]存层曾{~经}惩[5]衬忖寸
s[1]森参{人~}孙僧生牲甥笙[3]损笋榫省{节~}
tʂ[1]针珍臻真诊疹征蒸贞侦郑正{~月}[3]枕振震整[5]镇阵圳证症正{~直}政
tʂʰ[1]伸称{~呼}[2]沉趁陈尘臣慎橙称{相~}承丞橙逞呈程成城诚盛{~饭}秤
ʂ[1]深身申娠升声[2]神晨乘[3]沈婶审[5]渗甚辰肾剩胜{~任}胜{~败}圣盛{兴~}
ʐ[2]壬任{姓~}纴人仁[3]忍刃仍扔[5]任{~务}认韧
k[1]跟根更{~替}庚耕[3]哽耿梗埂[5]更{~加}
kʰ[1]坑垦[3]恳啃肯
ŋ[1]恩[5]硬
x[1]亨哼[2]痕恒衡[3]很[5]恨杏

#in
p[1]彬宾槟滨殡鬓冰兵[3]丙柄饼[5]秉病并
pʰ[1]拼[2]贫频苹凭平评坪瓶屏萍[3]品[5]聘
m[2]民悯明鸣名皿铭[3]敏抿[5]命
t[1]丁钉{名词}疔叮[3]顶[5]钉{动词}订锭定
tʰ[1]听厅[2]亭停庭廷蜓[3]挺艇
n[2]赁林淋临怜鳞磷邻凌陵菱凝宁{安~}灵零铃拎龄[3]檩领岭[5]宁{~可}佞另令
tɕ[1]今金津巾斤筋茎京荆惊精晶睛经[3]锦紧仅谨境景警井颈[5]禁{~不住}襟禁{~止}尽进晋劲近敬竟镜竞静靖净径
tɕʰ[1]亲清卿轻青蜻[2]琴禽擒秦勤芹情晴[3]寝请[5]浸侵庆
ɕ[1]心芯辛薪新兴{~旺}星腥猩馨[2]行{~为}形刑型[3]醒省{反~}[5]信兴{~趣}幸性姓
∅[1]音阴因姻洇殷鹰蝇莺樱鹦英婴缨[2]淫银寅迎盈赢[3]饮{~酒}引隐瘾影颖[5]饮{~秧子}印仰应{~该}应{答~}映

#uən
ts[1]筝
tsʰ[1]椿[5]唇
tʂ[3]准
tʂʰ[1]春[3]蠢
ʂ[2]纯绳[3]舜[5]顺
ʐ[5]闰润孕
k[3]滚[5]棍
kʰ[1]昆
x[1]昏婚浑荤[2]魂横{~直}横{蛮~}[5]馄混
∅[1]温瘟[2]文纹蚊闻[3]稳[5]问

#yn
tɕ[1]钧均君军[5]俊肫菌郡
tɕʰ[1]倾顷[2]群裙琼
ɕ[2]寻询旬循巡殉[5]讯逊迅驯
∅[2]匀云耘荣泳营萤荥[3]允尹永[5]熨韵运咏

#aŋ
p[1]帮邦浜[3]榜绑[5]傍棒
pʰ[2]滂旁螃庞[5]胖
m[2]忙芒茫盲虻[3]莽蟒氓
f[1]方芳[2]坊肪纺妨房防[3]仿纺访[5]放
t[1]当{应~}裆[3]党挡档[5]当{~铺}荡
tʰ[1]汤[2]堂棠螳唐糖塘[3]躺[5]烫趟
n[2]囊郎廊狼螂[3]朗[5]浪
ts[1]赃脏{肮~}[5]葬藏{西~}脏{内~}
tsʰ[1]仓苍舱[2]藏{隐~}
s[1]桑[3]嗓搡
tʂ[1]张章樟蟑[3]长{省~}涨[5]帐胀怅丈仗杖障瘴
tʂʰ[1]昌菖娼倡[2]畅怅长{~短}肠场偿[5]唱
ʂ[1]丧{~事}商伤[2]常尝裳[3]赏晌[5]丧{沮~}上尚
ʐ[2]攘嚷[3]壤瓤[5]让
k[1]刚岗纲冈钢缸肛[3]港[5]虹杠
kʰ[1]康糠慷[2]扛[3]囥[5]抗炕
ŋ[1]肮[2]昂
x[1]夯[2]行{~当}航杭[5]项巷

#iaŋ
tɕ[1]将{~来}浆疆僵姜缰姜江豇[3]蒋奖桨讲[5]酱将{大~}降{~低}
tɕʰ[1]枪羌腔[2]墙强{坚~}[3]抢强{勉~}[5]呛
ȵ[2]娘良凉梁粱[3]两辆[5]恋酿量{~尺寸}量{数~}亮谅
ɕ[1]相{互~}箱厢湘镶香乡[2]详祥翔降{投~}[3]想饷享响[5]相{~貌}象像向
∅[1]央秧殃[2]羊洋杨阳扬疡[3]养痒[5]样

#uaŋ
tʂ[1]庄装妆桩[5]壮状撞文
tʂʰ[1]疮窗[2]床[3]闯撞{白}[5]创
ʂ[1]霜双[3]爽
k[1]光[3]广[5]观{道~}
kʰ[1]筐框匡眶[2]狂[5]旷况矿
x[1]慌荒[2]黄皇蝗蟥凰[3]谎晃
∅[1]汪[2]亡枉王[3]网往[5]望妄忘旺

#oŋ
p[1]崩绷
pʰ[2]朋棚篷蓬[3]捧喷{~香}碰
m[2]某谋萌盟蒙蠓[3]亩猛[5]茂贸孟
f[1]风疯枫丰封蜂峰锋[2]冯逢缝{裁~}[3]讽[5]凤奉缝{~隙}俸
t[1]东冬[3]董懂[5]冻栋动洞
tʰ[1]通捅[2]同铜桐筒童瞳[3]桶统[5]痛
n[1]聋弄[2]笼咙农脓侬隆窿浓龙[3]拢垄陇
ts[1]鬃棕宗综踪[5]总皱粽纵
tsʰ[1]葱聪匆[2]丛崇从重{~复}
s[1]松{轻~}松{~香}[5]送宋诵颂讼
tʂ[1]中{~秋}忠终钟盅舂[3]种{~类}肿种{~田}[5]中{射~}众重{轻~}
tʂʰ[1]囱衷充冲[2]虫
ʐ[2]绒戎茸
k[1]公工功攻蚣弓躬宫供{~給}恭龚[3]汞拱巩[5]贡供{上~}共
kʰ[1]空{天~}[3]孔恐[5]空{有~}控
x[1]轰烘[2]弘宏红洪鸿[3]哄{~骗}哄{内~}[5]虹
∅[1]翁[5]齆

#ioŋ
tɕʰ[2]穷
ɕ[1]兄胸凶[2]熊雄
∅[1]臃庸[2]融容溶蓉熔[3]雍拥勇涌踊[5]用
