序号	trad	simp	IPA	pinyin	detail	声母	韵母	调值	吴拼声	吴拼韵	声调	多音	检验声调变小时声母是否变（但会有例外）	检查声母变时声调是否变小（但会有例外）	检查韵母表	检查每韵声母顺序
233		眉	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
234		楣	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
235		绵	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
236		棉	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
237		眠	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
238		米	mi⁵³	mi3		m	i	⁵³	m	i	3	1				
239		蕊	mi⁵³	mi3	{~头：花骨朵}	m	i	⁵³	m	i	3	2				
240		免	mi⁵³	mi3		m	i	⁵³	m	i	3	1				
241		勉	mi⁵³	mi3		m	i	⁵³	m	i	3	1				
242		娩	mi⁵³	mi3		m	i	⁵³	m	i	3	1				
243		缅	mi⁵³	mi3		m	i	⁵³	m	i	3	1				
244		渑	mi⁵³	mi3		m	i	⁵³	m	i	3	1				
245		谜	mi³³⁵	mi5		m	i	³³⁵	m	i	5	1				
246		未	mi³³⁵	mi5	{（白读）还~唻：还早着呢}	m	i	³³⁵	m	i	5	2				
247		面	mi³³⁵	mi5		m	i	³³⁵	m	i	5	1				
248		麵	mi³³⁵	mi5		m	i	³³⁵	m	i	5	1				
249		非	fi⁴⁴	fi1		f	i	⁴⁴	f	i	1	1				1
250		飞	fi⁴⁴	fi1		f	i	⁴⁴	f	i	1	1				
251		妃	fi⁴⁴	fi1		f	i	⁴⁴	f	i	1	1				
252		菲	fi⁴⁴	fi1		f	i	⁴⁴	f	i	1	1				
253		匪	fi⁵³	fi3		f	i	⁵³	f	i	3	1				
254		榧	fi⁵³	fi3		f	i	⁵³	f	i	3	1				
255		翡	fi⁵³	fi3		f	i	⁵³	f	i	3	1				
256		废	fi³³⁵	fi5		f	i	³³⁵	f	i	5	1				
257		肺	fi³³⁵	fi5		f	i	³³⁵	f	i	5	1				
258		䉬	fi	fi0	{芦~：芦苇簟}	f	i		f	i	0	1	1	1		
259		□	fi	fi0	{用大量油煎炸}	f	i		f	i	0	160				
260		维	vi²¹³	vi2		v	i	²¹³	v	i	2	1				1
261		惟	vi²¹³	vi2		v	i	²¹³	v	i	2	1				
262		帷	vi²¹³	vi2		v	i	²¹³	v	i	2	1				
263		肥	vi²¹³	vi2	{又读，~肉}	v	i	²¹³	v	i	2	2				
264		微	vi²¹³	vi2	{（文读）}	v	i	²¹³	v	i	2	2				
265		薇	vi²¹³	vi2		v	i	²¹³	v	i	2	1				
266		费	vi²¹³	vi2		v	i	²¹³	v	i	2	1				
267		尾	vi²³¹	vi4	{（文读）羊~}	v	i	²³¹	v	i	4	2				
