#ɿ
tθ[213]资姿咨兹滋[44]紫姊子[31]字自恣{舒服}
s[213]西[53]习1{复~}袭席畦[44]习2{学~}犀洗玺徙悉膝息熄媳借昔夕锡析[31]细
tɕ[213]栖鸡稽饥肌几1{茶~}基机讥乾击级[53]给{供~}及极[44]己几2{~个}急吉激[31]计继寄技妓冀纪记忌既季
tɕʰ[213]欺期[53]奇骑歧祈记其棋旗□{给予}[44]启企起岂祈乞[31]契器弃气汽泣
ɕ[213]溪奚兮牺嬉熙希稀吸[44]喜禧[31]系1{联~}戏□{不~：不屑}
∅[213]伊医衣依揖[53]宜仪移夷姨疑饴异沂遗疫1{瘟~}[44]蚁倚椅矣己以乙一尾{~巴}[31]艺缢义议易肄意毅日逸忆亿抑翼益亦译役驿□{~癞：恶心}疫2{~苗}

#u
p[53]𡋯{~土：尘土}醭{酒、醋生白}饽{面~：少量面粉}[44]补不卜哺[31]布怖部簿步埠{商~}
pʰ[213]谱1{打~：动词，计划}铺1{~路}[53]蒲菩[44]谱2普浦脯{胸~，果~}捕朴扑{~倒}瀑[31]铺2{床~}
m[53]模{~子}没{~有}[44]某亩牡母拇[31]暮慕墓募谋幕木目穆牧
f[213]夫麸[53]俘孵符扶芙浮佛{仿~}幅服伏[44]肤府腑俯甫斧敷抚赴釜腐辅阜复缚福腹覆[31]付赋傅父附富副妇负□{~tʰɛ⁰：农村厨房的烟囱}□{~皮儿：表层}
t[213]都1{首~}笃督[53]独犊毒[44]堵赌肚1{牛~}读[31]妒杜肚2{~子疼}度渡镀
tʰ[213]突[53]徒屠途涂{~抹}图[44]土吐秃[31]兔
n[53]奴农[31]努怒
l[213]漉{~~的：湿透}[53]卢炉芦庐[44]鲁橹虏卤捋{~袖子}□{哄骗}[31]路赂露{雾~}鸳鹿禄陆录辱
tθ[213]租组阻[53]卒族[44]祖足={~球}□{~声：出声，说话}
tθʰ[213]粗[44]猝焌{火烧手}促[31]醋
θ[213]苏酥[44]俗=1宿=1[31]素诉塑嗉{鸡~子}速肃粟
tʃ[213]猪诸诛蛛株朱珠[53]轴妯{~娌}[44]煮拄主[31]著{~名}驻注柱住蛀
tʃʰ[53]除储{~蓄}厨橱殊{特~}□{吮吸}[44]出□{~~儿：皱纹}[31]处{相~，~所}
ʃ[213]书舒输[53]秫熟1{煮~}[44]暑鼠黍署薯叔[31]庶恕竖树术述属1{~狗}
tʂ[44]竹筑逐烛嘱□{堵住}[31]助祝
tʂʰ[213]初[53]锄雏[44]楚础□{回缩}[31]畜{牲~}怵
ʂ[213]梳疏蔬枢[53]熟2{~悉}淑赎蜀[44]数1{动词}[31]数2{名同}漱束属2{~子}
k[213]姑孤箍沽菇辜[44]古估股鼓骨轱谷[31]故固雇顾
kʰ[213]枯骷[53]酷[44]苦窟哭[31]库裤
x[213]呼乎忽烀{半蒸半煮，使食物熟}[53]胡湖糊狐壶葫胡互囫核1{桃~}斛[44]虎浒□{靠近，挨近}[31]户沪护瓠
∅[213]乌污坞巫诬[53]吴无[44]蜈五伍午武舞侮鹉屋[31]梧误悟恶{可~}务雾戊杌物勿

#y
n[44]女
l[53]驴[44]吕铝侣旅缕屡履捋2{~胡子}□{用细长的条状物抽打}□{沿着}[31]虑滤律率1{效~}绿
ts[44]足-{知~}[31]聚铸
tsʰ[213]蛆黢{~黑}[44]取娶蹴{用脚尖踢}[31]趋趣
s[213]戌[53]徐俗-2[44]须需宿-2[31]絮序叙绪续婿续
tɕ[213]居车1{~马炮}驹[53]局[44]举橘菊锯莒{~县}[31]据锯巨拒距拘俱句具惧剧
tɕʰ[213]区躯[44]渠驱屈曲麴{酒~}[31]去
ɕ[213]墟虚[44]许蓄{储~}[31]旭畜{~牧}
∅[213]淤瘀迂[53]鱼渔放余徐于盂榆[44]汝语儒乳愚寓雨宇禹羽□{掰弯或掰直}[31]如御与誉预豫娱遇芋愉愈喻裕入郁域育褥玉狱欲浴□{~作（舒服）}

#a
p[213]巴芭疤扒{~拉}吧{网~}[53]爸拔雹[44]把1{一~}八剥-1靶{~子}[31]霸把2{刀~}坝耙罢鲅
pʰ[213]趴[53]爬耙筢[31]怕帕
m[213]妈[53]麻蟆{蛤~}[44]马码抹1{动词}[31]骂抹2{~布}
f[53]乏伐筏罚[44]法发
v[213]挖[53]蛙娃[44]瓦1{名同}搲{舀；挠}[31]瓦2{动词}洼袜
t[213]耷[44]答搭达打[31]大
tʰ[213]塌[44]他她它踏搨塔溻
n[53]拿[44]哪[31]纳捺娜衲
l[213]拉1{~屎}[53]落1{大~：最后一名}□{说话}□{摩擦}[44]拉2{~开}垃喇[31]腊蜡镴辣落2{丢三~四}
tθ[53]杂砸
tθʰ[44]擦
θ[213]仨[44]洒撒
ʃ[44]傻
tʂ[213]楂{山~}渣踏踩[53]炸1{油~}铡栅[44]扎眨闸札劄□{生长，~芽儿}[31]诈榨炸2{~弹}乍
tʂʰ[213]叉差{~不多}[53]茶搽茬查{调~}察□{杂交}[44]插[31]杈岔
ʂ[213]沙纱砂鲨痧[44]杀刹霎{一~儿：一会儿}[31]厦1{大~}煞
k[213]痂[53]蛤1{~蜊}[44]尬疙{~瘩}鸽割葛胳{~膊}□{~伙：合伙}□{~肢寓}旮{~旯}[31]□{~la⁰：有联系；围绕}
kʰ[44]磕渴搕□{敲击}□{关闭（门窗）}
x[213]煆{短暂隔水加热}哈{~气}[53]蛤2{~模}合1{~饼，一种面食}[44]喝
∅[213]阿1{~胶}[31]阿2{~哥}

#ia
l[44]俩
tɕ[213]家加嘉佳袈枷[44]假{真~；放~}贾{姓}夹甲胛角[31]架驾嫁稼价
tɕʰ[213]□{~子：夹子}掐1{一~：一小把}[44]掐2{动词}[31]恰
ɕ[213]虾𨉣{~下腰}[53]霞匣暇遐狭峡辖[44]瞎[31]吓{~一跳}下夏厦2{~门}
∅[213]鸦丫[53]牙芽衙讶{孩~子：小孩}涯[44]雅哑鸭押□{~水：倒水}[31]砑{~平}亚压轧{~棉花}□{扦插}

#ua
tʂ[44]抓爪□{刨地}□{撅，翘起}
tʂʰ[53]□{动词，戳}[44]□{（动物）进食，用于人时含贬义}
ʂ[44]耍刷
k[213]瓜[44]寡剐刮1{~风}[31]挂卦褂
kʰ[213]夸[44]垮刮2{~胡子}[31]跨胯挎
x[213]花哗[53]华1{中~}划滑猾[31]化华2{姓}桦画话

#ə
p[213]波菠玻饽{~~：馒头}[53]薄勃脖渤[44]簸1{动词}拨钹博驳播剥=2[31]簸2{~箕}
pʰ[213]颇坡1泡1{一~尿}[53]婆[44]泼泊魄坡2{面积较大的田地}[31]破
m[53]魔磨1{动词}摩模2{~范}摹膜蘑[44]抹3{~药}[31]磨2{石~}末沫莫寞摸陌
f[53]佛{~祖}
v[213]倭踒{~了脚：崴脚}蜗握涡窝[53]蛾鹅讹[44]我恶{~应：恶心}[31]饿卧沃
tʰ[44]特
n[31]那
tθʰ[44]侧测[31]厕
θ[44]啬
tʃ[213]遮[53]蛰辙[44]者摺褶哲蜇折1{~断}浙[31]这蔗
tʃʰ[213]车2{开~}[44]扯[31]彻撤澈
ʃ[213]赊[53]蛇舌折2{~本}芍{~药}[44]奢舍设[31]射麝赦余{姓}社摄涉射
ɭ[53]儿而[44]尔耳饵理[31]二贰
k[213]歌哥戈[53]硌[44]果各阁搁革[31]个过
kʰ[213]科颗[44]可咳壳刻={时~}克[31]课嗑{~瓜子}
x[53]和1{~平}鹤菏{地名用字，~泽}[31]赫吓{恐~}
∅[53]俄峨[44]额{名~}[31]鳄{~鱼}恶2{善~}扼

#iə
p[53]别1{表否定}[44]鳖憋瘪[31]别2{~扭}
pʰ[44]撇瞥
m[31]灭1{消~}
t[213]爹[53]叠碟碟蝶谍迭{忙不~}[44]跌
tʰ[44]帖贴铁□{~乎：讨好}
n[44]孽1{造~}[31]聂镊蹑捏灭2{火~}了
l[44]劣咧[31]猎列烈裂
ts[53]捷截[44]姐接节结1{树上结果实}[31]借褯□{~liou⁰：知了}
tsʰ[44]且切[31]妾窃
s[213]些[53]邪斜谐[44]写楔□{投掷}[31]泻卸谢泄
tɕ[53]杰[44]劫揭结2{（事情有）结果}洁解1{~开（又音）}□{~（用鞋底）抽打}
tɕʰ[213]□{躺}[53]茄[44]怯
ɕ[53]携胁协[44]歇蝎血
∅[53]爷[44]惹也野噎液椰{~子}掖{动词，塞}[31]夜叶页业热孽2{作~}

#uə
t[213]多□{用手掌拍打}[53]夺铎踱[44]朵躲掇[31]舵驮1{~子，名同}剁惰垛
tʰ[213]拖[53]鸵花驮2{动词}[44]妥椭脱托[31]唾
n[53]挪[31]糯诺懦
l[53]罗锣箩萝逻骡螺握[44]裸烙1{~饼}[31]落3{~后}洛络骆烙2{~铁}乐1{快~}
tθ[53]凿昨□{双手掐，~断}[44]佐做作柞撮{量词，一小把}[31]左坐座
tθʰ[213]搓[53]矬[44]□{向上推举}[31]锉措错挫
θ[213]蓑梭[53]□{调皮}[44]锁琐索
tʃ[53]着1{~急，~火}[44]拙
tʃʰ[44]焯戳1{卡~儿：盖章}
ʃ[53]勺[44]说
tʂ[53]着2{附~}酌卓琢啄浊镯[44]桌捉□{容纳，~不开}
tʂʰ[53]戳2{动词}
ʂ[44]所缩[31]朔硕
k[213]锅聒□{弯（腰）}[44]裹餜郭国
kʰ[213]棵[44]括阔廓扩
x[213]豁劐[53]荷{薄~，~花}河何和2{~气，~面}合2{~并}禾盒活或1{又音}阖核{~桃}[44]火伙[31]贺货祸霍霍惑获□{量词，一~门：即一扇门}

#yə
n[31]虐疟
l[44]掠[31]略
ts[53]绝爵嚼
tsʰ[44]雀鹊
s[44]薛屑雪削
tɕ[213]掘撅[53]撅噘{~人：骂人}[44]决诀脚撅角1{~度}觉1{知~}
tɕʰ[53]瘸[44]缺却确□{折（断）}
ɕ[213]靴穴[53]学
∅[44]约钥{掰弯或掰直}[31]悦阅月越粤若弱药钥跃-1岳乐2{音~}

#ɛ
p[44]摆□{轻轻地洗衣}[31]拜败
pʰ[213]□{量词，一~屎}[53]排牌[44]□{用脚踢}[31]派□{~赖：脏}
m[53]埋霾[44]买[31]卖
v[213]歪[44]崴□{~kʰuɛ⁰：斜靠着某物}[31]外
t[44]呆歹逮在-1□{快速且用力地拉，相当于北京话“钝”}[31]戴贷待怠代袋带大2{~夫}
tʰ[213]胎态苔[53]台抬薹[31]太泰
n[44]乃奶[31]耐奈
l[53]来莱[44]攋{~开：撕开}[31]赖癞
tθ[213]灾栽再[44]宰载1{一年半~}[31]载2{~歌~舞}在=2{不~了}
tθʰ[213]猜[53]才材财裁[44]彩采[31]菜蔡
θ[213]腮鳃[31]赛
tʂ[213]斋[31]债寨□{敲打}
tʂʰ[213]钗搋差{出~}[53]豺柴[44]踩
ʂ[213]筛[44]洒[31]晒
k[213]该概[44]改[31]溉盖丐钙
kʰ[213]开[44]凯慨楷铠
x[213]□{用钝器击打}[53]孩[44]海骇核2{审~}[31]亥害
∅[213]哀埃[44]蔼癌[31]碍=2爱艾

#iɛ
tɕ[213]皆阶秸街[44]解2{~开（又音）}[31]介界芥届戒
ɕ[53]鞋[31]械懈解3{识字~文；姓}蟹懈{~}□{0：浊液分层}
∅[213]挨[53]崖捱[44]矮[31]碍-2

#uɛ
tʂ[213]□{扔}
tʂʰ[44]揣[31]踹
ʂ[213]衰[44]甩[31]帅率2{~领}蟀
k[213]乖□{碰}[44]拐[31]怪
kʰ[31]块会1{~计}刽快筷
∅[53]怀槐淮[31]坏

#ɔ
p[213]包胞苞[44]保堡宝饱褒[31]报抱暴菢豹爆鲍刨1{名同，~子}曝
pʰ[213]抛剖[53]袍刨2{动词，~地}狍[44]跑[31]泡炮
m[213]□{把肉稍微煮一下，去除血水}[53]毛1茅猫□{~着了：行为反常}[44]锚卯矛毛2{一~钱}□{击打，对象通常是人}[31]冒帽貌茂贸□{没把握好度}
f[44]否
t[213]刀叨□{用筷子夹}[44]祷岛倒1{打~}导捣[31]到倒2{~过来}道稻盗□{粮食被虫吃}
tʰ[213]滔掏涛[53]讨桃逃淘陶[31]套
n[53]挠[44]脑恼瑙[31]闹
l[213]唠[53]劳捞牢崂痨[44]老姥佬[31]涝□{得到}
tθ[213]遭糟[44]早枣澡[31]躁燥灶糙1{粗~}皂造
tθʰ[213]糙2{不好}操[53]曹槽[44]草
θ[213]骚臊[44]扫1{~地}嫂[31]扫2{~帚}
tʃ[213]朝1{~阳}招沼□{扶}[31]赵兆召昭照诏
tʃʰ[213]超[53]朝2{~代}潮嘲□{忍受：~不了}
ʃ[213]烧[53]韶绍邵{姓}[44]少1{多~}[31]少2{~年}
tʂ[44]找[31]罩笊
tʂʰ[213]抄钞[53]巢[44]炒吵[31]□{~唠：打听}
ʂ[213]梢捎稍蛸[31]潲哨
k[213]高膏羔糕[44]稿搞镐[31]告
kʰ[44]考烤拷[31]靠犒铐□{拖延，等待}
x[213]蒿薅[53]耗豪壕毫嚎1{哭}[44]好1{形容同}郝{姓}[31]好2{爱~}浩号2{~码}
∅[53]熬[44]袄懊{~悔}[31]傲鳌奥澳

#iɔ
p[213]膘标彪镖□{傻；行为难以理解}[44]表裱婊[31]鳔
pʰ[213]飘漂1{北~}[53]瓢嫖[44]漂2{~白}[31]票漂3{~亮}
m[53]苗描瞄[44]藐渺秒淼[31]庙妙
t[213]叼刁貂雕[44]属[31]钓吊掉调1{~动}
tʰ[213]挑1{~选}[53]条调2{~整}笤[44]挑2{~大梁}[31]跳粜
n[44]鸟杳[31]尿
l[213]撂{扔}[53]燎1{星火~原}疗聊辽撩寥瞭[44]燎2{~水}了{~解}[31]料尥□{用热水烫熟，~韭菜}
ts[213]焦蕉椒浇礁[31]窖
tsʰ[53]樵瞧[31]悄俏鞘
s[213]消宵霄硝销萧箫[44]小[31]笑
tɕ[213]交郊胶教1{~学}骄娇[44]绞狡铰搅矫缴侥饺[31]教2{~育}校1{~对}较觉2{睡~}轿叫
tɕʰ[213]敲[53]乔侨桥荞[44]巧[31]窍
ɕ[213]嚣[53]淆[44]晓[31]酵孝效校2{学~}
∅[213]妖邀腰要1{~求}么吆[53]肴饶扰绕摇谣窑姚尧[44]咬舀[31]绕要2{重~}耀鹞跃=2

#ei
p[213]杯碑卑悲[53]白[44]北百柏伯帛掰[31]贝辈背倍焙被备
pʰ[213]胚坯[53]培陪赔裴[44]迫拍[31]沛配佩
m[53]梅媒煤眉霉[44]每美[31]迈枚妹昧媚寐墨默麦脉
f[213]非飞匪妃翡[53]肥[31]废肺痒费
v[213]偎威违□{~肥：施肥}[53]危为1{作~}唯维微围[44]伪萎委伟苇纬[31]卫喂为2{~什么}位未味魏畏慰胃谓猬
t[44]得德[31]对兑
tʰ[213]推[44]腿[31]退蜕褪
n[31]内1{又音}□{用手挤压}
l[53]雷[44]儡累1{积~}磊蕾[31]累2{~了。连~}泪肋勒擂
tθ[53]贼[44]则
θ[44]塞
ʃ[53]谁
tʂ[53]泽择宅责翟{姓}□{阉割}[44]窄摘
tʂʰ[44]拆策册
ʂ[44]涩色
k[44]格隔
kʰ[44]刻-2{用刀~}客
x[44]黑

#uei
t[31]队
n[31]内2{又音}
l[44]锐蕊垒[31]类
tθ[213]堆[44]嘴[31]罪最醉
tθʰ[213]催崔[31]脆翠粹
θ[213]虽[53]随隋{姓}[44]髓[31]碎岁隧穗
tʂ[213]追锥[31]拽{拉}缀赘坠
tʂʰ[213]吹炊[53]垂槌锤捶
ʂ[44]摔水[31]税睡瑞
k[213]闺规龟轨归[44]诡癸鬼[31]桂跪柜贵
kʰ[213]盔亏窥[53]魁傀奎逢葵[31]溃愧□{对折}
x[213]恢灰麾挥辉徽[53]回茴或2{~者，又音}[44]悔毁[31]贿晦汇会绘惠慧讳秽烩

#ou
t[213]兜[44]斗1{量词}抖陡[31]都2{~是}斗2{~争}豆逗头1{~枕}
tʰ[213]偷[53]头2投酘{醉酒醒后不适，再饮以解}□{漂洗}[44]□{粒状物从容器中倒出}[31]透
l[53]楼耧[44]篓搂[31]漏陋露䁖
tθ[44]走[31]做1{~饭}奏揍
tθʰ[31]凑
θ[213]搜馊[44]叟
tʃ[213]周舟州洲粥[44]肘□{扭}□{固执，含贬义}[31]昼纣宙咒
tʃʰ[213]抽[53]绸稠筹仇酬售-1□{漂洗}[44]丑醜[31]臭
ʃ[213]收[44]手首守[31]兽受寿授售=2
tʂ[213]邹抓诌[31]皱骤
tʂʰ[53]愁[44]瞅
ʂ[213]飕[31]瘦
k[213]勾钩沟苟[44]狗[31]够构购垢
kʰ[213]抠眶扣1{~儿：扣子}[53]□{凶}[44]口[31]叩扣2{动词}寇
x[213]齁[53]侯喉猴瘊[44]吼[31]厚后候後
∅[213]藕偶欧殴沤鸥[44]呕[31]怄

#iou
t[213]丢
n[44]纽扭钮[31]□{固执}
l[213]溜[53]流刘留硫琉[44]柳[31]馏六
ts[213]揪鬏[44]酒[31]就□{~~：扭曲，不伸展}
tsʰ[213]秋□{看}[53]囚
s[213]修羞[31]秀绣宿3{星~}锈袖
tɕ[213]鸠纠[44]九久韭灸[31]救究臼舅旧枢
tɕʰ[213]阄丘蚯邱[53]求球仇{姓}[44]糗
ɕ[213]休朽
∅[213]忧优悠幽[53]柔揉牛尤邮由油游犹釉[44]有友酉[31]又右佑诱抽鼬幼肉

#ã
p[213]班斑颁扳{~手}般搬[44]板版[31]扮瓣办半绊伴拌
pʰ[213]潘[53]攀盘□{一~（儿）：一会儿}[31]盼襻判叛
m[213]嫚{年轻女性}[53]蛮瞒馒[44]满[31]慢漫幔□{涂抹}
f[213]帆藩翻番[53]凡烦矾繁[44]反[31]泛范犯贩饭
v[213]豌剜弯湾[53]玩完丸顽[44]皖碗晚挽[31]腕万蔓
t[213]耽担1{~任}丹单1{~独}[44]胆掸[31]担2{~子}淡旦诞但弹1{子~}蛋
tʰ[213]贪坍滩摊瘫[53]谭谭谈痰檀坛弹2{~琴}[44]毯坦[31]探炭叹
n[53]南男难1{困~}[31]难2{患~}
l[53]蓝篮兰拦栏[44]漤览揽缆懒[31]滥烂
tθ[213]簪[31]暂赞
tθʰ[213]参餐[53]蚕惭残[44]惨[31]灿
θ[213]三
tʃ[213]沾粘瞻毡[44]展□{弄脏}[31]占战颤
tʃʰ[53]赡缠蝉禅1{~宗}
ʃ[213]膻搧[44]陕闪[31]扇善膳单2{姓}禅2{~让}骟{阉割}
tʂ[44]斩盏[31]站蘸绽栈
tʂʰ[213]搀掺[53]谗馋[44]铲1{动词}产[31]铲2{名同}
ʂ[213]杉衫珊山疝[44]删
k[213]甘柑泔蚶干1{~燥}肝竿杆尴[44]感敢秆擀赶[31]干2{动词}
kʰ[213]堪龛勘[44]坎砍刊槛[31]看
x[213]憨酣鼾罕[53]含函寒韩还1{~有}[44]喊[31]撼憾汉旱汗焊翰
∅[213]庵安鞍[44]俺[31]暗岸按案

#iã
p[213]鞭编边[44]贬编扁匾[31]变辨辩汴便1{方~}遍辫
pʰ[213]篇偏[53]便2{~宣}[44]谝{炫耀}[31]骗片
m[53]绵棉眠[44]免勉娩缅[31]面
t[213]掂颠癫[44]点典[31]店电殿奠佃垫
tʰ[213]添天[53]甜田填[44]舔腆
n[53]黏鲇年[44]捻撵碾1{动词}[31]念碾2{石~}
l[53]廉镰帘连联怜莲鲢[44]脸[31]敛殓练炼楝恋
ts[213]尖歼煎笺肩[44]剪[31]渐箭溅践贱饯荐
tsʰ[213]签潜迁千[53]钱前[44]浅
s[213]仙鲜先[31]线腺
tɕ[213]监1{~视}兼艰间奸坚[44]减碱检俭简柬拣茧趼[31]鉴监2{国子~}舰剑谏涧件建键健腱见
tɕʰ[213]谦遣虔牵铅[53]嵌钳乾{~坤}[31]欠歉
ɕ[213]锨掀[53]咸衔嫌闲贤弦[44]险显[31]陷馅限苋宪献现县
∅[213]淹阉腌蔫焉烟[53]岩炎盐阎檐艳焰严颜然燃言研缘沿[44]染冉掩眼延演兖[31]验厌雁谚筵堰砚燕咽宴

#uã
t[213]端[44]短[31]断锻段缎椴
tʰ[53]团
n[44]暖=1
l[53]鸾銮[44]卵[31]乱
tθ[213]钻1{动词}[44]攒[31]钻2{名同}攥
tθʰ[213]窜汆[53]□{击打}
θ[213]酸[44]散1{松~}伞[31]散2{分~}算蒜
tʃ[213]专砖[44]转1{~身}[31]赚撰转2{~圈}篆传1{~记}
tʃʰ[213]川穿串1{动词}[53]传2{~达}椽船[44]喘[31]串2{名同}篡
ʂ[213]闩拴[31]涮
k[213]官棺观1冠1{衣~}关[44]管馆[31]贯灌罐观2{道~}冠2{~军}惯
kʰ[213]宽[44]款
x[213]欢[53]桓还2{~钱}环[44]缓[31]唤焕换痪幻患宦

#yã
tsʰ[53]全泉
s[213]宣□{斟：~酒}[53]旋[44]癣选[31]羡漩
tɕ[213]绢捐鹃[44]捲{动词}□{用脚踢}卷1{量词}[31]眷卷2{试~}圈1{猪~}倦券
tɕʰ[213]圈2{圆~}[53]拳权颧蜷[44]犬[31]劝
ɕ[213]轩暄{柔软，蓬松}[53]玄悬[31]楦□{用脚踹}
∅[213]冤渊[53]圆员元原源袁辕园援[44]软远[31]院願怨□{竹条编制的椭圆形篮子}

#ə̃
p[213]奔1{~跑}锛扳{动词}[44]本[31]奔2{~头}笨
pʰ[213]喷1{~水}[53]盆[31]喷2{~香：形容很香}
m[53]门[31]闷
f[213]分芬纷[53]焚坟[44]粉[31]粪奋愤忿份
v[213]温瘟[53]文纹蚊[44]稳吻刎□{搁，放}[31]问璺
n[44]恁{你们}
tθ[53]咱
tθʰ[213]参1{~差}
tʃ[213]针真侦贞={~操}[44]枕珍诊疹[31]镇阵振震
tʃʰ[213]抻[53]沉陈尘辰晨臣[31]趁称1{~心}
ʃ[213]深身申伸[53]神[44]沈审婶[31]甚肾慎
tʂ[213]棒臻[44]□{投掷}
tʂʰ[44]碜{食物里有颗粒状硬物}[31]衬
ʂ[213]森参2{人~}[44]渗
k[213]跟根□{食物口感不脆且有韧性}
kʰ[44]恳垦肯啃
x[44]很[31]痕恨
∅[213]恩[31]摁

#iə̃
p[213]彬宾摈滨斌[31]殡鬓
pʰ[213]拚{~命}拼[53]贫频蘋{~果}[44]品[31]聘
m[53]民[44]悯敏抿皿
l[53]林淋临邻[44]檀鳞磷[31]赁吝
ts[44]儘{副同，最，例如􀄀~前边􀄁}[31]浸进尽
tsʰ[213]侵亲[53]秦[44]寝[31]沁
s[213]心辛新薪[31]信
tɕ[213]今金襟巾斤筋□{提，拎}[44]锦紧仅谨[31]禁妗晋劲近
tɕʰ[213]钦[53]琴禽擒勤芹
ɕ[213]欣馨鑫[31]衅
∅[213]吟音阴荫因姻烟殷[53]淫人仁银壬寅[44]饮1{~水}忍引隐尹[31]任纫窨饮2{~马}刃认韧印

#uə̃
t[213]敦墩蹲吨[44]吨[31]顿囤饨盾钝遁
tʰ[213]吞[53]屯豚臀囤{~积}
l[53]论1{~语}仑伦沦轮[31]嫩论2{议~}
tθ[213]尊遵[44]撙{私自扣留}
tsθʰ[213]村[53]存[31]寸
θ[213]孙
tʃ[44]准
tʃʰ[213]椿春[53]蠢唇纯醇
ʃ[31]顺舜
k[44]滚[31]棍
kʰ[213]昆坤[31]困
x[213]昏婚荤[53]魂馄{~钝}浑横1{又音}[31]混

#yə̃
ts[31]俊
tsʰ[213]皴清1{看不~}
s[53]寻讯苟迅旬循巡殉逊[44]笋榫损
tɕ[213]均钓君军[44]菌[31]郡
tɕʰ[213]□{用细长物体抽打}[53]群裙[44]捆
ɕ[213]熏勋熏[31]训
∅[213]晕1{~倒}[53]匀闻云[44]允[31]润闰熨韵运晕2{~车}孕

#ɑŋ
p[213]帮邦浜[44]榜绑膀1{肩~}[31]谤傍棒
pʰ[53]旁螃庞膀2{~胱}[31]胖
m[53]忙芒茫[44]莽蟒盲
f[213]方芳[53]房防[44]肪妨纺仿访[31]放
v[213]汪[53]望王[44]亡网枉往[31]忘妄旺
t[213]当1{~时}[44]党挡[31]当2{典~}荡宕
tʰ[213]汤[53]堂棠螳唐糖塘[44]倘躺淌[31]烫趟
n[213]囊□{~食物因泡水变软}[44]攘暖-2
l[53]郎廊狼螂[31]朗浪
tθ[213]髒{不干净}赃臧{姓}[31]葬藏1{西~}臟{内~}
tθʰ[213]仓苍[53]藏2{隐~}
θ[213]丧1{~事}桑[44]嗓[31]丧2{~失}
tʃ[213]张章樟[44]长1{生~}涨掌[31]帐账胀丈仗杖障瘴
tʃʰ[213]昌娟猖鲳[53]长2{~短}肠场1{~院}常尝偿[44]敞厂场2{~合}[31]畅唱倡
ʃ[213]商伤[44]赏晌[31]上尚
k[213]刚纲钢1{~铁}缸缰{~绳}[44]冈岗港[31]钢2{使钝刀锋利}杠
kʰ[213]康糠慷[31]抗炕扛
x[213]夯[53]行1{银~}航杭
∅[44]□{~炕：烧，加热炕}

#iɑŋ
n[53]娘[31]酿
l[53]良凉量1{动词}粮梁粱[44]两[31]亮晾谅辆量2{数~}
ts[213]将1{~来}浆[44]蒋奖桨[31]酱将2{大~}匠虹{天上的虹}
tsʰ[213]枪呛1{~水}[53]墙[44]抢□{动词，铲}□{扑倒}[31]抢呛2{气味有刺激性}像1
s[213]相1{~信}箱厢湘襄镶[53]详祥[44]想[31]相2{~貌}象像=2橡
tɕ[213]疆僵姜江□{~~，才~：刚才}[44]讲精[31]降1{下~}犟糨
tɕʰ[213]羌腔[53]强1{形容同}[44]强2{勉~}
ɕ[213]香乡[53]降2{投~}[44]饷享响[31]向项巷
