#i
p[21]皮脾[34]比[44]臂[23]被备避
ɕ[41]收[21]酬[34]手首守[44]瘦兽[23]受授售寿
k[41]沟勾钩[34]狗[44]够购构
kʰ[44]扣
ŋ[34]藕偶
h[21]侯喉[34]口[23]候后後厚
∅[41]欧[34]呕[44]沤怄

#am
f[44]贩范
t[41]耽担[21]谭潭[34]胆疸[44]担[23]淡
tʰ[44]掭[23]探
n[21]男南楠
l[41]篮[21]兰蓝[34]览揽缆
ts[21]蚕残劖
tsʰ[41]参{~加}搀[34]惨
s[41]三
tɕ[34]斩[23]栈站暂
ɕ[41]衫
k[41]监[34]减[44]鉴舰
ŋ[21]癌岩
h[21]咸[34]喊[23]馅

#em
ɕ[41]森
k[41]金襟今[21]琴琼[34]锦[44]禁
kʰ[41]钦

#im
t[21]甜[34]点典[44]店[23]垫踮
tʰ[41]添
n[41]粘[23]念验
l[21]镰帘[23]殓
tɕ[41]尖[44]占
tɕʰ[41]签迁
ȵ[21]严[34]染
k[41]兼[21]钳虔[44]剑[23]俭
h[41]谦[44]歉
∅[41]阉[21]盐嫌檐

#em
pʰ[34]品
n[41]谂
l[21]林淋临
ts[41]针砧[21]沉[34]枕
tsʰ[44]浸侵
s[41]心
ɕ[41]深[34]审婶沈
k[23]揿
kʰ[41]□{盖}
j[34]饮[44]淹[23]任壬

#um
k[41]甘[34]敢柑
h[21]含衔
∅[44]暗揞

#an
p[41]扳班[34]板[23]办瓣
pʰ[34]盼
m[21]蛮[34]晚[23]慢曼漫
f[41]翻[21]帆凡矾烦繁[34]反返[23]饭犯
t[41]丹单[21]坛檀谈[23]蛋弹但
tʰ[41]滩摊瘫[34]坦毯[44]炭叹
n[21]难{困~}[23]难{灾~}
l[21]拦栏蓝[44]懒[23]烂滥
tsʰ[41]餐
s[44]伞散
tɕ[34]盏
tɕʰ[34]产铲
ɕ[41]山
k[41]奸间{中~}[44]间{~开}
kʰ[34]砍坎
ŋ[34]眼[23]雁
h[21]还{~是}[23]限苋
∅[44]晏

#uan
k[41]干{~燥}肝关[34]竿杆秆赶
ŋ[21]顽[23]岸
h[41]鼾[21]寒韩[34]缓[44]汉[23]汗旱陷
∅[41]安鞍鹌弯湾[21]还{~原}玩丸[34]腕挽[44]案按暗[23]万

#in
p[41]边鞭[34]扁[44]变[23]便辫
pʰ[41]篇编[44]骗遍片
m[21]棉眠绵[34]勉免[23]面
t[41]颠癫[21]田填[23]电
tʰ[41]天
n[21]年[34]碾研
l[21]连恋联莲怜[23]练炼链楝
ts[41]煎毡[21]前钱[34]剪展战[44]箭荐渐颤践[23]贱
tsʰ[41]千[34]浅[44]羡
s[41]先仙[44]线
ȵ[21]燃
ɕ[41]煽[34]闪陕显[44]扇献[23]善
k[41]坚肩艰[21]干[34]拣捡检碱[44]见建键毽[23]健件
kʰ[41]牵[44]芡欠
∅[41]烟[21]檐炎然延言[44]燕厌胭砚[23]现

#un
p[41]搬[21]盘[44]半[23]伴拌
pʰ[41]潘[44]判叛
m[21]瞒[34]满
f[41]欢
t[41]端[21]团[34]短[23]锻段缎断
n[34]暖
l[41]鸾圞[23]乱
s[41]酸鲜宣[34]选癣[44]算蒜
k[41]官观冠{风~}[34]管馆[44]惯贯罐灌冠{~军}
kʰ[34]款
∅[34]碗[23]换唤幻焕痪

#yen
ɕ[41]闩楦

#yn
ts[41]专砖[21]全泉传[44]转钻[23]旋
tsʰ[41]川穿[34]喘[44]篡串
ȵ[34]软[23]愿
ɕ[21]船椽玄旋
k[41]捐鹃[21]权拳[34]卷[44]券
kʰ[41]圈[34]犬[44]劝
∅[41]渊冤允[21]元园缘原源援袁员圆铅阎完[34]远[44]怨[23]院县韵

#ɐn
p[41]奔宾槟殡[21]盆贫[34]本[23]笨
pʰ[34]喷
m[21]门蚊民[23]闷焖问□{~水，井水}
f[41]分纷芬荤昏婚[21]坟[34]粉[44]粪奋愤忿混[23]份
t[41]墩[21]囤屯[34]葚[23]顿吨钝盾
tʰ[41]吞[34]褪□{台阶}
n[41]□{恶心或受到胳肢等产生的起鸡皮疙瘩的感觉}[23]嫩
l[41]□{饭煮得干硬}[21]轮伦磷鳞[44]□{~子，结巴}[23]论
ts[41]尊遵珍真贞侦斟[21]存陈尘[34]准诊疹攒[44]进俊振镇[23]尽震阵
tsʰ[41]亲村春椿抻[34]蠢[44]寸衬趁
s[41]新孙辛[34]损笋榫[44]信讯
ȵ[21]人银迎盈
ɕ[41]身申伸参{海参}[21]神纯唇晨辰旬巡鹑醇[23]顺肾慎
k[41]根跟
kʰ[34]肯垦恳啃
h[34]很[23]恨
∅[41]恩

#uɐn
k[34]滚[44]棍
kʰ[41]坤昆[34]捆[44]困看
∅[41]温瘟[21]魂文纹[34]稳[44]揾

#yan
ȵ[23]闰润
ɕ[21]悬
k[41]钧君军[23]菌
∅[21]匀云营[23]孕运

#en
ȵ[34]忍[44]韧
p[34]贬
tʰ[34]舔
k[41]斤筋[21]禽擒勤芹群裙[34]紧仅[23]近
j[41]因姻[21]寅仁[34]引尹[44]印

#ɔŋ
t[41]当{~家}[21]塘棠糖堂唐[34]党挡[44]档当{~铺}
tʰ[41]汤劃[34]趟躺[44]烫摥{~板，抹子}
n[21]瓤
l[21]狼郎廊[34]朗[23]浪
ts[21]藏{收藏}[44]葬[23]脏藏{西藏}
tsʰ[41]仓苍[21]肠
s[41]丧桑
k[41]钢纲缸刚冈肛
kʰ[41]康糠慷[44]炕[23]抗
ŋ[21]昂[23]戆{傻}
h[21]杭航绗行{银~}[23]项巷
j[21]王[34]枉

#oŋ
p[41]嘣[21]朋庞彭棚鹏膨蓬篷[34]绷
pʰ[34]捧奉[44]碰
m[41]蒙[34]猛懵[23]孟梦
f[41]风疯枫封丰蜂峰锋[21]冯逢缝{~补}[34]讽[23]凤缝{~隙}
t[41]东冬[21]同铜桐童[34]懂董筒[44]冻[23]洞栋动
tʰ[41]通统{~~}[34]桶统{~筹}[44]痛
n[41]哝[21]农脓浓[34]依[23]□{~儿，小孩儿}
l[41]聋窿[21]龙笼隆[34]拢[23]弄
ts[41]宗棕踪鬃中钟忠[21]从丛重{~新}虫[34]总肿种[44]种仲纵[23]重{~量}
tsʰ[41]葱匆充冲舂
s[41]鬆[21]松松[44]送宋
k[41]工公功攻恭[34]拱巩
kʰ[41]空{~地}[34]孔[44]空{~闲}
h[41]轰[21]红洪宏鸿弘虹[34]哄

#uŋ
p[41]帮邦[21]旁[34]膀
m[21]忙芒茫盲亡[34]网[23]望忘
f[41]方芳[21]房妨防[34]纺访仿晃[44]放
tɕ[41]装庄桩[44]壮状
tɕʰ[41]窗疮[34]闯撞创
ɕ[41]双霜[21]床[34]爽
k[41]光[34]广
kʰ[41]框眶[44]旷
∅[41]壅翁[21]黄簧皇蝗磺[34]搑{推、揉}[44]瓮蕹[23]旺

#iŋ
n[41]娘{新姑~}
l[21]良梁粮粱量{丈~}[34]两俩[23]亮谅量{质~}
ts[41]张章浆将{~军}[21]墙祥详长{~短}场[34]奖蒋掌长{~大}涨[44]账胀仗帐障[23]丈匠肠将{~领}
tsʰ[41]枪昌娼[34]抢厂[44]唱倡[23]象
s[41]箱厢相{~亲}[34]想[44]像橡相{~片}
ȵ[23]馕让
ɕ[41]伤商香乡[21]常裳偿尝降{投~}[34]赏享响[44]向[23]尚
k[41]姜[21]强{~大}[34]胫糨蔃{植物的侧根或根须}
kʰ[41]疆腔勥[34]强{勉~}
ŋ[34]仰
h[23]杏
∅[41]央秧殃[21]羊洋杨扬阳[34]痒[23]样

#øŋ
n[44]嬢
l[34]冷
ts[41]争
tsʰ[41]撑
ɕ[41]生牲甥[34]省
k[41]耕庚更羹
kʰ[41]坑[44]茎
ŋ[23]硬
h[21]桁行
w[21]横
∅[41]罂

#aŋ
p[41]崩[34]绑[44]棒蚌磅
m[34]蟒[23]甿
n[21]能
l[41]□{毛线}
t[41]登灯[21]腾藤[34]等[44]凳[23]邓
ts[41]僧曾{~姓}增[21]层曾{~经}
ɕ[23]上
k[41]江[34]讲港[44]降{霜~}
h[21]衡

#eŋ
p[41]兵冰[21]平评坪瓶凭屏频萍[34]丙柄饼[23]病
pʰ[44]拼
m[21]明鸣铭名[23]命
t[41]叮丁钉{~子}疔[21]停亭廷庭[34]顶鼎[44]订钉{~钉子}[23]定
tʰ[41]厅[34]挺艇[44]听
n[21]宁
l[21]灵零铃菱凌陵[34]岭领[23]令另
ts[41]精晶蒸征正{~月}[21]情晴呈程[34]井整[44]证政症正{方~}[23]静郑
tsʰ[41]清青称铛[34]请[44]秤
s[41]星腥猩[34]醒[44]性姓
ɕ[41]声升[21]成城诚承乘[44]盛胜圣[23]剩
k[41]经京惊荆糨[34]颈景警[44]劲敬竞境镜
kʰ[41]轻倾[44]庆
h[41]兴{~旺}[21]型刑形赢[44]兴{高~}杏
w[34]永
∅[41]英樱婴鹰鹦应{~该}[34]影映[44]应{~答}

#ioŋ
p[23]□{量词，用于连成一串的东西}
k[41]弓躬宫[21]穷
ɕ[41]胸凶[21]雄崇
∅[21]荣融绒茸容溶熔[34]拥勇涌[23]用佣

#ŋ̍
∅[21]梧吴蜈悟[34]五伍午

#ap
f[5]法
t[5]答搭[3]达踏沓
tʰ[5]塔錔□{一种宽口瓦罐}
n[3]纳
l[3]腊蜡
ts[3]杂闸铡[24]集习
tɕʰ[5]插
ɕ[3]煠
k[5]甲祫
j[5]眨
∅[5]鸭押压

#ɐp
ȵ[3]入
ts[3]执
ɕ[5]湿[3]十拾
k[5]夹

#up
k[5]鸽
kʰ[5]磕
h[3]合盒获

#ep
k[5]急级圾

#ip
t[3]迭碟蝶谍
tʰ[5]帖贴
n[3]聂镊孽业
l[3]猎
tɕ[5]接
ɕ[5]涉胁协
k[5]劫鲒
∅[5]腌页[24]叶

#at
p[5]八[3]拔
m[3]抹[24]袜
f[5]发乏[24]罚伐
n[5]□{结实}[3]捺
l[3]□{冷}
ts[5]札扎
tsʰ[5]察擦獭
s[5]萨撒
ɕ[5]杀

#uat
k[5]刮括割葛
∅[5]挖[3]滑

#ɐt
p[5]笔必不[3]鼻荸
pʰ[5]匹
m[5]□{蚊~，一种咬人的小虫，体积极小}[3]密蜜[24]物勿
f[3]佛□{甩}
t[5]突
tʰ[5]剔□{用手指弹击}
l[3]率律栗
ts[5]卒质[3]疾
tsʰ[5]出七漆
ȵ[3]日
ɕ[5]虱失室戌[24]实术
h[24]核
j[5]一

#uɐt
k[5]骨

#yt
ts[3]绝
tsʰ[5]撮
n[3]月
ɕ[5]血[3]说
k[5]决[3]□{~~，拟声词，锦鸡的叫声}
kʰ[5]缺
∅[5]穴[3]越

#it
p[5]鳖[3]别
pʰ[5]撇瘪
m[3]蔑灭篾
t[5]跌
tʰ[5]铁
l[3]列裂烈劣
ts[5]节浙蛰
tsʰ[5]窃切彻雀鹊
n[3]热弱虐
ɕ[5]设[3]舌
k[5]吉结杰洁
kʰ[5]揭
∅[5]噎乙

#ut
p[3]钵
pʰ[5]泼
m[3]没
t[3]夺
tʰ[5]脱
s[5]薛屑
kʰ[5]阔
∅[3]活

#øt
ɕ[5]刷
k[5]橘
j[5]哕

#ak
pʰ[5]啪
ts[24]贼
tsʰ[5]则

#uak
k[5]搉

#ɐk
p[5]北剥驳[3]雹卜
m[3]墨默
t[5]得德[3]特
l[3]肋勒
ts[5]侧
tsʰ[5]厕测
s[5]色塞
k[5]角
kʰ[5]壳咳刻克
ŋ[5]呃
h[5]黑
∅[5]握

#ek
p[5]僻辟百柏伯[3]舶[24]白
pʰ[5]拍迫
m[24]麦脉
ts[5]窄责[3]择
tsʰ[5]册策拆
k[5]格革隔屐
kʰ[5]客
ŋ[3]额逆
h[3]吓易{交~}
∅[5]轭

#ik
p[5]壁
pʰ[5]劈逼噼
t[5]滴[3]敌笛
tʰ[5]踢惕
l[3]力历
ts[5]绩籍即唧鲫迹隻织积职置[3]直植值着席
tsʰ[5]戚尺
s[5]熄息惜昔锡
ɕ[5]识释析折[3]食石蚀
k[5]脚
kʰ[5]喫
h[3]译爆
∅[5]益约[3]药

#ɔk
tʰ[5]托宅
l[3]骆[24]落洛络烙略乐
ts[5]作[3]凿
tsʰ[5]错
s[5]索朔
k[5]各阁
kʰ[5]扩确
h[3]学鹤霍
j[3]跃

#ok
p[3]扑□{肿起的小包}
pʰ[5]仆
m[3]木目睦膜莫模
f[5]福复覆腹[3]服伏
t[5]督啄[3]读毒独
tʰ[5]凸秃
n[5]□{蚂~，蝌蚪}[3]陆鹿禄绿録六
ts[5]足促粥烛祝竹[3]族轴触浊镯续嘱
tsʰ[5]促速束畜蓄筑
s[5]宿缩肃俗粟
ȵ[3]肉狱
ɕ[3]熟属赎
k[5]谷
kʰ[5]哭
∅[5]屋

#uk
p[5]博搏膊[3]薄
ts[5]捉桌卓
ɕ[3]嗍
k[5]国郭

#iok
k[3]局
kʰ[5]曲菊
∅[5]育辱
