#i
p[31]彼髀比[53]毙臂秘泌庇痹闭
tʰ[13]徒屠途涂图[31]土杜妒度渡镀妥[53]兔
n[45]努[13]奴[31]怒糯
ɬ[45]苏酥虽[53]素诉
l[45]鲁虏卤[13]卢炉芦鸬鲈颅庐[31]路赂露{显～}露{～水}鹭
tʃ[45]租猪诛蛛株朱{姓～}朱{～砂}珠[31]祖组拄阻煮主[53]著驻注{～解}注{～意}诸蛀铸
tʃʰ[45]粗柱[13]除厨橱锄雏储[31]楚础住序叙聚[53]处{相～}处{到～}箸
ʃ[45]枢书舒输{赌～}输{运～}[13]薯殊[31]鼠竖树{～立}树{松～}署[53]恕庶戍暑
k[45]姑菇估孤辜[31]鼓蛊裹古股果棵颗盬[53]锢雇顾故固
kʰ[45]箍枯[31]苦[53]库裤
ŋ[13]吴蜈梧悟[31]祸互误
h[31]胡{～椒}湖
∅[45]乌污钨邬巫诬[31]芋[53]恶{可～}

#ɯ
ɬ[45]师须{必～}须{胡～}需狮[31]使字事侍[53]数漱
tʃʰ[31]取[53]醋

#a
p[45]巴芭疤笆吧爸[31]把{～握}靶把{刀～}[53]霸坝{水～}
pʰ[45]葩趴[13]爬琶杷耙[31]罢[53]怕
m[45]妈蚂玛马码[13]痳麻{黄～}麻{～疯}乸[53]骂
f[45]花[13]华{姓～}华{中～}[31]划{计～}画[53]化
t[31]打
tʰ[45]他
n[13]拿
ɬ[45]鲨沙裟砂纱
l[45]喇[53]罅
tʃ[45]楂渣遮抓[53]诈炸蔗鹧
tʃʰ[45]叉差岔车{单～}杈[13]茶查搽[31]□{扯东西}
ʃ[45]社始市[13]蛇[31]舍{～得}耍洒
k[45]枷袈加嘉家傢[31]假{真～}贾假{放～}[53]嫁稼价
kʰ[45]咖卡[53]架驾
ŋ[45]桠[13]讶蚜牙芽衙雅[31]瓦
h[45]哈{～腰；笑～～}□{欺负}[13]虾霞蛤[31]下{底～；～降}夏{姓～；春～}厦{～门；大～}
∅[45]阿{～哥}阿{～胶}鸦[31]亚哑

#ia
ɬ[31]写
tʃ[31]姐且者[53]借藉{借口}
tʃʰ[13]邪斜笡[31]扯谢
ʃ[31]射
∅[45]惹也野冶丫[13]爷[31]夜□{~hoi13：挠痒}

#ua
k[45]瓜呱[31]寡剐[53]挂卦
kʰ[45]夸垮挎跨胯娃蛙洼
h[13]桦
∅[31]话

#e
p[13]□{背}[31]避
pʰ[45]批
t[45]低[31]底抵
tʰ[45]弟梯{～子}[13]题提蹄啼堤[53]嚏替剃
n[45]蚁[13]泥{水～}泥{(糊墙)～子}[31]腻
ɬ[31]洗[53]细
l[13]犁黎梨
ʃ[45]赊[53]世{～界}驶舍{宿～}
k[45]鸡
kʰ[13]茄
h[53]系{～统}系{联～}
∅[31]矮

#ue
∅[45]靴

#o
p[45]波菠玻[53]播
pʰ[45]坡[13]婆[53]破剖
m[45]摸{抚～}么磨动作慢模{劳～}摹摸{偷～}魔摩磨{石～}模{～子}[13]蟆[31]帽
f[45]科蝌[13]和[31]火伙{～计}伙{～食}[53]货
t[45]多刀叨[31]朵躲[53]堕惰
tʰ[45]拖[13]驼驮鸵砣陀舵[31]椭
n[13]挪娜
ɬ[45]梭唆梳疏蔬莎[13]傻[31]锁琐所嫂[53]扫{～地}扫{～把}
l[45]攞啰[13]罗锣箩萝逻骡螺脶[31]裸老佬[53]□{疏}
tʃ[45]遭糟[31]左佐早[53]做灶
tʃʰ[45]坐初座[13]昨[31]草挫锉助[53]措错
k[45]歌哥戈高篙[53]个过
kʰ[31]可[53]课
ŋ[13]蛾鹅俄娥峨讹[31]饿卧
h[13]河何荷[31]好贺
∅[45]阿{～胶}屙

#uo
∅[45]涡莴[13]禾蜗

#ai
p[31]摆[53]拜
pʰ[13]排篺牌[31]败[53]派
m[45]买[13]埋[31]卖
f[31]坏
t[53]戴带
tʰ[31]大[53]态太泰汰
n[45]奶[31]奈
ɬ[45]腮鳃[53]晒
l[45]拉[31]赖癞攋
tʃ[45]斋灾栽[31]宰[53]再债载
tʃʰ[45]猜钗差{出～}□{~伞：撑伞}[13]豺柴踩[31]寨滞
ʃ[53]赛
k[45]皆阶佳街[31]解{了～}偈[53]介界芥疥届戒诫械
kʰ[31]楷蟹凯铠[53]慨
ŋ[45]埃[13]我涯崖挨
h[13]谐鞋[31]骇懈
∅[45]哀[53]爱

#iai
∅[31]□{形，差劲}□{嚼}

#uai
k[45]乖[53]怪
kʰ[31]拐[53]快筷
∅[45]歪[13]怀槐淮

#ɐi
p[45]碑卑悲
tʃʰ[31]滞
kʰ[45]奚
ŋ[31]毅艺

#ei
p[45]杯[53]贝
pʰ[13]培陪赔裴[53]沛配
m[45]尾美[31]未味昧[53]痱
f[45]啡非[13]回茴肥[31]毁贿汇晦会{开～}废[53]肺费
t[53]对
l[45]儡垒[13]雷蕾擂
tʃʰ[45]催崔摧[31]罪[53]淬脆翠悴萃粹

#oi
p[53]背
pʰ[31]吠[53]簸
m[45]每[13]梅脢媒莓枚每玫煤霉[53]妹
f[45]恢灰
tʰ[45]梯{电～}胎苔{舌～}[13]台苔{青～}抬枱[31]待怠贷代袋
n[31]耐
ɬ[53]岁
l[13]来
tʃʰ[13]才{人～}材财裁才{刚～}[31]彩采睬在遂隧[53]菜蔡嘴
ʃ[31]睡[53]税穗帅瑞
k[31]改解[53]盖
kʰ[45]赅该[31]□{累}[53]钙丐癐概
ŋ[31]碍艾外
h[45]开[13]□{痒}[31]海亥害

#ui
p[53]辈倍
pʰ[45]胚坯[53]佩
f[45]飞霏菲妃匪翡[31]悔会{～计}[53]绘荟慧彗星
t[45]堆
tʰ[45]推[13]颓[31]腿队[53]退蜕兑
n[31]内
ɬ[53]碎
l[31]累类泪
tʃ[45]追锥□{锥：被蜂蛰到手}[53]最缀赘醉
tʃʰ[45]吹炊璀[13]随槌锤陲[31]坠
ʃ[13]谁垂髓[31]水
k[45]龟归闺硅[31]轨诡鬼[53]桂鳜贵
kʰ[45]挥辉规亏窥[13]逵葵魁傀[31]跪柜[53]溃愧块
∅[45]威[13]危为{行～}围违维惟唯韦纬讳[31]萎委伟苇伪痿胃猬卫位谓为{～了}惠慧{智～}[53]畏慰猥尉喂蔚魏

#iui
ȵ[13]髓[31]蕊
∅[53]锐

#au
p[45]包胞苞鲍褒煲[31]饱保堡宝[53]豹龅报
pʰ[45]抛[13]袍刨[31]抱跑爆暴脬[53]炮泡
m[13]毛卯铆茅矛[31]冒貌[53]牡
t[31]祷岛捣[53]到倒{～塌}倒{～挂}
tʰ[45]滔涛[13]桃逃淘陶萄[31]道稻讨盗导[53]套
n[45]嬲[31]脑恼瑙闹
ɬ[53]潲
l[45]捞唠[13]劳牢痨劳
tʃ[45]朝{今～}昭招诏[31]蚤爪找笊枣[53]罩照
tʃʰ[45]操抄钞超噪吵[13]巢潮曹槽嘈[31]炒造[53]躁燥{干～}糙臊藻
ʃ[45]烧梢稍[13]韶绍[31]少{多～}[53]少{年～}邵
k[45]膏教{～书}胶跤交郊狡[31]稿饺蛟搞搅[53]校教{～训}窖觉{睡～}告
kʰ[31]烤考拷[31]犒[53]靠敲较
ŋ[45]咬[13]熬遨敖[31]傲[53]袄
h[13]豪壕毫嚎蚝[31]皓浩号孝酵[53]耗
∅[31]拗澳奥懊

#iau
p[45]标飙镖□{猋：跑得快}□{瀌：水射出来}[31]表{外～}表{手～}裱
pʰ[45]鳔飘漂{～浮；～亮}[13]嫖[53]票漂{～白}
m[45]瞄[13]苗描[31]秒藐妙庙渺缈[53]猫
t[45]碉刁貂雕[31]屌[53]钓吊
tʰ[45]挑[13]调{协～}调{～查}条[31]悼[53]跳
n[45]鸟{禽～}[31]尿
ɬ[45]逍消箫宵萧[31]小[53]笑
l[13]僚疗嘹聊辽瞭[31]了[53]料廖
tʃ[45]焦蕉椒礁樵召[31]剿
tʃʰ[13]憔朝{清～}嘲{～笑}[31]赵肇
ʃ[13]晁[31]兆
ȵ[13]饶[31]绕侥晓扰
k[45]骄娇浇[31]矫缴[53]叫
kʰ[45]蹻[13]乔侨桥荞翘藠俏轿[31]巧[53]窍
h[45]嚣
∅[45]妖邀腰要幺[13]摇谣窑姚遥尧[31]舀耀[53]效□{~人：骗人}

#ɐu
m[45]□{蹲}
ɬ[45]馊[31]搜{～集}
tʃ[45]邹周舟州洲绉[53]昼胄骤奏咒
tʃʰ[45]抽秋{春～}秋{～千}[13]绸稠筹仇{恩～}酬[31]丑{小～}凑[53]臭
ʃ[45]收[13]愁[31]寿授售手首守受

#iɐu
ȵ[13]牛[53]皱
∅[45]忧{～愁}优忧{担～}幽休悠有酉邱丘蚯[13]鱿尤邮由油游犹柚[31]友[53]诱幼又右佑莠

#eu
m[45]某[13]谋[31]贸[53]戊茂
f[13]浮[31]否
t[31]蚪斗{北～}抖陡[53]斗{争～}
tʰ[45]偷[13]头投[31]敨豆逗痘窦[53]透
ɬ[31]艘[53]瘦兽
l[45]䄛[31]漏陋
tʃ[31]走
k[45]钩沟勾纠[31]枸狗苟[53]垢够构购
kʰ[31]疚[53]叩扣寇灸柩
ŋ[31]藕
h[45]厚[13]侯喉猴[31]口后{先～}后{皇～}候
∅[45]欧鸥殴[31]呕[53]沤怄

#iu
t[45]丢
n[31]纽扭钮
ɬ[45]修羞[53]秀绣锈
l[45]溜柳[13]浏流刘留榴硫琉馏楼篓骝搂
tʃ[31]酒
tʃʰ[45]鳅[31]袖纣宙就
k[31]九久韭[53]救究
kʰ[45]舅[13]囚球裘求[31]旧
∅[13]柔揉

#am
t[45]耽担[31]疸胆
tʰ[45]淡贪坍[13]谈潭痰谭[31]毯[53]探
n[45]喃[13]男南腩[53]□{迈过去}□{大拇指与食指张开的距离}
ɬ[45]三衫
l[13]蓝篮[31]览揽榄缆滥
tʃ[45]瞻詹[31]斩[53]占{～领}
tʃʰ[45]参{～加}搀[13]蚕惭谗馋蟾[31]惨暂站[53]站湛渗
ʃ[45]杉[13]蝉禅{坐～}嫌婵[31]险闪陕
k[45]柑甘监[31]橄敢咁感减[53]尴鉴
ŋ[45]啱[13]岩癌
h[13]函咸含衔涵[31]憾撼陷馅[53]喊
∅[53]暗鹌

#iam
t[31]点典碘[53]店踮
tʰ[45]添[13]甜[31]奠垫
n[31]验念
l[13]镰帘廉联[31]殓敛
tʃ[45]尖
tʃʰ[45]签{抽～}签{～字}纤迁[13]□{挦：拔草}[31]羡渐
ȵ[45]粘占{～卜}[13]严炎[31]染
ʃ[13]潜
k[45]兼[31]拣[53]剑
kʰ[45]谦[13]钳[31]检俭[53]欠歉
∅[45]阉腌[13]盐檐[31]掩焰演庵阎[53]厌

#ɐm
n[31]恁
ɬ[45]心
tʃ[45]针斟砧[31]枕寝[53]浸
tʃʰ[45]深侵寻[13]沉覃
ʃ[45]森[31]沈审婶
kʰ[31]□{咳}
h[45]钦

#iɐm
ȵ[13]壬任{姓～}[31]任{责～}饮{也可读ȵiəm31}[53]任{～务}
∅[45]音阴荫[13]吟淫

#əm
ɬ[45]参{人～}

#iəm
l[13]林淋临琳霖[31]赁
ȵ[31]饮{也可读ȵiɐm31}
k[45]金今[31]锦[53]禁
kʰ[45]襟[13]琴禽岑擒

#an
p[45]班斑搬[31]板版扳[53]半
pʰ[45]攀潘[13]盘[31]瓣办[53]扮盼办颁
m[45]晚[13]顽馒蛮瞒[31]慢漫万曼
f[45]番翻[13]樊繁凡焚烦帆[31]返反饭[53]犯泛贩范
t[45]丹单{孤～}掸[53]旦诞
tʰ[45]摊滩滩[13]檀坛弹{～琴}[31]坦蛋但弹{子～}[53]叹炭
n[13]难{困～}[31]难{患～}
ɬ[45]山[31]散{松～}伞[53]散{解～}
l[45]懒[13]兰拦栏[31]烂
tʃ[31]盏栈[53]赞绽
tʃʰ[13]残缠[31]铲产赚[53]灿
ʃ[45]珊姗删[53]疝汕
k[45]艰间{中～}奸涧[31]碱简锏谏[53]间{～隔}
ŋ[13]颜[31]眼雁
h[13]闲[31]刊限

#iɛn
p[45]鞭边辫崩[31]贬扁匾蝙汴[53]变
pʰ[45]编篇偏遍{一～}[13]便{～宜}朋凭{文～}绷[31]辨辩便{方～}[53]骗遍{～地}片
m[45]免勉[13]绵棉眠盟{联～}[31]娩缅面{挂～}[53]面{外～}
tʰ[45]天听厅[13]田填[31]电殿淀
n[13]年碾能[31]捻
ɬ[45]仙鲜先宣喧[13]旋漩[31]癣选[53]线
l[13]连怜莲恋[31]练炼链
tʃ[45]煎僧筝[31]剪赠[53]箭战
tʃʰ[45]千[13]钱前全泉[31]践浅溅贱遣
ȵ[45]研[13]言[31]愿
ʃ[45]鳝轩[13]弦舷玄悬炫[31]善缮膳贤显现[53]赡扇{电～}煽扇
k[45]肩坚鹃{杜～}娟涓捐绢[31]趼卷{翻～}卷{试～}券[53]见苋荐舰键建健砚
kʰ[45]牵圈[13]乾虔拳权颧[31]犬茧件
∅[45]烟燕{姓～}胭冤鸳{～鸯}渊姻咽[13]延然燃完元圆员袁辕园援猿{～猴}缘沿铅原源阮[31]远院县[53]艳谚堰燕{～子}宴怨劝宪献

#uan
k[45]关[53]惯贯
∅[45]弯湾挽[13]还环丸顽浑{水～}缓[31]玩幻患

#ɐn
p[45]奔[31]本[53]粪笨
pʰ[13]盆[53]喷
m[45]蚊悯敏[13]门扪们文纹闻吻刎[53]问
f[45]分{划～}吩{～咐}芬纷氛[13]坟[31]粉份分{本～}[53]愤忿训奋驯
t[45]敦墩蹲[31]盾
tʰ[45]饨[13]屯豚臀囤
ɬ[45]孙[13]荀旬循巡询殉徇纯醇[31]笋榫
l[13]仑[31]论{～语}
tʃ[45]真津珍[31]准诊疹整[53]进晋镇俊骏峻竣振震郡
tʃʰ[45]亲村春鹑椿[13]陈尘臣秦澄{～清}橙{柑～}[31]忖蠢[53]趁衬秤
ʃ[45]身申伸娠呻绅[13]神唇辰晨塍肾[31]顺慎[53]舜
ŋ[13]银

#iɐn
ȵ[45]忍刃[13]人[31]认润闰孕
∅[45]恩欣[13]仁[31]隐引蚓允尹[53]印

#uɐn
k[53]棍
kʰ[45]昆坤均钧君[31]滚捆混菌[53]困{～难}困{眼～}
∅[45]熏{烟～}勋熏薰荤昏婚[13]馄浑{～浊}魂云耘芸[31]稳

#en
t[45]登灯澄{～水}叮丁钉{铁～}颠癫巅[31]等[53]凳瞪订
tʰ[45]吞[13]腾誊藤疼[31]邓
ɬ[31]省{全～}
l[13]楞
tʃ[45]毡曾{姓～}增憎
tʃʰ[13]曾{～经}层
ʃ[13]乘承丞诚
k[45]跟
h[31]肯

#ən
pʰ[53]喷{～嚏}
m[53]闷焖□{~水：潜水}
tʰ[31]顿钝遁
n[31]嫩
ɬ[45]升
l[13]轮[31]论{议～}
tʃ[45]征蒸惩[53]正{～式}症政
tʃʰ[53]寸
ʃ[31]剩盛[53]胜圣
h[13]痕[31]狠很恨

#iən
∅[45]鹰莺鹦樱英婴缨因殷永泳咏佣[13]匀蝇[31]酝韵运颖

#uən
∅[45]温瘟

#on
p[45]般
pʰ[31]伴拌绊叛[53]叛
m[45]满
f[45]欢
t[45]端[31]短
tʰ[45]断{砍～}断{决～}[13]团{～结}团{面～}[31]锻段缎
n[45]暖
ɬ[45]酸[31]损[53]算蒜
l[13]孪鸾銮[31]乱
tʃ[45]专砖尊遵樽钻{～研}[31]转{运～}转{～动}展钻{电～}
tʃʰ[45]闩拴栓川穿餐[13]传{流～}传{～记}存[31]喘篆[53]串窜撰篡
ʃ[13]船
k[45]干{～涉}肝干{～燥}官棺观{参～}冠{衣～}[31]赶竿杆{旗～}秆杆{笔～}管馆[53]干{骨～}灌罐冠{夺～}
kʰ[45]宽[31]款
ŋ[31]岸
h[13]寒韩[31]汗焊翰罕幸旱看{～守}[53]看{小～}汉
∅[45]安鞍[53]按案

#ion
ȵ[45]软[53]韧

#uon
∅[45]豌[31]碗腕莞皖惋宛婉涣痪唤焕换

#in
p[45]宾槟缤斌滨殡冰兵鬓[31]禀秉
pʰ[13]贫频濒屏萍[31]品[53]聘并{合～}并{～且}拼{～命}拼{打～}
m[13]民冥{～～之中}瞑酩鸣冥{～币}闽[31]皿
t[31]顶{～起来}鼎
tʰ[13]婷亭停廷庭蜓[31]挺定艇
n[13]狞咛泞宁{安～}宁{～可}[31]佞
ɬ[45]辛锌新薪星猩[53]信讯迅
l[13]邻鳞燐磷麟凌菱绫聆羚苓玲灵零铃伶伦轮[31]令另论{议～}
tʃ[45]精晶睛贞侦
tʃʰ[45]清{澄～}清{水很～}蜻[13]情呈程逞[31]静靖尽{～管}尽{耗～}阵郑
k[45]根巾斤筋京荆经惊大惊小怪[31]紧谨仅擎境景警[53]敬竟竞径劲
kʰ[45]近[13]勤芹鲸琼群裙[31]倾恳垦顷[53]庆杏
h[13]型[53]衅兴
∅[45]应{～当}[13]寅盈莹[53]应{响～}

#iun
k[45]军

#iaŋ
p[31]饼丙[53]柄
pʰ[13]平坪评苹瓶[31]病
m[13]明名铭[31]命
t[31]顶{头～}
ɬ[45]相{互～}箱厢湘镶腥[31]醒想[53]性姓相{长～}
l[45]领岭辆两{～公婆}[13]良凉粮梁粱龄{年～}[31]量{测～}亮谅量{数～}[53]靓
tʃ[45]正{～月}[31]井
tʃʰ[45]清清明枪青[13]晴[31]请净
ʃ[45]馨声香乡[13]成城
k[45]姜{生～}姜{姓～}惊{～吓}[31]颈[53]镜
kʰ[45]疆僵轻缰腔[13]强{坚～}[31]强{勉～}
ŋ[13]迎
∅[13]赢营形刑[31]影映

#ɐŋ
p[13]绷
m[13]萌
tʃ[45]筝
k[45]更{～换}羹[31]耿
kʰ[45]坑
h[13]行{品～}衡

#uɐŋ
kʰ[45]轰

#ɛŋ
pʰ[45]□{溢出来}[13]棚彭膨
m[45]猛蜢孟
l[45]冷□{毛线}
tʃ[45]争睁挣踭
tʃʰ[53]撑
ʃ[45]生牲笙甥[31]省{反～}
k[45]更{打～}庚耕[53]更{～加}
ŋ[31]硬
h[13]恒衡{~阳}

#uɛŋ
k[31]梗
kʰ[45]匡框{～架}诓{～骗}筐眶框{相～}诓{～骗}[13]狂[53]旷矿{～山}矿{煤～}况
∅[13]横{纵～}横{蛮～}

#øŋ
p[45]帮邦[31]榜绑谤
pʰ[13]滂旁螃膀庞傍[31]胖棒
m[45]莽蟒[13]忙茫亡忘氓[31]网望梦
f[45]方芳谎[13]房防妨[31]恍纺仿访肪坊{作～}[53]放
t[45]当{应～}铛[31]党挡档裆[53]当{妥～}
tʰ[45]汤劏[13]堂棠螳唐糖塘膛搪[31]倘躺淌荡[53]烫趟
n[13]囊
ɬ[45]桑[31]嗓爽[53]丧{～失}丧{婚～}
l[45]□{~杯：刷洗杯子}[13]郎廊狼螂榔[31]朗埌浪
tʃ[45]赃脏{肮～}张庄装妆章樟彰桩将{～来}[31]长{生～}掌蒋桨[53]葬藏{宝～}脏{五～}仗{依～}帐账胀涨{～大}仗{打～}仗{仪～}障瘴涨{～水}壮浆
tʃʰ[45]仓苍沧舱疮昌菖鲳娼猖倡窗[13]藏{隐～}长{短～}肠床嫦常尝偿墙详祥翔[31]场闯厂敞创{～伤}杖丈状匠抢[53]唱畅创{～造}象像橡酱将{大～}奖
ʃ[45]商伤[13]裳[31]赏尚上{天～}享响[53]向
k[45]冈岗刚纲缸光胱江豇扛肛钢杠[31]讲港广[53]降{下～}
kʰ[45]康慷[53]抗
ŋ[45]仰[53]□{呆，笨}
h[45]糠[13]行{银～}航杭降{投～}[31]项巷[53]□{~床：起床}
∅[45]荒慌

#iøŋ
n[13]娘[31]酿
l[31]两{～家}俩
ȵ[31]让
∅[45]鸯泱央秧殃养[13]佯羊洋烊杨阳扬疡[31]恙{无～}样漾

#uøŋ
∅[[45]往[13]黄簧皇蝗凰隍磺蟥煌王[31]旺枉

#oŋ
pʰ[45]塳[13]蓬篷[31]捧[53]碰
m[13]蒙矇濛朦檬芒□{~~水：细雨}[31]懵[53]蕹
f[45]烘风枫疯封丰峰蜂锋烽讽[13]红洪鸿虹冯逢缝{～补}[31]奉凤俸缝{裂～}
t[45]东冬[31]董懂[53]冻栋
tʰ[45]通[13]同铜桐童筒[31]桶捅动统洞侗瞳[53]痛
n[45]□{㶶：烧焦}[13]农脓浓
ɬ[45]双松{放～}嵩[31]怂耸[53]送宋
l[45]聋窿笼{鸟～}[13]胧隆咙珑龙陇[31]拢笼{～箱}
tʃ[45]棕宗踪{～迹}鬃综踪{跟～}中{当～}忠衷{由～}衷{～心}终钟{闹～}锺情盅[31]总种{品～}肿[53]粽纵{～横}纵{放～}中{打～}种{耕～}
tʃʰ[45]聪匆葱囱冲{～水}充冲{～锋}舂重{轻～}[13]丛从{～容}从{跟～}松{樅树}虫重{双～}崇重{～做}[31]撞宠诵众颂讼仲
ʃ[45]霜孀胸兄匈{～牙利}匈{～奴}汹
k[45]公蚣工功攻弓躬宫恭供{～应}龚[31]拱巩[53]贡供{上～}□{喂：~猪，~牛}
kʰ[45]空{天～}空{～缺}[13]穷[31]孔恐共[53]控
ŋ[31]□{推人}
h[13]弘宏
∅[45]汪翁瓮[31]妄

#ioŋ
ȵ[45]□{蔬菜长得茂盛}[13]熊
∅[45]臃邕凶庸勇翁涌蛹踊冗[13]荣融容绒茸雄萤[31]用拥恿俑

#ap
f[3]法
t[3]答搭
tʰ[3]塔[5]踏沓
n[5]纳
l[3]□{~ʃap3：垃圾}[5]腊蜡
tʃʰ[3]插[5]杂闸铡
k[3]鸽甲胛夹{～菜}□{ɬo45~：蟑螂}
h[5]合盒
∅[3]鸭押

#iap
tʰ[3]帖{妥～}帖{请～}帖{字～}贴[5]叠蝶谍秩碟
l[5]猎□{驱赶：~（猪牛鸡狗）等}
tʃ[3]接折{～叠}褶
tʃʰ[5]夹{～子}
ȵ[5]业孽
ʃ[3]协挟胁摄涉设
k[3]劫涩
kʰ[5]狭峡搛
∅[3]□{眨}侠[5]叶页

#ɐp
n[3]粒
tʃ[3]汁[5]执
ʃ[3]湿[5]十什拾
k[3]□{青蛙}

#iɐp
ȵ[5]入

#iəp
l[5]立笠
tʃʰ[5]缉辑习集
k[3]急
kʰ[3]吸级[5]及

#at
p[3]八
pʰ[5]拔
m[3]抹袜
f[3]发[5]乏伐筏罚阀
tʰ[3]榻塌遢[5]达
n[5]捺
ɬ[3]萨杀煞刹
l[3]邋[5]辣
tʃ[3]扎砸轧窄
tʃʰ[3]擦察刷
h[3]瞎辖
∅[3]压

#iɛt
pʰ[3]撇{～开}撇{～捺}必[5]别{分～}别{离～}
m[5]灭篾
t[3]跌
tʰ[3]铁踢
ɬ[3]雪
l[5]烈裂列劣
tʃ[3]哲辙折{挫～}浙节
tʃʰ[3]彻撤切{～开}切{一～}窃[5]截绝
ȵ[3]虐[5]热月
ʃ[3]恤[5]穴舌折{～本}血蚀啬
k[3]结{～实}洁
kʰ[3]揭蝎[5]杰
h[3]歇
∅[5]越粤悦阅

#uat
k[3]刮括
kʰ[3]阔
∅[5]滑猾

#ɐt
p[3]不[5]跛
m[5]物勿
f[5]忽核{果～}佛
tʰ[5]突
l[5]栗律率
tʃ[3]卒{兵～}卒{生～(年)}质{人～}质{品～}织
tʃʰ[3]猝出[5]侄疾
ʃ[3]失适[5]实

#iɐt
ȵ[3]日
∅[3]一[5]逸

#uɐt
k[3]骨
∅[5]活

#et
p[3]北
pʰ[5]卜{萝～}
m[5]墨
t[3]德
tʰ[5]特
n[5]□{动，粘}
ɬ[3]塞色
l[5]肋勒{～紧}簕勒{～索}
tʃ[3]则
tʃʰ[3]厕侧
ʃ[3]食
k[3]结{打～}
kʰ[3]决诀缺乞刻{时～}刻{雕～}克
h[3]黑

#uet
k[3]国
∅[5]挖

#ət
l[5]呖
tʃʰ[5]捷直

#iət
∅[5]驿奕弈翼译易{交～}液疫役

#uət
∅[3]屈

#ot
pʰ[5]拨泼
m[5]魅茉末沫没
tʰ[3]脱夺
ʃ[3]说
k[3]葛{～麻}葛{姓～}割
h[3]渴喝

#it
p[3]憋笔毕逼碧僻壁{～虎}
pʰ[3]匹
m[5]密蜜
t[3]的{～确}的{目～}滴涤[5]啲
tʰ[3]剔惕[5]迪笛敌狄荻
n[3]匿[5]逆
ɬ[3]悉虱息熄惜释析戌术述室膝
l[5]力历{～史}沥历{经～}历{日～}
tʃ[3]积帜职迹脊绩
tʃʰ[3]七漆戚[5]籍藉{狼～}席夕寂蛰值殖植
k[3]桔吉橘击激
kʰ[5]极剧
∅[3]乙益

#ak
f[5]□{抽打}
ŋ[5]□{~头：点头}
∅[3]握

#iak
p[3]壁{墙～}
pʰ[3]劈{～开}劈{～柴(～成之柴)}辟
ɬ[3]锡昔削
l[5]掠
k[3]脚
kʰ[3]觉{发～}

#uak
∅[5]获

#ɛk
p[3]百伯
pʰ[3]帕泊{湖～}泊{停～}珀粕拍魄柏[5]铂白
m[3]脉[5]麦陌
tʃ[3]责只{一～}
tʃʰ[3]策册拆尺{工～}宅摘[5]泽择{～菜(挑拣可吃)}择{选～}
ʃ[3]识式饰[5]石
k[3]格革隔嗝
kʰ[3]客
ŋ[5]额
h[3]吓{惊～}吓{恐嚇}[5]核{～桃}核{审～}

#øk
p[3]剥
pʰ[5]薄{厚～}
tʰ[3]讬托[5]□{捡东西}
n[3]诺
ɬ[3]索朔塑
