#a
p[1]巴芭疤吧笆[3]把[5]坝爸罢 [7]八
pʰ[1]抛泡{水∽，又，口}[2]袍刨[3]跑[5]泡炮
m[1]猫[2]毛茅锚矛[3]卯[5]冒帽貌
t[1]刀叨[3]岛祷捣倒{∽塌}[5]倒{∽水}到稻道盗蹈铸{俗}
tʰ[1]滔掏[2]桃逃淘陶萄涛[3]讨[5]套导
n[1]捞唠[2]劳牢痨挠[3]脑恼老姥[5]涝闹
k[1]高糕羔膏[3]篙稿搞搅[5]告窖校-{∽钟表}
kʰ[1]敲[2]搅{俗}[3]考烤拷铐[5]靠犒
x[1]蒿薅[2]毫豪[3]好郝[5]好耗号浩
ŋ[2]熬[3]袄咬[5]熬傲奥懊
ts[1]糟遭朝昭招沼诏[2]着-{遭}[3]早枣蚤澡爪找笊[5]皂罩赵兆召照
tsʰ[1]操糙抄钞超[2]曹槽巢潮朝[3]草炒吵[5]躁燥造
s[1]骚臊梢捎稍烧[3]嫂扫{∽地}少[5]稍哨少韶绍邵扫{∽帚}燥-肇
z[2]饶尧[3]扰绕

#ən
p[1]奔崩绷[3]本[5]笨
pʰ[1]烹凭-{凭靠}[2]盆彭膨
m[2]门[5]闷
f[1]分吩奋芬纷[2]焚坟[3]粉[5]喷粪愤份
t[1]敦墩登灯[3]等[5]顿钝盾凳邓澄
tʰ[1]吞[2]屯豚藤腾誊
k[1]跟根更庚羹耕[3]哽梗耿[5]埂更硬
kʰ[1]坑[3]肯
ŋ[1]恩樱鹦-[5]硬
n[2]伦沦轮能棱[3]冷[5]论嫩
x[1]亨哼[2]恒茎[3]很[5]痕恨
ts[1]针斟珍榛臻真诊疹尊撙遵增曾憎征蒸争筝睁贞侦征[3]怎枕振震拯整[5]镇阵圳赠甑证症郑掷正政
tsʰ[1]村称撑[2]沉岑陈尘臣存层曾澄橙承丞橙呈程成城诚盛[3]惩逞[5]趁衬忖寸蹭称秤慎
s[1]森参渗深身申伸孙僧升生牲甥笙声[2]神娠辰晨乘[3]沈婶审损笋省[5]葚甚肾剩胜圣盛
z[1]扔[2]人仁[3]忍刃韧仍[5]壬任任紆认

#əu
t[1]都兜[3]斗陡[5]斗豆痘逗
tʰ[1]偷[2]头投[3]抖[5]透
n[1]搂[2]楼[3]搂篓屡[5]漏陋露-
k[1]勾钩沟[3]狗[5]苟垢够构购
kʰ[1]抠[3]口[5]叩扣寇
x[2]侯喉猴[3]吼[5]后厚候
ŋ[3]藕偶
ts[1]邹绉周舟州洲粥[3]帚走肘[5]皱咒奏昼纣宙
tsʰ[1]抽[2]愁酬仇绸稠筹[3]丑[5]臭凑骤
s[1]搜飕馊搜收[3]手首守[5]瘦兽受寿授售叟嗽
z[2]柔揉[5]肉

#in
p[1]彬宾槟滨殡冰兵[3]禀丙秉柄饼[5]鬓病并
pʰ[1]拚拼[2]贫频苹凭平评坪瓶屏萍[3]品[5]聘
m[2]民明鸣名铭瞑[3]闽悯敏抿皿[5]命
t[1]丁钉叮[3]顶鼎[5]钉订锭定
tʰ[1]厅汀[2]亭停庭廷蜓[3]挺艇[5]替听听
n[1]拎[2]林淋临鳞磷邻吝凌陵菱宁灵零铃伶[3]檩凛领岭翎[5]赁令宁龄另
ȵ[2]凝
tɕ[1]今金襟金絜津巾斤筋茎京荆惊鲸精晶睛经[3]锦紧仅谨境景警井颈[5]禁尽进晋劲近敬竟镜竞静靖净劲径
tɕʰ[1]钦亲卿清轻青蜻[2]琴禽擒秦勤芹情晴[3]寝请[5]浸侵庆
ɕ[1]心芯辛薪新欣兴星腥馨[2]行形刑型[3]省猩醒[5]信衅兴杏幸性姓
Ø[1]音阴窨因姻殷鹰蝇莺樱鹦英婴缨[2]吟淫银寅迎盈赢茔萤荥[3]饮饮引隐瘾影颖[5]印应映

#ia
p [3]瘪{扁}
t [1]□{提}
tɕ[1]家加痂嘉稼佳[3]假驾贾[5]架嫁价
tɕʰ [2]䠍{迈，跨过高物：从门槛上～过去} [3]卡
ɕ[1]虾[2]霞瑕遐暇斜[5]吓厦下夏吓
Ø[1]鸦丫[2]牙芽衙伢蚜研涯[3]雅哑[5]桠亚压轧

#iæ
tɕ[7]夹甲胛挟荚
tɕʰ[7]掐恰洽
ɕ[7]狭峡匣侠瞎辖
Ø[7]鸭押

#iæɛ
tɕ[1]皆阶[3]解=[5]界芥届戒械介疥
Ø[2]岩檐延蜒诞[3]也

#iæ̃
p[1]鞭编边[3]贬蝙扁匾[5]变便辩辨便辫
pʰ[1]篇偏[5]骗遍片
m[2]绵棉眠[3]免勉缅渑娩[5]面
t[1]掂颠癫[3]点典[5]踮店电殿奠垫淀
tʰ[1]添忝天[2]甜田填[3]舔腆
n[2]廉镰帘连联怜莲链恋[3]敛殓脸[5]廿练炼楝
ȵ[1]拈研[2]黏阎严俨年[3]碾辇[5]念
tɕ[1]监尖兼艰间奸锏煎肩坚[3]减硷检俭简柬拣谏剪践茧[5]鉴监舰渐剑涧箭溅贱犍件建毽键健腱荐见间{∽断}
tɕʰ[1]搀歼签扞纤谦迁笺千牵铅[2]钳钱干虔前[3]潜浅遣[5]嵌欠歉
ɕ[1]仙先[2]衔闲涎贤[3]险嫌宪显[5]陷馅限苋线羡献现县
Ø[1]淹阉炎腌蔫焉烟燕胭咽[2]盐颜言[3]掩魇眼演衍[5]厌艳焰雁晏筵堰宴燕

#iaɣ̃
n[2]良凉粮梁粱[3]两[5]酿量亮谅辆量
ȵ[2]娘
tɕ[1]将疆僵姜缰姜江豇[3]蒋奖桨讲[5]浆酱将匠降
tɕʰ[1]枪羌腔[2]墙详祥强[3]抢[5]呛
ɕ[1]相箱厢湘襄镶香乡[3]想翔饷享响[5]相象像向降
Ø[1]央秧殃[2]羊洋烊杨阳扬疡[3]养痒[5]样

#iaɤ
p[1]彪膘标[3]表婊
pʰ[1]飘藻漂{∽浮}[2]漂瓢嫖[5]票鳔漂{∽亮}
m[2]苗描[3]秒渺藐杳[5]庙妙谬
t[1]刁雕貂凋[5]吊钓调掉调{∽动}
tʰ[1]挑[2]条调{∽和}[3]掉-[5]跳
n[1]撩[2]燎疗辽聊僚[3]了[5]谬寥廖料镣
ȵ[3]咬鸟[5]尿
tɕ[1]交胶郊教茭焦蕉椒骄娇浇[3]绞狡铰搅剿矫缴侥饺[5]教较觉校{校钟表}轿叫嚼
tɕʰ[1]敲悄撬[2]樵瞧荞侨桥乔[3]巧[5]俏翘窍
ɕ[1]消宵霄硝销逍肖嚣萧箫侥[2]肴崤[3]小晓[5]酵校哮孝淆校效笑
Ø[1]妖邀腰要{∽求}夭幺吆[2]肴摇谣姚窑遥[3]舀杳[5]要{重∽}耀跃

#ie
p[7]鼻别鳖憋笔笔毕必逼碧璧壁
pʰ[7]撇匹僻辟劈
m[7]秘泌灭蔑密蜜觅
t[7]叠碟牒蝶谍迭的滴嫡狄笛敌涤
tʰ[7]跌帖贴铁踢
n[7]例厉励立笠粒列烈裂劣栗力历砾
ȵ[7]聂镊蹑孽捏逆溺
tɕ[7]接捷劫缉集辑急给=杰揭竭节结洁疾吉即鲫棘极脊迹积籍绩激击妾吸
tɕʰ[7]砌妾怯级及吸切窃截七漆膝乞戚劫
ɕ[7]褯协习袭歇蝎屑血穴悉蟋息熄媳隙惜席析锡泣夕膝昔
Ø[7]椰隘叶页邑噎一壹益译抑

#iəu
t[1]丢
n[1]溜[2]流留刘榴琉硫馏[3]柳
ȵ[2]牛[3]纽扭
tɕ[1]鸠阄纠灸咎纠揪[3]九久韭酒[5]救究臼舅旧柩就
tɕʰ[1]丘锹秋鳅[2]求球囚泅
ɕ[1]休修羞[3]朽[5]嗅莠秀绣锈袖嗅
Ø[1]优忧悠幽[2]尤邮由油游犹[3]有友酉[5]又右祐诱柚釉幼

#io
n[7]略掠
tɕ[7]绝决诀橘脚角觉足局卒
tɕʰ[7]掘屈雀鹊却确菊曲
ɕ[7]续戍宿学速宿肃畜蓄续削薛雪
Ø[7]悦阅曰越粤约药钥岳域役疫育狱浴欲虐乐{音∽}粤郁

#ioŋ
tɕ [1]躬{口}
tɕʰ [2]穷
ɕ[1]兄胸凶匈[2]熊雄
Ø[1]雍臃拥壅庸[2]容溶熔融[3]允蓉勇涌恿踊甬[5]用

#oŋ
p[1]崩绷[3]捧
pʰ[2]朋棚篷蓬[5]碰
m[2]谋萌盟蒙[3]某亩猛蜢[5]孟贸茂
f[1]风疯枫丰封蜂峰锋[2]冯逢缝[3]讽[5]凤奉缝俸
t[1]东冬[3]董懂[5]冻栋动洞
tʰ[1]通[2]同铜桐筒童瞳[3]捅桶统[5]痛
n[1]弄聋[2]笼聋胧咙农脓侬隆窿浓龙[3]拢垄[5]弄
k[1]公工功攻蚣弓躬宫恭龚[3]汞拱巩[5]贡供供共
kʰ[1]空[3]孔恐[5]控
x[1]轰烘[2]弘宏虹红洪鸿[3]哄
ts[1]鬃棕宗综中忠衷终踪钟盅[3]总种肿种[5]粽中仲纵纵重皱
tsʰ[1]葱聪忽囱充冲衷[2]丛虫崇从重[3]宠
s[1]松嵩松[3]怂[5]送宋诵颂讼
z[2]绒戎茸
Ø[1]翁[5]瓮

#ua
k[1]瓜[3]寡剐[5]挂卦褂[7]刮
kʰ[1]夸伶[3]垮[5]跨
x[1]花[2]华铧桦[5]化划画话
ts[1]抓 [3]爪
s[2]刷[3]耍
Ø[1]蛙洼挖[2]娃[3]瓦[5]凹

#uæ
ts [7]啄
k [7]国郭
kʰ[7]括阔廓扩
x[7]获滑或

#uae
k[1]乖[3]拐[5]怪
kʰ[3]块[5]会刽快筷
x[2]槐淮[5]怀坏
tsʰ[1]揣[3]喘
s[1]衰摔[3]摔[5]帅率蜂
Ø[1]歪[3]歪{口}[5]外


#uaɹ̃
n[3]暖卵
k[1]官棺观关[3]管馆[5]冠贯灌罐观冠惯
kʰ[1]宽[3]款
x[1]欢[2]桓还环[3]缓[5]唤焕换幻患
ts[1]钻专砖[3]转[5]赚钻传
tsʰ[1]川穿[2]传船[3]铲[5]蹿窜串
s[1]删酸闩拴[5]算蒜涮
z[3]软阮
Ø[1]豌剜弯湾[2]玩完丸纨[3]皖碗腕顽晚挽宛[5]万

#uaɣ̃
k[1]光[3]广[5]光{口}
kʰ[1]筐框匡眶[2]狂[5]旷况矿
x[1]荒慌[2]黄簧皇蝗蜡凰[3]谎晃{∽眼}[5]晃{摇∽}
ts[1]庄装妆桩[5]壮状撞
tsʰ[1]疮[2]床[3]闯[5]创
s[1]霜孀双[3]爽
Ø[1]汪[2]亡王[3]网往[5]望妄忘枉旺

#uei
t [5]对队兑
k[1]圭闺规龟归[3]诡轨鬼[5]瑰鳜桂跪柜贵
kʰ[1]盔亏窥盔[2]溃奎癸逵葵[5]愧
x[1]恢诙灰麾挥辉徽[2]回茴徊[3]悔晦毁[5]贿汇桧会绘秽惠慧讳卉汇
ts[1]追锥[3]嘴[5]罪最缀赘醉坠
tsʰ[1]催崔摧吹炊[2]垂锤槌[5]脆翠悴粹碎
s[2]随谁[3]水[5]碎岁税髓睡瑞
z[3]蕊[5]芮鋭
Ø[1]煨薇[2]桅为{作∽}惟唯围违纬猬微危[3]萎委尾巍伟苇[5]卫喂为{因∽}位维未味魏威畏慰胃谓伪

#uən
k[3]滚[5]棍
kʰ[1]昆坤[2]浑-[3]捆[5]困睏
x[1]昏婚浑荤[2]魂横浑=[5]馄混横
ts[3]准
tsʰ[1]椿春[3]蠢
s[2]纯绳唇[3]吮[5]顺舜
z[5]闰润孕
Ø[1]温瘟酝[2]文纹蚊闻吻[3]稳[5]问蕴

#ye
tɕʰ[7]缺
ɕ[7]薛雪恤削
Ø[7]月

#yæ̃
tɕ[1]绢捐[3]卷蜷[5]卷眷券
tɕʰ[1]圈[2]全泉权拳[3]犬[5]劝
ɕ[1]鲜掀轩宣喧楦[2]弦玄悬眩[3]癣选[5]旋
Ø[1]冤渊[2]圆员缘沿元原源袁辕园援猿铅[3]远[5]院愿怨

#yn
tɕ[1]钧均君军[3]郡炯[5]俊菌郡
tɕʰ[1]倾顷[2]群裙琼[3]顷
ɕ[1]熏勋[2]寻荀询旬循巡[5]讯逊迅驯殉训
Ø[1]晕[2]匀云耘荣营萤[3]尹永泳咏[5]熨韵运泳

#e
n [1]的-

