#调值	[1]35 [2]21 [3]55 [5B]24 [7A]2 [7B]3 [7C]5
#ɿ	
ɬ[1]思须丝鬚私师狮[2]四事序[3]死	
f[1]夫肤敷俘孵[2]符扶芙复佛福幅蝠复{反～，～原}腹覆服伏父付赋傅赴讣附妇负富副腐{豆～}[3]府腑斧腐{～烂}俯釜	
t[1]都{首～}[2]独读督毒肚杜妒度渡镀[3]堵赌	
tʰ[2]吐兔徒屠途涂图突[3]土	
n[2]奴[3]努	
ɬ[1]蓑梭苏酥疏蔬怂[2]肃缩粟俗素诉塑漱宿{～舍}	
l[2]庐鹿禄六卢陆绿录鸬炉芦路赂露[3]鲁橹虏卤	
ʧ[1]租[2]续浊捉犊族竹逐轴祝粥足烛触赎蜀做助[3]祖组阻	
ʧʰ[1]粗初[2]锄速筑畜蓄促束醋[3]楚础	
ʃ[1]梳枢[2]叔熟{煮～，～悉}淑嘱属数{～量}宿{星～}[3]数{动词}	
k[1]姑孤[2]谷酷故固锢雇顾[3]古估鼓骨股	
kʰ[1]箍枯麸窟苦[2]哭库裤	
h[1]呼乎[2]户沪护蜈吴梧胡戽湖狐壶葫无抚忽[3]虎浒	
Ø[1]乌污巫诬坞[2]误恶{厌～}悟互物勿握屋吾[3]五伍武舞侮鹉午	
#a	
p[1]巴芭疤爸[2]八拔霸欛坝罢把{门～，柄}[3]把{～握}	
pʰ[1]趴[2]耙爬琶杷钯怕	
m[1]妈[2]麻痲抹骂[3]码马	
f[2]乏发{头～，～现}伐筏罚法{讲～}[3]法{～律}	
t[2]答搭沓达大[3]打	
tʰ[1]他[2]踏坍塔榻塌	
n[2]拿纳那[3]哪	
ɬ[2]萨[3]洒撒	
l[2]腊蜡辣	
ʧ[1]楂渣抓[2]杂眨闸札扎轧铡诈榨炸	
ʧʰ[1]叉杈差{～不多,参～}岔[2]茶搽查插擦察刷洽	
ʃ[1]沙纱[2]杀涮[3]耍	
k[1]尬	
ŋ[1]桠	
Ø[1]阿[2]亚	
#o	
p[1]波菠颇玻[2]薄{～荷}钵拨勃博薄{厚～}缚剥驳帛	
pʰ[1]坡[2]婆菩泼簸{～箕},{～一～}	
m[1]魔摩模{～子}模{～范}摹摸[2]磨{～面}，{石～}末沫没{沉～}莫膜陌	
t[1]多剁[2]夺笃惰[3]朵躲	
tʰ[1]脱拖[2]托驼驮舵拓[3]椭妥	
n[2]糯挪诺那{～密}	
ɬ[1]嗦[2]傻索[3]锁琐所	
l[1]啰{～唆}[2]罗锣箩骡螺脶落烙骆酪洛络乐{快～}胳略[3]裸掠	
ʧ[2]作凿昨爵着酌绰桌卓琢啄涿坐座芍[3]左佐	
ʧʰ[1]搓[2]锉措错撮拙镯戳	
ʃ[2]朔	
k[1]歌哥锅戈[2]蛤割葛各郭角国个过[3]果裹	
kʰ[1]科[3]可颗[2]鸽喝{～酒，～}渴阁搁鹤藿廓扩确壳霍课	
ŋ[2]蛾鹅俄饿卧[3]我	
h[2]河何荷和禾合盒阔豁活或惑贺祸货获[3]火伙	
Ø[1]阿{～胶}窝蜗[2]恶{善～}	
#ɛ	
p[2]别鳖憋	
pʰ[2]撇	
m[1]□{拿}[2]灭籋篾□{专用于“鱼”、“蛇”“女人”等的量词}	
t[1]爹[2]跌叠碟蝶谍	
tʰ[2]帖贴铁	
n[2]聂镊业孽	
ɬ[1]些[2]邪斜薛泄雪削泻卸谢[3]写	
l[2]烈列裂劣猎	
ʧ[1]遮[2]节接捷折哲浙截绝借藉蔗[3]姐者	
ʧʰ[1]车畲[2]笡雀鹊翅彻撤设切妾[3]扯且	
ʃ[1]赊[2]社射麝赦舍{宿～}蛇摄涉说[3]舍{～弃}	
k[2]脚结洁杰却觉{～得}	
kʰ[2]茄揭瘸劫怯决诀缺	
h[1]靴[2]学血谐携胁协歇	
Ø[3]耳饵	
#əɯ	
p[2]北百魄白	
pʰ[2]帕伯泊柏迫拍泊	
m[1]□{擘开}[2]墨默麦脉	
t[2]得德	
tʰ[2]特	
n[3]女	
ɬ[2]色塞四{又读}	
l[2]簕{刺}肋勒	
ʧ[1]猪诛蛛朱硃珠[2]鲫侧泽择宅窄摘责则诸卒橘储著署聚铸驻注住蛀[3]煮主	
ʧʰ[2]厕测拆策册□{衣裳破了的破之意}柱处{相～，～长}趣徐除厨聚出[3]取娶	
ʃ[1]书舒输[2]薯竖树叙[3]暑鼠	
k[1]居[2]革隔车{～马炮}剧菊局句巨拒距俱句具惧格字[3]矩子	
kʰ[1]拘驹□{坑坑～～，形容路凹凸不平}区[2]刻克客渠屈掘倔曲磕去	
ŋ[2]额	
h[1]墟[2]核黑嚇[3]雨	
Ø[2]儿而鄂扼虐[3]尔[5B]二贰	
#ia	
k[1]家加痂嘉傢稼[2]夹狭峡甲胛匣挟嫁价[3]假{真～}贾	
kʰ[2]恰掐[2]架驾假{请～}	
h[1]虾[2]霞瑕遐瞎辖夏厦[5B]下	
Ø[1]伢丫[2]牙芽衙涯崖鸭押压[3]雅哑	
#io	
Ø[2]若弱约药钥岳乐{音～}	
#iɛ	
Ø[2]月粤越穴叶耶爷热拽阅夜页[3]惹也野	
#iəɯ	
Ø[2]如鱼渔余馀儒愚娱榆逾愉愈寓喻裕入翼域疟御誉豫预虞遇芋郁玉肉育辱狱欲浴沃[3]语禹羽	
#ua	
k[1]瓜[2]剐刮卦挂[3]寡	
kʰ[1]夸垮跨	
h[1]花划{～船}[2]华桦滑猾铧化画话	
Ø[1]洼挖[2]袜话{专用于“白～”}[3]瓦	
#ai	
p[2]拜败[3]摆	
pʰ[2]排牌派稗	
m[2]埋卖迈[3]买	
t[1]呆[2]待怠戴贷代袋带	
tʰ[1]胎苔[2]台抬态太泰	
n[2]耐奈捺[3]乃奶	
ɬ[1]鳃腮	
l[1]拉[2]来瘌赖癞	
ʧ[1]灾栽斋□{砸}[2]载{年～}在再载{～重}债寨[3]宰	
ʧʰ[1]猜差{出～}[2]才材财裁豺柴[3]彩采睬[5B]菜蔡	
ʃ[1]筛衰摔[2]赛帅率{～领}晒	
k[1]该皆阶佳街[2]盖丐介界芥疥届戒[3]改解{～开，了～}蟹	
kʰ[1]开[2]概溉慨[3]楷	
ŋ[1]埃哀[2]挨捱碍爱隘[3]蔼矮[5B]艾	
h[2]孩亥咳骇械鞋懈害[3]海	
#ei	
p[1]杯碑卑悲[2]贝倍辈背	
pʰ[2]培陪赔焙沛配佩	
m[2]梅枚媒煤[3]每美[5B]妹{姐～}	
f[1]非飞妃翡[2]肥废肺吠费[3]匪	
t[1]堆[2]对碓队兑	
tʰ[1]推[2]退褪蜕秃[3]腿	
n[2]内	
ɬ[1]虽绥[2]碎岁粹痱	
l[2]雷累{劳～}类泪[3]屡儡垒	
ʧ[1]剂追锥[2]罪最赘醉隧坠脐[3]挤嘴	
ʧʰ[1]催崔吹炊[2]脆随翠齐槌锤	
ʃ[2]税睡瑞遂垂髓谁[3]水	
k[1]稽[3]给	
#iei	
Ø[2]锐[3]□{乳}	
#uai	
k[1]乖[2]怪[3]柺拐	
kʰ[3]凯揩块[5B]快筷	
h[2]怀槐淮[5B]坏	
Ø[1]歪[5B]外	
#uei	
k[1]闺龟归[2]桂跪柜贵[3]傀诡轨鬼	
kʰ[1]盔规亏窥挥辉[2]魁奎逵葵溃癸愧[3]毁	
h[1]恢灰徽[2]回茴汇贿会{开～}刽绘惠慧穗慰[3]悔	
Ø[1]煨威[2]桅危为维惟唯微违围苇纬谓卫伪为位未味魏畏胃[3]委尾伟	
#au	
p[1]褒包胞雹[2]鲍豹抱报暴菢刨{～头}鉋[3]饱堡宝保	
pʰ[1]抛鳔泡{量词}[2]袍炮刨{～木}[3]跑[5B]泡{～水，气～}	
m[2]毛锚矛茅冒帽貌[3]卯	
t[1]刀[2]道稻到盗导[3]岛倒{打～}，{～水}	
tʰ[1]滔涛[2]掏陶萄套桃逃淘[3]讨	
n[3]脑恼[2]闹	
ɬ[1]骚臊梢[2]扫{～把}[3]嫂扫{打～}	
l[2]劳捞牢□{量词，相当于一段时间的“段”}[3]老[5B]涝	
ʧ[1]遭糟昭招沼召诏[2]灶罩赵兆照造[3]早枣蚤皂爪找	
ʧʰ[1]操抄钞[2]糙曹槽巢潮躁朝{今～，～代}[3]草炒吵澡	
ʃ[1]烧[2]潲韶绍少{～年}邵[3]少{多～}	
k[1]高膏篙羔糕[2]告[3]稿搞	
kʰ[1]敲[2]靠[3]考烤犒	
ŋ[2]肴淆熬傲奥[3]袄	
h[1]蒿酵[2]豪壕浩好{喜～}耗号{～数}窖毫[3]好{～坏}	
#ɐu	
pʰ[1]剖	
m[2]戊茂贸谬谋[3]某亩牡	
f[2]浮[3]否	
t[1]兜都{～是}蔸[3]斗{一～}抖陡[5B]斗{打～}豆逗窦	
tʰ[1]偷[2]头投透	
ɬ[1]飕馊[2]嗽[3]叟搜	
l[2]楼漏陋[3]搂蒌	
ʧ[1]邹周舟州洲[2]奏昼宙皱咒[3]走	
ʧʰ[1]抽[2]绸稠筹愁仇酬凑臭嗅[3]丑	
ʃ[1]收[2]受瘦兽寿授售[3]手守首	
k[1]沟勾{～当}[2]够构购臼[3]狗苟	
kʰ[1]抠[2]叩扣寇[3]口	
ŋ[1]钩勾{～引}□{～田，挖田}[3]藕偶[5B]怄	
h[2]侯後厚后候喉猴	
Ø[1]欧[2]沤[3]呕殴	
#iau	
p[1]膘彪[2]标[3]表	
pʰ[1]飘漂{～亮}[2]瓢嫖漂{～起}票	
m[1]猫藐[2]苗描渺庙妙[3]秒	
t[1]刁貂雕[2]钓吊掉[5B]调{音～，～走}	
tʰ[1]挑[2]调{～和}条跳	
n[2]尿[3]鸟	
ɬ[1]消宵霄销鞘萧箫[2]笑[3]小	
l[2]燎疗聊辽撩料[3]了[5B]廖	
ʧ[1]焦蕉椒[3]剿	
ʧʰ[1]超锹瞧悄	
ʃ[1]稍俏	
k[1]交郊胶饺狡骄娇浇矫纠[2]教{～育，～书}觉{睡～}轿叫[3]绞缴搅	
kʰ[2]乔侨桥[3]巧[5B]校{学～，～对}较窍	
h[1]嚣[2]孝效[3]绕侥晓	
Ø[1]妖邀腰要{～求}幺{～二}吆[2]挠饶摇谣窑姚鹞尧要耀[3]咬扰	
#iɐu	
t[1]丢	
n[2]牛[3]纽扭	
ɬ[1]修羞[2]秀绣锈袖	
l[1]溜[2]流留刘榴硫琉馏[3]柳	
ʧ[2]就[3]酒	
ʧʰ[1]揪秋	
k[1]鸠[2]灸舅救究旧柩[3]九久韭	
kʰ[1]丘[2]囚求球	
h[1]休	
Ø[1]忧优犹悠幽□{拿}[2]柔揉尤邮由油游诱又右佑柚釉幼[3]朽有友酉莠	
#am	
p[2]湴{烂～}	
n[1]喃{～经}	
l[2]揽{～牛，拴牛}	
ɬ[1]三	
ŋ[1]啱{钟意，动词；刚，副词}[2]雁	
#ɛm	
kʰ[2]钳	
#ən	
p[1]宾彬槟殡鬓奔[2]笨[3]本	
pʰ[2]贫频盘喷{～水，～嚏}盆姘拚聘凭[3]品	
m[2]门民[3]闽敏[5B]闷	
f[1]分芬纷[2]坟愤忿粪奋份[3]粉	
t[1]蹲墩[2]盾顿	
tʰ[1]吞饨听[2]囤屯沌豚钝[5B]□{褪}听{又读}	
n[2]嫩[3]恁	
ɬ[1]孙心新薪辛[2]旬循巡殉信讯迅[3]损笋	
l[1]□{掉，落}[2]仑伦沦轮林淋临邻鳞磷赁论{～语，～议}逊	
ʧ[1]臻真尊遵樽针斟津珍贞侦[2]浸尽赠进晋镇阵振震俊[3]枕准	
ʧʰ[1]亲侵村春椿称{～}呼，{～相}肫[2]潜寻沉秦陈尘臣存诊疹趁寸衬挦寝[3]蠢	
ʃ[1]身申伸森参{人～}深[2]神娠辰晨唇绳葚甚肾慎醇顺纯舜[3]沈审婶什	
k[1]跟根筋今金巾斤均钧君军襟[2]禁近[3]紧仅谨锦	
kʰ[1]钦欣菌[2]琴禽擒勤芹裙群岑[3]肯	
ŋ[2]银	
h[2]痕训恨恳衅[3]很垦	
#un	
p[1]般搬{又读}[2]扮伴拌半绊	
pʰ[1]潘藩[2]判叛	
m[2]瞒[3]满	
t[1]端[2]断锻段缎[3]短	
t[2]团	
n[3]暖	
ɬ[1]酸[5B]蒜算	
l[2]鸾[3]卵[5B]乱	
k[1]官棺观[2]灌罐贯惯[3]馆管	
kʰ[1]宽[3]款	
#uɔn	
Ø[3]豌碗	
#an	
p[1]班斑颁搬[3]扳板版[5B]办辦辨	
pʰ[1]攀[2]盼	
m[2]蛮顽慢馒幔漫蔓	
f[1]翻番[2]凡帆烦繁范犯泛贩饭[3]反	
t[1]耽担{～任}丹单[2]淡担{挑～}诞旦但弹蛋[3]胆	
tʰ[1]贪滩摊[2]潭谭谈痰檀坛弹{～琴}掸探炭叹[3]毯坦	
n[2]南男难{～易、遇～}	
ɬ[3]伞[5B]散{解～}	
l[1]□{爬}栏[2]滥缆烂蓝篮兰拦[3]览揽懒榄	
ʧ[2]暂站赚赞绽栈[3]斩盏	
ʧʰ[1]参{～军，～差}餐[2]蚕惭谗馋残缠蝉杉渗灿疝颤[3]惨铲产	
ʃ[1]山衫珊删闩	
k[1]干{～湿}甘泔尴肝竿[2]干{～}活幹[3]感敢橄杆赶	
kʰ[1]刊堪勘看{～牛}[2]看{～见，～守}[3]坎砍	
ŋ[1]庵安鞍啱[2]岩颜岸按案	
h[1]憨鼾龛[2]含函撼憾咸衔寒韩罕陷馅汉汗焊翰限旱[3]喊	
#ɛn	
p[1]边鞭偏[2]瓣便{方～}辩变辫[3]贬扁匾	
pʰ[1]篇偏{又读}蝙编[5B]骗遍片□{散开}	
m[2]绵棉缅眠面[3]免勉娩	
t[1]掂颠[2]电店殿奠佃垫[3]点典腆	
tʰ[1]添天[2]田填甜[3]舔	
n[1]研捏[2]黏年验念粘[3]拈撵	
ɬ[1]仙鲜先宣喧[2]线羡旋[3]选藓	
l[2]廉连联怜莲恋镰帘练炼楝[3]敛脸殓[5B]□{递}	
ʧ[1]煎尖瞻鲇专砖[2]占渐箭贱饯战荐纂钻{动词，木钻}篡[3]碾剪展[5B]转{～送、～眼}	
ʧʰ[1]歼签迁千笺川穿[2]钱虔前全泉传{～说，～记}船践遣窜串撰[3]喘浅	
ʃ[2]善扇{～子},{～风}膳弦[3]掀陕闪	
k[1]监兼艰间{房～、～断}奸涧肩坚绢[2]剑谏件犍键建健腱见眷倦券俭[3]减检简柬拣茧卷	
kʰ[1]谦牵圈捐[2]乾拳权欠歉劝[3]犬	
h[2]嫌闲贤眩玄苋宪砚现县悬[3]险显	
#iən	
Ø[1]音阴荫因殷[2]人仁匀闰润浑壬[3]饮忍引隐允瘾[2]吟认印韵运淫云孕纫任{～何，姓}刃	
#iɛn	
Ø[1]阉醃腌焉烟咽冤渊姻淹[2]蟾炎盐阎檐焰严然烯延言完圆员缘沿铅元原源袁辕园援院厌艳筵谚献堰燕宴愿怨丸{又读}[3]冉掩眼演软阮远寅染	
#uən	
k[2]棍[3]滚	
kʰ[1]昆坤[2]困混[3]捆	
h[1]昏婚晕[2]魂馄横	
Ø[1]瘟温[2]焚文纹蚊闻问[3]稳吻揾	
#uan	
k[1]冠{皇～}关[2]冠{～军}	
h[1]欢[2]桓丸还{～原，～有}环[3]缓[5B]唤焕换患	
Ø[1]弯湾[3]皖腕晚挽[5B]玩幻万	
#əŋ	
p[1]崩	
pʰ[2]朋棚	
m[1]□{～人，掐人}[2]萌盟	
t[1]灯登[2]凳邓瞪镫[3]等	
tʰ[2]腾誊藤疼	
n[2]能	
ɬ[1]生牲笙甥[3]省	
l[3]冷	
ʧ[1]曾{姓}增憎僧争筝[5B]睁䉕罾	
ʧʰ[2]曾{～经}层蹭	
k[1]更{～换}庚羹耕[2]更{～加}[3]耿	
kʰ[1]坑	
ŋ[1]恩[2]硬	
h[1]亨勋[2]恒衡横{又读}	
#aŋ	
p[1]帮邦浜[2]棒蚌[3]榜谤绑膀	
pʰ[2]彭膨滂旁螃傍庞胖	
m[2]盲忙芒茫亡[3]猛莽蟒	
f[1]方芳[2]房防放[3]肪妨仿纺访彷	
t[1]当{应～、～作}[2]当{典～}荡[3]党挡	
tʰ[1]汤劏[2]堂棠螳唐糖塘烫[3]倘躺趟	
n[2]囊瓤	
ɬ[1]桑丧[2]丧{～失，婚～，又读}[3]嗓	
l[2]郎廊狼螂浪□{赶墟的“赶”之意，只在做“□墟”的时候用}[3]朗	
ʧ[1]赃张庄装章樟桩妆[2]葬藏{西～}脏{内～}涨丈仗杖账帐状障撞胀[3]长{生～}掌[5B]壮	
ʧʰ[1]苍仓疮昌菖窗撑[2]藏{隐～}畅创唱倡长肠场床尝[3]闯厂	
ʃ[1]商伤双[2]偿常裳上尚[3]爽赏	
k[1]冈岗刚纲缸江[2]钢杠[3]港	
kʰ[1]康糠慷[2]扛抗炕	
ŋ[2]昂	
h[2]项巷行{银～}航杭	
#oŋ	
pʰ[2]篷蓬[3]捧	
m[2]孟梦蒙懵	
f[1]风枫疯丰封峰蜂锋[2]冯逢缝{～衣服}凤奉俸缝{石～}[3]讽	
t[1]东冬[2]动冻栋洞垌[3]董懂	
tʰ[1]通囱[2]同铜桐筒童瞳痛[3]桶捅统	
n[2]农脓浓弄	
ɬ[1]松嵩[2]送宋	
l[2]笼聋隆龙[3]拢陇垅	
ʧ[1]鬃宗中{～国}忠终踪钟盅[2]粽中{射～}仲众重{～量}诵颂讼种{～树}[3]总种这{～}肿	
ʧʰ[1]聪葱充冲舂[2]虫丛崇纵从重{～来}[3]宠	
k[1]公蚣工功攻弓躬宫恭[2]汞贡拱共供	
kʰ[1]空{～缺，～气}[2]穷控[3]孔巩恐	
h[1]轰烹兄胸凶[2]虹弘宏红洪鸿雄[3]哄{～骗，起～}[5B]烘	
Ø[1]翁[5B]瓮	
#eŋ	
p[1]冰兵[2]柄并病迸[3]丙秉饼	
pʰ[2]平坪评瓶屏萍	
m[2]鸣明名铭命	
t[1]丁钉盯[2]订定[3]顶鼎	
tʰ[1]厅听{又读}[2]亭停廷庭蜓[3]艇挺	
n[2]宁柠	
ɬ[1]星腥[3]醒[5B]性姓	
l[1]拎[2]陵凌菱灵零铃伶翎令另[3]领岭	
ʧ[1]征蒸精晶睛正{～正}[2]证症正{真～}净郑政靖静劲[3]拯井整	
ʧʰ[1]蜻清青轻荆[2]橙澄惩乘承丞擎情晴呈程成城诚逞秤[3]请	
ʃ[1]升声馨[2]剩胜{～任}盛{～开}圣胜{～利}	
k[1]经京惊[2]竟镜竞茎径敬[3]境景警颈	
kʰ[2]杏鲸琼经{又读}[3]倾顷	
h[1]兴{～旺}卿[2]庆行{～路}幸赢形型刑兴{高～}	
#iaŋ	
n[2]娘	
ɬ[1]相{～信}箱厢襄镶霜孀[2]象橡相{～片}[3]想[5B]像	
l[2]凉良量{～长度}粮梁粱亮谅辆量{数～}[3]两	
ʧ[1]将{～来}浆[2]酱将{大～}匠[3]蒋奖桨	
ʧʰ[1]枪[2]墙详祥[3]抢	
k[1]姜羌[2]降{～落}[3]讲	
kʰ[1]疆僵腔[2]强{～大}[3]强{勉～}	
h[1]香乡[2]降{投～}向{～着，方～}[3]享响	
Ø[1]央殃秧[2]羊洋杨阳扬疡□{才}[3]烊仰养痒壤攘嚷[5B]让样	
#ioŋ	
Ø[1]雍[2]荣戎绒熊融茸容蓉熔庸[3]永泳咏拥甬勇涌[5B]用	
#ieŋ	
Ø[1]英应{～该}鹰蝇莺鹦樱婴缨[2]仍扔迎盈萤营应{回～}[3]影映颖	
#uaŋ	
k[1]光[2]况[3]广	
kʰ[1]匡筐眶[2]矿狂逛旷	
h[1]慌荒[2]黄簧皇蝗王旺[3]谎晃	
Ø[1]汪[2]望忘[3]网枉往妄	
#əp	
ɬ[7A]涩	
#ət	
p[7B]□{肥～～}	
m[5B]□{发～，发霉}	
ɬ[7A]戍噻[7B]□{傻～～}	
ʃ[7A]湿{又读}十食{又读}	
#iɐt	
Ø[7B]轭	
Ø[7C]□{指挥牛向左走时发出的指令}	
#uat	
k[7A]括	
#ɐk	
p[7C]□{三～豆，一个豆夹的几颗豆子成一～，还如一～柚子，一～橙子}	
ɬ[7B]噻{又读}	
ʧʰ[7A]贼	
