小韻號	小韻細分	首字	反切	聲母	呼	等	重紐	韻（平賅上去入）	韻（平賅上去）	聲調	攝	廣韻韻目	平水韻目	切韻拼音	古韻羅馬字	有女羅馬字	白一平轉寫	unt切韻擬音L	unt切韻擬音J	msoeg中古擬音V8	潘悟雲擬音
32		烘	呼東	曉		一		東	東	平	通	上平聲1東	上平聲1東	houng	hung	xung	xuwng	χuɴ	χuɴ	χᵒuɴ	huŋ˧
33		㟅	五東	疑		一		東	東	平	通	上平聲1東	上平聲1東	ngoung	ngung	ngung	nguwng	ɴuɴ	ɴuɴ	ɴᵒuɴ	ŋuŋ˧
34		檧	蘇公	心		一		東	東	平	通	上平聲1東	上平聲1東	soung	sung	sung	suwng	suɴ	suɴ	sᵒuɴ	suŋ˧
35		冬	都宗	端		一		冬	冬	平	通	上平聲2冬	上平聲2冬	tong	tuung	tvng	towng	toɴ	toɴ	tɔɴ	tu̯oŋ˧
36		彤	徒冬	定		一		冬	冬	平	通	上平聲2冬	上平聲2冬	dong	duung	dvng	downg	doɴ	doɴ	dɔɴ	du̯oŋ˧
37		賨	藏宗	從		一		冬	冬	平	通	上平聲2冬	上平聲2冬	dzong	zuung	dzvng	dzowng	dzoɴ	dzoɴ	dzɔɴ	dzu̯oŋ˧
38		農	奴冬	泥		一		冬	冬	平	通	上平聲2冬	上平聲2冬	nong	nuung	nvng	nowng	noɴ	noɴ	nɔɴ	nu̯oŋ˧
39		攻	古冬	見		一		冬	冬	平	通	上平聲2冬	上平聲2冬	kong	kuung	kvng	kowng	qoɴ	qoɴ	qɔɴ	ku̯oŋ˧
40		䃔	戶冬	匣		一		冬	冬	平	通	上平聲2冬	上平聲2冬	ghong	ghuung	hvng	howng	ʁoɴ	ʁoɴ	ʁɔɴ	ɦu̯oŋ˧
41		䃧	力冬	來		一		冬	冬	平	通	上平聲2冬	上平聲2冬	long	luung	lvng	lowng	ɫoɴ	ɫoɴ	lɔɴ	lu̯oŋ˧
42		宗	作冬	精		一		冬	冬	平	通	上平聲2冬	上平聲2冬	tsong	cuung	zvng	tsowng	tsoɴ	tsoɴ	tsɔɴ	tsu̯oŋ˧
43		鬆	私宗	心		一		冬	冬	平	通	上平聲2冬	上平聲2冬	song	suung	svng	sowng	soɴ	soɴ	sɔɴ	su̯oŋ˧
44		炵	他冬	透		一		冬	冬	平	通	上平聲2冬	上平聲2冬	thong	thuung	thvng	thowng	tʰoɴ	tʰoɴ	tʰɔɴ	tʰu̯oŋ˧
45		鍾	職容	章		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	tjuong	cjyung	tjvng	tsyowng	tɕoɴ	tɕoɴ	tçuoɴ	tɕɨu̯o̝ŋ˧
46		龍	力鍾	來		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	luong	lyung	livng	ljowng	loɴ	loɴ	ɭuoɴ	lɨu̯o̝ŋ˧
47		舂	書容	書		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	sjuong	sjyung	sjvng	syowng	ɕoɴ	ɕoɴ	çuoɴ	ɕɨu̯o̝ŋ˧
48		松	祥容	邪		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	zuong	zsyung	szivng	zjowng	zjoɴ	zjoɴ	zuoɴ	zɨu̯o̝ŋ˧
49		𧘂	尺容	昌		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	tjhuong	chjyung	tcvng	tsyhowng	tɕʰoɴ	tɕʰoɴ	tçʰuoɴ	tɕʰɨu̯o̝ŋ˧
50		容	餘封	以		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	juong	jyung	jvng	yowng	joɴ	joɴ	ɥuoɴ	jɨu̯o̝ŋ˧
51		封	府容	幫		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	puong	pyung	pivng	pjowng	poɴ	pʋoɴ	puoɴ	pɨu̯o̝ŋ˧
52		胷	許容	曉		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	huong	hyung	xivng	xjowng	xoɴ	xj̈oɴ	xuoɴ	hɨu̯o̝ŋ˧
53		顒	魚容	疑		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	nguong	ngyung	ngivng	ngjowng	ŋoɴ	ŋj̈oɴ	ŋuoɴ	ŋɨu̯o̝ŋ˧
54		邕	於容	影		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	quong	qyung	ivng	'jowng	ʔoɴ	ʔj̈oɴ	ʔuoɴ	ʔɨu̯o̝ŋ˧
55		醲	女容	孃		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	nruong	nryung	nivng	nrjowng	ɳoɴ	ɳoɴ	ɳuoɴ	ɳɨu̯o̝ŋ˧
56		重	直容	澄		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	druong	dryung	divng	drjowng	ɖoɴ	ɖoɴ	ɖuoɴ	ɖɨu̯o̝ŋ˧
57		從	疾容	從		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	dzuong	zyung	dzivng	dzjowng	dzjoɴ	dzjoɴ	dzuoɴ	dzɨu̯o̝ŋ˧
58		蹱	丑凶	徹		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	trhuong	thryung	thivng	trhjowng	ʈʰoɴ	ʈʰoɴ	ʈʰuoɴ	ʈʰɨu̯o̝ŋ˧
59		逢	符容	並		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	buong	byung	bivng	bjowng	boɴ	bʋoɴ	buoɴ	bɨu̯o̝ŋ˧
60		峯	敷容	滂		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	phuong	phyung	phivng	phjowng	pʰoɴ	pʰʋoɴ	pʰuoɴ	pʰɨu̯o̝ŋ˧
61		縱	即容	精		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	tsuong	cyung	zivng	tsjowng	tsjoɴ	tsjoɴ	tsuoɴ	tsɨu̯o̝ŋ˧
62		茸	而容	日		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	njuong	njyung	rvng	nyowng	ɲoɴ	ɲoɴ	ɲuoɴ	ȵɨu̯o̝ŋ˧
63		蛩	渠容	羣		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	guong	gyung	givng	gjowng	ɡoɴ	ɡj̈oɴ	ɡuoɴ	ɡɨu̯o̝ŋ˧
64		鱅	蜀庸	常		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	djuong	zjyung	zjvng	dzyowng	dʑoɴ	dʑoɴ	dʝuoɴ	dʑɨu̯o̝ŋ˧
65		恭	九容	見		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	kuong	kyung	kivng	kjowng	koɴ	kj̈oɴ	kuoɴ	kɨu̯o̝ŋ˧
66		蜙	息恭	心		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	suong	syung	sivng	sjowng	sjoɴ	sjoɴ	suoɴ	sɨu̯o̝ŋ˧
67		樅	七恭	清		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	tshuong	chyung	civng	tshjowng	tsʰjoɴ	tsʰjoɴ	tsʰuoɴ	tsʰɨu̯o̝ŋ˧
68		銎	曲恭	溪		三		鍾	鍾	平	通	上平聲3鍾	上平聲2冬	khuong	khyung	qivng	khjowng	kʰoɴ	kʰj̈oɴ	kʰuoɴ	kʰɨu̯o̝ŋ˧
69		江	古雙	見		二		江	江	平	江	上平聲4江	上平聲3江	koeung	krung	keong	kaewng	qoˤɴ	qoˤɴ	qɞ˞ ɴ	kɣɔŋ˧
70		厖	莫江	明		二		江	江	平	江	上平聲4江	上平聲3江	moeung	mrung	meong	maewng	ᵯoˤɴ	moˤɴ	mɞ˞ ɴ	mɣɔŋ˧
71		𦗳	女江	孃		二		江	江	平	江	上平聲4江	上平聲3江	nroeung	nrung	neong	nraewng	ɳoˤɴ	ɳoˤɴ	ɳɞ˞ ɴ	ɳɣɔŋ˧
72		囪	楚江	初		二		江	江	平	江	上平聲4江	上平聲3江	tsrhoeung	chrung	cheong	tsrhaewng	tʂʰoˤɴ	tʂʰoˤɴ	tʂʰɞ˞ ɴ	tʂʰɣɔŋ˧
73		邦	博江	幫		二		江	江	平	江	上平聲4江	上平聲3江	poeung	prung	peong	paewng	ᵱoˤɴ	poˤɴ	pɞ˞ ɴ	pɣɔŋ˧
74		栙	下江	匣		二		江	江	平	江	上平聲4江	上平聲3江	ghoeung	ghrung	heong	haewng	ʁoˤɴ	ʁoˤɴ	ʁɞ˞ ɴ	ɦɣɔŋ˧
75		胮	匹江	滂		二		江	江	平	江	上平聲4江	上平聲3江	phoeung	phrung	pheong	phaewng	ᵱʰoˤɴ	pʰoˤɴ	pʰɞ˞ ɴ	pʰɣɔŋ˧
76		瀧	呂江	來		二		江	江	平	江	上平聲4江	上平聲3江	loeung	lrung	leong	laewng	ɫoˤɴ	ɫoˤɴ	ɭɞ˞ ɴ	lɣɔŋ˧
77		雙	所江	生		二		江	江	平	江	上平聲4江	上平聲3江	sroeung	srung	sheong	sraewng	ʂoˤɴ	ʂoˤɴ	ʂɞ˞ ɴ	ʂɣɔŋ˧
78		龐	薄江	並		二		江	江	平	江	上平聲4江	上平聲3江	boeung	brung	beong	baewng	ᵬoˤɴ	boˤɴ	bɞ˞ ɴ	bɣɔŋ˧
79		肛	許江	曉		二		江	江	平	江	上平聲4江	上平聲3江	hoeung	hrung	xeong	xaewng	χoˤɴ	χoˤɴ	χɞ˞ ɴ	hɣɔŋ˧
80		胦	握江	影		二		江	江	平	江	上平聲4江	上平聲3江	qoeung	qrung	eong	'aewng	ʡoˤɴ	ʡoˤɴ	ʔɞ˞ ɴ	ʔɣɔŋ˧
81		腔	苦江	溪		二		江	江	平	江	上平聲4江	上平聲3江	khoeung	khrung	qeong	khaewng	qʰoˤɴ	qʰoˤɴ	qʰɞ˞ ɴ	kʰɣɔŋ˧
82		幢	宅江	澄		二		江	江	平	江	上平聲4江	上平聲3江	droeung	drung	deong	draewng	ɖoˤɴ	ɖoˤɴ	ɖɞ˞ ɴ	ɖɣɔŋ˧
83		憃	丑江	徹		二		江	江	平	江	上平聲4江	上平聲3江	trhoeung	thrung	theong	trhaewng	ʈʰoˤɴ	ʈʰoˤɴ	ʈʰɞ˞ ɴ	ʈʰɣɔŋ˧
84		樁	都江	知		二		江	江	平	江	上平聲4江	上平聲3江	troeung	trung	teong	traewng	ʈoˤɴ	ʈoˤɴ	ʈɞ˞ ɴ	ʈɣɔŋ˧
85		㟅	五江	疑		二		江	江	平	江	上平聲4江	上平聲3江	ngoeung	ngrung	ngeong	ngaewng	ɴoˤɴ	ɴoˤɴ	ɴɞ˞ ɴ	ŋɣɔŋ˧
86		淙	士江	崇		二		江	江	平	江	上平聲4江	上平聲3江	dzroeung	zrung	dreong	dzraewng	dʐoˤɴ	dʐoˤɴ	dʐɞ˞ ɴ	dʐɣɔŋ˧
87		支	章移	章	開	三		支	支	平	止	上平聲5支	上平聲4支	tjie	cje	tje	tsye	tɕie	tɕie	tçie	tɕiᴇ˧
88		移	弋支	以	開	三		支	支	平	止	上平聲5支	上平聲4支	jie	je	je	ye	jie	jie	jie	jiᴇ˧
89		爲	薳支	云	合	三	B	支	支	平	止	上平聲5支	上平聲4支	ue	ye	hwe	hjwe	wɹie	wɹie	wue	ɦʷiᴇ˧
90		嬀	居爲	見	合	三	B	支	支	平	止	上平聲5支	上平聲4支	kue	kye	kwe	kjwe	kɹwie	kɹwie	kue	kʷɣiᴇ˧
91		𪎮	許爲	曉	合	三	B	支	支	平	止	上平聲5支	上平聲4支	hue	hye	xwe	xjwe	xɹwie	xɹwie	xue	hʷɣiᴇ˧
92		逶	於爲	影	合	三	B	支	支	平	止	上平聲5支	上平聲4支	que	qye	we	'jwe	ʔɹwie	ʔɹwie	ʔue	ʔʷɣiᴇ˧
93		糜	靡爲	明		三	B	支	支	平	止	上平聲5支	上平聲4支	mye	mie	mye	mje	mɹie	mɹie	mɯe	mɣiᴇ˧
94		隓	許規	曉	合	三	A	支	支	平	止	上平聲5支	上平聲4支	hwie	hjye	xve	xjwie	xwie	xwie	xʷie	hʷiᴇ˧
95		鬌	直垂	澄	合	三		支	支	平	止	上平聲5支	上平聲4支	drwie	drye	dwe	drjwe	ɖwie	ɖwie	ɖʷie	ɖʷiᴇ˧
96		𡍮	是爲	常	合	三		支	支	平	止	上平聲5支	上平聲4支	djwie	zjye	zjve	dzywe	dʑwie	dʑwie	dʝʷie	dʑʷiᴇ˧
97		羸	力爲	來	合	三		支	支	平	止	上平聲5支	上平聲4支	lwie	lye	lve	ljwe	lwie	lwie	ɭʷie	lʷiᴇ˧
98		吹	昌垂	昌	合	三		支	支	平	止	上平聲5支	上平聲4支	tjhwie	chjye	tcve	tsyhwe	tɕʰwie	tɕʰwie	tçʰʷie	tɕʰʷiᴇ˧
99		鈹	敷羈	滂		三	B	支	支	平	止	上平聲5支	上平聲4支	phye	phie	phye	phje	pʰɹie	pʰɹie	pʰɯe	pʰɣiᴇ˧
100		陂	彼爲	幫		三	B	支	支	平	止	上平聲5支	上平聲4支	pye	pie	pye	pje	pɹie	pɹie	pɯe	pɣiᴇ˧
101		隨	旬爲	邪	合	三		支	支	平	止	上平聲5支	上平聲4支	zwie	zsye	szve	zjwe	zwie	zwie	zʷie	zʷiᴇ˧
102		虧	去爲	溪	合	三	B	支	支	平	止	上平聲5支	上平聲4支	khue	khye	qwe	khjwe	kʰɹwie	kʰɹwie	kʰue	kʰʷɣiᴇ˧
103		闚	去隨	溪	合	三	A	支	支	平	止	上平聲5支	上平聲4支	khwie	khjye	qve	khjwie	kʰwie	kʰwie	kʰʷie	kʰʷiᴇ˧
104		竒	渠羈	羣	開	三	B	支	支	平	止	上平聲5支	上平聲4支	gye	gie	gye	gje	ɡɹie	ɡɹie	ɡɯe	ɡɣiᴇ˧
105		祇	巨支	羣	開	三	A	支	支	平	止	上平聲5支	上平聲4支	gie	gje	gie	gjie	ɡie	ɡie	ɡie	ɡiᴇ˧
106		犧	許羈	曉	開	三	B	支	支	平	止	上平聲5支	上平聲4支	hye	hie	xye	xje	xɹie	xɹie	xɯe	hɣiᴇ˧
107		㩻	去奇	溪	開	三	B	支	支	平	止	上平聲5支	上平聲4支	khye	khie	qye	khje	kʰɹie	kʰɹie	kʰɯe	kʰɣiᴇ˧
108		宜	魚羈	疑	開	三	B	支	支	平	止	上平聲5支	上平聲4支	ngye	ngie	ngye	ngje	ŋɹie	ŋɹie	ŋɯe	ŋɣiᴇ˧
109		皮	符羈	並		三	B	支	支	平	止	上平聲5支	上平聲4支	bye	bie	bye	bje	bɹie	bɹie	bɯe	bɣiᴇ˧
110		提	是支	常	開	三		支	支	平	止	上平聲5支	上平聲4支	djie	zje	zje	dzye	dʑie	dʑie	dʝie	dʑiᴇ˧
111		兒	汝移	日	開	三		支	支	平	止	上平聲5支	上平聲4支	njie	nje	re	nye	ɲie	ɲie	ɲie	ȵiᴇ˧
112		離	呂支	來	開	三		支	支	平	止	上平聲5支	上平聲4支	lie	lie	lie	lje	lie	lie	ɭie	liᴇ˧
113		疵	疾移	從	開	三		支	支	平	止	上平聲5支	上平聲4支	dzie	zie	dzie	dzje	dzie	dzie	dzie	dziᴇ˧
114		貲	即移	精	開	三		支	支	平	止	上平聲5支	上平聲4支	tsie	cie	zie	tsje	tsie	tsie	tsie	tsiᴇ˧
115		羈	居宜	見	開	三	B	支	支	平	止	上平聲5支	上平聲4支	kye	kie	kye	kje	kɹie	kɹie	kɯe	kɣiᴇ˧
116		卑	府移	幫		三	A	支	支	平	止	上平聲5支	上平聲4支	pie	pje	pie	pjie	pie	pie	pie	piᴇ˧
117		陴	符支	並		三	A	支	支	平	止	上平聲5支	上平聲4支	bie	bje	bie	bjie	bie	bie	bie	biᴇ˧
118		䌳	式支	書	開	三		支	支	平	止	上平聲5支	上平聲4支	sjie	sje	sje	sye	ɕie	ɕie	çie	ɕiᴇ˧
119		斯	息移	心	開	三		支	支	平	止	上平聲5支	上平聲4支	sie	sie	sie	sje	sie	sie	sie	siᴇ˧
120		差	楚宜	初	開	三		支	支	平	止	上平聲5支	上平聲4支	tsrhye	chrie	chye	tsrhje	tʂʰie	tʂʰie	tʂʰɻe	tʂʰiᴇ˧
121		摛	丑知	徹	開	三		支	支	平	止	上平聲5支	上平聲4支	trhie	thrie	thye	trhje	ʈʰie	ʈʰie	ʈʰie	ʈʰiᴇ˧
122		彌	武移	明		三	A	支	支	平	止	上平聲5支	上平聲4支	mie	mje	mie	mjie	mie	mie	mie	miᴇ˧
123		雌	此移	清	開	三		支	支	平	止	上平聲5支	上平聲4支	tshie	chie	cie	tshje	tsʰie	tsʰie	tsʰie	tsʰiᴇ˧
124		知	陟離	知	開	三		支	支	平	止	上平聲5支	上平聲4支	trie	trie	tye	trje	ʈie	ʈie	ʈie	ʈiᴇ˧
125		漪	於離	影	開	三	B	支	支	平	止	上平聲5支	上平聲4支	qye	qie	ye	'je	ʔɹie	ʔɹie	ʔɯe	ʔɣiᴇ˧
126		馳	直離	澄	開	三		支	支	平	止	上平聲5支	上平聲4支	drie	drie	dye	drje	ɖie	ɖie	ɖie	ɖiᴇ˧
127		眭	息爲	心	合	三		支	支	平	止	上平聲5支	上平聲4支	swie	sye	sve	sjwe	swie	swie	sʷie	sʷiᴇ˧
128		危	魚爲	疑	合	三	B	支	支	平	止	上平聲5支	上平聲4支	ngue	ngye	ngwe	ngjwe	ŋɹwie	ŋɹwie	ŋue	ŋʷɣiᴇ˧
129		詑	香支	曉	開	三	A	支	支	平	止	上平聲5支	上平聲4支	hie	hje	xie	xjie	xie	xie	xie	hiᴇ˧
130		釃	所宜	生	開	三		支	支	平	止	上平聲5支	上平聲4支	srye	srie	shye	srje	ʂie	ʂie	ʂɻe	ʂiᴇ˧
131		䪎	山垂	生	合	三		支	支	平	止	上平聲5支	上平聲4支	srue	srye	shwe	srjwe	ʂwie	ʂwie	ʂɻʷe	ʂʷiᴇ˧
132		痿	人垂	日	合	三		支	支	平	止	上平聲5支	上平聲4支	njwie	njye	rve	nywe	ɲwie	ɲwie	ɲʷie	ȵʷiᴇ˧
133		厜	姊規	精	合	三		支	支	平	止	上平聲5支	上平聲4支	tswie	cye	zve	tsjwe	tswie	tswie	tsʷie	tsʷiᴇ˧
134		𩓸	居隋	見	合	三	A	支	支	平	止	上平聲5支	上平聲4支	kwie	kjye	kve	kjwie	kwie	kwie	kʷie	kʷiᴇ˧
135		劑	遵爲	精	合	三		支	支	平	止	上平聲5支	上平聲4支	tswie	cye	zve	tsjwe	tswie	tswie	tsʷie	tsʷiᴇ˧
136		衰	楚危	初	合	三		支	支	平	止	上平聲5支	上平聲4支	tsrhue	chrye	chwe	tsrhjwe	tʂʰwie	tʂʰwie	tʂʰɻʷe	tʂʰʷiᴇ˧
137		腄	竹垂	知	合	三		支	支	平	止	上平聲5支	上平聲4支	trwie	trye	twe	trjwe	ʈwie	ʈwie	ʈʷie	ʈʷiᴇ˧
138		䮔	子垂	章	合	三		支	支	平	止	上平聲5支	上平聲4支	tjwie	cjye	tjve	tsywe	tɕwie	tɕwie	tçʷie	tɕʷiᴇ˧
139		眵	叱支	昌	開	三		支	支	平	止	上平聲5支	上平聲4支	tjhie	chje	tce	tsyhe	tɕʰie	tɕʰie	tçʰie	tɕʰiᴇ˧
140		齜	側宜	莊	開	三		支	支	平	止	上平聲5支	上平聲4支	tsrye	crie	trye	tsrje	tʂie	tʂie	tʂɻe	tʂiᴇ˧
141		𤿎	匹支	滂		三	A	支	支	平	止	上平聲5支	上平聲4支	phie	phje	phie	phjie	pʰie	pʰie	pʰie	pʰiᴇ˧
142		䔺	悅吹	以	合	三		支	支	平	止	上平聲5支	上平聲4支	jwie	jye	jve	ywe	jwie	jwie	ɥie	jʷiᴇ˧
143		齹	士宜	崇	開	三		支	支	平	止	上平聲5支	上平聲4支	dzrye	zrie	drye	dzrje	dʐie	dʐie	dʐɻe	dʐiᴇ˧
144		脂	旨夷	章	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	tji	cjii	tji	tsyij	tɕi	tɕi	tçi	tɕi˧
145		姨	以脂	以	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	ji	jii	ji	yij	ji	ji	ji	ji˧
146		師	疏夷	生	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	sryi	srii	shy	srij	ʂi	ʂi	ʂɻi	ʂi˧
147		𣬈	房脂	並		三	A	脂	脂	平	止	上平聲6脂	上平聲4支	bi	bjii	bi	bjij	bi	bi	bi	bi˧
148		咨	即夷	精	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	tsi	cii	zi	tsij	tsi	tsi	tsi	tsi˧
149		飢	居夷	見	開	三	B	脂	脂	平	止	上平聲6脂	上平聲4支	kyi	kii	ky	kij	kɹi	kɹi	ki˞ i	kɣi˧
150		鴟	處脂	昌	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	tjhi	chjii	tci	tsyhij	tɕʰi	tɕʰi	tçʰi	tɕʰi˧
151		絺	丑飢	徹	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	trhi	thrii	thy	trhij	ʈʰi	ʈʰi	ʈʰi	ʈʰi˧
152		郪	取私	清	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	tshi	chii	ci	tshij	tsʰi	tsʰi	tsʰi	tsʰi˧
153		茨	疾資	從	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	dzi	zii	dzi	dzij	dzi	dzi	dzi	dzi˧
154		尼	女夷	孃	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	nri	nrii	ny	nrij	ɳi	ɳi	ɳi	ɳi˧
155		墀	直尼	澄	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	dri	drii	dy	drij	ɖi	ɖi	ɖi	ɖi˧
156		私	息夷	心	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	si	sii	si	sij	si	si	si	si˧
157		尸	式脂	書	開	三		脂	脂	平	止	上平聲6脂	上平聲4支	sji	sjii	sji	syij	ɕi	ɕi	çi	ɕi˧
158		鬐	渠脂	羣	開	三	A	脂	脂	平	止	上平聲6脂	上平聲4支	gi	gjii	gi	gjij	ɡi	ɡi	ɡi	ɡi˧
