Ǿiɤu	6	11	藥
tɕiɤu	4	22	角
ɕiɤu	5	33	休
dʑiɤu	2a	13	舅
tɕhiɤu	1	35	造抄
Ǿiɤu	5	33	優
tɕiɤu	5	33	罩
ɕiɤu	1	35	袖
dʑiɤu	4	22	腳
Ǿiɤu	1	35	幼育
sua	2a	13	刷
kua	4	22	刮
gua	4	22	抓
kua	5	33	掛
kua	1	35	瓜
kue	2a	13	國
kuai	4	22	拐
khuai	5	33	勸
kuai	5	33	慣
khuai	1	35	圈
suei	4	22	水
dzuei	2b	12	隨
kuei	6	11	櫃
khuei	4	22	跪缺
suei	1	35	歲
dzuei	2a	13	罪垂
kuei	4	22	鬼骨
khuei	1	35	虧
kuei	5	33	蓋規貴
kuei	1	35	桂龜貴
tɕye	2a	13	絕決
ɕye	5	33	靴
tɕhye	2a	13	缺
Ǿye	2a	13	月
tɕyei	1	35	追
ɕyei	4	22	鼠水
tɕhyei	4	22	出
tɕhyei	1	35	吹
ɕyæ	4	22	法發罰
Ǿyæ	6	11	壞滑
Ǿyæ	2a	13	懷
Ǿyæ	4	22	挖襪
pan	5	33	班
ban	2a	13	辦
phan	1	35	判
fan	4	22	反
van	2b	12	頑還
tan	4	22	膽
dan	2b	12	潭
than	4	22	毯
tsan	1	35	戰
san	5	33	衫
zan	2a	13	善
tshan	4	22	鏟
kan	4	22	感敢減
han	2b	12	鹹
ŋan	5	33	安
lan	2b	12	南藍
van	2a	13	犯萬
than	5	33	貪
zan	3	42	染
kan	5	33	甘肝奸
han	2a	13	限
ŋan	1	35	暗岸
kan	1	35	監
han	1	35	漢
fen	5	33	婚
ven	2a	13	墳
tsen	5	33	貞
sen	5	33	參僧生
zen	2b	12	神唇純繩
tshen	5	33	村
ken	5	33	耕
ŋen	5	33	恩
len	2b	12	輪能
ven	5	33	溫
tsen	1	35	鎮俊證
zen	2a	13	任順
tsen	3	42	震
kun	4	22	滾
khun	1	35	困
pin	4	22	柄餅
bin	2b	12	貧瓶
phin	3	42	品
tin	6	11	沉定
din	2a	13	停蟲
thin	4	22	挺
tɕin	6	11	靜
ɕin	5	33	姓
dʑin	2b	12	程
tɕhin	5	33	秤
min	2b	12	民
nin	6	11	認閏剩
lin	2b	12	鄰零
Ǿin	2b	12	銀行
pin	5	33	冰
tin	4	22	頂
din	4	22	重
thin	5	33	廳
tɕin	4	22	緊整腫種
ɕin	1	35	心深新身升興
dʑin	2a	13	尋琴陳辰勤城
tɕhin	1	35	親慶沖
nin	2a	13	濃
lin	2a	13	林零
Ǿin	2a	13	神辰銀迎形
pin	1	35	兵
tɕin	5	33	浸鏡正
dʑin	4	22	近
lin	4	22	領
Ǿin	4	22	引隱影
tɕin	1	35	針金進筋勁經
Ǿin	5	33	印
Ǿin	1	35	音
tɕyn	5	33	均軍
ɕyn	5	33	熏
Ǿyn	6	11	問運
Ǿyn	2b	12	榮
Ǿyn	2a	13	營
Ǿyn	4	22	永
Ǿyn	1	35	運
bian	2a	13	便
tian	4	22	典
tɕian	1	35	建
ɕian	4	22	險顯
dʑian	2b	12	鉗
tɕhian	5	33	簽
nian	2b	12	嚴言
lian	1	35	念
Ǿian	2b	12	炎顏延
tian	1	35	店
dʑian	2a	13	件健
tɕhian	1	35	欠
nian	1	35	驗
Ǿian	2a	13	現
tian	3	42	點
Ǿian	1	35	厭
tuan	5	33	端
kuan	5	33	關
khuan	5	33	寬
kuan	1	35	慣
tɕyan	6	11	傳
dʑyan	2b	12	權
Ǿyan	2b	12	鉛
tɕyan	3	42	卷
Ǿyan	2a	13	縣
Ǿyan	4	22	原
Ǿyan	1	35	院
paŋ	1	35	幫
baŋ	2a	13	棒
phaŋ	1	35	胖
faŋ	1	35	放
vaŋ	2b	12	房防
taŋ	6	11	洞
daŋ	2a	13	藤
thaŋ	4	22	桶
saŋ	5	33	送
dzaŋ	2a	13	層
zaŋ	2b	12	嘗
kaŋ	5	33	江
haŋ	6	11	恨
laŋ	2a	13	聾
paŋ	3	42	綁
faŋ	3	42	紡
vaŋ	1	35	旺
taŋ	4	22	黨等
daŋ	4	22	動
thaŋ	5	33	痛
kaŋ	1	35	根
haŋ	2a	13	項
laŋ	1	35	浪
taŋ	5	33	凳凍
haŋ	4	22	肯
taŋ	1	35	燈
poŋ	4	22	本
boŋ	2a	13	盆朋棚蓬
phoŋ	1	35	蜂
foŋ	6	11	縫
voŋ	2a	13	魂雲
toŋ	4	22	懂
doŋ	2a	13	銅洞
thoŋ	4	22	統
tsoŋ	5	33	中終
soŋ	4	22	筍省
dzoŋ	2a	13	松
