	注释：-白读，=文读
p	[2]肥-{～肉}[5]痱沸[6]焙吠-{犬～}
pʰ	[5]配屁-{放～}
m	[6]位{点～，地点}
t	[6]队坠
tʰ	[2]槌锤
l	[2]骡[6]类泪累
ts	[5]赘醉[6]粹瘁萃
tsʰ	[5]翠喙{嘴}
s	[6]瑞遂隧邃
θ	[2]隋随垂谁[5]穗
k	[2]逵葵[5]贵癸[6]跪柜
kʰ	[5]愧[6]溃
x	[5]讳纬
w	[2]为违苇围[6]胃蝟谓卫位{～置}锐
∅	[5]畏尉慰蔚
#au	
p	[1]包[2]胞[3]饱=[5]豹□{外突}
pʰ	[1]抛[2]跑刨饱[5]炮={～弹}鲍[6]泡{灯～}雹{冰～}
m	[2]矛茅[3]卯铆[6]貌
t	[1]兜[2]投-[3]斗{米～}陡[5]罩[6]豆
tʰ	[1]偷[2]头{～脑}[3]敨{解开}㪗{解开}[5]透毒{毒杀}
n	[2]铙挠[6]闹
l	[2]刘留-{～级}流{水～去}[3]漏-老-{～人}
ts	[1]糟[2]巢剿[3]蚤爪找走[5]灶
tsʰ	[1]操抄钞[3]草-{～鞋}吵[6]臭
s	[5]哨啸
θ	[5]扫嗽
k	[1]交郊勾钩沟狡[2]猴[3]九-[5]较教={文～}够校{～对}[6]厚-{～薄}
kʰ	[1]抠□{杂糅}[2]□{刮皮毛}
ŋ	[2]肴淆[6]藕
x	[1]薅{～草}[5]孝={～顺}[6]效校{学～}
j	[3]舀
∅	[1]坳凹
#ɛu	
p	[3]表錶婊裱
pʰ	[2]浮={～动}[3]剖否
m	[2]谋[3]某亩牡[6]茂贸
t	[1]雕凋丢[2]条愁[3]抖{～动}[5]斗吊[6]逗抖{击、打}
n	[1]□{娇态}[3]鸟□{荆条，捆草用}
l	[2]楼搂[6]料陋廖漏=
ts	[1]邹[3]少{很～}[5]奏皱绉[6]骤
tsʰ	[3]醜[5]凑
s	[1]搜颼馊蒐[3]小少={多～}稍[5]瘦少={年～}[6]邵
θ	[2]稠{匀、常}
k	[1]胶={橡～}[3]缴狗苟[5]购构钩{挂}够=
kʰ	[3]口巧[5]寇扣叩
x	[2]侯喉{白～}[6]后={落～}厚{忠～}候
∅	[1]殴瓯[3]沤
#eu	
t	[2]橱[5]宙胄[6]粙{稻子}住-纣
tʰ	[2]绸稠{～密}筹[5]跳籴[6]柱-{石～}
n	[2]揉
l	[2]榴硫琉留={保～}流={风～}
ts	[3]沼[5]蛀咒
tsʰ	[5]臭糗树
s	[2]囚泅仇酬售[6]袖受寿授
θ	[5]秀绣锈兽宿{星～}
k	[2]求球[5]救究灸[6]舅=旧=
kʰ	[2]揫[6]柩咎臼=
ŋ	[2]牛={～马不如}
x	[5]嗅
j	[2]柔尤邮油由游犹悠[5]幼
#øu	
t	[2]除[5]著[6]箸
l	[5]□{瓜架}[6]虑滤
ts	[6]就聚驻住={居～}
tsʰ	[5]趣娶处{～长}
θ	[2]殊徐薯[5]絮庶恕[6]竖序叙绪树={～立}
k	[2]渠瞿[5]据锯句={～逗}[6]距巨拒具俱
kʰ	[5]去-
ŋ	[2]愚虞娱鱼渔[6]御遇寓
j	[2]如余儒榆[6]又右裕预愈喻愉逾佑
#iɛ	
t	[1]爹[6]蛎
ts	[1]遮[5]蔗柘{～荣}这[6]藉{～口}
tsʰ	[1]车-{火～}奢[2]斜[5]□{传染}
s	[1]赊[2]蛇
θ	[2]邪畬佘
s	[3]泻卸赦舍□{接续}[6]谢射社麝
k	[1]枷[5]寄
kʰ	[5]徛{陡峭}[6]徛{立}
ŋ	[2]鹅-[5]艾{～草}[6]蚁外-{～爿}
∅	[2]耶爷[3]椅[6]夜也
#iu	
p	[1]标彪镳
pʰ	[1]飘[2]飄嫖薸{浮～}[5]票漂[6]鳔
m	[2]苗猫=锚描[6]庙妙谬繆
t	[1]刁貂[2]朝潮调{～整}[3]拄{顶住}[5]钓昼={～夜}[6]赵兆召调{～动}
tʰ	[1]超挑抽[3]丑[5]跳
n	[3]纽扭[5]□{皱}[6]尿
l	[2]燎僚療[3]柳[5]溜馏
ts	[1]蕉昭招周舟州洲珠{目～，眼睛}[2]焦樵瞧礁[3]酒[5]醮照诏
tsʰ	[1]锹秋[3]手[5]笑
s	[1]收[2]绍[3]首守帚[6]邵
θ	[1]消霄宵硝销烧箫萧修羞悄梢[2]韶[5]鞘少{～年}
k	[1]骄娇[2]乔侨桥荞[3]久韭饺[5]叫[6]轿
kʰ	[1]敲鸠丘邱枭[5]窍
x	[1]休侥
∅	[1]忧幽优
#iau	
m	[3]藐秒渺
t	[6]掉
n	[2]饶[3]绕
l	[3]了={～结}
k	[3]纠矫
ŋ	[2]尧偶
x	[3]朽吼
∅	[3]扰
#ui	
p	[1]杯飞-{～来}[2]培陪赔[5]贝辈背{～部}[6]倍佩背{～书}
pʰ	[1]胚坯[2]皮-{牛～}[6]被-{棉～}
m	[2]梅枚媒煤糜[6]未-{～去}昧
t	[1]追
ts	[1]锥
tsʰ	[1]吹炊[5]脆□{寻找}
θ	[1]虽绥[5]岁{太～}税睡
k	[1]龟归[5]髻刽桧会{～计}
kʰ	[1]亏开-{～门}[5]愧
ŋ	[6]伪魏外={国～}
x	[1]灰恢挥辉徽麾[2]回茴[5]晦悔岁{两～}[6]汇会{开～}
∅	[1]威[3]伟[6]秽
#uɔ	
p	[5]簸
pʰ	[5]破
m	[2]摩蔴痳麻魔
t	[6]大-{野～}
l	[2]箩
ts	[1]抓
θ	[1]沙
k	[1]瓜[3]剐[5]挂卦褂
kʰ	[1]夸跨
x	[1]花[2]华铧[5]化[6]画=
∅	[1]蛙窪[6]话画={图～}
#uai	
p	[3]跛
m	[3]每尾[5]妹
tsʰ	[3]髓揣踹舛
k	[1]乖[3]拐[5]怪
kʰ	[3]跪[5]快={痛～}筷
ŋ	[2]危
x	[2]怀淮槐[3]火伙[5]坏
∅	[1]歪
#yi	
l	[3]缕屡垒儡蕊磊
ts	[3]水
k	[3]诡轨鬼愧
#an	
p	[1]班斑=颁扮
pʰ	[5]冇{空～}盼
m	[2]馒蛮[6]漫幔蔓慢=
t	[1]耽担丹单[2]谈痰檀坛弹{～弓}[5]担旦诞[6]淡弹{子～}但
tʰ	[1]贪滩摊[2]潭谭[5]探炭叹
n	[2]男南难{困～}[6]难{落～}
l	[2]蓝篮兰栏拦[6]滥烂
ts	[1]簪[2]惭馋谗残[5]赞[6]暂錾{石～}站栈
tsʰ	[1]参{～加}搀渗掺[5]灿
s	[1]山
θ	[1]三杉衫珊删疝[5]散
k	[1]监尴干肝乾竿艰间奸甘柑泔[2]衔寒-{天～}含-[5]监鑑间{离～}谏涧锏幹[6]汗
kʰ	[1]堪龛看刊勘[5]坎看嵌
ŋ	[2]颜岩[6]雁岸
x	[1]蚶憨[2]函韩闲={农～}含={包～}咸{～阳}寒={～山寺}[3]喊[5]汉
∅	[1]淹阉醃庵安鞍[2]咸{～村，地名}[5]暗按案晏{天晚}[6]旱焊
#ɛn	
p	[2]爿[3]貶扁匾蝙版-板-{门～}[6]瓣办
m	[3]免勉娩悯敏抿满-[6]慢-
t	[2]填[3]胆点展典转盾[5]店[6]簟赁殿垫淀䧘{门～}
tʰ	[2]沉[3]毯坦忝
n	[3]染软[5]奶{～水}[6]念
l	[2]莲[3]览揽榄脸懒缆[6]撵{赶走}
ts	[1]针榛臻[3]斩盏剪残饯䭕{味淡}
tsʰ	[1]千[2]蚕[3]惨铲浅癣筅{灶～，锅帚}
s	[1]森参{人～}
θ	[1]先-{～去}[2]前-{面～}[3]鲜{朝～}伞产选损
k	[1]杆[2]悬{高}鹹{味～}[3]感敢橄减检赶简裥柬楝囝{儿子}稈[6]县
kʰ	[1]牵[3]坎-砍遣艦肯={～定}
ŋ	[3]眼研{碾}
x	[2]还-{～钱}[3]险罕显很
∅	[2]闲-{有～}[3]饮{米汤}[6]限
#en	
p	[2]贫频
pʰ	[5]殡鬓
m	[2]民[5]面-{脸}
t	[2]陈尘藤[5]镇盯钉订[6]阵□{炖}
tʰ	[2]沉={～着}恬忱[5]趁{赚}
n	[6]认
l	[2]琳淋邻遴嶙磷鳞霖陵凌菱林={森～}[5]□{片、瓣}[6]吝
ts	[5]浸进晋震证症[6]尽
s	[2]神寻蟳辰
θ	[5]信讯迅[6]葚肾慎
k	[5]禁[6]妗
kʰ	[3]犬
ŋ	[2]吟塍{田梗}
x	[6]恨
j	[2]淫壬人仁[6]任紝刃靭
∅	[2]寅仍[5]印
#øn	
k	[6]近
kʰ	[2]勤芹
ŋ	[2]银
#ɔn	
t	[1]墩钝[2]屯豚[6]段缎椴锻断-{不～}
tʰ	[1]吞
n	[1]□{动作缓慢}[6]嫩
l	[6]论卵-{蛋}乱-{～来}
ts	[1]尊撙[2]存[5]钻
tsʰ	[1]村[2]忖{想}[5]寸
s	[1]闩
θ	[1]酸宣孙[5]算蒜涮逊
k	[1]跟根
kʰ	[1]昆崑坤[5]睏
x	[1]薰{烟}[2]痕[5]混溷
∅	[1]恩
#on	
p	[1]奔[2]㖹{吹}[5]粪[6]笨
pʰ	[5]喷
m	[6]闷韵
t	[5]吨顿
n	[6]闰
l	[2]崙沦伦轮[6]恋
ts	[1]俊骏峻
s	[1]拴闩[5]舜[6]顺
θ	[2]旋船镟旬循纯唇巡莼醇[5]殉
k	[2]裙群[5]棍
kʰ	[5]困
x	[2]焚坟纹云[5]奋训楦{鞋～}
j	[6]润
w	[2]文坟闻[6]运紊问={学～}
∅	[5]揾{蘸}
#in	
p	[1]鞭彬边=宾槟[2]便-{～宜}[3]禀[5]变[6]辨辩便{方～}辮
pʰ	[1]编篇[3]品[5]骗片遍
m	[2]棉绵[3]缅[6]麵面{体～}
t	[1]甜颠珍征贞侦惩癫[2]缠田[5]掂惦[6]电佃奠
tʰ	[1]添天
n	[2]年粘
l	[2]廉镰簾连联怜[3]檩凛懔[6]练炼楝殓
ts	[1]毡瞻羶詹真尖征尖斟[2]潜钱前={支～}[3]枕诊疹[5]箭占战荐[6]贱渐
tsʰ	[1]称歼亲签侵深迁[3]寝
s	[1]身申伸[2]蝉禅单{～于}檐[3]沈陕审婶[5]扇[6]善膳
θ	[1]心仙先={～生}辛新薪[2]盐{～巴}[5]盐{～菜，咸菜}[6]沁
k	[1]今金肩兼掮坚均[2]虔墘{边缘}[3]锦紧[5]见剑[6]俭
kʰ	[1]倾谦襟钦卿[2]钳擒禽[3]肯-{答应，同意}[5]欠
ŋ	[2]□{纠缠}妍[5]砚瘾[6]验
x	[1]兴[2]嫌贤弦玄舷悬={陡峭}[6]现
j	[1]燕{～京}嚥[2]延炎筵涎圆-[5]厌燕{海～}宴[6]院
∅	[1]音阴烟姻[3]饮={～水思源}
#iɛn	
t	[6]懒
n	[6]□{～死}
ts	[1]煎蒸[5]溅
tsʰ	[1]扦[5]倩堑[6]蟮
θ	[2]鳞[5]线[6]□{目汁尽～}
k	[2]乾{～坤}[6]□{～死}
ŋ	[2]言严俨[6]彦谚
∅	[3]掩冉[6]焰艳□{很}
#un	
p	[1]锛分-{～开}[6]饭{食～}
pʰ	[1]潘{猪食}
m	[2]门[5]问-{～话}
t	[1]敦[2]传{宣～}[6]传{～记}
tʰ	[1]椿[2]椽[6]篆
ts	[1]专砖[2]全泉
tsʰ	[1]穿川
s	[6]吮
k	[1]君军关-{～门}[2]权拳颧[5]卷券眷[6]窘倦郡
kʰ	[1]□{棍击}[5]劝
ŋ	[2]元原源[6]愿
x	[1]昏婚芬纷晕[2]园[6]远-{𣍐～}
w	[1]冤[2]员完袁辕丸垣[6]援
∅	[1]温瘟[5]怨
#uan	
p	[1]般搬[2]盘盆[3]本[5]半[6]绊
pʰ	[1]攀潘{～氏}[2]蟠[5]判[6]伴拌叛泮畔绊
m	[2]瞒[3]满
t	[1]端[5]断{决～}[6]断={～绝}
tʰ	[2]团
l	[2]銮鸾
ts	[6]撰馔
tsʰ	[1]铨餐荃筌{鱼网}[5]纂窜串
k	[1]官棺观{～察}冠{王～}鳏关={开～}[3]管馆[5]贯灌罐惯观{道～}[6]掼{提}□{提}
kʰ	[1]宽[2]环[3]恳垦
ŋ	[2]顽玩{～具}[6]玩{古～}
x	[1]欢翻番藩[2]烦矾繁凡还={～原}[3]反返[5]泛版饭焕唤[6]范犯缓幻患宦
∅	[1]弯湾[3]豌剜碗腕皖晚挽阮宛远={～见}[6]万换
#yn	
ts	[3]准
s	[3]蠢
θ	[3]荀榫
k	[1]捐巾斤筋绢[3]滚衮捲圈僅[5]健建毽[6]件键健
kʰ	[3]菌捆
x	[1]轩喧熏勋薰=[3]粉忿愤[5]宪献
j	[1]焉渊[3]演衍
∅	[1]殷[2]缘沿铅[3]引隐允尹
#aŋ	
p	[1]浜[2]平{～～}坪{草～}[5]柄[6]病-{养～}
pʰ	[1]甏{小瓮}[2]彭膨评-{～比}平-{～整}
m	[2]庞盲虻蛮闽{～江}
t	[6]郑
tʰ	[1]撑
l	[6]两-{～斤重}
ts	[1]髒
tsʰ	[1]青-
s	[1]甥生{～日}
θ	[2]晴[5]姓-{名～}性-{心～}
k	[1]羹
kʰ	[1]坑
x	[1]夯
#ɛŋ	
p	[3]饼
m	[3]莽蟒猛-{火～}
t	[3]等[6]邓
tʰ	[1]蛏[3]桶
l	[3]冷领岭
ts	[3]井
tsʰ	[3]请={申～}醒{清～}
s	[3]省
k	[3]哽埂梗耿粳茧炯
#eŋ	
p	[2]凭瓶屏萍平={～安}[5]并
pʰ	[5]姘聘拼{～音}
m	[2]鸣明铭[6]命=
t	[2]亭停廷庭蜓[3]鼎-{饭锅}[5]凳[6]定={确～}锭绽
tʰ	[5]听
n	[2]宁[6]躏
l	[2]灵零铃伶临玲拎龄翎[6]令另
ts	[2]情晴={～朗}[5]政正={改～}[6]靖静净
tsʰ	[2]塍{田}[5]称
s	[2]乘成={～功}诚[5]胜圣={神～}[6]盛剩
θ	[5]性={～别}姓={贵～}
k	[2]琼荆[5]敬警劲颈径竞茎竟
kʰ	[5]庆磬
ŋ	[2]迎{～接}
x	[2]形型刑[5]兴{高～}
∅	[2]盈茔莹荧[5]应{答～}[6]孕
#œŋ	
p	[1]崩[2]朋棚
pʰ	[1]烹[2]衡宏弘
m	[2]萌
t	[1]灯冬东-{朝～}[2]腾謄澄橙铜[5]栋-{瓦～}冻[6]洞重-
tʰ	[1]通-{～气}[2]虫桐-{～油}重-{～复}
n	[2]能脓
l	[2]笼-聋垅[6]弄-{小～}
ts	[1]曾{姓}鬃增僧争筝睁[2]曾{～经}层[5]粽[6]赠
tsʰ	[1]葱囱[5]昶
s	[1]双笙牲={牺～}生={～产}
θ	[5]送[6]讼诵颂
k	[1]工更{～改}庚耕[5]更{～加}[6]共
kʰ	[1]空-
ŋ	[6]硬
x	[1]亨[2]行{～动}恒巷[6]杏行{品～}幸横
∅	[1]翁-[2]红-[5]瓮
#øŋ	
θ	[2]松
k	[2]穷
x	[2]熊雄
#ɔŋ	
p	[1]邦帮[2]滂旁螃傍[3]榜绑[5]谤[6]蚌
pʰ	[5]□{凸起}
m	[2]忙芒茫懵[5]□{不清醒}[6]望-{看}
t	[1]当中{台～}[2]堂棠螳唐塘肠-长-[3]党挡涨-[5]档当{上～}[6]宕丈撞荡
tʰ	[1]汤窗[2]糖[3]倘躺鋿[5]烫
n	[2]囊瓢[6]釀
l	[2]郎廊狼蜋[3]朗辆两[6]浪
ts	[1]庄赃[2]藏{躲}[3]奖蒋桨掌[5]壮葬[6]臟状藏{西～}
tsʰ	[1]仓苍疮窗[2]床[3]抢厂[5]创闩{动词}
s	[1]桑丧{～事}霜孀搡[3]磉嗓爽赏[5]丧{～失}
θ	[3]想
k	[1]冈豇刚纲缸江[3]广讲[5]岗钢杠降{～落}
kʰ	[1]康糠[3]矿[5]慷抗囥{藏起}
ŋ	[2]昂龈[3]仰[6]戆{傻}
x	[1]烘=[2]行{两～}航防-杭妨轰降-{投～}[3]享响晌[6]项
j	[3]养
∅	[1]秧-{春～}[3]影-{树～}[5]眏{盼，看守}
#oŋ	
p	[2]房
pʰ	[2]蓬篷逢帆{训“篷”}[5]缝{门～}
m	[2]蒙[5]梦
t	[2]童瞳重{两～天}同[5]中{～弹}[6]动={劳～}仲
tʰ	[2]重{～复}
n	[2]农=侬=脓浓
l	[2]隆龙
ts	[2]崇丛从[3]种{良～}[5]众纵种{～下}
tsʰ	[5]铳
θ	[5]送=宋=
k	[5]贡[6]汞
kʰ	[5]旷控空{亏～}虹
x	[2]洪鸿冯哄红={映山～}[6]凤奉
j	[2]茸容蓉镕庸戎绒融荣[3]甬涌勇踊[6]用
#iŋ	
p	[1]冰兵[3]丙秉炳
pʰ	[1]拼
m	[3]皿
t	[1]丁钉疔汀[3]顶鼎={福～}
tʰ	[3]逞艇挺铤
ts	[1]精晶睛[3]拯
tsʰ	[1]清=青={～年}蜻[3]请
s	[1]升
θ	[1]星腥[3]省{反～}醒={～悟}
k	[1]京鲸经[3]谨境景
kʰ	[1]轻[3]顷
x	[1]馨
∅	[1]英樱婴鹦缨鹰莺[3]影={电～}颖
#iɛŋ	
p	[5]併{合～}
pʰ	[5]□{田～，田坎}[6]併{比～，对比}
m	[2]名-{～字}[6]命-{好～}
t	[6]定{～落来}
tʰ	[1]听-[2]呈程[5]□{疼爱，痛}
ts	[5]正{改～}[6]净-{纯～}
s	[1]声[2]城成-[5]圣-{显灵}
k	[1]惊-{～死}[2]行-{走}[5]镜
kʰ	[5]磬□{～头}
ŋ	[2]迎{～大王}
x	[1]兄-[5]炫
∅	[2]贏营
#uŋ	
p	[1]崩-
pʰ	[1]蜂锋[3]棒俸捧纺
m	[3]蠓□{～讲}
t	[1]中忠东={～方}[3]董懂
tʰ	[1]通={交～}[2]桐={梧～}[3]统冢
l	[3]陇拢
ts	[1]宗终盅舂钟[3]总种{～子}肿
tsʰ	[1]聪充冲
s	[6]颂
θ	[1]鬆嵩
k	[1]光公攻[2]狂[6]汞
kʰ	[1]匡筐眶空=[3]孔
x	[1]荒慌方丰封疯谎肪芳风枫[2]皇蝗楻黄[3]倣仿彷晃访[5]况放={解～}讽[6]凤奉
w	[1]汪[2]王亡忘[6]妄望旺
∅	[1]翁{姓}雍塕{～尘}痈[3]拥
#uaŋ	
pʰ	[5]胖畔
x	[2]簧横桓
∅	[3]往网枉罔
#yŋ	
t	[3]等-
ts	[3]振整
k	[1]供恭弓躬宫[3]拱
kʰ	[3]巩恐
x	[1]胸凶兇欣掀
#yəŋ	
t	[1]张[2]场长={～泰，县名}[5]帐账胀丈长{剩余}
tʰ	[5]畅枨怅[6]仗杖
n	[2]娘[6]壤让
l	[2]良凉量{商～}粮粱梁[6]谅亮量{数～}
ts	[1]将{～来}浆章樟正{～月}[2]□{～过去}[5]酱障瘴将{部～}
