#参考资料 《商南蛮子话同音字汇》
#调值 [1]31 [2]25 [3]44 [5]212 [6]22

#ɿ
ts [1]资撕 [3]紫姊
t [1]丢留{回来迟，把饭给我～到}
l [1]溜 [2]留瘤 [3]柳稆 [5]六溜{～冰}馏
tɕ [1]究揪 [3]酒九 [5]救蹴
tɕʰ [1]邱蚯秋 [2]毬仇姓球 [6]舅旧
ȵ [2]牛 [3]纽钮□{没有}谬
ɕ [1]修休羞 [3]朽宿{住一～} [5]秀蓄{头发～长了}绣嗅锈 [6]袖
∅ [1]悠优 [2]游油 [3]有友 [5]狱幼育獉{教～} [6]又诱

#an
p [1]班 [3]板
pʰ [1]攀 [2]蟠 [5]襻 [6]瓣办
m [2]蛮埋{～怨} [6]慢
f [1]翻帆 [2]凡烦 [3]反 [5]贩 [6]范犯
t [1]单 [3]胆 [5]担{～子}旦
tʰ [1]滩 [2]痰 [3]毯 [5]炭 [6]淡蛋
n [2]楠 [6]难{灾～}
l [2]兰 [3]懒 [6]烂
ts [3]攒 [5]暂赞
tsʰ [1]餐 [2]馋残惭 [3]惨 [5]灿 [6]溅
s [1]三 [3]伞
tʂ [1]沾 [3]展
tʂʰ [1]掺搀 [2]缠 [3]铲
ʂ [1]山 [2]蝉 [3]陕 [5]扇 [6]善
ʐ [2]然粘{～糊}
k [1]搛{～菜} [3]赶感 [5]赣
kʰ [1]间{中～} [2]衔{嘴里～着} [3]坎砍
ŋ [1]淹 [2]严 [3]眼暗 [5]晏 [6]雁
x [1]涎{～水} [2]闲咸{盐重} [3]喊罕 [6]焊

#iɛn
p [1]鞭 [3]扁绾 [5]变
pʰ [1]偏 [2]便{～宜} [3]谝 [5]骗 [6]辫便{方～}
m [2]绵 [3]免勉 [6]面
t [1]掂 [3]点 [5]店
tʰ [1]天 [2]填 [3]舔 [5]掭{～墨} [6]垫
l [2]连廉 [3]脸 [6]炼
tɕ [1]尖奸 [3]减茧 [5]剑舰
tɕʰ [1]千 [2]钱前泉 [3]浅 [5]欠 [6]件贱
ȵ [1]蔫黏 [6]酽念砚
ɕ [1]先鲜宣 [2]嫌咸贤闲 [3]选癣 [5]线馅 [6]县限
∅ [1]淹烟胭 [2]盐严 [3]掩眼演 [5]验宴燕 [6]砚咽

#uan
k [1]关 [5]惯
x [1]獾 [2]环还{归～} [5]幻宦患
∅ [1]弯 [2]顽丸 [3]晚挽 [6]万

#ʯan
tʂ [1]专砖 [3]卷 [5]赚
tʂʰ [1]川穿圈{圆～} [2]船全权 [3]喘犬 [5]劝串 [6]圈{猪～}倦
ʂ [1]栓闩 [2]玄旋 [5]涮疝
∅ [1]冤渊 [2]元燃圆员 [3]阮远软 [6]院怨

#on
p [1]搬
pʰ [1]潘 [2]盘搬 [5]判叛 [6]伴
m [2]瞒 [3]满
t [1]端 [3]短□{～米} [6]锻
tʰ [1]贪 [2]谭团 [6]断
n [2]男南 [6]暖
l [2]鸾 [3]卵 [6]乱
ts [1]钻{～研} [5]钻{～子}
tsʰ [1]参 [2]蚕 [5]窜
s [1]酸 [5]算蒜
k [1]肝干{～湿}官棺 [3]敢赶 [5]观{道～}
kʰ [1]宽 [3]款
ŋ [1]安 [5]案暗 [6]岸
x [1]欢 [2]寒完 [3]缓 [5]汉 [6]旱

#uon
∅ [1]豌剜 [2]完玩 [3]碗腕绾

#ən
p [1]奔锛{～子} [3]本 [5]奔{～命}
pʰ [1]喷 [2]盆 [6]笨
m [1]□{笨} [2]门明{～天} [5]焖{～菜} [6]闷
f [1]分 [2]坟 [3]粉 [5]愤粪 [6]份
t [1]灯登蹲 [3]等 [5]顿凳
tʰ [1]吞 [2]滕臀 [6]邓钝
n [2]能 [6]嫩
l [2]睖纶 [3]冷 [6]论楞
ts [1]争尊 [3]怎 [5]赠争
tsʰ [1]村撑皴 [2]存层 [5]衬寸
s [1]孙森生 [3]省损笋榫 [5]渗
tʂ [1]真蒸 [3]整枕 [5]政
tʂʰ [1]抻{～手}伸{～展} [2]陈程 [5]秤趁 [6]阵
ʂ [1]伸升声 [2]神晨绳 [3]沈 [5]盛肾 [6]剩
ʐ [1]扔 [2]人仍 [3]忍 [6]刃认
k [1]根庚 [3]哽 [5]更
kʰ [1]坑吭 [3]垦
ŋ [1]恩 [5]摁 [6]硬
x [1]哼亨 [2]痕衡横 [3]很 [6]恨杏

#iən
p [1]兵冰 [3]丙禀 [5]并
pʰ [1]拼乒 [2]贫瓶 [3]品 [5]聘姘 [6]病
m [2]明民 [3]敏 [6]命
t [1]丁 [3]顶疔 [5]订钉{动词}
tʰ [1]厅 [2]庭 [3]挺 [5]听 [6]定
l [1]拎 [2]林灵 [3]领檩 [6]令蔺
tɕ [1]今经 [3]景井颈 [5]镜妗
tɕʰ [1]亲倾 [2]晴芹 [3]顷请 [5]庆磬 [6]近静
ɕ [1]星 [2]寻旬 [3]醒擤 [5]信姓幸{溺爱}
ȵ [2]凝宁 [3]拧 [6]佞
∅ [1]英鹦 [2]营银 [3]饮尹 [5]印应

#uən
k [3]滚 [5]棍
kʰ [1]坤 [3]捆 [5]困
x [1]昏荤 [2]横魂 [6]混
∅ [1]瘟 [2]文蚊 [3]稳 [6]问

#ʯən
tʂ [1]军肫 [3]准 [5]菌
tʂʰ [1]春 [2]唇群裙 [3]蠢
ʂ [1]熏 [2]寻殉 [5]驯逊训 [6]顺
∅ [1]晕 [2]云匀 [3]永允 [5]韵熨 [6]运{～气}孕

#ɑŋ
p [1]帮 [3]榜 [5]棒
pʰ [2]旁 [5]胖 [6]蚌
m [2]忙 [3]莽
f [1]方 [2]房 [3]访 [5]放
t [3]挡 [5]挡当荡
tʰ [1]汤 [2]糖 [3]淌 [5]烫
n [1]囔 [2]馕 [3]攮
l [2]郎 [3]朗 [6]浪
ts [1]脏{肮～} [5]葬□{不好的东西:烂～}
tsʰ [1]仓 [2]藏{躲～} [6]藏{西～}脏{又，心～}磉
s [1]桑丧{～事} [3]嗓 [5]□{贬低别人:～拜人}
tʂ [1]张章 [3]掌 [5]胀帐
tʂʰ [1]昌 [2]肠尝 [3]厂 [5]畅唱 [6]仗杖
ʂ [1]商 [2]尝 [6]裳
ʐ [2]□{身体弱} [3]嚷 [6]让
k [1]刚江{姓，又读}豇{～豆} [3]讲{～话} [5]虹钢{～锄头}
kʰ [1]糠 [2]扛 [3]抗{病～得住} [5]囥{躲}
ŋ [1]肮 [3]巷 [6]项{～圈}

#iɑŋ
l [2]良 [3]两 [6]亮
tɕ [1]刚{～才}江豇缰 [3]讲膙{手上茧子} [5]将{～帅}酱犟
tɕʰ [1]枪 [2]藏{～起来}降{投～}祥{人名后} [3]抢 [5]呛炝{～锅面} [6]僵{手冻～了}像匠强{～嘴}
ȵ [2]娘 [3]仰 [6]酿{酝～}
ɕ [1]香相 [2]降{～服}祥□{欺负，～人} [3]响 [5]像{照～}向 [6]相橡项{～目}
∅ [1]央 [2]羊阳 [3]养映{放～} [5]漾 [6]样

#uɑŋ
k [1]光 [3]广 [5]逛光{光滑，路好～}
kʰ [1]絖 [2]狂 [5]旷
x [1]荒 [2]蝗黄 [3]谎 [6]晃
∅ [1]汪 [2]王亡芒{麦～} [3]往网 [6]望旺

#ʯɑŋ
tʂ [1]庄 [5]壮
tʂʰ [1]窗疮 [2]床 [3]闯 [5]创{～造} [6]撞状
ʂ [1]双 [3]爽

#əŋ
p [1]崩 [5]蹦
pʰ [1]抨 [2]朋彭 [3]捧 [5]碰
m [1]懵 [2]朦 [3]蠓 [6]梦
f [1]风蜂 [2]冯 [6]凤
t [1]冬东 [3]董懂 [5]冻栋
tʰ [1]通熥 [2]铜同 [3]桶 [5]疼痛 [6]动洞
n [2]农齈 [6]弄哝
l [2]聋龙 [3]拢
ts [1]宗 [3]总 [5]纵粽
tsʰ [1]聪茐 [2]从枞{～树}
s [1]松嵩 [2]□{精液} [3]怂搡 [5]宋送

#iəŋ
tɕ [3]迥
tɕʰ [2]穷琼 [3]□{闷，～人}
ɕ [1]兄胸 [2]熊
∅ [1]臃 [2]荣融 [3]勇 [6]用

#uəŋ
k [1]公工 [3]攻 [5]贡
kʰ [3]孔恐 [5]控 [6]共
x [1]轰 [2]红 [6]讧
∅ [1]翁 [5]瓮

#ʯəŋ
tʂ [1]忠 [3]肿 [5]众
tʂʰ [1]冲 [2]虫 [3]宠
∅ [2]茸绒

#n̩
∅ [1]嗯 [3]你 [5]那
