#符號說明：-白									
調值	陰平44	陽平22	上聲31	去聲52	陰入2	陽入5			
k	[44]哥歌	[22]	[31]	[52]					
kʰ	[44]科苛坷柯呵戈	[22]	[31]可	[52]棵課顆裸					
ŋ	[44]我	[22]俄鵝蛾哦訛	[31]	[52]餓					
h	[44]	[22]河荷何	[31]	[52]					
∅	[44]啊屙屙	[22]	[31]	[52]					
#u									
p	[44]晡{暗~：晚上}	[22]	[31]補斧	[52]布怖佈					
pʰ	[44]普薄鋪	[22]符菩葡扶-	[31]甫浦脯晡譜殕{~味：發黴的味道}	[52]步部孵鋪					
m	[44]母	[22]巫誣模摹	[31]撫{搞}	[52]夢慕墓暮					
f	[44]夫伕膚俘哹互敷	[22]胡湖狐弧壺扶	[31]虎府俯腑滸苦腐	[52]戶戽滬褲父釜付副賦赴婦負富腐					
v	[44]烏塢汙侮武	[22]無	[31]舞撫蕪鵡	[52]務霧戊芋					
t	[44]都嘟	[22]	[31]肚賭堵	[52]妒褚					
tʰ	[44]	[22]圖屠塗途徒	[31]土	[52]吐杜兔度渡踱					
n	[44]	[22]奴駑	[31]努	[52]怒					
l	[44]魯櫓擼鹵黸{~哥：鐵銹}	[22]盧瀘廬爐驢鸕	[31]虜擄	[52]路鷺露潞					
ts	[44]朱誅株珠硃蛛周豬舟州洲	[22]	[31]主拄煮帚	[52]注註蛀駐著鑄晝咒					
tsʰ	[44]柱抽苧	[22]除廚綢稠酬售籌	[31]暑醜鼠處礎	[52]臭住獸紂處					
s	[44]書收舒輸	[22]署薯仇儲殊	[31]手守首授	[52]樹庶恕豎受壽					
k	[44]姑菇孤	[22]咕	[31]古股鼓	[52]固故錮雇顧					
kʰ	[44]枯估沽箍麩	[22]	[31]苦	[52]庫					
ŋ	[44]	[22]娛	[31]	[52]悟悮					
#ai									
p	[44]跛	[22]排-{~~坐}	[31]擺	[52]拜簸					
pʰ	[44]	[22]排牌簰	[31]	[52]敗派					
m	[44]買	[22]埋	[31]邁	[52]賣					
f	[44]	[22]懷淮槐	[31]	[52]壞					
v	[44]歪	[22]	[31]	[52]喂					
t	[44]低	[22]	[31]底歹{~手：狡猾}	[52]帶戴					
tʰ	[44]弟-	[22]啼-蹄	[31]癩	[52]大太態泰待怠殆					
n	[44]乃奶扔	[22]泥坭	[31]奈捺哪	[52]耐					
l	[44]拉-{~人：捉人}	[22]犁黎	[31]	[52]賴					
ts	[44]哉栽齋災	[22]	[31]仔宰滓	[52]再債					
tsʰ	[44]猜	[22]柴裁	[31]采彩踩採	[52]蔡在寨					
s	[44]舐祀-{~地：掃墓}	[22]	[31]徏	[52]曬帥					
k	[44]	[22]	[31]	[52]					
kʰ	[44]荷{~石頭：挑石頭}	[22]	[31]	[52]					
ŋ	[44]	[22]涯崖捱我	[31]	[52]艾					
h	[44]溪	[22]孩鞋諧	[31]蟹	[52]械懈					
∅	[44]唉挨埃	[22]	[31]矮	[52]藹靄隘					
#au									
p	[44]包苞胞	[22]	[31]保堡寶飽	[52]報豹爆-{破裂}					
pʰ	[44]跑拋	[22]袍刨铇麅	[31]	[52]泡炮抱暴爆					
m	[44]毛卯	[22]茅	[31]藐鉚	[52]冒帽貌					
t	[44]刀	[22]嘐	[31]倒禱	[52]到					
tʰ	[44]導叨稻滔蹈	[22]桃洮逃濤淘萄掏	[31]討	[52]道盜套					
n	[44]惱{生氣}	[22]撓	[31]腦惱	[52]鬧					
l	[44]褸	[22]勞撈嘮澇牢	[31]老	[52]					
ts	[44]昭招糟遭朝	[22]	[31]早找爪蚤棗	[52]灶沼詔照笊					
tsʰ	[44]抄鈔超操	[22]吵曹嘈漕槽朝	[31]草炒	[52]燥躁造糙皂趙					
s	[44]燒稍梢躁	[22]韶騷巢繅{~菜：把菜在開水鍋裏燙}	[31]少嫂	[52]召紹邵掃兆少					
k	[44]高膏蒿篙羔糕交跤郊膠教{~書}	[22]	[31]攪搞稿搞校狡絞較	[52]告窖酵教					
kʰ	[44]敲-	[22]	[31]考烤	[52]靠銬					
ŋ	[44]咬	[22]敖熬嗷	[31]	[52]傲					
∅	[44]凹	[22]	[31]襖拗{折}	[52]奧澳懊坳					
#am									
f	[44]	[22]凡礬帆	[31]	[52]氾範犯泛幻患					
t	[44]擔耽	[22]	[31]膽	[52]					
tʰ	[44]貪淡{鹹~}探	[22]談痰譚潭壇	[31]探	[52]淡{~菜}					
n	[44]腩	[22]南楠喃男	[31]	[52]					
l	[44]	[22]藍籃婪	[31]欖攬	[52]覽纜濫					
ts	[44]沾粘詹瞻簪	[22]	[31]斬塹	[52]占站					
tsʰ	[44]參{~加}滲摻	[22]蠶蟾讒饞	[31]慘慚	[52]杉站					
s	[44]三衫	[22]禪蟬嬋	[31]陝閃{~開}	[52]					
k	[44]甘柑泔橄監	[22]	[31]敢減感	[52]鑒監{~督}鑑艦					
kʰ	[44]堪勘	[22]	[31]砍坎	[52]勘{~探}					
ŋ	[44]啱{~好：正好}	[22]岩	[31]僸{~頭：點頭}	[52]					
h	[44]含晗函銜鹹	[22]	[31]	[52]陷餡喊撼憾					
∅	[44]庵	[22]	[31]揞{~~伏：肚子向下}	[52]暗黯					
#ap									
f	[2]法	[5]							
t	[2]答搭	[5]							
tʰ	[2]塌榻溻塔遝	[5]踏							
n	[2]衲	[5]納							
l	[2]	[5]臘蠟							
ts	[2]紮劄軋	[5]							
tsʰ	[2]插	[5]雜柵閘							
s	[2]䁋{~目：閉目}	[5]涉煠{~卵：煮雞蛋}							
k	[2]甲鉀合-{~本：合資。~子：小盒子}	[5]							
kʰ	[2]恰洽哈	[5]磕							
ŋ	[2]	[5]							
h	[2]	[5]合盒狹							
∅	[2]鴨押	[5]							
#an									
p	[44]班斑般搬頒攀	[22]	[31]板扳叛粄	[52]半襻					
pʰ	[44]番{~禺}潘藩	[22]盤	[31]	[52]扮盼伴判絆拌辦					
m	[44]滿	[22]蠻	[31]瞞	[52]曼漫蔓慢					
f	[44]番翻	[22]還環煩繁	[31]反返	[52]飯販					
v	[44]彎灣鯇	[22]完還	[31]晚挽輓宛婉	[52]萬					
t	[44]單丹	[22]	[31]憚撣	[52]旦但誕					
tʰ	[44]攤灘癱	[22]彈壇檀	[31]坦毯袒	[52]歎蛋炭					
n	[44]	[22]難	[31]	[52]難					
l	[44]懶	[22]攔瀾鸞	[31]	[52]爛					
ts	[44]氈潺顫	[22]	[31]展盞	[52]戰贊					
tsʰ	[44]	[22]纏泉殘	[31]鏟	[52]燦棧綻孱{番~：調皮}					
s	[44]山汕疝刪珊姍	[22]	[31]產膳散	[52]善散撒扇搧					
k	[44]	[22]	[31]	[52]					
kʰ	[44]刊	[22]	[31]	[52]					
ŋ	[44]研妍	[22]頑	[31]	[52]玩岸					
h	[44]	[22]閑嫻還	[31]蜆	[52]限莧					
∅	[44]	[22]	[31]	[52]					
#at									
p	[2]八捌缽撥潑	[5]							
pʰ	[2]潑-	[5]撥跋鈸							
m	[2]抹襪蔑篾	[5]末沫							
f	[2]發闊	[5]活乏伐筏閥							
v	[2]挖	[5]滑猾							
t	[2]撻笪	[5]							
tʰ	[2]	[5]達噠							
n	[2]焫{燙}	[5]							
l	[2]	[5]辣							
ts	[2]折浙哲蟄	[5]							
tsʰ	[2]察擦獺	[5]徹撤							
s	[2]殺設煞	[5]舌蝕							
k	[2]	[5]							
kʰ	[2]契{~丹}	[5]							
ŋ	[2]齧{咬}	[5]							
h	[2]瞎	[5]							
∅	[2]	[5]							
#aŋ									
p	[44]邦挷{拔}	[22]	[31]	[52]					
pʰ	[44]	[22]彭嘭棚龐	[31]	[52]冇					
m	[44]猛	[22]盲	[31]蜢	[52]					
f	[44]	[22]	[31]	[52]					
v	[44]	[22]橫轟	[31]	[52]					
t	[44]釘疔	[22]	[31]訂頂	[52]					
tʰ	[44]廳聽-	[22]	[31]	[52]					
n	[44]	[22]	[31]	[52]					
l	[44]冷	[22]零鈴	[31]	[52]另					
ts	[44]正爭踭{腳~：腳後跟}	[22]	[31]整	[52]正					
tsʰ	[44]橙成-	[22]	[31]	[52]鄭撐					
s	[44]聲生-	[22]城成-	[31]省-	[52]覡					
k	[44]耕庚更羹	[22]	[31]	[52]徑					
ŋ	[44]	[22]	[31]	[52] 硬					
h	[44]坑	[22]行	[31]	[52]					
∅	[44]罌	[22]	[31]	[52]					
#ak									
p	[2]百佰伯柏	[5]							
pʰ	[2]魄	[5] 白							
m	[2]脈	[5]麥							
f	[2]	[5]							
v	[2]	[5]劃							
t	[2]	[5]							
tʰ	[2]	[5]笛糴							
n	[2]	[5]搦							
l	[2]壢	[5]曆							
ts	[2]隻炙摘	[5]							
tsʰ	[2]尺拆	[5]							
s	[2]	[5]石							
k	[2]隔嗝格	[5]							
ŋ	[2]	[5]							
h	[2]嚇客	[5]核{~卵：睾丸}							
∅	[2]厄軛扼呃	[5]							
#eu									
m	[44]某畝	[22]謀	[31]	[52]牡					
f	[44]	[22]浮	[31]否	[52]埠					
t	[44]兜	[22]	[31]抖	[52]鬥					
tʰ	[44]偷	[22]頭投	[31]㰴{~氣：喘氣}	[52]豆逗透竇毒					
n	[44]	[22]	[31]紐	[52]					
l	[44]	[22]樓嘍撈	[31]摟縷簍耬髏	[52]漏陋瘺					
ts	[44]鄒諏	[22]	[31]走	[52]奏揍					
tsʰ	[44]驟	[22]	[31]	[52]湊					
s	[44]搜餿	[22]愁	[31]	[52]瘦					
ŋ	[44]偶耦	[22]	[31]	[52]					
k	[44]勾溝鉤	[22]	[31]狗苟	[52]夠媾					
kʰ	[44]摳	[22]	[31]口	[52]扣					
h	[44]後	[22]侯猴喉瘊	[31]口-	[52]候后厚					
∅	[44]區{姓}歐	[22]	[31]嘔毆	[52]漚熰{~火：燒火堆}					
#em									
t	[44]	[22]	[31]	[52]					
tʰ	[44]	[22]	[31]	[52]					
n	[44]	[22]	[31]	[52]					
l	[44]	[22]	[31]	[52]					
ts	[44]砧	[22]	[31]	[52]					
tsʰ	[44]	[22]岑	[31]	[52]					
s	[44]參{人~}森	[22]	[31]	[52]					
k	[44]	[22]	[31]	[52]					
kʰ	[44]	[22]	[31]	[52]					
h	[44]喊	[22]含	[31]	[52]					
∅	[44]	[22]	[31]	[52]					
#ep									
t	[2]	[5]							
tʰ	[2]	[5]							
n	[2]	[5]							
l	[2]粒	[5]							
ts	[2]	[5]							
tsʰ	[2]	[5]							
s	[2]澀	[5]							
k	[2]	[5]							
kʰ	[2]	[5]							
h	[2]	[5]							
∅	[2]	[5]							
#en									
p	[44]冰崩	[22]	[31]	[52]					
pʰ	[44]烹	[22]朋	[31]片	[52]					
m	[44]免勉{~強}	[22]盟萌閩螟銘	[31]敏憫勉{~勵}冕	[52]孟					
f	[44]	[22]宏弘衡	[31]	[52]					
t	[44]丁燈登	[22]	[31]等	[52]凳					
tʰ	[44]	[22]滕藤騰填	[31]挺-	[52]鄧					
n	[44]	[22]寧獰擰能	[31]	[52]乳					
l	[44]	[22]	[31]	[52]增贈憎					
ts	[44]爭猙掙錚曾{姓}	[22]	[31]	[52]					
tsʰ	[44]	[22]層曾	[31]	[52]蹭					
s	[44]生笙牲甥星僧	[22]	[31]省	[52]擤					
k	[44]根跟	[22]	[31]梗	[52]更					
kʰ	[44]亨	[22]	[31]肯	[52]					
ŋ	[44]	[22]凝	[31]	[52]					
h	[44]很狠痕哼	[22]縆	[31]肯-	[52]恨					
∅	[44]恩嗯	[22]	[31]	[52]					
#et									
p	[2]北	[5]							
pʰ	[2]弼撇	[5]帛別							
m	[2]覓陌	[5]蜜密默墨滅篾							
f	[2]	[5]或獲							
v	[2]域	[5]							
t	[2]德得	[5]							
tʰ	[2]踢	[5]							
n	[2]	[5]							
l	[2]	[5]							
ts	[2]則側	[5]							
tsʰ	[2]測策	[5]澤擇宅賊							
s	[2]色塞虱	[5]食蟄蝕實							
k	[2]革結-	[5]							
kʰ	[2]克刻咳尅	[5]							
ŋ	[2]	[5]							
h	[2]黑嘿	[5]核							
∅	[2]	[5]							
#əm									
ts	[44]針	[22]	[31]枕	[52]					
tsʰ	[44]深琛	[22]沉	[31]	[52]					
s	[44]沈審瀋	[22]	[31]	[52]甚					
#əp									
ts	[2]執	[5]							
tsʰ	[2]	[5]							
s	[2]濕	[5]十拾什							
#ən									
ts	[44]真貞偵珍疹征蒸	[22]	[31]整鎮振震拯軫	[52]正政證症					
tsʰ	[44]稱郴	[22]陳呈程澄塵	[31]逞	[52]陣陳稱秤					
s	[44]身申伸娠乘{~法}升昇	[22]神辰晨臣承丞成{~功}誠	[31]	[52]盛腎趁聖勝乘{~機}剩					
#ət									
ts	[2]只織	[5]							
tsʰ	[2]拭	[5]直值植							
s	[2]式室適	[5]食							
#ia									
m	[44]	[22]	[31]	[52]					
t	[44]爹嗲	[22]	[31]	[52]					
ts	[44]嗟	[22]	[31]姐	[52]					
tsʰ	[44]	[22]佘斜-	[31]且	[52]謝榭笡					
s	[44]些	[22]邪斜	[31]寫	[52]瀉卸					
k	[44]	[22]	[31]	[52]					
kʰ	[44]	[22]	[31]	[52]					
ŋ	[44]惹	[22]	[31]	[52]					
∅	[44]也野	[22]爺	[31]冶野	[52]夜					
#iai									
k	[44]階皆	[22]	[31]解	[52]介界戒誡					
∅	[44]挨	[22]椰	[31]	[52]					
#iau									
p	[44]錶	[22]	[31]表婊裱	[52]					
pʰ	[44]標鏢漂{~流}飄瓢彪	[22]縹薸{~浮}	[31]剖	[52]票漂{~白粉}鰾泡-					
m	[44]	[22]苗描瞄錨	[31]秒貿眇渺淼	[52]廟貓妙茂謬					
t	[44]刁叨貂雕鳥-	[22]	[31]鳥	[52]吊調					
tʰ	[44]挑	[22]調	[31]	[52]跳糶佻調{曲~}					
l	[44]撩蹽	[22]遼撩	[31]了	[52]廖料					
ts	[44]焦樵瞧蕉礁椒	[22]	[31]剿	[52]蘸					
tsʰ	[44]	[22]樵-	[31]悄	[52]俏噍{嚼}					
s	[44]肖{姓}消宵硝銷簫	[22]	[31]小	[52]笑嘯鞘肖					
k	[44]嬌驕	[22]餃	[31]繳矯	[52]叫					
kʰ	[44]	[22]喬橋僑蕎	[31]	[52]轎竅翹					
ŋ	[44]鳥	[22]堯饒	[31]繞	[52]尿					
h	[44]囂梟枵	[22]嬈	[31]曉	[52]翹-					
∅	[44]夭妖要腰么吆	[22]搖瑤謠窯姚	[31]擾舀	[52]耀鷂要					
#iam									
t	[44]掂{拿}	[22]	[31]點	[52]店惦墊					
tʰ	[44]添	[22]甜	[31]舔恬	[52]掭{條~：有條理有始終}					
l	[44]廉簾鐮	[22]	[31]斂	[52]僉殮斂					
ts	[44]尖櫼{~ e31:楔子}	[22]	[31]蘸	[52]					
tsʰ	[44]簽	[22]	[31]	[52]漸暫					
s	[44]	[22]纖殲潛暹	[31]	[52]					
k	[44]兼蒹	[22]	[31]檢撿	[52]劍					
kʰ	[44]謙	[22]鉗嵌扲	[31]	[52]欠儉					
ŋ	[44]拈輦攆	[22]粘嚴釅鯰	[31]染儼	[52]念驗					
h	[44]	[22]嫌	[31]險	[52]					
∅	[44]奄淹俺閹	[22]鹽炎閻簷	[31]掩	[52]豔厭焱焰					
#iap									
t	[2]貼	[5]							
tʰ	[2]帖貼	[5]碟疊							
l	[2]	[5]臘{火舌冒出}							
ts	[2]妾接	[5]							
tsʰ	[2]竊	[5]捷婕睫							
s	[2]	[5]							
k	[2]劫	[5]夾							
kʰ	[2]怯洽歉	[5]							
ŋ	[2]捏靨聶攝攝鑷躡囁{閃}	[5]業							
h	[2]脅	[5]協俠狹峽脅{威~}							
∅	[2]凹	[5]							
#ian									
k	[44]堅奸肩娟絹捐間	[22]	[31]澗簡鐧柬諫卷倦	[52]眷謄見建					
kʰ	[44]牽圈	[22]權拳乾顴	[31]犬遣譴倦	[52]勸件鍵券					
ŋ	[44]	[22]年言顏原源元{~旦}	[31]眼	[52]彥諺願雁					
h	[44]掀軒	[22]賢玄弦眩懸	[31]顯憲	[52]現獻					
∅	[44]煙演冤援淵燕	[22]元{銀~}員園圓袁轅延筵然燃沿鉛緣焉	[31]遠	[52]燕宴怨院縣硯堰咽					
#iat									
k	[2]決訣玦炔結潔蕨	[5]							
kʰ	[2]缺闕欮	[5]傑							
ŋ	[2]臬鎳訖	[5]月熱							
h	[2]血歇蠍	[5]穴							
∅	[2]乙	[5]越粵曰悅							
#iaŋ									
p	[44]	[22]	[31]丙炳餅	[52]柄					
pʰ	[44]	[22]瓶平坪	[31]	[52]病					
m	[44]盲-	[22]名明{清~節}	[31]	[52]命					
t	[44]	[22]	[31]	[52]					
tʰ	[44]	[22]	[31]艇挺	[52]					
l	[44]嶺領	[22]	[31]嶺領	[52]靚{漂亮}					
ts	[44]精	[22]	[31]井	[52]					
tsʰ	[44]青清{~明節}	[22]晴	[31]請	[52]淨					
s	[44]腥	[22]	[31]醒	[52]姓性-					
k	[44]驚	[22]	[31]頸	[52]鏡					
kʰ	[44]輕-	[22]擎	[31]	[52]儆					
ŋ	[44]	[22]迎	[31]	[52]					
h	[44]	[22]	[31]	[52]					
∅	[44]	[22]營贏	[31]映影	[52]					
#iak									
p	[2]壁	[5]							
pʰ	[2]劈	[5]							
m	[2]	[5]							
t	[2]	[5]							
tʰ	[2]	[5]							
l	[2]	[5]叻{很能幹，本領高}							
ts	[2]跡-	[5]							
tsʰ	[2]	[5]席							
s	[2]錫惜-{疼愛}	[5]							
k	[2]憿{快}	[5]							
kʰ	[2]劇	[5]屐							
ŋ	[2]額	[5]逆							
h	[2]	[5]							
∅	[2]	[5]曳{~手：招手}							
#ie									
∅	[44]	[22]	[31]	[52]					
#ieu（eu）									
k	[44]	[22]	[31]	[52]					
kʰ	[44]	[22]	[31]	[52]					
#ien									
p	[44]邊鞭辮	[22]	[31]扁匾蝙	[52]變					
pʰ	[44]偏篇編遍蹁	[22]便	[31]片汴	[52]騙辨辯便					
m	[44]	[22]棉綿	[31]緬靦	[52]面麵					
t	[44]顛癲	[22]	[31]典碘觍	[52]					
tʰ	[44]天	[22]田填	[31]	[52]電佃奠殿					
l	[44]臉	[22]連漣鰱聯	[31]哯{吐出}	[52]戀鏈練煉楝					
ts	[44]煎拴栓荃詮痊	[22]	[31]剪翦	[52]箭薦濺					
tsʰ	[44]千遷躚	[22]前錢全	[31]淺	[52]賤箋棧餞					
s	[44]先鮮仙宣喧	[22]旋璿	[31]選羨癬	[52]線線					
#iet									
p	[2]蹩憋鱉	[5]							
pʰ	[2]撇	[5]別							
m	[2]	[5]							
t	[2]	[5]							
tʰ	[2]鐵	[5]							
l	[2]	[5]列裂咧							
ts	[2]節	[5]							
tsʰ	[2]切	[5]絕截							
s	[2]雪	[5]							
#iu									
t	[44]丟	[22]	[31]	[52]					
l	[44]	[22]劉瀏留瘤流	[31]柳	[52]溜					
ts	[44]揪啾瞅	[22]	[31]酒	[52]皺					
tsʰ	[44]秋鞦	[22]泅	[31]	[52]就袖宙					
s	[44]修羞	[22]囚	[31]	[52]秀繡鏽					
k	[44]	[22]	[31]九久玖樞韭	[52]灸疚究咎救					
kʰ	[44]臼舅坵{一~田：一塊田}	[22]求球俅	[31]	[52]舊					
ŋ	[44]	[22]牛	[31]扭妞	[52]					
h	[44]休	[22]	[31]	[52]					
∅	[44]友有	[22]由郵油柔揉尤憂優猶攸悠遊幽酉	[31]	[52]右佑柚釉鼬誘莠又幼					
#im									
l	[44]檁	[22]林淋琳臨	[31]凜	[52]					
ts	[44]	[22]	[31]	[52]浸					
tsʰ	[44]侵	[22]尋	[31]寢	[52]					
s	[44]心芯	[22]	[31]沁	[52]囟					
k	[44]今金	[22]	[31]錦	[52]禁					
kʰ	[44]襟欽妗	[22]禽擒琴	[31]	[52]撳					
ŋ	[44]	[22]淫	[31]	[52]任					
h	[44]鑫歆	[22]	[31]	[52]					
∅	[44]音陰蔭	[22]	[31]飲	[52]任賃					
#ip									
l	[2]	[5]立							
ts	[2]	[5]							
tsʰ	[2]	[5]							
s	[2]	[5]習集							
k	[2]急	[5]							
kʰ	[2]吸級	[5]及							
ŋ	[2]	[5]入							
h	[2]熻{燜}	[5]							
∅	[2]邑	[5]							
#in									
p	[44]兵賓濱殯鬢彬斌	[22]	[31]秉	[52]並併					
pʰ	[44]拼	[22]平評抨頻萍馮屏憑瓶	[31]品聘	[52]姘					
m	[44]	[22]民眠抿岷明鳴	[31]	[52]命					
f	[44]	[22]	[31]	[52]					
t	[44]	[22]	[31]頂鼎	[52]					
tʰ	[44]廳	[22]亭婷停廷庭蜒	[31]挺	[52]定澱錠聽					
n	[44]	[22]	[31]	[52]吝藺					
l	[44]鱗	[22]粦憐鄰菱棱陵靈伶玲翎	[31]	[52]令					
ts	[44]津精睛蜻晶	[22]	[31]晉	[52]進					
tsʰ	[44]親清	[22]情秦	[31]	[52]盡靜靖					
s	[44]新薪辛鋅	[22]	[31]迅訊	[52]信性					
k	[44]斤京鯨巾筋莖經脛根	[22]	[31]景磬警	[52]勁敬竟境兢					
kʰ	[44]輕卿氫	[22]	[31]	[52]慶磬罄					
ŋ	[44]	[22]人	[31]	[52]認					
h	[44]興	[22]形刑型	[31]釁興	[52]興					
∅	[44]英因茵姻殷嬰櫻纓鷹暈	[22]仁仍盈蠅螢瑩營	[31]引蚓孕穎	[52]印應					
#it									
p	[2]筆碧必畢迫逼璧	[5]							
pʰ	[2]匹辟僻聞避	[5]							
m	[2]	[5]							
f	[2]	[5]							
t	[2]的滴嫡	[5]滴{~~子:一點點}							
tʰ	[2]狄逖惕剔	[5]敵特迪							
n	[2]	[5]溺匿							
l	[2]	[5]勒力肋歷栗律							
ts	[2]責積即鯽唧脊	[5]							
tsʰ	[2]七柒漆膝戚	[5]疾							
s	[2]昔惜息媳熄悉蟋析蜥晰	[5]席{出~}藉籍							
k	[2]吉桔擊激戟	[5]							
kʰ	[2]亟極	[5]							
ŋ	[2]日	[5]							
h	[2]隙	[5]							
∅	[2]一壹噎抑益憶	[5]亦逸翼譯液腋役殳疫							
#io									
ts	[44]	[22]	[31]	[52]					
tsʰ	[44]	[22]	[31]	[52]					
s	[44]	[22]	[31]	[52]					
k	[44]	[22]	[31]	[52]					
kʰ	[44]	[22]茄痂	[31]	[52]					
