声母	韵母	调类	音节(IPA)	字
k	am	阴上	kam˥˩	感 敢(文) 𥴊(替)
k	am	阴去	kam˩˩	監 鑑
k	am	阳平	kam˩˧	含(白)
kʰ	am	阴平	kʰam˥˥	坎 堪 龕
kʰ	am	阴上	kʰam˥˩	肷(替) 歁(替)
kʰ	am	阴去	kʰam˩˩	磡(替) □(替) 崁(替)
kʰ	am	阳去	kʰam˧˧	搕(替) 閤
g	am	阴上	gam˥˩	𡂜(替)
g	am	阳平	gam˩˧	癌
g	am	阳去	gam˧˧	儑(替)
h	am	阴平	ham˥˥	蚶 𦜆(替) 泛(替)
h	am	阴上	ham˥˩	撼
h	am	阳平	ham˩˧	含(文) 涵(文) 鹹(文) 銜(文)
h	am	阳去	ham˧˧	梵 餡(文) 陷
	am	阴平	am˥˥	庵 𧌄(替) 掩(替) 盦(替)
	am	阴上	am˥˩	飲(白) 唵(替)
	am	阴去	am˩˩	暗
	am	阳平	am˩˧	□ 涵(白)
	am	阳去	am˧˧	頷
p	an	阴平	pan˥˥	扳 斑 班 搬(文) 般(文)
p	an	阴上	pan˥˩	板 舨 闆 反
p	an	阳平	pan˩˧	瓶(白)
p	an	阳去	pan˧˧	扮 瓣(文) 辦
pʰ	an	阴平	pʰan˥˥	潘(文)
pʰ	an	阴去	pʰan˩˩	判(文)
b	an	阴平	ban˥˥	屘(替)
b	an	阴上	ban˥˩	挽 饅
b	an	阳平	ban˩˧	蠻 頑
b	an	阳去	ban˧˧	萬 慢 瓣(白)
t	an	阴平	tan˥˥	丹 單(文)
t	an	阴上	tan˥˩	等(白)
t	an	阴去	tan˩˩	蛋 旦(文) 掞(替)
t	an	阳平	tan˩˧	彈(文) 陳(白) 𦗀(替)
t	an	阳去	tan˧˧	扂
tʰ	an	阴平	tʰan˥˥	蟶 攤(文)
tʰ	an	阴上	tʰan˥˩	毯
tʰ	an	阴去	tʰan˩˩	趁 炭(文)
tʰ	an	阳平	tʰan˩˧	彈
l	an	阴平	lan˥˥	蓮
l	an	阴上	lan˥˩	懶(文) 咱
l	an	阳平	lan˩˧	欄(文) 攔(文) 鱗(白) 零(白) 㔂(替) 鳞 蘭 綾
l	an	阳去	lan˧˧	亂 爛(文) 𡳞(替)
ts	an	阴平	tsan˥˥	曾 罾(替) 層(替)
ts	an	阴上	tsan˥˩	盞(文) 䈄(替) 指
ts	an	阴去	tsan˩˩	贊 棧
ts	an	阳平	tsan˩˧	層 殘 前
tsʰ	an	阴平	tsʰan˥˥	呻 親 餐
tsʰ	an	阴去	tsʰan˩˩	藏(替)
tsʰ	an	阳平	tsʰan˩˧	塍(替)
s	an	阴平	san˥˥	舢 山(文) 星(白) 鉎(替)
s	an	阴上	san˥˩	產
k	an	阴平	kan˥˥	干 艱 橄 肝(文) 間(文) 乾(文) 竿(文) 矸(替) 關(替) 奸
k	an	阴上	kan˥˩	簡 𡢃
k	an	阴去	kan˩˩	幹
kʰ	an	阴平	kʰan˥˥	牽
kʰ	an	阴去	kʰan˩˩	看(文)
g	an	阴上	gan˥˩	眼(文)
g	an	阴去	gan˩˩	凝
g	an	阳平	gan˩˧	顏 言(白)
g	an	阳去	gan˧˧	雁 岸(文)
h	an	阴平	han˥˥	蕃
h	an	阴上	han˥˩	罕
h	an	阴去	han˩˩	漢
h	an	阳平	han˩˧	樊 閒(文) 寒(文) 還
h	an	阳去	han˧˧	旱(文) 汗(文)
	an	阴平	an˥˥	安(文) 鞍(文)
	an	阴上	an˥˩	俺
	an	阴去	an˩˩	按 晏(文)
	an	阳平	an˩˧	絚(替)
p	aŋ	阴平	paŋ˥˥	幫 邦 枋 崩(白)
p	aŋ	阴去	paŋ˩˩	放(白)
p	aŋ	阳平	paŋ˩˧	龐 馮(白) 縫(白) 房(白)
p	aŋ	阳去	paŋ˧˧	棒
pʰ	aŋ	阴平	pʰaŋ˥˥	芳(白) 蜂(白)
pʰ	aŋ	阴上	pʰaŋ˥˩	紡(白) 𪌆(替) 麭
pʰ	aŋ	阳平	pʰaŋ˩˧	帆 航 捧(白)
pʰ	aŋ	阳去	pʰaŋ˧˧	縫
b	aŋ	阴上	baŋ˥˩	蠓 艋
b	aŋ	阳平	baŋ˩˧	忙 芒 茫
b	aŋ	阳去	baŋ˧˧	墓 網(白) 夢(白) 望(白)
t	aŋ	阴平	taŋ˥˥	東(白) 冬(白) 苳
t	aŋ	阴上	taŋ˥˩	董(白)
t	aŋ	阴去	taŋ˩˩	凍(白)
t	aŋ	阳平	taŋ˩˧	筒 茼 同(白) 銅(白)
t	aŋ	阳去	taŋ˧˧	重(白) 動(白)
tʰ	aŋ	阴平	tʰaŋ˥˥	窗(白) 通(白)
tʰ	aŋ	阴上	tʰaŋ˥˩	桶(白)
tʰ	aŋ	阴去	tʰaŋ˩˩	捅(替) 簞
tʰ	aŋ	阳平	tʰaŋ˩˧	蟲(白) 鶶
tʰ	aŋ	阳去	tʰaŋ˧˧	筒 筩
l	aŋ	阴平	laŋ˥˥	熥
l	aŋ	阴上	laŋ˥˩	籠
l	aŋ	阴去	laŋ˩˩	徿(替)
l	aŋ	阳平	laŋ˩˧	蟲 膿(白) 聾(白) 儂 人
l	aŋ	阳去	laŋ˧˧	弄 籠
ts	aŋ	阴平	tsaŋ˥˥	棕 鯮
ts	aŋ	阴上	tsaŋ˥˩	總(白)
ts	aŋ	阴去	tsaŋ˩˩	粽(白)
ts	aŋ	阳平	tsaŋ˩˧	欉
tsʰ	aŋ	阴平	tsʰaŋ˥˥	娼 葱(白) 璁 蟌
tsʰ	aŋ	阴上	tsʰaŋ˥˩	□
tsʰ	aŋ	阴去	tsʰaŋ˩˩	藏 氅(替)
tsʰ	aŋ	阳平	tsʰaŋ˩˧	□
s	aŋ	阴平	saŋ˥˥	鬆(白)
s	aŋ	阴去	saŋ˩˩	送(白)
k	aŋ	阴平	kaŋ˥˥	江 公(白) 工(白) 蚣(白)
k	aŋ	阴上	kaŋ˥˩	港 講(文) 犅
k	aŋ	阴去	kaŋ˩˩	降
k	aŋ	阳平	kaŋ˩˧	仝(替)
k	aŋ	阳去	kaŋ˧˧	共(白)
kʰ	aŋ	阴平	kʰaŋ˥˥	空(白)
kʰ	aŋ	阴上	kʰaŋ˥˩	孔(白)
kʰ	aŋ	阴去	kʰaŋ˩˩	扻(替)
h	aŋ	阴平	haŋ˥˥	魴 烘(白)
h	aŋ	阴上	haŋ˥˩	嚇(替)
h	aŋ	阴去	haŋ˩˩	放(替)
h	aŋ	阳平	haŋ˩˧	行 降
h	aŋ	阳去	haŋ˧˧	項 巷
	aŋ	阴平	aŋ˥˥	尪 翁(白) 尫
	aŋ	阴去	aŋ˩˩	甕 瓮 盎 齆
	aŋ	阳平	aŋ˩˧	洪(白) 紅(白)
	aŋ	阳去	aŋ˧˧	聬(替)
t	ap	阴入	tap˧	答
l	ap	阴入	lap˧	捺(替)
l	ap	阳入	lap˥	納 䟜(替)
ts	ap	阳入	tsap˥	什 雜 十(白) 嘖(替)
tsʰ	ap	阴入	tsʰap˧	插
tsʰ	ap	阳入	tsʰap˥	嘈(替)
s	ap	阴入	sap˧	圾 雪(替) 蝨
s	ap	阳入	sap˥	霎(替)
k	ap	阴入	kap˧	合 蛤
kʰ	ap	阴入	kʰap˧	磕
g	ap	阴入	gap˧	噞(替)
h	ap	阳入	hap˥	合(文)
	ap	阴入	ap˧	壓
	ap	阳入	ap˥	呀
p	at	阴入	pat˧	八(文) 捌(替)
p	at	阳入	pat˥	別(白)
b	at	阳入	bat˥	密(白)
t	at	阳入	tat˥	笛 值(白) 笪
tʰ	at	阴入	tʰat˧	踢 蹋 窒(白)
l	at	阳入	lat˥	力(白) 栗(白) 癧(替)
ts	at	阴入	tsat˧	節(白)
ts	at	阳入	tsat˥	賊(白) 實
tsʰ	at	阴入	tsʰat˧	察 漆(白) 軸(替) 擦
tsʰ	at	阳入	tsʰat˥	賊(白)
s	at	阴入	sat˧	薩
k	at	阴入	kat˧	刈 葛(文) 割(文) 結(白)
kʰ	at	阴入	kʰat˧	渴(文) 𣁳
h	at	阴入	hat˧	嚇 喝(文)
h	at	阳入	hat˥	乏 𤸎(替) 核
	at	阴入	at˧	握 楬(替) 遏(替) 閼 扼
p	ak	阴入	pak˧	剝 幅 北(白) 腹(白) 嗶
p	ak	阳入	pak˥	縛
pʰ	ak	阴入	pʰak˧	趴(替) 覆
pʰ	ak	阳入	pʰak˥	曝(白)
b	ak	阴入	bak˧	沐(替)
b	ak	阳入	bak˥	木(白) 目(白) 墨(白)
t	ak	阴入	tak˧	𢬳(替) 豛(替) □(替)
t	ak	阳入	tak˥	逐 碡 獨(白) 擿(替)
tʰ	ak	阳入	tʰak˥	讀(白)
l	ak	阴入	lak˧	落(替) 轆(替)
l	ak	阳入	lak˥	磟 六(白) 搦 掿
ts	ak	阴入	tsak˧	齪
ts	ak	阳入	tsak˥	咂(替)
tsʰ	ak	阳入	tsʰak˥	鑿
s	ak	阴入	sak˧	搡(替)
k	ak	阴入	kak˧	角 覺 桷(替) 埆(替)
k	ak	阳入	kak˥	□ 确
kʰ	ak	阴入	kʰak˧	確 殼 麴 喀(替) 𣁳
g	ak	阳入	gak˥	樂 嶽 獄
h	ak	阴入	hak˧	蓄
h	ak	阳入	hak˥	學(文) 礐(替)
	ak	阴入	ak˧	齷 握(白) 沃(白)
p	aʔ	阴入	paʔ˧	百(白) 叭
pʰ	aʔ	阴入	pʰaʔ˧	拍
b	aʔ	阴入	baʔ˧	肉(替)
t	aʔ	阴入	taʔ˧	貼 搭 踏 答(白) 呾(替) 他
t	aʔ	阳入	taʔ˥	踏
tʰ	aʔ	阴入	tʰaʔ˧	塔
tʰ	aʔ	阳入	tʰaʔ˥	疊(白)
l	aʔ	阴入	laʔ˧	垃
l	aʔ	阳入	laʔ˥	辣 蠟 曆(白) 鱲(替) 獵
ts	aʔ	阴入	tsaʔ˧	紮 扎
tsʰ	aʔ	阴入	tsʰaʔ˧	插
s	aʔ	阴入	saʔ˧	喋(替)
s	aʔ	阳入	saʔ˥	煠(替)
k	aʔ	阴入	kaʔ˧	甲 舺 胛 袷 佮 鴿
kʰ	aʔ	阴入	kʰaʔ˧	較(替) 𡱅(替) 籱(替)
kʰ	aʔ	阳入	kʰaʔ˥	搕 卡
h	aʔ	阴入	haʔ˧	哈(替) 暍(替)
h	aʔ	阳入	haʔ˥	合(白) 箬(替)
	aʔ	阴入	aʔ˧	鴨 押
	aʔ	阳入	aʔ˥	盒 合(白)
s	aiʔ	阴入	saiʔ˧	使
h	aiʔ	阳入	haiʔ˥	嗨(文)
b	auʔ	阳入	bauʔ˥	貿
t	auʔ	阴入	tauʔ˧	罩 沓(替)
l	auʔ	阳入	lauʔ˥	落(替)
k	auʔ	阴入	kauʔ˧	餄 𫏶(替)
t	ia	阴平	tia˥˥	爹
l	ia	阴平	lia˥˥	遮(替)
ts	ia	阴平	tsia˥˥	遮
ts	ia	阴上	tsia˥˩	者 姐
ts	ia	阴去	tsia˩˩	蔗 鷓 炙(替)
ts	ia	阳平	tsia˩˧	這(替)
ts	ia	阳去	tsia˧˧	謝
tsʰ	ia	阴平	tsʰia˥˥	奢 車(白)
tsʰ	ia	阴上	tsʰia˥˩	且
tsʰ	ia	阳平	tsʰia˩˧	斜
s	ia	阴平	sia˥˥	奢 賒
s	ia	阴上	sia˥˩	寫
s	ia	阴去	sia˩˩	瀉 舍
s	ia	阳平	sia˩˧	佘 蛇(文)
s	ia	阳去	sia˧˧	社 謝 射 麝
dz	ia	阴上	dzia˥˩	若
k	ia	阴平	kia˥˥	迦
k	ia	阴去	kia˩˩	寄
k	ia	阳平	kia˩˧	攑(替)
k	ia	阳去	kia˧˧	崎
kʰ	ia	阴平	kʰia˥˥	奇
kʰ	ia	阳平	kʰia˩˧	騎(白)
kʰ	ia	阳去	kʰia˧˧	徛(替)
g	ia	阴去	gia˩˩	抅(替)
g	ia	阳平	gia˩˧	鵝(白) 蜈(白) 䗁(替)
h	ia	阴平	hia˥˥	靴 𣟵(替) 囂(替) 桸
h	ia	阳平	hia˩˧	遐(替)
h	ia	阳去	hia˧˧	艾(白) 瓦(白) 蟻(白)
	ia	阴平	ia˥˥	耶
	ia	阴上	ia˥˩	野
	ia	阴去	ia˩˩	厭
	ia	阳平	ia˩˧	爺 椰
	ia	阳去	ia˧˧	也 夜 掖(替)
p	iau	阴上	piau˥˩	婊 表(文)
pʰ	iau	阴平	pʰiau˥˥	標
pʰ	iau	阴去	pʰiau˩˩	票(文)
pʰ	iau	阳平	pʰiau˩˧	嫖
b	iau	阳平	biau˩˧	貓(文)
b	iau	阳去	biau˧˧	廟(文)
t	iau	阴平	tiau˥˥	雕 凋
t	iau	阴去	tiau˩˩	吊 弔 釣(文)
t	iau	阳平	tiau˩˧	調 朝 條 潮(文) 牢
t	iau	阳去	tiau˧˧	調 趙(文)
tʰ	iau	阴平	tʰiau˥˥	挑(文) 刁
tʰ	iau	阴去	tʰiau˩˩	跳 糶(文)
tʰ	iau	阳平	tʰiau˩˧	鮡
tʰ	iau	阳去	tʰiau˧˧	柱(白) 𤶃(替)
l	iau	阴上	liau˥˩	擾 了
l	iau	阳平	liau˩˧	膋 寮 僚 療 遼 聊 鐐(替) 皺(替) 蹽(替) 樓 橑
l	iau	阳去	liau˧˧	尥 料 廖
ts	iau	阴平	tsiau˥˥	蕉(文) 招(文) 紹(替)
ts	iau	阴上	tsiau˥˩	鳥(白)
ts	iau	阴去	tsiau˩˩	照(文)
ts	iau	阳平	tsiau˩˧	褿(替)
tsʰ	iau	阴平	tsʰiau˥˥	𢴿(替) 超 搜
tsʰ	iau	阴去	tsʰiau˩˩	笑(文) 蹻(替)
tsʰ	iau	阳平	tsʰiau˩˧	嘺(替) 撨(替)
s	iau	阴平	siau˥˥	蕭 簫 消 銷 燒(文)
s	iau	阴上	siau˥˩	小(文) 少(文) 痟(替)
s	iau	阴去	siau˩˩	少 笑(文) 數(白) 邵
s	iau	阳平	siau˩˧	潲(替)
s	iau	阳去	siau˧˧	紹
dz	iau	阴上	dziau˥˩	爪
k	iau	阴上	kiau˥˩	攪 九(替) 餃 儌
k	iau	阴去	kiau˩˩	叫(文)
k	iau	阳平	kiau˩˧	橋(文) 僑
k	iau	阳去	kiau˧˧	轎(文) 譙(替) 撬(替)
kʰ	iau	阴平	kʰiau˥˥	蹺 蕎(替) 蹻(替)
kʰ	iau	阴上	kʰiau˥˩	巧(替)
kʰ	iau	阴去	kʰiau˩˩	竅
g	iau	阳平	giau˩˧	鐃(替)
h	iau	阴平	hiau˥˥	𢳚 僥(替) 梟
h	iau	阴上	hiau˥˩	曉
h	iau	阳平	hiau˩˧	嬲(替)
	iau	阴平	iau˥˥	妖 腰(文) 么(文) 枵(替)
	iau	阴上	iau˥˩	夭
	iau	阴去	iau˩˩	要
	iau	阳平	iau˩˧	瑤 姚 窰(文) 搖(文)
t	iam	阴平	tiam˥˥	砧 敁(替)
t	iam	阴上	tiam˥˩	點
t	iam	阴去	tiam˩˩	店
t	iam	阳平	tiam˩˧	沉(白)
t	iam	阳去	tiam˧˧	恬(替) 坫
tʰ	iam	阴平	tʰiam˥˥	添(文)
tʰ	iam	阴上	tʰiam˥˩	悿(替)
tʰ	iam	阳去	tʰiam˧˧	墊
l	iam	阴上	liam˥˩	染(文)
l	iam	阴去	liam˩˩	捻(替)
l	iam	阳平	liam˩˧	黏 鐮(文) 簾(文) □
l	iam	阳去	liam˧˧	念 唸
ts	iam	阴平	tsiam˥˥	針 詹 尖
ts	iam	阴去	tsiam˩˩	佔
ts	iam	阳平	tsiam˩˧	簷(文)
ts	iam	阳去	tsiam˧˧	暫 漸
tsʰ	iam	阴平	tsʰiam˥˥	簽 籤
tsʰ	iam	阴上	tsʰiam˥˩	鑯(替) 攕(替)
tsʰ	iam	阳去	tsʰiam˧˧	鋟
s	iam	阴平	siam˥˥	辛(白) 䀐(替) 仙(替)
s	iam	阴上	siam˥˩	閃
s	iam	阴去	siam˩˩	滲
s	iam	阳平	siam˩˧	尋 簷(白)
dz	iam	阴上	dziam˥˩	染
k	iam	阴平	kiam˥˥	兼
k	iam	阴上	kiam˥˩	減
k	iam	阴去	kiam˩˩	劍
k	iam	阳平	kiam˩˧	鹹(白)
kʰ	iam	阴平	kʰiam˥˥	謙 歉
kʰ	iam	阴去	kʰiam˩˩	欠
kʰ	iam	阳平	kʰiam˩˧	鉗(文)
kʰ	iam	阳去	kʰiam˧˧	儉
g	iam	阴上	giam˥˩	𡂜(替)
g	iam	阳平	giam˩˧	嚴 閻
g	iam	阳去	giam˧˧	驗
h	iam	阴平	hiam˥˥	杴(替) 薟(替)
h	iam	阴上	hiam˥˩	險
h	iam	阴去	hiam˩˩	喊
	iam	阴平	iam˥˥	閹 陰(白)
	iam	阳平	iam˩˧	鹽
	iam	阳去	iam˧˧	炎
p	ian	阴平	pian˥˥	邊(文) 編(文) 鞭(文)
p	ian	阴上	pian˥˩	扁 諞(替)
p	ian	阴去	pian˩˩	變(文) 鬢(白)
p	ian	阳去	pian˧˧	便 辯
pʰ	ian	阴平	pʰian˥˥	篇(文) 偏(文) 編(文)
pʰ	ian	阴上	pʰian˥˩	扁 揙
pʰ	ian	阴去	pʰian˩˩	遍 騙 片(文)
b	ian	阴上	bian˥˩	免 鮸 勉
b	ian	阳平	bian˩˧	眠(文) 棉(文) 綿(文)
b	ian	阳去	bian˧˧	面(文) 麵(文)
t	ian	阴平	tian˥˥	顛 癲
t	ian	阴上	tian˥˩	展 典
t	ian	阳平	tian˩˧	纏(文) 甜(文) 田(文)
t	ian	阳去	tian˧˧	電
tʰ	ian	阴平	tʰian˥˥	天(文)
tʰ	ian	阴上	tʰian˥˩	搌(替)
l	ian	阴平	lian˥˥	蔫(替)
l	ian	阴上	lian˥˩	蓮(替) 輦(替)
l	ian	阳平	lian˩˧	然 槤 鰱 憐 年(文) 燃(文) 蓮(文) 連(文) 聯
l	ian	阳去	lian˧˧	練 鍊
ts	ian	阴平	tsian˥˥	煎(文)
ts	ian	阴上	tsian˥˩	剪
ts	ian	阴去	tsian˩˩	荐 箭(文)
ts	ian	阳平	tsian˩˧	前 錢(文)
ts	ian	阳去	tsian˧˧	揃(替)
tsʰ	ian	阴平	tsʰian˥˥	千(文) 韆
tsʰ	ian	阴上	tsʰian˥˩	淺
tsʰ	ian	阳平	tsʰian˩˧	延(白)
s	ian	阴平	sian˥˥	身 仙 先(文) 鉎(替) 珊
s	ian	阴上	sian˥˩	仙(替) 癬
