#参考资料 《广德汤村话语音研究》
#调值 [1] 阴平53 [2] 阳平55 [3] 上声323 [5] 去声41

#ɿ
Ø [1] 鸦丫桠鸭押压 [2] 芽牙□{~~好：正正好}衙□{装~：假装}涯崖 [3] 雅哑 [5] 亚轧{~棉花}

#ua
k [1] 呱瓜刮□{老~：乌鸦} [2] □{：聊天} [3] 寡□{~话：废话}剐□{~蛋：毛蛋} [5] 掛卦挂
kʰ [1] 夸□{~皮：剥皮} [3] 垮侉□{：胖} [5] □{一~：一串挎}
x [1] 花 [2] 划滑猾{~稽} [5] 化画话
Ø [1] 蛙挖哇袜娲 [2] 娃 [3] 瓦搲□{：放牛时让牛停止前进} [5] 洼□{山~：山坳}

#ʮa
ts [1] 抓 [3] 爪{鸡~子} [5] □{手冻~了：手冻变形了}
s [1] 唰刷□{~一耳朵：扇耳光} [3] 耍
z [3] □{：作呕} [5] □{：大声叫喊}

#ɚ
Ø [2] 儿 [3] 而耳饵 [5] 二贰日{~本}

#e
p [1] 百北柏 [2] 伯白
pʰ [1] 迫魄
m [1] 墨默麦脉
t [1] 德
l [1] 列肋裂烈勒{~紧腰带}
ts [1] 遮责{~任}浙窄摘折{打~} [2] 哲泽择则宅 [3] 者
tsʰ [1] 车拆策册辙撤侧测厕{~所} [3] 扯
s [1] 奢赊涩色啬虱塞 [2] 蛇舌折{~本}佘{姓} [3] 舍{~得} [5] 社射麝赦涉设舍{宿~}
k [1] 胳{~膀子}格革隔虼{~蚤} [2] 疙□{~巴：锅巴} [3] 给□{~肉：割肉} [5] □{~东西：锯东西}
kʰ [1] 刻克客 [2] 蛤{~蟆} [5] □{：节约}
ŋ [1] 额
x [1] 黑吓{~一跳}

#ie
p [1] 鳖憋 [2] 别 [3] 瘪秕{~子} [5] □{~过来：改过来}
pʰ [1] 撇 [3] □{~断：折断}
m [1] 灭篾 [3] □{~断：折断}
t [1] 爹 [2] 叠碟牒蝶谍
tʰ [1] 帖铁贴特
l [1] 咧{大大~~}猎劣捏聂孽镊蹑 [2] □{：在这儿} [3] 咧{~嘴} [5] □{~哈：这里}
tɕ [1] 揭接结 [2] 捷杰节{~约}截劫 [3] 姐 [5] 借
tɕʰ [1] 切窃={盗~} [2] 茄 [3] 且
ɕ [1] 歇雪血薛蝎楔屑 [2] 邪斜穴胁协 [3] 些{好~}写□{~酒：斟酒} [5] 泻卸谢泄
Ø [1] 叶业 [2] 爷 [3] 野也 [5] 夜液页烨

#iɛ
tɕ [1] 阶 [3] 解{~释} [5] 介界芥疥届戒皆
ɕ [2] 谐偕 [5] 械解{姓}懈=

#ue
k [2] 国

#ye
tɕ [2] 决诀掘绝□{~人：骂人} [5] 倔脾{气~}
tɕʰ [1] 缺 [2] 瘸 [5] 确=却=
ɕ [1] 靴说 [3] □{衣裳~了：衣服敞开着}
Ø [1] 阅月越曰热 [3] 惹

#o
p [1] 波菠玻拔 [2] 博薄{厚~}勃亳{~州：地名} [3] 跛□{放嘴里~~：放嘴里嚼嚼}簸{~一~} [5] 簸{~箕}
pʰ [1] 坡泡{量词：一~尿}泼瀑{~布} [2] 婆 [3] □{手~儿：手指甲}□{~命：拼命} [5] 破
m [1] 末摸莫□{老~：形容慢吞吞的一个人} [2] 魔磨{~刀}摩馍膜模{~范}摹 [3] 抹{涂}某么{~样：怎样} [5] □{~一下：挪一下}磨{石~}沫{~子}

#io
l [1] 略掠虐
tɕ [1] 脚觉{自~} [2] □{马~：以求神问卜等迷信活动为职业的妇女}
tɕʰ [1] 怯=雀鹊却-确-□{打优~：打秋千}
ɕ [1] 削□{~儿：弟弟} [2] 学
Ø [1] 约药钥{~匙}岳{~飞}乐{音~}

#uo
t [1] 多 [2] 夺 [3] 躲 [5] 惰剁跺舵垛{柴火~：柴火堆}□{~上面：摞上面}
tʰ [1] 拖托脱 [2] 驮坨陀{~螺} [3] 妥椭 [5] □{~弄：逼迫}
l [1] 啰诺落洛烙骆络乐{快~} [2] 骡螺腡挪罗锣箩 [3] 裸□{~年：啰嗦}□{不~人：不理睬人} [5] 糯摞{~起来}
ts [1] 朝{今~}作{~坊}桌捉= [2] 作{工~}昨凿着{睡~了}卓琢啄镯 [3] 撮{一~米}左佐 [5] 坐座
tsʰ [1] 搓撮{~鱼：网鱼} [2] 矬{矮~~}戳 [5] 锉错绰措
s [1] 蓑梭唆嗍{：吮吸} [2] 勺{~子}芍 [3] 锁琐索所 [5] 硕烁□{歪歪~~：形容不正的样子}
z [1] 若弱
k [1] 锅戈歌鸽割□{不~人：不合群}葛各郭角{台子~} [2] □{~列子：手指曲卷去敲人脑袋}搁{~那儿：放那儿} [3] 果哥裹 [5] 过个
kʰ [1] 科裸磕括阔扩壳渴 [2] 瞌{睡~睡：睡觉} [3] 颗可□{结~子：结痂} [5] 课
x [1] □{打~欠：打哈欠}喝豁鹤□{~人：讨好人}□{~人：身体跟野草接触后产生的痒感}□{扯~：打闪} [2] 和{~面}禾合盒活菏河何 [3] 火伙 [5] 祸货霍获贺或□{~我：骗我}
Ø [1] 窝莴涡蜗屙{~尿：小便}恶{~心：~人} [2] 蛾俄鹅讹{~人} [3] 我 [5] 饿卧握{~手}

#ai
p [1] □{~子：瘸子} [3] 摆 [5] 拜稗{~子}败
pʰ [2] 排牌□{~商：漂亮} [3] □{~好：摆好} [5] 派
m [2] 埋 [3] 买 [5] 卖迈
f [2] 怀槐淮 [5] 坏
t [1] 待=呆{~子} [3] 傣歹逮 [5] 待怠殆戴袋黛贷代带□{：在}
tʰ [1] 胎 [2] 台抬苔{菜~子} [3] □{八~：慢慢来，不要慌} [5] 态太泰{~山}
l [1] □{~的：脏的} [2] 来莱 [3] 乃奶□{~一把：揪一把} [5] 耐奈=赖癞
ts [1] 灾栽斋 [3] 宰载{年} [5] 在再债寨□{~衣服：缝衣服}
tsʰ [1] 猜钗差{出~} [2] 才材财裁豺柴 [3] 彩睬採踩采 [5] 菜蔡
s [1] 腮鳃筛衰- [3] □{~两碗：吃两}碗甩-□{~一顿：打一顿} [5] 赛晒帅-
k [1] 该街 [3] 改解{~开} [5] 概溉盖丐
kʰ [1] 开揩 [3] 凯楷
ŋ [1] 哀挨{~着} [2] □{~碎：碾碎}捱{~到黑：拖到天黑}呆{~板}挨{~打} [3] 蔼矮 [5] 碍艾爱隘
x [1] □{：形容人很厉害}□{长得~：长得壮实}□{~一顿：打一顿} [2] 鞋还{~有} [3] 海蟹 [5] 害亥-

#uai
k [1] 乖 [2] □{~头~老：形容边缘地带}□{~着：单肩负重} [3] 拐拐{~弯儿：~骗}□{：坏} [5] 怪
kʰ [3] 块{几~钱}蒯{姓} [5] 会{~计}刽筷快
Ø [1] 歪 [2] □{~~：摇一摇} [3] 崴 [5] 外

#ʮai
ts [1] □{~着：蹲着} [3] 跩 [5] 拽
tsʰ [1] 揣{~怀里}
s [1] 摔=衰= [3] 甩= [5] 帅=率={~领}

#ei
p [1] 杯碑卑婢悲 [3] 背{~着} [5] 倍辈被背{耳~}闭{封~}
pʰ [1] 胚呸 [2] 培陪赔 [5] 配佩
m [2] 梅枚=媒煤楣媚眉霉 [3] 每美 [5] 妹昧没{~的}
f [1] 灰非飞妃挥辉徽 [2] 回茴肥 [3] 悔毁匪榧翡 [5] 贿汇绘废肺慧惠疿□{：顽皮}
t [1] 堆 [2] □{胖~~儿的：形容人很胖} [3] □{：抵消} [5] 对队兑
tʰ [1] 推 [3] 腿 [5] 退蜕褪
l [2] 雷 [3] 儡累{积~}垒= [5] 内累{~死了}类泪
ts [1] 追-锥-蜇~人 [2] 贼 [3] 嘴- [5] 罪-最-缀-赘-醉-
tsʰ [1] 催-崔-吹-炊- [2] 垂-槌-锤-随- [5] 脆-翠-粹-□{：炫耀}
s [2] 谁-虽-{~然}髓-{骨~} [3] 水- [5] 碎-岁-税-睡-遂-隧-穗-

#uei
k [1] 闺规龟归 [3] 诡轨癸鬼 [5] 鳜桂柜贵跪
kʰ [1] 盔亏 [2] 魁奎逵葵 [3] 傀 [5] 溃愧跪
Ø [1] 煨威微 [2] 危{安~}违{~背}为{作~}维惟唯围 [3] 伪萎委苇纬伟尾{有头有~} [5] 卫为{~什么}位魏畏慰胃谓未味

#ʮei
ts [1] 追=锥= [3] 嘴= [5] 罪=最=缀=赘=醉=坠=
tsʰ [1] 催=崔=吹=炊= [2] 垂=槌=锤=随= [3] 璀= [5] 脆=翠=粹=
s [2] 谁=髓={骨~} [3] 水= [5] 碎=岁=税=睡=遂=隧=穗=
z [3] 蕊= [5] 锐=瑞=

#ao
p [1] 包胞 [3] 褒保宝饱堡 [5] 报抱暴豹菢{~鸡儿：孵小鸡}鲍雹
pʰ [1] 抛泡{~瘩：虚而不实的人} [2] 袍刨 [3] 跑 [5] 泡{~茶}炮
m [1] 猫 [2] 毛茅锚矛髦{时~} [3] 卯□{：遗漏} [5] 冒帽貌茂贸
t [1] 刀叨 [3] 祷岛倒{打~}导 [5] 稻道到倒{~水}盗
tʰ [1] 滔掏涛韬 [2] 淘逃桃陶萄 [3] 讨 [5] 套
l [1] 捞痨孬{~种：没胆量的人} [2] 劳牢挠 [3] 脑恼老□{~~儿：叔叔}姥佬 [5] 闹□{~死了：中毒死了}
ts [1] 遭招{~乎点：小心点；~乎东西：照看东西}昭{□：脏}糟召 [2] □{~不~：行不行} [3] 早枣蚤澡找爪{猪脚~儿}沼藻 [5] 造皂躁灶罩赵兆照诏燥噪
tsʰ [1] 操抄超 [2] 曹槽朝潮□{~人：烦人}巢{~湖：地名}嘲 [3] 草炒吵 [5] 糙□{~痒：摩擦止痒}
s [1] 稍烧骚 [2] □{：傻}勺{~子} [3] 扫{~地}嫂少{多~} [5] 扫{~帚}潲{~水}少{~年}邵绍
z [2] 饶{姓} [3] 绕{围~}扰 [5] 绕{~线}
k [1] 高膏篙羔糕 [3] 稿搞 [5] 告觉{睡~~：儿语}窖□{~菜窝子：给菜施肥}校{~秤：校对秤}
kʰ [1] □{~了人：上当了}□{~死：坏事了}尻{：性交} [3] 考烤 [5] 靠犒□{~下来：敲下来}
ŋ [1] 熬{~稀饭} [2] □{~鱼：鳄鱼}熬{~夜} [3] 袄咬 [5] 傲奥懊坳
x [1] 蒿薅{~草：除草} [2] 豪壕毫号{：哭} [3] 好{~坏}郝{姓} [5] 浩耗好{~哭}号{~码}

#iao
p [1] 标彪膘飙滮{：水喷溅状} [3] 表婊 [5] □{把他~紧点：把他看紧点}
pʰ [1] 飘漂{~泊} [2] 瓢嫖□{~眼：眼睛有毛病} [3] 漂{~白}瞟{~一眼：看一下} [5] 漂{~亮}票
m [1] 喵{拟声词} [2] 苗描瞄 [3] 藐渺秒杪{树~子：树梢} [5] 庙{土地~}妙
t [1] 刁貂雕 [3] 屌{男阴} [5] 钓吊掉调{~查}
tʰ [1] 挑 [2] □{~人：骗人}条笤{~把}调{~整} [3] □{：更换}□{打~瓜：赤身裸体}□{~起来：把物品由上往下翻过来} [5] 跳
l [2] 燎疗聊辽□{~衣服：缝衣服} [3] 燎{火~眉毛}鸟了{~解}寥{~~无几} [5] 尿料尥撂{：扔}庙{~边：地名}廖{姓}
tɕ [1] 交郊胶教{~书}焦蕉骄娇浇 [2] 嚼□{~住了：绞住了} [3] 绞狡铰搅剿矫饺缴侥{~幸} [5] 较轿觉{~~瞌睡}叫
tɕʰ [1] 敲锹悄 [2] 乔劁{~猪：阉割猪}侨桥荞□{~了：变形了} [3] 巧 [5] 俏鞘窍撬翘
ɕ [1] 消宵霄销硝嚣萧箫骁 [2] 淆 [3] 小晓 [5] 孝校{学~}效酵{发~}笑
Ø [1] 妖邀幺{老~}腰要{~求} [2] 肴摇谣窑尧姚 [3] 舀杳 [5] 要{~钱}耀鹞跃{大~进}躍{跳~}

#iu
m [5] 谬
t [1] 丢
l [1] 溜{~了} [2] 流刘留硫馏牛硫榴 [3] 纽扭柳 [5] 溜{~~子：一排；~冰}
tɕ [1] 摎鸠阉纠究灸□{嘴巴~着：噘嘴} [2] □{：拧}□{~了：不正} [3] 酒九久韭 [5] 就臼旧救舅
tɕʰ [1] 秋丘煪{：火熏} [2] 囚求球仇{姓} [3] □{~着：赖着不走，想得到} [5] □{~眼睛：眼神不好}
ɕ [1] 修羞休□{~子：螳螂} [3] 朽 [5] 秀绣锈袖
Ø [1] 优忧幽 [2] 由游油邮尤犹 [3] 友有 [5] 柚幼佑祐

#ou
f [3] 否
t [1] 兜{~水：舀水；肚~}蔸{树~儿：树根}都□{~死人：颠簸造成的不适感}□{~苍蝇：招苍蝇} [2] 毒独读□{~的：里面} [3] 斗几~陡堵抖赌肚{~子} [5] 豆□{一□~了：一□吞了}逗杜度渡镀斗{~争；拼合，如：郭沫若《归去来·浪花十日》：“（钓竿）是两截木棍斗成的，下截粗，上截细。”}
tʰ [1] 偷秃 [2] 头投徒屠涂途图突{~然} [3] 吐{~痰}土 [5] 透吐{~了}兔{~子}
l [1] 搂{~裤子：提裤子}六绿禄录 [2] 楼奴卢炉芦庐 [3] 搂{~抱}努鲁橹虏□{豆腐~：豆腐}乳卤篓{~子：篮子} [5] 怒路赂露鹭
ts [1] 邹绉周舟竹洲州足租粥□{~住了：脑子堵住了，一时想不起来} [2] 轴逐筑{建~}烛卒□{水瓶~子：瓶塞} [3] 走肘祖组阻 [5] 奏纣皱骤咒做{~事}就
tsʰ [1] 抽粗初□{把他~起来：把他抬起来} [2] 绸{：与密相对}稠筹愁厨-{~屋}仇{~人}酬□{鸡~子：鸡笼子}族{民~}触{接~}锄{~头} [3] 丑楚础 [5] 凑臭助{帮~}醋促
s [1] 搜嗖收苏酥叔梳疏蔬枢 [2] 肃宿缩{~水}熟淑{~女}俗束塑 [3] 手首守属{数~星星} [5] 瘦漱受兽寿授售素诉嗦{鸡~子}恕数{~字}
z [2] 柔揉 [3] 辱{侮~} [5] 肉
k [1] 勾钩沟 [3] 狗苟 [5] 够构购垢
kʰ [1] 抠呕 [3] 口 [5] 扣寇
ŋ [1] 欧殴□{：抠} [3] 藕偶呕 [5] 沤怄{~气}□{~火土：烧土灰}
x [1] 齁{发~：哮喘病的一个症状；~人：形容极咸或极甜引起的喉咙不适} [2] 侯喉猴□{~心：贪心} [5] 后厚

#an
p [1] 班斑颁扳{酒瓶~子}般搬 [3] 板版 [5] 办扮瓣伴半
pʰ [1] 攀潘 [2] 盘{~过来：运过来；盘子} [5] 盼□{歇一~：歇一会}判叛绊{~住了}
m [2] 馒蛮瞒 [3] 满 [5] 慢漫幔曼
f [1] 帆欢藩翻番 [2] 凡矾还{~原}环桓烦繁 [3] 反返 [5] 范犯泛唤焕换幻患宦贩饭
t [1] 担{~当}丹单端 [2] □{~住：拦住} [3] 胆掸{鸡毛~子}短□{~水：焯水} [5] 淡担{~子}诞旦但弹{子~}蛋断锻段缎石{几~粮食}
tʰ [1] 贪滩摊 [2] 覃谭谈檀坛弹{~琴}团痰{~盂子} [3] 毯坦 [5] 探炭叹
l [2] 南男蓝篮难拦兰栏 [3] 漤{~柿子}览揽榄缆懒暖卵 [5] 滥难{磨~}烂乱
ts [1] 簪沾瞻 [3] 斩盏展攒□{好~子：什么时候} [5] 暂錾站赚蘸占赞缵绽栈战灒{~了一身水：溅了一身水}
tsʰ [1] 参{~加}搀=餐 [2] 蚕□{吐~：吐痰}残蝉婵馋缠禅{~师} [3] 惨铲产□{：~一耳光：扇耳光} [5] 颤{发~}灿
s [1] 三衫珊山羴酸闩栓删煽{~风点火} [2] □{~腿：晃动腿} [3] 陕闪散{~了}伞 [5] 善扇{~子}单{姓}禅={~让}算蒜
k [1] 甘柑肝干{~净}杆 [3] 敢感秆赶擀拣{~好的拿} [5] 干{~不~}
kʰ [1] 堪勘铅{~笔} [3] 坎砍 [5] 看{~见；~守所}
ŋ [1] 庵安鞍 [2] □{~头：跟前} [5] 揞暗岸按案
x [1] 憨鼾□{把饭放锅里~着：饭已熟，但继续放锅里的状态} [2] 含函衔寒韩咸{~盐} [3] 喊罕 [5] 撼憾汉汗焊旱苋{~菜}翰陷{~住了：陷住了}□{~糍粑：煮食物的一种方法}

#iɛn
p [1] 鞭编边 [3] 贬蝙{~蝠}扁匾□{~袖子：卷袖子} [5] 辨辩变汴便{方~}遍
pʰ [1] 篇偏 [2] 便{~宜} [3] □{：切菜的一种方式} [5] 骗片{~子：尿布；一~，量词}
m [2] 绵棉眠 [3] 免勉娩缅冕 [5] □{：填面}
t [1] 掂{~水：提水}颠 [3] 点典碘 [5] 店电殿奠佃垫
tʰ [1] 添天 [2] 甜田填 [3] 舔
l [1] 拈{~菜} [2] 廉镰帘鲇年怜莲联连 [3] 敛脸撚撵 [5] 念练楝{~子树}砚{~台}恋酽{~茶：茶味浓}
tɕ [1] 尖{小气：物体尖锐}歼兼艰间奸煎肩坚 [3] 检俭简剪茧拣{~东西} [5] 渐剑践溅贱件键建健腱荐见
tɕʰ [1] 签谦迁千牵铅{~球} [2] 钳钱乾虔前 [3] 浅遣 [5] 欠歉□{：思念}
ɕ [1] 仙鲜先 [2] 弦{《广韵》：“胡田切”，物之边沿：茅缸~子；胡琴~}嫌咸{~鸭蛋}贤挦{~鸭毛：拔鸭毛} [3] 险癣显 [5] 宪献现陷{~阱}线羡县苋{马齿~}□{~饭：剩饭}
Ø [1] 淹焉烟嫣 [2] 盐阎簷严颜谚延言沿檐 [3] 掩眼研{~究} [5] 验厌艳焰雁燕

#uan
k [1] 官棺观{~察} [3] 管馆 [5] 贯灌罐冠{~军}惯
kʰ [1] 宽 [2] □{把篮子~着：挎着篮子} [3] 款 [5] □{：摔}
Ø [1] 弯湾豌 [2] 玩顽完 [3] 皖碗晚挽婉腕{手~} [5] 万

#ʮan
ts [1] 专砖捐娟鹃 [3] 转{~眼}捲卷{几~} [5] 转{~圈}传{~记}眷倦券{优惠~}圈{猪~}赚□{猪~头：猪舌头}卷{试~}
tsʰ [1] 川穿圈{圆~} [2] 全泉传{~单}船椽拳权颧 [3] 喘 [5] 窜串劝券
s [1] 掀{~起来}喧宣 [2] 旋玄悬 [3] □{~被子：掀被子} [5] 涮眩
z [1] 冤渊□{粪~子：挑黄土的工具} [2] 然圆员丸{~子}缘燃元原源袁园援 [3] 软阮远染冉={~~升起} [5] 院愿怨

#ən
p [1] 奔 [3] 本 [5] 笨□{~下子：搅拌下}
pʰ [1] 喷{~水} [2] 盆 [5] □{~那：倚靠}
m [1] □{头~：头晕} [2] 门明{~年} [3] □{木头~了：木头坏了} [5] □{~出来了：溢出来了}闷{~燥：天闷热}焖{~饭}
f [1] 昏婚浑分{~钟}纷芬荤 [2] 魂坟横{一~}馄□{~实：强壮} [3] 粉 [5] 混粪奋份喷{打~嚏}
t [1] 敦蹬{《集韵》：“都腾切”，~一脚：踹一脚墩登灯蹲，停留，如：《老残游记》：“这们长天大日的，老残，你蹲家里做甚？”} [3] 等 [5] 盾顿吨炖钝遁瞪邓凳镫□{坎~子：坎肩}
tʰ [1] 吞 [2] 腾疼豚臀誊藤 [3] □{~人：碰到坚硬的东西引起的不适感} [5] □{~种：冒失鬼}
l [2] 论{~语}仑伦沦轮能 [3] 冷 [5] 嫩论{~文}楞
ts [1] 针珍臻真尊遵蒸争筝睁贞侦征曾{姓}增正{~月} [3] 枕诊疹拯整{~人} [5] 镇阵振挣震证郑正{~在}政赠砧{~刀板子}□{把衣服~下子：把衣服扯平一下}
tsʰ [1] 深伸村皴称{~呼}撑 [2] 沉陈辰晨臣存澄承乘成程诚城盛{~饭}曾{~经}层 [3] 逞惩=□{~了：按住} [5] 趁称{对~}称秤牚{椅~子}蹭寸衬
s [1] 森{~林}参{人~}身申孙升生笙甥声僧{唐~} [2] 神绳 [3] 沈婶審损笋榫{~眼}省{~长} [5] 肾慎胜剩圣盛{兴~}
z [2] 任{姓}人仁 [3] 忍仍{~然} [5] 任={~意}纫刃认
k [1] 跟根更={三~半夜}耕 [3] 哽埂耿整{~个} [5] 更{~快}
kʰ [1] 坑吭 [3] 恳垦肯啃
ŋ [1] 恩 [3] □{~人：碰到坚硬的东西引起的不适感} [5] 硬樱
x [1] 哼{~~唧唧} [2] 痕衡横{~中：校名}恒 [3] 很狠 [5] 恨杏{~子}

#uən
k [3] 滚 [5] 棍
kʰ [1] 昆坤 [3] 捆 [5] 困
Ø [1] 温瘟□{~臭：形容很臭} [2] 文纹蚊闻 [3] 稳吻勿 [5] 问

#ʮən
ts [1] 肫{鸡~子}均君军 [3] 准 [5] 俊郡菌{细~}
tsʰ [1] 椿{香~}春鹑{鹌~} [2] 唇群裙 [3] 蠢倾顷
s [1] 熏勳薰勋 [2] 荀循巡旬纯寻= [5] 殉迅顺舜训
z [1] 晕 [2] 匀云芸 [3] 允永{~远} [5] 润闰熨运孕

#in
