#i
p[45]碑卑俾婢[31]彼譬比[53]闭秘痹
k[45]甘柑泔尴[31]感敢橄减[53]监{～视，牢～}鉴监{国子～}槛
kʰ[45]堪勘[53]坎
ŋ[13]岩檐
h[13]含函咸{～淡}咸{～丰}衔[31]喊{叫～，呻吟}[53]喊{叫～}陷馅
∅[53]暗

#iam
t[45]踮[31]点[53]掂店
tʰ[45]添[13]甜[31]舔[53]垫
n[53]念
l[45]敛殓脸[13]廉帘
tsʰ[45]迁
tʃ[45]尖
tʃʰ[45]忏歼签{竹～，求～}签{～字}纤{～维}[13]惭潜[53]渐
ȵ[13]阎严俨冉[53]染验
k[45]兼[31]碱检俭[53]剑
kʰ[45]谦歉[13]钳[53]欠
∅[45]淹阉腌[13]盐{调味品}盐{动词，腌制}[31]掩炎艳焰[53]厌

#im
l[13]赁林淋临
s[45]心芯
tʃ[45]针斟[31]寝枕{～头}枕{动词}[53]浸
tʃʰ[45]侵深[13]寻沉
ȵ[13]壬吟[31]饮[53]任
ʃ[31]沈婶审[53]甚
k[45]今金{～银，～子}金{镰刀，割稻}[31]锦[53]禁{～不住}
kʰ[45]襟钦[13]岑琴禽擒[31]揿[53]禁{～止}
∅[45]音阴{～天，乌～}阴{屋子里很～}[13]淫

#an
p[45]班斑扳搬般[31]板版[53]半
pʰ[45]颁攀潘[13]盘[31]绊判拌叛[53]扮盼办伴
m[45]满[13]蛮瞒[31]馒鳗[53]慢漫万
f[45]帆藩{曾国～}翻番藩[13]烦矾繁[31]反[53]范{师～，模～}范{姓}贩饭
ʋ[45]弯湾晚[13]还环[31]皖挽宛
t[45]丹单[53]旦诞
tʰ[45]滩摊瘫[13]檀弹{～琴}[31]疸坦[53]叹炭但弹{子～，～子}蛋
n[13]难{困～，很～}[53]难{落～，逃～}
l[45]懒[13]兰拦栏婪[53]烂
ts[45]笺[53]赞
tsʰ[45]餐[13]残
s[45]珊山删疝[31]伞[53]散{松～，鞋带～了}散{～会，解～}
tʃ[45]毡[31]盏展[53]战
tʃʰ[13]馋缠泉[31]铲[53]赚灿栈颤
ʃ[45]搧轩[13]贤弦玄悬[31]产献显现宪[53]扇禅善膳
k[45]艰间{中～，一～房～}间{～断，离～}奸[31]简柬拣谏涧锏茧[53]裥
kʰ[45]刊[31]砍款
ŋ[45]碾研[13]颜顽[31]眼[53]雁谚玩
h[13]闲[31]苋[53]撼憾限
∅[45]庵[53]晏

#ian
ȵ[13]年原源[53]愿
∅[45]烟胭咽冤渊[13]然燃延言完丸圆员缘沿铅元袁辕园猿[31]演衍援远[53]筵燕{姓，～京}宴燕{～子}院怨县

#uan
l[31]卵[53]乱
ts[53]钻{动词，～洞}钻{名词，扯～，～子}
tsʰ[13]全
s[45]酸[53]算蒜
tʃ[45]专砖[31]转{～送，～学，翻～}转{～圆圈，～毛线}
tʃʰ[45]川穿[13]传{～达，流～}[31]喘[53]窜传{～记，水浒～}串
ʃ[13]船
k[45]关[53]惯

#iɛn
p[45]鞭边[31]贬辩辨扁匾[53]变
pʰ[45]编篇偏辫[31]遍{一～}遍{～地，普～}片[53]骗便{～宜}便{方～，～当}
m[45]免[13]绵棉[31]勉缅[53]面{被～，～子}面{吃～，～粉}
t[45]颠癫[31]典
tʰ[45]天[13]田填[53]电殿奠淀
n[13]黏
l[13]连联怜莲[31]恋[53]练炼{～丹}链楝炼{锻～}
ts[45]煎[31]剪[53]箭践荐
tsʰ[13]钱虔前[53]贱
s[45]仙鲜{新～，～艳}鲜{朝～}羡先宣喧[13]旋{～转}旋{～吃～做}[31]癣选[53]线
tʃ[53]舰
tʃʰ[45]千纤{拉～，～绳}[31]浅
k[45]肩坚绢捐[31]建卷{～起来}卷{一～，考～}倦券[53]键健见眷
kʰ[45]牵圈[13]乾权拳[31]遣[53]件劝

#ən
p[45]奔崩冰
pʰ[13]朋凭绷{衣服紧～}绷{捆缚，～紧}
m[45]敏[13]盟暝
t[45]登灯丁钉{～子，图～}疔钉{～～子}订[31]等顶鼎[53]凳
tʰ[45]听{～话}厅听{～任}[13]藤腾誊[53]邓
n[45]宁{～可}[13]能宁{安～，～波}
l[13]零[53]另
ts[45]增曾{姓，～国藩}憎僧[53]甑
tsʰ[13]层曾{～经，不～}[53]衬赠
s[45]星腥猩[31]省{节～，～长}省{反～，～亲}
k[45]跟根[31]耿
kʰ[45]倾顷[13]澄[31]恳垦啃
ŋ[13]银
h[45]很[13]痕恒衡杏[31]肯[53]恨幸
∅[45]恩[53]应{答～}

#on
ʋ[31]豌碗
ŋ[53]岸
∅[45]安鞍[53]按案

#uon
f[45]欢[31]缓[53]换
t[45]端[31]短[53]断{判～，～案，～价钱}
tʰ[45]断{～绝，～掉}[13]团{～结，一～线，～长}团{糯米～子}[53]锻段缎
n[45]暖
k[45]肝竿杆官棺观[31]秆赶管馆[53]干{天～地支}干{～湿}干{～部，能～}冠{衣～}贯灌罐冠{～军}
kʰ[53]看{～守}看{～见}
h[45]旱[13]寒韩[31]罕[53]汉捍汗翰

#iun
ts[53]焊
ȵ[45]忍[53]韧
ʃ[45]勋[13]旬循巡殉[53]迅驯训
∅[13]云{诗～}云{乌～，白～}耘晕[31]允永泳咏[53]韵运

#un
p[45]分[31]本[53]粪
pʰ[13]盆[53]喷{～水}喷{～香}笨
m[45]蚊[13]门[31]闷[53]问
f[45]昏婚芬纷[13]魂浑焚坟荤[31]粉奋愤[53]份
ʋ[45]馄温瘟[13]文纹闻[31]稳吻
t[45]敦墩[31]顿盾{矛～，～牌}
tʰ[45]吞饨[13]屯臀[31]盾{矛～}[53]钝
n[53]嫩
l[13]伦沦轮[53]论{～语}论{讨～，～文}
ts[45]尊遵
tsʰ[45]村[13]存[53]寸
s[45]孙逊熏[13]询[31]损笋榫
tʃ[31]准{看～，瞄～}准[53]俊圳
tʃʰ[45]椿春[31]蠢
ʃ[13]唇纯醇[53]顺舜
j[53]闰润孕
k[45]钧均君军[31]滚混[53]棍
kʰ[45]近昆坤[13]裙郡琼[31]捆[53]困睏菌
∅[13]腕[31]幻

#in
p[45]彬宾槟滨浜兵[31]秉[53]殡并{合～}并{～且，～排，～肩}
pʰ[13]贫频苹瓶屏拼{～命}[31]品评[53]聘
m[13]眠民明鸣
t[45]叮
tʰ[13]亭停庭廷蜓[31]挺艇[53]定
l[45]鳞[13]磷邻凌陵菱灵拎伶龄棱[53]令
ts[45]津精晶睛[53]进
tsʰ[45]亲{～生，父～}亲{～家}[13]情[31]静[53]尽{～量，～力}尽{～前头（最前面）}
s[45]辛薪新[53]信讯性
tʃ[45]珍真征{～求}蒸贞侦征{长～，～兵}[31]晋镇诊疹振震整[53]证症正{～直，方～}政
tʃʰ[45]称清[13]秦陈尘惩呈程[31]靖[53]趁阵秤
ȵ[13]人仁[53]认
ʃ[45]身申伸欣升兴{高～，～趣}[13]神辰晨臣乘承丞诚形刑型[53]肾剩胜{～任}胜{～败，战～}兴{～旺，绍～}圣盛
k[45]巾斤筋京荆鲸经{念～，～济}经{～线，～纬}[31]紧仅谨境景警竟竞[53]敬
kʰ[45]卿[13]勤芹[53]庆
∅[45]因姻殷应{～该，理～}鹰蝇莺樱鹦英婴缨[13]寅盈[31]引隐瘾尹颖[53]印

#iaŋ
p[31]禀丙饼[53]柄
pʰ[13]平坪萍[53]病
m[13]名铭[53]命
tʰ[53]锭
l[45]两{斤～}辆领岭[13]良凉量{～尺寸}粮梁粱[31]两{～个}[53]亮谅量{数～，气～}
ts[31]蒋桨[53]酱将{大～}
tsʰ[13]详祥
s[45]相{互～，～帮}厢镶[31]想醒[53]匠相{～貌，看～}像姓
tʃ[45]将{～来}浆[31]奖井
tʃʰ[45]枪青蜻[13]墙翔晴[31]抢请[53]净
ȵ[13]凝迎
ʃ[45]箱湘[53]象
k[45]姜{生～}姜{姓，～太公}惊[31]颈[53]镜
kʰ[45]疆僵腔轻[13]强{坚～，～调}强{勉～，倔強}
∅[13]赢营萤[31]影映

#əŋ
p[13]棚
pʰ[45]烹[13]庞彭膨
m[45]猛蜢[13]盲[31]孟
f[45]风疯枫
ʋ[45]汪[13]横{～直}横{蛮～}
l[45]冷[13]铃
s[45]生牲声
tʃ[45]争踭筝睁正{～月}
tʃʰ[45]撑[13]橙{～子，脐～}橙{甜～，～子}[53]郑
ʃ[45]甥笙[13]成城
k[45]更{三～，～换}庚羹耕[31]梗埂茎劲{有～}劲{～敌，较～}[53]更{～加}径
kʰ[31]哽
ŋ[53]硬
h[45]坑亨哼[13]行{～为，（车、人）走}
∅[45]瓮

#oŋ
p[45]帮邦[31]榜谤绑
pʰ[45]傍[13]旁螃
m[45]虻[13]忙芒{～种}茫亡芒{麦～}妄忘氓[31]莽蟒网[53]望
f[45]方芳[13]房防[31]晃坊仿{～效}妨纺仿{相～，～照}访[53]放
ʋ[45]往[13]黄簧皇蝗蟥凰王[31]枉[53]旺
t[45]当{应～，～官}[31]党挡档[53]当{～铺，典～}
tʰ[45]汤[13]堂唐糖塘[31]荡[53]烫趟丈
n[45]瓤[13]囊
l[13]郎廊狼[31]朗[53]浪
ts[45]赃[53]葬
tsʰ[45]舱
s[45]桑嗓霜孀[53]丧{婚喪，～事}丧{～失，沮～}
tʃ[45]脏
tʃʰ[45]仓苍[13]藏{隐～，捉迷～}藏{西～，～族}
ʃ[45]香乡[13]常尝裳偿
k[45]刚岗纲冈缸江扛肛[31]讲[53]钢{～铁，炼～}杠{抬物用具}降{下～，～低}杠{同槓，粗棍}降{投～，～伏}
kʰ[45]康糠慷[53]抗
ŋ[45]昂[31]仰
h[45]航[13]行{银～，～当}杭[53]项巷

#ioŋ
ȵ[13]娘[31]搡壤[53]酿让
ʃ[31]享响[53]向
∅[45]央秧殃养痒[13]羊洋杨阳扬[53]样

#uoŋ
f[45]荒慌[31]谎
tʃ[45]张庄装妆章樟蟑桩[31]长{省～，～高}涨掌[53]帐胀账仗杖壮障瘴
tʃʰ[45]疮昌娼倡[13]长{～短，～春，天～地久}肠场床[31]畅闯厂[53]状唱撞
ʃ[45]商伤[31]爽赏饷[53]上{动词，～去}尚上{方位，～面}
k[45]光[31]港广
kʰ[45]筐框匡眶[13]狂[31]旷[53]况矿

#uŋ
p[31]棒捧
pʰ[13]篷蓬[53]碰
m[13]蒙[31]懵
f[45]丰封蜂峰锋[13]弘红洪鸿冯逢缝{～衣服，裁～}缝{一条～}[31]讽[53]凤奉俸
t[45]东冬[31]董懂[53]冻
tʰ[45]通[13]同铜桐筒童瞳[31]捅桶动统[53]栋痛洞
n[13]农脓侬浓
l[45]聋咙窿[13]笼隆龙[31]垄陇[53]弄
ts[45]宗综棕踪[53]粽
tsʰ[45]窗[13]讼
s[45]双胸松{轻～，～弛}凶{～恶，很～}凶{吉～}[13]雄怂[53]送宋
tʃ[45]中{～秋，当～，～央}忠终钟{敲～}钟{千～粟}[31]总仲肿[53]众中{射～，～状元}纵{～横}种{～类，谷～}
tʃʰ[45]葱聪匆囱丛衷充重{轻～，～量}冲[13]虫从{～容}从{跟～，～来}松{～香，～树}重{～复，～九}[31]宠诵颂纵{放～，跳}[53]种{～田}
j[13]绒戎
k[45]公工功攻蚣弓躬宫恭供{～給，～应，～不起}龚[31]拱巩[53]贡汞供{上～，～佛，坐着别动（骂小孩子用）}共
kʰ[45]空{天～，～话}空{亏～，有～}[13]穷[31]孔恐[53]控
h[45]轰烘[13]宏虹[31]哄{～骗}哄{内～，起～}

#iuŋ
ȵ[31]勇
ʃ[45]兄[13]崇熊
∅[45]翁雍拥庸[13]融容溶蓉熔荣[31]涌踊[53]用

#ap
f[3]法
t[3]搭答[5]沓
tʰ[3]塔塌[5]踏榻
n[3]粒[5]纳
l[5]垃腊蜡
tsʰ[3]插[5]闸
tʃʰ[5]杂
ʃ[5]涉胁
k[3]鸽甲
kʰ[5]磕
h[5]合{十～一升}合{～作}盒
∅[3]鸭押压

#iap
ȵ[5]业
∅[5]叶页

#iɛp
t[3]帖贴
tʰ[5]叠碟牒蝶谍
n[3]聂镊
l[5]猎
tʃ[3]接
tʃʰ[5]捷
ʃ[5]协屑楔
kʰ[3]劫怯[5]夹狭峡挟荚侠

#ip
l[3]笠[5]立
s[5]缉集习袭
tʃ[3]执汁
tʃʰ[5]辑
ȵ[5]入
ʃ[3]湿[5]十什拾
k[3]急级给吸[5]橘
kʰ[5]及

#at
p[3]八钵拨
pʰ[3]泼[5]拔
m[3]抹{～布}抹{～杀}袜蔑[5]末沫密蜜没
f[3]发{头～}发{～展，～财}[5]乏伐筏罚
ʋ[3]挖[5]活剜滑猾
tʰ[5]达
l[5]辣
ts[3]扎{针～，札记}
tsʰ[3]擦
s[3]撒萨杀刷
tʃ[3]札扎{～紧，驻～}
tʃʰ[3]察澈[5]铡
ʃ[3]设
h[5]辖
∅[3]忆

#iat
tʃ[3]哲折{打～，～扣}浙
tʃʰ[3]撤[5]彻
ʃ[3]血[5]舌折{～本，摔～}
∅[3]乙[5]阅曰越粤穴

#uat
tʰ[3]脱
s[3]说
k[3]剐割葛括刮[5]阔

#iɛt
p[3]鳖瘪蹩
pʰ[3]撇[5]别{～针，～支笔在口袋}别{分～，～人}
m[5]灭篾
t[3]跌秩
tʰ[3]铁
n[3]捏
l[3]劣[5]列烈裂略掠
ts[3]节疖
s[3]薛泄雪
tʃʰ[3]切窃[5]截绝
ȵ[3]日[5]热月
k[3]蝎结洁蕨决诀
kʰ[3]揭竭缺[5]杰

#ət
p[3]北
f[5]或
t[3]得德
tʰ[3]剔踢[5]笛
l[5]栗勒
ts[3]仄
tsʰ[3]厕侧测
s[3]塞色
tʃ[3]则
tʃʰ[5]贼
k[3]隔
kʰ[3]刻{時～表}刻{用刀～}赫[5]乞
h[3]克黑

#it
p[3]憋笔毕必逼
pʰ[3]匹避癖僻辟霹
t[3]的滴
tʰ[5]特狄敌
l[5]力历{～史}历{～书，日～}
ts[3]质鲫
tsʰ[3]七膝
s[3]息熄媳昔惜夕释析
tʃ[3]即织职积
tʃʰ[3]漆戚[5]蛰疾侄直值植殖籍席{酒～，主～}
ʃ[3]悉虱失室式识饰适[5]实食吃
k[3]吉激击
kʰ[5]极
∅[3]一壹抑益[5]邑逸亿翼液亦译役疫易{～经，周～，贸～}

#ut
p[3]不{否定，～过}
pʰ[5]勃
f[5]忽核{桃～}佛核{审～，～对}核{果子～}
