#参考资料	《彭泽方言语音研究》
#调值	[1]³³ [2]⁴⁴ [3]²¹ [5]²¹⁴ [6]²²
#ɿ	
tsʰ	[1]猜钗差[2]才材财柴豺[3]彩采踩[6]在
s	[1]筛腮鳃[5]塞赛晒
k	[1]该街阶[3]解改[5]界介芥疥届戒丐概盖
kʰ	[3]楷
ŋ	[1]哀挨埃[2]呆挨[3]矮[5]爱[6]碍艾外
x	[2]还{~好}鞋[3]海蟹[5]亥
Ø	[1]唉
#uai	
k	[1]乖[3]拐[5]怪
kʰ	[5]快块筷会{~计}
x	[2]槐淮[6]坏
Ø	[1]歪[2]怀
#yai	
tɕ	[5]拽
tɕʰ	[5]踹揣
ɕ	[1]摔衰[3]甩[5]蟀帅
#ei	
p	[1]杯碑卑[5]背{后－}
pʰ	[1]胚[2]陪赔培裴[5]配[6]背{~书}倍
m	[2]梅煤媒霉[3]毎美[6]妹昧
f	[1]非飞妃[2]肥[3]匪[5]费肺废
t	[1]堆[5]对队兑
tʰ	[1]推[2]抬[3]腿[5]退蜕[6]袋
l	[2]雷来[3]累{~计}垒[6]累类泪
ts	[5]最
tsʰ	[1]催崔[2]裁[5]菜脆翠[6]罪
s	[1]虽[2]随髓隋[5]碎遂穗
kʰ	[1]开
x	[6]害
Ø	[1]哎
#uei	
k	[1]归闺规龟[3]轨鬼[5]桂跪贵
kʰ	[1]盔亏[2]葵[5]愧[6]柜
x	[1]恢灰挥辉徽[2]回蛔茴[3]毁悔[6]讳惠慧汇会
Ø	[1]威微[2]危为维违围[3]伟尾委伪[6]慰喂卫位味为
#yei	
tɕ	[1]追锥[5]坠缀赘
tɕʰ	[1]吹炊[2]捶锤槌
ɕ	[3]水[5]税睡
#ɑu	
p	[1]包胞褒[3]保堡宝饱
pʰ	[1]抛[2]袍刨[3]跑[5]泡炮疱[6]雹报豹暴爆曝抱
m	[1]猫[2]毛矛茅[3]卯铆[6]冒帽貌冇贸茂
t	[1]刀[3]祷岛倒导[5]到倒道朝{今~}叨
tʰ	[1]滔掏涛[2]桃淘陶萄[3]讨[5]套[6]稻盗道
l	[1]孬唠[2]牢劳[3]老脑恼瑙[6]闹
ts	[1]糟朝遭召招沼诏[3]早枣澡爪找[5]灶罩照躁
tsʰ	[1]抄钞糙[2]朝曹槽巢潮[3]草炒吵[6]皂赵造
s	[1]梢稍梢躁骚烧[2]韶[3]嫂少扫[5]少绍
k	[1]高膏跤篱糕[3]搞稿搅[5]告教校{~对}窖觉{睡~}
kʰ	[1]尻[3]考烤拷[5]靠
ŋ	[1]傲[2]熬[3]袄咬[5]奥澳
x	[1]蒿[2]豪毫[3]好[5]好耗[6]浩号
#iɑu	
p	[1]标飚膘镖彪[3]表婊
pʰ	[1]飘漂[2]瓢[3]漂[5]漂票
m	[1]喵[2]苗描瞄[3]秒[6]庙妙谬
t	[1]貂雕刁叼[3]屌[5]钓吊掉
tʰ	[1]挑[2]条调[3]调[5]跳眺[6]调
l	[2]疗聊辽[3]了[6]料
tɕ	[1]交胶焦蕉骄娇[3]狡绞[5]叫较
tɕʰ	[1]锹[2]瞧桥侨[3]巧[5]窍翘俏[6]轿
ɕ	[1]肖消销宵霄嚣箫萧逍[2]淆[3]小[5]笑孝啸[6]校
ȵ	[3]鸟[6]尿
Ø	[2]尧饶[5]绕
#əu	
m	[2]谋[6]某亩牡
f	[3]否
t	[1]兜[3]斗抖抖陡[5]逗斗
tʰ	[1]偷[2]头投[5]透[6]痘窦逗
l	[2]楼[3]搂[6]漏陋
ts	[1]周舟州洲邹[3]走帚[5]奏揍昼皱咒
tsʰ	[1]抽[2]仇稠筹愁酬[3]丑[5]凑臭
s	[1]搜嫂艘[3]叟手首守[5]瘦寿嗽授售
k	[1]勾沟钩[3]苟狗构[5]够构购垢
kʰ	[1]枢[3]口[5]扣叩寇
ŋ	[1]欧鸥殴[3]呕藕偶
x	[1]齁[2]侯喉猴[3]吼[6]后厚候
#iəu	
t	[1]丢
l	[1]溜[2]流刘留榴硫[3]柳
ȵ	[1]扭[2]牛柔揉[3]扭[5]肉
tɕ	[1]揪究[3]酒九久韭[5]救柩
tɕʰ	[1]秋[2]囚求球仇{姓}[6]白舅旧就
ɕ	[1]修休羞[3]朽[5]袖秀绣嗅
Ø	[1]优忧幽[2]邮由油游[3]有友酉[5]诱幼[6]又右佑袖
#an	
p	[1]班斑颁扳[3]板版
pʰ	[1]攀[5]盼[6]办扮
m	[2]蛮馒[6]曼慢漫蔓
f	[1]帆翻[2]凡帆烦繁[3]反[5]泛贩
t	[1]耽丹单[3]胆禅[5]担旦
tʰ	[1]滩摊[2]弹谈檀弹[3]毯坦[5]叹炭[6]弹{子~}
l	[2]蓝兰栏篮难[3]览缆揽懒[6]烂难
ts	[1]沾粘簪[3]斩盏攒[5]站赞绽蘸占战
tsʰ	[1]参餐渗搀[2]惭残缠蝉馋[3]惨铲产[5]灿[6]暂栈站{车~}
s	[1]三山衫删珊煽[3]散伞陕闪[5]善扇擅赡单{姓}散
k	[1]监艰尴[3]简减拣碱[5]干间
kʰ	[1]铅[3]砍坎侃[5]嵌
ŋ	[1]淹[2]严[3]眼[5]晏厌
x	[1]憨[2]衔咸闲[3]喊[6]陷限苋
#iɛn	
p	[1]鞭边鳊[3]扁贬[5]变
pʰ	[1]篇偏翩[2]便{~宜}[5]骗片遍[6]辫辩便
m	[2]棉绵眠[3]免缅腼[6]面
t	[1]颠掂[3]点典[5]店奠
tʰ	[1]天添[2]甜田填[3]舔[6]垫电殿
l	[2]廉鎌联帘连莲怜链[3]脸敛[6]练炼恋殓
tɕ	[3]检[5]鉴
tɕʰ	[2]钱泉全[5]欠
ɕ	[1]先鲜仙掀宣[2]嫌贤弦旋[3]选险显[5]线羡宪献现县
ȵ	[1]粘[2]严言研黏年[3]染撵[6]验砚念
Ø	[1]腌烟胭[2]炎盐檐颜延沿阎[3]演掩[5]谚燕厌宴艳焰
#on	
t	[1]端[3]短[5]段
tʰ	[1]贪[2]团坛[5]探[6]断锻锻叹
l	[2]南銮鸾孪[3]卵暖[6]乱
ts	[1]钻[5]钻
tsʰ	[1]参汆[2]蚕[5]窜[6]撰
s	[1]酸闩拴[5]算蒜涮
k	[1]关官棺冠干肝观[3]感擀敢赶管馆[5]干{~部}贯惯罐灌观冠
kʰ	[1]看刊勘[5]看
ŋ	[1]安豌庵[5]暗按案岸
x	[1]欢灌[2]环桓寒含还[3]缓[5]早焊汉宦幻[6]汗患换唤
Ø	[1]弯湾[2]玩顽丸完还[3]晚院碗挽[6]患换万
#yɛn	
tɕ	[1]专砖捐[3]卷转[5]转圈卷
tɕʰ	[1]穿圈川[2]拳传权船[3]喘犬[5]劝串传{自~}[6]赚
ɕ	[1]栓[2]玄悬
ȵ	[1]元原源员丸[3]软远阮缘[6]愿
Ø	[1]冤渊[2]袁援园圆[5]怨
#ən	
p	[1]奔搬[3]本[5]半
pʰ	[1]喷烹[2]盆彭膨盘[6]笨伴拌
m	[2]瞒蚊纹闻[3]满[6]问闷
f	[1]分纷[2]坟焚汾[3]粉[5]粪奋愤份
t	[1]敦墩蹲登灯[3]等[5]顿炖凳澄
tʰ	[1]吞[2]腾藤豚屯[6]盾邓
l	[2]仑轮伦沦能[3]冷[6]论愣嫩
ts	[1]针真尊遵曾{姓}增征蒸争珍贞正{~月}睁侦斟臻[3]枕诊整疹[5]正震振证症政朕镇
tsʰ	[1]参{~差}村撑嗔称[2]岑臣尘沉晨辰曾层成城呈乘承盛诚程澄[3]惩逞[5]衬寸秤称[6]赠阵
s	[1]僧森参孙生笙牲升声甥深身[2]神丞[3]沈审笋损省[5]盛{~放}胜剰圣甚肾慎谨渗
k	[1]跟根更[3]耿粳埂[5]更{~好}
kʰ	[1]坑吭[3]肯啃恳
ŋ	[1]恩[3]摁忍[6]硬
x	[1]亨哼[2]恒衡[3]很狠痕[5]恨
#in	
p	[1]宾斌彬滨兵冰[3]饼丙柄秉禀[5]殡
pʰ	[1]拼[2]贫嫔平凭屏萍评瓶坪苹[3]品[5]聘[6]并病
m	[2]民名铭明鸣瞑[3]敏闽怜抿[6]命
t	[1]丁钉盯叮[3]顶鼎[5]钉订
tʰ	[1]厅[2]亭停婷庭霆挺[3]挺艇[5]听[6]定锭
l	[1]拎[2]林淋琳临邻鱗零灵凌陵铃龄陵[3]领岭凛[6]令另
tɕ	[1]今矜金襟禁京津巾筋精惊菁晶茎睛荆[3]紧谨尽井警景锦[5]浸禁晋劲靖镜境竞禁敬
tɕʰ	[1]钦侵亲衾青清轻倾卿[2]寻琴勤秦禽擒情晴[3]寝请[5]亲{~家}沁庆磬[6]尽近静净
ɕ	[1]心辛新薪兴星欣芯猩[2]行型刑邢[3]醒省{反~}[5]信衅杏荣性姓幸兴
ȵ	[2]人您宁凝[6]认韧
Ø	[1]音因茵荫阴姻殷应英鹰鸾婴鹦樱膺[2]寅银吟淫赢迎营莹盈萤蝇[3]饮引隐瘾影[5]印映应
#uən	
k	[1]滚[5]棍
kʰ	[1]昆鲲坤[3]捆[5]困
x	[1]昏婚荤浑[2]横魂混{~沌}馄[6]混
Ø	[1]温瘟[3]紊吻刎稳
#yn	
tɕ	[1]均君军菌[3]准[5]俊骏峻
tɕʰ	[1]春[2]群裙唇纯醇淳鹑[3]蠢
ɕ	[1]熏[2]旬询[5]顺舜瞬讯训驯殉
Ø	[1]晕[2]匀云芸耘[5]熨韵孕运蕴酝
#oŋ	
p	[1]帮绷邦[3]榜绑[5]棒磅傍谤蹦蚌
pʰ	[1]抨砰嘭烹乓[2]旁庞膀朋鹏棚蓬篷膨澎[3]捧[5]胖碰
m	[1]蒙[2]蒙萌懵[3]猛往[6]梦孟忘望妄
f	[1]风封蜂峰锋丰枫疯[2]冯逢缝[3]讽[5]奉凤俸缝{~隙}
t	[1]东冬[3]懂董[5]冻栋
tʰ	[1]通[2]同铜童瞳佟桐[3]捅桶统筒[5]痛[6]洞动
l	[2]龙依农聋笼隆[3]拢笼[6]弄
ts	[1]棕宗终踪中忠钟[3]总种肿冢[5]粽众纵中种
tsʰ	[1]聪葱匆囱充冲[2]从虫重[6]重{~量}
s	[1]松嵩[2]怂[5]送宋颂讼诵
k	[1]公蚣工功攻弓宫恭供[3]拱巩固汞[5]贡供
kʰ	[1]空[3]孔恐[5]控空[6]共
x	[1]轰烘哄[2]红虹洪鸿弘宏[6]哄
Ø	[1]翁嗡[5]瓮
#ioŋ	
ȵ	[2]浓
tɕʰ	[2]穷
ɕ	[1]兄胸匈凶汹[2]雄熊
Ø	[1]拥庸[2]容荣蓉茸绒[3]允永咏泳甬涌蛹勇[6]用
#ɔŋ	
m	[2]忙芒盲氓[3]蟒莽[6]忘
f	[1]方芳[2]防房妨[3]仿纺访[5]放
t	[1]当裆铛[3]党挡[5]当档荡宕凼
tʰ	[1]汤[2]堂膛棠唐糖塘搪[3]躺淌倘[5]烫趟
l	[2]狼郎廊[3]朗[6]浪
ts	[1]脏赃庄粧妆装张章棒彰[3]长涨掌[5]葬壮账帐胀杖仗障藏
tsʰ	[1]仓苍疮昌娼窗[2]藏床长肠常[3]场闯厂[5]唱敞畅怅创[6]脏状丈仗撞
s	[1]裳桑丧商伤双霜孀[2]尝偿[3]裳爽[5]丧[6]上尚
k	[1]刚钢缸纲冈光胱肛[3]港广[5]杠逛
kʰ	[1]筐慷匡框康[2]扛狂[5]囥旷矿
ŋ	[1]肮[2]昂
x	[1]荒慌夯肓[2]航杭行簧皇凰蝗[3]谎恍[6]晃巷
Ø	[1]汪[2]王亡黄[3]网枉[6]旺望妄
#iɔŋ	
ȵ	[2]娘[3]仰[6]酿让
l	[2]良凉量粮梁粱[3]两[6]亮靓晾谅辆量
tɕ	[1]将浆疆姜江[3]蒋奖浆讲[5]将{~领}降酱犟
tɕʰ	[1]枪腔羌[2]墙详强[3]抢强{勉~}[5]呛[6]匠像
ɕ	[1]相箱厢镶香乡[2]降{投~}[3]想享响[5]相{~片}象[6]项向橡
Ø	[1]央秧鸯[2]羊洋杨扬疡阳[3]养痒[6]样恙
#m̩	
Ø	[1]姆
#n̩	
Ø	[3]你嗯
#ŋ̍	
Ø	[3]五
