"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"憋"	"piat7"	"piat32"	"文"	""	""	""	""	""	""
"鱉"	"pih7"	"piʔ32"	"白"	""	""	""	""	""	""
"鱉"	"piat7"	"piat32"	"文"	""	""	""	""	""	""
"滅"	"biat8"	"biat121"	""	""	""	""	""	""	""
"列"	"liat8"	"liat121"	""	""	""	""	""	""	""
"裂"	"leh8"	"leʔ121"	"白"	""	""	""	""	""	""
"裂"	"lih8"	"liʔ121"	"白"	""	""	""	""	""	""
"裂"	"liat8"	"liat121"	"文"	""	""	""	""	""	""
"烈"	"liat8"	"liat121"	""	""	""	""	""	""	""
"薛"	"sih7"	"siʔ32"	"白"	""	""	""	""	""	""
"薛"	"siat7"	"siat32"	"文"	""	""	""	""	""	""
"褻"	"siat7"	"siat32"	""	""	""	""	""	""	""
"泄"	"siap7"	"siap32"	"俗"	""	""	""	""	""	""
"泄"	"tshuah7"	"tsʰuaʔ32"	"白"	""	""	""	""	""	""
"泄"	"tsuah7"	"tsuaʔ32"	"白"	""	""	""	""	""	""
"泄"	"siat7"	"siat32"	"文"	""	""	""	""	""	""
"哲"	"tiat7"	"tiat32"	""	""	""	""	""	""	""
"徹"	"theh7"	"tʰeʔ32"	"白"	""	""	""	""	""	""
"徹"	"thiat7"	"tʰiat32"	"文"	""	""	""	""	""	""
"撤"	"thiat7"	"tʰiat32"	""	""	""	""	""	""	""
"轍"	"tiat8"	"tiat121"	""	""	""	""	""	""	""
"折"	"tsiat7"	"tsiat32"	""	""	""	""	""	""	""
"浙"	"tsiat7"	"tsiat32"	""	""	""	""	""	""	""
"舌"	"tsih8"	"tsiʔ121"	"白"	""	""	""	""	""	""
"舌"	"siat8"	"siat121"	"文"	""	""	""	""	""	""
"設"	"siat7"	"siat32"	""	""	""	""	""	""	""
"折"	"tsih8"	"tsiʔ121"	"白"	""	""	""	""	""	""
"折"	"sih8"	"siʔ121"	"白"	""	""	""	""	""	""
"折"	"siat8"	"siat121"	"文"	""	""	""	""	""	""
"熱"	"dzuah8"	"dzuaʔ121"	"白"	""	""	""	""	""	""
"熱"	"dziat8"	"dziat121"	"文"	""	""	""	""	""	""
"孑"	"khiat7"	"kʰiat32"	""	""	""	""	""	""	""
"孑"	"kiat7"	"kiat32"	""	""	""	""	""	""	""
"傑"	"kiat8"	"kiat121"	""	""	""	""	""	""	""
"孽"	"giat8"	"ɡiat121"	""	""	""	""	""	""	""
"揭"	"giah7"	"ɡiaʔ32"	"白"	""	""	""	""	""	""
"揭"	"giah8"	"ɡiaʔ121"	"白"	""	""	""	""	""	""
"揭"	"kiat7"	"kiat32"	"文"	""	""	""	""	""	""
"揭"	"kiat8"	"kiat121"	"文"	""	""	""	""	""	""
"竭"	"kiat8"	"kiat121"	""	""	""	""	""	""	""
"歇"	"heennh7"	"hɛ̃ʔ32"	"白"	""	""	""	""	""	""
"歇"	"hiat7"	"hiat32"	"文"	""	""	""	""	""	""
"蝎"	"iat7"	"iat32"	""	""	""	""	""	""	""
"謁"	"iat7"	"iat32"	""	""	""	""	""	""	""
"撇"	"phiat7"	"pʰiat32"	""	""	""	""	""	""	""
"篾"	"bih8"	"biʔ121"	"白"	""	""	""	""	""	""
"篾"	"biat8"	"biat121"	"文"	""	""	""	""	""	""
"鐵"	"thih7"	"tʰiʔ32"	"白"	""	""	""	""	""	""
"鐵"	"thiat7"	"tʰiat32"	"文"	""	""	""	""	""	""
"迭"	"tiat8"	"tiat121"	""	""	""	""	""	""	""
"跌"	"tiat8"	"tiat121"	""	""	""	""	""	""	""
"捏"	"nih8"	"niʔ121"	"白"	""	""	""	""	""	""
"捏"	"liat8"	"liat121"	"文"	""	""	""	""	""	""
"捏"	"liap8"	"liap121"	"训"	""	""	""	""	""	""
"節"	"tseh7"	"tseʔ32"	"白"	""	""	""	""	""	""
"節"	"tsat7"	"tsat32"	"白"	""	""	""	""	""	""
"節"	"tsiat7"	"tsiat32"	"文"	""	""	""	""	""	""
"切"	"tsheh7"	"tsʰeʔ32"	"白"	""	""	""	""	""	""
"切"	"tshiat7"	"tsʰiat32"	"文"	""	""	""	""	""	""
"截"	"tseh8"	"tseʔ121"	"白"	""	""	""	""	""	""
"截"	"tsah8"	"tsaʔ121"	"白"	""	""	""	""	""	""
"截"	"tsiat8"	"tsiat121"	"文"	""	""	""	""	""	""
"屑"	"seeh7"	"sɛʔ32"	"白"	""	""	""	""	""	""
"屑"	"sut7"	"sut32"	"白"	""	""	""	""	""	""
"屑"	"siat7"	"siat32"	"文"	""	""	""	""	""	""
"結"	"kat7"	"kat32"	"白"	""	""	""	""	""	""
"結"	"kiat7"	"kiat32"	"文"	""	""	""	""	""	""
"潔"	"kiat7"	"kiat32"	""	""	""	""	""	""	""
"搬"	"puann1"	"puã44"	"白"	""	""	""	""	""	""
"搬"	"puan1"	"puan44"	"文"	""	""	""	""	""	""
"搬"	"pan1"	"pan44"	"文"	""	""	""	""	""	""
"般"	"puann1"	"puã44"	"白"	""	""	""	""	""	""
"般"	"puan1"	"puan44"	"文"	""	""	""	""	""	""
"般"	"pan1"	"pan44"	"文"	""	""	""	""	""	""
"半"	"puann5"	"puã21"	"白"	""	""	""	""	""	""
"半"	"puan5"	"puan21"	"文"	""	""	""	""	""	""
"絆"	"puann5"	"puã21"	"白"	""	""	""	""	""	""
"絆"	"puan5"	"puan21"	"文"	""	""	""	""	""	""
"潘"	"phun1"	"pʰun44"	"白"	""	""	""	""	""	""
"潘"	"phuann1"	"pʰuã44"	"白"	""	""	""	""	""	""
"潘"	"phuan1"	"pʰuan44"	"文"	""	""	""	""	""	""
"拚"	"puan6"	"puan22"	""	""	""	""	""	""	""
"判"	"phuann5"	"pʰuã21"	"白"	""	""	""	""	""	""
"判"	"phuan5"	"pʰuan21"	"文"	""	""	""	""	""	""
"盤"	"puann2"	"puã13"	"白"	""	""	""	""	""	""
"盤"	"puan2"	"puan13"	"文"	""	""	""	""	""	""
"盤"	"phuan2"	"pʰuan13"	"文"	""	""	""	""	""	""
"伴"	"phuann6"	"pʰuã22"	"白"	""	""	""	""	""	""
"伴"	"puann6"	"puã22"	"白"	""	""	""	""	""	""
"伴"	"puan6"	"puan22"	"文"	""	""	""	""	""	""
"叛"	"puan6"	"puan22"	""	""	""	""	""	""	""
"瞞"	"muann2"	"muã13"	"白"	""	""	""	""	""	""
"瞞"	"buan2"	"buan13"	"文"	""	""	""	""	""	""
"饅"	"bun2"	"bun13"	"白"	""	""	""	""	""	""
"饅"	"ban6"	"ban22"	"文"	""	""	""	""	""	""
"滿"	"muann3"	"muã53"	"白"	""	""	""	""	""	""
"滿"	"buan3"	"buan53"	"文"	""	""	""	""	""	""
"漫"	"ban6"	"ban22"	""	""	""	""	""	""	""
"漫"	"buan6"	"buan22"	""	""	""	""	""	""	""
"幔"	"ban6"	"ban22"	""	""	""	""	""	""	""
"幔"	"buan6"	"buan22"	""	""	""	""	""	""	""
"端"	"tuann1"	"tuã44"	"白"	""	""	""	""	""	""
"端"	"tuan1"	"tuan44"	"文"	""	""	""	""	""	""
"短"	"te3"	"te53"	"白"	""	""	""	""	""	""
"短"	"tuan3"	"tuan53"	"文"	""	""	""	""	""	""
"斷"	"tuinn6"	"tuĩ22"	"白"	""	""	""	""	""	""
"斷"	"tuan5"	"tuan21"	"文"	""	""	""	""	""	""
"斷"	"tuan6"	"tuan22"	"文"	""	""	""	""	""	""
"鍛"	"tuan5"	"tuan21"	""	""	""	""	""	""	""
"團"	"thuinn2"	"tʰuĩ13"	"白"	""	""	""	""	""	""
"團"	"thuan2"	"tʰuan13"	"文"	""	""	""	""	""	""
"段"	"tuann6"	"tuã22"	"白"	""	""	""	""	""	""
"段"	"tuan6"	"tuan22"	"文"	""	""	""	""	""	""
"緞"	"tuan6"	"tuan22"	""	""	""	""	""	""	""
"暖"	"luan3"	"luan53"	""	""	""	""	""	""	""
"鸞"	"luan2"	"luan13"	""	""	""	""	""	""	""
"卵"	"nuinn6"	"nuĩ22"	"白"	""	""	""	""	""	""
"卵"	"luan3"	"luan53"	"文"	""	""	""	""	""	""
"卵"	"lan6"	"lan22"	""	""	""	""	""	""	""
"亂"	"luan6"	"luan22"	""	""	""	""	""	""	""
"鑽"	"tsuinn5"	"tsuĩ21"	"白"	""	""	""	""	""	""
"鑽"	"tsuan5"	"tsuan21"	"文"	""	""	""	""	""	""
"纂"	"tshuan5"	"tsʰuan21"	""	""	""	""	""	""	""
"竄"	"tshng5"	"tsʰŋ21"	"白"	""	""	""	""	""	""
"竄"	"tshuan5"	"tsʰuan21"	"文"	""	""	""	""	""	""
"酸"	"suinn1"	"suĩ44"	"白"	""	""	""	""	""	""
"酸"	"suan1"	"suan44"	"文"	""	""	""	""	""	""
"算"	"suinn5"	"suĩ21"	"白"	""	""	""	""	""	""
"算"	"suan5"	"suan21"	"文"	""	""	""	""	""	""
"蒜"	"suan5"	"suan21"	""	""	""	""	""	""	""
"官"	"kuann1"	"kuã44"	"白"	""	""	""	""	""	""
"官"	"kuan1"	"kuan44"	"文"	""	""	""	""	""	""
"觀"	"kuan1"	"kuan44"	""	""	""	""	""	""	""
"冠"	"kuann1"	"kuã44"	"白"	""	""	""	""	""	""
"冠"	"kuan1"	"kuan44"	"文"	""	""	""	""	""	""
"管"	"kun3"	"kun53"	"白"	""	""	""	""	""	""
"管"	"kuinn3"	"kuĩ53"	"白"	""	""	""	""	""	""
"管"	"kuan3"	"kuan53"	"文"	""	""	""	""	""	""
"館"	"kuan3"	"kuan53"	""	""	""	""	""	""	""
"冠"	"kuan5"	"kuan21"	""	""	""	""	""	""	""
"觀"	"kuann5"	"kuã21"	"白"	""	""	""	""	""	""
"觀"	"kuan5"	"kuan21"	"文"	""	""	""	""	""	""
"灌"	"kuan5"	"kuan21"	""	""	""	""	""	""	""
"罐"	"kuan5"	"kuan21"	""	""	""	""	""	""	""
"貫"	"kuinn5"	"kuĩ21"	"白"	""	""	""	""	""	""
"貫"	"kuan5"	"kuan21"	"文"	""	""	""	""	""	""
"寬"	"khuann1"	"kʰuã44"	"白"	""	""	""	""	""	""
"寬"	"khuan1"	"kʰuan44"	"文"	""	""	""	""	""	""
"款"	"khuan3"	"kʰuan53"	""	""	""	""	""	""	""
"玩"	"guan2"	"ɡuan13"	""	""	""	""	""	""	""
"玩"	"uan3"	"uan53"	""	""	""	""	""	""	""
"歡"	"huann1"	"huã44"	"白"	""	""	""	""	""	""
"歡"	"huan1"	"huan44"	"文"	""	""	""	""	""	""
"喚"	"huan5"	"huan21"	""	""	""	""	""	""	""
"煥"	"huan5"	"huan21"	""	""	""	""	""	""	""
"桓"	"huan2"	"huan13"	""	""	""	""	""	""	""
"完"	"uan2"	"uan13"	""	""	""	""	""	""	""
"丸"	"uan2"	"uan13"	""	""	""	""	""	""	""
"紈"	"uan2"	"uan13"	""	""	""	""	""	""	""
"緩"	"huan6"	"huan22"	""	""	""	""	""	""	""
"緩"	"uan6"	"uan22"	""	""	""	""	""	""	""
"皖"	"uan3"	"uan53"	""	""	""	""	""	""	""
"換"	"uann6"	"uã22"	"白"	""	""	""	""	""	""
"換"	"huan6"	"huan22"	"文"	""	""	""	""	""	""
"豌"	"uan3"	"uan53"	""	""	""	""	""	""	""
"碗"	"uann3"	"uã53"	"白"	""	""	""	""	""	""
"碗"	"uan3"	"uan53"	"文"	""	""	""	""	""	""
"腕"	"uan3"	"uan53"	""	""	""	""	""	""	""
"鰥"	"kuan1"	"kuan44"	""	""	""	""	""	""	""
"幻"	"huan6"	"huan22"	""	""	""	""	""	""	""
"篡"	"tshuan5"	"tsʰuan21"	""	""	""	""	""	""	""
"撰"	"tsuan6"	"tsuan22"	""	""	""	""	""	""	""
"閂"	"suan1"	"suan44"	""	""	""	""	""	""	""
"拴"	"suinn1"	"suĩ44"	"白"	""	""	""	""	""	""
"拴"	"suan1"	"suan44"	"文"	""	""	""	""	""	""
"涮"	"suan5"	"suan21"	""	""	""	""	""	""	""
"關"	"kuann1"	"kuã44"	"白"	""	""	""	""	""	""
"關"	"kuan1"	"kuan44"	"文"	""	""	""	""	""	""
"慣"	"kuan5"	"kuan21"	""	""	""	""	""	""	""
"頑"	"guan2"	"ɡuan13"	""	""	""	""	""	""	""
"頑"	"uan3"	"uan53"	""	""	""	""	""	""	""
"還"	"hai2"	"hai13"	""	""	""	""	""	""	""
"還"	"hing2"	"hiŋ13"	"白"	""	""	""	""	""	""
"還"	"huan2"	"huan13"	"文"	""	""	""	""	""	""
"環"	"khuan2"	"kʰuan13"	""	""	""	""	""	""	""
"環"	"huan2"	"huan13"	""	""	""	""	""	""	""
"患"	"huan6"	"huan22"	""	""	""	""	""	""	""
"宦"	"huan6"	"huan22"	""	""	""	""	""	""	""
"彎"	"uainn1"	"uaĩ44"	"白"	""	""	""	""	""	""
"彎"	"uan1"	"uan44"	"文"	""	""	""	""	""	""
"灣"	"uan1"	"uan44"	""	""	""	""	""	""	""
"戀"	"luan2"	"luan13"	""	""	""	""	""	""	""
"痊"	"tshuan1"	"tsʰuan44"	""	""	""	""	""	""	""
"全"	"tsuinn2"	"tsuĩ13"	"白"	""	""	""	""	""	""
"全"	"tsuan2"	"tsuan13"	"文"	""	""	""	""	""	""
"泉"	"tsuann2"	"tsuã13"	"白"	""	""	""	""	""	""
"泉"	"tsuan2"	"tsuan13"	"文"	""	""	""	""	""	""
"宣"	"suan1"	"suan44"	""	""	""	""	""	""	""
"選"	"suan3"	"suan53"	""	""	""	""	""	""	""
"旋"	"tsng2"	"tsŋ13"	"白"	""	""	""	""	""	""
"旋"	"suan2"	"suan13"	"文"	""	""	""	""	""	""
"旋"	"tsuinn6"	"tsuĩ22"	"白"	""	""	""	""	""	""
"旋"	"suan6"	"suan22"	"文"	""	""	""	""	""	""
"鏇"	"suan2"	"suan13"	""	""	""	""	""	""	""
"轉"	"tuinn3"	"tuĩ53"	""	""	""	""	""	""	""
"轉"	"tsuan3"	"tsuan53"	""	""	""	""	""	""	""
"轉"	"tsuan5"	"tsuan21"	""	""	""	""	""	""	""
"傳"	"thuinn2"	"tʰuĩ13"	"白"	""	""	""	""	""	""
"傳"	"thuan2"	"tʰuan13"	"文"	""	""	""	""	""	""
"傳"	"tuan2"	"tuan13"	"文"	""	""	""	""	""	""
"椽"	"thuan2"	"tʰuan13"	""	""	""	""	""	""	""
"篆"	"thuan5"	"tʰuan21"	""	""	""	""	""	""	""
"篆"	"thuan6"	"tʰuan22"	""	""	""	""	""	""	""
"傳"	"tuan6"	"tuan22"	""	""	""	""	""	""	""
"專"	"tsuan1"	"tsuan44"	""	""	""	""	""	""	""
"磚"	"tsuinn1"	"tsuĩ44"	"白"	""	""	""	""	""	""
"磚"	"tsuan1"	"tsuan44"	"文"	""	""	""	""	""	""
"川"	"tshuinn1"	"tsʰuĩ44"	"白"	""	""	""	""	""	""
"川"	"tshuan1"	"tsʰuan44"	"文"	""	""	""	""	""	""
"穿"	"tshuinn1"	"tsʰuĩ44"	"白"	""	""	""	""	""	""
"穿"	"tshuan1"	"tsʰuan44"	"文"	""	""	""	""	""	""
"喘"	"tshuan3"	"tsʰuan53"	""	""	""	""	""	""	""
"舛"	"tshuan3"	"tsʰuan53"	""	""	""	""	""	""	""
"串"	"tshng5"	"tsʰŋ21"	"白"	""	""	""	""	""	""
"串"	"tshuan5"	"tsʰuan21"	"文"	""	""	""	""	""	""
"船"	"tsun2"	"tsun13"	"白"	""	""	""	""	""	""
"船"	"suan2"	"suan13"	"文"	""	""	""	""	""	""
"軟"	"nuinn3"	"nuĩ53"	"白"	""	""	""	""	""	""
"軟"	"luan3"	"luan53"	"文"	""	""	""	""	""	""
"捲"	"kuinn3"	"kuĩ53"	"白"	""	""	""	""	""	""
"捲"	"kuan3"	"kuan53"	"文"	""	""	""	""	""	""
"眷"	"kuan5"	"kuan21"	""	""	""	""	""	""	""
"卷"	"kuinn5"	"kuĩ21"	"白"	""	""	""	""	""	""
"卷"	"kuan5"	"kuan21"	"文"	""	""	""	""	""	""
"絹"	"kin5"	"kin21"	"白"	""	""	""	""	""	""
"絹"	"kuan5"	"kuan21"	"文"	""	""	""	""	""	""
"圈"	"khng1"	"kʰŋ44"	"白"	""	""	""	""	""	""
"圈"	"khuan1"	"kʰuan44"	"文"	""	""	""	""	""	""
"圈"	"khuan2"	"kʰuan13"	"文"	""	""	""	""	""	""
"圈"	"kuan6"	"kuan22"	""	""	""	""	""	""	""
"權"	"kuan2"	"kuan13"	""	""	""	""	""	""	""
"拳"	"kun2"	"kun13"	"白"	""	""	""	""	""	""
"拳"	"khuan2"	"kʰuan13"	"文"	""	""	""	""	""	""
"鬈"	"kuan2"	"kuan13"	""	""	""	""	""	""	""
"倦"	"kuan5"	"kuan21"	""	""	""	""	""	""	""
"員"	"uan2"	"uan13"	""	""	""	""	""	""	""
"圓"	"inn2"	"ĩ13"	"白"	""	""	""	""	""	""
"圓"	"uan2"	"uan13"	"文"	""	""	""	""	""	""
"院"	"inn6"	"ĩ22"	"白"	""	""	""	""	""	""
"院"	"uan6"	"uan22"	"文"	""	""	""	""	""	""
"緣"	"ian2"	"ian13"	""	""	""	""	""	""	""
"沿"	"ian2"	"ian13"	""	""	""	""	""	""	""
"鉛"	"ian2"	"ian13"	""	""	""	""	""	""	""
"捐"	"kuan1"	"kuan44"	""	""	""	""	""	""	""
"兖"	"ian3"	"ian53"	""	""	""	""	""	""	""
"藩"	"phuann1"	"pʰuã44"	"白"	""	""	""	""	""	""
"藩"	"phuan1"	"pʰuan44"	"白"	""	""	""	""	""	""
"藩"	"huan1"	"huan44"	"文"	""	""	""	""	""	""
"反"	"pan3"	"pan53"	"白"	""	""	""	""	""	""
"反"	"ping3"	"piŋ53"	"白"	""	""	""	""	""	""
"反"	"huan3"	"huan53"	"文"	""	""	""	""	""	""
"翻"	"huan1"	"huan44"	""	""	""	""	""	""	""
"番"	"huan1"	"huan44"	""	""	""	""	""	""	""
"販"	"phuann5"	"pʰuã21"	"白"	""	""	""	""	""	""
"販"	"huan5"	"huan21"	"文"	""	""	""	""	""	""
"煩"	"huan2"	"huan13"	""	""	""	""	""	""	""
"礬"	"huan2"	"huan13"	""	""	""	""	""	""	""
"繁"	"huan2"	"huan13"	""	""	""	""	""	""	""
"飯"	"puinn6"	"puĩ22"	"白"	""	""	""	""	""	""
"飯"	"huan6"	"huan22"	"文"	""	""	""	""	""	""
"晚"	"muinn3"	"muĩ53"	"白"	""	""	""	""	""	""
"晚"	"buan3"	"buan53"	"文"	""	""	""	""	""	""
"晚"	"uan3"	"uan53"	"文"	""	""	""	""	""	""
"挽"	"ban3"	"ban53"	"白"	""	""	""	""	""	""
"挽"	"buan3"	"buan53"	"文"	""	""	""	""	""	""
"萬"	"ban6"	"ban22"	""	""	""	""	""	""	""
"勸"	"khuinn5"	"kʰuĩ21"	"白"	""	""	""	""	""	""
"勸"	"khuan5"	"kʰuan21"	"文"	""	""	""	""	""	""
"券"	"kuan5"	"kuan21"	""	""	""	""	""	""	""
"元"	"guan2"	"ɡuan13"	""	""	""	""	""	""	""
"原"	"guan2"	"ɡuan13"	""	""	""	""	""	""	""
"源"	"guan2"	"ɡuan13"	""	""	""	""	""	""	""
"阮"	"uinn3"	"uĩ53"	"白"	""	""	""	""	""	""
"阮"	"guan3"	"ɡuan53"	"文"	""	""	""	""	""	""
"願"	"guan6"	"ɡuan22"	""	""	""	""	""	""	""
"喧"	"suan1"	"suan44"	"俗"	""	""	""	""	""	""
"喧"	"huan1"	"huan44"	""	""	""	""	""	""	""
"楦"	"hun5"	"hun21"	"白"	""	""	""	""	""	""
"楦"	"huan5"	"huan21"	"文"	""	""	""	""	""	""
"冤"	"uan1"	"uan44"	""	""	""	""	""	""	""
"宛"	"uan3"	"uan53"	""	""	""	""	""	""	""
"婉"	"uan3"	"uan53"	""	""	""	""	""	""	""
"怨"	"uan5"	"uan21"	""	""	""	""	""	""	""
"袁"	"uan2"	"uan13"	""	""	""	""	""	""	""
"園"	"huinn2"	"huĩ13"	"白"	""	""	""	""	""	""
"園"	"uan2"	"uan13"	"文"	""	""	""	""	""	""
"援"	"huann6"	"huã22"	"白"	""	""	""	""	""	""
"援"	"uan6"	"uan22"	"文"	""	""	""	""	""	""
"垣"	"huan2"	"huan13"	""	""	""	""	""	""	""
"遠"	"huinn6"	"huĩ22"	""	""	""	""	""	""	""
"遠"	"uan3"	"uan53"	""	""	""	""	""	""	""
"涓"	"kuan1"	"kuan44"	""	""	""	""	""	""	""
"犬"	"khian3"	"kʰian53"	""	""	""	""	""	""	""
"懸"	"kuan2"	"kuan13"	"白"	""	""	""	""	""	""
"懸"	"hian2"	"hian13"	"文"	""	""	""	""	""	""
"玄"	"hian2"	"hian13"	""	""	""	""	""	""	""
"縣"	"kuan6"	"kuan22"	"白"	""	""	""	""	""	""
"縣"	"hian6"	"hian22"	"文"	""	""	""	""	""	""
"眩"	"hin2"	"hin13"	"白"	""	""	""	""	""	""
"眩"	"hian2"	"hian13"	"文"	""	""	""	""	""	""
"淵"	"ian1"	"ian44"	""	""	""	""	""	""	""
"缽"	"puah7"	"puaʔ32"	"白"	""	""	""	""	""	""
"缽"	"puat7"	"puat32"	"文"	""	""	""	""	""	""
"撥"	"puah7"	"puaʔ32"	"白"	""	""	""	""	""	""
"撥"	"puat7"	"puat32"	"文"	""	""	""	""	""	""
"潑"	"phuah7"	"pʰuaʔ32"	"白"	""	""	""	""	""	""
"潑"	"phuat7"	"pʰuat32"	"文"	""	""	""	""	""	""
"鈸"	"puah8"	"puaʔ121"	"白"	""	""	""	""	""	""
"鈸"	"puat8"	"puat121"	"文"	""	""	""	""	""	""
"跋"	"puah8"	"puaʔ121"	"白"	""	""	""	""	""	""
"跋"	"puat8"	"puat121"	"文"	""	""	""	""	""	""
"末"	"buah8"	"buaʔ121"	"白"	""	""	""	""	""	""
"末"	"buat8"	"buat121"	"文"	""	""	""	""	""	""
"抹"	"buah7"	"buaʔ32"	"白"	""	""	""	""	""	""
"抹"	"buah8"	"buaʔ121"	"白"	""	""	""	""	""	""
"抹"	"buat7"	"buat32"	"文"	""	""	""	""	""	""
"沫"	"buah8"	"buaʔ121"	"白"	""	""	""	""	""	""
"沫"	"buat8"	"buat121"	"文"	""	""	""	""	""	""
"掇"	"tuat7"	"tuat32"	""	""	""	""	""	""	""
"脫"	"thut7"	"tʰut32"	"白"	""	""	""	""	""	""
"脫"	"thuat7"	"tʰuat32"	"文"	""	""	""	""	""	""
"奪"	"tuat8"	"tuat121"	"文"	""	""	""	""	""	""
"捋"	"luah7"	"luaʔ32"	"白"	""	""	""	""	""	""
"捋"	"luah8"	"luaʔ121"	"白"	""	""	""	""	""	""
"捋"	"luat8"	"luat121"	"文"	""	""	""	""	""	""
"撮"	"tshook7"	"tsʰɔk32"	"俗"	""	""	""	""	""	""
"撮"	"tshuat7"	"tsʰuat32"	""	""	""	""	""	""	""
"撮"	"tsuat7"	"tsuat32"	""	""	""	""	""	""	""
"括"	"kuah7"	"kuaʔ32"	"白"	""	""	""	""	""	""
"括"	"khuat7"	"kʰuat32"	"文"	""	""	""	""	""	""
"括"	"kuat7"	"kuat32"	"文"	""	""	""	""	""	""
"闊"	"khuah7"	"kʰuaʔ32"	"白"	""	""	""	""	""	""
"闊"	"khuat7"	"kʰuat32"	"文"	""	""	""	""	""	""
"豁"	"huat7"	"huat32"	""	""	""	""	""	""	""
"活"	"uah8"	"uaʔ121"	"白"	""	""	""	""	""	""
"活"	"huat8"	"huat121"	"文"	""	""	""	""	""	""
"斡"	"uat7"	"uat32"	""	""	""	""	""	""	""
"斡"	"uat8"	"uat121"	""	""	""	""	""	""	""
"滑"	"kut8"	"kut121"	"白"	""	""	""	""	""	""
"滑"	"huat8"	"huat121"	"文"	""	""	""	""	""	""
"猾"	"kut8"	"kut121"	"白"	""	""	""	""	""	""
"猾"	"huat8"	"huat121"	"文"	""	""	""	""	""	""
"挖"	"ua1"	"ua44"	"俗"	""	""	""	""	""	""
"挖"	"uat7"	"uat32"	""	""	""	""	""	""	""
"刷"	"sua1"	"sua44"	"俗"	""	""	""	""	""	""
"刷"	"seh7"	"seʔ32"	"白"	""	""	""	""	""	""
"刷"	"suat7"	"suat32"	"文"	""	""	""	""	""	""
"刮"	"kuah7"	"kuaʔ32"	"白"	""	""	""	""	""	""
"刮"	"kuat7"	"kuat32"	"文"	""	""	""	""	""	""
"劣"	"luat8"	"luat121"	""	""	""	""	""	""	""
"絕"	"tseh8"	"tseʔ121"	"白"	""	""	""	""	""	""
"絕"	"tsuat8"	"tsuat121"	"文"	""	""	""	""	""	""
"雪"	"seh7"	"seʔ32"	"白"	""	""	""	""	""	""
"雪"	"suat7"	"suat32"	"文"	""	""	""	""	""	""
"輟"	"tuat7"	"tuat32"	""	""	""	""	""	""	""
"拙"	"tsuat7"	"tsuat32"	""	""	""	""	""	""	""
"說"	"sue5"	"sue21"	""	""	""	""	""	""	""
"說"	"sueh7"	"sueʔ32"	"白"	""	""	""	""	""	""
"說"	"suat7"	"suat32"	"文"	""	""	""	""	""	""
"悅"	"iat8"	"iat121"	""	""	""	""	""	""	""
"悅"	"uat8"	"uat121"	""	""	""	""	""	""	""
"閲"	"iat8"	"iat121"	""	""	""	""	""	""	""
"閲"	"uat8"	"uat121"	""	""	""	""	""	""	""
"髮"	"huat7"	"huat32"	""	""	""	""	""	""	""
"發"	"huat7"	"huat32"	""	""	""	""	""	""	""
"伐"	"huah8"	"huaʔ121"	"白"	""	""	""	""	""	""
"伐"	"huat8"	"huat121"	"文"	""	""	""	""	""	""
"筏"	"huat8"	"huat121"	""	""	""	""	""	""	""
"罰"	"huat8"	"huat121"	""	""	""	""	""	""	""
"襪"	"bueh8"	"bueʔ121"	"白"	""	""	""	""	""	""
"襪"	"buat8"	"buat121"	"文"	""	""	""	""	""	""
"厥"	"khuat7"	"kʰuat32"	""	""	""	""	""	""	""
"孓"	"kuat7"	"kuat32"	""	""	""	""	""	""	""
"闕"	"khuat7"	"kʰuat32"	""	""	""	""	""	""	""
"掘"	"kut8"	"kut121"	""	""	""	""	""	""	""
"橛"	"kuat8"	"kuat121"	""	""	""	""	""	""	""
"月"	"gueh8"	"ɡueʔ121"	"白"	""	""	""	""	""	""
"月"	"guat8"	"ɡuat121"	"文"	""	""	""	""	""	""
"噦"	"uat7"	"uat32"	""	""	""	""	""	""	""
"越"	"uat8"	"uat121"	""	""	""	""	""	""	""
"曰"	"uat8"	"uat121"	""	""	""	""	""	""	""
"粵"	"uat8"	"uat121"	""	""	""	""	""	""	""
"決"	"kuat7"	"kuat32"	""	""	""	""	""	""	""
"訣"	"kuat7"	"kuat32"	""	""	""	""	""	""	""
"缺"	"khih7"	"kʰiʔ32"	"白"	""	""	""	""	""	""
"缺"	"khueh7"	"kʰueʔ32"	"白"	""	""	""	""	""	""
"缺"	"khuat7"	"kʰuat32"	"文"	""	""	""	""	""	""
"血"	"hueh7"	"hueʔ32"	"白"	""	""	""	""	""	""
"血"	"hiat7"	"hiat32"	"文"	""	""	""	""	""	""
"穴"	"hiat8"	"hiat121"	""	""	""	""	""	""	""
"吞"	"thun1"	"tʰun44"	""	""	""	""	""	""	""
"根"	"kin1"	"kin44"	""	""	""	""	""	""	""
"跟"	"kin1"	"kin44"	""	""	""	""	""	""	""
"墾"	"khun3"	"kʰun53"	""	""	""	""	""	""	""
"懇"	"khun3"	"kʰun53"	""	""	""	""	""	""	""
"齦"	"gin2"	"ɡin13"	""	""	""	""	""	""	""
"痕"	"hun2"	"hun13"	""	""	""	""	""	""	""
"很"	"hin3"	"hin53"	""	""	""	""	""	""	""
"恨"	"hun6"	"hun22"	""	""	""	""	""	""	""
