"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"叉"	"tshee1"	"tsʰɛ44"	"白"	""	""	""	""	""	""
"叉"	"tsha1"	"tsʰa44"	"文"	""	""	""	""	""	""
"杈"	"tshee1"	"tsʰɛ44"	"白"	""	""	""	""	""	""
"杈"	"tsha1"	"tsʰa44"	"文"	""	""	""	""	""	""
"差"	"tsha1"	"tsʰa44"	""	""	""	""	""	""	""
"岔"	"tshee1"	"tsʰɛ44"	"白"	""	""	""	""	""	""
"岔"	"tsha1"	"tsʰa44"	"文"	""	""	""	""	""	""
"汊"	"tshee1"	"tsʰɛ44"	""	""	""	""	""	""	""
"乍"	"tsee5"	"tsɛ21"	""	""	""	""	""	""	""
"沙"	"see1"	"sɛ44"	""	""	""	""	""	""	""
"沙"	"sua1"	"sua44"	""	""	""	""	""	""	""
"紗"	"see1"	"sɛ44"	""	""	""	""	""	""	""
"灑"	"see5"	"sɛ21"	"白"	""	""	""	""	""	""
"灑"	"sa3"	"sa53"	"文"	""	""	""	""	""	""
"嘉"	"kee1"	"kɛ44"	""	""	""	""	""	""	""
"家"	"kee1"	"kɛ44"	""	""	""	""	""	""	""
"傢"	"kee1"	"kɛ44"	""	""	""	""	""	""	""
"加"	"kee1"	"kɛ44"	""	""	""	""	""	""	""
"假"	"kee3"	"kɛ53"	"白"	""	""	""	""	""	""
"假"	"ka3"	"ka53"	"文"	""	""	""	""	""	""
"賈"	"kee3"	"kɛ53"	""	""	""	""	""	""	""
"稼"	"kee5"	"kɛ21"	""	""	""	""	""	""	""
"假"	"kee5"	"kɛ21"	""	""	""	""	""	""	""
"價"	"kee5"	"kɛ21"	""	""	""	""	""	""	""
"架"	"kee5"	"kɛ21"	""	""	""	""	""	""	""
"駕"	"kee5"	"kɛ21"	""	""	""	""	""	""	""
"嫁"	"kee5"	"kɛ21"	""	""	""	""	""	""	""
"牙"	"gee2"	"ɡɛ13"	"白"	""	""	""	""	""	""
"牙"	"ga2"	"ɡa13"	"文"	""	""	""	""	""	""
"芽"	"gee2"	"ɡɛ13"	"白"	""	""	""	""	""	""
"芽"	"ga2"	"ɡa13"	"文"	""	""	""	""	""	""
"衙"	"gee2"	"ɡɛ13"	"白"	""	""	""	""	""	""
"衙"	"ga2"	"ɡa13"	"文"	""	""	""	""	""	""
"雅"	"ngee3"	"ŋɛ53"	""	""	""	""	""	""	""
"訝"	"gee6"	"ɡɛ22"	""	""	""	""	""	""	""
"迓"	"gee6"	"ɡɛ22"	""	""	""	""	""	""	""
"蝦"	"hee2"	"hɛ13"	""	""	""	""	""	""	""
"霞"	"hee2"	"hɛ13"	""	""	""	""	""	""	""
"遐"	"hee2"	"hɛ13"	"白"	""	""	""	""	""	""
"遐"	"hia2"	"hia13"	"文"	""	""	""	""	""	""
"瑕"	"hee2"	"hɛ13"	""	""	""	""	""	""	""
"下"	"ee6"	"ɛ22"	""	""	""	""	""	""	""
"下"	"kee6"	"kɛ22"	""	""	""	""	""	""	""
"下"	"hee6"	"hɛ22"	""	""	""	""	""	""	""
"夏"	"hee6"	"hɛ22"	""	""	""	""	""	""	""
"廈"	"ee6"	"ɛ22"	""	""	""	""	""	""	""
"廈"	"hee6"	"hɛ22"	""	""	""	""	""	""	""
"暇"	"hee6"	"hɛ22"	"白"	""	""	""	""	""	""
"丫"	"a1"	"a44"	""	""	""	""	""	""	""
"鴉"	"a1"	"a44"	""	""	""	""	""	""	""
"啞"	"ee3"	"ɛ53"	"白"	""	""	""	""	""	""
"啞"	"a3"	"a53"	"文"	""	""	""	""	""	""
"亞"	"a1"	"a44"	"俗"	""	""	""	""	""	""
"亞"	"a5"	"a21"	""	""	""	""	""	""	""
"嗟"	"tsia1"	"tsia44"	""	""	""	""	""	""	""
"姐"	"tsee3"	"tsɛ53"	""	""	""	""	""	""	""
"姐"	"tsia3"	"tsia53"	""	""	""	""	""	""	""
"借"	"tsioh7"	"tsioʔ32"	"白"	""	""	""	""	""	""
"借"	"tsik7"	"tsik32"	"文"	""	""	""	""	""	""
"借"	"tsia5"	"tsia21"	""	""	""	""	""	""	""
"且"	"tshia3"	"tsʰia53"	""	""	""	""	""	""	""
"且"	"tshiann3"	"tsʰiã53"	""	""	""	""	""	""	""
"些"	"se1"	"se44"	""	""	""	""	""	""	""
"些"	"sia1"	"sia44"	""	""	""	""	""	""	""
"寫"	"sia3"	"sia53"	""	""	""	""	""	""	""
"瀉"	"sia5"	"sia21"	""	""	""	""	""	""	""
