單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
斑		b	aan	1		p	ɑn	23	
阪		b	aan	2		p	ɑn	45	
板		b	aan	2		p	ɑn	45	
版		b	aan	2		p	ɑn	45	
粄		b	aan	2		p	ɑn	45	
闆		b	aan	2		p	ɑn	45	
扮		b	aan	6		p	ɑn	32	
辦		b	aan	6		p	ɑn	32	
繃		b	aang	1		p	ɑŋ	23	繃帶
崩		b	aang	1		p	ɑŋ	23	
蹦		b	aang	2		p	ɑŋ	45	
八		b	aat	7A		p	ɑt	45	八卦
八		b	aat	7B		p	ɑt	23	數字八
捌		b	aat	7B		p	ɑt	23	
叭		b	aat	7B		p	ɑt	23	
拔		b	aat	8		p	ɑt	32	
跋		b	aat	8		p	ɑt	32	
包		b	aau	1		p	ɑu	23	動詞
包		b	aau	5		p	ɑu	21	名詞，量詞，變調
苞		b	aau	1		p	ɑu	23	
胞		b	aau	1		p	ɑu	23	
爆		b	aau	1		p	ɑu	23	
孢		b	aau	1		p	ɑu	23	
飽		b	aau	2		p	ɑu	45	
鮑		b	aau	2		p	ɑu	45	鮑魚
鮑		b	aau	6		p	ɑu	32	鮑魚之肆
乓		b	eam	2		p	ɜm	45	
賓		b	ean	1		p	ɜn	23	
濱		b	ean	1		p	ɜn	23	
檳		b	ean	1		p	ɜn	23	
鬢		b	ean	1		p	ɜn	23	
臏		b	ean	1		p	ɜn	23	
繽		b	ean	1		p	ɜn	23	
彬		b	ean	1		p	ɜn	23	
奔		b	ean	1		p	ɜn	23	
稟		b	ean	2		p	ɜn	45	
品		b	ean	2		p	ɜn	45	
鬢		b	ean	6		p	ɜn	32	
笨		b	ean	6		p	ɜn	32	
畢		b	eat	7A		p	ɜt	45	
筆		b	eat	7A		p	ɜt	45	
不		b	eat	7A		p	ɜt	45	
嗶		b	eat	7A		p	ɜt	45	
布		b	eau	1		p	ɜu	23	
佈		b	eau	1		p	ɜu	23	
怖		b	eau	1		p	ɜu	23	
埔		b	eau	1		p	ɜu	23	
補		b	eau	2		p	ɜu	45	
捕		b	eau	6		p	ɜu	32	
哺		b	eau	6		p	ɜu	32	
步		b	eau	6		p	ɜu	32	
部		b	eau	6		p	ɜu	32	
簿		b	eau	6		p	ɜu	32	
埠		b	eau	6		p	ɜu	32	埠頭
卑		b	ei	1		p	ei	23	
臂		b	ei	1		p	ei	23	
臂		b	ei	5		p	ei	21	地名，杜臂，變調
碑		b	ei	1		p	ei	23	
庇		b	ei	1		p	ei	23	
悲		b	ei	1		p	ei	23	
泌		b	ei	1		p	ei	23	
祕		b	ei	1		p	ei	23	
痺		b	ei	1		p	ei	23	
秘		b	ei	1		p	ei	23	
彼		b	ei	2		p	ei	45	
比		b	ei	2		p	ei	45	比較
妣		b	ei	2		p	ei	45	
畀		b	ei	2		p	ei	45	
陂		b	ei	1		p	ei	23	
陂		b	ei	5		p	ei	21	變調
避		b	ei	6		p	ei	32	
被		b	ei	6		p	ei	32	被動
鼻		b	ei	6		p	ei	32	
備		b	ei	6		p	ei	32	
憊		b	ei	6		p	ei	32	
蹼		b	ek	8		p	ək	32	
暴		b	ek	8		p	ək	32	一暴十寒
僕		b	ek	8		p	ək	32	
瀑		b	ek	8		p	ək	32	
曝		b	ek	8		p	ək	32	
仆		b	ek	8		p	ək	32	
卜		b	ek	7A		p	ək	45	
啤		b	iaa	1		p	iɑ	23	
柄		b	iaang	1		p	iɑŋ	23	
餅		b	iaang	2		p	iɑŋ	45	
病		b	iaang	6		p	iɑŋ	32	
壁		b	ik	7B		p	ɪk	23	
璧		b	ik	7B		p	ɪk	23	
碧		b	ik	7B		p	ɪk	23	
逼		b	ik	7B		p	ɪk	23	
迫		b	ik	7B		p	ɪk	23	
邊		b	in	1		p	in	23	
辮		b	in	5		p	in	21	
鞭		b	in	1		p	in	23	
變		b	in	1		p	in	23	
扁		b	in	2		p	in	45	扁平
匾		b	in	2		p	in	45	
貶		b	in	2		p	in	45	
邊		b	in	5		p	in	21	邊址，哪裏
便		b	in	6		p	in	32	便利
汴		b	in	6		p	in	32	
辨		b	in	6		p	in	32	
辯		b	in	6		p	in	32	
兵		b	ing	1		p	ɪŋ	23	
冰		b	ing	1		p	ɪŋ	23	
乒		b	ing	2		p	ɪŋ	45	
柄		b	ing	2		p	ɪŋ	45	
丙		b	ing	2		p	ɪŋ	45	
秉		b	ing	2		p	ɪŋ	45	
炳		b	ing	2		p	ɪŋ	45	
摒		b	ing	2		p	ɪŋ	45	
屏		b	ing	2		p	ɪŋ	45	屏除
並		b	ing	6		p	ɪŋ	32	
并		b	ing	6		p	ɪŋ	32	
迸		b	ing	6		p	ɪŋ	32	
癟		b	it	8		p	it	32	
別		b	it	8		p	it	32	
必		b	it	7A		p	it	45	
彆		b	it	7B		p	it	23	
標		b	iu	1		p	iu	23	
飆		b	iu	1		p	iu	23	
鑣		b	iu	1		p	iu	23	
彪		b	iu	1		p	iu	23	
錶		b	iu	1		p	iu	23	
表		b	iu	2		p	iu	45	
錶		b	iu	2		p	iu	45	
雹		b	ok	8		p	ɔk	32	
薄		b	ok	8		p	ɔk	32	
箔		b	ok	8		p	ɔk	32	
礴		b	ok	8		p	ɔk	32	
泊		b	ok	8		p	ɔk	32	
魄		b	ok	8		p	ɔk	32	旁魄
博		b	ok	7A		p	ɔk	45	
卜		b	ok	7A		p	ɔk	45	
搏		b	ok	7B		p	ɔk	23	
駁		b	ok	7B		p	ɔk	23	
博		b	ok	7B		p	ɔk	23	
膊		b	ok	7B		p	ɔk	23	
縛		b	ok	7B		p	ɔk	23	
邦		b	ong	1		p	ɔŋ	23	
幫		b	ong	1		p	ɔŋ	23	
榜		b	ong	2		p	ɔŋ	45	
綁		b	ong	2		p	ɔŋ	45	
膀		b	ong	2		p	ɔŋ	45	肩膀
傍		b	ong	6		p	ɔŋ	32	依山傍水
傍		b	ong	6		p	ɔŋ	32	傍晚
磅		b	ong	6		p	ɔŋ	32	一磅
褒		b	ou	1		p	ou	23	
報		b	ou	1		p	ou	23	
煲		b	ou	1		p	ou	23	
煲		b	ou	5		p	ou	21	名詞，變調
保		b	ou	2		p	ou	45	
葆		b	ou	2		p	ou	45	
堡		b	ou	2		p	ou	45	
褓		b	ou	2		p	ou	45	
寶		b	ou	2		p	ou	45	
暴		b	ou	6		p	ou	32	凶暴
貝		b	ui	1		p	ui	23	
狽		b	ui	1		p	ui	23	
杯		b	ui	1		p	ui	23	
盃		b	ui	1		p	ui	23	
背		b	ui	1		p	ui	23	背後
背		b	ui	5		p	ui	21	尾背，變調
輩		b	ui	1		p	ui	23	
悖		b	ui	1		p	ui	23	
背		b	ui	6		p	ui	32	背書
悖		b	ui	6		p	ui	32	
焙		b	ui	6		p	ui	32	
般		b	un	1		p	un	23	
半		b	un	1		p	un	23	
搬		b	un	1		p	un	23	
本		b	un	2		p	un	45	
畚		b	un	2		p	un	45	
絆		b	un	6		p	un	32	
叛		b	un	6		p	un	32	
畔		b	un	6		p	un	32	
伴		b	un	6		p	un	32	
拌		b	un	6		p	un	32	
胖		b	un	6		p	un	32	肥胖
肨		b	un	6		p	un	32	
波		b	uo	1		p	uɔ	23	
播		b	uo	1		p	uɔ	23	
簸		b	uo	1		p	uɔ	23	
玻		b	uo	2		p	uɔ	45	
坡		b	uo	1		p	uɔ	23	
菠		b	uo	1		p	uɔ	23	
撥		b	ut	8		p	ut	32	
勃		b	ut	8		p	ut	32	
脖		b	ut	8		p	ut	32	
渤		b	ut	8		p	ut	32	
缽		b	ut	8		p	ut	32	
砵		b	ut	8		p	ut	32	
鉢		b	ut	8		p	ut	32	
缽		b	ut	9		p	ut	21	變調
砵		b	ut	9		p	ut	21	變調
鉢		b	ut	9		p	ut	21	變調
詫		c	aa	1		ʦʰ	ɑ	23	
奼		c	aa	1		ʦʰ	ɑ	23	
差		c	aa	1		ʦʰ	ɑ	23	差別
叉		c	aa	5		ʦʰ	ɑ	21	
岔		c	aa	1		ʦʰ	ɑ	23	
茶		c	aa	4		ʦʰ	ɑ	22	
查		c	aa	4		ʦʰ	ɑ	22	檢查
槎		c	aa	4		ʦʰ	ɑ	22	
差		c	aai	1		ʦʰ	ɑi	23	出差
猜		c	aai	2		ʦʰ	ɑi	45	
踩		c	aai	2		ʦʰ	ɑi	45	
柴		c	aai	4		ʦʰ	ɑi	22	
妻		c	aai	1		ʦʰ	ɑi	23	
萋		c	aai	1		ʦʰ	ɑi	23	
淒		c	aai	1		ʦʰ	ɑi	23	
悽		c	aai	1		ʦʰ	ɑi	23	
砌		c	aai	1		ʦʰ	ɑi	23	
切		c	aai	1		ʦʰ	ɑi	23	一切
棲		c	aai	1		ʦʰ	ɑi	23	
沏		c	aai	1		ʦʰ	ɑi	23	
齊		c	aai	4		ʦʰ	ɑi	22	整齊
齊		c	aai	1		ʦʰ	ɑi	23	齊家，大家
隋		c	aai	4		ʦʰ	ɑi	22	
隨		c	aai	4		ʦʰ	ɑi	22	
賊		c	aak	9		ʦʰ	ɑk	21	
吒		c	aak	7A		ʦʰ	ɑk	45	叱吒
柵		c	aak	7B		ʦʰ	ɑk	23	木柵
測		c	aak	7B		ʦʰ	ɑk	23	
惻		c	aak	7B		ʦʰ	ɑk	23	
坼		c	aak	7B		ʦʰ	ɑk	23	
冊		c	aak	7B		ʦʰ	ɑk	23	
策		c	aak	7B		ʦʰ	ɑk	23	
賊		c	aak	7B		ʦʰ	ɑk	23	
拆		c	aak	7B		ʦʰ	ɑk	23	
參		c	aam	1		ʦʰ	ɑm	23	參加
攙		c	aam	1		ʦʰ	ɑm	23	
摻		c	aam	1		ʦʰ	ɑm	23	
杉		c	aam	1		ʦʰ	ɑm	23	
慘		c	aam	2		ʦʰ	ɑm	45	
饞		c	aam	4		ʦʰ	ɑm	22	
蠶		c	aam	4		ʦʰ	ɑm	22	
慚		c	aam	4		ʦʰ	ɑm	22	
巉		c	aam	4		ʦʰ	ɑm	22	
參		c	aam	1		ʦʰ	ɑm	23	參差
餐		c	aan	1		ʦʰ	ɑn	23	
璨		c	aan	1		ʦʰ	ɑn	23	
燦		c	aan	1		ʦʰ	ɑn	23	
鏟		c	aan	2		ʦʰ	ɑn	45	
產		c	aan	2		ʦʰ	ɑn	45	
剷		c	aan	2		ʦʰ	ɑn	45	
殘		c	aan	4		ʦʰ	ɑn	22	
瞠		c	aang	1		ʦʰ	ɑŋ	23	
鐺		c	aang	1		ʦʰ	ɑŋ	23	瓦鐺
撐		c	aang	1		ʦʰ	ɑŋ	23	
鎗		c	aang	1		ʦʰ	ɑŋ	23	
鋥		c	aang	1		ʦʰ	ɑŋ	23	
牚		c	aang	1		ʦʰ	ɑŋ	23	
鐺		c	aang	4		ʦʰ	ɑŋ	22	
橙		c	aang	4		ʦʰ	ɑŋ	22	
曾		c	aang	4		ʦʰ	ɑŋ	22	曾經
層		c	aang	4		ʦʰ	ɑŋ	22	
插		c	aap	7B		ʦʰ	ɑp	23	
刷		c	aat	9		ʦʰ	ɑt	21	名詞，變調
察		c	aat	7B		ʦʰ	ɑt	23	
刷		c	aat	7B		ʦʰ	ɑt	23	
獺		c	aat	7B		ʦʰ	ɑt	23	
擦		c	aat	7B		ʦʰ	ɑt	23	
抄		c	aau	1		ʦʰ	ɑu	23	
吵		c	aau	2		ʦʰ	ɑu	45	
抄		c	aau	2		ʦʰ	ɑu	45	
鈔		c	aau	2		ʦʰ	ɑu	45	
炒		c	aau	2		ʦʰ	ɑu	45	
巢		c	aau	4		ʦʰ	ɑu	22	
湊		c	aau	1		ʦʰ	ɑu	23	
抽		c	aau	1		ʦʰ	ɑu	23	
侵		c	eam	1		ʦʰ	ɜm	23	
寢		c	eam	2		ʦʰ	ɜm	45	
尋		c	eam	4		ʦʰ	ɜm	22	
沉		c	eam	4		ʦʰ	ɜm	22	
親		c	ean	1		ʦʰ	ɜn	23	
村		c	ean	1		ʦʰ	ɜn	23	
春		c	ean	1		ʦʰ	ɜn	23	
鶉		c	ean	1		ʦʰ	ɜn	23	鵪鶉
瞋		c	ean	1		ʦʰ	ɜn	23	
趁		c	ean	1		ʦʰ	ɜn	23	
襯		c	ean	1		ʦʰ	ɜn	23	
蠢		c	ean	2		ʦʰ	ɜn	45	
疹		c	ean	2		ʦʰ	ɜn	45	
診		c	ean	2		ʦʰ	ɜn	45	
旬		c	ean	4		ʦʰ	ɜn	22	
巡		c	ean	4		ʦʰ	ɜn	22	
循		c	ean	4		ʦʰ	ɜn	22	
秦		c	ean	4		ʦʰ	ɜn	22	
村		c	ean	5		ʦʰ	ɜn	21	
陳		c	ean	4		ʦʰ	ɜn	22	
塵		c	ean	4		ʦʰ	ɜn	22	
村		c	ean	1		ʦʰ	ɜn	23	
寸		c	ean	1		ʦʰ	ɜn	23	
忖		c	ean	2		ʦʰ	ɜn	45	
存		c	ean	4		ʦʰ	ɜn	22	
緝		c	eap	7A		ʦʰ	ɜp	45	
輯		c	eap	7A		ʦʰ	ɜp	45	
七		c	eat	7A		ʦʰ	ɜt	45	
柒		c	eat	7A		ʦʰ	ɜt	45	
漆		c	eat	7A		ʦʰ	ɜt	45	
猝		c	eat	7A		ʦʰ	ɜt	45	
出		c	eat	7A		ʦʰ	ɜt	45	
齣		c	eat	7A		ʦʰ	ɜt	45	
秋		c	eau	1		ʦʰ	ɜu	23	
鰍		c	eau	1		ʦʰ	ɜu	23	
糗		c	eau	1		ʦʰ	ɜu	23	
臭		c	eau	1		ʦʰ	ɜu	23	
嗅		c	eau	1		ʦʰ	ɜu	23	
丑		c	eau	2		ʦʰ	ɜu	45	
醜		c	eau	2		ʦʰ	ɜu	45	
囚		c	eau	4		ʦʰ	ɜu	22	
稠		c	eau	4		ʦʰ	ɜu	22	
疇		c	eau	4		ʦʰ	ɜu	22	
籌		c	eau	4		ʦʰ	ɜu	22	
躊		c	eau	4		ʦʰ	ɜu	22	
惆		c	eau	4		ʦʰ	ɜu	22	
酬		c	eau	4		ʦʰ	ɜu	22	
綢		c	eau	4		ʦʰ	ɜu	22	
醋		c	eau	1		ʦʰ	ɜu	23	
厝		c	eau	1		ʦʰ	ɜu	23	
措		c	eau	1		ʦʰ	ɜu	23	
錯		c	eau	1		ʦʰ	ɜu	23	同“措”
聚		c	eau	5		ʦʰ	ɜu	21	聚錢，存錢
粗		c	eau	1		ʦʰ	ɜu	23	
娶		c	eau	2		ʦʰ	ɜu	45	娶老婆、娶新婦
糍		c	ei	4		ʦʰ	ei	22	丸糍、團糍
臍		c	ei	5		ʦʰ	ei	21	
蹙		c	ek	7A		ʦʰ	ək	45	
蹴		c	ek	7A		ʦʰ	ək	45	
蓄		c	ek	7A		ʦʰ	ək	45	
促		c	ek	7A		ʦʰ	ək	45	
簇		c	ek	7A		ʦʰ	ək	45	
速		c	ek	7A		ʦʰ	ək	45	
矗		c	ek	7A		ʦʰ	ək	45	
束		c	ek	7A		ʦʰ	ək	45	
畜		c	ek	7A		ʦʰ	ək	45	
齪		c	ek	7A		ʦʰ	ək	45	
囪		c	eng	1		ʦʰ	əŋ	23	
蔥		c	eng	1		ʦʰ	əŋ	23	
蔥		c	eng	5		ʦʰ	əŋ	21	變調
聰		c	eng	1		ʦʰ	əŋ	23	
沖		c	eng	1		ʦʰ	əŋ	23	
衷		c	eng	1		ʦʰ	əŋ	23	
忡		c	eng	1		ʦʰ	əŋ	23	
充		c	eng	1		ʦʰ	əŋ	23	
銃		c	eng	1		ʦʰ	əŋ	23	
重		c	eng	5		ʦʰ	əŋ	21	重量重
匆		c	eng	1		ʦʰ	əŋ	23	
冢		c	eng	2		ʦʰ	əŋ	45	
塚		c	eng	2		ʦʰ	əŋ	45	
寵		c	eng	2		ʦʰ	əŋ	45	
衝		c	eng	2		ʦʰ	əŋ	45	
憧		c	eng	2		ʦʰ	əŋ	45	
蟲		c	eng	4		ʦʰ	əŋ	22	
重		c	eng	4		ʦʰ	əŋ	22	重新
松		c	eng	4		ʦʰ	əŋ	22	
從		c	eng	4		ʦʰ	əŋ	22	
叢		c	eng	4		ʦʰ	əŋ	22	
似		c	i	5		ʦʰ	i	21	
刺		c	i	1		ʦʰ	i	23	
賜		c	i	1		ʦʰ	i	23	
次		c	i	1		ʦʰ	i	23	
姒		c	i	5		ʦʰ	i	21	
痴		c	i	1		ʦʰ	i	23	
嗤		c	i	1		ʦʰ	i	23	
熾		c	i	1		ʦʰ	i	23	
恃		c	i	5		ʦʰ	i	21	
幟		c	i	1		ʦʰ	i	23	
廁		c	i	1		ʦʰ	i	23	
翅		c	i	1		ʦʰ	i	23	
差		c	i	1		ʦʰ	i	23	參差
儲		c	i	1		ʦʰ	i	23	
佇		c	i	5		ʦʰ	i	21	
杼		c	i	5		ʦʰ	i	21	
貯		c	i	5		ʦʰ	i	21	
杵		c	i	5		ʦʰ	i	21	
柱		c	i	5		ʦʰ	i	21	
雌		c	i	2		ʦʰ	i	45	
此		c	i	2		ʦʰ	i	45	
恥		c	i	2		ʦʰ	i	45	
齒		c	i	2		ʦʰ	i	45	
始		c	i	2		ʦʰ	i	45	
侈		c	i	2		ʦʰ	i	45	
疵		c	i	2		ʦʰ	i	45	
矢		c	i	2		ʦʰ	i	45	
扯		c	i	2		ʦʰ	i	45	
祠		c	i	4		ʦʰ	i	22	
詞		c	i	4		ʦʰ	i	22	
辭		c	i	4		ʦʰ	i	22	
雌		c	i	4		ʦʰ	i	22	
持		c	i	4		ʦʰ	i	22	
慈		c	i	4		ʦʰ	i	22	
弛		c	i	4		ʦʰ	i	22	
池		c	i	4		ʦʰ	i	22	
馳		c	i	4		ʦʰ	i	22	
茨		c	i	4		ʦʰ	i	22	
瓷		c	i	4		ʦʰ	i	22	
遲		c	i	4		ʦʰ	i	22	
躇		c	i	4		ʦʰ	i	22	
署		c	i	5		ʦʰ	i	21	
廚		c	i	4		ʦʰ	i	22	
磁		c	i	4		ʦʰ	i	22	
櫥		c	i	5		ʦʰ	i	21	
茲		c	i	4		ʦʰ	i	22	龜茲，國名
車		c	iaa	1		ʦʰ	iɑ	23	汽車
奢		c	iaa	1		ʦʰ	iɑ	23	
且		c	iaa	2		ʦʰ	iɑ	45	
扯		c	iaa	2		ʦʰ	iɑ	45	
邪		c	iaa	4		ʦʰ	iɑ	22	
斜		c	iaa	4		ʦʰ	iɑ	22	
斜		c	iaa	5		ʦʰ	iɑ	21	斜斜轉
赤		c	iaak	7A		ʦʰ	iɑk	45	又音
尺		c	iaak	7B		ʦʰ	iɑk	23	
尺		c	iaak	9		ʦʰ	iɑk	21	變調
赤		c	iaak	7B		ʦʰ	iɑk	23	
赤		c	iaak	9		ʦʰ	iɑk	21	痛赤，疼
惜		c	iaak	7B		ʦʰ	iɑk	23	疼愛，白讀
青		c	iaang	1		ʦʰ	iɑŋ	23	青色，白讀
清		c	iaang	1		ʦʰ	iɑŋ	23	水清，白讀
請		c	iaang	2		ʦʰ	iɑŋ	45	白讀
情		c	iaang	4		ʦʰ	iɑŋ	22	情願，白讀
晴		c	iaang	4		ʦʰ	iɑŋ	22	晴水，白讀，天放晴
醒		c	iaang	2		ʦʰ	iɑŋ	45	瞓醒，白讀
戚		c	ik	7A		ʦʰ	ɪk	45	
赤		c	ik	7A		ʦʰ	ɪk	45	赤小豆
斥		c	ik	7A		ʦʰ	ɪk	45	
敕		c	ik	7A		ʦʰ	ɪk	45	
叱		c	ik	7A		ʦʰ	ɪk	45	叱石，地名
籤		c	im	1		ʦʰ	im	23	
塹		c	im	1		ʦʰ	im	23	
纖		c	im	1		ʦʰ	im	23	
簽		c	im	1		ʦʰ	im	23	
籤		c	im	5		ʦʰ	im	21	牙籤，變調
簽		c	im	5		ʦʰ	im	21	牙簽，變調
諂		c	im	2		ʦʰ	im	45	
潛		c	im	4		ʦʰ	im	22	
千		c	in	1		ʦʰ	in	23	
仟		c	in	1		ʦʰ	in	23	
阡		c	in	1		ʦʰ	in	23	
遷		c	in	1		ʦʰ	in	23	
川		c	in	1		ʦʰ	in	23	
穿		c	in	1		ʦʰ	in	23	
踐		c	in	5		ʦʰ	in	21	
串		c	in	1		ʦʰ	in	23	
淺		c	in	2		ʦʰ	in	45	
舛		c	in	2		ʦʰ	in	45	
喘		c	in	2		ʦʰ	in	45	
揣		c	in	2		ʦʰ	in	45	
痊		c	in	4		ʦʰ	in	22	
詮		c	in	4		ʦʰ	in	22	
銓		c	in	4		ʦʰ	in	22	
拴		c	in	4		ʦʰ	in	22	
全		c	in	4		ʦʰ	in	22	
泉		c	in	4		ʦʰ	in	22	
傳		c	in	4		ʦʰ	in	22	傳播
前		c	in	4		ʦʰ	in	22	
錢		c	in	4		ʦʰ	in	22	
纏		c	in	4		ʦʰ	in	22	
青		c	ing	1		ʦʰ	ɪŋ	23	
蜻		c	ing	1		ʦʰ	ɪŋ	23	
清		c	ing	1		ʦʰ	ɪŋ	23	
稱		c	ing	1		ʦʰ	ɪŋ	23	稱呼
秤		c	ing	1		ʦʰ	ɪŋ	23	地秤
請		c	ing	2		ʦʰ	ɪŋ	45	
逞		c	ing	2		ʦʰ	ɪŋ	45	
騁		c	ing	2		ʦʰ	ɪŋ	45	
拯		c	ing	2		ʦʰ	ɪŋ	45	
情		c	ing	4		ʦʰ	ɪŋ	22	
晴		c	ing	4		ʦʰ	ɪŋ	22	
呈		c	ing	4		ʦʰ	ɪŋ	22	
程		c	ing	4		ʦʰ	ɪŋ	22	
懲		c	ing	4		ʦʰ	ɪŋ	22	
秤		c	ing	5		ʦʰ	ɪŋ	21	
澄		c	ing	4		ʦʰ	ɪŋ	22	
埕		c	ing	4		ʦʰ	ɪŋ	22	
綽		c	iok	7B		ʦʰ	iøk	23	
桌		c	iok	7A		ʦʰ	iøk	45	拜桌
桌		c	iok	7B		ʦʰ	iøk	23	
卓		c	iok	7B		ʦʰ	iøk	23	
槍		c	iong	1		ʦʰ	iøŋ	23	
鏘		c	iong	1		ʦʰ	iøŋ	23	
搶		c	iong	1		ʦʰ	iøŋ	23	
悵		c	iong	1		ʦʰ	iøŋ	23	
暢		c	iong	1		ʦʰ	iøŋ	23	
昌		c	iong	1		ʦʰ	iøŋ	23	
菖		c	iong	1		ʦʰ	iøŋ	23	
猖		c	iong	1		ʦʰ	iøŋ	23	
倡		c	iong	1		ʦʰ	iøŋ	23	
唱		c	iong	1		ʦʰ	iøŋ	23	
鎗		c	iong	1		ʦʰ	iøŋ	23	
嗆		c	iong	1		ʦʰ	iøŋ	23	
搶		c	iong	2		ʦʰ	iøŋ	45	
長		c	iong	4		ʦʰ	iøŋ	22	長久
場		c	iong	4		ʦʰ	iøŋ	22	
腸		c	iong	4		ʦʰ	iøŋ	22	
薔		c	iong	4		ʦʰ	iøŋ	22	
牆		c	iong	4		ʦʰ	iøŋ	22	
戕		c	iong	4		ʦʰ	iøŋ	22	
妾		c	ip	7B		ʦʰ	ip	23	
切		c	it	7B		ʦʰ	it	23	急切
撤		c	it	7B		ʦʰ	it	23	
徹		c	it	7B		ʦʰ	it	23	
澈		c	it	7B		ʦʰ	it	23	
轍		c	it	7B		ʦʰ	it	23	
俏		c	iu	1		ʦʰ	iu	23	
峭		c	iu	1		ʦʰ	iu	23	
肖		c	iu	1		ʦʰ	iu	23	肖像
超		c	iu	1		ʦʰ	iu	23	
昭		c	iu	1		ʦʰ	iu	23	
鞘		c	iu	1		ʦʰ	iu	23	
悄		c	iu	2		ʦʰ	iu	45	
憔		c	iu	4		ʦʰ	iu	22	
樵		c	iu	4		ʦʰ	iu	22	
晁		c	iu	4		ʦʰ	iu	22	
朝		c	iu	4		ʦʰ	iu	22	朝廷
潮		c	iu	4		ʦʰ	iu	22	
瞧		c	iu	4		ʦʰ	iu	22	
綽		c	ok	7B		ʦʰ	ɔk	23	
戳		c	ok	7B		ʦʰ	ɔk	23	
倉		c	ong	1		ʦʰ	ɔŋ	23	
蒼		c	ong	1		ʦʰ	ɔŋ	23	
滄		c	ong	1		ʦʰ	ɔŋ	23	
瘡		c	ong	1		ʦʰ	ɔŋ	23	
創		c	ong	1		ʦʰ	ɔŋ	23	
愴		c	ong	1		ʦʰ	ɔŋ	23	
艙		c	ong	1		ʦʰ	ɔŋ	23	
窗		c	ong	1		ʦʰ	ɔŋ	23	
闖		c	ong	2		ʦʰ	ɔŋ	45	
敞		c	ong	2		ʦʰ	ɔŋ	45	
廠		c	ong	2		ʦʰ	ɔŋ	45	
庠		c	ong	4		ʦʰ	ɔŋ	22	
祥		c	ong	4		ʦʰ	ɔŋ	22	
翔		c	ong	4		ʦʰ	ɔŋ	22	
床		c	ong	4		ʦʰ	ɔŋ	22	
詳		c	ong	4		ʦʰ	ɔŋ	22	
幢		c	ong	4		ʦʰ	ɔŋ	22	幡幢
藏		c	ong	4		ʦʰ	ɔŋ	22	收藏
躁		c	ou	1		ʦʰ	ou	23	
澡		c	ou	1		ʦʰ	ou	23	
操		c	ou	1		ʦʰ	ou	23	
糙		c	ou	1		ʦʰ	ou	23	
噪		c	ou	1		ʦʰ	ou	23	
燥		c	ou	1		ʦʰ	ou	23	
草		c	ou	2		ʦʰ	ou	45	
槽		c	ou	4		ʦʰ	ou	22	
曹		c	ou	4		ʦʰ	ou	22	
嘈		c	ou	4		ʦʰ	ou	22	
蔡		c	ui	1		ʦʰ	ui	23	
菜		c	ui	1		ʦʰ	ui	23	
塞		c	ui	1		ʦʰ	ui	23	塞外
采		c	ui	2		ʦʰ	ui	45	
採		c	ui	2		ʦʰ	ui	45	
彩		c	ui	2		ʦʰ	ui	45	
綵		c	ui	2		ʦʰ	ui	45	
睬		c	ui	2		ʦʰ	ui	45	
才		c	ui	4		ʦʰ	ui	22	
材		c	ui	4		ʦʰ	ui	22	
財		c	ui	4		ʦʰ	ui	22	
裁		c	ui	4		ʦʰ	ui	22	
