□	ko[5]	ko5 lo5：漱口			
□	lo[5]	ko5 lo5：漱口			
□	∅ia[7]	ia7 ŋy2：閃電			
□	ŋy[2]	ia7 ŋy2：閃電			
□	∅a[7]	a7 nɔ7：骯髒			
□	nɔ[7]	a7 nɔ7：骯髒			
□	lai[6]	ye7 lai6 xai3：爲什麼			
□	lai[6]	多			
□	∅ye[7]	如何的合音			
□	mo[7]	so7 mo7：什麼			
□	so[7]	so7 mo7：什麼			
□	xai[3]	東西			
□	loiŋ[5]	（粥）稀			
□	∅ɔ[7]	（小孩）乖			
啊	∅a[7]	𢫦啊嚏ma8 a7 tsʰi6：打噴嚏			
矮	∅ai[3]				
艾	ŋye[6]				
愛	∅ui[5]				
安	∅ueŋ[1]	安慰			
庵	∅ɔŋ[1]				
岸	ŋaiŋ[6]	上岸ioŋ5 ŋaiŋ6			
暗	∅ɔŋ[5]	暗暝ɔŋ5 maŋ2：晚上			
襖	∅au[3]	棉襖mieŋ2 au3			
拗	∅au[3]	懊惱au3 nau3			
懊	∅au[3]				
八	pai[7]	～成			
巴	wa[9]	下～			
巴	pa[1]	結～			
疤	pa[1]				
拔	paiˀ[8]				
把	pa[3]				
爸	pa[1]				
耙	pa[6]	名詞			
耙	pa[2]	動詞			
白	paˀ[8]	～色；～菜；姓			
百	pa[7]				
柏	pe[7]	～樹			
拜	pai[5]				
敗	wai[6]	失～			
稗	pʰai[6]				
班	paiŋ[1]				
搬	woiŋ[9]				
板	paiŋ[3]	棺材			
板	poiŋ[5]	～hie6：木板			
半	poiŋ[5]				
辦	paiŋ[6]				
幫	pɔŋ[1]	～襯：幫助；群			
膀	pɔŋ[3]				
包	pau[1]	包子pau1 tsie3			
雹	pʰoˀ[8]				
薄	wɔˀ[8]				
保	wau[3]	保護wau3 xo6			
飽	pau[3]				
豹	pau[5]				
報	pau[5]				
杯	pui[1]				
北	pe[7]				
背	pui[5]	～脊骨			
背	wui[5]	～後			
倍	wui[5]				
被	pʰui[5]				
備	woi[6]	預～			
本	puŋ[3]				
崩	waiŋ[9]	崩塌			
鼻	pʰoi[6]	鼻子；聞			
比	poi[3]				
疕	hoi[3]				
疕	pʰoi[3]	生疕saŋ1 pʰoi3：結痂			
筆	poi[7]				
閉	pe[5]				
婢	poi[5]	婢子poi5 tsie3：女僕			
篦	pe[6]	篦子pe6 tsie3			
壁	pia[7]	隔壁ka7 pia7			
鞭	pieŋ[1]				
邊	pieŋ[1]				
扁	pieŋ[3]	扁食pieŋ3 si8 :餛飩			
變	pieŋ[5]				
別	pieˀ[8]	別人pie8 noiŋ2			
冰	paiŋ[1]				
兵	poiŋ[1]				
柄	paŋ[5]				
餅	piaŋ[3]				
病	paŋ[6]				
波	pɔ[1]	波浪pɔ1 lɔŋ6			
玻	po[1]	玻璃po1 loi2			
剝	po[7]	剝皮po7 hui2			
伯	pa[7]	伯父pa7 xo6			
博	pɔ[7]				
擘	pa[7]				
蔔	peˀ[8]				
哺	pio[6]				
補	wio[3]	補皮鞋wio3 pʰui2 ai9			
補	pio[3]				
布	pio[5]				
部	wo[6]				
財	lue[9]				
裁	lue[2]	裁縫師傅lue2 xoŋ2 so1 xo5			
裁	lui[9]				
菜	tʰe[5]				
蠶	tʰaŋ[2]				
倉	tʰɔŋ[1]				
草	tʰau[3]				
層	laiŋ[9]				
茶	ta[2]				
鏟	tsʰyeŋ[3]				
長	tioŋ[3]	長老tioŋ3 lau3：和尚			
長	lɔŋ[9]	長工lɔŋ9 koŋ1			
常	sioŋ[2]				
場	lioŋ[9]	市場tsʰi6 lioŋ9			
腸	tɔŋ[2]				
嚐	∅ioŋ[9]				
廠	tʰɔŋ[3]	茅廠子mau2 tʰɔŋ3 tsie3：茅棚			
唱	tsʰioŋ[5]				
抄	tʰau[1]				
朝	tio[1]	今朝kiŋ1 tio1：今天			
吵	tʰau[3]				
炒	tʰau[3]				
車	tsʰia[1]				
陳	toiŋ[2]				
趁	hoiŋ[2]				
襯	tʰaiŋ[5]	幫襯pɔŋ1 tʰaiŋ5			
稱	tsʰiŋ[1]	稱讚tsʰiŋ1 tsaiŋ5			
撐	tʰaiŋ[5]	撐船tʰaiŋ5 yeŋ9			
成	siŋ[2]	成功siŋ2 koŋ1			
成	ɣiaŋ[9]	八成			
城	siŋ[5]				
塍	tʰaiŋ[2]	水田			
秤	tsʰiŋ[5]				
尺	tsʰio[7]				
豉	tsʰi[6]	豆豉			
齒	tsʰi[3]				
赤	tsʰia[7]				
充	tʰeŋ[1]				
蟲	hoŋ[2]				
寵	heŋ[3]				
銃	tʰeŋ[5]	𢫦銃ma8 tʰeŋ5：打槍			
抽	hiu[1]				
仇	siu[2]				
愁	leu[9]				
綢	tiu[2]				
臭	tʰeu[5]				
出	tsʰy[7]				
鋤	ly[2]	鋤頭ly2 heu2			
廚	ty[2]				
櫥	ty[2]				
楚	tʰo[3]				
畜	xy[7]				
處	tsʰy[5]				
穿	tsʰyeŋ[1]	穿針tsʰyeŋ1 tsiŋ1			
船	∅yeŋ[9]				
傳	lyeŋ[2]				
窗	heŋ[1]	窗門子heŋ1 muŋ2 tsie3：窗戶			
瘡	tʰɔŋ[1]	疥瘡kai5 tʰɔŋ1			
牀	tʰɔŋ[2]				
吹	tsʰye[1]				
錘	hy[2]	錘子hy2 tsie3			
春	tʰeŋ[1]				
餈	tsoi[2]	糍粑			
蔥	tʰoŋ[1]				
聰	tʰoŋ[1]				
從	leŋ[2]				
粗	tʰo[1]	做粗人tsa5 tʰo1 noiŋ2：農民			
醋	tʰo[5]				
催	tʰui[1]				
脆	tsʰye[5]				
村	tʰuŋ[1]				
寸	tʰuŋ[5]				
搓	tʰɔ[1]				
厝	tsʰio[5]	房子；家			
銼	tʰɔ[5]	銼子tʰɔ5 tsie3；動詞			
錯	tʰɔ[5]				
搭	ta[7]				
答	ta[7]				
打	ta[3]	打算ta3 sueŋ5			
大	tue[6]				
待	lai[6]	接待tsie7 lai6			
帶	tue[5]	帶子tue5 tsie3			
袋	lui[6]				
戴	le[9]				
單	lueŋ[9]	單身人lueŋ9 siŋ1 noiŋ2			
擔	laŋ[9]	擔擔laŋ9 taŋ1：挑擔			
擔	taŋ[1]	擔擔laŋ9 taŋ1：挑擔；計量單位一百斤，或作“石”			
膽	taŋ[3]				
旦	tueŋ[5]				
但	tueŋ[5]				
彈	lueŋ[9]				
當	tɔŋ[5]	當店tɔŋ5 taŋ5：當鋪；典當，及物動詞			
當	tɔŋ[1]	當兵tɔŋ1 poiŋ1			
刀	tau[1]				
島	tɔ[3]				
到	tau[5]	到處tau5 tsʰy5			
倒	tau[3]	倒霉tau3 mui2			
倒	tau[5]				
道	lau[6]				
道	lau[5]				
得	te[7]				
地	tia[5]	tsi8 tia5 ke5 sy3：一地的水			
地	loi[6]	tsi8 hie6 loi6：這塊土地			
地	tie[6]				
的	ke[5]	訓讀，你的noi9 ke5			
燈	taiŋ[1]				
等	taiŋ[3]				
凳	taiŋ[5]				
滴	toi[7]				
敵	toi[7]				
糴	tiaˀ[8]	糴米tia8 moi5			
抵	toi[3]				
底	tai[3]				
弟	loi[5]	徒弟lo2 loi5			
弟	tie[6]	舍弟sia5 tie6；兄弟xiaŋ1 tie6			
弟	tie[5]	舍弟sia5 tie5			
癲	tieŋ[1]				
點	taŋ[3]				
店	taŋ[5]				
墊	tieŋ[5]	墊皮tieŋ5 pʰui5			
墊	tieŋ[6]				
雕	tio[1]				
弔	tio[5]				
釣	tio[5]				
調	lɔ[2]	調羹lɔ2 kaŋ1			
爹	ta[1]	爹爹ta1 ta1：祖父，公公			
碟	taˀ[8]				
蝶	lieˀ[8]				
疊	haˀ[8]				
釘	taiŋ[5]	動詞			
釘	taiŋ[1]	釘子taiŋ1 tsie3			
頂	toiŋ[3]	頂好toiŋ3 xau3			
頂	taiŋ[3]	厝頂tsʰio5 taiŋ3：屋頂			
鼎	tiaŋ[3]	大的圓底容器，用於烹飪，炒鍋			
丟	tiu[1]				
冬	toŋ[1]				
東	toŋ[1]				
洞	loŋ[6]				
動	loŋ[5]				
都	to[1]				
斗	teu[3]	糞斗poiŋ5 teu3：畚斗			
豆	teu[6]				
脰	lo[6]	脖子			
痘	teu[6]				
毒	heu[6]	毒魚heu6 ŋy2：下藥毒魚；及物動詞			
毒	loˀ[8]	毒藥lo8 io8			
賭	lo[3]				
肚	to[5]	豨肚kʰy3 to5：豬肚			
妒	to[6]				
渡	to[6]				
端	tueŋ[1]				
短	tui[3]				
緞	tuŋ[5]				
斷	tuŋ[5]				
堆	tui[1]	堆起來tui1 kʰe5 le2			
隊	lui[6]				
對	tui[5]				
墩	tuŋ[1]				
頓	tuŋ[5]				
多	tue[1]	幾多ki3 tue1：多少			
多	to[1]	多謝to1 lia6			
舵	lɔ[9]				
鵝	ŋye[2]				
額	niaˀ[8]	前額tsʰieŋ2 nia8 ：額頭			
惡	∅ɔ[7]	可惡kʰɔ3 ɔ7			
兒	ɣi[2]	孤兒ko1 ɣi2			
耳	noiŋ[5]				
二	noi[6]				
發	xue[7]	成形，～脾氣			
罰	xueˀ[8]				
法	xua[7]				
帆	pʰoŋ[2]				
番	xueŋ[1]				
煩	xueŋ[2]				
飯	puŋ[6]				
方	xuoŋ[1]				
坊	xuoŋ[1]				
房	xuoŋ[2]				
紡	xuoŋ[3]				
放	poŋ[5]				
飛	poi[1]	飛機poi1 ki1			
飛	∅ye[9]	動詞			
肥	py[2]				
匪	poiŋ[3]				
肺	poi[5]	豨肺kʰy3 poi5：豬肺			
疿	py[5]	生疿saŋ1 py5：長疿子			
分	xuoŋ[1]	日分noi8 xuoŋ1：白天			
糞	poiŋ[5]	糞箕poiŋ5 xi1：簸箕			
封	xoŋ[1]				
風	pioŋ[1]				
風	xoŋ[1]	起風kʰi3 xoŋ1			
蜂	pʰoŋ[1]	蜂糖pʰoŋ1 hɔŋ2：蜂蜜			
縫	pʰoŋ[5]	tsi8 tio2 pʰoŋ5：一條縫			
縫	pʰoŋ[6]	名詞			
縫	xoŋ[2]	裁縫師傅			
夫	mo[5]				
沕	me[6]	沕水me6 sy3：潛水			
佛	xuiˀ[8]				
服	xoˀ[8]				
浮	∅iu[9]				
符	wo[9]				
福	xo[7]				
斧	po[3]	斧頭po3 heu2			
腐	xo[6]				
父	xo[6]				
赴	xo[5]				
婦	mo[5]	新婦soiŋ1 mo5：妻子			
婦	xo[5]	寡婦kua3 xo5			
傅	xo[5]				
腹	po[7]				
複	xo[7]				
縛	poˀ[8]				
隑	kui[1]	樓隑leu2 kui1：樓梯			
該	kue[1]				
概	kʰai[5]				
肝	xueŋ[1]				
稈	kueŋ[3]				
感	kɔŋ[3]				
趕	kaiŋ[3]				
缸	ɣɔŋ[9]	水缸sy3 ɣɔŋ9			
鋼	kɔŋ[5]				
高	∅au[9]				
膏	kau[1]				
糕	kau[1]				
稿	kau[3]				
哥	kɔ[1]				
胳	ko[7]				
割	ɣue[3]				
割	∅ue[3]				
歌	kɔ[1]				
鴿	kɔ[7]				
葛	kue[7]				
隔	ka[7]				
根	kyeŋ[1]				
羹	kaŋ[1]				
埂	kaŋ[3]				
更	kaŋ[2]	ma8 kaŋ2 ke5 noiŋ2：打更的人			
更	kaŋ[1]	三更saŋ1 kaŋ1：半夜			
更	kaiŋ[5]	更好kaiŋ5 xau3			
工	koŋ[1]				
弓	keŋ[1]				
公	koŋ[1]				
功	koŋ[1]				
宮	keŋ[1]				
鉤	keu[1]				
溝	keu[1]				
狗	heu[3]				
垢	keu[3]				
估	ko[3]				
孤	ko[1]				
姑	ko[1]				
古	ko[3]				
骨	kui[7]				
牯	ɣo[3]	公的；牛牯niu2 ɣo3：公牛			
鼓	ko[3]				
固	ko[5]				
故	ko[5]				
雇	ko[5]				
顧	ko[5]				
瓜	kua[1]				
刮	kue[7]				
寡	kua[3]				
卦	kua[5]				
掛	kua[5]				
拐	kue[3]				
怪	kue[5]	奇怪ɣi2 kue5			
怪	kye[5]				
官	kueŋ[1]				
關	kyeŋ[1]				
管	kuŋ[3]				
館	kueŋ[3]				
慣	kueŋ[5]				
光	kuoŋ[1]				
鮭	ɣai[9]	鮭子ɣai9 tsie3：鹹魚			
鬼	ky[3]				
桂	kui[5]				
貴	ky[5]				
跪	ɣy[6]				
滾	kuŋ[3]				
棍	kuŋ[5]				
國	kui[7]				
果	kuo[3]				
餜	kui[3]				
過	kuo[5]				
蛤	xa[2]	蛤蟆子xa2 ma2 tsie3			
還	xueŋ[2]	還俗xueŋ2 sy8			
還	xieŋ[2]	歸還			
海	xue[3]				
喊	xaŋ[3]				
汗	ɣueŋ[6]				
旱	ɣueŋ[5]				
好	xau[3]				
號	xau[6]	記號ki5 xau6			
禾	∅ui[2]	水稻			
核	xuiˀ[8]	骹目核kʰau1 mo8 xui8：腳踝			
盒	∅ɔˀ[8]				
鶴	xɔˀ[8]				
痕	xuŋ[2]				
很	xaiŋ[3]				
恨	xaiŋ[6]				
橫	xuaŋ[2]				
紅	∅oŋ[9]				
喉	ɣo[9]				
猴	ɣeu[9]				
厚	ɣeu[5]				
後	xeu[5]	背後wui5 xeu5			
候	xeu[6]				
呼	xo[1]				
狐	xo[2]				
壺	xo[2]				
蝴	xo[2]				
糊	xo[2]				
糊	ɣo[9]				
虎	kʰo[3]				
許	xy[3]	姓；許願			
護	xo[6]				
花	xua[1]				
滑	ɣuiˀ[8]				
畫	xua[5]				
畫	xua[6]				
畫	∅ua[5]				
話	xua[6]	sio3 xua6：笑話			
話	∅ua[6]	話事ua6 toi6：說話			
壞	xue[6]				
歡	xueŋ[1]				
環	xueŋ[2]				
黃	∅uoŋ[2]				
灰	xui[1]				
悔	xui[3]				
喙	tsʰy[5]	嘴；tsi8 tsʰy5 puŋ6：一口飯			
賄	xui[3]				
會	xui[6]				
渾	wuŋ[9]				
活	∅ueˀ[8]				
火	kʰui[3]				
伙	xuo[3]				
夥	xuo[3]				
圾	so[7]	lo8 so7：垃圾			
乩	ki[1]	扛乩kɔŋ1 ki1：扶乩			
飢	∅ye[9]	腹飢po7 ye9：肚子餓			
箕	xi[1]				
機	ki[1]				
雞	kai[1]				
吉	ki[7]				
即	tsoi[7]				
急	ki[7]				
疾	tsoiˀ[8]				
嫉	tsoiˀ[8]				
脊	tsia[7]	背脊骨pui5 tsia7 kui7：脊骨			
幾	ki[3]				
麂	ki[3]	一種小鹿			
擠	tsoi[1]				
紀	ki[5]				
記	ki[5]				
徛	ɣye[5]	站立			
祭	tsoi[5]				
寄	ki[5]				
跡	tsia[7]				
加	ka[1]				
枷	ka[1]	lueŋ5 ka1 tsie3：圍嘴			
枷	ka[5]				
家	ka[1]				
傢	ka[1]				
豭	ka[1]	狗豭heu3 ka1：公狗			
夾	ɣaˀ[8]	夾到書裏ɣa8 tau5 sy1 toi3			
莢	ka[7]				
甲	ka[7]	手甲siu3 ka7：指甲			
假	ka[3]	放假poŋ5 ka3			
假	ɣa[3]				
架	ka[5]				
尖	tsieŋ[1]				
肩	kaiŋ[1]				
間	kaiŋ[1]				
監	kaŋ[1]				
囝	kyeŋ[3]	孩子			
剪	tsaiŋ[3]				
減	kaŋ[3]				
繭	kaiŋ[3]				
鹹	ɣiŋ[9]				
䭕	liaŋ[3]	味淡			
見	kieŋ[5]				
建	kyeŋ[5]				
健	kyeŋ[6]				
箭	tsieŋ[5]				
劍	kieŋ[5]				
薦	luŋ[9]				
漿	tsioŋ[1]				
薑	kioŋ[1]				
講	koŋ[3]				
講	kɔŋ[3]				
降	xaŋ[2]	投降leu9 xaŋ2			
降	kyeŋ[1]	降僮kyeŋ1 loŋ9			
醬	tsioŋ[5]	醬油tsioŋ5 iu2			
交	kau[1]				
骹	kʰau[1]	腳			
嬌	kio[1]				
燋	lio[9]	乾燥			
角	kɔ[7]	菱角laiŋ2 kɔ7			
角	ko[7]	牛角niu2 ko7			
攪	kau[3]				
教	xau[1]	教書xau1 sy1			
接	tsie[7]				
街	kai[1]				
結	kie[7]				
節	tsai[7]	冬節toŋ1 tsai7：冬至			
截	tsaiˀ[8]	截早tsai8 lau3：收水稻；收割			
戒	kai[5]				
芥	kue[5]				
界	kai[5]				
疥	kai[5]	疥瘡kai5 tʰɔŋ1			
借	tsio[7]				
巾	kyeŋ[1]				
斤	kyeŋ[1]				
今	kiŋ[1]				
金	kiŋ[1]				
筋	kyeŋ[1]				
緊	kiŋ[3]				
近	ɣeŋ[5]				
近	kyeŋ[6]				
妗	kiŋ[5]				
經	kiŋ[1]				
精	tsoiŋ[1]				
驚	kiaŋ[1]				
境	kiŋ[5]				
靜	loiŋ[6]				
鏡	kiaŋ[5]				
九	kiu[3]				
灸	tsiu[3]				
韭	xiu[3]				
酒	tsiu[3]				
救	kiu[5]				
舅	kiu[5]				
舊	kiu[6]				
橘	xi[7]				
具	ɣy[5]				
鋸	ky[5]				
掘	kyˀ[8]				
蕨	∅ye[3]				
覺	ka[7]				
軍	keŋ[1]				
開	kʰye[1]				
康	kʰɔŋ[1]				
扛	kɔŋ[1]				
囥	kʰɔŋ[5]				
考	kʰau[5]				
靠	kʰau[5]				
可	kʰɔ[3]				
刻	kʰe[7]				
客	kʰa[7]				
課	kʰuo[5]				
空	kʰɔŋ[5]	有空			
空	kʰoŋ[1]				
釦	kʰeu[3]				
窟	kʰui[7]				
苦	kʰo[3]				
褲	kʰo[5]				
快	kʰau[5]	快活kʰau5 ue8			
快	kʰye[5]				
塊	hie[6]				
寬	kʰueŋ[1]				
垃	loˀ[8]				
辣	lueˀ[8]				
蠟	laˀ[8]				
來	he[5]	起來kʰe5 he5			
來	le[3]	明朝再來maŋ2 tio1 tʰai3 le3			
來	lai[2]	近來ɣeŋ5 lai2			
來	le[2]	撈出來lau9 tsʰy7 le2			
賴	lue[6]	姓			
藍	laŋ[2]				
籃	saŋ[2]	籃子saŋ2 tsie3			
瀾	lueŋ[5]	口水			
欄	lueŋ[2]				
爛	lueŋ[6]				
郎	lɔŋ[2]	新郎			
郎	sɔŋ[2]	女婿			
狼	lɔŋ[2]				
浪	lɔŋ[6]				
撈	lau[9]				
牢	lau[2]				
癆	lau[2]				
老	seu[5]	形容詞			
老	lau[3]	老爺lau3 ia2			
了	lau[5]	晝了to5 lau5：下午			
了	lo[0]	做完了tsa5 yeŋ2 lo0			
雷	sui[2]				
累	ly[6]				
狸	loi[2]				
梨	loi[2]				
犁	lai[2]				
璃	loi[2]				
貍	se[2]				
離	lie[6]				
李	se[5]	李子se5 tsie3			
里	loi[5]	華里			
理	loi[3]				
裏	toi[3]				
禮	loi[3]				
鯉	loi[5]	鯪鯉lieŋ2 loi5：穿山甲			
力	leˀ[8]	骨力kui7 le8：勤勞			
利	loi[6]				
荔	lai[6]				
俐	loi[6]				
笠	seˀ[8]	箬笠nio8 se8：斗笠			
𠢠	seˀ[8]	名詞，刺			
曆	liaˀ[8]				
連	sueŋ[2]				
蓮	laiŋ[2]				
聯	lyeŋ[2]				
簾	lieŋ[2]				
臉	lieŋ[3]				
鏈	lieŋ[6]				
涼	lioŋ[2]				
梁	lioŋ[2]				
兩	lioŋ[3]	重量單位			
兩	sɔŋ[5]	二，兩隻人sɔŋ5 tsia7 noiŋ2：兩人			
量	lioŋ[2]	量米lioŋ2 moi5			
林	loiŋ[2]	樹林tsʰiu6 loiŋ2			
鱗	saiŋ[2]				
伶	la[6]	伶俐la6 loi6：乾淨			
菱	laiŋ[2]				
零	laiŋ[2]	十零隻si8 laiŋ2 tsia7：十多個			
鯪	lieŋ[2]	鯪鯉lieŋ2 loi5：穿山甲			
領	liaŋ[5]				
嶺	liaŋ[5]				
令	loiŋ[6]				
留	seu[2]				
流	lau[2]	流鼻lau2 pʰoi6：流鼻涕			
劉	seu[2]	姓			
六	soˀ[8]				
龍	leŋ[2]				
嚨	liaŋ[9]	喉嚨管ɣo9 liaŋ9 kuŋ3			
礱	loŋ[2]	礱米loŋ2 moi5			
聾	soŋ[2]				
樓	leu[2]				
蘆	so[2]	蘆葦			
鹿	loˀ[8]				
露	so[6]	露水so6 sy3			
卵	suŋ[5]	蛋			
亂	lueŋ[6]				
輪	leŋ[2]				
螺	sui[2]				
蘿	lɔ[2]	蘿蔔			
籮	sue[2]	大米籃			
鑼	lɔ[2]				
落	lɔˀ[8]	落下來lɔ8 ha5 le2			
落	loˀ[8]	角落□ko7 lo8 ɣaŋ6：角落			
綠	lyˀ[8]				
媽	ma[6]				
麻	moi[2]	麻油moi2 iu2			
麻	ma[2]	麻子ma2 tsie3：長麻子的人			
嫲	ma[2]	雌性的，狗嫲heu3 ma2：母狗；姨嫲ɣi9 ma2：姨姨			
蟆	ma[2]				
馬	ma[3]				
罵	ma[6]				
買	mai[3]				
脈	meˀ[8]				
麥	maˀ[8]				
賣	mai[6]				
饅	maiŋ[2]				
鰻	moiŋ[2]				
滿	moiŋ[3]				
慢	maiŋ[6]				
忙	mɔŋ[2]				
貓	mau[2]				
毛	mau[2]				
茅	mau[2]				
錨	mio[2]				
帽	mau[6]				
眉	me[2]				
梅	mui[2]				
媒	mui[2]				
煤	mui[2]				
霉	mui[2]				
黴	mui[2]				
美	moiŋ[3]				
妹	mui[6]				
門	muŋ[2]				
悶	muŋ[6]				
蜢	maŋ[3]				
夢	moŋ[6]				
米	moi[5]				
密	meˀ[8]				
棉	mieŋ[2]				
面	mieŋ[6]				
麵	mieŋ[6]				
廟	mio[6]				
名	miaŋ[2]				
明	maŋ[2]	明朝maŋ2 tio1：明天			
明	moiŋ[2]	清明節tʰoiŋ1 moiŋ2 tsai7			
暝	maŋ[9]	昨暝laŋ9 maŋ9：昨天			
暝	maŋ[2]	晚上			
命	moiŋ[6]				
命	miaŋ[6]	算命sueŋ5 miaŋ6			
模	mo[2]				
摩	mo[9]	摩擦			
磨	mɔ[6]	石磨tsio8 mɔ6			
磨	moi[2]	動詞，磨刀			
墨	meˀ[8]				
母	mo[3]	姑母ko1 mo3			
姆	ma[3]	老姆seu5 ma3：妻子；ma3 ma3：祖母婆婆			
畝	meu[3]				
木	moˀ[8]				
目	moˀ[8]	目珠mo8 tsiu1：眼睛			
納	naˀ[8]				
嬭	nai[3]	母親			
耐	nai[6]				
男	naŋ[2]				
南	naŋ[2]				
難	nueŋ[6]	逃難			
難	nueŋ[2]	難過			
惱	nau[3]				
腦	nau[3]				
鬧	nau[6]				
呢	ni[0]				
嫩	nuŋ[6]				
尼	noi[2]	尼姑noi2 ko1			
泥	nai[2]				
你	noi[9]				
膩	ne[6]				
年	nieŋ[2]				
