	注释：-白读，=文读
t	[1]多刀[2]逃桃{1，杨～}砣{秤～}□{蹭，贴在墙上～痒}[3]倒{1，～落去}朵躲[5]倒{～水}[6]代
tʰ	[2]桃={2，水蜜～}萄[3]妥椭讨
n	[2]娜[4]二{1，数字}贰{1，数字}[5]努
l	[1]囉[2]罗锣萝{藤～}萝{～卜}□{浊，～水}骡[3]裸恼{1，烦～}
ts	[2]槽[3]阻枣组左佐[4]坐助[5]做[6]座
tsʰ	[1]初={1，～中}臊{1，臭～}[2]挫锄={1}[3]草={1，～书}楚础[5]锉措错糙[6]□{装}
s	[1]梭唆疏蔬[3]锁琐所嫂
k	[1]歌={2，唱～}哥高{1，姓}膏篙羔糕{1，绿豆～}竿{训“篙”}[2]□{拦住，保住}[3]裹稿秆[5]告-{1，～状}
kʰ	[1]苛坷戈[3]可棵颗[5]靠-{1，倚，～腰}
ɡ	[2]鹅[6]饿
ŋ	[2]蛾俄梧悟愚虞娱寓[3]语[4]遇御
h	[2]河何荷{～花}[3]好{～坏}[5]耗荷{薄～}□{抬，～头}[6]贺号
∅	[1]锅={1}倭窝涡莴蜗[2]蚝[3]踒袄[5]奥懊卧
#io	
p	[1]膘标-{1，招～}錶[3]表-{1，～兄弟}
pʰ	[2]萍[4]鳔□{帽子，草～}[5]漂{～白}票
b	[2]苗-{1，虾～}描-{1，～红}[6]庙
t	[2]潮[4]赵[5]钓[6]□{颠簸，不舒服}
tʰ	[1]挑-{1，～刺}[5]粜
n	[5]□{抬起}
ts	[1]蕉椒招-{1，～生}[3]少{不多}[5]照-{1，遵～}
tsʰ	[5]笑-{1，大～}唱-{1，～歌}
dz	[2]桡[6]尿
s	[1]烧相-{1，～互}[3]小-{1，～姐}
k	[2]茄桥[5]叫[6]轿
∅	[1]腰[2]摇-{1}窑姚{1，姓}[3]舀
#e	
p	[2]爬耙[3]把-{2，一～}[4]父-[5]欛
pʰ	[2]琶杷[4]□{摇，摆：～龙船}[5]帕□{承担起来}
b	[3]马-{2，骑～}码
m	[2]夜{训“暝”}暝{夜}[6]骂
t	[2]茶[5]块{训}□{块}[6]袋
tʰ	[1]胎苔{舌～}[5]退[6]䖳
n	[1]奶-{1，～母}[2]□{晾（衣服等）}
l	[1]脶[2]螺[4]□{瓷器打碎的声音}[5]□{打，砸}
ts	[1]斋[3]姐-{2，大～}[5]债[6]寨
tsʰ	[1]叉杈岔差{出～}[2]查{调～}[5]厕
s	[1]纱
k	[1]家={2，～庭}傢加-{2，多，增加}[3]假{非真也}[4]下-{2，低，矮}[5]架驾嫁稼价
ɡ	[2]牙芽衙蜈-{1}
h	[2]蝦虾[4]厦{旁屋}下-{3，许愿，～老爷}夏{姓；春～}厦{厦门}
∅	[3]哑[4]下-{4，～骹：下面}
#i	
p	[1]蓖碑卑蜱{牛虻}[2]脾{1，～胃}[3]彼比秕[4]币敝陛婢被{覆也}避备[5]背-{1，动词；～条：以前用来背小孩的布条}蔽揹臂秘泌庇痹[6]弊毙闭
pʰ	[1]披[2]皮={1，调～}疲脾={2，～气}琵枇[3]鄙痞□{痂}[5]譬屁{1}[6]鼻
b	[2]迷[3]米[6]味谜未={1，天干}□{潜（水）}
m	[1]眯咪[2]糜={1，～烂}靡[3]美[6]昧
t	[1]低知={1，～县}蜘嘀{～禾，喇叭}[2]池[3]抵={1，～抗}[4]弟递隶治[5]戴-{1，～帽}帝智致置[6]地
tʰ	[1]□{（粥、汤水等）稠}[2]苔-{1，青～}提啼驰持[3]体□{睁，～眼}[4]痔[5]剃替{1，代～}屉翅{～膀}
n	[2]泥尼呢霓[3]拟弥[5]腻
l	[2]黎={1，～明}离{离开}篱璃离{～别}厘狸=□{𩩍pʰiã1～：肋骨}[3]礼履李里裏理鲤[4]荔={1，～枝}厉励丽蜊利={1，～害}痢[6]例吏
ts	[1]姕{女阴}□{女阴}[2]糍[3]紫只{～是}姊脂旨指={1，～示}止趾址[4]巳舐{舔，～盘}[5]制{～度}製{～造}祭际挤济至志誌帜剂
tsʰ	[1]妻凄淒栖痴鳃[2]齐={1，整～}迟[3]扯耻[4]市[5]刺翅{鱼～}试[6]饲-{1，～大}
dz	[3]玺尔二{2，顺序}贰{2，顺序}耳={2，～朵}饵[2]儿[6]字
s	[1]西={1，～瓜}施尸司丝思-{1，相～树}诗[2]匙{鍉，钥也；汤匙}辞-{1，相～}时[3]死矢始[4]是氏视[5]世势四肆{四}[6]誓={1，发～}示逝
k	[1]稽支{1，量词}枝栀饥肌基几{～乎}机讥饑[2]鳍棋旗[3]指{2，用手指}几{茶几}己={1，自～}纪杞幾={1，～多}[4]技妓冀忌={1，妒～}[5]继痣记既[6]己-{2，家～}
kʰ	[1]欺攲{倾斜，幅牆有缺囝～}㩻{倾斜，幅牆有缺囝～}[2]奇{～怪}岐歧祁其期麒祈[3]启齿起[5]器弃气={1，～体}汽[6]忌-{2，做～}
ɡ	[2]疑
h	[1]牺嬉熙希[3]喜[4]系{～统}繫{联～}係[5]戏欷{哈欠}
∅	[1]衣={1，～服}依[2]夷移姨[3]倚={2，～重}已以[4]易{容～}异[5]意
#u	
p	[2]瓠□{煮（水）}□{（一）泡（尿）}[4]捕妇-{1，新～}[5]讣富[6]菢
pʰ	[2]蒲菩葡芙浮
b	[2]巫诬[3]抚武舞侮鹉
t	[1]猪蛛-{1}堆[2]除锄{1，～头}橱[3]堵赌[5]著[6]箸
tʰ	[2]徒途涂图={1，企～}
n	[3]怒
l	[2]驴[3]鲁橹虏旅缕屡汝-{1，“你”}[4]赂鹭={1，白～}吕虑滤
ts	[1]诸书诛蛛={2}株朱硃珠={1，珍～}资姿咨自兹滋之芝[2]薯[3]煮拄主子梓[4]聚住={1，～宅}[5]驻註注蛀铸[6]□{洇}
tsʰ	[1]蛆舒-{1，展开}趋[2]徐储雏雌瓷慈磁[3]褚鼠取娶此[5]处{～理；～所}趣次
dz	[2]如儒榆逾愉而□{擦（桌子、地板）}[3]汝={2}乳愈[4]喻裕
s	[1]舒={2，～服}须鬚={1}需输{～赢}输{运～}斯厮撕私师={1}思={2，～想}[2]殊辞={2，～典}词祠嗣[3]绪暑署史[4]序叙竖树={1，～立}似祀饲={2，～养}士仕侍[5]素絮庶恕赐肆[6]伺事
k	[1]辜居车={～马炮}龟[3]举矩久韭[4]据巨拒距俱具惧舅[5]故固锢雇={1}顾锯句灸[6]旧
kʰ	[1]枢拘驹区驱丘-{1，（一）丘（田地）}[2]渠跍{蹲}[4]臼[5]去{离～；除～}
ɡ	[2]牛
h	[1]墟虚夫={1，～人}肤呼={1，招～}乎敷俘腐{～败}灰-{1，火～}[2]狐={1}胡={1}壶鬍={1，～子}蝴糊={1，～涂}鱼渔符扶瞿盂[3]浒许={1，允～}府腑俯釜[4]户沪互护傅={1，师～}父={1，夸～}辅妇={1，～女}负[5]付赋咐赴附副[6]腐{豆～}驸
∅	[1]污於淤[2]吾余馀预豫于[3]五={1，二一添作～}与雨={1，谷～}宇禹羽[4]誉有
#ai	
p	[2]排牌簰[5]拜[6]败
pʰ	[5]派沛
b	[2]眉楣媚[3]□{丑}
m	[2]埋[4]迈[5]□{“勿爱（要）”合音}
t	[1]呆[2]獃[3]殆滓[4]怠逮大={2，～夫}[5]戴={2，～帽}贷
tʰ	[1]筛[2]台{天～}薹苔={2，～藓}抬治{杀（猪、鸡等）}[3]癞={1，～□ko334：麻风病}[4]待[5]态太泰
n	[3]乃奶={2，～～}[4]耐奈癞={2，～皮狗}赖={2，无～}荔-{2，～果：荔枝}
l	[2]来梨狸-{1，狐～}[4]内{训“里”}[5]□{～哥，一种海鱼}[6]利-{1，锋利}
ts	[1]灾栽知-{1，知道}[3]指-{3，手～}[4]在[5]再载{～重}[6]载{满～}
tsʰ	[1]猜[2]才材财裁豺[5]菜
s	[1]腮西-{2，方位词}犀师-{2，～父}狮蛳[3]屎使{～用}驶[4]柿[5]赛晒婿使{大～}洒[6]□{庄重地摆放（牌位等）}
k	[1]该皆阶[2]个[5]丐介界芥尬届戒
kʰ	[1]开={1，～始}[3]凯楷[5]概溉慨
ɡ	[6]碍
ŋ	[2]涯崖捱[4]艾={2，姓}
h	[1]嗨[2]孩谐颏[3]海[4]亥骇械懈[6]害
∅	[1]哀埃挨={2，～打}[2]□{母亲，背称}[3]蔼霭
#uai	
k	[1]乖[3]拐[5]怪
kʰ	[5]快筷
h	[2]怀槐淮[4]坏
#au	
p	[1]埠夫-{1，大～：男人}褒包胞苞鲍[3]补脯{胸脯}脯{果脯}斧保堡[4]部暴爆[5]布佈怖傅{姓}[6]步哺{嚼，～（花生米）等}
pʰ	[1]麸抛铺{～设}[2]袍刨鉋[3]谱圃普浦甫跑{足跑地也；奔跑}剖[4]簿[5]舖{店～}炮泡{浸～}
b	[2]模{模子}[3]卯亩牡□{妻子}[6]戊
m	[2]茅毛={1，～病}谋矛[3]某[4]冒貌茂[5]贸
t	[1]都{～城}都{～是}叨兜[2]屠图-{2，～画}厨投□{□la55～仙人掌}[3]肚祷岛捣倒={2，颠～}找斗抖陡[4]杜道稻盗导悼肚{胃}[5]鬥昼-{1，日～：中午}[6]度渡镀豆痘
tʰ	[1]掏滔偷[2]陶淘头[3]土掊{解开}敨{～气：呼气}[5]吐{～痰}吐{呕～}兔套透
n	[2]奴挠{阻～}[3]脑恼={2，～怒}[4]闹={1，热～}藕纽{秤～}
l	[1]□{袄，外套}捞{混，～在一起}[2]卢炉芦鸬庐劳{～动}捞牢唠痨劳{慰～}楼流{1，～走}留-{1，扣～}刘[3]卤老{月老}姥□{哄，骗}[4]老{～侬}闹-{2，～热}[5]露{～出来}漏-{1，～水，～屎：腹泻}[6]涝路露{露水}漏={2，～洞}陋
ts	[1]租糟遭[3]蚤祖走[4]皂造{建～}罩={2，床～}骤[5]灶奏
tsʰ	[1]粗□{肥料（专指尿液）}操{～作}抄钞吵[2]曹巢愁[3]草-{2，青～}[5]臭醋藻躁操{曹～}燥凑
s	[1]苏酥骚臊={2}搔梢[3]艘瘦[5]诉嗉{味～：味道}扫{扫地}扫{扫帚}嗽
k	[1]姑孤鸪枯高={2，～大}糕={2，糟～}交郊勾{～消}钩沟勾{～当}□{□kiʔ3～：脸颊}□{～□tsui334，斑鸠}[2]猴糊-{2，面～}[3]古估牯股鼓狡搞狗九-{1，数字}[4]垢厚-{1，面皮～}[5]妒到告={2，～诉}雇-{2，～工}够构购
kʰ	[1]箍薅抠阄呼-{2，～猪}[3]苦许-{2，姓}考烤口[5]库裤拷靠={2，依～}犒扣={2}哭{训}叩={2，～头}寇
ɡ	[2]吴蜈={2，～蚣}[6]误
ŋ	[2]熬{～夜}熬{～菜}肴[3]伍{队伍}午偶{配～}偶{～然}[4]五-{2，数字}傲
h	[1]蒿浩[2]葫狐-{2，～狸}鬍-{2，～须}豪壕毫嚎侯[3]吼否[4]户雨-{2，落～}校{学校}厚={2，丰～}后[5]戽孝{2，行～}好{喜～}[6]效候鲎
∅	[1]乌坞凹欧瓯鸥沤[2]胡-{2，姓}湖喉[3]呕[4]後[6]芋
#iau	
p	[3]表={2，～格}
pʰ	[1]标={2，～志}飘漂{～浮}漂{～亮}[2]瓢嫖
m	[1]喵[2]锚瞄苗={2，树～}描={2，～红}[3]藐渺秒[4]妙
t	[1]刁貂雕[2]条[4]兆召[5]吊[6]掉调{音～}□{扔，～掉：扔掉}
tʰ	[1]挑={2，～剔}[2]调{～和}□{粉刺}[4]柱[5]超跳
l	[1]□{搅动使之均匀}[2]聊辽撩僚嘹燎疗撩{打撈，～沉在水底的东西}[3]了瞭[4]尥{奔跑}[5]□{挂，～起：挂起来}[6]料廖镣鹭{2，～鸶}
ts	[1]焦樵礁朝{～夕}昭招={2，～供}[3]鸟[5]照={2，依照}[6]□{手脚}麻痹的感觉
tsʰ	[1]□{（胡乱）搅动、翻找}[2]瞧朝{～代}[3]嘲悄俏[5]□{权势大}
dz	[2]饶[3]爪扰挠[5]绕[6]撵
s	[1]消宵霄硝销逍萧箫搜[2]潲{精液}[3]小={2，～气}痟{疯，疯子}[4]肇韶绍邵[5]数{～一～}数{～目字}少{～年}笑={2，见～}
k	[1]骄娇[3]搅={2，～拌}矫缴饺[4]□{撬}
kʰ	[1]敲□{穷，～囝：穷人}[2]乔侨荞[3]巧={2，轻～}[5]翘窍
ŋ	[1]猫□{挠，～痒：挠痒痒}[2]尧[3]□{～鼠：老鼠}
h	[1]邀枭[2]□{奇怪}[3]晓
∅	[1]妖要{～求}幺[2]摇={2，～摆}姚={2，余～}谣遥[4]耀[5]要{想～}
#oi	
p	[1]□{（竹、木做的）板子，乒乓球～}
pʰ	[1]批[5]□{修饰木屑的量词，柴～抽}[6]稗
b	[3]买[6]卖
t	[1]堤[2]题蹄[3]底抵{2，～手}[4]第
tʰ	[1]钗[5]替{2，顶～}
l	[2]黎{2，姓}犁[5]□{（刀）劈，（棍子）打}
ts	[2]齐-{2，～～}[6]□{多，人～}
s	[3]洗[5]细
k	[1]街鸡[3]改解{～开}[5]计疥
kʰ	[1]溪[5]契{～约}喫{啃，～骨头}
ɡ	[2]倪[6]艺
h	[2]□{轻轻碰到}[4]蟹
∅	[1]挨-{2，挤，～倚：依赖，蹭}[2]鞋[3]矮[4]解{晓也}
#uei	
p	[1]杯飞-{1，～机}[2]培陪赔裴[3]□{（翻箱倒柜地）找，乱翻}[4]贝倍佩[5]辈背{2，～部；～诵}[6]焙
pʰ	[1]胚{～胎}坯{土～}[2]皮-{2，猪～}[4]被{被子}[5]配
b	[2]梅枚煤脢莓霉[3]尾[6]未-{2，～到}
m	[2]媒糜-{2，粥，粥样物}[3]每[4]寐[6]妹
t	[4]兑[5]缀
tʰ	[2]□{疮}
ts	[4]罪[5]最赘-{1，鸡眼，鱼鳞～}[6]□{条，条纹}
tsʰ	[1]吹炊[2]□{小棍子}[3]髓[6]□{寻找}
dz	[2]□{用手搓东西}[4]芮锐
s	[1]衰[2]□{垂头丧气}[3]□{列，一～；～落：通情达理，豪爽}[5]岁={1，～月}税帅
k	[1]瓜-{2，西～}[3]餜□{垫（下面）}[5]过{～失；逾}会{～计}刽桧绘挂{2，～纸}卦鳜髻{（鸡）冠}
kʰ	[1]科蝌魁[2]瘸葵-{1，～头扇}[5]课
h	[1]花恢灰={2，～尘}[2]回茴[3]火夥伙[4]汇会{开～；～不～}彙[5]货化悔岁-{2，年～}
∅	[1]锅-{2，铁～}[2]□{一～：一半}[4]卫[5]慰□{传染}[6]画话
#iu	
p	[1]彪
Pʰ	[5]□{掉，没衔接上，没达成。～链：掉链子。}
m	[3]谬
t	[1]丢[2]绸[3]肘[4]苎宙纣昼={2，白～}[5]□{摔，（用藤条或棍子）抽}[6]住-{2}
tʰ	[1]抽[2]筹涛[3]醜[5]□{抽（出）}
n	[1]妞[3]纽{～扣}扭钮
l	[1]溜[2]流={2，～动}=留={2，～级}榴硫琉[3]柳□{挖}[4]□{铲，～菜：把菜盛出来}[5]馏溜{滑}
ts	[1]珠-{2，目～}周舟州洲[3]酒[4]就[5]咒
tsʰ	[1]初-{2，～一}鬚-{2，胡-～}秋鞦[2]囚仇酬[3]丑{子～}手[5]□{刷子；刷}[6]树-{2，种～}□{□kʰa334～：喷嚏}
dz	[2]柔揉
s	[1]梳修羞收[2]泅[3]黍帚首守□{巢}[4]受授[5]秀绣宿{星～}锈{铁～}袖兽[6]寿
k	[1]鸠纠{～纷}[2]球□{量词，串}[3]九={2，～龙，地名}纠{～察}[4]柩疚[5]救究
kʰ	[1]丘={2，～陵}蚯[2]求□{缩（起来）}[3]□{～～：形容人长得不舒展，发育不良的样子}[5]□{（形容面食等）筋道，弹性好。}
∅	[1]优忧幽悠[2]油尤邮由游犹[3]友酉莠诱[4]贿又右祐[6]柚鼬釉
#ui	
p	[1]悲[2]肥[6]吠
pʰ	[5]屁-{2，放}
m	[2]微[5]痱
t	[1]追[2]锤{动词}□{（一）串（葡萄）}[3]□{拉}[5]对碓[6]堕{训“坠”}队坠
tʰ	[1]梯推[2]颓槌锤{名词}[3]腿[6]□{①形容（东西）重而往下坠的感觉；②（往下）拉}
l	[1]镭{铜钱}[2]雷擂[3]儡累{积～}蕊垒[4]类泪[6]瘰儽累{连～}
ts	[1]锥□{□kau334～，斑鸠}[3]水-{1，食～}[4]赘={2，累～}[5]醉
tsʰ	[1]催崔[3]脆[5]淬碎嘴翠粹
dz	[2]维惟唯遗
s	[1]蓑虽荽[2]随垂绥遂隧谁[3]水={2，美，好看}[4]睡瑞[6]穗
k	[1]圭闺规归□{鸡～：鸡的胃，气球；大颔～：甲状腺肿}[3]傀幾{2，～侬：几人}诡鬼[4]跪[5]桂贵[6]柜
kʰ	[1]开-{1，～门}盔亏窥[2]奎癸逵葵={2，向日～}[3]轨[4]溃愧[5]气-{2，出～}季
ŋ	[2]危[6]伪魏
h	[1]麾非飞={2，人名用字}妃挥辉徽[2]翡□{瓷器}[3]毁匪[4]彗惠慧[5]废肺费
∅	[1]医衣-{2，胞～}威[2]维桅为{作～}为{～了}围违[3]萎委伟苇[4]餵胃谓猬[5]畏[6]位
#ã	
p	[1]叭
pʰ	[5]冇{不实，空心}
t	[1]担{～任}中-{1，～央-}[2]禾{训读}[3]胆[4]淡[5]担{～子}
n	[2]篮林-{1，刺～帕：藤蔓}[3]榄-{1，橄～}
s	[1]衫三-{1，数字}
k	[1]柑-{1}橄[2]衔-{1，～去：叼走}[3]敢
∅	[1]掩-{1，捂，～目}[2]□{劝架}[5]□{哄睡，～孥囝：哄小孩睡}[6]馅-{1，豆～}iã
#iã	
p	[1]冰兵[3]丙饼[5]拼-{1，～命}
pʰ	[1]𩩍{～□li55骨：肋骨}[2]坪{（河、沙）滩}[5]聘
m	[2]名[6]命-{1，性～}
t	[2]庭-{1，灰～}[3]鼎[4]锭[6]定
tʰ	[1]听厅[2]呈程[5]疼
n	[3]岭领[6]宁{甯，安宁，～可}
ts	[1]晶精-{1，～肉}正{～月}[2]情-{1，亲～}成-{1，～侬：长大成人}诚-{1，便～}[3]䭕{淡（菜太～了）}整[5]正{公～}
tsʰ	[2]□{（指细致、小心地）改动}[3]请
s	[1]声[2]成-{2，～数}城[5]圣
k	[1]京惊-{1，～着}经{～典}[2]行{～为}[3]崽囝[4]件[5]镜
h	[1]兄[2]燃{烧，～火}[5]□{掀（开）}
∅	[2]迎-{1，～灯}营[3]影[4]□{扇，～风炉}[6]亦□{撒、扬，～沙}
#uã	
p	[1]般搬[2]盘-{1，～囝}[3]坂[4]□{（疯狂、胡乱地）砸}[5]半
pʰ	[1]潘[4]伴拌
m	[1]□{1.动词，披；2.名词，（包裹婴儿以挡风的，有带子的）布巾}[3]瞒满
t	[1]丹-{1，牡～}单[2]坛[4]惰[6]旦-{1，花～}
tʰ	[1]滩摊瘫[3]□{1.锄，～草；2.敲打}[5]炭
n	[4]□{唾液}[5]僆{鸡～：（未生过蛋的）小母鸡}[6]烂-{1，糜～}
ts	[2]泉[3]盏[5]□{繁衍，繁殖}[6]贱-{1，不矜贵；指植物容易活，繁殖快}
tsʰ	[5]闩{训}□{打，揍}
s	[1]山[2]□{水浑浊，黏糊；也指口腔分泌唾液过多时不舒服的感觉}[3]产散{粉状物，药～}[5]散伞线
k	[1]乾-{1，饼～}杆-{1，旗～}桿官肝棺[2]寒-{1，～着}[3]赶[4]掼{提，～水}[6]汗-{1，流～}
kʰ	[1]宽-{1，～行：慢走}[5]看{～命}□{宽，松，～活：轻松，无需劳累}
h	[1]欢[2]鼾[6]焊-{1，～铁}□{扶，～墙；把，～脉}
∅	[1]安-{1，～全}鞍[3]碗[4]旱[5]案晏-{1，晚也}[6]换
#iõ	
t	[1]装-{1，～样}张-{1，姓；设网捕捉，～鸟}[2]场[4]丈-{1，～侬}[5]涨-{1，～价，～大}帐账胀-{1，～肚}
n	[2]娘量{～尺寸}粮梁[3]两{斤～}[6]让-{1，相～}
ts	[1]浆章-{1，文～}樟-{1，～树}[3]蒋桨掌[4]痒[5]酱[6]上{～山，～面}
tsʰ	[1]枪[2]墙扬-{1，～粟}[3]抢{～夺}[4]象-{1，～牙}像={1，好}～橡[6]上{～水：打水（从井里取水）}
s	[1]箱厢-{1，车～}镶伤[2]常-{1，经～}[3]赏[4]想[5]相-{1，～片}象-{2，想～}像-{2，画～}[6]尚-{1，和～}
k	[1]薑[2]强-{1}
kʰ	[1]腔[6]□{小心呵护}
h	[1]香-{1，烧～}乡
∅	[1]鸯[2]羊洋杨-{1，姓}阳-{1，地名，揭～}[3]养-{1，～活}[6]样
#ẽ	
p	[1]□{扳动}[2]平-{1，～头}[5]柄[6]病
pʰ	[1]□{分，匀（东西）}[2]彭膨棚
m	[1]□{沙～：蜻蜓}[2]暝{夜晚}盲-{1，青～：眼瞎}[3]猛[5]□{铮亮}
t	[1]㬹{骹后～：脚后跟}[4]掷□{①拧，～毛巾；②捏}[5]□{假装}[6]郑
tʰ	[1]撑{支～}[2]□{抬，举}[5]□{撑起}
ts	[1]争[2]晴[3]井[4]静
tsʰ	[1]星生-{1，～分}腥-{1，臭～气}青蜻[3]醒
s	[1]些生-{2，～囝}牲-{1，三～}[3]省{～会}[5]性姓
k	[1]羹更{打更}庚耕□{绊，拦}[3]哽梗[5]颈劲径
kʰ	[1]坑
ŋ	[4]硬
∅	[2]□{梁，中脊～}
#ĩ	
p	[1]边-{1，～头}鞭-{1，牛～}[3]扁-{1，单用，不圆}[4]辫{动词，编}[5]变-{1，～面：翻脸}
pʰ	[1]便{单用，便宜}[5]片-{1，一～门}[6]鼻{1.闻；2.鼻子}
m	[2]棉[6]麺
t	[2]缠[4]□{满，缸里水很～}
tʰ	[1]添-{1，～饭}天-{1，～时}[4]添{添，加}[6]䋎{①钉；②缝，～被子}
n	[1]拈-{1，用两三个手指头夹、捏取物}[2]年[3]染-{1，～毛}□{鱿鱼，鲜～：鲜鱿鱼}
ts	[1]支={2，～援}肢毡{地～}□{錾子}[2]荠钱檐-{1，临～：屋檐}[3]雉稚[5]箭[6]寺
tsʰ	[1]鲜[3]侈嗤
s	[5]扇[6]豉
k	[2]墘{1，边沿，原文作“沿”}[5]见-{1，～着}
kʰ	[2]擒-{1，抓，～紧}
ŋ	[2]宜仪谊[3]蚁={2}[4]义[6]议
h	[1]稀[2]弦舷[4]耳-{2，双～}[5]□{甩，～干（手上的水）}
∅	[2]丸-{1，肉～}圆-{1，大～}员-{1，一～}[3]椅[5]砚燕{姓}燕-{1，～子}[6]院
#ãi	
p	[1]斑[2]爿[3]摆
pʰ	[3]□{坏：～侬}[6]办
t	[6]殿橂{坚实，不易弄开}
n	[2]莲[6]楝-{1，苦～树}
ts	[2]脐前[3]宰载{年载}
tsʰ	[1]千[2]蚕[3]彩采睬筅{用松毛制成的洗涤用具}
s	[1]先-{1，～后}
k	[1]间-{1，一～房}肩[3]拣-{1，选，择，～选：挑剔}茧趼[5]间{隔也}
kʰ	[5]盖{遮～，～（盖子）}
ŋ	[3]研-{1，研磨}
h	[2]还-{1，归还，～钱}[3]蚬[6]苋{～菜}
∅	[1]□{团：一～，草～：草团，用来烧火}[2]闲[5]爱
#uãi	
s	[6]檨{芒果}
k	[2]悬-{高，过～：很高}[5]惯-{1，～势：习惯}[6]县
∅	[1]歪
#ãu	
h	[3]虎
#iãu	
h	[1]□{动词，掀，～被：掀被子}
#õi	
p	[3]□{骹仓～：屁股}
tʰ	[3]睇{看}
#uẽi	
k	[1]关-{1，～门}[3]果
h	[2]横
#ĩu	
h	[1]休[2]裘[3]朽
∅	[5]幼
#am	
t	[1]耽[2]澹{1，湿，沃～：淋湿，原文作“淫”}[5]□{傻，不聪明}
tʰ	[1]贪[2]潭谭谈痰[5]探[6]□{1.踩，～着水沟。2.汲（水等）}
n	[1]□{篓，鱼～}[2]蓝男南[5]□{烂，肉煮得很～}
l	[2]淋-{1，～油}[3]览榄-{2，乌～}揽舰[4]滥[5]□{1.陷（进去）：～落去。2.～涂：烂泥}
ts	[1]簪针[3]斩崭[4]站{～立}站{车～}[5]□{扎，～疼：像被扎一样疼}
tsʰ	[1]参{～加}搀[2]惭谗馋[3]惨
s	[1]杉三={2，人名用字}[3]□{撒，～胡椒}[5]□{～鱼：一种海鱼，刺特别多}
k	[1]监{坐～}尴柑={2}[2]含-{1，～糖}[3]感□{埋，～在地下}[5]监{～视}
kʰ	[1]堪龛[3]坎砍[4]□{1.夹，～着手。2.订（纸张等），～缀}[5]勘
ŋ	[1]啱{正好，刚好}[2]癌岩[3]□{节骨眼，（一）节}
h	[1]蚶憨□{（一）节（甘蔗）}[2]含={2，包～}函咸{～阳}衔={2，军～}[3]撼[4]憾[5]喊[6]陷馅={2，～饼}
∅	[1]庵[3]饮-{1，米汤}[5]暗
#iam	
