#ɿ
s[7]雪
∅[1]爷[5]也野[6]夜

#uɑ
ʦ[3]爪
s[3]耍
k[1]瓜[5]寡[7]刮
x[1]花[5]化
∅[3]挖[5]瓦

#æ
t[1]栽[2]台苔抬[5]戴贷代再载带[6]袋
tʰ[1]胎猜[5]菜
n[2]来[6]耐
s[2]才财裁纔

#ɛ
p[1]菠碑[3]剥[5]闭避[6]鼻白[7]笔百壁
pʰ[1]批披[3]拍
m[5]米[6]妹外尾蜜麦
f[2]肥[5]肺
t[2]提蹄啼[3]底挤子[5]借弟滴[6]第递叠
tʰ[1]梯[5]涕剃脆
n[2]泥犂黎篱梨[5]里[6]糯螺栗力鹿六绿
ʦ[1]遮撤摘[5]蔗[7]尺
ʦʰ[1]车[5]扯[3]拆[7]出
s[1]赊西犀师狮蛳[2]蛇齐荠[3]写舍洗死使[5]世细[6]射麝脐事实[7]虱惜
k[1]鸡[2]茄[3]隔[7]急及
ŋ[3]惹
x[5]吓

#iɛ
ʃ[3]客吓{又读}
ŋ[6]日
∅[3]一额[6]入越

#uɛ
s[6]睡
∅[1]歪

#ɤ
p[6]佛
tʰ[7]七漆
n[6]立笠
s[6]十[7]湿

#o
p[1]包[2]婆[3]保宝饱[5]簸报抱[6]薄菢
pʰ[1]坡铺{～开}[5]破炮[6]刨
m[1]摸[2]磨{～刀}毛茅矛莫[5]亩[6]磨{石～}模帽木
t[1]多刀逃糟[2]桃陶萄[3]朵做倒早枣蚤[5]左道灶[6]毒
tʰ[1]拖[3]措错草[5]套糙
n[2]罗箩牢[5]脑老[6]萝闹辣落
ʦ[3]桌捉[7]竹粥烛
ʦʰ[1]初[5]畜
s[1]梳臊[2]锄槽[3]锁所数{动}嫂索[5]坐座数{～目}扫[6]熟赎[7]缩
k[1]歌过高糕[3]果裹割各[5]个[7]骨谷
kʰ[1]课[3]可颗[5]靠
ŋ[1]坳[5]我
x[1]合[2]河和[3]火伙好[5]货祸[6]荷贺号盒[7]哭福
∅[1]窝[2]鹅禾[3]恶[6]握[7]屋

#ɯ
tʰ[7]脱
kʰ[7]缺
x[7]血

#au
pʰ[5]泡
t[2]头[3]斗{十升为～}陡走酒[5]斗{～争}[6]豆
tʰ[1]偷秋
n[2]捞楼[6]漏
ʦ[1]招州[5]皱咒[6]就
ʦʰ[1]抄抽[3]炒吵丑[5]凑臭
s[1]搜馊收[2]绸愁仇酬受[3]手[5]潲瘦[6]寿
k[1]交钩阄[3]搞狗[5]校够
kʰ[1]敲抠[5]扣
ŋ[2]熬[3]藕[5]咬
x[2]毫喉[3]口[5]孝后厚
∅[5]沤

#iau
n[2]留榴硫
ʧ[2]球[3]九久韭[5]救求舅[6]旧
ʦ[6]袖
∅[2]牛邮油游[5]有[6]又右

#ei
p[2]陪赔[5]贝辈背{后～}倍背{～书}
pʰ[5]配佩
m[2]梅媒煤霉[5]每
f[1]飞[3]匪[5]费
n[2]雷

#uei
f[1]灰[3]悔
t[1]堆[2]垂[3]嘴[5]对碓队醉
tʰ[1]推催[3]腿[5]退
n[6]累锥
ʦʰ[1]吹[6]最
s[2]锤[3]水[5]碎岁税
k[1]规[3]鬼[5]桂贵[6]跪柜
kʰ[1]亏
∅[1]煨[2]回危围[5]卫餧[6]会位味

#ou
ʦ[5]造照
s[1]烧[2]朝[3]少

#iou
p[1]标彪[2]瓢[3]表
pʰ[1]飘[5]票漂
m[2]苗[6]庙
t[1]焦椒雕[2]条[3]鸟[5]钓吊
tʰ[5]跳
n[2]鱼渔[3]扭[5]女旅[6]尿料
ʧ[1]胶浇[2]桥荞[3]巧缴[5]锯句叫[6]轿
ʃ[1]墟虚消硝[3]小[5]笑
x[5]去
∅[1]腰窑

#iuo
∅[6]肉

#iu
∅[5]雨

#ã
p[3]板[5]犯拌[6]办饭
pʰ[1]篇
m[2]忙[6]慢
f[1]翻方[3]反慌
t[1]担{动}单[2]潭谈坛弹[3]胆典[5]担{～子}淡[6]电蛋
tʰ[1]摊餐[3]毯[5]炭
n[2]南男蓝难兰栏[5]懒[6]烂
ʦ[1]争[3]斩
ʦʰ[1]喘[3]铲产
s[1]三衫山闩生牲[2]蚕[3]散伞[5]赚
k[1]江[3]减硷间讲
ŋ[2]岩[5]眼[6]硬
x[2]咸闲[3]喊[5]槛[6]銲限

#iã
p[1]班[2]爬
n[5]冷
ʃ[2]行{～路}

#uã
k[5]惯
∅[1]弯[2]还横[6]万

#æn
p[1]冰兵[2]平瓶[3]饼[6]病
m[2]民明名[6]命
f[1]熏
t[1]钉[3]井顶[6]订定
tʰ[1]亲清听[2]青
n[2]邻鳞灵零铃[5]领
ʦ[1]针真[3]整[5]正
ʦʰ[1]春
s[1]深身声星腥[2]成城[3]婶[5]姓[6]净
k[1]金斤筋军更经巾[3]紧[5]近镜[6]妗
ŋ[2]人银赢[5]忍[6]认
x[1]轻

#iæn
∅[1]阴[5]咽印

#uæn
k[2]裙[6]菌
∅[2]云[6]闰匀运

#əŋ
p[1]搬帮[2]盘盆坟房朋棚[3]绑[5]半[6]笨旁
pʰ[1]喷[5]判胖
m[2]瞒门蚊芒[5]满蟒网[6]闷问
f[1]婚分芬糠兄[2]寒烦魂行{银～}防[3]粉纺[5]看旱粪放[6]汗
t[1]端墩灯蒸[2]藤[3]短等[5]断帐账凳[6]盾
tʰ[1]村[5]寸
n[2]淋轮[5]暖[6]乱嫩
ʦ[1]专砖张章[3]转涨[5]仗
ʦʰ[1]穿[3]厂[5]串唱秤
s[1]心参鲜酸新孙伤裳[2]传船旋神存常尝层松{～树}[3]选笋[5]算信丈上{～去}上{～面}[6]侄剩
k[1]甘柑官庚[2]拳[3]管卷[5]灌
kʰ[3]肯
x[5]劝[6]巷
∅[2]含

#iəŋ
t[1]浆[5]酱
tʰ[2]枪[3]抢
n[2]娘凉粮梁[5]两{～个}两{斤～}[6]亮
ʧ[1]姜[2]强[3]长{～高}
ʃ[1]香乡[2]墙长{～短}[3]想响[5]像向[6]匠
∅[1]秧[2]羊洋[5]远养痒[6]让样

#uəŋ
t[1]当[2]堂糖塘[3]挡[5]葬
tʰ[1]汤仓[5]烫
ʦ[1]装桩[3]准[5]壮[6]撞
ʦʰ[3]蠢闯
s[1]霜双[2]藏肠床[6]顺
k[1]干肝关刚钢光[3]赶滚广[5]棍
∅[1]安鞍瘟[2]闻黄王[3]稳[6]物旺

#oŋ
m[6]梦
f[1]风疯封蜂[2]凤
t[1]东冬[2]铜筒[3]懂[5]冻动粽[6]洞
tʰ[1]通葱[3]桶统[5]痛
n[2]聋咙脓龙[6]弄
ʦ[1]中钟[3]种{谷～}肿[5]种{～田}
ʦʰ[1]充[5]铳
s[1]松{～开}[2]虫[5]送重
k[1]公工功[3]拱
x[1]坑烘[2]红[5]哄
∅[5]暗

#ioŋ
ʧ[1]供[2]弓穷
ʃ[2]熊

#eŋ
p[2]便{～宜}[3]扁[5]变[6]便{方～}
pʰ[1]编偏[5]骗片
m[2]棉[6]面{～子}面{～粉}
t[1]尖[2]甜沉田填停[3]点剪箭[6]店垫
tʰ[1]签添天千[3]浅舔
n[1]黏粘[2]林临连联年莲[3]碾捻撵[6]念练鍊
s[1]仙先[2]钱前[5]线扇善[6]贱
k[2]权勤芹[5]件见劲[6]钳
ŋ[2]顔[5]染
x[1]牵[2]嫌琴形[3]险[5]欠显[6]现县

#ieŋ
ʧ[1]剑
∅[1]阉腌烟[2]盐[5]软

#iŋ
∅[1]冤[2]园[3]引瘾影[5]堰

#ŋ̍
[2]蜈儿[3]碗晚[5]五伍午蚁[6]二耳月
